ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
2821;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health, social care and welfare;2019;0
2822;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health, social care and welfare;2020;0
2823;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health, social care and welfare;2021;0
2824;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health, social care and welfare;2022;0
2825;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;1998;0
2826;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;1999;0
2827;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2000;0
2828;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2001;0
2829;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2002;0
2830;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2003;0
2831;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2004;0
2832;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2005;0
2833;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2006;0
2834;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2007;0
2835;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2008;0
2836;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2009;0
2837;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2010;0
2838;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2011;0
2839;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2012;0
2840;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2013;0
2841;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2014;0
2842;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2015;0
2843;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2016;0
2844;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2017;0
2845;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2018;0
2846;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2019;0
2847;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2020;0
2848;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2021;0
2849;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total current expenditure on healthcare;2022;0
2850;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;1998;0
2851;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;1999;0
2852;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2000;0
2853;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2001;0
2854;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2002;0
2855;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2003;0
2856;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2004;0
2857;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2005;0
2858;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2006;0
2859;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2007;0
2860;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2008;0
2861;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2009;0
2862;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2010;0
2863;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2011;0
2864;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2012;0
2865;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2013;0
2866;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2014;0
2867;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2015;0
2868;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2016;0
2869;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2017;0
2870;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2018;0
2871;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2019;0
2872;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2020;0
2873;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2021;0
2874;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Total health related expenditure;2022;0
2875;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;1998;0
2876;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;1999;0
2877;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2000;0
2878;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2001;0
2879;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2002;0
2880;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2003;0
2881;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2004;0
2882;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2005;0
2883;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2006;0
2884;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2007;0
2885;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2008;0
2886;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2009;0
2887;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2010;0
2888;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2011;0
2889;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2012;0
2890;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2013;0
2891;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2014;0
2892;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2015;0
2893;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2016;0
2894;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2017;0
2895;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2018;0
2896;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2019;0
2897;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2020;0
2898;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2021;0
2899;Total financ schemes health,social care;FS.7.3 Other direct foreign tran...;Other goods and services;2022;0
2900;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;1998;996
2901;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;1999;-1061
2902;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2000;-1322
2903;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2001;2635
2904;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2002;4478
2905;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2003;-668
2906;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2004;-1197
2907;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2005;-63
2908;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2006;1780
2909;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2007;1069
2910;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2008;11
2911;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2009;4019
2912;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2010;3385
2913;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2011;-297
2914;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2012;190
2915;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2013;-3109
2916;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2014;2769
2917;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2015;-666
2918;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2016;1018
2919;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2017;-625
2920;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2018;-773
2921;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2019;234
2922;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2020;-805
2923;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2021;-1654
2924;Total financ schemes health,social care;Balances and differences;Total health, social care and welfare;2022;-2850
2925;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;1998;882
2926;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;1999;-876
2927;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2000;-1285
2928;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2001;1992
2929;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2002;3632
2930;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2003;-436
2931;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2004;-736
2932;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2005;194
2933;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2006;1673
2934;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2007;1078
2935;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2008;-335
2936;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2009;3118
2937;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2010;2622
2938;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2011;-854
2939;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2012;-982
2940;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2013;-3412
2941;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2014;1536
2942;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2015;-639
2943;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2016;694
2944;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2017;-673
2945;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2018;-809
2946;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2019;4
2947;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2020;-832
2948;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2021;-1595
2949;Total financ schemes health,social care;Balances and differences;Total current expenditure on healthcare;2022;-2505
2950;Total financ schemes health,social care;Balances and differences;Total health related expenditure;1998;79
2951;Total financ schemes health,social care;Balances and differences;Total health related expenditure;1999;-196
2952;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2000;-31
2953;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2001;595
2954;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2002;760
2955;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2003;-268
2956;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2004;-502
2957;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2005;-311
2958;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2006;29
2959;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2007;-58
2960;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2008;286
2961;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2009;804
2962;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2010;663
2963;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2011;488
2964;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2012;1110
2965;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2013;417
2966;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2014;1218
2967;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2015;-114
2968;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2016;243
2969;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2017;-28
2970;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2018;-45
2971;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2019;141
2972;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2020;-86
2973;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2021;-144
2974;Total financ schemes health,social care;Balances and differences;Total health related expenditure;2022;-436
2975;Total financ schemes health,social care;Balances and differences;Other goods and services;1998;35
2976;Total financ schemes health,social care;Balances and differences;Other goods and services;1999;11
2977;Total financ schemes health,social care;Balances and differences;Other goods and services;2000;-6
2978;Total financ schemes health,social care;Balances and differences;Other goods and services;2001;48
2979;Total financ schemes health,social care;Balances and differences;Other goods and services;2002;87
2980;Total financ schemes health,social care;Balances and differences;Other goods and services;2003;36
2981;Total financ schemes health,social care;Balances and differences;Other goods and services;2004;42
2982;Total financ schemes health,social care;Balances and differences;Other goods and services;2005;56
2983;Total financ schemes health,social care;Balances and differences;Other goods and services;2006;77
2984;Total financ schemes health,social care;Balances and differences;Other goods and services;2007;49
2985;Total financ schemes health,social care;Balances and differences;Other goods and services;2008;60
2986;Total financ schemes health,social care;Balances and differences;Other goods and services;2009;97
2987;Total financ schemes health,social care;Balances and differences;Other goods and services;2010;101
2988;Total financ schemes health,social care;Balances and differences;Other goods and services;2011;69
2989;Total financ schemes health,social care;Balances and differences;Other goods and services;2012;62
2990;Total financ schemes health,social care;Balances and differences;Other goods and services;2013;-113
2991;Total financ schemes health,social care;Balances and differences;Other goods and services;2014;14
2992;Total financ schemes health,social care;Balances and differences;Other goods and services;2015;88
2993;Total financ schemes health,social care;Balances and differences;Other goods and services;2016;82
2994;Total financ schemes health,social care;Balances and differences;Other goods and services;2017;77
2995;Total financ schemes health,social care;Balances and differences;Other goods and services;2018;82
2996;Total financ schemes health,social care;Balances and differences;Other goods and services;2019;89
2997;Total financ schemes health,social care;Balances and differences;Other goods and services;2020;113
2998;Total financ schemes health,social care;Balances and differences;Other goods and services;2021;84
2999;Total financ schemes health,social care;Balances and differences;Other goods and services;2022;91
3000;Total financing of residents;Total care expenditure;Total health, social care and welfare;1998;39258
3001;Total financing of residents;Total care expenditure;Total health, social care and welfare;1999;42269
3002;Total financing of residents;Total care expenditure;Total health, social care and welfare;2000;45233
3003;Total financing of residents;Total care expenditure;Total health, social care and welfare;2001;50633
3004;Total financing of residents;Total care expenditure;Total health, social care and welfare;2002;56498
3005;Total financing of residents;Total care expenditure;Total health, social care and welfare;2003;60731
3006;Total financing of residents;Total care expenditure;Total health, social care and welfare;2004;62840
3007;Total financing of residents;Total care expenditure;Total health, social care and welfare;2005;65253
3008;Total financing of residents;Total care expenditure;Total health, social care and welfare;2006;68330
3009;Total financing of residents;Total care expenditure;Total health, social care and welfare;2007;72549
3010;Total financing of residents;Total care expenditure;Total health, social care and welfare;2008;77538
3011;Total financing of residents;Total care expenditure;Total health, social care and welfare;2009;82115
3012;Total financing of residents;Total care expenditure;Total health, social care and welfare;2010;85599
3013;Total financing of residents;Total care expenditure;Total health, social care and welfare;2011;87921
3014;Total financing of residents;Total care expenditure;Total health, social care and welfare;2012;90409
3015;Total financing of residents;Total care expenditure;Total health, social care and welfare;2013;90748
3016;Total financing of residents;Total care expenditure;Total health, social care and welfare;2014;91730
3017;Total financing of residents;Total care expenditure;Total health, social care and welfare;2015;92115
3018;Total financing of residents;Total care expenditure;Total health, social care and welfare;2016;94634
3019;Total financing of residents;Total care expenditure;Total health, social care and welfare;2017;96761
3020;Total financing of residents;Total care expenditure;Total health, social care and welfare;2018;100813
3021;Total financing of residents;Total care expenditure;Total health, social care and welfare;2019;107199
3022;Total financing of residents;Total care expenditure;Total health, social care and welfare;2020;116159
3023;Total financing of residents;Total care expenditure;Total health, social care and welfare;2021;124572
3024;Total financing of residents;Total care expenditure;Total health, social care and welfare;2022;127052
3025;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;1998;30737
3026;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;1999;32822
3027;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2000;34835
3028;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2001;38838
3029;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2002;43344
3030;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2003;46444
3031;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2004;48221
3032;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2005;50114
3033;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2006;53080
3034;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2007;56053
3035;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2008;60038
3036;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2009;62439
3037;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2010;64911
3038;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2011;66553
3039;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2012;68815
3040;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2013;69900
3041;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2014;70964
3042;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2015;71236
3043;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2016;72918
3044;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2017;74614
3045;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2018;77554
3046;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2019;82448
3047;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2020;89402
3048;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2021;96852
3049;Total financing of residents;Total care expenditure;Total current expenditure on healthcare;2022;96820
3050;Total financing of residents;Total care expenditure;Total health related expenditure;1998;3214
3051;Total financing of residents;Total care expenditure;Total health related expenditure;1999;3440
3052;Total financing of residents;Total care expenditure;Total health related expenditure;2000;3741
3053;Total financing of residents;Total care expenditure;Total health related expenditure;2001;4226
3054;Total financing of residents;Total care expenditure;Total health related expenditure;2002;4849
3055;Total financing of residents;Total care expenditure;Total health related expenditure;2003;5341
3056;Total financing of residents;Total care expenditure;Total health related expenditure;2004;5651
3057;Total financing of residents;Total care expenditure;Total health related expenditure;2005;6082
3058;Total financing of residents;Total care expenditure;Total health related expenditure;2006;6150
3059;Total financing of residents;Total care expenditure;Total health related expenditure;2007;6505
3060;Total financing of residents;Total care expenditure;Total health related expenditure;2008;6429
3061;Total financing of residents;Total care expenditure;Total health related expenditure;2009;7420
3062;Total financing of residents;Total care expenditure;Total health related expenditure;2010;8063
3063;Total financing of residents;Total care expenditure;Total health related expenditure;2011;8360
3064;Total financing of residents;Total care expenditure;Total health related expenditure;2012;8755
3065;Total financing of residents;Total care expenditure;Total health related expenditure;2013;8503
3066;Total financing of residents;Total care expenditure;Total health related expenditure;2014;8609
3067;Total financing of residents;Total care expenditure;Total health related expenditure;2015;9383
3068;Total financing of residents;Total care expenditure;Total health related expenditure;2016;9317
3069;Total financing of residents;Total care expenditure;Total health related expenditure;2017;9341
3070;Total financing of residents;Total care expenditure;Total health related expenditure;2018;9852
3071;Total financing of residents;Total care expenditure;Total health related expenditure;2019;10337
3072;Total financing of residents;Total care expenditure;Total health related expenditure;2020;11199
3073;Total financing of residents;Total care expenditure;Total health related expenditure;2021;11332
3074;Total financing of residents;Total care expenditure;Total health related expenditure;2022;11637
3075;Total financing of residents;Total care expenditure;Other goods and services;1998;5307
3076;Total financing of residents;Total care expenditure;Other goods and services;1999;6008
3077;Total financing of residents;Total care expenditure;Other goods and services;2000;6655
3078;Total financing of residents;Total care expenditure;Other goods and services;2001;7569
3079;Total financing of residents;Total care expenditure;Other goods and services;2002;8306
3080;Total financing of residents;Total care expenditure;Other goods and services;2003;8945
3081;Total financing of residents;Total care expenditure;Other goods and services;2004;8969
3082;Total financing of residents;Total care expenditure;Other goods and services;2005;9056
3083;Total financing of residents;Total care expenditure;Other goods and services;2006;9100
3084;Total financing of residents;Total care expenditure;Other goods and services;2007;9991
3085;Total financing of residents;Total care expenditure;Other goods and services;2008;11071
3086;Total financing of residents;Total care expenditure;Other goods and services;2009;12257
3087;Total financing of residents;Total care expenditure;Other goods and services;2010;12626
3088;Total financing of residents;Total care expenditure;Other goods and services;2011;13006
3089;Total financing of residents;Total care expenditure;Other goods and services;2012;12838
3090;Total financing of residents;Total care expenditure;Other goods and services;2013;12343
3091;Total financing of residents;Total care expenditure;Other goods and services;2014;12158
3092;Total financing of residents;Total care expenditure;Other goods and services;2015;11498
3093;Total financing of residents;Total care expenditure;Other goods and services;2016;12399
3094;Total financing of residents;Total care expenditure;Other goods and services;2017;12806
3095;Total financing of residents;Total care expenditure;Other goods and services;2018;13409
3096;Total financing of residents;Total care expenditure;Other goods and services;2019;14415
3097;Total financing of residents;Total care expenditure;Other goods and services;2020;15558
3098;Total financing of residents;Total care expenditure;Other goods and services;2021;16389
3099;Total financing of residents;Total care expenditure;Other goods and services;2022;18594
3100;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;1998;38383
3101;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;1999;43456
3102;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2000;46683
3103;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2001;48133
3104;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2002;52185
3105;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2003;61557
3106;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2004;64198
3107;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2005;65486
3108;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2006;66718
3109;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2007;71643
3110;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2008;77694
3111;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2009;78278
3112;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2010;82404
3113;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2011;88422
3114;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2012;90431
3115;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2013;94062
3116;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2014;89158
3117;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2015;92989
3118;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2016;93824
3119;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2017;97597
3120;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2018;101804
3121;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2019;107194
3122;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2020;117189
3123;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2021;126448
3124;Total financing of residents;Total revenues care financing schemes;Total health, social care and welfare;2022;130155
3125;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;1998;29954
3126;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;1999;33798
3127;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2000;36222
3128;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2001;36949
3129;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2002;39840
3130;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2003;46997
3131;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2004;49076
3132;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2005;50047
3133;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2006;51529
3134;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2007;55090
3135;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2008;60485
3136;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2009;59434
3137;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2010;62403
3138;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2011;67525
3139;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2012;69909
3140;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2013;73425
3141;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2014;69542
3142;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2015;71988
3143;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2016;72338
3144;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2017;75403
3145;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2018;78481
3146;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2019;82566
3147;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2020;90346
3148;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2021;98550
3149;Total financing of residents;Total revenues care financing schemes;Total current expenditure on healthcare;2022;99462
3150;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;1998;3136
3151;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;1999;3635
3152;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2000;3772
3153;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2001;3631
3154;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2002;4089
3155;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2003;5609
3156;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2004;6153
3157;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2005;6393
3158;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2006;6122
3159;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2007;6563
3160;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2008;6143
3161;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2009;6616
3162;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2010;7400
3163;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2011;7872
3164;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2012;7645
3165;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2013;8087
3166;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2014;7390
3167;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2015;9497
3168;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2016;9074
3169;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2017;9369
3170;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2018;9897
3171;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2019;10196
