ID;Perioden;TypeEffectEmissie_1;Emittent_2;TypeUitgifte_3;Inschrijvingsdatum_4;Stortingsdatum_5;GemiddeldeLooptijdObligaties_6;RentevergoedingObligaties_7;KoersVanUitgifteObligaties_8;KoersVanUitgifteAandelen_9;NominaalBedragEmissie_10;ValutaEmissie_11;EmissieRendementObligaties_12;EmissieBedrag_13
1247;2005 augustus 10-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;25 juli             ;10 aug.             ;1.0;9.0;101.0;;25.0;EUR  ;;25
1248;2005 augustus 10-02;"Obligatie; Floating Rate Notes                         ";Europese Investeringsbank               ;emissie             ;5 aug.              ;10 aug.             ;14.8;5.5;100.0;;50.0;EUR  ;;50
1249;2005 augustus 11-01;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;11 juli             ;11 aug.             ;5.0;0.0;100.0;;75.0;EUR  ;;75
1250;2005 augustus 11-02;"Obligatie; Floating Rate Notes                         ";ABN AMRO Bank                           ;emissie             ;25 juli             ;11 aug.             ;7.0;5.2;100.0;;25.0;EUR  ;;25
1251;2005 augustus 15-01;"Obligatie; Floating Rate Notes                         ";Nederlandse Waterschapsbank             ;emissie             ;19 juli             ;15 aug.             ;30.0;6.5;100.0;;385.0;EUR  ;;385
1252;2005 augustus 17-01;"Obligatie; Floating Rate Notes                         ";Europese Investeringsbank               ;emissie             ;10 aug.             ;17 aug.             ;25.0;5.5;100.0;;125.0;EUR  ;;125
1253;2005 augustus 17-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;15 aug.             ;17 aug.             ;0.65;0.0;;;310.0;EUR  ;2.065;310
1254;2005 augustus 17-03;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;15 aug.             ;17 aug.             ;0.28;0.0;;;3000.0;EUR  ;2.035;3000
1255;2005 augustus 26-01;"Obligatie; Covered Bond                                ";ABN AMRO Bank                           ;emissie             ;26 aug              ;26 aug.             ;9.8;4.5;100.0;;20.0;EUR  ;;20
1256;2005 augustus 29-01;"Obligatie; Floating Rate Notes                         ";ING Bank                                ;emissie             ;8 aug.              ;29 aug.             ;10.0;5.75;100.0;;25.0;EUR  ;;25
1257;2005 augustus 29-02;"Obligatie; Floating Rate Notes                         ";ING Bank                                ;emissie             ;8 aug.              ;29 aug.             ;10.0;6.5;100.0;;150.0;EUR  ;;150
1258;2005 augustus 29-03;"Obligatie; Reverse Convertible Bonds                   ";NIB Capital Bank                        ;emissie             ;29 aug.             ;29 aug.             ;1.8;8.75;100.0;;5.0;EUR  ;;5
1259;2005 augustus 30-01;"Obligatie; Asset Backed Securities                     ";STRONG 2005                             ;emissie             ;26 aug              ;30 uag.             ;42.0;3.13;100.0;;0.0;EUR  ;;0
1260;2005 augustus 30-02;"Obligatie; Asset Backed Securities                     ";STRONG 2005                             ;emissie             ;26 aug              ;30 uag.             ;42.0;3.13;100.0;;1005.0;EUR  ;;1005
1261;2005 augustus 31-01;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;22 aug.             ;31 aug.             ;7.0;0.0;100.0;;25.0;EUR  ;;25
1262;2005 september 01-01;"Obligatie; Zero Coupon Notes                           ";ABN AMRO Bank                           ;emissie             ;31 aug.             ;1 sept.             ;2.0;0.0;88.83;;25.0;EUR  ;;22
1263;2005 september 01-02;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;29 aug.             ;1 sept.             ;5.0;0.0;100.0;;20.0;EUR  ;;20
1264;2005 september 01-03;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;1 aug.              ;1 sept.             ;10.0;6.0;101.0;;50.0;EUR  ;;51
1265;2005 september 02-01;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;30 aug.             ;2 sept.             ;10.0;6.7;100.0;;10.0;EUR  ;;10
1266;2005 september 02-02;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;8 aug.              ;2 sept.             ;4.0;0.0;101.0;;35.0;EUR  ;;35
1267;2005 september 02-03;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;8 aug.              ;2 sept.             ;4.0;0.0;101.0;;35.0;EUR  ;;35
1268;2005 september 05-01;"Obligatie; Euro Obligaties                             ";Nederlandse Waterschapsbank             ;emissie             ;30 aug.             ;5 sept.             ;14.5;3.88;102.7;;100.0;EUR  ;3.63;103
1269;2005 september 07-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;5 sept.             ;7 sept.             ;0.49;0.0;;;1040.0;EUR  ;2.025;1040
1270;2005 september 07-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;5 sept.             ;7 sept.             ;0.22;0.0;;;1690.0;EUR  ;2.02;1690
1271;2005 september 09-01;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;15 aug.             ;9 sept.             ;10.0;3.18;101.0;;38.0;EUR  ;;38
1272;2005 september 16-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;13 sept.            ;16 sept.            ;9.7;3.25;100.7;;2000.0;EUR  ;3.165;2014
1273;2005 september 16-02;"Obligatie; Floating Rate Notes                         ";ING Bank                                ;emissie             ;14 sept.            ;16 sept.            ;15.0;3.5;100.0;;1000.0;EUR  ;;1000
1274;2005 september 21-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;19 sept.            ;21 sept.            ;0.77;0.0;;;350.0;EUR  ;2.085;350
1275;2005 september 21-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;19 sept.            ;21 sept.            ;0.23;0.0;;;1030.0;EUR  ;2.025;1030
1276;2005 september 21-03;"Obligatie; Euro Obligaties                             ";ABN AMRO Bank                           ;emissie             ;19 sept.            ;21 sept.            ;10.0;3.25;99.55;;2000.0;EUR  ;3.304;1991
1277;2005 september 21-04;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;5 sept.             ;21 sept.            ;2.0;10.5;102.0;;35.0;EUR  ;;36
1278;2005 september 22-01;"Obligatie; Achtergestelde Converteerbare Obligatie     ";Draka Holding                           ;emissie             ;20 sept.            ;22 sept.            ;5.0;4.0;100.0;;100.0;EUR  ;;100
1279;2005 september 22-02;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;31 aug.             ;22 sept.            ;10.0;7.0;100.0;;25.0;EUR  ;;25
1280;2005 september 22-03;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;20 sept.            ;22 sept.            ;5.0;0.0;100.0;;20.0;EUR  ;;20
1281;2005 september 27-01;"Obligatie; Floating Rate Notes                         ";ABN AMRO Bank                           ;emissie             ;23 sept.            ;27 sept.            ;10.0;2.16;100.0;;125.0;EUR  ;;125
1282;2005 september 28-01;"Obligatie; Asset Backed Securities                     ";Dutch Mortgage Portfolio Loans V        ;emissie             ;28 sept.            ;28 sept.            ;46.2;3.38;100.0;;6.0;EUR  ;;6
1283;2005 september 28-02;"Obligatie; Asset Backed Securities                     ";Dutch Mortgage Portfolio Loans V        ;emissie             ;28 sept.            ;28 sept.            ;46.2;2.3;100.0;;21.0;EUR  ;;21
1284;2005 september 28-03;"Obligatie; Asset Backed Securities                     ";Dutch Mortgage Portfolio Loans V        ;emissie             ;28 sept.            ;28 sept.            ;46.2;2.61;100.0;;26.0;EUR  ;;26
1285;2005 september 28-04;"Obligatie; Asset Backed Securities                     ";Dutch Mortgage Portfolio Loans V        ;emissie             ;28 sept.            ;28 sept.            ;46.2;2.24;100.0;;1203.0;EUR  ;;1203
1286;2005 september 28-05;"Obligatie; Overige Obligaties                          ";ING Bank                                ;emissie             ;12 sept.            ;28 sept.            ;3.0;0.0;100.0;;25.0;EUR  ;;25
1287;2005 september 29-01;"Obligatie; Euro Obligaties                             ";Unilever                                ;emissie             ;27 sept.            ;29 sept.            ;10.0;3.38;99.71;;750.0;EUR  ;3.41;748
1288;2005 september 29-02;"Obligatie; Asset Backed Securities                     ";Holl. Mort. Backed Ser.(HERMES) X       ;emissie             ;27 sept.            ;29 sept.            ;34.0;2.54;100.0;;9.0;EUR  ;;9
1289;2005 september 29-03;"Obligatie; Asset Backed Securities                     ";Holl. Mort. Backed Ser.(HERMES) X       ;emissie             ;27 sept.            ;29 sept.            ;34.0;2.89;100.0;;28.0;EUR  ;;28
1290;2005 september 29-04;"Obligatie; Asset Backed Securities                     ";Holl. Mort. Backed Ser.(HERMES) X       ;emissie             ;27 sept.            ;29 sept.            ;34.0;2.42;100.0;;32.0;EUR  ;;32
1291;2005 september 29-05;"Obligatie; Asset Backed Securities                     ";Holl. Mort. Backed Ser.(HERMES) X       ;emissie             ;27 sept.            ;29 sept.            ;34.0;2.33;100.0;;35.0;EUR  ;;35
1292;2005 september 29-06;"Obligatie; Asset Backed Securities                     ";Holl. Mort. Backed Ser.(HERMES) X       ;emissie             ;27 sept.            ;29 sept.            ;34.0;2.27;100.0;;1424.0;EUR  ;;1424
1293;2005 september 29-07;"Obligatie; Overige Obligaties                          ";ABN AMRO Groenbank                      ;emissie             ;30 aug.             ;29 sept.            ;5.0;0.0;101.0;;60.0;EUR  ;;61
1294;2005 september 29-08;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;5 sept.             ;29 sept.            ;10.0;0.0;103.0;;100.0;EUR  ;;103
1295;2005 september 30-01;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;28 sept.            ;30 sept.            ;7.0;1.0;100.0;;50.0;EUR  ;;50
1296;2005 oktober 05-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;3 okt.              ;5 okt.              ;0.99;0.0;;;1090.0;EUR  ;2.22;1090
1297;2005 oktober 05-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;3 okt.              ;5 okt.              ;0.5;0.0;;;500.0;EUR  ;2.075;500
1298;2005 oktober 05-03;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;3 okt.              ;5 okt.              ;0.33;0.0;;;880.0;EUR  ;2.035;880
1299;2005 oktober 05-04;"Obligatie; Floating Rate Notes                         ";Lehman Brothers Treasury Co. BV         ;emissie             ;16 sept.            ;5 okt.              ;30.0;7.25;100.0;;250.0;EUR  ;;250
1300;2005 oktober 06-01;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;3 okt.              ;6 okt.              ;7.0;0.0;100.0;;100.0;EUR  ;;100
1301;2005 oktober 10-01;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;12 sept.            ;10 okt.             ;7.0;0.0;100.0;;75.0;EUR  ;;75
1302;2005 oktober 12-01;"Obligatie; Euro Obligaties                             ";Nederlandse Waterschapsbank             ;emissie             ;10 okt.             ;12 okt.             ;14.5;3.88;103.56;;150.0;EUR  ;3.552;155
1303;2005 oktober 12-02;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;26 sept.            ;12 okt.             ;2.0;9.0;102.0;;50.0;EUR  ;;51
1304;2005 oktober 13-01;"Obligatie; Asset Backed Securities                     ";Sound I                                 ;emissie             ;11 okt.             ;13 okt.             ;77.0;3.91;100.0;;2.0;EUR  ;;2
1305;2005 oktober 13-02;"Obligatie; Asset Backed Securities                     ";Sound I                                 ;emissie             ;11 okt.             ;13 okt.             ;77.0;2.66;100.0;;5.0;EUR  ;;5
1306;2005 oktober 13-03;"Obligatie; Asset Backed Securities                     ";Sound I                                 ;emissie             ;11 okt.             ;13 okt.             ;77.0;2.44;100.0;;6.0;EUR  ;;6
1307;2005 oktober 13-04;"Obligatie; Asset Backed Securities                     ";Sound I                                 ;emissie             ;11 okt.             ;13 okt.             ;77.0;2.38;100.0;;10.0;EUR  ;;10
1308;2005 oktober 13-05;"Obligatie; Asset Backed Securities                     ";Sound I                                 ;emissie             ;11 okt.             ;13 okt.             ;77.0;2.25;100.0;;2223.0;EUR  ;;2223
1309;2005 oktober 13-06;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;26 sept.            ;13 okt.             ;6.0;0.0;101.0;;0.0;EUR  ;;51
1310;2005 oktober 13-07;"Obligatie; Overige Obligaties                          ";ING Bank                                ;emissie             ;19 sept.            ;13 okt              ;3.0;0.0;102.0;;20.0;EUR  ;;20
1311;2005 oktober 13-08;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;19 sept.            ;13 okt.             ;5.0;0.0;101.0;;25.0;EUR  ;;25
1312;2005 oktober 14-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;11 okt.             ;14 okt.             ;2.3;2.5;100.03;;1515.0;EUR  ;2.483;1515
1313;2005 oktober 17-01;"Obligatie; Asset Backed Securities                     ";Success-2005                            ;emissie             ;11 okt.             ;17 okt.             ;9.7;2.41;100.0;;9.0;EUR  ;;9
1314;2005 oktober 17-02;"Obligatie; Asset Backed Securities                     ";Success-2005                            ;emissie             ;11 okt.             ;17 okt.             ;9.7;2.62;100.0;;9.0;EUR  ;;9
1315;2005 oktober 17-03;"Obligatie; Asset Backed Securities                     ";Success-2005                            ;emissie             ;11 okt.             ;17 okt.             ;9.7;5.18;100.0;;9.0;EUR  ;;9
1316;2005 oktober 17-04;"Obligatie; Asset Backed Securities                     ";Success-2005                            ;emissie             ;11 okt.             ;17 okt.             ;9.7;2.3;100.0;;391.0;EUR  ;;391
1317;2005 oktober 19-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;17 okt.             ;19 okt.             ;0.95;0.0;;;350.0;EUR  ;2.275;350
1318;2005 oktober 19-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;17 okt.             ;19 okt.             ;0.27;0.0;;;1670.0;EUR  ;2.055;1670
1319;2005 oktober 20-01;"Obligatie; Floating Rate Notes                         ";ABN AMRO Bank                           ;emissie             ;3 okt.              ;20 okt.             ;15.0;5.0;100.0;;50.0;EUR  ;;50
1320;2005 oktober 20-02;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;26 sept.            ;20 okt.             ;5.0;0.0;100.0;;20.0;EUR  ;;20
1321;2005 oktober 20-03;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;26 sept.            ;20 okt.             ;2.0;0.0;100.0;;20.0;EUR  ;;20
1322;2005 oktober 24-01;"Obligatie; Overige Obligaties                          ";NIB Capital Bank                        ;emissie             ;3 okt.              ;24 okt.             ;3.0;3.0;102.0;;5.0;EUR  ;;5
1323;2005 oktober 26-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;10 okt.             ;26 okt.             ;1.0;9.5;101.0;;25.0;EUR  ;;25
1324;2005 oktober 27-01;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;26 sept.            ;27 okt.             ;6.0;5.0;101.0;;50.0;EUR  ;;51
1325;2005 oktober 28-01;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;21 okt.             ;28 okt.             ;7.6;0.0;100.0;;20.0;EUR  ;;20
1326;2005 oktober 28-02;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;25 okt.             ;28 okt.             ;6.8;0.0;100.0;;10.0;EUR  ;;10
1327;2005 oktober 31-01;"Obligatie; Asset Backed Securities                     ";Solid 2005-1                            ;emissie             ;28 okt.             ;31 okt.             ;94.0;2.29;100.0;;602.0;EUR  ;;602
1328;2005 november 02-01;"Obligatie; Floating Rate Notes                         ";Lehman Brothers Treasury Co. BV         ;emissie             ;31 okt.             ;2 nov.              ;30.0;6.0;100.0;;100.0;EUR  ;;100
1329;2005 november 02-02;Aandelen                                               ;ING Premium Dividend Fonds              ;emissie             ;26 sept.            ;2 nov.              ;;;;25.0;;     ;;390
1330;2005 november 03-01;"Obligatie; Floating Rate Notes                         ";ING Bank                                ;emissie             ;17 okt.             ;3 nov.              ;10.0;6.5;100.0;;30.0;EUR  ;;30
1331;2005 november 03-02;"Obligatie; Overige Obligaties                          ";ABN AMRO bank                           ;emissie             ;3 okt.              ;3 nov.              ;15.0;0.0;101.0;;100.0;EUR  ;;101
1332;2005 november 07-01;"Obligatie; Overige Obligaties                          ";ABN AMRO bank                           ;emissie             ;3 nov.              ;7 nov.              ;10.0;0.0;101.5;;10.0;EUR  ;;10
1333;2005 november 09-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;7 nov.              ;9 nov.              ;0.48;0.0;;;1260.0;EUR  ;2.31;1260
1334;2005 november 09-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;7 nov.              ;9 nov.              ;0.21;0.0;;;1170.0;EUR  ;2.17;1170
1335;2005 november 09-03;"Obligatie; Asset Backed Securities                     ";St. Holland Homes III                   ;emissie             ;7 nov.              ;9 nov.              ;77.0;3.76;100.0;;7.0;EUR  ;;7
1336;2005 november 09-04;"Obligatie; Asset Backed Securities                     ";St. Holland Homes III                   ;emissie             ;7 nov.              ;9 nov.              ;77.0;2.65;100.0;;9.0;EUR  ;;9
1337;2005 november 09-05;"Obligatie; Asset Backed Securities                     ";St. Holland Homes III                   ;emissie             ;7 nov.              ;9 nov.              ;77.0;2.55;100.0;;19.0;EUR  ;;19
1338;2005 november 09-06;"Obligatie; Asset Backed Securities                     ";St. Holland Homes III                   ;emissie             ;7 nov.              ;9 nov.              ;77.0;2.49;100.0;;722.0;EUR  ;;722
1339;2005 november 10-01;"Obligatie; Euro Obligaties                             ";Koninklijke DSM                         ;emissie             ;8 nov.              ;10 nov.             ;10.0;4.0;99.43;;300.0;EUR  ;4.07;298
1340;2005 november 10-02;"Obligatie; Asset Backed Securities                     ";Darts Finance                           ;emissie             ;8 nov.              ;10 nov.             ;59.0;2.58;100.0;;7.0;EUR  ;;7
1341;2005 november 11-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;8 nov.              ;11 nov.             ;9.6;3.25;97.82;;2102.0;EUR  ;3.518;2057
1342;2005 november 16-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;31 okt.             ;16 nov.             ;2.0;9.0;102.0;;30.0;EUR  ;;31
1343;2005 november 17-01;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;3 okt.              ;17 nov.             ;10.0;0.0;100.0;;90.0;EUR  ;;90
1344;2005 november 17-02;Aandelen                                               ;ABN AMRO All Income Fund, serie 7       ;emissie             ;3 okt.              ;17 nov.             ;;;;50.0;;     ;;117
1345;2005 november 18-01;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;31 okt.             ;18 nov.             ;10.0;6.0;100.0;;13.0;EUR  ;;13
1346;2005 november 21-01;"Obligatie; Reverse Convertible Bonds                   ";NIB Capital Bank                        ;emissie             ;31 okt.             ;21 nov.             ;2.0;8.0;102.0;;5.0;EUR  ;;5
1347;2005 november 22-01;Aandelen                                               ;Tele Atlas                              ;emissie             ;9 nov.              ;22 nov.             ;;;;18.5;;     ;;134
1348;2005 november 23-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;21 nov.             ;23 nov.             ;0.75;0.0;;;650.0;EUR  ;2.5;650
1349;2005 november 23-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;21 nov.             ;23 nov.             ;0.27;0.0;;;1000.0;EUR  ;2.32;1000
1350;2005 november 23-03;"Obligatie; Overige Obligaties                          ";Van Lanschot Bankiers                   ;emissie             ;26 okt.             ;23 nov.             ;5.0;0.0;101.0;;40.0;EUR  ;;40
1351;2005 november 28-01;"Obligatie; Euro Obligaties                             ";ING Verzekeringen                       ;emissie             ;23 nov.             ;28 nov.             ;7.0;3.5;101.38;;500.0;EUR  ;3.276;507
1352;2005 november 28-02;"Obligatie; Overige Obligaties                          ";ING Bank                                ;emissie             ;31 okt.             ;28 nov.             ;6.0;0.0;100.0;;50.0;EUR  ;;50
1353;2005 november 30-01;"Obligatie; Asset Backed Securities                     ";BEST 2005                               ;emissie             ;28 nov.             ;30 nov.             ;73.0;2.7;100.0;;19.0;EUR  ;;19
1354;2005 november 30-02;"Obligatie; Asset Backed Securities                     ";BEST 2005                               ;emissie             ;28 nov.             ;30 nov.             ;73.0;3.21;100.0;;22.0;EUR  ;;22
1355;2005 november 30-03;"Obligatie; Asset Backed Securities                     ";BEST 2005                               ;emissie             ;28 nov.             ;30 nov.             ;73.0;2.64;100.0;;38.0;EUR  ;;38
1356;2005 november 30-04;"Obligatie; Asset Backed Securities                     ";BEST 2005                               ;emissie             ;28 nov.             ;30 nov.             ;73.0;2.59;100.0;;2170.0;EUR  ;;2170
1357;2005 december 01-01;"Obligatie; Asset Backed Securities                     ";Dutch MBS XIV                           ;emissie             ;29 nov.             ;1 dec.              ;32.0;4.03;100.0;;7.0;EUR  ;;7
1358;2005 december 01-02;"Obligatie; Asset Backed Securities                     ";Dutch MBS XIV                           ;emissie             ;29 nov.             ;1 dec.              ;32.0;2.9;100.0;;14.0;EUR  ;;14
1359;2005 december 01-03;"Obligatie; Asset Backed Securities                     ";Dutch MBS XIV                           ;emissie             ;29 nov.             ;1 dec.              ;32.0;2.7;100.0;;17.0;EUR  ;;17
1360;2005 december 01-04;"Obligatie; Asset Backed Securities                     ";Dutch MBS XIV                           ;emissie             ;29 nov.             ;1 dec.              ;32.0;2.6;100.0;;23.0;EUR  ;;23
1361;2005 december 01-05;"Obligatie; Asset Backed Securities                     ";Dutch MBS XIV                           ;emissie             ;29 nov.             ;1 dec.              ;32.0;2.56;100.0;;1429.0;EUR  ;;1429
1362;2005 december 07-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;5 dec.              ;7 dec               ;0.5;0.0;;;1260.0;EUR  ;2.425;1260
1363;2005 december 07-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;5 dec.              ;7 dec               ;0.2;0.0;;;1500.0;EUR  ;2.305;1500
1364;2005 december 08-01;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;7 nov.              ;8 dec.              ;10.0;6.0;101.0;;50.0;EUR  ;;51
1365;2005 december 09-01;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;14 nov.             ;9 dec.              ;3.0;0.0;100.0;;35.0;EUR  ;;35
1366;2005 december 12-01;"Obligatie; Euro Obligaties                             ";Rodamco Europe Finance                  ;emissie             ;8 dec.              ;12 dec.             ;7.0;3.75;100.0;;500.0;EUR  ;;500
1367;2005 december 12-02;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;1 nov.              ;12 dec.             ;10.0;0.0;100.0;;50.0;EUR  ;;50
1368;2005 december 12-03;Aandelen                                               ;Punch Technix                           ;emissie             ;5 dec.              ;12 dec.             ;;;;10.0;;     ;;9
1369;2005 december 13-01;"Obligatie; Euro Obligaties                             ";Nederlandse Waterschapsbank             ;emissie             ;9 dec.              ;13 dec.             ;14.2;3.88;101.0;;100.0;EUR  ;3.782;101
1370;2005 december 14-01;"Obligatie; Eeuwigdurende obligaties                    ";van Lanschot Bankiers                   ;emissie             ;9 dec.              ;14 dec.             ;;4.86;100.0;;150.0;EUR  ;;150
1371;2005 december 14-02;"Obligatie; Floating Rate Notes                         ";Achmea Hypotheekbank                    ;emissie             ;12 dec.             ;14 dec.             ;5.0;2.55;99.76;;500.0;EUR  ;;499
1372;2005 december 16-01;"Obligatie; Floating Rate Notes                         ";ING Verzekeringen                       ;emissie             ;14 dec.             ;16 dec.             ;2.1;2.53;100.0;;300.0;EUR  ;;300
1373;2005 december 16-02;Aandelen                                               ;ABN AMRO Groen Fonds                    ;emissie             ;14 nov.             ;16 dec.             ;;;;50.7;;     ;;33
1374;2005 december 21-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;19 dec.             ;21 dec.             ;0.75;0.0;;;530.0;EUR  ;2.595;530
1375;2005 december 21-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;19 dec.             ;21 dec.             ;0.26;0.0;;;1110.0;EUR  ;2.345;1110
1376;2005 december 23-01;"Obligatie; Euro Obligaties                             ";ING Verzekeringen                       ;emissie             ;21 dec.             ;23 dec.             ;7.0;3.5;100.0;;100.0;EUR  ;;100
1377;2005 december 23-02;"Obligatie; Covered Bond                                ";ABN AMRO Bank                           ;emissie             ;15 nov.             ;23 dec.             ;10.0;4.3;101.5;;50.0;EUR  ;;51
1378;2005 december 23-03;"Obligatie; Overige Obligaties                          ";ING Bank                                ;emissie             ;28 nov.             ;23 dec.             ;4.0;0.0;102.0;;25.0;EUR  ;;26
1379;2005 december 27-01;"Obligatie; Reverse Convertible Bonds                   ";NIB Capital Bank                        ;emissie             ;2 dec.              ;27 dec.             ;2.0;8.0;102.0;;40.0;EUR  ;;41
1380;2006 januari 03-01;"Obligatie; Floating Rate Notes                         ";ABN AMRO Bank                           ;emissie             ;5 dec               ;3 jan.              ;10.0;2.25;100.0;;50.0;EUR  ;;50
1381;2006 januari 05-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;3 jan.              ;5 jan.              ;0.8;0.0;;;1250.0;EUR  ;2.725;1250
1382;2006 januari 05-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;3 jan.              ;5 jan.              ;0.45;0.0;;;1410.0;EUR  ;2.52;1410
1383;2006 januari 05-03;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;3 jan.              ;5 jan.              ;0.2;0.0;;;3500.0;EUR  ;2.37;3500
1384;2006 januari 05-04;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;28 nov.             ;5 jan.              ;6.0;0.0;100.0;;25.0;EUR  ;;25
1385;2006 januari 13-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;10 jan.             ;13 jan.             ;3.2;2.75;99.5;;1935.0;EUR  ;2.909;1925
1386;2006 januari 13-02;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;12 dec.             ;13 jan.             ;6.0;0.0;101.0;;50.0;EUR  ;;51
1387;2006 januari 18-01;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;16 jan.             ;18 jan.             ;0.9;0.0;;;710.0;EUR  ;2.665;710
1388;2006 januari 18-02;"Obligatie; Dutch Treasury Certificates                 ";Staat der Nederlanden                   ;emissie             ;16 jan.             ;18 jan.             ;0.25;0.0;;;2240.0;EUR  ;2.4;2240
1389;2006 januari 18-03;"Obligatie; Euro Obligaties                             ";ABN AMRO Bank                           ;emissie             ;16 jan.             ;18 jan.             ;7.0;3.25;99.53;;2000.0;EUR  ;3.326;1991
1390;2006 januari 18-04;"Obligatie; Euro Obligaties                             ";Rabobank Nederland                      ;emissie             ;16 jan.             ;18 jan.             ;10.0;3.38;99.37;;1750.0;EUR  ;3.451;1739
1391;2006 januari 18-05;"Obligatie; Floating Rate Notes                         ";ING Bank                                ;emissie             ;18 jan.             ;18 jan.             ;10.0;2.61;99.8;;1000.0;EUR  ;;999
