ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;PersonenautoSTotaal_5;PersonenautoSJongerDan6Jaar_6;PersonenautoS6JaarEnOuder_7;PersonenautoSBrandstofBenzine_8;PersonenautoSOverigeBrandstof_9;PersonenautoSPerHuishouden_10;PersonenautoSNaarOppervlakte_11;MotorfietsenVanParticulieren_12;VoertuigMetBromfietskentekenVanPart_13
2154;Bronneger;Borger-Odoorn                           ;Buurt     ;BU16810200;1;60;15;45;40;20;;;5;5
2155;Verspreide huizen Bronneger;Borger-Odoorn                           ;Buurt     ;BU16810209;1;0;0;0;0;0;;;0;0
2156;Wijk 03 Drouwen;Borger-Odoorn                           ;Wijk      ;WK168103  ;1;320;90;230;230;85;1.5;23.0;40;30
2157;Drouwen;Borger-Odoorn                           ;Buurt     ;BU16810300;1;275;75;200;195;75;1.5;374.0;35;30
2158;Verspreide huizen Drouwen;Borger-Odoorn                           ;Buurt     ;BU16810309;1;45;15;30;35;10;;;5;5
2159;Wijk 04 Bronnegerveen;Borger-Odoorn                           ;Wijk      ;WK168104  ;1;55;10;45;40;15;;;10;5
2160;Verspreide huizen Bronnegerveen;Borger-Odoorn                           ;Buurt     ;BU16810409;1;55;10;45;40;15;;;10;5
2161;Wijk 05 Drouwenerveen;Borger-Odoorn                           ;Wijk      ;WK168105  ;1;150;35;115;95;50;1.4;47.0;40;5
2162;Drouwenerveen;Borger-Odoorn                           ;Buurt     ;BU16810500;1;145;35;110;95;50;1.5;117.0;40;5
2163;Verspreide huizen Drouwenerveen;Borger-Odoorn                           ;Buurt     ;BU16810509;1;5;0;0;5;0;;;5;0
2164;Wijk 06 Drouwenermond;Borger-Odoorn                           ;Wijk      ;WK168106  ;1;300;60;240;225;80;1.4;22.0;50;35
2165;Drouwenermond;Borger-Odoorn                           ;Buurt     ;BU16810600;1;300;60;240;220;75;1.4;185.0;50;35
2166;Verspreide huizen Drouwenermond;Borger-Odoorn                           ;Buurt     ;BU16810609;1;5;0;0;5;0;;;0;0
2167;Wijk 07 Nieuw-Buinen;Borger-Odoorn                           ;Wijk      ;WK168107  ;1;2455;565;1890;1935;520;1.2;109.0;260;235
2168;Nieuw-Buinen;Borger-Odoorn                           ;Buurt     ;BU16810700;1;2430;555;1875;1915;510;1.2;526.0;255;235
2169;Verspreide huizen Nieuw-Buinen;Borger-Odoorn                           ;Buurt     ;BU16810709;1;25;10;20;15;10;;;5;0
2170;Wijk 08 Buinerveen;Borger-Odoorn                           ;Wijk      ;WK168108  ;1;265;50;220;190;80;1.6;35.0;50;35
2171;Buinerveen;Borger-Odoorn                           ;Buurt     ;BU16810800;1;265;50;220;190;80;1.6;229.0;45;30
2172;Verspreide huizen Buinerveen;Borger-Odoorn                           ;Buurt     ;BU16810809;1;0;0;0;0;0;;;0;0
2173;Wijk 09 Ees;Borger-Odoorn                           ;Wijk      ;WK168109  ;1;430;95;335;310;125;1.5;21.0;40;45
2174;Ees;Borger-Odoorn                           ;Buurt     ;BU16810900;1;180;40;140;135;45;1.3;287.0;15;25
2175;Eesergroen;Borger-Odoorn                           ;Buurt     ;BU16810901;1;65;15;50;40;25;;;5;5
2176;Verspreide huizen Eeserveen;Borger-Odoorn                           ;Buurt     ;BU16810907;1;110;20;90;80;30;1.6;18.0;15;10
2177;Verspreide huizen Eesergroen;Borger-Odoorn                           ;Buurt     ;BU16810908;1;30;10;20;25;5;;;0;0
2178;Verspreide huizen Ees;Borger-Odoorn                           ;Buurt     ;BU16810909;1;45;15;30;30;15;;;0;5
2179;Wijk 10 Odoorn;Borger-Odoorn                           ;Wijk      ;WK168110  ;1;990;315;680;765;225;1.2;59.0;105;80
2180;Odoorn;Borger-Odoorn                           ;Buurt     ;BU16811000;1;990;315;675;760;225;1.3;486.0;105;80
2181;Verspreide huizen Odoorn;Borger-Odoorn                           ;Buurt     ;BU16811009;1;5;0;5;5;0;;;0;0
2182;Wijk 11 Exloo;Borger-Odoorn                           ;Wijk      ;WK168111  ;1;925;290;635;695;235;1.3;50.0;90;115
2183;Exloo;Borger-Odoorn                           ;Buurt     ;BU16811100;1;890;285;605;665;225;1.3;424.0;90;115
2184;Verspreide huizen Exloo;Borger-Odoorn                           ;Buurt     ;BU16811109;1;35;10;25;25;10;;;5;5
2185;Wijk 12 Valthe;Borger-Odoorn                           ;Wijk      ;WK168112  ;1;760;190;570;595;165;1.4;73.0;115;90
2186;Valthe;Borger-Odoorn                           ;Buurt     ;BU16811200;1;650;170;480;515;135;1.4;475.0;95;65
2187;Verspreide huizen Valthe;Borger-Odoorn                           ;Buurt     ;BU16811209;1;110;20;95;80;30;1.7;12.0;20;25
2188;Wijk 13 Klijndijk;Borger-Odoorn                           ;Wijk      ;WK168113  ;1;465;135;330;345;120;1.4;64.0;60;65
2189;Klijndijk;Borger-Odoorn                           ;Buurt     ;BU16811300;1;430;130;300;315;110;1.4;294.0;55;60
2190;Verspreide huizen Klijndijk;Borger-Odoorn                           ;Buurt     ;BU16811309;1;40;5;35;30;10;;;5;5
2191;Wijk 14 Odoornerveen;Borger-Odoorn                           ;Wijk      ;WK168114  ;1;215;60;155;125;90;1.4;18.0;35;25
2192;Odoornerveen;Borger-Odoorn                           ;Buurt     ;BU16811400;1;190;50;140;110;85;1.5;107.0;30;25
2193;Verspreide huizen Odoornerveen;Borger-Odoorn                           ;Buurt     ;BU16811409;1;25;10;15;15;10;;;5;5
2194;Wijk 15 Tweede Exloërmond;Borger-Odoorn                           ;Wijk      ;WK168115  ;1;1590;340;1255;1195;400;1.4;39.0;160;225
2195;Tweede Exloërmond;Borger-Odoorn                           ;Buurt     ;BU16811500;1;1345;285;1060;1025;315;1.4;359.0;140;175
2196;Eerste Exloërmond;Borger-Odoorn                           ;Buurt     ;BU16811501;1;195;45;150;135;60;1.3;85.0;15;45
2197;Exloërveen;Borger-Odoorn                           ;Buurt     ;BU16811502;1;35;5;30;20;10;;;0;10
2198;Verspreide huizen Tweede Exloërmond;Borger-Odoorn                           ;Buurt     ;BU16811509;1;20;5;15;15;5;;;0;0
2199;Wijk 16 Valthermond;Borger-Odoorn                           ;Wijk      ;WK168116  ;1;2035;405;1630;1560;475;1.3;52.0;245;235
2200;Valthermond;Borger-Odoorn                           ;Buurt     ;BU16811600;1;1925;380;1545;1485;440;1.3;330.0;235;220
2201;Zandberg;Borger-Odoorn                           ;Buurt     ;BU16811601;1;40;10;30;30;10;;;0;5
2202;Tweede Valthermond;Borger-Odoorn                           ;Buurt     ;BU16811602;1;40;10;30;25;15;;;5;10
2203;Verspreide huizen Valthermond;Borger-Odoorn                           ;Buurt     ;BU16811609;1;30;5;25;20;10;;;0;0
2204;Borne;Borne                                   ;Gemeente  ;GM0147    ;.;10390;3030;7360;8745;1650;1.1;400.0;1065;1105
2205;Niet nader toe te delen;Borne                                   ;          ;          ; ;5;0;5;0;0;;;0;0
2206;Wel nader toe te delen;Borne                                   ;          ;          ; ;10390;3030;7355;8745;1645;;;1065;1105
2207;Wijk 00 Borne;Borne                                   ;Wijk      ;WK014700  ;1;9315;2725;6590;7895;1420;1.1;861.0;905;995
2208;Bornsche Maten;Borne                                   ;Buurt     ;BU01470000;1;800;300;500;665;135;1.2;587.0;60;45
2209;Borne Centrum;Borne                                   ;Buurt     ;BU01470001;1;1520;465;1055;1315;200;0.9;1997.0;145;145
2210;'t Wensink Noord;Borne                                   ;Buurt     ;BU01470002;1;425;120;305;360;65;1.0;1514.0;45;45
2211;'t Wensink Zuid;Borne                                   ;Buurt     ;BU01470003;1;1000;205;795;865;130;1.2;1799.0;95;130
2212;Dikkerslaan-Molenkampsweg en omgeving;Borne                                   ;Buurt     ;BU01470004;1;785;200;585;675;110;1.1;907.0;95;95
2213;Lettersveld I;Borne                                   ;Buurt     ;BU01470005;1;765;225;545;640;125;1.3;1166.0;85;95
2214;Lettersveld II;Borne                                   ;Buurt     ;BU01470006;1;1475;360;1115;1255;220;1.1;2248.0;125;155
2215;Tichelkamp;Borne                                   ;Buurt     ;BU01470007;1;570;140;430;465;105;1.2;1603.0;85;105
2216;Stroom-Esch;Borne                                   ;Buurt     ;BU01470008;1;1850;680;1170;1535;315;1.2;1785.0;150;155
2217;Verspreide huizen Borne-West;Borne                                   ;Buurt     ;BU01470009;1;130;30;100;115;15;1.1;30.0;20;20
2218;Wijk 01 Buitengebied Borne;Borne                                   ;Wijk      ;WK014701  ;1;1075;310;765;845;225;1.4;71.0;165;110
2219;Verspreide huizen Borne-Oost;Borne                                   ;Buurt     ;BU01470100;1;125;45;80;100;25;1.4;79.0;10;15
2220;Zenderen;Borne                                   ;Buurt     ;BU01470101;1;530;160;370;430;100;1.4;1058.0;90;50
2221;Verspreide huizen Zenderen;Borne                                   ;Buurt     ;BU01470102;1;165;45;120;115;45;1.1;20.0;30;20
2222;Hertme;Borne                                   ;Buurt     ;BU01470105;1;145;40;105;120;25;1.5;254.0;15;15
2223;Verspreide huizen Hertme;Borne                                   ;Buurt     ;BU01470106;1;110;20;90;80;30;1.6;25.0;15;5
2224;Borsele;Borsele                                 ;Gemeente  ;GM0654    ;.;11850;2800;9050;9870;1980;1.3;84.0;1405;1635
2225;Niet nader toe te delen;Borsele                                 ;          ;          ; ;0;0;0;0;0;;;0;0
2226;Wel nader toe te delen;Borsele                                 ;          ;          ; ;11850;2800;9050;9870;1980;;;1405;1635
2227;Wijk 00 Borsele-West;Borsele                                 ;Wijk      ;WK065400  ;1;3275;710;2565;2720;555;1.3;66.0;450;510
2228;'s-Heerenhoek;Borsele                                 ;Buurt     ;BU06540000;1;865;235;635;750;120;1.1;1353.0;95;100
2229;Borssele;Borsele                                 ;Buurt     ;BU06540001;1;570;85;485;465;100;1.3;1027.0;60;130
2230;Nieuwdorp;Borsele                                 ;Buurt     ;BU06540002;1;480;95;385;395;85;1.2;1191.0;85;80
2231;Lewedorp;Borsele                                 ;Buurt     ;BU06540003;1;645;135;510;560;80;1.3;1822.0;90;80
2232;Havengebied Sloe;Borsele                                 ;Buurt     ;BU06540004;1;0;0;0;0;0;;;0;0
2233;Verspreide huizen 's-Heerenhoek;Borsele                                 ;Buurt     ;BU06540006;1;170;35;135;130;40;1.4;20.0;30;30
2234;Verspreide huizen Borssele;Borsele                                 ;Buurt     ;BU06540007;1;110;15;95;90;20;1.5;10.0;10;20
2235;Verspreide huizen Nieuwdorp;Borsele                                 ;Buurt     ;BU06540008;1;140;35;105;105;35;1.4;32.0;15;20
2236;Verspreide huizen Lewedorp;Borsele                                 ;Buurt     ;BU06540009;1;300;80;220;230;70;1.4;21.0;55;45
2237;Wijk 01 Borsele-Oost;Borsele                                 ;Wijk      ;WK065401  ;1;5565;1430;4135;4710;855;1.2;136.0;525;700
2238;Heinkenszand;Borsele                                 ;Buurt     ;BU06540100;1;2580;720;1865;2225;360;1.2;1337.0;240;325
2239;'s-Gravenpolder;Borsele                                 ;Buurt     ;BU06540101;1;1920;460;1460;1640;280;1.2;1366.0;150;210
2240;Nisse;Borsele                                 ;Buurt     ;BU06540102;1;300;80;215;245;55;1.4;876.0;45;35
2241;'s-Heer-Abtskerke;Borsele                                 ;Buurt     ;BU06540103;1;215;65;150;170;40;1.4;849.0;30;25
2242;Verspreide huizen Heinkenszand;Borsele                                 ;Buurt     ;BU06540106;1;300;60;240;240;60;1.4;29.0;30;60
2243;Verspreide huizen 's-Gravenpolder;Borsele                                 ;Buurt     ;BU06540107;1;115;20;95;90;25;1.4;17.0;15;15
2244;Verspreide huizen Nisse;Borsele                                 ;Buurt     ;BU06540108;1;65;10;55;45;15;1.2;6.0;10;10
2245;Verspreide huizen 's Heer-Abtskerke;Borsele                                 ;Buurt     ;BU06540109;1;75;15;60;55;20;1.3;7.0;10;20
2246;Wijk 02 Borsele-Midden en -Oost;Borsele                                 ;Wijk      ;WK065402  ;1;1615;350;1265;1330;285;1.3;75.0;235;220
2247;Ovezande;Borsele                                 ;Buurt     ;BU06540200;1;470;100;370;410;60;1.2;1045.0;85;65
2248;Hoedekenskerke;Borsele                                 ;Buurt     ;BU06540201;1;300;60;240;245;55;1.3;1035.0;50;45
2249;Kwadendamme;Borsele                                 ;Buurt     ;BU06540202;1;355;80;280;305;55;1.2;1573.0;35;45
2250;Verspreide huizen Ovezande;Borsele                                 ;Buurt     ;BU06540207;1;180;50;135;145;40;1.6;21.0;20;15
2251;Verspreide huizen Hoedekenskerke;Borsele                                 ;Buurt     ;BU06540208;1;100;20;80;70;30;1.7;17.0;10;10
2252;Verspreide huizen Kwadendamme;Borsele                                 ;Buurt     ;BU06540209;1;210;45;160;160;50;1.5;35.0;35;35
2253;Wijk 03 Borsele-Zuidoost;Borsele                                 ;Wijk      ;WK065403  ;1;1395;310;1085;1110;285;1.4;48.0;195;200
2254;Baarland;Borsele                                 ;Buurt     ;BU06540300;1;280;55;225;235;40;1.4;911.0;30;45
2255;Oudelande;Borsele                                 ;Buurt     ;BU06540301;1;295;65;225;235;60;1.4;723.0;45;25
2256;Driewegen;Borsele                                 ;Buurt     ;BU06540302;1;235;60;175;180;50;1.3;568.0;35;20
2257;Ellewoutsdijk;Borsele                                 ;Buurt     ;BU06540303;1;205;40;165;175;30;1.3;539.0;40;40
2258;Verspreide huizen Baarland;Borsele                                 ;Buurt     ;BU06540306;1;90;20;70;65;25;1.5;11.0;5;15
2259;Verspreide huizen Oudelande;Borsele                                 ;Buurt     ;BU06540307;1;145;30;115;110;35;1.8;18.0;20;45
2260;Verspreide huizen Driewegen;Borsele                                 ;Buurt     ;BU06540308;1;110;20;90;85;25;1.6;20.0;15;5
2261;Verspreide huizen Ellewoutsdijk;Borsele                                 ;Buurt     ;BU06540309;1;40;10;25;30;10;;;10;5
2262;Boxmeer;Boxmeer                                 ;Gemeente  ;GM0756    ;.;14010;3210;10795;11145;2865;1.2;126.0;1360;1370
2263;Niet nader toe te delen;Boxmeer                                 ;          ;          ; ;5;0;5;5;0;;;0;5
2264;Wel nader toe te delen;Boxmeer                                 ;          ;          ; ;14005;3210;10790;11140;2865;;;1360;1365
2265;Wijk 00 Boxmeer;Boxmeer                                 ;Wijk      ;WK075600  ;1;5505;1385;4120;4490;1015;1.0;515.0;460;545
2266;Boxmeer Centrum;Boxmeer                                 ;Buurt     ;BU07560000;1;705;165;540;580;125;0.8;1250.0;45;65
2267;Bakelgeert-Noord;Boxmeer                                 ;Buurt     ;BU07560001;1;1060;210;850;890;170;0.9;2397.0;80;100
2268;Bakelgeert-Zuid;Boxmeer                                 ;Buurt     ;BU07560002;1;445;95;350;370;80;0.9;1154.0;55;50
2269;De Elzen;Boxmeer                                 ;Buurt     ;BU07560003;1;600;170;435;490;110;1.0;1353.0;55;45
2270;Villapark 't Zand;Boxmeer                                 ;Buurt     ;BU07560004;1;250;60;190;195;50;1.3;631.0;15;10
2271;Luneven;Boxmeer                                 ;Buurt     ;BU07560005;1;1280;350;925;1035;245;1.1;2097.0;105;175
2272;Hollesteeg;Boxmeer                                 ;Buurt     ;BU07560006;1;695;200;490;545;150;1.3;2135.0;50;55
2273;Maasbroeksche Blokken;Boxmeer                                 ;Buurt     ;BU07560007;1;285;95;190;235;55;1.3;852.0;25;20
2274;Bedrijventerrein Saxa Gotha;Boxmeer                                 ;Buurt     ;BU07560008;1;170;35;135;140;30;1.1;119.0;20;25
2275;Verspreide huizen Boxmeer;Boxmeer                                 ;Buurt     ;BU07560009;1;20;5;10;10;5;;;5;0
2276;Wijk 01 Sambeek;Boxmeer                                 ;Wijk      ;WK075601  ;1;825;190;640;640;185;1.3;100.0;75;80
2277;Sambeek Centrum;Boxmeer                                 ;Buurt     ;BU07560100;1;695;160;535;545;150;1.3;630.0;60;65
2278;Verspreide huizen Sambeek;Boxmeer                                 ;Buurt     ;BU07560109;1;130;25;105;100;35;1.3;18.0;15;15
2279;Wijk 02 Beugen;Boxmeer                                 ;Wijk      ;WK075602  ;1;875;190;685;705;170;1.4;88.0;120;80
2280;Beugen Centrum;Boxmeer                                 ;Buurt     ;BU07560200;1;630;145;485;515;115;1.4;747.0;80;35
2281;Verspreide huizen Beugen;Boxmeer                                 ;Buurt     ;BU07560209;1;245;45;200;190;55;1.4;27.0;40;45
2282;Wijk 03 Oeffelt;Boxmeer                                 ;Wijk      ;WK075603  ;1;1210;275;935;955;255;1.3;129.0;115;100
2283;Oeffelt Centrum;Boxmeer                                 ;Buurt     ;BU07560300;1;1015;235;775;810;200;1.3;760.0;100;85
2284;Verspreide huizen Oeffelt;Boxmeer                                 ;Buurt     ;BU07560309;1;200;40;160;145;55;1.4;25.0;20;20
2285;Wijk 04 Rijkevoort;Boxmeer                                 ;Wijk      ;WK075604  ;1;895;180;715;710;185;1.4;74.0;120;75
2286;Rijkevoort Centrum;Boxmeer                                 ;Buurt     ;BU07560400;1;775;155;615;620;155;1.4;934.0;100;65
2287;Verspreide huizen Rijkevoort;Boxmeer                                 ;Buurt     ;BU07560409;1;120;20;100;95;30;1.1;11.0;15;5
2288;Wijk 05 Vortum-Mullem;Boxmeer                                 ;Wijk      ;WK075605  ;1;365;65;300;280;85;1.5;56.0;35;35
2289;Vortum-Mullem Centrum;Boxmeer                                 ;Buurt     ;BU07560500;1;265;45;220;215;50;1.6;409.0;30;25
2290;Verspreide huizen Vortum-Mullem;Boxmeer                                 ;Buurt     ;BU07560509;1;100;20;80;65;30;1.4;17.0;0;10
2291;Wijk 06 Vierlingsbeek;Boxmeer                                 ;Wijk      ;WK075606  ;1;1570;325;1240;1210;360;1.3;90.0;140;155
2292;Vierlingsbeek Centrum;Boxmeer                                 ;Buurt     ;BU07560600;1;1245;265;980;985;260;1.3;703.0;110;115
2293;Groeningen Centrum;Boxmeer                                 ;Buurt     ;BU07560601;1;215;35;175;145;65;1.7;558.0;20;35
2294;Verspr.h. Vierlingsbeek en Groeningen;Boxmeer                                 ;Buurt     ;BU07560609;1;110;25;90;80;30;1.0;7.0;10;5
2295;Wijk 07 Overloon;Boxmeer                                 ;Wijk      ;WK075607  ;1;1980;430;1550;1565;420;1.2;68.0;215;235
2296;Overloon Centrum;Boxmeer                                 ;Buurt     ;BU07560700;1;1480;335;1145;1205;275;1.3;1165.0;155;150
2297;Verspreide huizen Westerbeek;Boxmeer                                 ;Buurt     ;BU07560707;1;25;5;20;15;10;;;5;0
2298;Verspreide huizen Stevensbeek;Boxmeer                                 ;Buurt     ;BU07560708;1;15;5;15;15;5;0.1;4.0;0;0
2299;Verspreide huizen Overloon;Boxmeer                                 ;Buurt     ;BU07560709;1;460;90;370;335;125;1.5;23.0;55;80
2300;Wijk 08 Maashees;Boxmeer                                 ;Wijk      ;WK075608  ;1;480;100;380;370;110;1.3;93.0;45;55
2301;Maashees Centrum;Boxmeer                                 ;Buurt     ;BU07560800;1;410;90;320;320;90;1.4;857.0;30;45
2302;Verspreide huizen Maashees;Boxmeer                                 ;Buurt     ;BU07560809;1;70;10;55;50;20;1.0;15.0;15;10
2303;Wijk 09 Holthees;Boxmeer                                 ;Wijk      ;WK075609  ;1;295;70;225;215;80;1.6;103.0;30;15
2304;Holthees Centrum;Boxmeer                                 ;Buurt     ;BU07560900;1;260;60;200;190;70;1.6;587.0;30;10
2305;Verspreide Huizen Holthees;Boxmeer                                 ;Buurt     ;BU07560909;1;35;10;25;25;10;;;5;5
2306;Boxtel;Boxtel                                  ;Gemeente  ;GM0757    ;.;13440;3170;10270;11030;2410;1.0;211.0;1315;2110
2307;Niet nader toe te delen;Boxtel                                  ;          ;          ; ;0;0;0;0;0;;;0;5
2308;Wel nader toe te delen;Boxtel                                  ;          ;          ; ;13440;3170;10270;11030;2410;;;1315;2105
2309;Wijk 00 Boxtel;Boxtel                                  ;Wijk      ;WK075700  ;1;10400;2425;7975;8660;1740;1.0;308.0;945;1530
2310;Boxtel-Centrum;Boxtel                                  ;Buurt     ;BU07570000;1;3020;675;2345;2560;455;0.8;1184.0;280;505
2311;Boxtel-Oost;Boxtel                                  ;Buurt     ;BU07570001;1;4180;965;3215;3510;670;1.1;2380.0;375;535
2312;Boxtel-Noord;Boxtel                                  ;Buurt     ;BU07570002;1;1500;285;1215;1245;255;0.9;1703.0;125;300
2313;Munsel-Selissen;Boxtel                                  ;Buurt     ;BU07570003;1;1085;380;705;875;210;1.3;726.0;95;110
2314;Industrieterrein Boxtel;Boxtel                                  ;Buurt     ;BU07570004;1;55;10;45;45;15;;;10;15
2315;Verspreide huizen Kleinderliempde;Boxtel                                  ;Buurt     ;BU07570005;1;100;20;85;75;25;1.4;40.0;5;10
2316;Verspr.h. Tongeren, Luissel en Nergena;Boxtel                                  ;Buurt     ;BU07570006;1;190;40;150;145;45;1.4;34.0;20;20
2317;Verspreide huizen Hal en Heult;Boxtel                                  ;Buurt     ;BU07570007;1;60;10;50;45;20;;;10;5
2318;Verspreide huizen Langenberg;Boxtel                                  ;Buurt     ;BU07570008;1;115;15;100;90;25;1.4;33.0;15;20
2319;Verspreide huizen Roond;Boxtel                                  ;Buurt     ;BU07570009;1;95;25;70;70;25;1.6;10.0;5;10
2320;Wijk 01 Lennisheuvel;Boxtel                                  ;Wijk      ;WK075701  ;1;555;135;420;415;140;1.3;51.0;70;110
2321;Lennisheuvel;Boxtel                                  ;Buurt     ;BU07570100;1;395;100;295;305;90;1.3;846.0;50;80
2322;Verspreide huizen Lennisheuvel;Boxtel                                  ;Buurt     ;BU07570109;1;160;35;125;110;50;1.5;15.0;20;30
2323;Wijk 02 Liempde;Boxtel                                  ;Wijk      ;WK075702  ;1;2485;610;1875;1955;530;1.3;131.0;300;465
2324;Liempde;Boxtel                                  ;Buurt     ;BU07570200;1;2115;540;1575;1680;435;1.3;1061.0;250;425
2325;Hezelaar;Boxtel                                  ;Buurt     ;BU07570206;1;95;15;80;75;20;1.6;83.0;20;10
2326;Vrilkhoven;Boxtel                                  ;Buurt     ;BU07570207;1;55;10;45;45;15;;;10;10
2327;Verspreide huizen Kasteren en Berg;Boxtel                                  ;Buurt     ;BU07570208;1;130;20;105;95;35;1.3;20.0;5;10
2328;Verspr.h. Velders, Bosch en De Scheeken;Boxtel                                  ;Buurt     ;BU07570209;1;90;25;65;70;20;1.6;11.0;20;10
2329;Breda;Breda                                   ;Gemeente  ;GM0758    ;.;76500;21455;55045;64480;12020;0.9;607.0;5500;8255
2330;Niet nader toe te delen;Breda                                   ;          ;          ; ;25;10;15;20;5;;;5;10
2331;Wel nader toe te delen;Breda                                   ;          ;          ; ;76470;21445;55025;64460;12015;;;5495;8245
2332;Breda Centrum;Breda                                   ;Wijk      ;WK075800  ;1;5025;1320;3705;4220;805;0.5;2521.0;350;615
2333;Valkenberg;Breda                                   ;Buurt     ;BU07580001;1;610;155;450;500;110;0.4;1562.0;65;65
2334;Chassé;Breda                                   ;Buurt     ;BU07580002;3;1285;440;845;1060;225;0.6;3202.0;75;85
2335;Fellenoord;Breda                                   ;Buurt     ;BU07580003;3;545;100;450;470;75;0.6;2026.0;30;150
2336;Schorsmolen;Breda                                   ;Buurt     ;BU07580004;3;1065;230;840;915;150;0.5;4172.0;80;130
2337;Station;Breda                                   ;Buurt     ;BU07580005;1;755;190;565;635;120;0.6;2776.0;45;75
2338;City;Breda                                   ;Buurt     ;BU07580006;3;765;210;560;640;125;0.4;1886.0;55;110
2339;Breda Noord;Breda                                   ;Wijk      ;WK075801  ;3;9165;1965;7200;7705;1460;0.8;1084.0;635;1310
2340;Belcrum;Breda                                   ;Buurt     ;BU07580100;3;1270;300;970;1070;195;0.8;2404.0;165;170
2341;Doornbos-Linie;Breda                                   ;Buurt     ;BU07580101;1;1585;300;1280;1325;260;0.7;1246.0;125;255
2342;Biesdonk;Breda                                   ;Buurt     ;BU07580102;1;1900;400;1505;1625;275;0.8;2408.0;105;240
2343;Geeren-Zuid;Breda                                   ;Buurt     ;BU07580103;1;1265;235;1035;1065;200;0.7;1850.0;50;175
2344;Wisselaar;Breda                                   ;Buurt     ;BU07580104;1;1655;375;1285;1395;260;0.9;2214.0;85;275
2345;Krogten;Breda                                   ;Buurt     ;BU07580105;3;120;20;105;100;20;1.1;32.0;30;10
2346;Geeren-Noord;Breda                                   ;Buurt     ;BU07580106;1;910;165;740;740;165;0.7;2012.0;55;150
2347;Waterdonken;Breda                                   ;Buurt     ;BU07580107;1;460;175;285;380;80;1.0;2240.0;20;30
2348;Breda Oost;Breda                                   ;Wijk      ;WK075802  ;3;9615;2430;7180;8070;1545;0.8;1158.0;675;915
2349;Brabantpark;Breda                                   ;Buurt     ;BU07580200;1;3665;845;2820;3105;560;0.7;1633.0;270;410
2350;Sportpark;Breda                                   ;Buurt     ;BU07580201;1;1485;435;1050;1240;245;0.9;1252.0;110;105
2351;Zandberg;Breda                                   ;Buurt     ;BU07580202;1;2125;530;1590;1700;425;0.8;2903.0;165;165
2352;Heusdenhout;Breda                                   ;Buurt     ;BU07580203;1;2260;610;1650;1965;295;0.9;1496.0;120;210
2353;Moleneind-Oost;Breda                                   ;Buurt     ;BU07580204;1;60;10;50;45;15;;;5;20
2354;Hoogeind;Breda                                   ;Buurt     ;BU07580205;3;20;0;20;15;5;;;0;5
2355;Breda Zuid-Oost;Breda                                   ;Wijk      ;WK075803  ;1;8495;2445;6050;7145;1350;1.0;490.0;495;625
2356;Blauwe Kei;Breda                                   ;Buurt     ;BU07580300;3;1680;470;1205;1440;240;1.0;2383.0;125;135
2357;Ypelaar;Breda                                   ;Buurt     ;BU07580301;3;2720;805;1910;2355;360;0.9;2315.0;135;205
2358;Overakker;Breda                                   ;Buurt     ;BU07580302;1;1355;365;990;1140;215;0.9;1009.0;75;90
2359;Ginneken;Breda                                   ;Buurt     ;BU07580303;3;2510;745;1765;2015;490;1.1;1908.0;145;170
2360;Mastbos;Breda                                   ;Buurt     ;BU07580309;1;235;60;180;195;45;1.7;19.0;20;25
2361;Breda Zuid;Breda                                   ;Wijk      ;WK075804  ;1;3735;1130;2605;3080;655;0.9;1293.0;205;205
2362;Boeimeer;Breda                                   ;Buurt     ;BU07580400;1;2450;720;1730;2020;430;0.9;2095.0;135;125
2363;Ruitersbos;Breda                                   ;Buurt     ;BU07580401;1;1285;410;875;1060;225;1.1;747.0;70;80
2364;Breda West;Breda                                   ;Wijk      ;WK075805  ;3;12715;3350;9365;10820;1890;0.8;482.0;995;2050
2365;Haagpoort;Breda                                   ;Buurt     ;BU07580500;3;760;155;605;635;125;0.7;3122.0;75;200
2366;Heuvel;Breda                                   ;Buurt     ;BU07580501;3;3000;695;2305;2540;460;0.7;2939.0;215;625
2367;Tuinzigt;Breda                                   ;Buurt     ;BU07580502;1;2675;550;2120;2345;330;0.6;2336.0;195;620
2368;Princenhage;Breda                                   ;Buurt     ;BU07580503;1;3595;1010;2585;3080;510;0.9;1363.0;290;330
2369;Westerpark;Breda                                   ;Buurt     ;BU07580504;1;1480;555;925;1235;245;1.1;2300.0;95;115
2370;Heilaar;Breda                                   ;Buurt     ;BU07580505;1;185;75;110;155;35;1.4;118.0;15;40
2371;Hazeldonk;Breda                                   ;Buurt     ;BU07580506;1;25;5;20;20;5;;;5;5
2372;Steenakker;Breda                                   ;Buurt     ;BU07580507;3;150;50;100;125;25;1.5;139.0;15;25
2373;Effen-Rith;Breda                                   ;Buurt     ;BU07580508;1;485;150;335;390;95;1.5;54.0;50;60
2374;Liesbos;Breda                                   ;Buurt     ;BU07580509;1;360;100;255;295;60;1.4;59.0;40;35
2375;Breda Noord-West;Breda                                   ;Wijk      ;WK075806  ;3;12160;3625;8530;10235;1925;1.1;763.0;980;1445
2376;Gageldonk;Breda                                   ;Buurt     ;BU07580600;1;2230;615;1615;1885;345;1.0;2804.0;200;270
2377;Kievitsloop;Breda                                   ;Buurt     ;BU07580601;1;2080;550;1530;1740;340;1.2;2428.0;160;250
