ID;HouseholdCharacteristics;ComponentsOfWealth;Periods;NumberOfPrivateHouseholds_1;TotalWealth_2;MeanWealth_3;MedianWealth_4
2135;Type: Multi-person household, n.e.c.;1.2.1 Principal residence;2017;89.1;26.3;295.3;245.7
2136;Type: Multi-person household, n.e.c.;1.2.1 Principal residence;2018;91.0;28.8;316.5;265.0
2137;Type: Multi-person household, n.e.c.;1.2.1 Principal residence;2019;90.8;31.1;342.9;288.5
2138;Type: Multi-person household, n.e.c.;1.2.1 Principal residence;2020;90.9;33.3;366.7;310.4
2139;Type: Multi-person household, n.e.c.;1.2.1 Principal residence;2021;90.8;36.7;404.3;344.5
2140;Type: Multi-person household, n.e.c.;1.2.1 Principal residence;2022;90.4;44.6;493.6;420.6
2141;Type: Multi-person household, n.e.c.;1.2.1 Principal residence;2023;92.3;46.5;503.5;430.4
2142;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2006;18.1;4.4;242.2;125.0
2143;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2007;18.7;4.7;248.7;129.4
2144;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2008;19.4;5.3;274.5;139.0
2145;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2009;19.9;5.7;288.0;146.0
2146;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2010;14.3;4.2;295.6;150.0
2147;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2011;15.6;4.5;289.4;147.0
2148;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2012;15.3;4.3;283.0;144.1
2149;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2013;15.5;4.3;275.5;142.0
2150;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2014;16.4;4.3;261.9;129.0
2151;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2015;17.5;4.4;250.3;128.0
2152;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2016;17.7;4.6;259.0;127.0
2153;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2017;18.4;5.0;270.7;130.0
2154;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2018;18.7;5.6;297.3;136.0
2155;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2019;18.9;5.8;308.1;144.0
2156;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2020;19.2;6.4;332.7;151.3
2157;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2021;19.7;6.7;341.0;162.5
2158;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2022;20.1;7.3;364.2;173.0
2159;Type: Multi-person household, n.e.c.;1.2.2 Other real estate;2023;20.6;7.9;385.2;195.1
2160;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2006;33.3;2.5;75.7;13.8
2161;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2007;35.4;2.6;72.1;13.2
2162;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2008;35.3;2.6;74.3;13.7
2163;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2009;37.8;2.7;72.2;12.3
2164;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2010;24.8;2.3;90.7;12.7
2165;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2011;25.8;2.4;94.1;13.1
2166;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2012;25.7;2.6;101.9;12.5
2167;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2013;25.7;2.8;108.1;12.5
2168;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2014;25.8;2.9;113.7;12.2
2169;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2015;26.7;3.1;116.6;12.3
2170;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2016;28.1;3.4;120.6;13.0
2171;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2017;30.8;3.8;122.7;14.3
2172;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2018;32.1;4.1;128.4;14.9
2173;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2019;33.2;4.3;130.5;15.7
2174;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2020;34.7;4.6;133.0;15.6
2175;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2021;36.3;4.8;132.1;16.6
2176;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2022;37.2;5.2;139.4;18.0
2177;Type: Multi-person household, n.e.c.;1.3 Enterprise capital;2023;39.1;5.6;144.3;18.8
2178;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2006;11.0;5.4;490.5;66.4
2179;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2007;11.2;5.3;473.7;66.9
2180;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2008;11.5;5.2;451.2;64.1
2181;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2009;12.6;6.2;489.6;66.2
2182;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2010;7.9;4.5;567.3;68.2
2183;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2011;8.8;5.2;589.5;68.0
2184;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2012;8.8;4.9;559.4;64.8
2185;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2013;9.0;6.2;688.5;75.1
2186;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2014;9.4;6.2;659.0;62.3
2187;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2015;10.1;6.7;663.0;68.4
2188;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2016;10.4;7.0;669.2;75.8
2189;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2017;11.7;8.2;707.3;87.1
2190;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2018;12.0;9.4;788.8;102.0
2191;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2019;12.4;10.0;806.0;119.3
2192;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2020;12.7;10.6;837.4;137.6
2193;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2021;13.3;9.8;741.1;128.6
2194;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2022;13.8;12.6;909.6;151.0
2195;Type: Multi-person household, n.e.c.;1.4 Substantial interest;2023;15.3;15.0;982.9;155.6
2196;Type: Multi-person household, n.e.c.;1.5 Other assets;2006;14.8;1.3;89.8;38.8
2197;Type: Multi-person household, n.e.c.;1.5 Other assets;2007;15.0;1.4;94.9;41.5
2198;Type: Multi-person household, n.e.c.;1.5 Other assets;2008;15.5;1.7;108.4;46.6
2199;Type: Multi-person household, n.e.c.;1.5 Other assets;2009;15.7;1.8;114.0;50.0
2200;Type: Multi-person household, n.e.c.;1.5 Other assets;2010;11.6;1.4;122.6;54.4
2201;Type: Multi-person household, n.e.c.;1.5 Other assets;2011;12.5;1.8;140.4;63.6
2202;Type: Multi-person household, n.e.c.;1.5 Other assets;2012;12.0;1.7;139.6;65.6
2203;Type: Multi-person household, n.e.c.;1.5 Other assets;2013;12.0;1.7;139.2;66.5
2204;Type: Multi-person household, n.e.c.;1.5 Other assets;2014;12.1;1.7;136.8;65.0
2205;Type: Multi-person household, n.e.c.;1.5 Other assets;2015;12.3;1.7;137.0;63.9
2206;Type: Multi-person household, n.e.c.;1.5 Other assets;2016;12.1;1.8;146.9;64.7
2207;Type: Multi-person household, n.e.c.;1.5 Other assets;2017;12.7;1.9;147.0;67.1
2208;Type: Multi-person household, n.e.c.;1.5 Other assets;2018;12.8;2.0;157.1;70.0
2209;Type: Multi-person household, n.e.c.;1.5 Other assets;2019;12.8;2.1;161.1;71.0
2210;Type: Multi-person household, n.e.c.;1.5 Other assets;2020;13.2;2.1;162.0;68.9
2211;Type: Multi-person household, n.e.c.;1.5 Other assets;2021;13.7;2.3;168.0;69.6
2212;Type: Multi-person household, n.e.c.;1.5 Other assets;2022;14.2;2.5;174.6;70.1
2213;Type: Multi-person household, n.e.c.;1.5 Other assets;2023;14.5;2.4;164.5;68.0
2214;Type: Multi-person household, n.e.c.;2 Liabilities;2006;110.5;21.6;195.5;148.2
2215;Type: Multi-person household, n.e.c.;2 Liabilities;2007;114.1;23.7;207.7;158.8
2216;Type: Multi-person household, n.e.c.;2 Liabilities;2008;118.3;26.3;222.4;168.8
2217;Type: Multi-person household, n.e.c.;2 Liabilities;2009;119.8;28.1;234.4;175.0
2218;Type: Multi-person household, n.e.c.;2 Liabilities;2010;68.5;16.8;245.6;175.0
2219;Type: Multi-person household, n.e.c.;2 Liabilities;2011;124.7;19.4;155.5;85.5
2220;Type: Multi-person household, n.e.c.;2 Liabilities;2012;123.0;19.6;159.7;90.0
2221;Type: Multi-person household, n.e.c.;2 Liabilities;2013;123.2;19.7;159.7;90.2
2222;Type: Multi-person household, n.e.c.;2 Liabilities;2014;121.2;19.5;160.6;90.9
2223;Type: Multi-person household, n.e.c.;2 Liabilities;2015;123.3;20.2;164.0;95.7
2224;Type: Multi-person household, n.e.c.;2 Liabilities;2016;124.4;21.1;169.6;99.8
2225;Type: Multi-person household, n.e.c.;2 Liabilities;2017;129.2;23.1;179.0;105.2
2226;Type: Multi-person household, n.e.c.;2 Liabilities;2018;130.0;24.2;186.5;113.3
2227;Type: Multi-person household, n.e.c.;2 Liabilities;2019;129.4;25.0;193.5;118.3
2228;Type: Multi-person household, n.e.c.;2 Liabilities;2020;130.0;25.2;194.1;118.0
2229;Type: Multi-person household, n.e.c.;2 Liabilities;2021;131.9;26.3;199.2;115.3
2230;Type: Multi-person household, n.e.c.;2 Liabilities;2022;133.3;28.0;209.8;114.9
2231;Type: Multi-person household, n.e.c.;2 Liabilities;2023;137.4;29.9;217.5;117.8
2232;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2006;104.1;18.8;180.1;147.0
2233;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2007;107.7;20.5;190.9;157.0
2234;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2008;111.8;22.6;202.2;166.5
2235;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2009;113.3;23.9;211.1;173.0
2236;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2010;64.1;13.9;217.6;171.5
2237;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2011;72.6;15.5;213.4;170.0
2238;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2012;72.0;15.7;218.0;172.4
2239;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2013;71.8;15.7;219.2;173.3
2240;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2014;70.5;15.3;217.6;172.5
2241;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2015;72.0;16.0;222.5;175.0
2242;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2016;73.1;16.6;226.6;176.8
2243;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2017;77.0;18.1;234.8;180.1
2244;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2018;78.8;19.0;240.6;183.7
2245;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2019;78.9;19.4;246.1;186.4
2246;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2020;78.7;19.4;246.9;187.2
2247;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2021;78.5;20.0;255.2;190.9
2248;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2022;77.6;20.5;264.6;198.5
2249;Type: Multi-person household, n.e.c.;2.1 Principal residence loans;2023;80.0;22.1;275.8;205.1
2250;Type: Multi-person household, n.e.c.;2.2 Education loans;2006;;;;
2251;Type: Multi-person household, n.e.c.;2.2 Education loans;2007;;;;
2252;Type: Multi-person household, n.e.c.;2.2 Education loans;2008;;;;
2253;Type: Multi-person household, n.e.c.;2.2 Education loans;2009;;;;
2254;Type: Multi-person household, n.e.c.;2.2 Education loans;2010;;;;
2255;Type: Multi-person household, n.e.c.;2.2 Education loans;2011;30.6;0.5;17.0;8.7
2256;Type: Multi-person household, n.e.c.;2.2 Education loans;2012;32.4;0.5;16.0;8.1
2257;Type: Multi-person household, n.e.c.;2.2 Education loans;2013;33.5;0.6;16.5;8.4
2258;Type: Multi-person household, n.e.c.;2.2 Education loans;2014;35.2;0.6;16.9;8.8
2259;Type: Multi-person household, n.e.c.;2.2 Education loans;2015;37.1;0.6;17.4;9.1
2260;Type: Multi-person household, n.e.c.;2.2 Education loans;2016;39.5;0.7;18.0;9.4
2261;Type: Multi-person household, n.e.c.;2.2 Education loans;2017;43.2;0.8;18.3;9.7
2262;Type: Multi-person household, n.e.c.;2.2 Education loans;2018;44.8;0.9;19.3;10.3
2263;Type: Multi-person household, n.e.c.;2.2 Education loans;2019;46.7;1.0;22.1;12.3
2264;Type: Multi-person household, n.e.c.;2.2 Education loans;2020;48.5;1.1;23.3;12.9
2265;Type: Multi-person household, n.e.c.;2.2 Education loans;2021;52.5;1.2;23.7;12.1
2266;Type: Multi-person household, n.e.c.;2.2 Education loans;2022;51.9;1.3;24.6;12.4
2267;Type: Multi-person household, n.e.c.;2.2 Education loans;2023;52.8;1.3;25.5;12.8
2268;Type: Multi-person household, n.e.c.;2.3 Other loans;2006;24.0;2.9;119.2;33.5
2269;Type: Multi-person household, n.e.c.;2.3 Other loans;2007;25.0;3.1;125.6;36.3
2270;Type: Multi-person household, n.e.c.;2.3 Other loans;2008;25.9;3.7;142.5;40.0
2271;Type: Multi-person household, n.e.c.;2.3 Other loans;2009;26.7;4.2;156.3;43.5
2272;Type: Multi-person household, n.e.c.;2.3 Other loans;2010;17.0;2.9;170.5;50.0
2273;Type: Multi-person household, n.e.c.;2.3 Other loans;2011;94.9;3.4;35.7;2.2
2274;Type: Multi-person household, n.e.c.;2.3 Other loans;2012;92.1;3.4;37.1;2.5
2275;Type: Multi-person household, n.e.c.;2.3 Other loans;2013;94.0;3.4;36.0;2.2
2276;Type: Multi-person household, n.e.c.;2.3 Other loans;2014;89.7;3.5;39.4;3.4
2277;Type: Multi-person household, n.e.c.;2.3 Other loans;2015;91.0;3.5;39.0;3.5
2278;Type: Multi-person household, n.e.c.;2.3 Other loans;2016;92.0;3.8;41.6;3.4
2279;Type: Multi-person household, n.e.c.;2.3 Other loans;2017;92.0;4.3;46.2;3.4
2280;Type: Multi-person household, n.e.c.;2.3 Other loans;2018;91.6;4.4;48.1;3.0
2281;Type: Multi-person household, n.e.c.;2.3 Other loans;2019;88.7;4.6;51.7;3.3
2282;Type: Multi-person household, n.e.c.;2.3 Other loans;2020;87.9;4.7;53.0;3.3
2283;Type: Multi-person household, n.e.c.;2.3 Other loans;2021;87.7;5.0;57.2;3.1
2284;Type: Multi-person household, n.e.c.;2.3 Other loans;2022;99.0;6.2;62.3;2.6
2285;Type: Multi-person household, n.e.c.;2.3 Other loans;2023;109.6;6.5;59.0;2.3
2286;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2006;228.0;24.2;106.1;12.4
2287;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2007;229.8;25.0;108.9;12.2
2288;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2008;230.6;26.0;112.5;13.1
2289;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2009;234.6;26.1;111.2;12.9
2290;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2010;136.9;19.4;141.8;16.2
2291;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2011;146.0;20.4;139.7;13.6
2292;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2012;143.9;19.5;135.6;12.1
2293;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2013;141.8;20.9;147.6;10.7
2294;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2014;141.1;20.7;146.9;10.2
2295;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2015;143.1;21.7;151.5;12.4
2296;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2016;142.7;22.0;154.1;13.5
2297;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2017;148.4;24.1;162.7;15.2
2298;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2018;148.5;26.6;179.0;17.4
2299;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2019;148.6;27.2;183.0;17.6
2300;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2020;149.8;29.4;196.3;19.4
2301;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2021;151.4;30.4;200.8;25.3
2302;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2022;150.0;34.5;229.7;28.2
2303;Type: Multi-person household, n.e.c.;Wealth excluding principal residence;2023;154.0;38.0;246.6;30.5
2304;Main earner: to 24 years;Wealth;2006;367.1;2.9;7.8;0.9
2305;Main earner: to 24 years;Wealth;2007;375.6;2.9;7.7;1.0
2306;Main earner: to 24 years;Wealth;2008;382.4;3.4;8.8;1.2
2307;Main earner: to 24 years;Wealth;2009;389.2;3.2;8.3;1.2
2308;Main earner: to 24 years;Wealth;2010;383.7;3.1;8.1;1.2
2309;Main earner: to 24 years;Wealth;2011;384.5;2.2;5.8;0.2
2310;Main earner: to 24 years;Wealth;2012;381.7;1.6;4.3;0.2
2311;Main earner: to 24 years;Wealth;2013;378.8;1.4;3.7;0.1
2312;Main earner: to 24 years;Wealth;2014;380.9;1.9;5.1;0.2
2313;Main earner: to 24 years;Wealth;2015;387.8;2.9;7.5;0.4
2314;Main earner: to 24 years;Wealth;2016;378.3;3.0;7.9;0.2
2315;Main earner: to 24 years;Wealth;2017;368.9;2.9;7.9;0.1
2316;Main earner: to 24 years;Wealth;2018;367.0;3.2;8.8;0.0
2317;Main earner: to 24 years;Wealth;2019;356.7;3.0;8.5;0.0
2318;Main earner: to 24 years;Wealth;2020;346.5;3.9;11.3;0.0
2319;Main earner: to 24 years;Wealth;2021;345.8;4.5;12.9;0.0
2320;Main earner: to 24 years;Wealth;2022;362.0;8.4;23.2;0.0
2321;Main earner: to 24 years;Wealth;2023;371.7;8.0;21.5;0.0
2322;Main earner: to 24 years;1 Assets;2006;367.1;8.9;24.2;1.3
2323;Main earner: to 24 years;1 Assets;2007;375.6;9.2;24.4;1.4
2324;Main earner: to 24 years;1 Assets;2008;382.4;9.8;25.7;1.6
2325;Main earner: to 24 years;1 Assets;2009;389.2;10.1;25.8;1.7
2326;Main earner: to 24 years;1 Assets;2010;383.7;9.9;25.7;1.8
2327;Main earner: to 24 years;1 Assets;2011;384.5;10.4;27.1;2.0
2328;Main earner: to 24 years;1 Assets;2012;381.7;9.1;23.9;1.8
2329;Main earner: to 24 years;1 Assets;2013;378.8;8.1;21.5;1.5
2330;Main earner: to 24 years;1 Assets;2014;380.9;8.0;21.1;1.6
2331;Main earner: to 24 years;1 Assets;2015;387.8;8.7;22.4;2.2
2332;Main earner: to 24 years;1 Assets;2016;378.3;8.9;23.6;2.2
2333;Main earner: to 24 years;1 Assets;2017;368.9;9.3;25.2;2.3
2334;Main earner: to 24 years;1 Assets;2018;367.0;10.3;28.0;2.3
2335;Main earner: to 24 years;1 Assets;2019;356.7;10.7;30.1;2.4
2336;Main earner: to 24 years;1 Assets;2020;346.5;12.2;35.2;2.5
2337;Main earner: to 24 years;1 Assets;2021;345.8;13.3;38.5;3.6
2338;Main earner: to 24 years;1 Assets;2022;362.0;18.2;50.3;3.5
2339;Main earner: to 24 years;1 Assets;2023;371.7;17.8;47.9;3.2
2340;Main earner: to 24 years;1.1 Financial assets;2006;235.5;2.0;8.4;3.1
2341;Main earner: to 24 years;1.1 Financial assets;2007;243.5;2.0;8.1;3.1
2342;Main earner: to 24 years;1.1 Financial assets;2008;255.3;2.2;8.7;3.3
2343;Main earner: to 24 years;1.1 Financial assets;2009;265.9;2.3;8.7;3.3
2344;Main earner: to 24 years;1.1 Financial assets;2010;313.9;2.5;7.9;2.5
2345;Main earner: to 24 years;1.1 Financial assets;2011;348.2;2.7;7.7;2.1
2346;Main earner: to 24 years;1.1 Financial assets;2012;346.9;2.6;7.4;2.0
2347;Main earner: to 24 years;1.1 Financial assets;2013;339.5;2.5;7.4;1.7
2348;Main earner: to 24 years;1.1 Financial assets;2014;344.6;2.7;7.7;1.8
2349;Main earner: to 24 years;1.1 Financial assets;2015;358.8;3.0;8.3;2.3
2350;Main earner: to 24 years;1.1 Financial assets;2016;348.0;3.0;8.6;2.4
2351;Main earner: to 24 years;1.1 Financial assets;2017;340.5;3.0;8.8;2.5
2352;Main earner: to 24 years;1.1 Financial assets;2018;336.7;3.1;9.3;2.5
2353;Main earner: to 24 years;1.1 Financial assets;2019;326.1;3.1;9.4;2.6
2354;Main earner: to 24 years;1.1 Financial assets;2020;318.8;3.4;10.5;2.8
2355;Main earner: to 24 years;1.1 Financial assets;2021;322.9;3.9;12.1;3.8
2356;Main earner: to 24 years;1.1 Financial assets;2022;336.6;4.7;14.0;3.8
2357;Main earner: to 24 years;1.1 Financial assets;2023;342.0;4.7;13.7;3.6
2358;Main earner: to 24 years;1.1.1 Bank and savings credits;2006;231.8;1.5;6.6;2.8
2359;Main earner: to 24 years;1.1.1 Bank and savings credits;2007;239.7;1.5;6.4;2.9
2360;Main earner: to 24 years;1.1.1 Bank and savings credits;2008;252.4;1.7;6.8;3.1
2361;Main earner: to 24 years;1.1.1 Bank and savings credits;2009;263.5;1.9;7.1;3.2
2362;Main earner: to 24 years;1.1.1 Bank and savings credits;2010;313.0;2.0;6.4;2.4
2363;Main earner: to 24 years;1.1.1 Bank and savings credits;2011;347.8;2.1;6.1;2.1
2364;Main earner: to 24 years;1.1.1 Bank and savings credits;2012;346.7;2.1;6.0;1.9
2365;Main earner: to 24 years;1.1.1 Bank and savings credits;2013;339.2;2.0;5.9;1.6
2366;Main earner: to 24 years;1.1.1 Bank and savings credits;2014;344.4;2.1;6.2;1.8
2367;Main earner: to 24 years;1.1.1 Bank and savings credits;2015;358.7;2.4;6.6;2.2
2368;Main earner: to 24 years;1.1.1 Bank and savings credits;2016;347.8;2.4;6.9;2.3
2369;Main earner: to 24 years;1.1.1 Bank and savings credits;2017;340.4;2.5;7.3;2.5
2370;Main earner: to 24 years;1.1.1 Bank and savings credits;2018;336.6;2.5;7.5;2.5
2371;Main earner: to 24 years;1.1.1 Bank and savings credits;2019;325.9;2.5;7.7;2.5
2372;Main earner: to 24 years;1.1.1 Bank and savings credits;2020;318.4;2.6;8.2;2.7
2373;Main earner: to 24 years;1.1.1 Bank and savings credits;2021;322.4;3.2;9.8;3.6
2374;Main earner: to 24 years;1.1.1 Bank and savings credits;2022;336.1;3.5;10.3;3.5
2375;Main earner: to 24 years;1.1.1 Bank and savings credits;2023;341.6;3.6;10.4;3.3
2376;Main earner: to 24 years;1.1.2 Securities;2006;28.6;0.4;15.7;3.3
2377;Main earner: to 24 years;1.1.2 Securities;2007;29.6;0.4;14.9;2.9
2378;Main earner: to 24 years;1.1.2 Securities;2008;27.6;0.5;18.2;2.9
2379;Main earner: to 24 years;1.1.2 Securities;2009;24.7;0.4;17.9;2.0
2380;Main earner: to 24 years;1.1.2 Securities;2010;26.1;0.4;17.2;2.2
2381;Main earner: to 24 years;1.1.2 Securities;2011;24.5;0.5;22.1;2.2
2382;Main earner: to 24 years;1.1.2 Securities;2012;21.2;0.5;22.8;2.0
2383;Main earner: to 24 years;1.1.2 Securities;2013;18.5;0.5;26.7;2.5
2384;Main earner: to 24 years;1.1.2 Securities;2014;17.7;0.5;30.1;3.3
2385;Main earner: to 24 years;1.1.2 Securities;2015;17.4;0.6;34.4;3.8
2386;Main earner: to 24 years;1.1.2 Securities;2016;17.3;0.6;33.1;4.4
2387;Main earner: to 24 years;1.1.2 Securities;2017;16.6;0.5;31.4;4.8
2388;Main earner: to 24 years;1.1.2 Securities;2018;17.5;0.6;35.3;5.1
2389;Main earner: to 24 years;1.1.2 Securities;2019;18.8;0.6;29.6;3.9
2390;Main earner: to 24 years;1.1.2 Securities;2020;23.7;0.7;31.2;2.5
2391;Main earner: to 24 years;1.1.2 Securities;2021;35.6;0.8;21.2;1.9
2392;Main earner: to 24 years;1.1.2 Securities;2022;47.6;1.2;26.1;2.0
2393;Main earner: to 24 years;1.1.2 Securities;2023;46.8;1.1;23.5;1.8
2394;Main earner: to 24 years;1.2 Real estate;2006;37.7;6.2;165.7;152.3
2395;Main earner: to 24 years;1.2 Real estate;2007;37.6;6.7;177.3;164.7
2396;Main earner: to 24 years;1.2 Real estate;2008;38.5;7.1;185.1;170.1
2397;Main earner: to 24 years;1.2 Real estate;2009;39.4;7.2;182.8;165.2
2398;Main earner: to 24 years;1.2 Real estate;2010;38.9;6.7;171.5;153.2
2399;Main earner: to 24 years;1.2 Real estate;2011;39.8;7.0;176.5;158.1
2400;Main earner: to 24 years;1.2 Real estate;2012;34.9;5.9;170.0;153.2
2401;Main earner: to 24 years;1.2 Real estate;2013;31.6;4.9;155.4;140.6
2402;Main earner: to 24 years;1.2 Real estate;2014;28.6;4.5;158.6;142.1
2403;Main earner: to 24 years;1.2 Real estate;2015;28.1;4.7;165.4;149.6
2404;Main earner: to 24 years;1.2 Real estate;2016;27.2;4.8;177.0;156.4
2405;Main earner: to 24 years;1.2 Real estate;2017;27.3;5.2;188.7;166.2
2406;Main earner: to 24 years;1.2 Real estate;2018;27.8;5.7;206.0;177.4
2407;Main earner: to 24 years;1.2 Real estate;2019;26.5;5.9;224.0;192.7
2408;Main earner: to 24 years;1.2 Real estate;2020;25.4;6.4;249.6;207.3
2409;Main earner: to 24 years;1.2 Real estate;2021;24.5;6.7;274.9;231.8
2410;Main earner: to 24 years;1.2 Real estate;2022;26.1;8.8;337.7;286.5
2411;Main earner: to 24 years;1.2 Real estate;2023;26.5;9.1;343.5;293.2
2412;Main earner: to 24 years;1.2.1 Principal residence;2006;37.3;6.1;163.1;152.3
2413;Main earner: to 24 years;1.2.1 Principal residence;2007;37.2;6.5;174.6;164.1
2414;Main earner: to 24 years;1.2.1 Principal residence;2008;38.1;6.9;181.9;169.0
2415;Main earner: to 24 years;1.2.1 Principal residence;2009;39.0;7.0;178.9;165.2
2416;Main earner: to 24 years;1.2.1 Principal residence;2010;38.4;6.4;165.7;153.2
2417;Main earner: to 24 years;1.2.1 Principal residence;2011;39.3;6.7;169.9;158.1
2418;Main earner: to 24 years;1.2.1 Principal residence;2012;34.3;5.6;163.0;153.2
2419;Main earner: to 24 years;1.2.1 Principal residence;2013;31.0;4.6;149.0;139.7
2420;Main earner: to 24 years;1.2.1 Principal residence;2014;27.9;4.2;152.0;142.1
2421;Main earner: to 24 years;1.2.1 Principal residence;2015;27.5;4.4;159.2;148.6
2422;Main earner: to 24 years;1.2.1 Principal residence;2016;26.4;4.4;166.6;156.4
2423;Main earner: to 24 years;1.2.1 Principal residence;2017;26.5;4.7;178.8;166.2
2424;Main earner: to 24 years;1.2.1 Principal residence;2018;26.9;5.2;193.2;177.4
2425;Main earner: to 24 years;1.2.1 Principal residence;2019;25.5;5.4;211.6;192.7
2426;Main earner: to 24 years;1.2.1 Principal residence;2020;24.4;5.6;230.1;208.3
2427;Main earner: to 24 years;1.2.1 Principal residence;2021;23.3;5.9;254.0;231.8
2428;Main earner: to 24 years;1.2.1 Principal residence;2022;24.8;7.9;316.2;287.7
2429;Main earner: to 24 years;1.2.1 Principal residence;2023;25.3;8.2;324.1;294.3
2430;Main earner: to 24 years;1.2.2 Other real estate;2006;0.8;0.2;197.3;102.0
2431;Main earner: to 24 years;1.2.2 Other real estate;2007;0.8;0.2;209.2;100.0
2432;Main earner: to 24 years;1.2.2 Other real estate;2008;0.9;0.2;221.2;110.3
2433;Main earner: to 24 years;1.2.2 Other real estate;2009;1.0;0.2;236.5;125.0
2434;Main earner: to 24 years;1.2.2 Other real estate;2010;1.1;0.3;289.0;120.0
