ID;Zorgaanbieders;Perioden;ZorguitgavenInBredeZin_1;UitgavenVoorGezondheidszorgIntDef_2;UitgavenVerplichteVerzekeringen_3
424;GLZO: Ondersteunende diensten;2022;2374;1898;301
425;GLZO: Aanb. ov.geneesk., langdurige zorg;1998;758;707;282
426;GLZO: Aanb. ov.geneesk., langdurige zorg;1999;808;758;299
427;GLZO: Aanb. ov.geneesk., langdurige zorg;2000;862;814;315
428;GLZO: Aanb. ov.geneesk., langdurige zorg;2001;946;901;353
429;GLZO: Aanb. ov.geneesk., langdurige zorg;2002;1035;991;393
430;GLZO: Aanb. ov.geneesk., langdurige zorg;2003;1137;1096;443
431;GLZO: Aanb. ov.geneesk., langdurige zorg;2004;1175;1133;435
432;GLZO: Aanb. ov.geneesk., langdurige zorg;2005;1231;1187;448
433;GLZO: Aanb. ov.geneesk., langdurige zorg;2006;1321;1276;749
434;GLZO: Aanb. ov.geneesk., langdurige zorg;2007;1445;1399;777
435;GLZO: Aanb. ov.geneesk., langdurige zorg;2008;1543;1501;818
436;GLZO: Aanb. ov.geneesk., langdurige zorg;2009;1628;1590;863
437;GLZO: Aanb. ov.geneesk., langdurige zorg;2010;1658;1621;914
438;GLZO: Aanb. ov.geneesk., langdurige zorg;2011;1718;1681;964
439;GLZO: Aanb. ov.geneesk., langdurige zorg;2012;1705;1671;953
440;GLZO: Aanb. ov.geneesk., langdurige zorg;2013;1772;1737;950
441;GLZO: Aanb. ov.geneesk., langdurige zorg;2014;1762;1727;955
442;GLZO: Aanb. ov.geneesk., langdurige zorg;2015;1754;1721;948
443;GLZO: Aanb. ov.geneesk., langdurige zorg;2016;1748;1717;925
444;GLZO: Aanb. ov.geneesk., langdurige zorg;2017;1778;1746;920
445;GLZO: Aanb. ov.geneesk., langdurige zorg;2018;1775;1741;938
446;GLZO: Aanb. ov.geneesk., langdurige zorg;2019;1839;1801;1023
447;GLZO: Aanb. ov.geneesk., langdurige zorg;2020;1820;1777;1006
448;GLZO: Aanb. ov.geneesk., langdurige zorg;2021;1952;1890;1040
449;GLZO: Aanb. ov.geneesk., langdurige zorg;2022;2060;2012;1211
450;WJK: Totaal aanbieders WJK;1998;3442;0;0
451;WJK: Totaal aanbieders WJK;1999;4002;0;0
452;WJK: Totaal aanbieders WJK;2000;4477;0;0
453;WJK: Totaal aanbieders WJK;2001;5055;0;5
454;WJK: Totaal aanbieders WJK;2002;5214;0;10
455;WJK: Totaal aanbieders WJK;2003;5513;2;20
456;WJK: Totaal aanbieders WJK;2004;5463;3;30
457;WJK: Totaal aanbieders WJK;2005;5592;7;50
458;WJK: Totaal aanbieders WJK;2006;5827;89;222
459;WJK: Totaal aanbieders WJK;2007;6618;92;231
460;WJK: Totaal aanbieders WJK;2008;7533;108;290
461;WJK: Totaal aanbieders WJK;2009;8417;120;302
462;WJK: Totaal aanbieders WJK;2010;8705;130;346
463;WJK: Totaal aanbieders WJK;2011;8670;134;391
464;WJK: Totaal aanbieders WJK;2012;8552;179;489
465;WJK: Totaal aanbieders WJK;2013;8162;181;488
466;WJK: Totaal aanbieders WJK;2014;7866;174;496
467;WJK: Totaal aanbieders WJK;2015;8276;216;133
468;WJK: Totaal aanbieders WJK;2016;8920;218;112
469;WJK: Totaal aanbieders WJK;2017;9147;219;121
470;WJK: Totaal aanbieders WJK;2018;9692;227;129
471;WJK: Totaal aanbieders WJK;2019;10385;209;150
472;WJK: Totaal aanbieders WJK;2020;11146;227;162
473;WJK: Totaal aanbieders WJK;2021;12003;251;320
474;WJK: Totaal aanbieders WJK;2022;13638;267;357
475;WJK: Aanbieders kinderopvang;1998;754;0;0
476;WJK: Aanbieders kinderopvang;1999;885;0;0
477;WJK: Aanbieders kinderopvang;2000;1089;0;0
478;WJK: Aanbieders kinderopvang;2001;1249;0;0
479;WJK: Aanbieders kinderopvang;2002;1440;0;0
480;WJK: Aanbieders kinderopvang;2003;1656;0;0
481;WJK: Aanbieders kinderopvang;2004;1931;0;0
482;WJK: Aanbieders kinderopvang;2005;2074;0;0
483;WJK: Aanbieders kinderopvang;2006;2351;0;0
484;WJK: Aanbieders kinderopvang;2007;2908;0;0
485;WJK: Aanbieders kinderopvang;2008;3625;0;0
486;WJK: Aanbieders kinderopvang;2009;3946;0;0
487;WJK: Aanbieders kinderopvang;2010;4031;0;0
488;WJK: Aanbieders kinderopvang;2011;4142;0;0
489;WJK: Aanbieders kinderopvang;2012;3994;0;0
490;WJK: Aanbieders kinderopvang;2013;3614;0;0
491;WJK: Aanbieders kinderopvang;2014;3220;0;0
492;WJK: Aanbieders kinderopvang;2015;3137;0;0
493;WJK: Aanbieders kinderopvang;2016;3535;0;0
494;WJK: Aanbieders kinderopvang;2017;3857;0;0
495;WJK: Aanbieders kinderopvang;2018;4319;0;0
496;WJK: Aanbieders kinderopvang;2019;4902;0;0
497;WJK: Aanbieders kinderopvang;2020;5324;0;0
498;WJK: Aanbieders kinderopvang;2021;5735;0;0
499;WJK: Aanbieders kinderopvang;2022;6185;0;0
500;WJK: Aanbieders jeugdzorg;1998;824;0;0
501;WJK: Aanbieders jeugdzorg;1999;949;0;0
502;WJK: Aanbieders jeugdzorg;2000;1063;0;0
503;WJK: Aanbieders jeugdzorg;2001;1203;0;0
504;WJK: Aanbieders jeugdzorg;2002;1159;0;0
505;WJK: Aanbieders jeugdzorg;2003;1178;0;0
506;WJK: Aanbieders jeugdzorg;2004;1170;0;0
507;WJK: Aanbieders jeugdzorg;2005;1180;0;0
508;WJK: Aanbieders jeugdzorg;2006;1244;20;24
509;WJK: Aanbieders jeugdzorg;2007;1368;25;30
510;WJK: Aanbieders jeugdzorg;2008;1432;35;45
511;WJK: Aanbieders jeugdzorg;2009;1807;39;49
512;WJK: Aanbieders jeugdzorg;2010;1922;44;55
513;WJK: Aanbieders jeugdzorg;2011;1904;53;68
514;WJK: Aanbieders jeugdzorg;2012;2009;90;124
515;WJK: Aanbieders jeugdzorg;2013;2010;93;123
516;WJK: Aanbieders jeugdzorg;2014;2009;87;121
517;WJK: Aanbieders jeugdzorg;2015;2164;107;49
518;WJK: Aanbieders jeugdzorg;2016;2107;98;32
519;WJK: Aanbieders jeugdzorg;2017;2202;101;37
520;WJK: Aanbieders jeugdzorg;2018;2295;107;39
521;WJK: Aanbieders jeugdzorg;2019;2278;74;48
522;WJK: Aanbieders jeugdzorg;2020;2468;79;57
523;WJK: Aanbieders jeugdzorg;2021;2571;87;67
524;WJK: Aanbieders jeugdzorg;2022;2665;93;71
525;WJK: Aanbieders maatschappelijke opvang;1998;1019;0;0
526;WJK: Aanbieders maatschappelijke opvang;1999;1251;0;0
527;WJK: Aanbieders maatschappelijke opvang;2000;1364;0;0
528;WJK: Aanbieders maatschappelijke opvang;2001;1549;0;5
529;WJK: Aanbieders maatschappelijke opvang;2002;1515;0;10
530;WJK: Aanbieders maatschappelijke opvang;2003;1422;2;20
531;WJK: Aanbieders maatschappelijke opvang;2004;1176;3;30
532;WJK: Aanbieders maatschappelijke opvang;2005;1113;7;50
533;WJK: Aanbieders maatschappelijke opvang;2006;1017;69;198
534;WJK: Aanbieders maatschappelijke opvang;2007;1033;67;201
535;WJK: Aanbieders maatschappelijke opvang;2008;1090;72;245
536;WJK: Aanbieders maatschappelijke opvang;2009;1183;81;253
537;WJK: Aanbieders maatschappelijke opvang;2010;1205;86;291
538;WJK: Aanbieders maatschappelijke opvang;2011;1165;81;323
539;WJK: Aanbieders maatschappelijke opvang;2012;1197;89;365
540;WJK: Aanbieders maatschappelijke opvang;2013;1218;88;365
541;WJK: Aanbieders maatschappelijke opvang;2014;1346;87;375
542;WJK: Aanbieders maatschappelijke opvang;2015;1678;109;84
543;WJK: Aanbieders maatschappelijke opvang;2016;1985;120;80
544;WJK: Aanbieders maatschappelijke opvang;2017;1727;118;85
545;WJK: Aanbieders maatschappelijke opvang;2018;1645;119;89
546;WJK: Aanbieders maatschappelijke opvang;2019;1709;135;102
547;WJK: Aanbieders maatschappelijke opvang;2020;1902;147;105
548;WJK: Aanbieders maatschappelijke opvang;2021;2108;164;254
549;WJK: Aanbieders maatschappelijke opvang;2022;3178;174;286
550;WJK: Aanbieders sociaal werk;1998;845;0;0
551;WJK: Aanbieders sociaal werk;1999;917;0;0
552;WJK: Aanbieders sociaal werk;2000;961;0;0
553;WJK: Aanbieders sociaal werk;2001;1055;0;0
554;WJK: Aanbieders sociaal werk;2002;1100;0;0
555;WJK: Aanbieders sociaal werk;2003;1257;0;0
556;WJK: Aanbieders sociaal werk;2004;1186;0;0
557;WJK: Aanbieders sociaal werk;2005;1225;0;0
558;WJK: Aanbieders sociaal werk;2006;1216;0;0
559;WJK: Aanbieders sociaal werk;2007;1309;0;0
560;WJK: Aanbieders sociaal werk;2008;1386;0;0
561;WJK: Aanbieders sociaal werk;2009;1481;0;0
562;WJK: Aanbieders sociaal werk;2010;1547;0;0
563;WJK: Aanbieders sociaal werk;2011;1459;0;0
564;WJK: Aanbieders sociaal werk;2012;1352;0;0
565;WJK: Aanbieders sociaal werk;2013;1320;0;0
566;WJK: Aanbieders sociaal werk;2014;1291;0;0
567;WJK: Aanbieders sociaal werk;2015;1296;0;0
568;WJK: Aanbieders sociaal werk;2016;1292;0;0
569;WJK: Aanbieders sociaal werk;2017;1361;0;0
570;WJK: Aanbieders sociaal werk;2018;1432;0;0
571;WJK: Aanbieders sociaal werk;2019;1495;0;0
572;WJK: Aanbieders sociaal werk;2020;1451;0;0
573;WJK: Aanbieders sociaal werk;2021;1589;0;0
574;WJK: Aanbieders sociaal werk;2022;1610;0;0
575;Beleids- en beheerorganisaties;1998;2063;1671;573
576;Beleids- en beheerorganisaties;1999;2197;1775;595
577;Beleids- en beheerorganisaties;2000;2301;1861;624
578;Beleids- en beheerorganisaties;2001;2487;2019;678
579;Beleids- en beheerorganisaties;2002;2703;2148;667
580;Beleids- en beheerorganisaties;2003;2793;2216;696
581;Beleids- en beheerorganisaties;2004;2840;2300;704
582;Beleids- en beheerorganisaties;2005;3261;2662;756
583;Beleids- en beheerorganisaties;2006;3516;2901;1531
584;Beleids- en beheerorganisaties;2007;3691;3048;1390
585;Beleids- en beheerorganisaties;2008;3579;2957;1278
586;Beleids- en beheerorganisaties;2009;3668;2971;1186
587;Beleids- en beheerorganisaties;2010;3683;2964;1197
588;Beleids- en beheerorganisaties;2011;3862;3114;1309
589;Beleids- en beheerorganisaties;2012;3761;3067;1327
590;Beleids- en beheerorganisaties;2013;3836;3137;1393
591;Beleids- en beheerorganisaties;2014;3945;3264;1476
592;Beleids- en beheerorganisaties;2015;3929;3246;1465
593;Beleids- en beheerorganisaties;2016;3902;3187;1400
594;Beleids- en beheerorganisaties;2017;3894;3179;1422
595;Beleids- en beheerorganisaties;2018;4005;3247;1405
596;Beleids- en beheerorganisaties;2019;4240;3406;1451
597;Beleids- en beheerorganisaties;2020;4700;3828;1432
598;Beleids- en beheerorganisaties;2021;4853;3942;1442
599;Beleids- en beheerorganisaties;2022;4911;3976;1515
