ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
2640;General government;AF22 Transferable deposits;Total all sectors;Market value;2017 1st quarter;895.0;
2641;General government;AF22 Transferable deposits;Total all sectors;Market value;2017 2nd quarter;1149.0;
2642;General government;AF22 Transferable deposits;Total all sectors;Market value;2017 3rd quarter;1618.0;
2643;General government;AF22 Transferable deposits;Total all sectors;Market value;2017 4th quarter;1236.0;
2644;General government;AF22 Transferable deposits;Total all sectors;Market value;2017;1236.0;
2645;General government;AF22 Transferable deposits;Total all sectors;Market value;2018 1st quarter;841.0;
2646;General government;AF22 Transferable deposits;Total all sectors;Market value;2018 2nd quarter;863.0;
2647;General government;AF22 Transferable deposits;Total all sectors;Market value;2018 3rd quarter;1244.0;
2648;General government;AF22 Transferable deposits;Total all sectors;Market value;2018 4th quarter;894.0;
2649;General government;AF22 Transferable deposits;Total all sectors;Market value;2018;894.0;
2650;General government;AF22 Transferable deposits;Total all sectors;Market value;2019 1st quarter;1128.0;
2651;General government;AF22 Transferable deposits;Total all sectors;Market value;2019 2nd quarter;1130.0;
2652;General government;AF22 Transferable deposits;Total all sectors;Market value;2019 3rd quarter;2071.0;
2653;General government;AF22 Transferable deposits;Total all sectors;Market value;2019 4th quarter;1005.0;
2654;General government;AF22 Transferable deposits;Total all sectors;Market value;2019;1005.0;
2655;General government;AF22 Transferable deposits;Total all sectors;Market value;2020 1st quarter;385.0;
2656;General government;AF22 Transferable deposits;Total all sectors;Market value;2020 2nd quarter;707.0;
2657;General government;AF22 Transferable deposits;Total all sectors;Market value;2020 3rd quarter;769.0;
2658;General government;AF22 Transferable deposits;Total all sectors;Market value;2020 4th quarter;856.0;
2659;General government;AF22 Transferable deposits;Total all sectors;Market value;2020;856.0;
2660;General government;AF22 Transferable deposits;Total all sectors;Market value;2021 1st quarter;591.0;
2661;General government;AF22 Transferable deposits;Total all sectors;Market value;2021 2nd quarter;865.0;
2662;General government;AF22 Transferable deposits;Total all sectors;Market value;2021 3rd quarter;1159.0;
2663;General government;AF22 Transferable deposits;Total all sectors;Market value;2021 4th quarter;1457.0;
2664;General government;AF22 Transferable deposits;Total all sectors;Market value;2021;1457.0;
2665;General government;AF22 Transferable deposits;Total all sectors;Market value;2022 1st quarter;1085.0;
2666;General government;AF22 Transferable deposits;Total all sectors;Market value;2022 2nd quarter;1674.0;
2667;General government;AF22 Transferable deposits;Total all sectors;Market value;2022 3rd quarter;2284.0;
2668;General government;AF22 Transferable deposits;Total all sectors;Market value;2022 4th quarter;1245.0;
2669;General government;AF22 Transferable deposits;Total all sectors;Market value;2022;1245.0;
2670;General government;AF22 Transferable deposits;Total all sectors;Market value;2023 1st quarter;833.0;
2671;General government;AF22 Transferable deposits;Total all sectors;Market value;2023 2nd quarter;830.0;
2672;General government;AF22 Transferable deposits;Total all sectors;Market value;2023 3rd quarter;1873.0;
2673;General government;AF22 Transferable deposits;Total all sectors;Market value;2023 4th quarter;1220.0;
2674;General government;AF22 Transferable deposits;Total all sectors;Market value;2023;1220.0;
2675;General government;AF22 Transferable deposits;Total all sectors;Market value;2024 1st quarter;542.0;
2676;General government;AF22 Transferable deposits;Total all sectors;Market value;2024 2nd quarter;728.0;
2677;General government;AF22 Transferable deposits;Total all sectors;Market value;2024 3rd quarter;1213.0;
2678;General government;AF22 Transferable deposits;Total all sectors;Market value;2024 4th quarter;659.0;
2679;General government;AF22 Transferable deposits;Total all sectors;Market value;2024;659.0;
2680;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1995;321.0;
2681;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1996;321.0;
2682;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1997;321.0;
2683;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1998;321.0;
2684;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1999 1st quarter;;
2685;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1999 2nd quarter;;
2686;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1999 3rd quarter;;
2687;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1999 4th quarter;321.0;
2688;General government;AF22 Transferable deposits;Total domestic sectors;Face value;1999;321.0;
2689;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2000 1st quarter;;
2690;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2000 2nd quarter;;
2691;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2000 3rd quarter;;
2692;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2000 4th quarter;321.0;
2693;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2000;321.0;
2694;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2001 1st quarter;;
2695;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2001 2nd quarter;;
2696;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2001 3rd quarter;;
2697;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2001 4th quarter;394.0;
2698;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2001;394.0;
2699;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2002 1st quarter;;
2700;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2002 2nd quarter;;
2701;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2002 3rd quarter;;
2702;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2002 4th quarter;259.0;
2703;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2002;259.0;
2704;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2003 1st quarter;;
2705;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2003 2nd quarter;;
2706;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2003 3rd quarter;;
2707;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2003 4th quarter;215.0;
2708;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2003;215.0;
2709;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2004 1st quarter;;
2710;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2004 2nd quarter;;
2711;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2004 3rd quarter;;
2712;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2004 4th quarter;264.0;
2713;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2004;264.0;
2714;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2005 1st quarter;;
2715;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2005 2nd quarter;;
2716;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2005 3rd quarter;;
2717;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2005 4th quarter;287.0;
2718;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2005;287.0;
2719;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2006 1st quarter;;
2720;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2006 2nd quarter;;
2721;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2006 3rd quarter;;
2722;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2006 4th quarter;436.0;
2723;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2006;436.0;
2724;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2007 1st quarter;;
2725;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2007 2nd quarter;;
2726;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2007 3rd quarter;;
2727;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2007 4th quarter;541.0;
2728;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2007;541.0;
2729;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2008 1st quarter;411.0;
2730;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2008 2nd quarter;315.0;
2731;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2008 3rd quarter;377.0;
2732;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2008 4th quarter;361.0;
2733;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2008;361.0;
2734;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2009 1st quarter;325.0;
2735;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2009 2nd quarter;381.0;
2736;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2009 3rd quarter;352.0;
2737;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2009 4th quarter;302.0;
2738;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2009;302.0;
2739;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2010 1st quarter;388.0;
2740;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2010 2nd quarter;395.0;
2741;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2010 3rd quarter;407.0;
2742;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2010 4th quarter;383.0;
2743;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2010;383.0;
2744;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2011 1st quarter;373.0;
2745;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2011 2nd quarter;333.0;
2746;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2011 3rd quarter;373.0;
2747;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2011 4th quarter;422.0;
2748;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2011;422.0;
2749;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2012 1st quarter;332.0;
2750;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2012 2nd quarter;271.0;
2751;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2012 3rd quarter;313.0;
2752;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2012 4th quarter;424.0;
2753;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2012;424.0;
2754;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2013 1st quarter;322.0;
2755;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2013 2nd quarter;309.0;
2756;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2013 3rd quarter;297.0;
2757;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2013 4th quarter;360.0;
2758;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2013;360.0;
2759;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2014 1st quarter;348.0;
2760;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2014 2nd quarter;389.0;
2761;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2014 3rd quarter;344.0;
2762;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2014 4th quarter;373.0;
2763;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2014;373.0;
2764;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2015 1st quarter;349.0;
2765;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2015 2nd quarter;338.0;
2766;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2015 3rd quarter;416.0;
2767;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2015 4th quarter;366.0;
2768;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2015;366.0;
2769;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2016 1st quarter;364.0;
2770;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2016 2nd quarter;428.0;
2771;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2016 3rd quarter;479.0;
2772;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2016 4th quarter;400.0;
2773;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2016;400.0;
2774;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2017 1st quarter;486.0;
2775;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2017 2nd quarter;456.0;
2776;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2017 3rd quarter;447.0;
2777;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2017 4th quarter;456.0;
2778;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2017;456.0;
2779;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2018 1st quarter;416.0;
2780;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2018 2nd quarter;430.0;
2781;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2018 3rd quarter;410.0;
2782;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2018 4th quarter;401.0;
2783;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2018;401.0;
2784;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2019 1st quarter;358.0;
2785;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2019 2nd quarter;269.0;
2786;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2019 3rd quarter;246.0;
2787;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2019 4th quarter;194.0;
2788;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2019;194.0;
2789;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2020 1st quarter;169.0;
2790;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2020 2nd quarter;131.0;
2791;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2020 3rd quarter;139.0;
2792;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2020 4th quarter;110.0;
2793;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2020;110.0;
2794;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2021 1st quarter;102.0;
2795;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2021 2nd quarter;115.0;
2796;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2021 3rd quarter;143.0;
2797;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2021 4th quarter;127.0;
2798;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2021;127.0;
2799;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2022 1st quarter;183.0;
2800;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2022 2nd quarter;207.0;
2801;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2022 3rd quarter;277.0;
2802;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2022 4th quarter;118.0;
2803;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2022;118.0;
2804;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2023 1st quarter;212.0;
2805;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2023 2nd quarter;201.0;
2806;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2023 3rd quarter;356.0;
2807;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2023 4th quarter;337.0;
2808;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2023;337.0;
2809;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2024 1st quarter;147.0;
2810;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2024 2nd quarter;142.0;
2811;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2024 3rd quarter;166.0;
2812;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2024 4th quarter;180.0;
2813;General government;AF22 Transferable deposits;Total domestic sectors;Face value;2024;180.0;
2814;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1995;321.0;
2815;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1996;321.0;
2816;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1997;321.0;
2817;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1998;321.0;
2818;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1999 1st quarter;;
2819;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1999 2nd quarter;;
2820;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1999 3rd quarter;;
2821;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1999 4th quarter;321.0;
2822;General government;AF22 Transferable deposits;Total domestic sectors;Market value;1999;321.0;
2823;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2000 1st quarter;;
2824;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2000 2nd quarter;;
2825;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2000 3rd quarter;;
2826;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2000 4th quarter;321.0;
2827;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2000;321.0;
2828;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2001 1st quarter;;
2829;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2001 2nd quarter;;
2830;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2001 3rd quarter;;
2831;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2001 4th quarter;394.0;
2832;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2001;394.0;
2833;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2002 1st quarter;;
2834;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2002 2nd quarter;;
2835;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2002 3rd quarter;;
2836;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2002 4th quarter;259.0;
2837;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2002;259.0;
2838;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2003 1st quarter;;
2839;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2003 2nd quarter;;
2840;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2003 3rd quarter;;
2841;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2003 4th quarter;215.0;
2842;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2003;215.0;
2843;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2004 1st quarter;;
2844;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2004 2nd quarter;;
2845;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2004 3rd quarter;;
2846;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2004 4th quarter;264.0;
2847;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2004;264.0;
2848;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2005 1st quarter;;
2849;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2005 2nd quarter;;
2850;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2005 3rd quarter;;
2851;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2005 4th quarter;287.0;
2852;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2005;287.0;
2853;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2006 1st quarter;;
2854;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2006 2nd quarter;;
2855;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2006 3rd quarter;;
2856;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2006 4th quarter;436.0;
2857;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2006;436.0;
2858;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2007 1st quarter;;
2859;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2007 2nd quarter;;
2860;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2007 3rd quarter;;
2861;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2007 4th quarter;541.0;
2862;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2007;541.0;
2863;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2008 1st quarter;411.0;
2864;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2008 2nd quarter;315.0;
2865;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2008 3rd quarter;377.0;
2866;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2008 4th quarter;361.0;
2867;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2008;361.0;
2868;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2009 1st quarter;325.0;
2869;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2009 2nd quarter;381.0;
2870;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2009 3rd quarter;352.0;
2871;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2009 4th quarter;302.0;
2872;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2009;302.0;
2873;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2010 1st quarter;388.0;
2874;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2010 2nd quarter;395.0;
2875;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2010 3rd quarter;407.0;
2876;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2010 4th quarter;383.0;
2877;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2010;383.0;
2878;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2011 1st quarter;373.0;
2879;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2011 2nd quarter;333.0;
2880;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2011 3rd quarter;373.0;
2881;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2011 4th quarter;422.0;
2882;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2011;422.0;
2883;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2012 1st quarter;332.0;
2884;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2012 2nd quarter;271.0;
2885;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2012 3rd quarter;313.0;
2886;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2012 4th quarter;424.0;
2887;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2012;424.0;
2888;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2013 1st quarter;322.0;
2889;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2013 2nd quarter;309.0;
2890;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2013 3rd quarter;297.0;
2891;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2013 4th quarter;360.0;
2892;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2013;360.0;
2893;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2014 1st quarter;348.0;
2894;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2014 2nd quarter;389.0;
2895;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2014 3rd quarter;344.0;
2896;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2014 4th quarter;373.0;
2897;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2014;373.0;
2898;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2015 1st quarter;349.0;
2899;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2015 2nd quarter;338.0;
2900;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2015 3rd quarter;416.0;
2901;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2015 4th quarter;366.0;
2902;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2015;366.0;
2903;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2016 1st quarter;364.0;
2904;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2016 2nd quarter;428.0;
2905;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2016 3rd quarter;479.0;
2906;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2016 4th quarter;400.0;
2907;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2016;400.0;
2908;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2017 1st quarter;486.0;
2909;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2017 2nd quarter;456.0;
2910;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2017 3rd quarter;447.0;
2911;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2017 4th quarter;456.0;
2912;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2017;456.0;
2913;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2018 1st quarter;416.0;
2914;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2018 2nd quarter;430.0;
2915;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2018 3rd quarter;410.0;
2916;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2018 4th quarter;401.0;
2917;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2018;401.0;
2918;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2019 1st quarter;358.0;
2919;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2019 2nd quarter;269.0;
2920;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2019 3rd quarter;246.0;
2921;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2019 4th quarter;194.0;
2922;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2019;194.0;
2923;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2020 1st quarter;169.0;
2924;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2020 2nd quarter;131.0;
2925;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2020 3rd quarter;139.0;
2926;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2020 4th quarter;110.0;
2927;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2020;110.0;
2928;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2021 1st quarter;102.0;
2929;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2021 2nd quarter;115.0;
2930;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2021 3rd quarter;143.0;
2931;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2021 4th quarter;127.0;
2932;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2021;127.0;
2933;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2022 1st quarter;183.0;
2934;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2022 2nd quarter;207.0;
2935;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2022 3rd quarter;277.0;
2936;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2022 4th quarter;118.0;
2937;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2022;118.0;
2938;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2023 1st quarter;213.0;
2939;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2023 2nd quarter;201.0;
2940;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2023 3rd quarter;356.0;
2941;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2023 4th quarter;337.0;
2942;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2023;337.0;
2943;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2024 1st quarter;147.0;
2944;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2024 2nd quarter;142.0;
2945;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2024 3rd quarter;166.0;
2946;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2024 4th quarter;180.0;
2947;General government;AF22 Transferable deposits;Total domestic sectors;Market value;2024;180.0;
2948;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1995;118.0;
2949;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1996;118.0;
2950;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1997;118.0;
2951;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1998;118.0;
2952;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1999 1st quarter;;
2953;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1999 2nd quarter;;
2954;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1999 3rd quarter;;
2955;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1999 4th quarter;118.0;
2956;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;1999;118.0;
2957;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2000 1st quarter;;
2958;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2000 2nd quarter;;
2959;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2000 3rd quarter;;
2960;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2000 4th quarter;118.0;
