ID;Bedrijfskenmerken;Marges;Perioden;AandeelWerknemersDatHeeftVerzuimd_1;GemiddeldeVerzuimfrequentie_2;GemiddeldeVerzuimduur_3;k_1Tot5Werkdagen_4;k_5Tot20Werkdagen_5;k_20Tot210Werkdagen_6;k_210WerkdagenOfMeer_7;JaHoofdzakelijkGevolgVanMijnWerk_8;JaVoorEenDeelGevolgVanMijnWerk_9;NeeGeenGevolgVanMijnWerk_10;WeetNiet_11
187;D Energievoorziening;Waarde;2021;44.1;0.8;7.7;67.8;19.4;11.3;1.4;7.9;8.6;77.5;6.0
188;D Energievoorziening;Waarde;2022;54.8;1.1;7.1;64.9;26.3;7.9;1.0;3.9;11.0;81.0;4.2
189;D Energievoorziening;Waarde;2023;47.5;1.2;7.7;70.2;21.2;7.0;1.6;5.3;11.6;79.1;4.0
190;D Energievoorziening;Ondergrens 95%-interval;2014;37.7;0.6;2.3;60.4;19.3;1.9;0.0;3.4;6.8;71.0;1.0
191;D Energievoorziening;Ondergrens 95%-interval;2015;45.2;0.7;6.1;56.8;18.3;7.2;0.7;4.3;9.1;67.5;2.9
192;D Energievoorziening;Ondergrens 95%-interval;2016;40.8;0.7;4.0;55.2;20.3;6.4;0.4;2.0;8.5;70.6;3.2
193;D Energievoorziening;Ondergrens 95%-interval;2017;43.4;0.6;4.7;61.2;13.7;8.4;0.2;5.5;7.6;67.7;2.3
194;D Energievoorziening;Ondergrens 95%-interval;2018;43.1;0.7;4.6;64.9;13.8;6.3;0.2;5.2;7.6;69.3;3.0
195;D Energievoorziening;Ondergrens 95%-interval;2019;43.2;0.7;3.9;62.4;14.9;5.9;0.3;4.9;8.5;65.8;4.3
196;D Energievoorziening;Ondergrens 95%-interval;2020;37.3;0.6;5.2;56.4;19.0;6.6;0.5;4.8;7.3;66.7;4.3
197;D Energievoorziening;Ondergrens 95%-interval;2021;37.6;0.5;4.4;60.5;14.3;7.4;0.5;4.6;5.5;70.8;3.1
198;D Energievoorziening;Ondergrens 95%-interval;2022;48.9;0.8;4.6;58.6;21.1;5.0;0.3;2.0;7.6;75.5;2.2
199;D Energievoorziening;Ondergrens 95%-interval;2023;41.6;0.8;4.8;64.2;16.4;4.6;0.7;3.2;8.0;73.4;1.9
200;D Energievoorziening;Bovengrens 95%-interval;2014;54.2;0.9;8.3;76.9;35.2;9.3;;12.5;18.8;85.5;7.2
201;D Energievoorziening;Bovengrens 95%-interval;2015;58.0;1.3;14.1;70.0;29.9;15.8;5.1;12.0;19.0;79.9;9.3
202;D Energievoorziening;Bovengrens 95%-interval;2016;54.0;1.6;8.9;69.1;32.8;15.1;5.9;8.6;18.7;82.9;10.0
203;D Energievoorziening;Bovengrens 95%-interval;2017;56.4;1.0;11.4;74.3;24.6;17.4;5.8;14.6;17.7;80.7;8.5
204;D Energievoorziening;Bovengrens 95%-interval;2018;55.2;1.1;10.7;77.0;24.3;14.2;2.5;12.3;16.5;80.7;8.9
205;D Energievoorziening;Bovengrens 95%-interval;2019;56.2;1.4;7.9;75.7;26.6;14.4;4.2;12.4;18.0;78.2;11.8
206;D Energievoorziening;Bovengrens 95%-interval;2020;50.2;1.0;16.2;70.1;31.5;14.9;5.7;13.8;16.2;79.5;11.7
207;D Energievoorziening;Bovengrens 95%-interval;2021;50.9;1.2;10.9;74.3;25.9;16.9;4.2;13.0;13.3;83.1;11.1
208;D Energievoorziening;Bovengrens 95%-interval;2022;60.5;1.3;9.6;70.6;32.3;12.0;3.0;7.4;15.5;85.5;7.7
209;D Energievoorziening;Bovengrens 95%-interval;2023;53.5;1.5;10.5;75.6;26.8;10.7;3.8;8.6;16.4;83.9;8.2
210;E Waterbedrijven en afvalbeheer;Waarde;2014;41.2;0.8;6.3;60.4;28.1;10.8;0.7;8.0;21.2;65.3;5.5
211;E Waterbedrijven en afvalbeheer;Waarde;2015;45.3;0.8;7.2;55.1;32.3;11.1;1.6;9.9;16.3;69.8;3.9
212;E Waterbedrijven en afvalbeheer;Waarde;2016;52.5;1.2;9.0;52.4;32.7;14.0;0.9;16.0;16.0;64.7;3.2
213;E Waterbedrijven en afvalbeheer;Waarde;2017;51.0;1.2;9.5;60.1;26.6;11.8;1.5;16.7;11.7;66.7;4.9
214;E Waterbedrijven en afvalbeheer;Waarde;2018;46.5;1.3;10.8;64.1;21.1;13.3;1.5;9.9;19.7;66.0;4.4
215;E Waterbedrijven en afvalbeheer;Waarde;2019;49.4;1.4;10.5;64.4;21.5;12.2;1.9;8.4;16.4;69.0;6.2
216;E Waterbedrijven en afvalbeheer;Waarde;2020;36.2;0.7;8.4;52.9;31.1;14.6;1.4;14.6;16.1;62.7;6.6
217;E Waterbedrijven en afvalbeheer;Waarde;2021;44.4;0.9;10.8;50.2;31.6;16.0;2.2;13.5;14.6;66.7;5.2
218;E Waterbedrijven en afvalbeheer;Waarde;2022;55.9;1.3;10.8;53.7;35.1;9.9;1.3;8.3;9.5;74.2;8.0
219;E Waterbedrijven en afvalbeheer;Waarde;2023;46.1;1.0;12.8;55.6;27.2;15.3;1.9;6.5;12.2;76.4;4.9
220;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2014;36.0;0.6;3.9;54.5;23.1;7.7;0.2;5.4;16.7;59.4;3.3
221;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2015;38.6;0.6;3.9;47.6;25.7;7.2;0.5;6.1;11.5;62.5;1.8
222;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2016;46.0;0.7;5.5;45.3;26.4;9.9;0.2;11.5;11.4;57.7;1.5
223;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2017;44.1;0.7;6.0;52.4;20.4;7.7;0.5;11.8;7.7;59.3;2.6
224;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2018;41.9;0.9;7.7;58.8;17.1;10.1;0.6;7.1;15.9;60.8;2.8
225;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2019;43.0;0.9;6.6;57.0;16.0;8.1;0.7;5.3;11.7;62.1;3.6
226;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2020;30.8;0.5;5.1;46.1;25.2;10.5;0.5;10.5;11.8;56.1;3.7
227;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2021;37.2;0.5;6.5;41.8;24.1;11.0;0.7;8.9;9.3;58.2;2.4
228;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2022;50.9;0.9;7.7;48.2;30.0;7.2;0.6;5.6;6.7;69.0;5.5
229;E Waterbedrijven en afvalbeheer;Ondergrens 95%-interval;2023;40.5;0.7;8.8;49.3;22.1;11.3;0.8;4.0;8.6;70.7;3.0
230;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2014;46.6;0.9;8.7;66.0;33.7;14.9;3.4;11.6;26.6;70.7;9.2
231;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2015;52.1;1.0;10.6;62.3;39.6;16.6;4.9;15.7;22.6;76.3;8.4
232;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2016;58.9;1.6;12.5;59.4;39.8;19.4;3.7;22.0;22.0;71.1;6.8
233;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2017;58.0;1.8;13.0;67.3;34.0;17.7;4.6;23.1;17.5;73.4;9.0
234;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2018;51.2;1.7;14.0;69.1;25.9;17.3;3.5;13.6;24.2;70.7;7.0
235;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2019;55.8;1.9;14.5;71.2;28.4;17.8;5.0;13.2;22.5;75.2;10.5
236;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2020;42.1;0.9;11.6;59.5;37.7;19.9;3.8;19.9;21.5;68.9;11.4
237;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2021;51.8;1.2;15.1;58.7;40.3;22.5;6.6;20.0;22.2;74.1;10.9
238;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2022;60.8;1.7;13.9;59.2;40.5;13.5;2.8;12.1;13.4;78.8;11.6
239;E Waterbedrijven en afvalbeheer;Bovengrens 95%-interval;2023;51.8;1.3;16.9;61.7;33.1;20.5;4.5;10.2;17.0;81.2;8.1
240;F Bouwnijverheid;Waarde;2014;39.5;0.8;6.9;60.1;25.3;13.2;1.5;13.1;14.9;66.3;5.6
241;F Bouwnijverheid;Waarde;2015;43.1;1.0;9.3;55.9;27.0;15.7;1.4;14.4;15.1;65.0;5.5
242;F Bouwnijverheid;Waarde;2016;41.6;1.0;7.7;58.6;25.8;14.5;1.0;11.4;16.7;65.1;6.8
243;F Bouwnijverheid;Waarde;2017;40.7;1.0;8.2;60.3;25.2;13.4;1.1;14.6;14.8;64.7;5.9
244;F Bouwnijverheid;Waarde;2018;44.4;1.1;7.6;59.9;24.7;14.3;1.2;13.7;15.4;65.6;5.3
245;F Bouwnijverheid;Waarde;2019;43.5;1.0;8.7;59.1;25.4;14.3;1.3;14.2;15.8;62.9;7.1
246;F Bouwnijverheid;Waarde;2020;40.5;1.1;8.1;56.7;26.4;15.3;1.6;13.9;13.2;65.3;7.6
247;F Bouwnijverheid;Waarde;2021;39.8;0.9;8.1;55.2;29.8;13.2;1.8;12.1;16.6;64.1;7.2
248;F Bouwnijverheid;Waarde;2022;53.0;1.3;9.4;56.5;31.9;10.5;1.1;9.4;10.4;74.0;6.2
249;F Bouwnijverheid;Waarde;2023;45.0;1.1;8.9;61.1;27.2;9.8;1.9;8.2;11.7;73.0;7.2
250;F Bouwnijverheid;Ondergrens 95%-interval;2014;36.9;0.7;5.7;57.1;22.8;11.3;0.9;11.3;12.9;63.5;4.4
251;F Bouwnijverheid;Ondergrens 95%-interval;2015;40.8;0.8;7.9;53.3;24.7;13.9;0.9;12.7;13.3;62.5;4.4
252;F Bouwnijverheid;Ondergrens 95%-interval;2016;39.2;0.8;6.5;55.9;23.5;12.7;0.6;9.8;14.7;62.5;5.6
253;F Bouwnijverheid;Ondergrens 95%-interval;2017;38.3;0.8;6.9;57.6;23.0;11.7;0.7;12.9;13.0;62.1;4.7
254;F Bouwnijverheid;Ondergrens 95%-interval;2018;42.4;0.9;6.6;57.5;22.7;12.7;0.7;12.2;13.8;63.4;4.3
255;F Bouwnijverheid;Ondergrens 95%-interval;2019;41.4;0.9;7.5;56.6;23.3;12.6;0.8;12.6;14.2;60.6;5.9
256;F Bouwnijverheid;Ondergrens 95%-interval;2020;38.4;0.9;6.9;54.1;24.2;13.5;1.1;12.2;11.6;62.9;6.3
257;F Bouwnijverheid;Ondergrens 95%-interval;2021;37.5;0.7;6.8;52.5;27.4;11.5;1.2;10.4;14.8;61.5;5.9
258;F Bouwnijverheid;Ondergrens 95%-interval;2022;50.9;1.2;8.2;54.2;29.8;9.2;0.8;8.2;9.1;71.9;5.2
259;F Bouwnijverheid;Ondergrens 95%-interval;2023;42.9;1.0;7.7;58.8;25.2;8.5;1.4;7.0;10.3;70.9;6.0
260;F Bouwnijverheid;Bovengrens 95%-interval;2014;42.1;0.9;8.1;63.0;28.0;15.3;2.4;15.2;17.1;69.1;7.2
261;F Bouwnijverheid;Bovengrens 95%-interval;2015;45.4;1.2;10.7;58.5;29.4;17.7;2.2;16.4;17.0;67.5;6.9
262;F Bouwnijverheid;Bovengrens 95%-interval;2016;44.0;1.1;9.0;61.3;28.3;16.6;1.7;13.3;18.8;67.7;8.4
263;F Bouwnijverheid;Bovengrens 95%-interval;2017;43.0;1.1;9.5;62.9;27.6;15.3;1.8;16.6;16.8;67.2;7.3
264;F Bouwnijverheid;Bovengrens 95%-interval;2018;46.5;1.2;8.7;62.2;26.8;16.0;1.8;15.4;17.1;67.7;6.5
265;F Bouwnijverheid;Bovengrens 95%-interval;2019;45.6;1.2;9.9;61.5;27.6;16.1;1.9;15.9;17.6;65.2;8.4
266;F Bouwnijverheid;Bovengrens 95%-interval;2020;42.7;1.2;9.4;59.3;28.8;17.3;2.4;15.7;15.0;67.7;9.1
267;F Bouwnijverheid;Bovengrens 95%-interval;2021;42.1;1.0;9.4;57.9;32.4;15.1;2.7;13.9;18.7;66.6;8.7
268;F Bouwnijverheid;Bovengrens 95%-interval;2022;55.0;1.5;10.6;58.7;34.1;11.9;1.7;10.8;11.8;75.9;7.4
269;F Bouwnijverheid;Bovengrens 95%-interval;2023;47.1;1.2;10.1;63.3;29.3;11.2;2.6;9.5;13.3;75.0;8.5
270;G-I Handel, vervoer en horeca;Waarde;2014;38.3;0.9;5.2;70.7;18.2;10.2;0.9;8.1;14.1;72.3;5.5
271;G-I Handel, vervoer en horeca;Waarde;2015;39.7;0.9;5.7;68.4;19.7;10.8;1.1;7.9;13.0;72.4;6.7
272;G-I Handel, vervoer en horeca;Waarde;2016;41.1;1.0;5.4;69.8;18.6;10.6;0.9;8.7;13.9;72.1;5.3
273;G-I Handel, vervoer en horeca;Waarde;2017;40.0;1.0;5.9;70.7;18.3;9.9;1.1;9.5;14.2;70.2;6.0
274;G-I Handel, vervoer en horeca;Waarde;2018;43.6;1.1;6.3;69.0;19.0;11.0;1.1;9.6;14.5;69.6;6.3
275;G-I Handel, vervoer en horeca;Waarde;2019;43.2;1.1;6.6;70.2;17.9;10.9;1.1;9.3;13.8;69.3;7.6
276;G-I Handel, vervoer en horeca;Waarde;2020;42.3;1.1;6.6;65.9;22.2;10.8;1.1;8.8;12.2;70.7;8.3
277;G-I Handel, vervoer en horeca;Waarde;2021;42.7;1.1;6.9;64.0;23.2;11.6;1.3;9.2;13.7;68.0;9.1
278;G-I Handel, vervoer en horeca;Waarde;2022;55.2;1.5;7.8;65.0;26.0;8.1;0.8;6.6;11.1;74.0;8.3
279;G-I Handel, vervoer en horeca;Waarde;2023;48.5;1.4;6.9;70.1;20.7;8.3;0.9;6.9;11.2;74.0;7.9
280;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2014;37.2;0.9;4.8;69.6;17.2;9.4;0.7;7.4;13.2;71.1;4.9
281;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2015;38.7;0.9;5.3;67.3;18.8;10.1;0.9;7.3;12.3;71.4;6.1
282;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2016;40.1;0.9;5.0;68.8;17.8;10.0;0.7;8.1;13.2;71.0;4.8
283;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2017;39.0;0.9;5.4;69.6;17.4;9.3;0.9;8.9;13.4;69.1;5.5
284;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2018;42.7;1.1;6.0;68.0;18.2;10.4;0.9;9.0;13.8;68.7;5.9
285;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2019;42.3;1.1;6.2;69.2;17.1;10.3;0.9;8.7;13.1;68.3;7.0
286;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2020;41.4;1.1;6.2;64.9;21.3;10.2;0.9;8.2;11.6;69.7;7.8
287;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2021;41.8;1.1;6.5;62.8;22.2;10.9;1.0;8.5;12.9;66.9;8.4
288;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2022;54.4;1.4;7.4;64.1;25.2;7.6;0.7;6.1;10.5;73.2;7.8
289;G-I Handel, vervoer en horeca;Ondergrens 95%-interval;2023;47.7;1.3;6.5;69.2;19.9;7.8;0.7;6.4;10.6;73.2;7.3
290;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2014;39.4;1.0;5.6;71.9;19.2;11.0;1.2;8.9;15.0;73.4;6.2
291;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2015;40.6;1.0;6.1;69.4;20.6;11.5;1.3;8.5;13.8;73.5;7.3
292;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2016;42.0;1.1;5.8;70.9;19.6;11.4;1.1;9.4;14.8;73.1;5.8
293;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2017;40.9;1.0;6.3;71.8;19.2;10.7;1.4;10.3;15.1;71.3;6.6
294;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2018;44.4;1.2;6.7;69.9;19.7;11.7;1.3;10.2;15.2;70.5;6.8
295;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2019;44.0;1.2;6.9;71.1;18.7;11.6;1.3;9.9;14.6;70.3;8.2
296;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2020;43.2;1.2;7.0;66.9;23.1;11.5;1.3;9.4;12.9;71.6;9.0
297;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2021;43.7;1.2;7.4;65.1;24.2;12.4;1.6;9.9;14.6;69.1;9.9
298;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2022;56.1;1.5;8.2;65.9;26.9;8.6;1.0;7.1;11.7;74.9;8.9
299;G-I Handel, vervoer en horeca;Bovengrens 95%-interval;2023;49.4;1.4;7.3;71.0;21.5;8.9;1.1;7.4;11.9;74.9;8.4
300;G-N Commerciële dienstverlening;Waarde;2014;40.1;0.9;5.2;72.3;17.7;9.2;0.8;7.9;13.9;73.1;5.1
301;G-N Commerciële dienstverlening;Waarde;2015;41.5;0.9;5.6;70.7;18.1;10.3;0.9;7.5;12.4;74.5;5.6
302;G-N Commerciële dienstverlening;Waarde;2016;43.1;1.0;5.5;71.5;17.7;9.9;0.9;7.9;13.9;73.2;5.0
303;G-N Commerciële dienstverlening;Waarde;2017;41.5;1.0;5.8;72.9;17.0;9.2;1.0;8.8;13.5;72.1;5.5
304;G-N Commerciële dienstverlening;Waarde;2018;45.1;1.1;6.4;71.0;18.0;10.1;0.9;8.9;14.2;71.2;5.8
305;G-N Commerciële dienstverlening;Waarde;2019;44.2;1.1;6.5;71.2;17.3;10.4;1.0;8.5;13.8;71.1;6.6
306;G-N Commerciële dienstverlening;Waarde;2020;41.5;1.1;6.2;68.4;20.4;10.3;1.0;8.4;12.7;71.6;7.3
307;G-N Commerciële dienstverlening;Waarde;2021;41.3;1.1;6.7;65.9;21.3;11.4;1.4;9.0;13.3;69.8;7.8
308;G-N Commerciële dienstverlening;Waarde;2022;55.1;1.4;7.8;66.9;24.6;7.6;0.9;6.1;10.4;76.4;7.1
309;G-N Commerciële dienstverlening;Waarde;2023;49.1;1.3;7.0;71.7;19.5;7.8;0.9;6.3;10.7;76.3;6.7
310;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2014;39.3;0.9;4.9;71.5;17.0;8.7;0.6;7.4;13.3;72.3;4.7
311;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2015;40.8;0.9;5.3;69.9;17.5;9.8;0.7;7.1;11.8;73.7;5.2
312;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2016;42.4;1.0;5.2;70.8;17.1;9.4;0.8;7.5;13.3;72.4;4.7
313;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2017;40.7;0.9;5.5;72.1;16.3;8.7;0.8;8.4;12.9;71.3;5.1
314;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2018;44.5;1.1;6.1;70.4;17.4;9.6;0.8;8.4;13.7;70.5;5.4
315;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2019;43.5;1.1;6.2;70.5;16.7;10.0;0.9;8.1;13.3;70.4;6.3
316;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2020;40.8;1.0;5.9;67.6;19.8;9.8;0.8;8.0;12.2;70.9;6.9
317;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2021;40.6;1.0;6.3;65.1;20.6;10.9;1.2;8.5;12.8;69.0;7.4
318;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2022;54.5;1.4;7.5;66.2;24.0;7.2;0.8;5.8;9.9;75.8;6.7
319;G-N Commerciële dienstverlening;Ondergrens 95%-interval;2023;48.4;1.3;6.7;71.1;18.9;7.5;0.8;6.0;10.3;75.6;6.3
320;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2014;40.9;1.0;5.5;73.1;18.4;9.7;1.0;8.4;14.6;73.9;5.5
321;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2015;42.2;1.0;5.9;71.5;18.8;10.8;1.1;8.0;12.9;75.2;6.0
322;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2016;43.8;1.1;5.8;72.3;18.3;10.4;1.1;8.4;14.5;73.9;5.4
323;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2017;42.2;1.0;6.1;73.6;17.6;9.7;1.2;9.4;14.1;72.9;5.9
324;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2018;45.8;1.2;6.7;71.7;18.5;10.5;1.1;9.3;14.7;71.9;6.1
325;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2019;44.8;1.2;6.8;71.9;17.9;10.9;1.2;8.9;14.3;71.7;7.1
326;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2020;42.1;1.1;6.5;69.1;21.0;10.8;1.1;8.8;13.2;72.3;7.8
327;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2021;42.0;1.1;7.0;66.8;22.0;11.9;1.6;9.5;14.0;70.6;8.3
328;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2022;55.8;1.5;8.1;67.6;25.2;8.0;1.0;6.5;10.8;77.1;7.5
329;G-N Commerciële dienstverlening;Bovengrens 95%-interval;2023;49.7;1.4;7.3;72.4;20.1;8.2;1.1;6.7;11.2;76.9;7.0
330;G Handel;Waarde;2014;38.7;1.0;4.8;73.7;16.3;9.2;0.8;6.9;12.8;75.5;4.8
331;G Handel;Waarde;2015;41.1;1.0;5.3;72.2;17.2;9.8;0.8;7.0;12.2;74.5;6.3
332;G Handel;Waarde;2016;42.4;1.0;5.3;72.7;16.6;10.0;0.7;7.8;13.4;74.2;4.5
333;G Handel;Waarde;2017;42.2;1.0;5.6;74.0;16.1;8.9;0.9;8.4;14.2;71.6;5.8
334;G Handel;Waarde;2018;44.6;1.1;5.9;72.9;17.0;9.2;0.9;8.3;13.2;72.6;6.0
335;G Handel;Waarde;2019;44.7;1.1;6.2;72.9;16.4;9.7;1.1;8.6;12.5;71.8;7.1
336;G Handel;Waarde;2020;44.2;1.2;6.5;69.0;20.6;9.6;0.8;7.6;11.8;72.4;8.3
337;G Handel;Waarde;2021;43.9;1.2;6.3;67.1;21.5;10.3;1.1;8.4;13.0;69.5;9.0
338;G Handel;Waarde;2022;56.9;1.5;7.6;66.8;25.3;7.2;0.7;5.6;10.8;75.8;7.8
339;G Handel;Waarde;2023;49.7;1.4;6.8;71.7;19.5;8.0;0.9;6.2;10.7;75.7;7.5
340;G Handel;Ondergrens 95%-interval;2014;37.4;0.9;4.4;72.3;15.2;8.4;0.5;6.2;11.8;74.1;4.1
341;G Handel;Ondergrens 95%-interval;2015;39.9;0.9;4.8;70.9;16.2;9.0;0.6;6.3;11.2;73.3;5.6
342;G Handel;Ondergrens 95%-interval;2016;41.2;1.0;4.8;71.4;15.5;9.2;0.5;7.1;12.5;73.0;3.9
343;G Handel;Ondergrens 95%-interval;2017;41.0;0.9;5.0;72.7;15.1;8.1;0.7;7.6;13.2;70.3;5.1
344;G Handel;Ondergrens 95%-interval;2018;43.5;1.1;5.5;71.8;16.0;8.6;0.7;7.6;12.4;71.4;5.4
345;G Handel;Ondergrens 95%-interval;2019;43.6;1.1;5.7;71.7;15.4;8.9;0.8;7.9;11.7;70.6;6.4
346;G Handel;Ondergrens 95%-interval;2020;43.1;1.1;5.9;67.7;19.5;8.9;0.6;6.9;11.0;71.2;7.6
347;G Handel;Ondergrens 95%-interval;2021;42.6;1.1;5.8;65.7;20.3;9.5;0.8;7.6;12.0;68.1;8.2
348;G Handel;Ondergrens 95%-interval;2022;55.8;1.5;7.1;65.7;24.2;6.6;0.5;5.0;10.0;74.8;7.2
349;G Handel;Ondergrens 95%-interval;2023;48.7;1.3;6.3;70.5;18.5;7.3;0.7;5.6;9.9;74.6;6.9
350;G Handel;Bovengrens 95%-interval;2014;40.0;1.1;5.3;75.1;17.5;10.1;1.1;7.7;13.9;76.9;5.5
351;G Handel;Bovengrens 95%-interval;2015;42.3;1.0;5.8;73.4;18.3;10.7;1.1;7.7;13.1;75.8;7.1
352;G Handel;Bovengrens 95%-interval;2016;43.6;1.1;5.8;74.0;17.7;10.9;1.0;8.6;14.4;75.5;5.2
353;G Handel;Bovengrens 95%-interval;2017;43.5;1.1;6.1;75.3;17.2;9.8;1.3;9.2;15.3;73.0;6.6
354;G Handel;Bovengrens 95%-interval;2018;45.6;1.2;6.3;74.0;17.9;10.0;1.1;9.0;14.0;73.6;6.6
355;G Handel;Bovengrens 95%-interval;2019;45.8;1.2;6.6;74.1;17.4;10.5;1.4;9.3;13.4;73.0;7.8
356;G Handel;Bovengrens 95%-interval;2020;45.3;1.3;7.0;70.2;21.6;10.4;1.1;8.3;12.7;73.5;9.1
357;G Handel;Bovengrens 95%-interval;2021;45.1;1.3;6.8;68.5;22.7;11.2;1.5;9.3;14.0;70.9;10.0
358;G Handel;Bovengrens 95%-interval;2022;57.9;1.6;8.1;67.9;26.3;7.8;0.9;6.1;11.6;76.9;8.5
359;G Handel;Bovengrens 95%-interval;2023;50.8;1.5;7.3;72.8;20.5;8.7;1.1;6.8;11.5;76.7;8.2
360;H Vervoer en opslag;Waarde;2014;39.1;0.8;7.5;56.4;27.0;14.6;1.9;11.4;17.4;64.5;6.6
361;H Vervoer en opslag;Waarde;2015;40.7;1.0;8.2;53.4;29.4;15.3;1.9;11.2;15.7;65.9;7.3
362;H Vervoer en opslag;Waarde;2016;40.5;0.8;7.1;56.8;27.0;14.5;1.7;12.3;15.4;65.5;6.8
363;H Vervoer en opslag;Waarde;2017;39.3;0.9;8.7;56.3;27.5;14.5;1.7;12.9;14.8;65.9;6.3
364;H Vervoer en opslag;Waarde;2018;43.9;1.1;9.3;53.0;28.4;17.1;1.6;13.0;18.1;61.9;7.0
365;H Vervoer en opslag;Waarde;2019;41.9;1.1;9.7;54.7;26.9;16.8;1.6;11.7;17.4;63.4;7.4
366;H Vervoer en opslag;Waarde;2020;41.4;1.0;9.1;50.7;31.3;16.1;1.9;12.4;14.2;65.9;7.5
367;H Vervoer en opslag;Waarde;2021;41.8;1.0;10.7;50.0;30.2;17.7;2.1;13.0;14.8;63.7;8.6
368;H Vervoer en opslag;Waarde;2022;54.5;1.3;10.9;51.6;34.2;12.6;1.6;9.7;12.2;68.1;9.9
369;H Vervoer en opslag;Waarde;2023;48.0;1.2;9.6;58.4;28.3;12.1;1.2;10.0;12.7;67.9;9.3
370;H Vervoer en opslag;Ondergrens 95%-interval;2014;36.6;0.7;6.2;53.5;24.5;12.7;1.3;9.7;15.3;61.7;5.3
371;H Vervoer en opslag;Ondergrens 95%-interval;2015;38.6;0.8;7.1;50.9;27.2;13.6;1.3;9.7;14.0;63.5;6.1
372;H Vervoer en opslag;Ondergrens 95%-interval;2016;38.4;0.7;6.1;54.3;24.8;12.8;1.1;10.8;13.7;63.1;5.6
373;H Vervoer en opslag;Ondergrens 95%-interval;2017;37.1;0.8;7.4;53.7;25.2;12.8;1.2;11.2;13.1;63.4;5.2
374;H Vervoer en opslag;Ondergrens 95%-interval;2018;42.1;1.0;8.3;50.8;26.5;15.6;1.1;11.6;16.5;59.9;6.0
375;H Vervoer en opslag;Ondergrens 95%-interval;2019;40.0;0.9;8.6;52.3;24.9;15.2;1.1;10.3;15.8;61.2;6.3
376;H Vervoer en opslag;Ondergrens 95%-interval;2020;39.4;0.9;7.9;48.3;29.1;14.4;1.4;10.9;12.7;63.6;6.3
377;H Vervoer en opslag;Ondergrens 95%-interval;2021;39.7;0.9;9.3;47.5;27.9;15.9;1.5;11.3;13.1;61.2;7.2
378;H Vervoer en opslag;Ondergrens 95%-interval;2022;52.5;1.2;9.8;49.4;32.2;11.3;1.1;8.5;10.8;66.1;8.7
