ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
572;Total;Type of employment contract: full-time;Total;100 or more employed persons;2020;2278;2278;27.1;4058;4010;57630;48690;8940;660;39.4;38.9;1776;1776
573;Total;Type of employment contract: full-time;Total;100 or more employed persons;2021;2335;2335;27.49;4147;4096;59270;49760;9510;660;39.4;38.8;1788;1788
574;Total;Type of employment contract: full-time;Total;100 or more employed persons;2022;2410;2410;28.37;4279;4230;61890;51350;10540;670;39.4;38.9;1789;1789
575;Total;Type of employment contract: full-time;Total;100 or more employed persons;2023;2477;2477;30.36;4545;4495;65210;54540;10670;730;39.3;38.9;1777;1777
576;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2009;2916;2916;21.2;3224;3171;44430;38690;5740;1220;39.8;39.2;1795;1795
577;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2010 before change of method;2888;2888;21.41;3250;3191;44800;39000;5800;1160;39.8;39.1;1788;1788
578;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2010 after change of method;2909;2909;21.46;3260;3201;45000;39120;5880;1170;39.8;39.1;1790;1790
579;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2011;2852;2852;21.86;3340;3285;46170;40080;6100;1140;39.8;39.1;1803;1803
580;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2012;2793;2794;22.46;3412;3358;47020;40940;6080;1160;39.9;39.2;1794;1794
581;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2013;2735;2735;22.74;3472;3409;48370;41670;6700;1130;40.2;39.4;1799;1799
582;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2014;2693;2693;22.95;3520;3461;48790;42240;6550;1060;40.2;39.5;1810;1810
583;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2015;2708;2708;23.53;3592;3529;49830;43100;6730;960;40.2;39.4;1800;1800
584;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2016;2789;2789;23.5;3607;3542;50120;43280;6830;940;40.2;39.5;1809;1809
585;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2017;2854;2854;23.66;3645;3574;50660;43740;6930;960;40.3;39.5;1812;1812
586;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2018;2955;2955;24.1;3700;3629;51370;44400;6960;1000;40.4;39.6;1807;1807
587;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2019;3003;3003;24.62;3793;3724;52710;45520;7190;1050;40.3;39.6;1815;1815
588;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2020;2953;2953;25.52;3910;3847;54230;46920;7310;1090;40.3;39.6;1809;1809
589;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2021;3026;3026;25.89;3997;3931;56020;47970;8060;1090;40.3;39.6;1822;1822
590;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2022;3121;3121;26.88;4146;4081;58500;49750;8750;1130;40.2;39.6;1822;1822
591;Total;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2023;3148;3148;28.71;4401;4336;61750;52820;8930;1210;40.2;39.6;1812;1812
592;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2009;544;544;21.51;3221;3201;41990;38660;3330;1700;39.2;38.9;1786;1786
593;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2010 before change of method;528;528;21.36;3191;3164;41680;38300;3390;1510;39.1;38.8;1778;1778
594;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2010 after change of method;548;548;21.53;3227;3201;42120;38720;3390;1560;39.3;38.9;1784;1784
595;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2011;520;520;22.2;3344;3325;43590;40130;3460;1560;39.1;38.9;1797;1797
596;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2012;501;501;22.79;3414;3395;44360;40970;3390;1560;39.3;39.0;1788;1787
597;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2013;484;484;23.07;3466;3443;45630;41590;4040;1530;39.5;39.2;1791;1791
598;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2014;472;472;23.15;3501;3480;45790;42010;3780;1410;39.6;39.3;1804;1804
599;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2015;466;466;23.53;3547;3525;46370;42560;3800;1350;39.6;39.4;1798;1798
600;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2016;473;473;23.64;3591;3567;46880;43090;3790;1330;39.7;39.5;1810;1810
601;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2017;483;483;24.1;3660;3632;48100;43920;4180;1370;39.8;39.4;1809;1809
602;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2018;484;484;24.66;3737;3709;48760;44840;3910;1460;39.8;39.5;1805;1805
603;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2019;484;484;25.24;3844;3817;50150;46130;4020;1560;39.9;39.6;1815;1815
604;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2020;467;467;25.77;3912;3888;51200;46950;4250;1610;39.9;39.6;1811;1811
605;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2021;492;492;26.13;3997;3971;52490;47970;4530;1600;39.9;39.6;1824;1824
606;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2022;505;505;27.46;4198;4173;55080;50370;4710;1720;39.9;39.6;1823;1823
607;Total;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2023;505;505;29.24;4449;4424;58030;53390;4640;1880;39.8;39.6;1816;1816
608;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2009;988;988;19.46;2995;2923;40730;35940;4790;1130;40.2;39.3;1802;1802
609;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2010 before change of method;957;957;19.82;3046;2966;41380;36550;4830;1110;40.2;39.2;1796;1796
610;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2010 after change of method;961;961;19.85;3052;2972;41510;36620;4890;1120;40.2;39.2;1797;1797
611;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2011;960;960;20.08;3105;3031;42200;37260;4940;1080;40.2;39.2;1812;1812
612;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2012;926;927;20.64;3168;3097;43010;38010;5000;1100;40.2;39.3;1801;1800
613;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2013;899;899;20.83;3214;3130;43760;38560;5190;1060;40.5;39.5;1803;1803
614;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2014;880;880;20.89;3236;3157;44110;38830;5280;990;40.5;39.6;1813;1813
615;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2015;884;884;21.35;3290;3207;44900;39480;5420;920;40.5;39.5;1803;1803
616;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2016;905;905;21.42;3321;3235;45360;39850;5520;890;40.5;39.5;1812;1812
617;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2017;932;932;21.71;3371;3278;46080;40450;5620;910;40.6;39.5;1812;1812
618;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2018;959;959;22.12;3422;3331;46920;41060;5860;950;40.6;39.6;1807;1807
619;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2019;966;966;22.65;3516;3429;48140;42190;5940;1010;40.6;39.6;1817;1817
620;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2020;950;950;23.37;3604;3526;49290;43250;6040;1050;40.5;39.6;1810;1810
621;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2021;965;965;23.71;3691;3606;51050;44290;6760;1070;40.5;39.6;1825;1825
622;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2022;985;985;24.74;3846;3763;53460;46150;7310;1090;40.5;39.7;1825;1825
623;Total;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2023;962;962;26.42;4081;3997;56440;48980;7460;1170;40.4;39.6;1815;1815
624;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2009;1384;1384;22.33;3389;3337;48020;40670;7360;1090;39.8;39.2;1793;1793
625;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2010 before change of method;1403;1403;22.53;3412;3354;48300;40940;7360;1050;39.8;39.1;1786;1786
626;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2010 after change of method;1400;1400;22.55;3416;3358;48530;40990;7530;1060;39.8;39.1;1787;1787
627;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2011;1372;1372;22.98;3502;3447;49930;42020;7910;1030;39.7;39.0;1800;1800
628;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2012;1366;1366;23.58;3577;3522;50710;42920;7790;1070;39.9;39.2;1792;1791
629;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2013;1353;1353;23.88;3646;3582;52410;43760;8650;1040;40.2;39.5;1800;1800
630;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2014;1341;1341;24.23;3713;3653;52920;44560;8370;980;40.2;39.5;1809;1809
631;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2015;1358;1358;24.96;3804;3741;54230;45640;8580;860;40.2;39.4;1798;1798
632;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2016;1411;1411;24.79;3796;3732;54240;45560;8690;840;40.2;39.5;1806;1806
633;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2017;1439;1439;24.78;3817;3745;54500;45800;8700;860;40.4;39.6;1814;1814
634;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2018;1512;1512;25.18;3865;3792;55020;46380;8640;890;40.4;39.6;1807;1807
635;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2019;1552;1552;25.66;3950;3879;56350;47400;8950;920;40.4;39.6;1814;1814
636;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2020;1536;1536;26.78;4098;4034;58200;49180;9020;960;40.3;39.6;1808;1808
637;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2021;1569;1569;27.16;4186;4117;60190;50230;9960;950;40.2;39.5;1819;1819
638;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2022;1631;1631;27.98;4311;4244;62600;51730;10870;960;40.2;39.5;1820;1820
639;Total;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2023;1681;1681;29.87;4570;4504;65900;54840;11060;1040;40.1;39.5;1809;1809
640;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2009;408;408;19.23;2684;2669;36670;32210;4470;120;36.6;36.4;1665;1665
641;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2010 before change of method;407;407;20.02;2763;2749;37770;33160;4610;130;36.5;36.3;1648;1648
642;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2010 after change of method;407;407;20.02;2764;2750;37810;33170;4640;130;36.5;36.3;1648;1648
643;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2011;397;397;20.37;2840;2828;38970;34080;4890;130;36.6;36.4;1666;1666
644;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2012;382;382;21.23;2941;2928;40320;35290;5030;140;36.6;36.4;1655;1655
645;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2013;362;362;22.11;3049;3035;42040;36580;5450;130;36.6;36.4;1647;1647
646;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2014;354;354;22.21;3085;3072;42580;37010;5570;130;36.7;36.5;1660;1660
647;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2015;343;343;23.3;3225;3213;44310;38700;5600;120;36.7;36.6;1655;1655
648;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2016;332;332;23.5;3285;3271;45480;39420;6060;130;36.8;36.7;1670;1670
649;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2017;294;294;24.1;3433;3417;47540;41200;6340;160;37.5;37.4;1702;1702
650;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2018;297;297;24.67;3499;3482;48410;41990;6420;180;37.5;37.4;1694;1694
651;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2019;299;299;25.21;3595;3578;49890;43140;6760;200;37.6;37.4;1703;1703
652;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2020;296;296;26.3;3746;3727;52250;44950;7300;220;37.6;37.5;1701;1701
653;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2021;302;302;26.76;3843;3825;53670;46120;7550;220;37.7;37.5;1715;1715
654;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2022;306;306;27.64;3977;3959;55810;47730;8090;240;37.8;37.6;1719;1719
655;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2023;308;308;29.33;4203;4184;58750;50430;8320;280;37.8;37.6;1712;1712
656;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2009;14;14;20.65;2912;2903;38520;34950;3570;690;36.9;36.8;1687;1687
657;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2010 before change of method;15;15;25.99;3674;3665;48090;44080;4000;960;37.2;37.1;1693;1693
658;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2010 after change of method;15;15;26.01;3682;3674;48210;44180;4030;980;37.3;37.2;1695;1695
659;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2011;14;14;27.71;4011;4004;52390;48130;4260;1110;37.8;37.7;1734;1734
660;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2012;13;13;27.79;4003;3996;52160;48040;4120;1030;37.9;37.8;1726;1725
661;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2013;12;12;28.58;4143;4134;54790;49710;5080;1060;38.2;38.1;1736;1736
662;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2014;12;12;28.33;4153;4145;54350;49840;4510;970;38.5;38.4;1756;1756
663;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2015;13;13;37.23;5516;5510;69980;66190;3790;960;39.0;38.9;1776;1776
664;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2016;13;13;37.48;5609;5602;70970;67300;3670;1000;39.2;39.1;1794;1794
665;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2017;14;14;37.19;5562;5553;70800;66740;4060;1020;39.2;39.1;1792;1792
666;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2018;15;15;37.83;5643;5632;71520;67710;3800;1070;39.3;39.2;1787;1787
667;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2019;15;15;38.35;5757;5745;72830;69080;3750;1210;39.4;39.3;1797;1797
668;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2020;14;14;38.8;5836;5822;73910;70030;3870;1300;39.6;39.4;1801;1801
669;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2021;15;15;38.15;5759;5749;73150;69110;4040;1270;39.4;39.3;1808;1808
670;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2022;16;16;38.58;5818;5809;74160;69820;4350;1360;39.4;39.3;1807;1807
671;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2023;16;16;40.38;6055;6046;77360;72660;4700;1460;39.4;39.3;1797;1797
672;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2009;40;40;19.32;2689;2674;36580;32260;4320;290;36.5;36.3;1661;1661
673;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2010 before change of method;39;39;20.29;2798;2785;38140;33580;4560;290;36.5;36.3;1647;1647
674;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2010 after change of method;39;39;20.29;2801;2788;38220;33620;4610;300;36.5;36.3;1649;1649
675;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2011;39;39;20.48;2866;2853;39220;34400;4830;300;36.7;36.5;1672;1672
676;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2012;36;36;21.48;3002;2987;40910;36020;4890;320;36.9;36.8;1669;1668
677;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2013;32;32;22.12;3102;3086;42530;37230;5300;320;37.2;36.9;1674;1674
678;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2014;33;33;21.92;3123;3109;42840;37480;5360;300;37.5;37.3;1702;1702
679;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2015;32;32;22.58;3187;3172;43570;38240;5330;290;37.3;37.2;1686;1686
680;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2016;33;33;22.49;3208;3191;44080;38500;5580;290;37.6;37.4;1702;1702
681;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2017;32;32;22.84;3336;3317;46030;40040;6000;370;38.3;38.1;1742;1742
682;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2018;33;33;23.5;3415;3396;46870;40980;5890;410;38.3;38.1;1734;1734
683;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2019;34;34;23.99;3503;3484;48310;42040;6270;460;38.4;38.2;1743;1743
684;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2020;34;34;24.91;3620;3601;50010;43440;6570;490;38.3;38.1;1735;1735
685;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2021;36;36;25.43;3727;3710;51780;44720;7060;510;38.4;38.2;1751;1751
686;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2022;39;39;26.07;3821;3804;53250;45860;7390;510;38.4;38.2;1751;1751
687;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2023;39;39;27.97;4070;4052;56420;48830;7580;590;38.3;38.1;1738;1738
688;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2009;353;353;19.16;2674;2659;36610;32090;4520;80;36.5;36.4;1665;1665
689;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2010 before change of method;353;353;19.73;2720;2706;37280;32640;4640;70;36.4;36.3;1646;1646
690;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2010 after change of method;353;353;19.72;2720;2706;37310;32640;4670;70;36.4;36.3;1646;1646
691;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2011;344;344;20.05;2791;2778;38410;33490;4920;70;36.5;36.4;1663;1663
692;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2012;333;333;20.93;2892;2880;39780;34710;5080;80;36.5;36.4;1651;1650
693;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2013;318;318;21.86;3003;2989;41520;36040;5480;80;36.4;36.3;1641;1641
694;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2014;310;310;22.0;3041;3028;42120;36490;5630;80;36.5;36.4;1652;1652
695;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2015;297;297;22.7;3126;3114;43230;37520;5720;70;36.5;36.4;1646;1646
696;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2016;285;285;22.92;3185;3171;44450;38220;6230;70;36.7;36.5;1661;1661
697;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2017;248;248;23.48;3325;3309;46420;39900;6520;80;37.3;37.2;1691;1691
698;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2018;250;250;24.01;3385;3369;47270;40620;6640;100;37.3;37.2;1684;1684
699;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2019;249;249;24.55;3479;3462;48750;41750;7000;110;37.3;37.2;1692;1692
700;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2020;247;247;25.73;3643;3624;51310;43710;7600;120;37.4;37.3;1690;1690
701;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2021;251;251;26.23;3744;3725;52760;44930;7830;120;37.5;37.3;1704;1704
702;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2022;251;251;27.16;3885;3866;55050;46620;8430;130;37.5;37.4;1708;1708
703;Total;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2023;254;254;28.82;4108;4089;57950;49300;8650;160;37.6;37.4;1703;1703
704;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2009;570;570;23.76;3360;3340;47130;40310;6810;30;37.1;36.9;1687;1687
705;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2010 before change of method;568;568;24.13;3393;3375;47960;40720;7240;30;37.0;36.8;1679;1679
706;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2010 after change of method;575;575;24.09;3390;3372;47910;40680;7230;30;37.0;36.8;1680;1680
707;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2011;543;543;24.18;3424;3411;48340;41090;7250;30;36.9;36.8;1693;1693
708;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2012;528;528;24.85;3491;3477;49420;41890;7530;30;37.0;36.8;1679;1679
709;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2013;523;523;25.1;3508;3492;49870;42100;7770;30;37.0;36.8;1670;1670
710;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2014;525;525;25.24;3536;3524;50040;42430;7610;20;36.9;36.8;1675;1675
711;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2015;520;520;26.13;3639;3628;51480;43670;7810;20;36.9;36.8;1666;1666
712;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2016;518;518;26.72;3749;3739;53110;44990;8110;20;37.1;37.0;1679;1679
713;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2017;503;503;26.43;3790;3778;53820;45480;8340;20;37.4;37.3;1716;1716
714;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2018;501;501;27.19;3882;3870;54800;46580;8220;20;37.4;37.3;1708;1708
715;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2019;509;509;27.58;3967;3955;56300;47600;8700;20;37.5;37.4;1721;1721
716;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2020;509;509;28.83;4131;4121;58920;49580;9340;20;37.5;37.4;1715;1715
717;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2021;530;530;29.17;4217;4206;59530;50600;8930;20;37.6;37.5;1730;1730
718;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2022;543;543;30.21;4364;4353;62860;52370;10480;20;37.5;37.5;1729;1729
719;Total;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2023;553;553;32.68;4669;4657;66420;56020;10400;20;37.7;37.6;1710;1710
720;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2009;1;1;24.52;3478;3461;47370;41740;5630;380;36.9;36.8;1694;1694
721;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2010 before change of method;1;1;23.6;3338;3330;45480;40050;5420;310;37.0;37.0;1693;1693
722;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2010 after change of method;1;1;23.57;3334;3326;45460;40010;5450;310;37.0;37.0;1694;1693
723;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2011;1;1;25.35;3602;3599;49140;43220;5920;470;36.8;36.8;1704;1704
724;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2012;1;1;25.85;3599;3595;48910;43190;5720;420;36.9;36.9;1669;1668
725;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2013;1;1;26.81;3726;3718;50590;44710;5880;490;37.0;37.0;1664;1664
726;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2014;1;1;26.71;3713;3711;50800;44560;6240;300;36.9;36.8;1667;1667
727;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2015;1;1;26.5;3701;3699;50530;44420;6120;260;37.2;37.1;1675;1675
728;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2016;1;1;27.17;3846;3843;52930;46150;6790;230;37.3;37.3;1697;1697
729;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2017;1;1;28.96;3938;3935;54020;47250;6770;180;36.0;36.0;1631;1631
730;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2018;1;1;30.07;4101;4099;57190;49210;7980;130;36.3;36.3;1636;1636
731;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2019;1;1;30.74;4226;4224;57920;50710;7210;180;36.4;36.3;1649;1649
732;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2020;1;1;31.81;4381;4377;61120;52580;8540;170;36.5;36.5;1652;1652
733;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2021;1;1;33.42;4616;4615;63920;55390;8530;100;36.4;36.4;1657;1657
734;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2022;1;1;34.97;4733;4730;66040;56800;9230;100;35.7;35.6;1623;1623
735;Total;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2023;1;1;37.76;5188;5183;72770;62260;10520;180;36.3;36.3;1647;1647
736;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2009;21;21;22.08;3124;3112;43620;37490;6130;80;37.1;37.0;1691;1691
737;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2010 before change of method;24;24;22.54;3187;3176;44740;38250;6490;50;37.0;36.9;1691;1691
738;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2010 after change of method;24;24;22.52;3190;3178;44770;38280;6490;50;37.1;36.9;1694;1694
