ID;TravelMotives;Population;TripCharacteristics;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
860;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Utrecht (PV);2020;0.89;1.7;13.15;325.0;623.0;80.2
861;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Utrecht (PV);2021;0.95;1.82;14.92;345.0;664.0;90.7
862;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Utrecht (PV);2022;1.04;2.02;15.33;380.0;737.0;93.2
863;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Utrecht (PV);2023;1.0;1.92;14.52;363.0;703.0;88.3
864;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Holland (PV);2018;0.93;1.81;13.6;339.0;661.0;82.7
865;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Holland (PV);2019;0.91;1.78;13.2;332.0;649.0;80.3
866;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Holland (PV);2020;0.82;1.57;12.9;300.0;575.0;78.7
867;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Holland (PV);2021;0.88;1.71;14.8;321.0;626.0;90.1
868;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Holland (PV);2022;0.95;1.87;15.8;346.0;684.0;96.1
869;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Holland (PV);2023;0.94;1.86;14.92;345.0;680.0;90.8
870;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zuid-Holland (PV);2018;0.93;1.82;13.25;339.0;663.0;80.6
871;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zuid-Holland (PV);2019;0.91;1.77;13.1;330.0;645.0;79.7
872;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zuid-Holland (PV);2020;0.8;1.54;12.7;291.0;565.0;77.5
873;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zuid-Holland (PV);2021;0.89;1.73;15.01;325.0;632.0;91.3
874;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zuid-Holland (PV);2022;0.94;1.85;14.96;343.0;674.0;91.0
875;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zuid-Holland (PV);2023;0.93;1.83;14.63;341.0;668.0;89.0
876;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zeeland (PV);2018;0.94;1.76;11.67;344.0;644.0;71.0
877;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zeeland (PV);2019;0.89;1.65;11.05;325.0;603.0;67.2
878;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zeeland (PV);2020;0.83;1.64;12.06;304.0;600.0;73.6
879;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zeeland (PV);2021;0.88;1.78;13.21;322.0;648.0;80.3
880;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zeeland (PV);2022;0.94;1.79;14.06;342.0;654.0;85.5
881;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Zeeland (PV);2023;0.93;1.87;12.32;338.0;681.0;74.9
882;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Brabant (PV);2018;0.94;1.83;12.12;345.0;670.0;73.7
883;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Brabant (PV);2019;0.93;1.82;11.86;339.0;663.0;72.2
884;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Brabant (PV);2020;0.93;1.81;12.68;340.0;664.0;77.3
885;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Brabant (PV);2021;0.96;1.85;14.04;349.0;674.0;85.4
886;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Brabant (PV);2022;1.01;1.96;14.41;370.0;715.0;87.6
887;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Noord-Brabant (PV);2023;0.98;1.9;13.88;356.0;693.0;84.5
888;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Limburg (PV);2018;0.94;1.84;12.11;342.0;670.0;73.7
889;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Limburg (PV);2019;0.91;1.78;11.8;331.0;651.0;71.8
890;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Limburg (PV);2020;0.85;1.64;12.39;312.0;599.0;75.6
891;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Limburg (PV);2021;0.89;1.74;13.43;323.0;636.0;81.7
892;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Limburg (PV);2022;0.95;1.86;14.07;347.0;678.0;85.6
893;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Limburg (PV);2023;1.0;1.95;14.97;366.0;712.0;91.1
894;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Extremely urbanised;2018;0.96;1.91;14.91;349.0;696.0;90.7
895;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Extremely urbanised;2019;0.91;1.82;14.52;332.0;664.0;88.4
896;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Extremely urbanised;2020;0.78;1.53;13.37;287.0;559.0;81.5
897;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Extremely urbanised;2021;0.88;1.72;15.92;320.0;627.0;96.8
898;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Extremely urbanised;2022;0.95;1.9;16.45;346.0;693.0;100.1
899;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Extremely urbanised;2023;0.95;1.89;16.25;346.0;689.0;98.9
900;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Strongly urbanised;2018;1.0;1.97;13.6;365.0;720.0;82.8
901;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Strongly urbanised;2019;0.99;1.96;13.24;361.0;717.0;80.6
902;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Strongly urbanised;2020;0.91;1.8;13.6;334.0;657.0;82.9
903;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Strongly urbanised;2021;0.96;1.9;14.92;351.0;695.0;90.8
904;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Strongly urbanised;2022;1.03;2.03;15.84;378.0;743.0;96.3
905;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Strongly urbanised;2023;1.03;2.06;15.41;378.0;753.0;93.7
906;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Moderately urbanised;2018;1.02;1.98;12.6;372.0;723.0;76.6
907;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Moderately urbanised;2019;1.01;1.96;12.44;367.0;714.0;75.7
908;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Moderately urbanised;2020;0.99;1.92;13.24;361.0;702.0;80.7
909;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Moderately urbanised;2021;0.99;1.91;14.11;363.0;699.0;85.8
910;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Moderately urbanised;2022;1.07;2.1;14.97;392.0;767.0;91.1
911;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Moderately urbanised;2023;1.04;2.03;13.89;380.0;741.0;84.5
912;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Hardly urbanised;2018;0.92;1.75;10.84;337.0;639.0;66.0
913;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Hardly urbanised;2019;0.89;1.69;10.39;326.0;618.0;63.2
914;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Hardly urbanised;2020;0.83;1.59;11.17;305.0;581.0;68.2
915;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Hardly urbanised;2021;0.9;1.73;12.7;329.0;630.0;77.3
916;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Hardly urbanised;2022;0.94;1.78;12.74;344.0;650.0;77.5
917;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Hardly urbanised;2023;0.92;1.76;12.15;337.0;642.0;73.9
918;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Not urbanised;2018;0.73;1.38;8.69;268.0;503.0;52.9
919;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Not urbanised;2019;0.7;1.31;8.38;254.0;478.0;51.0
920;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Not urbanised;2020;0.72;1.35;9.65;262.0;494.0;58.9
921;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Not urbanised;2021;0.73;1.41;10.75;268.0;513.0;65.4
922;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Not urbanised;2022;0.75;1.43;10.74;275.0;521.0;65.4
923;Total;Population 6 years or older;Distance: 1 to 3,6 km;Value;Not urbanised;2023;0.75;1.45;9.89;272.0;530.0;60.1
924;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;The Netherlands;2018;0.94;1.83;12.56;344.0;670.0;76.4
925;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;The Netherlands;2019;0.91;1.79;12.2;334.0;653.0;74.2
926;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;The Netherlands;2020;0.85;1.64;12.45;311.0;602.0;75.9
927;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;The Netherlands;2021;0.9;1.76;14.04;330.0;642.0;85.4
928;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;The Netherlands;2022;0.97;1.89;14.6;353.0;689.0;88.8
929;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;The Netherlands;2023;0.96;1.88;14.09;350.0;686.0;85.7
930;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;0.89;1.74;11.24;324.0;636.0;68.4
931;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;0.83;1.64;10.65;304.0;598.0;64.8
932;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;0.81;1.57;11.48;298.0;573.0;70.0
933;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;0.84;1.64;12.41;308.0;599.0;75.5
934;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;0.88;1.74;12.94;320.0;634.0;78.7
935;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;0.9;1.8;13.04;330.0;656.0;79.3
936;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;0.99;1.93;12.25;360.0;704.0;74.5
937;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;0.95;1.87;11.81;347.0;682.0;71.9
938;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;0.88;1.72;12.13;321.0;631.0;74.0
939;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;0.92;1.81;13.43;337.0;661.0;81.7
940;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;1.01;1.96;14.4;368.0;714.0;87.6
941;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;0.99;1.95;13.55;361.0;712.0;82.4
942;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;West-Nederland (LD);2018;0.92;1.78;12.96;335.0;651.0;78.8
943;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;West-Nederland (LD);2019;0.9;1.75;12.63;328.0;637.0;76.8
944;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;West-Nederland (LD);2020;0.81;1.55;12.52;295.0;568.0;76.4
945;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;West-Nederland (LD);2021;0.88;1.71;14.52;321.0;625.0;88.4
946;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;West-Nederland (LD);2022;0.94;1.85;14.93;344.0;674.0;90.8
947;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;West-Nederland (LD);2023;0.93;1.82;14.29;340.0;666.0;87.0
948;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;0.91;1.78;11.69;334.0;648.0;71.1
949;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;0.89;1.74;11.34;325.0;636.0;69.0
950;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;0.88;1.7;12.12;321.0;624.0;73.9
951;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;0.91;1.76;13.38;331.0;642.0;81.4
952;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;0.96;1.87;13.71;352.0;681.0;83.4
953;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;0.96;1.85;13.65;349.0;677.0;83.1
954;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Groningen (PV);2018;0.91;1.79;11.9;331.0;652.0;72.4
955;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Groningen (PV);2019;0.82;1.61;10.95;300.0;588.0;66.6
956;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Groningen (PV);2020;0.72;1.38;10.47;265.0;505.0;63.9
957;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Groningen (PV);2021;0.78;1.52;11.97;286.0;555.0;72.8
958;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Groningen (PV);2022;0.85;1.67;12.37;309.0;608.0;75.2
959;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Groningen (PV);2023;0.88;1.77;13.05;322.0;647.0;79.4
960;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Fryslân (PV);2018;0.82;1.59;10.2;300.0;581.0;62.1
961;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Fryslân (PV);2019;0.76;1.47;9.51;277.0;536.0;57.9
962;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Fryslân (PV);2020;0.87;1.65;11.96;317.0;603.0;73.0
963;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Fryslân (PV);2021;0.84;1.62;11.87;306.0;592.0;72.2
964;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Fryslân (PV);2022;0.87;1.73;12.51;319.0;632.0;76.1
965;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Fryslân (PV);2023;0.91;1.81;13.06;331.0;662.0;79.5
966;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Drenthe (PV);2018;0.84;1.66;10.19;306.0;606.0;62.0
967;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Drenthe (PV);2019;0.82;1.66;9.83;300.0;604.0;59.8
968;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Drenthe (PV);2020;0.75;1.47;10.27;274.0;538.0;62.6
969;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Drenthe (PV);2021;0.83;1.6;11.81;302.0;585.0;71.9
970;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Drenthe (PV);2022;0.8;1.59;12.09;293.0;581.0;73.5
971;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Drenthe (PV);2023;0.81;1.58;11.15;297.0;578.0;67.8
972;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Overijssel (PV);2018;1.0;1.98;12.54;365.0;722.0;76.3
973;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Overijssel (PV);2019;0.99;1.94;12.04;363.0;706.0;73.2
974;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Overijssel (PV);2020;0.87;1.71;11.53;319.0;627.0;70.3
975;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Overijssel (PV);2021;0.96;1.88;12.98;350.0;687.0;79.0
976;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Overijssel (PV);2022;1.03;2.0;14.27;376.0;731.0;86.8
977;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Overijssel (PV);2023;1.03;2.02;13.82;377.0;736.0;84.1
978;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Flevoland (PV);2018;0.79;1.55;10.02;288.0;564.0;61.0
979;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Flevoland (PV);2019;0.83;1.66;10.59;303.0;605.0;64.4
980;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Flevoland (PV);2020;0.67;1.35;9.22;247.0;496.0;56.3
981;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Flevoland (PV);2021;0.74;1.47;11.67;271.0;537.0;71.0
982;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Flevoland (PV);2022;0.82;1.62;12.11;299.0;593.0;73.7
983;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Flevoland (PV);2023;0.83;1.74;12.16;303.0;634.0;73.9
984;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Gelderland (PV);2018;0.99;1.91;12.06;360.0;698.0;73.4
985;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Gelderland (PV);2019;0.92;1.8;11.4;335.0;657.0;69.4
986;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Gelderland (PV);2020;0.89;1.74;12.51;326.0;636.0;76.3
987;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Gelderland (PV);2021;0.91;1.78;13.5;332.0;649.0;82.1
988;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Gelderland (PV);2022;1.0;1.93;14.36;366.0;705.0;87.4
989;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Gelderland (PV);2023;0.97;1.89;13.16;353.0;690.0;80.1
990;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Utrecht (PV);2018;0.93;1.79;12.39;339.0;654.0;75.3
991;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Utrecht (PV);2019;0.93;1.78;11.84;340.0;651.0;72.0
992;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Utrecht (PV);2020;0.86;1.64;12.59;313.0;600.0;76.8
993;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Utrecht (PV);2021;0.92;1.76;14.32;334.0;642.0;87.1
994;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Utrecht (PV);2022;1.01;1.95;14.69;368.0;711.0;89.3
995;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Utrecht (PV);2023;0.96;1.86;13.93;351.0;678.0;84.8
996;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Holland (PV);2018;0.9;1.75;13.04;327.0;638.0;79.3
997;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Holland (PV);2019;0.88;1.71;12.6;320.0;624.0;76.6
998;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Holland (PV);2020;0.79;1.51;12.35;290.0;554.0;75.3
999;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Holland (PV);2021;0.85;1.66;14.23;311.0;605.0;86.6
1000;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Holland (PV);2022;0.92;1.81;15.13;335.0;661.0;92.0
1001;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Holland (PV);2023;0.92;1.8;14.32;334.0;658.0;87.1
1002;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;0.9;1.76;12.76;328.0;641.0;77.6
1003;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;0.88;1.71;12.62;320.0;624.0;76.8
1004;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;0.77;1.5;12.27;283.0;548.0;74.9
1005;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;0.87;1.69;14.53;317.0;616.0;88.4
1006;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;0.92;1.79;14.5;334.0;655.0;88.2
1007;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;0.91;1.78;14.18;332.0;650.0;86.2
1008;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zeeland (PV);2018;0.85;1.59;10.42;312.0;580.0;63.4
1009;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zeeland (PV);2019;0.79;1.47;9.68;289.0;536.0;58.9
1010;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zeeland (PV);2020;0.75;1.46;10.55;274.0;536.0;64.3
1011;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zeeland (PV);2021;0.8;1.6;11.69;292.0;584.0;71.1
1012;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zeeland (PV);2022;0.85;1.62;12.32;311.0;590.0;74.9
1013;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Zeeland (PV);2023;0.83;1.64;10.87;302.0;600.0;66.1
1014;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;0.91;1.76;11.61;332.0;644.0;70.6
1015;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;0.89;1.74;11.27;325.0;635.0;68.6
1016;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;0.9;1.74;12.11;328.0;639.0;73.9
1017;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;0.92;1.78;13.46;337.0;650.0;81.9
1018;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;0.98;1.88;13.72;356.0;688.0;83.5
1019;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;0.94;1.83;13.24;344.0;667.0;80.6
1020;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Limburg (PV);2018;0.89;1.73;11.34;323.0;631.0;69.0
1021;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Limburg (PV);2019;0.85;1.67;10.82;310.0;608.0;65.9
1022;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Limburg (PV);2020;0.8;1.54;11.54;294.0;564.0;70.4
1023;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Limburg (PV);2021;0.84;1.64;12.59;306.0;600.0;76.6
1024;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Limburg (PV);2022;0.9;1.75;12.9;327.0;637.0;78.5
1025;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Limburg (PV);2023;0.95;1.84;13.88;347.0;672.0;84.4
1026;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Extremely urbanised;2018;0.93;1.85;14.41;339.0;675.0;87.7
1027;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Extremely urbanised;2019;0.88;1.76;14.01;323.0;643.0;85.2
1028;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Extremely urbanised;2020;0.76;1.49;12.94;280.0;544.0;78.9
1029;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Extremely urbanised;2021;0.86;1.68;15.45;312.0;611.0;94.0
1030;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Extremely urbanised;2022;0.92;1.85;15.95;338.0;675.0;97.0
1031;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Extremely urbanised;2023;0.93;1.84;15.77;338.0;672.0;95.9
1032;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Strongly urbanised;2018;0.98;1.92;13.22;356.0;701.0;80.4
1033;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Strongly urbanised;2019;0.96;1.91;12.82;352.0;697.0;78.0
1034;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Strongly urbanised;2020;0.89;1.75;13.2;326.0;641.0;80.5
1035;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Strongly urbanised;2021;0.94;1.86;14.52;343.0;679.0;88.3
1036;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Strongly urbanised;2022;1.01;1.99;15.35;369.0;725.0;93.4
1037;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Strongly urbanised;2023;1.01;2.01;14.97;369.0;735.0;91.1
1038;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Moderately urbanised;2018;0.98;1.91;12.13;359.0;698.0;73.8
1039;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Moderately urbanised;2019;0.97;1.88;11.88;354.0;686.0;72.3
1040;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Moderately urbanised;2020;0.95;1.85;12.72;349.0;677.0;77.6
1041;Total;Population 6 years or older;Distance: 1 to 3,6 km;Lower bound 95% confidence interval;Moderately urbanised;2021;0.96;1.85;13.58;351.0;675.0;82.6
