ID;HouseholdCharacteristics;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2;PersonsWithPurchasingPowerIncrease_3;k_20thPercentile_4;k_40thPercentile_5;k_60thPercentile_6;k_80thPercentile_7
292;Source: Income as other self-employed;2016;3.7;35.4;64.6;-7.4;1.2;6.8;20.0
293;Source: Income as other self-employed;2017;1.4;44.3;55.7;-8.2;-0.9;4.6;17.3
294;Source: Income as other self-employed;2018;1.2;44.8;55.2;-8.2;-1.0;4.0;14.9
295;Source: Income as other self-employed;2019;1.9;40.6;59.4;-7.5;-0.2;4.7;14.8
296;Source: Income as other self-employed;2020;3.9;32.5;67.5;-6.1;1.7;7.0;19.2
297;Source: Income as other self-employed;2021;2.5;39.1;60.9;-6.8;0.2;5.5;17.2
298;Source: Income as other self-employed;2022;-0.9;53.0;47.0;-10.0;-3.3;2.3;14.3
299;Source: Income as other self-employed;2023;-1.5;56.5;43.5;-8.6;-3.6;1.0;10.7
300;Source: Transfer income;2012;-1.3;67.1;32.9;-5.9;-1.9;-0.7;3.0
301;Source: Transfer income;2013;-2.5;73.1;26.9;-8.0;-3.7;-1.6;1.7
302;Source: Transfer income;2014;1.0;38.0;62.0;-4.0;0.2;1.7;5.5
303;Source: Transfer income;2015;0.3;45.8;54.2;-4.2;-0.4;0.9;4.4
304;Source: Transfer income;2016;1.0;36.9;63.1;-3.4;0.3;1.5;4.8
305;Source: Transfer income;2017;0.0;49.7;50.3;-3.8;-0.6;0.5;3.8
306;Source: Transfer income;2018;-0.3;58.3;41.7;-3.4;-0.7;0.1;3.5
307;Source: Transfer income;2019;0.7;31.9;68.1;-2.0;0.3;1.1;4.5
308;Source: Transfer income;2020;1.3;28.3;71.7;-2.6;0.9;1.7;4.6
309;Source: Transfer income;2021;-0.2;55.6;44.4;-2.9;-0.5;0.2;4.8
310;Source: Transfer income;2022;-2.6;62.6;37.4;-5.2;-3.2;-0.9;4.8
311;Source: Transfer income;2023;-0.1;51.0;49.0;-4.1;-1.0;0.8;4.2
312;Source: Income insurance benefit;2012;-1.2;67.4;32.6;-5.2;-1.8;-0.6;2.6
313;Source: Income insurance benefit;2013;-2.8;75.2;24.8;-7.7;-3.8;-1.8;1.0
314;Source: Income insurance benefit;2014;0.8;38.8;61.2;-3.7;0.1;1.5;4.6
315;Source: Income insurance benefit;2015;0.1;47.6;52.4;-3.8;-0.5;0.7;3.6
316;Source: Income insurance benefit;2016;0.9;37.8;62.2;-3.1;0.2;1.4;4.0
317;Source: Income insurance benefit;2017;-0.1;52.7;47.3;-3.7;-0.7;0.4;3.0
318;Source: Income insurance benefit;2018;-0.3;59.7;40.3;-3.2;-0.7;0.0;2.9
319;Source: Income insurance benefit;2019;0.7;31.5;68.5;-1.8;0.4;1.1;4.0
320;Source: Income insurance benefit;2020;1.2;28.6;71.4;-2.6;0.8;1.6;4.0
321;Source: Income insurance benefit;2021;-0.3;57.4;42.6;-2.8;-0.6;0.1;4.0
322;Source: Income insurance benefit;2022;-2.9;69.4;30.6;-5.5;-3.4;-2.2;3.3
323;Source: Income insurance benefit;2023;-0.4;54.9;45.1;-4.3;-1.3;0.4;3.2
324;Source: Unemployment benefit;2012;-1.6;57.5;42.5;-12.8;-4.0;0.6;7.6
325;Source: Unemployment benefit;2013;-1.5;55.8;44.2;-13.5;-4.2;1.1;8.8
326;Source: Unemployment benefit;2014;0.3;49.0;51.0;-12.2;-2.6;2.7;10.5
327;Source: Unemployment benefit;2015;0.6;47.1;52.9;-11.0;-1.8;2.9;11.2
328;Source: Unemployment benefit;2016;1.6;42.8;57.2;-10.1;-0.7;3.8;11.9
329;Source: Unemployment benefit;2017;0.6;46.8;53.2;-10.5;-1.4;2.9;12.0
330;Source: Unemployment benefit;2018;0.8;45.2;54.8;-9.9;-1.0;3.0;11.8
331;Source: Unemployment benefit;2019;1.3;43.6;56.4;-10.4;-0.9;3.6;12.1
332;Source: Unemployment benefit;2020;1.7;44.0;56.0;-12.5;-1.3;4.1;12.9
333;Source: Unemployment benefit;2021;1.4;45.2;54.8;-14.0;-1.8;4.7;14.3
334;Source: Unemployment benefit;2022;0.1;49.5;50.5;-15.8;-3.3;2.9;11.5
335;Source: Unemployment benefit;2023;1.4;46.1;53.9;-14.2;-2.5;4.6;12.6
336;Source: Sickness/Disability benefit;2012;-1.3;64.2;35.8;-8.0;-2.3;-0.5;4.5
337;Source: Sickness/Disability benefit;2013;-1.7;64.4;35.6;-8.6;-2.8;-0.7;4.7
338;Source: Sickness/Disability benefit;2014;0.9;41.6;58.4;-5.7;-0.2;1.8;7.9
339;Source: Sickness/Disability benefit;2015;0.5;45.0;55.0;-5.8;-0.5;1.4;8.1
340;Source: Sickness/Disability benefit;2016;1.3;33.4;66.6;-4.3;0.7;2.4;8.7
341;Source: Sickness/Disability benefit;2017;0.3;45.8;54.2;-5.4;-0.4;1.2;7.5
342;Source: Sickness/Disability benefit;2018;0.1;48.4;51.6;-5.3;-0.4;0.9;7.3
343;Source: Sickness/Disability benefit;2019;1.0;33.3;66.7;-4.1;0.4;1.9;8.2
344;Source: Sickness/Disability benefit;2020;1.7;29.9;70.1;-4.2;1.3;2.6;9.1
345;Source: Sickness/Disability benefit;2021;0.2;44.6;55.4;-6.0;-0.2;1.1;7.5
346;Source: Sickness/Disability benefit;2022;-0.7;52.6;47.4;-6.6;-2.3;2.2;6.8
347;Source: Sickness/Disability benefit;2023;2.3;31.5;68.5;-3.4;1.2;3.6;9.0
348;Source: Old-age/survivors pension;2012;-1.2;68.5;31.5;-4.6;-1.7;-0.7;2.1
349;Source: Old-age/survivors pension;2013;-2.9;77.6;22.4;-7.3;-3.8;-2.0;0.5
350;Source: Old-age/survivors pension;2014;0.8;37.9;62.1;-3.0;0.2;1.4;4.0
351;Source: Old-age/survivors pension;2015;0.1;47.7;52.3;-3.2;-0.5;0.7;2.9
352;Source: Old-age/survivors pension;2016;0.8;37.9;62.1;-2.7;0.2;1.3;3.3
353;Source: Old-age/survivors pension;2017;-0.2;53.6;46.4;-3.2;-0.7;0.3;2.3
354;Source: Old-age/survivors pension;2018;-0.4;61.4;38.6;-2.7;-0.7;0.0;2.3
355;Source: Old-age/survivors pension;2019;0.7;30.7;69.3;-1.4;0.4;1.0;3.5
356;Source: Old-age/survivors pension;2020;1.1;27.6;72.4;-2.0;0.8;1.5;3.3
357;Source: Old-age/survivors pension;2021;-0.3;59.0;41.0;-2.3;-0.6;0.0;3.3
358;Source: Old-age/survivors pension;2022;-3.0;71.5;28.5;-5.2;-3.4;-2.4;2.7
359;Source: Old-age/survivors pension;2023;-0.6;57.6;42.4;-4.3;-1.4;0.2;2.5
360;Source: Social provisions benefit;2012;-1.6;66.7;33.3;-7.6;-2.4;-1.0;4.6
361;Source: Social provisions benefit;2013;-1.5;64.3;35.7;-8.0;-2.0;-0.7;5.4
362;Source: Social provisions benefit;2014;2.0;29.1;70.9;-3.2;1.4;2.9;10.3
363;Source: Social provisions benefit;2015;1.1;33.7;66.3;-4.0;0.5;2.1;8.4
364;Source: Social provisions benefit;2016;1.4;28.3;71.7;-3.0;1.1;2.3;8.2
365;Source: Social provisions benefit;2017;0.7;32.3;67.7;-2.7;0.3;1.6;7.3
366;Source: Social provisions benefit;2018;0.0;50.7;49.3;-3.5;-0.4;0.7;6.3
367;Source: Social provisions benefit;2019;0.7;31.5;68.5;-2.2;0.3;1.4;6.8
368;Source: Social provisions benefit;2020;1.7;24.1;75.9;-1.4;1.4;2.1;7.0
369;Source: Social provisions benefit;2021;0.2;46.6;53.4;-2.0;-0.2;1.6;7.9
370;Source: Social provisions benefit;2022;4.5;22.9;77.1;-1.3;3.2;5.3;8.4
371;Source: Social provisions benefit;2023;2.2;27.4;72.6;-1.2;1.2;3.7;8.6
372;Source: Social assistance benefit;2012;-1.8;67.1;32.9;-7.9;-2.6;-1.1;4.4
373;Source: Social assistance benefit;2013;-1.5;63.3;36.7;-8.0;-2.0;-0.5;5.5
374;Source: Social assistance benefit;2014;2.1;27.9;72.1;-3.0;1.6;3.1;10.5
375;Source: Social assistance benefit;2015;1.2;32.2;67.8;-3.8;0.7;2.3;8.4
376;Source: Social assistance benefit;2016;1.5;27.5;72.5;-2.8;1.1;2.5;8.3
377;Source: Social assistance benefit;2017;0.8;30.1;69.9;-2.4;0.4;1.8;7.5
378;Source: Social assistance benefit;2018;0.0;50.1;49.9;-3.2;-0.4;0.9;6.6
379;Source: Social assistance benefit;2019;0.8;31.3;68.7;-2.2;0.3;1.6;7.1
380;Source: Social assistance benefit;2020;1.7;24.4;75.6;-1.5;1.4;2.2;7.2
381;Source: Social assistance benefit;2021;0.3;47.4;52.6;-1.7;-0.3;1.9;8.2
382;Source: Social assistance benefit;2022;4.7;20.2;79.8;-0.1;3.5;5.5;8.8
383;Source: Social assistance benefit;2023;2.2;28.1;71.9;-1.2;1.1;3.9;9.1
384;Source: Social provisions, n.e.c.;2012;-1.2;66.3;33.7;-5.8;-1.8;-0.7;4.7
385;Source: Social provisions, n.e.c.;2013;-1.8;68.3;31.7;-7.0;-2.2;-1.2;4.4
386;Source: Social provisions, n.e.c.;2014;1.3;32.3;67.7;-3.4;0.7;2.0;8.9
387;Source: Social provisions, n.e.c.;2015;0.6;38.4;61.6;-3.8;0.1;1.3;7.9
388;Source: Social provisions, n.e.c.;2016;1.2;29.5;70.5;-3.0;0.9;1.8;7.5
389;Source: Social provisions, n.e.c.;2017;0.4;39.2;60.8;-3.1;0.0;0.8;6.2
390;Source: Social provisions, n.e.c.;2018;-0.1;52.9;47.1;-4.0;-0.5;0.2;4.9
391;Source: Social provisions, n.e.c.;2019;0.5;31.7;68.3;-1.9;0.3;0.9;5.2
392;Source: Social provisions, n.e.c.;2020;1.8;22.3;77.7;-0.8;1.5;2.0;5.9
393;Source: Social provisions, n.e.c.;2021;0.2;44.3;55.7;-3.1;-0.1;0.7;6.7
394;Source: Social provisions, n.e.c.;2022;3.8;30.1;69.9;-2.7;2.5;4.9;7.4
395;Source: Social provisions, n.e.c.;2023;2.2;25.2;74.8;-0.9;1.5;3.2;6.9
396;Source: Student grant;2012;-5.0;61.2;38.8;-32.1;-11.3;-0.9;19.3
397;Source: Student grant;2013;1.0;48.2;51.8;-27.7;-6.3;6.3;25.2
398;Source: Student grant;2014;-2.0;55.4;44.6;-28.2;-7.1;2.4;23.2
399;Source: Student grant;2015;0.1;49.8;50.2;-30.1;-8.3;4.2;24.4
400;Source: Student grant;2016;-1.1;52.4;47.6;-31.7;-9.5;2.5;24.3
401;Source: Student grant;2017;-4.9;58.3;41.7;-36.3;-14.1;0.8;21.7
402;Source: Student grant;2018;-2.2;56.1;43.9;-34.7;-10.3;1.4;21.9
403;Source: Student grant;2019;-2.2;57.8;42.2;-28.0;-7.1;1.2;24.0
404;Source: Student grant;2020;0.4;48.7;51.3;-24.4;-4.2;3.4;24.7
405;Source: Student grant;2021;0.2;48.8;51.2;-19.7;-2.9;5.9;31.1
406;Source: Student grant;2022;-0.4;50.9;49.1;-21.0;-4.5;5.5;27.6
407;Source: Student grant;2023;8.6;36.2;63.8;-16.4;2.6;15.8;43.8
408;Home ownership: Owner-occupied home;2012;-0.8;55.7;44.3;-8.7;-2.4;0.8;6.9
409;Home ownership: Owner-occupied home;2013;-0.5;52.6;47.4;-8.5;-2.3;1.4;7.8
410;Home ownership: Owner-occupied home;2014;2.2;36.6;63.4;-5.7;0.6;4.1;11.2
411;Home ownership: Owner-occupied home;2015;1.6;39.6;60.4;-6.3;0.1;3.6;10.7
412;Home ownership: Owner-occupied home;2016;3.5;32.2;67.8;-4.1;1.4;5.7;13.3
413;Home ownership: Owner-occupied home;2017;0.7;45.0;55.0;-6.3;-0.7;2.8;10.7
414;Home ownership: Owner-occupied home;2018;0.9;44.3;55.7;-6.1;-0.5;3.0;10.8
415;Home ownership: Owner-occupied home;2019;1.8;36.6;63.4;-5.3;0.4;3.8;11.6
416;Home ownership: Owner-occupied home;2020;2.8;32.8;67.2;-5.4;1.1;5.1;12.7
417;Home ownership: Owner-occupied home;2021;1.6;40.9;59.1;-5.7;-0.1;3.9;12.3
418;Home ownership: Owner-occupied home;2022;-1.7;58.0;42.0;-8.7;-3.3;0.5;8.3
419;Home ownership: Owner-occupied home;2023;-0.3;51.9;48.1;-7.3;-1.8;1.4;7.7
420;Home ownership: Rent;2012;-1.4;62.2;37.8;-9.5;-2.5;-0.4;6.6
421;Home ownership: Rent;2013;-1.9;63.0;37.0;-10.4;-3.5;-0.5;6.9
422;Home ownership: Rent;2014;1.4;38.1;61.9;-6.3;0.2;2.7;11.3
423;Home ownership: Rent;2015;1.0;40.8;59.2;-5.9;-0.1;2.4;11.7
424;Home ownership: Rent;2016;2.0;31.2;68.8;-4.3;1.1;4.2;13.6
425;Home ownership: Rent;2017;0.6;41.4;58.6;-5.3;-0.1;2.0;11.9
426;Home ownership: Rent;2018;0.1;48.0;52.0;-5.3;-0.4;1.8;11.9
427;Home ownership: Rent;2019;1.2;32.3;67.7;-4.2;0.6;2.9;12.7
428;Home ownership: Rent;2020;2.1;28.5;71.5;-4.1;1.4;4.0;13.6
429;Home ownership: Rent;2021;0.8;42.8;57.2;-4.4;-0.2;3.1;13.5
430;Home ownership: Rent;2022;0.7;47.7;52.3;-6.2;-2.0;3.4;11.6
431;Home ownership: Rent;2023;1.5;38.8;61.2;-5.0;0.2;3.5;12.4
432;Home ownership: Rent: no rent subsidy;2012;-1.1;59.7;40.3;-9.0;-2.3;0.1;6.9
433;Home ownership: Rent: no rent subsidy;2013;-2.3;62.2;37.8;-10.0;-4.0;-0.5;7.1
434;Home ownership: Rent: no rent subsidy;2014;1.0;41.4;58.6;-6.6;-0.2;2.7;11.0
435;Home ownership: Rent: no rent subsidy;2015;0.5;45.8;54.2;-6.5;-0.6;2.4;11.5
436;Home ownership: Rent: no rent subsidy;2016;2.4;33.1;66.9;-4.3;0.9;5.0;14.7
437;Home ownership: Rent: no rent subsidy;2017;0.1;48.4;51.6;-6.0;-0.7;2.0;12.3
438;Home ownership: Rent: no rent subsidy;2018;0.2;47.7;52.3;-5.6;-0.6;2.3;12.6
439;Home ownership: Rent: no rent subsidy;2019;1.7;31.7;68.3;-4.3;0.8;3.8;13.7
440;Home ownership: Rent: no rent subsidy;2020;2.6;29.3;70.7;-4.5;1.2;5.1;15.1
441;Home ownership: Rent: no rent subsidy;2021;1.6;40.2;59.8;-4.8;0.0;4.0;14.7
442;Home ownership: Rent: no rent subsidy;2022;-1.1;54.5;45.5;-7.5;-2.7;1.6;11.8
443;Home ownership: Rent: no rent subsidy;2023;1.2;42.3;57.7;-6.5;-0.4;3.1;11.6
444;Home ownership: Rent with rent subsidy;2012;-1.7;69.5;30.5;-8.4;-2.5;-1.1;3.6
445;Home ownership: Rent with rent subsidy;2013;-1.5;66.4;33.6;-7.6;-2.2;-0.7;4.3
446;Home ownership: Rent with rent subsidy;2014;1.5;32.7;67.3;-4.2;0.8;2.2;7.3
447;Home ownership: Rent with rent subsidy;2015;1.2;32.9;67.1;-3.4;0.6;2.0;9.0
448;Home ownership: Rent with rent subsidy;2016;1.7;27.0;73.0;-2.8;1.3;2.5;8.6
449;Home ownership: Rent with rent subsidy;2017;0.7;31.7;68.3;-3.1;0.4;1.3;7.7
450;Home ownership: Rent with rent subsidy;2018;0.0;50.9;49.1;-3.9;-0.4;0.5;7.1
451;Home ownership: Rent with rent subsidy;2019;0.8;32.6;67.4;-3.1;0.3;1.3;7.5
452;Home ownership: Rent with rent subsidy;2020;1.7;26.5;73.5;-2.7;1.4;2.3;8.7
453;Home ownership: Rent with rent subsidy;2021;0.1;47.9;52.1;-3.0;-0.3;1.1;8.5
454;Home ownership: Rent with rent subsidy;2022;2.5;39.7;60.3;-3.7;0.1;4.1;8.5
455;Home ownership: Rent with rent subsidy;2023;1.6;34.6;65.4;-2.7;0.5;3.3;10.7
456;Equivalised income: 1st 10%-group;2012;-1.8;63.0;37.0;-14.6;-3.6;-0.7;10.6
457;Equivalised income: 1st 10%-group;2013;-1.5;59.7;40.3;-14.9;-3.0;0.1;12.2
458;Equivalised income: 1st 10%-group;2014;1.8;38.1;61.9;-10.3;0.5;3.4;17.5
459;Equivalised income: 1st 10%-group;2015;1.0;40.5;59.5;-10.2;-0.1;3.0;16.5
460;Equivalised income: 1st 10%-group;2016;1.7;34.3;65.7;-8.6;1.0;3.8;16.2
461;Equivalised income: 1st 10%-group;2017;0.7;38.6;61.4;-7.8;0.1;2.2;14.5
462;Equivalised income: 1st 10%-group;2018;0.1;48.8;51.2;-7.2;-0.5;1.5;13.3
463;Equivalised income: 1st 10%-group;2019;0.8;35.7;64.3;-6.1;0.3;2.1;12.7
464;Equivalised income: 1st 10%-group;2020;1.8;30.1;69.9;-5.9;1.3;2.8;13.0
465;Equivalised income: 1st 10%-group;2021;0.2;47.2;52.8;-5.8;-0.3;2.1;13.2
466;Equivalised income: 1st 10%-group;2022;4.1;31.0;69.0;-4.6;2.4;5.5;13.7
467;Equivalised income: 1st 10%-group;2023;1.7;37.1;62.9;-6.2;0.4;3.7;12.8
468;Equivalised income: 2nd 10%-group;2012;-1.5;64.8;35.2;-9.6;-2.4;-0.7;5.7
469;Equivalised income: 2nd 10%-group;2013;-1.5;62.4;37.6;-10.6;-2.7;-0.3;6.3
470;Equivalised income: 2nd 10%-group;2014;1.3;37.5;62.5;-6.6;0.3;2.4;10.2
471;Equivalised income: 2nd 10%-group;2015;0.9;40.3;59.7;-6.1;0.0;1.8;10.7
472;Equivalised income: 2nd 10%-group;2016;1.8;30.7;69.3;-4.7;1.2;3.1;11.9
473;Equivalised income: 2nd 10%-group;2017;0.6;38.7;61.3;-4.9;0.1;1.5;10.6
474;Equivalised income: 2nd 10%-group;2018;0.1;48.6;51.4;-4.6;-0.3;1.2;10.7
475;Equivalised income: 2nd 10%-group;2019;1.0;32.1;67.9;-3.9;0.5;1.9;10.8
476;Equivalised income: 2nd 10%-group;2020;1.8;28.1;71.9;-4.4;1.4;2.9;11.7
477;Equivalised income: 2nd 10%-group;2021;0.2;46.8;53.2;-4.6;-0.3;1.5;11.3
478;Equivalised income: 2nd 10%-group;2022;-0.9;53.2;46.8;-5.7;-2.5;1.8;8.7
479;Equivalised income: 2nd 10%-group;2023;0.8;42.4;57.6;-4.6;-0.2;2.2;9.7
480;Equivalised income: 3rd 10%-group;2012;-1.1;61.1;38.9;-8.4;-2.2;-0.1;5.5
481;Equivalised income: 3rd 10%-group;2013;-1.7;61.6;38.4;-9.0;-3.2;-0.3;5.5
482;Equivalised income: 3rd 10%-group;2014;1.2;38.8;61.2;-5.7;0.1;2.4;9.0
483;Equivalised income: 3rd 10%-group;2015;0.7;43.9;56.1;-5.7;-0.4;1.9;9.5
484;Equivalised income: 3rd 10%-group;2016;2.0;30.8;69.2;-3.8;1.1;4.2;12.0
485;Equivalised income: 3rd 10%-group;2017;0.5;43.9;56.1;-5.1;-0.3;1.7;10.0
486;Equivalised income: 3rd 10%-group;2018;0.2;47.1;52.9;-4.9;-0.4;1.7;10.3
487;Equivalised income: 3rd 10%-group;2019;1.1;33.4;66.6;-4.4;0.5;2.5;10.8
488;Equivalised income: 3rd 10%-group;2020;2.0;29.1;70.9;-4.2;1.2;3.9;12.2
489;Equivalised income: 3rd 10%-group;2021;0.6;44.2;55.8;-5.0;-0.3;2.4;11.4
490;Equivalised income: 3rd 10%-group;2022;-2.1;60.3;39.7;-7.2;-3.0;-0.1;8.6
491;Equivalised income: 3rd 10%-group;2023;0.7;45.1;54.9;-5.5;-0.7;2.4;10.3
492;Equivalised income: 4th 10%-group;2012;-0.9;57.4;42.6;-8.4;-2.1;0.4;6.2
493;Equivalised income: 4th 10%-group;2013;-1.3;58.2;41.8;-8.9;-3.0;0.3;6.4
494;Equivalised income: 4th 10%-group;2014;1.7;37.5;62.5;-5.7;0.4;3.4;10.0
495;Equivalised income: 4th 10%-group;2015;0.9;43.4;56.6;-6.2;-0.4;2.7;10.2
496;Equivalised income: 4th 10%-group;2016;2.9;31.7;68.3;-4.1;1.1;5.3;13.3
497;Equivalised income: 4th 10%-group;2017;0.5;45.3;54.7;-5.9;-0.5;2.3;10.9
498;Equivalised income: 4th 10%-group;2018;0.5;45.5;54.5;-5.6;-0.5;2.5;11.3
499;Equivalised income: 4th 10%-group;2019;1.4;34.9;65.1;-5.0;0.5;3.3;11.7
500;Equivalised income: 4th 10%-group;2020;2.4;30.7;69.3;-4.8;1.1;4.8;13.3
501;Equivalised income: 4th 10%-group;2021;1.1;42.7;57.3;-5.7;-0.3;3.3;12.4
502;Equivalised income: 4th 10%-group;2022;-2.0;58.9;41.1;-7.9;-3.2;0.3;9.2
503;Equivalised income: 4th 10%-group;2023;0.3;48.1;51.9;-6.3;-1.1;2.0;9.6
504;Equivalised income: 5th 10%-group;2012;-0.8;55.7;44.3;-8.4;-2.1;0.7;6.6
505;Equivalised income: 5th 10%-group;2013;-1.0;55.7;44.3;-8.6;-2.8;0.8;6.9
506;Equivalised income: 5th 10%-group;2014;2.1;35.8;64.2;-5.4;0.7;4.0;10.4
507;Equivalised income: 5th 10%-group;2015;1.3;40.6;59.4;-5.8;-0.1;3.2;10.4
508;Equivalised income: 5th 10%-group;2016;3.6;31.2;68.8;-3.8;1.4;5.9;13.5
509;Equivalised income: 5th 10%-group;2017;0.6;45.6;54.4;-6.0;-0.6;2.6;10.6
510;Equivalised income: 5th 10%-group;2018;0.8;45.0;55.0;-5.7;-0.6;2.9;11.1
511;Equivalised income: 5th 10%-group;2019;1.8;35.4;64.6;-5.0;0.5;3.8;11.6
512;Equivalised income: 5th 10%-group;2020;2.9;31.1;68.9;-4.7;1.1;5.2;13.0
513;Equivalised income: 5th 10%-group;2021;1.6;40.9;59.1;-5.4;-0.1;3.7;12.0
514;Equivalised income: 5th 10%-group;2022;-1.7;58.1;41.9;-7.9;-3.3;0.5;8.6
515;Equivalised income: 5th 10%-group;2023;0.2;48.3;51.7;-6.2;-1.2;2.0;8.9
516;Equivalised income: 6th 10%-group;2012;-0.8;55.5;44.5;-8.5;-2.2;0.8;6.6
517;Equivalised income: 6th 10%-group;2013;-0.8;54.1;45.9;-8.5;-2.7;1.1;7.3
518;Equivalised income: 6th 10%-group;2014;2.4;35.5;64.5;-5.4;0.8;4.2;10.7
519;Equivalised income: 6th 10%-group;2015;1.7;38.5;61.5;-5.7;0.2;3.7;10.6
520;Equivalised income: 6th 10%-group;2016;3.8;31.2;68.8;-3.7;1.7;6.1;13.6
521;Equivalised income: 6th 10%-group;2017;0.7;45.5;54.5;-6.0;-0.7;2.7;10.4
522;Equivalised income: 6th 10%-group;2018;0.9;44.5;55.5;-5.7;-0.6;3.0;10.8
523;Equivalised income: 6th 10%-group;2019;2.1;35.3;64.7;-4.9;0.6;4.0;11.4
524;Equivalised income: 6th 10%-group;2020;3.0;31.9;68.1;-4.7;1.1;5.2;12.7
525;Equivalised income: 6th 10%-group;2021;1.8;40.1;59.9;-5.4;0.0;3.9;11.9
526;Equivalised income: 6th 10%-group;2022;-1.6;57.5;42.5;-8.1;-3.3;0.6;8.4
527;Equivalised income: 6th 10%-group;2023;0.2;49.0;51.0;-6.4;-1.4;2.0;8.6
528;Equivalised income: 7th 10%-group;2012;-0.8;55.4;44.6;-8.6;-2.4;0.8;6.7
529;Equivalised income: 7th 10%-group;2013;-0.5;52.7;47.3;-8.4;-2.5;1.4;7.7
530;Equivalised income: 7th 10%-group;2014;2.4;35.8;64.2;-5.5;0.8;4.3;10.8
531;Equivalised income: 7th 10%-group;2015;1.9;37.6;62.4;-5.5;0.3;3.9;10.7
532;Equivalised income: 7th 10%-group;2016;3.8;31.9;68.1;-3.7;1.6;6.0;13.4
533;Equivalised income: 7th 10%-group;2017;0.7;45.6;54.4;-6.1;-0.8;2.8;10.4
534;Equivalised income: 7th 10%-group;2018;1.0;44.3;55.7;-5.8;-0.6;3.1;10.7
535;Equivalised income: 7th 10%-group;2019;2.2;35.6;64.4;-5.0;0.6;4.1;11.4
536;Equivalised income: 7th 10%-group;2020;3.2;32.1;67.9;-4.8;1.2;5.4;12.9
537;Equivalised income: 7th 10%-group;2021;2.0;39.4;60.6;-5.4;0.1;4.1;12.1
538;Equivalised income: 7th 10%-group;2022;-1.5;56.9;43.1;-8.4;-3.3;0.7;8.4
539;Equivalised income: 7th 10%-group;2023;0.1;49.5;50.5;-6.8;-1.5;1.9;8.5
540;Equivalised income: 8th 10%-group;2012;-0.9;55.7;44.3;-8.8;-2.6;0.8;6.8
541;Equivalised income: 8th 10%-group;2013;-0.4;52.2;47.8;-8.4;-2.4;1.6;7.9
542;Equivalised income: 8th 10%-group;2014;2.2;37.1;62.9;-5.8;0.6;4.2;10.8
543;Equivalised income: 8th 10%-group;2015;2.1;37.4;62.6;-5.7;0.4;4.1;11.0
544;Equivalised income: 8th 10%-group;2016;3.8;32.5;67.5;-3.9;1.6;6.0;13.5
545;Equivalised income: 8th 10%-group;2017;0.8;45.3;54.7;-6.4;-0.8;3.0;10.6
546;Equivalised income: 8th 10%-group;2018;1.1;43.9;56.1;-6.2;-0.6;3.3;10.9
547;Equivalised income: 8th 10%-group;2019;2.2;36.6;63.4;-5.3;0.5;4.2;11.7
548;Equivalised income: 8th 10%-group;2020;3.4;32.6;67.4;-5.1;1.3;5.7;13.2
549;Equivalised income: 8th 10%-group;2021;2.2;38.7;61.3;-5.6;0.2;4.5;12.6
550;Equivalised income: 8th 10%-group;2022;-1.3;56.0;44.0;-8.9;-3.2;1.0;8.6
551;Equivalised income: 8th 10%-group;2023;0.0;49.9;50.1;-7.4;-1.7;1.9;8.4
552;Equivalised income: 9th 10%-group;2012;-1.1;56.0;44.0;-9.2;-2.8;0.8;7.4
553;Equivalised income: 9th 10%-group;2013;-0.4;51.8;48.2;-8.9;-2.4;1.8;8.7
554;Equivalised income: 9th 10%-group;2014;2.0;39.2;60.8;-6.6;0.2;4.1;11.4
555;Equivalised income: 9th 10%-group;2015;2.2;37.8;62.2;-6.2;0.4;4.3;11.7
556;Equivalised income: 9th 10%-group;2016;3.7;33.0;67.0;-4.4;1.6;6.0;14.0
557;Equivalised income: 9th 10%-group;2017;0.9;45.4;54.6;-7.0;-0.9;3.1;11.2
558;Equivalised income: 9th 10%-group;2018;1.3;43.5;56.5;-6.9;-0.6;3.5;11.5
559;Equivalised income: 9th 10%-group;2019;2.1;37.9;62.1;-5.9;0.4;4.4;12.3
560;Equivalised income: 9th 10%-group;2020;3.5;33.6;66.4;-5.7;1.4;5.9;13.8
561;Equivalised income: 9th 10%-group;2021;2.4;38.5;61.5;-6.0;0.3;4.9;13.5
562;Equivalised income: 9th 10%-group;2022;-1.3;55.7;44.3;-9.8;-3.3;1.1;9.0
563;Equivalised income: 9th 10%-group;2023;-0.3;51.5;48.5;-8.2;-2.1;1.7;8.4
564;Equivalised income: 10th 10%-group;2012;-1.1;54.6;45.4;-12.4;-3.4;1.5;11.5
565;Equivalised income: 10th 10%-group;2013;-0.6;52.3;47.7;-12.4;-3.2;2.2;13.0
566;Equivalised income: 10th 10%-group;2014;2.4;40.9;59.1;-9.3;-0.2;5.7;23.2
567;Equivalised income: 10th 10%-group;2015;1.7;43.6;56.4;-15.5;-1.1;4.6;15.8
568;Equivalised income: 10th 10%-group;2016;3.6;36.2;63.8;-7.7;1.0;6.6;19.2
569;Equivalised income: 10th 10%-group;2017;1.4;44.6;55.4;-9.8;-1.1;4.8;19.6
570;Equivalised income: 10th 10%-group;2018;1.4;44.8;55.2;-12.1;-1.2;4.5;16.9
571;Equivalised income: 10th 10%-group;2019;2.7;39.4;60.6;-8.9;0.1;6.2;21.8
572;Equivalised income: 10th 10%-group;2020;3.0;40.0;60.0;-13.4;0.0;6.2;18.2
