ID;KenmerkenHuishoudens;Marges;Perioden;ToegangTotInternet_1;TypeInternetverbindingBreedband_2;PersonalComputerPCOfDesktop_3;LaptopOfNetbook_4;Tablet_5;MobieleTelefoonOfSmartphone_6;Spelcomputer_7;SmartTVOfTVMetSetTopBox_8
220;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2016;96.9;94.9;56.6;80.4;69.7;85.4;24.0;45.8
221;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2017;98.4;97.1;58.1;82.8;73.4;90.7;28.2;54.9
222;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2018;97.0;96.6;51.2;81.9;70.9;91.8;26.9;54.1
223;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2019;98.6;98.4;55.4;84.3;75.6;95.4;30.2;58.5
224;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2012;91.8;79.0;67.0;69.6;;51.7;17.1;16.6
225;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2013;92.0;83.7;62.8;71.0;40.6;60.6;16.3;25.1
226;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2014;93.2;92.5;53.4;71.5;54.5;71.6;16.7;38.0
227;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2015;95.1;92.0;53.6;73.6;63.5;76.5;18.0;36.5
228;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2016;95.5;93.3;53.2;77.6;66.4;82.9;21.3;42.4
229;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2017;97.4;95.9;54.8;80.2;70.4;88.6;25.4;51.6
230;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2018;95.5;95.1;47.8;79.1;67.6;89.6;24.1;50.7
231;Gestandaardiseerd inkomen: 4e 20%-groep;Ondergrens 95%-interval;2019;97.8;97.5;52.2;81.8;72.7;93.9;27.4;55.3
232;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2012;95.5;84.8;74.2;76.3;;59.0;22.8;22.4
233;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2013;96.0;88.8;70.1;77.9;47.8;67.7;21.7;31.6
234;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2014;96.5;95.9;60.6;77.9;61.6;77.7;22.2;44.9
235;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2015;98.2;95.8;60.7;79.9;70.5;82.3;23.6;43.4
236;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2016;98.2;96.6;60.0;83.1;73.0;87.9;26.7;49.2
237;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2017;99.4;98.4;61.3;85.5;76.4;92.7;30.9;58.1
238;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2018;98.5;98.2;54.5;84.6;74.1;94.0;29.7;57.4
239;Gestandaardiseerd inkomen: 4e 20%-groep;Bovengrens 95%-interval;2019;99.5;99.3;58.6;86.8;78.4;96.8;33.1;61.7
240;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2012;97.1;84.1;76.0;78.4;;60.1;21.0;25.7
241;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2013;97.5;88.0;72.2;79.7;55.4;71.8;17.9;33.8
242;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2014;98.1;96.5;65.5;83.2;67.4;79.9;21.8;45.8
243;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2015;98.0;96.3;62.0;82.6;74.5;85.3;22.3;46.1
244;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2016;98.1;97.2;63.7;86.0;80.3;92.2;23.3;52.1
245;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2017;99.2;98.7;64.1;87.5;81.7;94.0;23.3;60.2
246;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2018;99.5;99.3;60.0;90.1;79.0;95.5;28.7;60.0
247;Gestandaardiseerd inkomen: 5e 20%-groep;Waarde;2019;99.4;99.1;55.9;90.0;79.6;96.0;28.0;69.8
248;Gestandaardiseerd inkomen: 5e 20%-groep;Ondergrens 95%-interval;2012;96.0;81.2;72.6;75.2;;56.5;18.2;22.4
249;Gestandaardiseerd inkomen: 5e 20%-groep;Ondergrens 95%-interval;2013;96.5;85.8;68.7;76.9;51.8;68.7;15.3;30.3
250;Gestandaardiseerd inkomen: 5e 20%-groep;Ondergrens 95%-interval;2014;97.3;95.1;62.1;80.6;64.0;77.1;19.0;42.4
251;Gestandaardiseerd inkomen: 5e 20%-groep;Ondergrens 95%-interval;2015;97.0;95.1;58.7;79.8;71.5;83.0;19.5;42.9
252;Gestandaardiseerd inkomen: 5e 20%-groep;Ondergrens 95%-interval;2016;97.1;96.1;60.6;83.8;77.5;90.4;20.7;49.0
253;Gestandaardiseerd inkomen: 5e 20%-groep;Ondergrens 95%-interval;2017;98.6;98.0;61.0;85.3;79.1;92.5;20.7;57.2
254;Gestandaardiseerd inkomen: 5e 20%-groep;Ondergrens 95%-interval;2018;99.0;98.8;56.8;88.1;76.1;94.0;25.9;56.8
255;Gestandaardiseerd inkomen: 5e 20%-groep;Ondergrens 95%-interval;2019;98.8;98.4;52.9;88.2;77.0;94.7;25.3;67.0
256;Gestandaardiseerd inkomen: 5e 20%-groep;Bovengrens 95%-interval;2012;98.2;87.0;79.5;81.7;;63.7;23.9;29.0
257;Gestandaardiseerd inkomen: 5e 20%-groep;Bovengrens 95%-interval;2013;98.5;90.2;75.6;82.5;59.1;74.9;20.5;37.2
258;Gestandaardiseerd inkomen: 5e 20%-groep;Bovengrens 95%-interval;2014;99.0;97.9;69.0;85.9;70.8;82.8;24.6;49.3
259;Gestandaardiseerd inkomen: 5e 20%-groep;Bovengrens 95%-interval;2015;99.0;97.5;65.2;85.3;77.5;87.7;25.0;49.4
260;Gestandaardiseerd inkomen: 5e 20%-groep;Bovengrens 95%-interval;2016;99.1;98.3;66.8;88.1;83.0;94.0;25.9;55.2
261;Gestandaardiseerd inkomen: 5e 20%-groep;Bovengrens 95%-interval;2017;99.8;99.4;67.1;89.7;84.3;95.6;25.8;63.3
262;Gestandaardiseerd inkomen: 5e 20%-groep;Bovengrens 95%-interval;2018;100.0;99.8;63.1;92.1;81.9;97.1;31.6;63.1
263;Gestandaardiseerd inkomen: 5e 20%-groep;Bovengrens 95%-interval;2019;99.9;99.7;58.9;91.8;82.3;97.3;30.6;72.6
264;Woningbezit: huurwoning;Waarde;2012;77.4;66.6;51.5;53.2;;38.4;14.8;10.4
265;Woningbezit: huurwoning;Waarde;2013;80.6;73.2;50.9;58.2;23.7;47.1;14.3;21.2
266;Woningbezit: huurwoning;Waarde;2014;82.4;81.5;45.7;59.4;35.0;57.9;14.4;25.6
267;Woningbezit: huurwoning;Waarde;2015;84.2;81.7;38.4;62.8;44.0;62.6;16.6;22.9
268;Woningbezit: huurwoning;Waarde;2016;87.0;84.9;42.9;68.8;48.0;73.3;20.3;32.9
269;Woningbezit: huurwoning;Waarde;2017;91.0;89.1;44.9;69.7;52.5;77.4;20.4;34.6
270;Woningbezit: huurwoning;Waarde;2018;92.5;91.3;41.6;72.1;50.1;81.5;22.5;42.7
271;Woningbezit: huurwoning;Waarde;2019;92.8;91.5;43.2;74.0;53.5;84.2;25.9;49.4
272;Woningbezit: huurwoning;Ondergrens 95%-interval;2012;74.4;63.0;47.6;49.3;;34.6;12.1;8.0
273;Woningbezit: huurwoning;Ondergrens 95%-interval;2013;77.9;70.1;47.2;54.6;20.6;43.4;11.7;18.1
274;Woningbezit: huurwoning;Ondergrens 95%-interval;2014;79.8;78.9;42.1;55.9;31.6;54.4;12.0;22.5
275;Woningbezit: huurwoning;Ondergrens 95%-interval;2015;81.7;79.1;35.1;59.5;40.6;59.4;14.1;20.1
276;Woningbezit: huurwoning;Ondergrens 95%-interval;2016;84.8;82.6;39.7;65.7;44.7;70.5;17.7;29.8
277;Woningbezit: huurwoning;Ondergrens 95%-interval;2017;88.9;86.9;41.6;66.6;49.2;74.5;17.9;31.6
278;Woningbezit: huurwoning;Ondergrens 95%-interval;2018;90.6;89.2;38.5;69.2;46.9;78.9;19.9;39.5
279;Woningbezit: huurwoning;Ondergrens 95%-interval;2019;91.2;89.7;40.2;71.4;50.5;81.9;23.3;46.4
280;Woningbezit: huurwoning;Bovengrens 95%-interval;2012;80.4;70.2;55.3;57.0;;42.3;17.6;12.8
281;Woningbezit: huurwoning;Bovengrens 95%-interval;2013;83.3;76.2;54.6;61.7;26.8;50.8;16.8;24.3
282;Woningbezit: huurwoning;Bovengrens 95%-interval;2014;85.0;84.2;49.3;62.9;38.4;61.3;16.9;28.8
283;Woningbezit: huurwoning;Bovengrens 95%-interval;2015;86.7;84.3;41.6;66.0;47.3;65.8;19.2;25.7
284;Woningbezit: huurwoning;Bovengrens 95%-interval;2016;89.2;87.3;46.1;71.8;51.2;76.2;22.9;35.9
285;Woningbezit: huurwoning;Bovengrens 95%-interval;2017;93.0;91.3;48.2;72.9;55.8;80.3;23.0;37.7
286;Woningbezit: huurwoning;Bovengrens 95%-interval;2018;94.4;93.3;44.7;75.1;53.3;84.2;25.1;45.8
287;Woningbezit: huurwoning;Bovengrens 95%-interval;2019;94.5;93.2;46.2;76.7;56.5;86.5;28.6;52.5
288;Woningbezit: eigen woning;Waarde;2012;93.0;80.9;70.3;74.7;;55.4;20.4;21.2
289;Woningbezit: eigen woning;Waarde;2013;94.0;84.9;66.9;74.5;46.6;64.8;18.3;28.9
290;Woningbezit: eigen woning;Waarde;2014;94.4;92.9;59.8;76.6;59.1;73.2;20.7;40.8
291;Woningbezit: eigen woning;Waarde;2015;95.9;93.4;58.2;78.4;67.5;79.5;21.1;40.5
292;Woningbezit: eigen woning;Waarde;2016;95.3;93.4;59.6;78.5;70.5;84.5;24.5;45.3
293;Woningbezit: eigen woning;Waarde;2017;98.0;97.2;60.7;82.3;74.7;89.2;27.6;54.6
294;Woningbezit: eigen woning;Waarde;2018;96.8;96.5;56.3;82.2;72.1;91.0;28.3;53.8
295;Woningbezit: eigen woning;Waarde;2019;97.2;96.7;53.9;82.4;73.8;92.3;28.3;59.4
296;Woningbezit: eigen woning;Ondergrens 95%-interval;2012;91.9;79.2;68.2;72.9;;53.3;18.7;19.4
297;Woningbezit: eigen woning;Ondergrens 95%-interval;2013;93.0;83.4;64.7;72.7;44.5;62.8;16.8;27.0
298;Woningbezit: eigen woning;Ondergrens 95%-interval;2014;93.4;91.8;57.8;74.8;57.0;71.3;19.1;38.8
299;Woningbezit: eigen woning;Ondergrens 95%-interval;2015;95.0;92.3;56.2;76.7;65.5;77.8;19.5;38.6
300;Woningbezit: eigen woning;Ondergrens 95%-interval;2016;94.3;92.4;57.6;76.8;68.6;82.9;22.9;43.4
301;Woningbezit: eigen woning;Ondergrens 95%-interval;2017;97.4;96.4;58.8;80.7;72.9;87.9;26.0;52.7
302;Woningbezit: eigen woning;Ondergrens 95%-interval;2018;95.9;95.6;54.4;80.6;70.2;89.7;26.6;51.8
303;Woningbezit: eigen woning;Ondergrens 95%-interval;2019;96.5;95.9;52.0;80.9;72.1;91.2;26.7;57.5
304;Woningbezit: eigen woning;Bovengrens 95%-interval;2012;94.1;82.6;72.3;76.6;;57.5;22.0;22.9
305;Woningbezit: eigen woning;Bovengrens 95%-interval;2013;94.9;86.4;69.0;76.4;48.7;66.8;19.8;30.9
306;Woningbezit: eigen woning;Bovengrens 95%-interval;2014;95.4;94.0;61.9;78.4;61.1;75.0;22.3;42.8
307;Woningbezit: eigen woning;Bovengrens 95%-interval;2015;96.8;94.5;60.3;80.1;69.5;81.1;22.7;42.5
308;Woningbezit: eigen woning;Bovengrens 95%-interval;2016;96.3;94.5;61.5;80.2;72.4;86.0;26.1;47.2
309;Woningbezit: eigen woning;Bovengrens 95%-interval;2017;98.7;97.9;62.6;83.8;76.4;90.6;29.2;56.5
310;Woningbezit: eigen woning;Bovengrens 95%-interval;2018;97.7;97.4;58.3;83.8;74.0;92.3;29.9;55.7
311;Woningbezit: eigen woning;Bovengrens 95%-interval;2019;98.0;97.5;55.7;83.9;75.6;93.4;29.9;61.3
