ID;RegioS;Migratieachtergrond;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
460;Rotterdam;Totaal;784.9;16.8
461;Rotterdam;Nederlandse achtergrond;590.8;17.4
462;Rotterdam;Met migratieachtergrond;194.1;15.0
463;Rotterdam;Westerse migratieachtergrond;69.9;17.2
464;Rotterdam;Niet-westerse migratieachtergrond;124.1;13.7
465;Dordrecht;Totaal;183.7;17.0
466;Dordrecht;Nederlandse achtergrond;156.5;17.3
467;Dordrecht;Met migratieachtergrond;27.2;15.1
468;Dordrecht;Westerse migratieachtergrond;14.6;16.8
469;Dordrecht;Niet-westerse migratieachtergrond;12.6;13.2
470;Breda;Totaal;202.3;17.1
471;Breda;Nederlandse achtergrond;173.6;17.3
472;Breda;Met migratieachtergrond;28.7;15.9
473;Breda;Westerse migratieachtergrond;18.3;17.2
474;Breda;Niet-westerse migratieachtergrond;10.4;13.5
475;Tilburg;Totaal;192.2;16.3
476;Tilburg;Nederlandse achtergrond;164.7;16.5
477;Tilburg;Met migratieachtergrond;27.5;14.7
478;Tilburg;Westerse migratieachtergrond;14.8;16.2
479;Tilburg;Niet-westerse migratieachtergrond;12.7;13.0
480;'s-Hertogenbosch;Totaal;125.5;17.5
481;'s-Hertogenbosch;Nederlandse achtergrond;109.1;17.8
482;'s-Hertogenbosch;Met migratieachtergrond;16.4;15.8
483;'s-Hertogenbosch;Westerse migratieachtergrond;10.0;17.6
484;'s-Hertogenbosch;Niet-westerse migratieachtergrond;6.4;13.0
485;Eindhoven;Totaal;262.4;17.4
486;Eindhoven;Nederlandse achtergrond;219.2;17.6
487;Eindhoven;Met migratieachtergrond;43.2;16.5
488;Eindhoven;Westerse migratieachtergrond;26.5;17.8
489;Eindhoven;Niet-westerse migratieachtergrond;16.6;14.4
490;Geleen/Sittard;Totaal;112.1;16.6
491;Geleen/Sittard;Nederlandse achtergrond;91.7;16.7
492;Geleen/Sittard;Met migratieachtergrond;20.4;15.7
493;Geleen/Sittard;Westerse migratieachtergrond;17.6;16.1
494;Geleen/Sittard;Niet-westerse migratieachtergrond;2.8;13.4
495;Heerlen;Totaal;176.1;15.4
496;Heerlen;Nederlandse achtergrond;132.9;15.6
497;Heerlen;Met migratieachtergrond;43.1;14.6
498;Heerlen;Westerse migratieachtergrond;38.7;14.8
499;Heerlen;Niet-westerse migratieachtergrond;4.4;12.8
500;Maastricht;Totaal;125.5;16.1
501;Maastricht;Nederlandse achtergrond;105.8;16.2
502;Maastricht;Met migratieachtergrond;19.8;15.3
503;Maastricht;Westerse migratieachtergrond;16.1;16.0
504;Maastricht;Niet-westerse migratieachtergrond;3.6;12.4
505;Appingedam;Totaal;8.4;15.5
506;Appingedam;Nederlandse achtergrond;7.6;15.6
507;Appingedam;Met migratieachtergrond;0.8;14.5
508;Appingedam;Westerse migratieachtergrond;0.6;14.9
509;Appingedam;Niet-westerse migratieachtergrond;;
510;Bedum;Totaal;7.0;15.9
511;Bedum;Nederlandse achtergrond;6.7;15.9
512;Bedum;Met migratieachtergrond;0.3;16.3
513;Bedum;Westerse migratieachtergrond;0.3;16.5
514;Bedum;Niet-westerse migratieachtergrond;;
515;Bellingwedde;Totaal;6.4;14.8
516;Bellingwedde;Nederlandse achtergrond;5.8;14.9
517;Bellingwedde;Met migratieachtergrond;0.6;13.7
518;Bellingwedde;Westerse migratieachtergrond;0.5;13.8
519;Bellingwedde;Niet-westerse migratieachtergrond;;
520;Ten Boer;Totaal;4.6;16.2
521;Ten Boer;Nederlandse achtergrond;4.3;16.1
522;Ten Boer;Met migratieachtergrond;0.3;17.7
523;Ten Boer;Westerse migratieachtergrond;0.2;18.2
524;Ten Boer;Niet-westerse migratieachtergrond;;
525;Delfzijl;Totaal;18.9;15.6
526;Delfzijl;Nederlandse achtergrond;16.6;15.8
527;Delfzijl;Met migratieachtergrond;2.4;14.3
528;Delfzijl;Westerse migratieachtergrond;1.4;15.0
529;Delfzijl;Niet-westerse migratieachtergrond;0.9;13.2
530;Groningen;Totaal;119.4;14.9
531;Groningen;Nederlandse achtergrond;102.4;15.0
532;Groningen;Met migratieachtergrond;17.0;14.0
533;Groningen;Westerse migratieachtergrond;10.4;15.0
534;Groningen;Niet-westerse migratieachtergrond;6.7;12.5
535;Grootegast;Totaal;7.4;15.3
536;Grootegast;Nederlandse achtergrond;7.2;15.2
537;Grootegast;Met migratieachtergrond;;
538;Grootegast;Westerse migratieachtergrond;;
539;Grootegast;Niet-westerse migratieachtergrond;;
540;Haren;Totaal;12.6;20.8
541;Haren;Nederlandse achtergrond;11.7;20.6
542;Haren;Met migratieachtergrond;0.9;22.7
543;Haren;Westerse migratieachtergrond;0.8;23.0
544;Haren;Niet-westerse migratieachtergrond;;
545;Hoogezand-Sappemeer;Totaal;22.3;15.1
546;Hoogezand-Sappemeer;Nederlandse achtergrond;19.4;15.2
547;Hoogezand-Sappemeer;Met migratieachtergrond;2.9;14.2
548;Hoogezand-Sappemeer;Westerse migratieachtergrond;1.3;15.3
549;Hoogezand-Sappemeer;Niet-westerse migratieachtergrond;1.6;13.3
550;Leek;Totaal;12.4;15.9
551;Leek;Nederlandse achtergrond;11.7;15.9
552;Leek;Met migratieachtergrond;0.7;15.8
553;Leek;Westerse migratieachtergrond;0.5;16.7
554;Leek;Niet-westerse migratieachtergrond;;
555;Loppersum;Totaal;6.9;15.9
556;Loppersum;Nederlandse achtergrond;6.6;15.9
557;Loppersum;Met migratieachtergrond;0.3;16.5
558;Loppersum;Westerse migratieachtergrond;0.2;17.3
559;Loppersum;Niet-westerse migratieachtergrond;;
560;Marum;Totaal;6.3;16.0
561;Marum;Nederlandse achtergrond;6.0;16.0
562;Marum;Met migratieachtergrond;0.3;15.3
563;Marum;Westerse migratieachtergrond;0.3;15.2
564;Marum;Niet-westerse migratieachtergrond;;
565;Almere;Totaal;98.8;17.4
566;Almere;Nederlandse achtergrond;74.1;17.7
567;Almere;Met migratieachtergrond;24.6;16.5
568;Almere;Westerse migratieachtergrond;9.6;18.0
569;Almere;Niet-westerse migratieachtergrond;15.1;15.6
570;Stadskanaal;Totaal;22.2;14.5
571;Stadskanaal;Nederlandse achtergrond;20.9;14.5
572;Stadskanaal;Met migratieachtergrond;1.2;14.8
573;Stadskanaal;Westerse migratieachtergrond;1.0;15.4
574;Stadskanaal;Niet-westerse migratieachtergrond;0.2;12.1
575;Scheemda;Totaal;9.3;15.2
576;Scheemda;Nederlandse achtergrond;8.8;15.2
577;Scheemda;Met migratieachtergrond;0.6;15.6
578;Scheemda;Westerse migratieachtergrond;0.5;15.5
579;Scheemda;Niet-westerse migratieachtergrond;;
580;Slochteren;Totaal;9.7;16.2
581;Slochteren;Nederlandse achtergrond;9.3;16.2
582;Slochteren;Met migratieachtergrond;0.4;17.9
583;Slochteren;Westerse migratieachtergrond;0.3;18.4
584;Slochteren;Niet-westerse migratieachtergrond;;
585;Veendam;Totaal;18.8;15.2
586;Veendam;Nederlandse achtergrond;17.1;15.3
587;Veendam;Met migratieachtergrond;1.7;13.9
588;Veendam;Westerse migratieachtergrond;0.9;15.6
589;Veendam;Niet-westerse migratieachtergrond;0.8;12.1
590;Vlagtwedde;Totaal;11.1;14.1
591;Vlagtwedde;Nederlandse achtergrond;10.4;14.1
592;Vlagtwedde;Met migratieachtergrond;0.7;14.0
593;Vlagtwedde;Westerse migratieachtergrond;0.6;14.1
594;Vlagtwedde;Niet-westerse migratieachtergrond;;
595;Zeewolde;Totaal;11.2;18.3
596;Zeewolde;Nederlandse achtergrond;10.1;18.3
597;Zeewolde;Met migratieachtergrond;1.1;18.5
598;Zeewolde;Westerse migratieachtergrond;0.8;20.0
599;Zeewolde;Niet-westerse migratieachtergrond;0.3;13.8
600;Skarsterlân;Totaal;17.5;16.3
601;Skarsterlân;Nederlandse achtergrond;16.7;16.3
602;Skarsterlân;Met migratieachtergrond;0.8;15.2
603;Skarsterlân;Westerse migratieachtergrond;0.6;15.7
604;Skarsterlân;Niet-westerse migratieachtergrond;;
605;Winschoten;Totaal;12.9;14.8
606;Winschoten;Nederlandse achtergrond;12.0;14.9
607;Winschoten;Met migratieachtergrond;0.9;14.1
608;Winschoten;Westerse migratieachtergrond;0.7;14.2
609;Winschoten;Niet-westerse migratieachtergrond;;
610;Winsum;Totaal;8.9;16.3
611;Winsum;Nederlandse achtergrond;8.5;16.3
612;Winsum;Met migratieachtergrond;0.4;17.4
613;Winsum;Westerse migratieachtergrond;0.3;18.1
614;Winsum;Niet-westerse migratieachtergrond;;
615;Boarnsterhim;Totaal;12.2;16.0
616;Boarnsterhim;Nederlandse achtergrond;11.7;16.1
617;Boarnsterhim;Met migratieachtergrond;0.5;15.1
618;Boarnsterhim;Westerse migratieachtergrond;0.4;15.5
619;Boarnsterhim;Niet-westerse migratieachtergrond;;
620;Zuidhorn;Totaal;10.9;17.1
621;Zuidhorn;Nederlandse achtergrond;10.5;17.1
622;Zuidhorn;Met migratieachtergrond;0.4;17.2
623;Zuidhorn;Westerse migratieachtergrond;0.4;18.1
624;Zuidhorn;Niet-westerse migratieachtergrond;;
625;Dongeradeel;Totaal;15.8;14.7
626;Dongeradeel;Nederlandse achtergrond;15.2;14.7
627;Dongeradeel;Met migratieachtergrond;0.6;14.6
628;Dongeradeel;Westerse migratieachtergrond;0.5;15.7
629;Dongeradeel;Niet-westerse migratieachtergrond;;
630;Achtkarspelen;Totaal;17.5;14.8
631;Achtkarspelen;Nederlandse achtergrond;17.1;14.9
632;Achtkarspelen;Met migratieachtergrond;0.4;12.7
633;Achtkarspelen;Westerse migratieachtergrond;0.3;12.9
634;Achtkarspelen;Niet-westerse migratieachtergrond;;
635;Ameland;Totaal;2.3;15.6
636;Ameland;Nederlandse achtergrond;2.2;15.5
637;Ameland;Met migratieachtergrond;;
638;Ameland;Westerse migratieachtergrond;;
639;Ameland;Niet-westerse migratieachtergrond;;
640;het Bildt;Totaal;6.7;15.2
641;het Bildt;Nederlandse achtergrond;6.5;15.3
642;het Bildt;Met migratieachtergrond;0.2;13.7
643;het Bildt;Westerse migratieachtergrond;;
644;het Bildt;Niet-westerse migratieachtergrond;;
645;Bolsward;Totaal;6.1;15.4
646;Bolsward;Nederlandse achtergrond;5.7;15.5
647;Bolsward;Met migratieachtergrond;0.4;14.4
648;Bolsward;Westerse migratieachtergrond;0.3;15.9
649;Bolsward;Niet-westerse migratieachtergrond;;
650;Dantumadeel;Totaal;12.0;14.8
651;Dantumadeel;Nederlandse achtergrond;11.8;14.8
652;Dantumadeel;Met migratieachtergrond;0.2;18.1
653;Dantumadeel;Westerse migratieachtergrond;;
654;Dantumadeel;Niet-westerse migratieachtergrond;;
655;Franekeradeel;Totaal;13.4;15.0
656;Franekeradeel;Nederlandse achtergrond;12.7;15.1
657;Franekeradeel;Met migratieachtergrond;0.7;13.7
658;Franekeradeel;Westerse migratieachtergrond;0.5;14.6
659;Franekeradeel;Niet-westerse migratieachtergrond;;
660;Harlingen;Totaal;10.2;15.3
661;Harlingen;Nederlandse achtergrond;9.2;15.6
662;Harlingen;Met migratieachtergrond;1.1;13.3
663;Harlingen;Westerse migratieachtergrond;0.8;13.8
664;Harlingen;Niet-westerse migratieachtergrond;0.3;11.8
665;Heerenveen;Totaal;28.4;16.3
666;Heerenveen;Nederlandse achtergrond;25.9;16.4
667;Heerenveen;Met migratieachtergrond;2.5;15.3
668;Heerenveen;Westerse migratieachtergrond;1.5;16.2
669;Heerenveen;Niet-westerse migratieachtergrond;0.9;13.8
670;Kollumerland c.a.;Totaal;8.2;15.1
671;Kollumerland c.a.;Nederlandse achtergrond;7.9;15.1
672;Kollumerland c.a.;Met migratieachtergrond;0.2;15.9
673;Kollumerland c.a.;Westerse migratieachtergrond;;
674;Kollumerland c.a.;Niet-westerse migratieachtergrond;;
675;Leeuwarden;Totaal;61.3;15.1
676;Leeuwarden;Nederlandse achtergrond;53.8;15.3
677;Leeuwarden;Met migratieachtergrond;7.5;14.0
678;Leeuwarden;Westerse migratieachtergrond;4.3;15.2
679;Leeuwarden;Niet-westerse migratieachtergrond;3.2;12.3
680;Leeuwarderadeel;Totaal;6.7;16.2
681;Leeuwarderadeel;Nederlandse achtergrond;6.3;16.2
682;Leeuwarderadeel;Met migratieachtergrond;0.3;16.0
683;Leeuwarderadeel;Westerse migratieachtergrond;0.3;16.9
684;Leeuwarderadeel;Niet-westerse migratieachtergrond;;
685;Lemsterland;Totaal;8.3;16.3
686;Lemsterland;Nederlandse achtergrond;7.7;16.4
687;Lemsterland;Met migratieachtergrond;0.7;15.1
688;Lemsterland;Westerse migratieachtergrond;0.5;15.5
689;Lemsterland;Niet-westerse migratieachtergrond;;
690;Menaldumadeel;Totaal;9.0;16.1
691;Menaldumadeel;Nederlandse achtergrond;8.7;16.1
692;Menaldumadeel;Met migratieachtergrond;0.3;16.3
693;Menaldumadeel;Westerse migratieachtergrond;0.3;16.8
694;Menaldumadeel;Niet-westerse migratieachtergrond;;
695;Ooststellingwerf;Totaal;17.2;15.5
696;Ooststellingwerf;Nederlandse achtergrond;16.2;15.6
697;Ooststellingwerf;Met migratieachtergrond;1.0;13.8
698;Ooststellingwerf;Westerse migratieachtergrond;0.9;14.1
699;Ooststellingwerf;Niet-westerse migratieachtergrond;;
700;Opsterland;Totaal;18.7;15.8
701;Opsterland;Nederlandse achtergrond;18.0;15.8
702;Opsterland;Met migratieachtergrond;0.7;15.6
703;Opsterland;Westerse migratieachtergrond;0.6;15.6
704;Opsterland;Niet-westerse migratieachtergrond;;
705;Schiermonnikoog;Totaal;0.7;17.0
706;Schiermonnikoog;Nederlandse achtergrond;0.7;17.1
707;Schiermonnikoog;Met migratieachtergrond;;
708;Schiermonnikoog;Westerse migratieachtergrond;;
709;Schiermonnikoog;Niet-westerse migratieachtergrond;;
710;Smallingerland;Totaal;34.7;15.6
711;Smallingerland;Nederlandse achtergrond;32.0;15.7
712;Smallingerland;Met migratieachtergrond;2.6;14.0
713;Smallingerland;Westerse migratieachtergrond;1.7;14.5
714;Smallingerland;Niet-westerse migratieachtergrond;0.9;13.0
715;Sneek;Totaal;21.3;15.7
716;Sneek;Nederlandse achtergrond;19.6;15.8
717;Sneek;Met migratieachtergrond;1.7;14.3
718;Sneek;Westerse migratieachtergrond;1.3;15.4
719;Sneek;Niet-westerse migratieachtergrond;0.4;11.0
720;Terschelling;Totaal;3.1;17.5
721;Terschelling;Nederlandse achtergrond;2.9;17.7
722;Terschelling;Met migratieachtergrond;;
723;Terschelling;Westerse migratieachtergrond;;
724;Terschelling;Niet-westerse migratieachtergrond;;
725;Vlieland;Totaal;0.8;15.5
726;Vlieland;Nederlandse achtergrond;0.8;15.3
727;Vlieland;Met migratieachtergrond;;
728;Vlieland;Westerse migratieachtergrond;;
729;Vlieland;Niet-westerse migratieachtergrond;0.0;0.0
730;Weststellingwerf;Totaal;16.9;15.6
731;Weststellingwerf;Nederlandse achtergrond;16.1;15.6
732;Weststellingwerf;Met migratieachtergrond;0.8;14.8
733;Weststellingwerf;Westerse migratieachtergrond;0.6;15.9
734;Weststellingwerf;Niet-westerse migratieachtergrond;0.3;12.7
735;Nijefurd;Totaal;7.0;15.6
736;Nijefurd;Nederlandse achtergrond;6.7;15.5
737;Nijefurd;Met migratieachtergrond;0.3;16.5
738;Nijefurd;Westerse migratieachtergrond;0.3;17.3
739;Nijefurd;Niet-westerse migratieachtergrond;;
740;Assen;Totaal;39.8;16.0
741;Assen;Nederlandse achtergrond;35.1;16.1
742;Assen;Met migratieachtergrond;4.7;15.3
743;Assen;Westerse migratieachtergrond;3.3;16.2
744;Assen;Niet-westerse migratieachtergrond;1.3;13.0
745;Coevorden;Totaal;23.8;15.4
746;Coevorden;Nederlandse achtergrond;22.4;15.5
747;Coevorden;Met migratieachtergrond;1.4;14.1
748;Coevorden;Westerse migratieachtergrond;1.2;14.4
749;Coevorden;Niet-westerse migratieachtergrond;0.2;12.2
750;Emmen;Totaal;72.4;14.8
751;Emmen;Nederlandse achtergrond;66.3;14.9
752;Emmen;Met migratieachtergrond;6.2;14.0
753;Emmen;Westerse migratieachtergrond;4.9;14.3
754;Emmen;Niet-westerse migratieachtergrond;1.3;13.0
755;Hoogeveen;Totaal;34.7;15.4
756;Hoogeveen;Nederlandse achtergrond;32.2;15.5
757;Hoogeveen;Met migratieachtergrond;2.5;14.3
758;Hoogeveen;Westerse migratieachtergrond;1.9;15.0
759;Hoogeveen;Niet-westerse migratieachtergrond;0.6;12.3
760;Meppel;Totaal;20.3;16.2
761;Meppel;Nederlandse achtergrond;18.7;16.3
762;Meppel;Met migratieachtergrond;1.6;14.7
763;Meppel;Westerse migratieachtergrond;1.0;15.7
764;Meppel;Niet-westerse migratieachtergrond;0.6;13.0
765;Littenseradiel;Totaal;6.8;16.1
766;Littenseradiel;Nederlandse achtergrond;6.5;16.1
767;Littenseradiel;Met migratieachtergrond;0.2;16.5
768;Littenseradiel;Westerse migratieachtergrond;0.2;16.4
769;Littenseradiel;Niet-westerse migratieachtergrond;;
770;Almelo;Totaal;46.8;15.3
771;Almelo;Nederlandse achtergrond;37.5;15.7
772;Almelo;Met migratieachtergrond;9.3;13.8
773;Almelo;Westerse migratieachtergrond;5.1;15.1
774;Almelo;Niet-westerse migratieachtergrond;4.3;12.3
775;Bathmen;Totaal;3.6;17.9
776;Bathmen;Nederlandse achtergrond;3.5;17.8
777;Bathmen;Met migratieachtergrond;;
778;Bathmen;Westerse migratieachtergrond;;
779;Bathmen;Niet-westerse migratieachtergrond;;
780;Borne;Totaal;13.6;16.8
781;Borne;Nederlandse achtergrond;12.4;16.8
782;Borne;Met migratieachtergrond;1.2;16.6
783;Borne;Westerse migratieachtergrond;0.9;17.7
784;Borne;Niet-westerse migratieachtergrond;0.3;13.0
785;Dalfsen;Totaal;16.5;16.7
786;Dalfsen;Nederlandse achtergrond;16.1;16.7
787;Dalfsen;Met migratieachtergrond;0.5;19.3
788;Dalfsen;Westerse migratieachtergrond;0.4;20.5
789;Dalfsen;Niet-westerse migratieachtergrond;;
790;Denekamp;Totaal;16.9;16.2
791;Denekamp;Nederlandse achtergrond;15.6;16.3
792;Denekamp;Met migratieachtergrond;1.3;15.7
793;Denekamp;Westerse migratieachtergrond;1.2;16.1
794;Denekamp;Niet-westerse migratieachtergrond;;
795;Deventer;Totaal;57.9;15.9
796;Deventer;Nederlandse achtergrond;48.1;16.2
797;Deventer;Met migratieachtergrond;9.8;14.6
798;Deventer;Westerse migratieachtergrond;5.4;16.2
799;Deventer;Niet-westerse migratieachtergrond;4.5;12.7
800;Enschede;Totaal;99.1;14.8
801;Enschede;Nederlandse achtergrond;77.2;15.2
802;Enschede;Met migratieachtergrond;21.9;13.6
803;Enschede;Westerse migratieachtergrond;13.1;14.6
804;Enschede;Niet-westerse migratieachtergrond;8.9;12.2
805;Haaksbergen;Totaal;16.2;15.9
806;Haaksbergen;Nederlandse achtergrond;14.4;16.1
807;Haaksbergen;Met migratieachtergrond;1.8;14.9
808;Haaksbergen;Westerse migratieachtergrond;1.3;15.8
809;Haaksbergen;Niet-westerse migratieachtergrond;0.5;12.2
810;Hardenberg;Totaal;36.1;15.5
811;Hardenberg;Nederlandse achtergrond;34.4;15.5
812;Hardenberg;Met migratieachtergrond;1.7;15.1
813;Hardenberg;Westerse migratieachtergrond;1.4;15.5
814;Hardenberg;Niet-westerse migratieachtergrond;0.3;13.1
815;Hellendoorn;Totaal;23.5;15.8
816;Hellendoorn;Nederlandse achtergrond;22.2;15.9
817;Hellendoorn;Met migratieachtergrond;1.3;15.1
818;Hellendoorn;Westerse migratieachtergrond;1.0;15.4
819;Hellendoorn;Niet-westerse migratieachtergrond;0.2;13.6
820;Hengelo;Totaal;54.4;16.1
821;Hengelo;Nederlandse achtergrond;44.8;16.5
822;Hengelo;Met migratieachtergrond;9.5;14.3
823;Hengelo;Westerse migratieachtergrond;5.7;15.3
824;Hengelo;Niet-westerse migratieachtergrond;3.8;12.8
825;Kampen;Totaal;30.3;15.9
826;Kampen;Nederlandse achtergrond;28.4;16.0
827;Kampen;Met migratieachtergrond;1.9;14.6
828;Kampen;Westerse migratieachtergrond;1.0;16.1
829;Kampen;Niet-westerse migratieachtergrond;0.9;12.8
830;Losser;Totaal;15.1;15.1
831;Losser;Nederlandse achtergrond;12.8;15.2
832;Losser;Met migratieachtergrond;2.3;14.8
833;Losser;Westerse migratieachtergrond;2.1;14.9
834;Losser;Niet-westerse migratieachtergrond;;
835;Noordoostpolder;Totaal;27.9;15.8
836;Noordoostpolder;Nederlandse achtergrond;25.9;15.9
837;Noordoostpolder;Met migratieachtergrond;2.0;14.8
838;Noordoostpolder;Westerse migratieachtergrond;1.3;16.6
839;Noordoostpolder;Niet-westerse migratieachtergrond;0.8;12.0
840;Oldenzaal;Totaal;21.1;16.2
841;Oldenzaal;Nederlandse achtergrond;18.4;16.4
842;Oldenzaal;Met migratieachtergrond;2.7;14.6
843;Oldenzaal;Westerse migratieachtergrond;1.9;15.7
844;Oldenzaal;Niet-westerse migratieachtergrond;0.8;12.0
845;Olst;Totaal;11.3;16.0
846;Olst;Nederlandse achtergrond;10.8;16.0
847;Olst;Met migratieachtergrond;0.6;17.7
848;Olst;Westerse migratieachtergrond;0.4;19.3
849;Olst;Niet-westerse migratieachtergrond;;
850;Ommen;Totaal;10.8;16.5
851;Ommen;Nederlandse achtergrond;10.5;16.3
852;Ommen;Met migratieachtergrond;0.4;21.4
853;Ommen;Westerse migratieachtergrond;0.3;23.0
854;Ommen;Niet-westerse migratieachtergrond;;
855;Raalte;Totaal;23.9;16.1
856;Raalte;Nederlandse achtergrond;23.0;16.1
857;Raalte;Met migratieachtergrond;0.9;14.8
858;Raalte;Westerse migratieachtergrond;0.6;16.1
859;Raalte;Niet-westerse migratieachtergrond;0.3;11.8
860;Rijssen;Totaal;21.6;16.3
861;Rijssen;Nederlandse achtergrond;20.4;16.4
862;Rijssen;Met migratieachtergrond;1.3;14.1
863;Rijssen;Westerse migratieachtergrond;0.7;15.3
864;Rijssen;Niet-westerse migratieachtergrond;0.6;12.5
865;Staphorst;Totaal;8.6;16.4
866;Staphorst;Nederlandse achtergrond;8.5;16.4
867;Staphorst;Met migratieachtergrond;;
868;Staphorst;Westerse migratieachtergrond;;
869;Staphorst;Niet-westerse migratieachtergrond;;
870;Steenwijk;Totaal;26.9;16.2
871;Steenwijk;Nederlandse achtergrond;25.6;16.3
872;Steenwijk;Met migratieachtergrond;1.4;15.2
873;Steenwijk;Westerse migratieachtergrond;1.0;16.1
874;Steenwijk;Niet-westerse migratieachtergrond;0.4;13.1
875;Tubbergen;Totaal;12.9;16.0
876;Tubbergen;Nederlandse achtergrond;12.3;16.0
877;Tubbergen;Met migratieachtergrond;0.6;16.1
878;Tubbergen;Westerse migratieachtergrond;0.6;16.1
879;Tubbergen;Niet-westerse migratieachtergrond;;
880;Urk;Totaal;8.2;15.7
881;Urk;Nederlandse achtergrond;8.1;15.7
882;Urk;Met migratieachtergrond;;
883;Urk;Westerse migratieachtergrond;;
884;Urk;Niet-westerse migratieachtergrond;;
885;Vriezenveen;Totaal;20.6;15.3
886;Vriezenveen;Nederlandse achtergrond;19.8;15.3
887;Vriezenveen;Met migratieachtergrond;0.8;15.2
888;Vriezenveen;Westerse migratieachtergrond;0.6;16.2
889;Vriezenveen;Niet-westerse migratieachtergrond;;
890;Wierden;Totaal;14.8;16.6
891;Wierden;Nederlandse achtergrond;13.9;16.7
892;Wierden;Met migratieachtergrond;0.9;16.3
893;Wierden;Westerse migratieachtergrond;0.8;17.0
894;Wierden;Niet-westerse migratieachtergrond;;
895;Zwolle;Totaal;73.8;16.9
896;Zwolle;Nederlandse achtergrond;64.7;17.1
897;Zwolle;Met migratieachtergrond;9.1;15.2
898;Zwolle;Westerse migratieachtergrond;5.0;16.7
899;Zwolle;Niet-westerse migratieachtergrond;4.1;13.4
900;Rijnwaarden;Totaal;7.3;15.3
901;Rijnwaarden;Nederlandse achtergrond;6.5;15.3
902;Rijnwaarden;Met migratieachtergrond;0.8;14.9
903;Rijnwaarden;Westerse migratieachtergrond;0.7;15.0
904;Rijnwaarden;Niet-westerse migratieachtergrond;;
905;Aalten;Totaal;12.4;15.5
906;Aalten;Nederlandse achtergrond;11.3;15.6
907;Aalten;Met migratieachtergrond;1.0;14.9
908;Aalten;Westerse migratieachtergrond;0.8;15.7
909;Aalten;Niet-westerse migratieachtergrond;0.3;12.5
910;Angerlo;Totaal;3.2;17.0
911;Angerlo;Nederlandse achtergrond;3.0;16.8
912;Angerlo;Met migratieachtergrond;0.2;20.0
913;Angerlo;Westerse migratieachtergrond;;
914;Angerlo;Niet-westerse migratieachtergrond;;
915;Apeldoorn;Totaal;105.3;17.0
916;Apeldoorn;Nederlandse achtergrond;92.1;17.2
917;Apeldoorn;Met migratieachtergrond;13.2;15.9
918;Apeldoorn;Westerse migratieachtergrond;8.7;17.0
919;Apeldoorn;Niet-westerse migratieachtergrond;4.5;13.6
920;Arnhem;Totaal;96.5;16.0
921;Arnhem;Nederlandse achtergrond;74.2;16.6
922;Arnhem;Met migratieachtergrond;22.3;14.2
923;Arnhem;Westerse migratieachtergrond;11.5;15.9
924;Arnhem;Niet-westerse migratieachtergrond;10.8;12.4
925;Barneveld;Totaal;29.0;17.5
926;Barneveld;Nederlandse achtergrond;27.1;17.7
927;Barneveld;Met migratieachtergrond;1.9;15.4
928;Barneveld;Westerse migratieachtergrond;1.3;16.8
929;Barneveld;Niet-westerse migratieachtergrond;0.6;12.7
930;Bemmel;Totaal;28.0;16.5
931;Bemmel;Nederlandse achtergrond;25.6;16.6
932;Bemmel;Met migratieachtergrond;2.4;16.2
933;Bemmel;Westerse migratieachtergrond;2.1;16.5
934;Bemmel;Niet-westerse migratieachtergrond;0.3;13.5
935;Bergh;Totaal;12.1;15.7
936;Bergh;Nederlandse achtergrond;10.5;15.8
937;Bergh;Met migratieachtergrond;1.5;14.8
938;Bergh;Westerse migratieachtergrond;1.4;15.0
939;Bergh;Niet-westerse migratieachtergrond;;
940;Beuningen;Totaal;16.5;17.3
941;Beuningen;Nederlandse achtergrond;14.8;17.4
942;Beuningen;Met migratieachtergrond;1.7;16.0
943;Beuningen;Westerse migratieachtergrond;1.3;16.4
944;Beuningen;Niet-westerse migratieachtergrond;0.4;14.8
945;Borculo;Totaal;7.0;15.7
946;Borculo;Nederlandse achtergrond;6.6;15.8
947;Borculo;Met migratieachtergrond;0.4;14.1
948;Borculo;Westerse migratieachtergrond;0.3;14.3
949;Borculo;Niet-westerse migratieachtergrond;;
950;Brummen;Totaal;14.4;17.1
951;Brummen;Nederlandse achtergrond;13.1;17.2
952;Brummen;Met migratieachtergrond;1.3;16.1
953;Brummen;Westerse migratieachtergrond;0.8;17.5
954;Brummen;Niet-westerse migratieachtergrond;0.5;13.7
955;Buren;Totaal;16.4;18.0
956;Buren;Nederlandse achtergrond;15.5;17.9
957;Buren;Met migratieachtergrond;0.9;19.1
958;Buren;Westerse migratieachtergrond;0.7;19.1
959;Buren;Niet-westerse migratieachtergrond;;
960;Culemborg;Totaal;16.8;17.8
961;Culemborg;Nederlandse achtergrond;14.1;18.3
962;Culemborg;Met migratieachtergrond;2.7;15.6
963;Culemborg;Westerse migratieachtergrond;1.4;17.8
964;Culemborg;Niet-westerse migratieachtergrond;1.3;13.3
965;Didam;Totaal;11.0;16.1
966;Didam;Nederlandse achtergrond;10.2;16.1
967;Didam;Met migratieachtergrond;0.9;15.9
968;Didam;Westerse migratieachtergrond;0.7;16.0
969;Didam;Niet-westerse migratieachtergrond;;
970;Dinxperlo;Totaal;5.5;15.5
971;Dinxperlo;Nederlandse achtergrond;4.7;15.7
972;Dinxperlo;Met migratieachtergrond;0.7;14.1
