ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
1261;HP21: Nursing care facilities;Total financ schemes health,social care;2006;9728.0
1262;HP21: Nursing care facilities;Total financ schemes health,social care;2007;10938.0
1263;HP21: Nursing care facilities;Total financ schemes health,social care;2008;11628.0
1264;HP21: Nursing care facilities;Total financ schemes health,social care;2009;11805.0
1265;HP21: Nursing care facilities;Total financ schemes health,social care;2010;12206.0
1266;HP21: Nursing care facilities;Total financ schemes health,social care;2011;12653.0
1267;HP21: Nursing care facilities;Total financ schemes health,social care;2012;13959.0
1268;HP21: Nursing care facilities;Total financ schemes health,social care;2013;13953.0
1269;HP21: Nursing care facilities;Total financ schemes health,social care;2014;13879.0
1270;HP21: Nursing care facilities;Total financ schemes health,social care;2015;12879.0
1271;HP21: Nursing care facilities;Total financ schemes health,social care;2016;13112.0
1272;HP21: Nursing care facilities;Total financing of residents;2005;9036.0
1273;HP21: Nursing care facilities;Total financing of residents;2006;9716.0
1274;HP21: Nursing care facilities;Total financing of residents;2007;10932.0
1275;HP21: Nursing care facilities;Total financing of residents;2008;11623.0
1276;HP21: Nursing care facilities;Total financing of residents;2009;11800.0
1277;HP21: Nursing care facilities;Total financing of residents;2010;12201.0
1278;HP21: Nursing care facilities;Total financing of residents;2011;12648.0
1279;HP21: Nursing care facilities;Total financing of residents;2012;13954.0
1280;HP21: Nursing care facilities;Total financing of residents;2013;13948.0
1281;HP21: Nursing care facilities;Total financing of residents;2014;13874.0
1282;HP21: Nursing care facilities;Total financing of residents;2015;12874.0
1283;HP21: Nursing care facilities;Total financing of residents;2016;13107.0
1284;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2005;7812.0
1285;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2006;8439.0
1286;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2007;9727.0
1287;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2008;10433.0
1288;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2009;10668.0
1289;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2010;11058.0
1290;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2011;11484.0
1291;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2012;12747.0
1292;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2013;12615.0
1293;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2014;12523.0
1294;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2015;11607.0
1295;HP21: Nursing care facilities;HF1: Government, comp. Contr. schemes;2016;11725.0
1296;HP21: Nursing care facilities;HF11: Government schemes;2005;249.0
1297;HP21: Nursing care facilities;HF11: Government schemes;2006;279.0
1298;HP21: Nursing care facilities;HF11: Government schemes;2007;270.0
1299;HP21: Nursing care facilities;HF11: Government schemes;2008;297.0
1300;HP21: Nursing care facilities;HF11: Government schemes;2009;225.0
1301;HP21: Nursing care facilities;HF11: Government schemes;2010;220.0
1302;HP21: Nursing care facilities;HF11: Government schemes;2011;190.0
1303;HP21: Nursing care facilities;HF11: Government schemes;2012;256.0
1304;HP21: Nursing care facilities;HF11: Government schemes;2013;250.0
1305;HP21: Nursing care facilities;HF11: Government schemes;2014;254.0
1306;HP21: Nursing care facilities;HF11: Government schemes;2015;625.0
1307;HP21: Nursing care facilities;HF11: Government schemes;2016;1072.0
1308;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2005;7563.0
1309;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2006;8159.0
1310;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2007;9457.0
1311;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2008;10136.0
1312;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2009;10443.0
1313;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2010;10838.0
1314;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2011;11294.0
1315;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2012;12492.0
1316;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2013;12365.0
1317;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2014;12269.0
1318;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2015;10982.0
1319;HP21: Nursing care facilities;HF12: Compulsory contributory schemes;2016;10653.0
1320;HP21: Nursing care facilities;HF121a: Long-term care insurance;2005;7493.0
1321;HP21: Nursing care facilities;HF121a: Long-term care insurance;2006;7967.0
1322;HP21: Nursing care facilities;HF121a: Long-term care insurance;2007;9251.0
1323;HP21: Nursing care facilities;HF121a: Long-term care insurance;2008;9889.0
1324;HP21: Nursing care facilities;HF121a: Long-term care insurance;2009;10148.0
1325;HP21: Nursing care facilities;HF121a: Long-term care insurance;2010;10495.0
1326;HP21: Nursing care facilities;HF121a: Long-term care insurance;2011;10936.0
1327;HP21: Nursing care facilities;HF121a: Long-term care insurance;2012;12119.0
1328;HP21: Nursing care facilities;HF121a: Long-term care insurance;2013;11171.0
1329;HP21: Nursing care facilities;HF121a: Long-term care insurance;2014;11135.0
1330;HP21: Nursing care facilities;HF121a: Long-term care insurance;2015;8887.0
1331;HP21: Nursing care facilities;HF121a: Long-term care insurance;2016;8472.0
1332;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2005;70.0
1333;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2006;
1334;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2007;
1335;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2008;
1336;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2009;
1337;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2010;
1338;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2011;
1339;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2012;
1340;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2013;
1341;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2014;
1342;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2015;
1343;HP21: Nursing care facilities;HF121b: Health Insurance Fund;2016;
1344;HP21: Nursing care facilities;HF122: Compulsory private insurance;2005;
1345;HP21: Nursing care facilities;HF122: Compulsory private insurance;2006;193.0
1346;HP21: Nursing care facilities;HF122: Compulsory private insurance;2007;206.0
1347;HP21: Nursing care facilities;HF122: Compulsory private insurance;2008;246.0
1348;HP21: Nursing care facilities;HF122: Compulsory private insurance;2009;295.0
1349;HP21: Nursing care facilities;HF122: Compulsory private insurance;2010;343.0
1350;HP21: Nursing care facilities;HF122: Compulsory private insurance;2011;358.0
1351;HP21: Nursing care facilities;HF122: Compulsory private insurance;2012;372.0
1352;HP21: Nursing care facilities;HF122: Compulsory private insurance;2013;1194.0
1353;HP21: Nursing care facilities;HF122: Compulsory private insurance;2014;1134.0
1354;HP21: Nursing care facilities;HF122: Compulsory private insurance;2015;2094.0
1355;HP21: Nursing care facilities;HF122: Compulsory private insurance;2016;2182.0
1356;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2005;1224.0
1357;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2006;1278.0
1358;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2007;1205.0
1359;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2008;1190.0
1360;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2009;1132.0
1361;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2010;1143.0
1362;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2011;1164.0
1363;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2012;1206.0
1364;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2013;1334.0
1365;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2014;1351.0
1366;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2015;1268.0
1367;HP21: Nursing care facilities;Voluntary schemes (incl. OOP);2016;1382.0
1368;HP21: Nursing care facilities;HF2: Voluntary schemes;2005;70.0
1369;HP21: Nursing care facilities;HF2: Voluntary schemes;2006;0.0
1370;HP21: Nursing care facilities;HF2: Voluntary schemes;2007;0.0
1371;HP21: Nursing care facilities;HF2: Voluntary schemes;2008;0.0
1372;HP21: Nursing care facilities;HF2: Voluntary schemes;2009;0.0
1373;HP21: Nursing care facilities;HF2: Voluntary schemes;2010;0.0
1374;HP21: Nursing care facilities;HF2: Voluntary schemes;2011;0.0
1375;HP21: Nursing care facilities;HF2: Voluntary schemes;2012;0.0
1376;HP21: Nursing care facilities;HF2: Voluntary schemes;2013;0.0
1377;HP21: Nursing care facilities;HF2: Voluntary schemes;2014;0.0
1378;HP21: Nursing care facilities;HF2: Voluntary schemes;2015;0.0
1379;HP21: Nursing care facilities;HF2: Voluntary schemes;2016;0.0
1380;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2005;70.0
1381;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2006;0.0
1382;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2007;0.0
1383;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2008;0.0
1384;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2009;0.0
1385;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2010;0.0
1386;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2011;0.0
1387;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2012;0.0
1388;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2013;0.0
1389;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2014;0.0
1390;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2015;0.0
1391;HP21: Nursing care facilities;HF21: Voluntary health insurance schemes;2016;0.0
1392;HP21: Nursing care facilities;HF22: Financing schemes NPI;2005;0.0
1393;HP21: Nursing care facilities;HF22: Financing schemes NPI;2006;0.0
1394;HP21: Nursing care facilities;HF22: Financing schemes NPI;2007;0.0
1395;HP21: Nursing care facilities;HF22: Financing schemes NPI;2008;0.0
1396;HP21: Nursing care facilities;HF22: Financing schemes NPI;2009;0.0
1397;HP21: Nursing care facilities;HF22: Financing schemes NPI;2010;0.0
1398;HP21: Nursing care facilities;HF22: Financing schemes NPI;2011;0.0
1399;HP21: Nursing care facilities;HF22: Financing schemes NPI;2012;0.0
1400;HP21: Nursing care facilities;HF22: Financing schemes NPI;2013;0.0
1401;HP21: Nursing care facilities;HF22: Financing schemes NPI;2014;0.0
1402;HP21: Nursing care facilities;HF22: Financing schemes NPI;2015;0.0
1403;HP21: Nursing care facilities;HF22: Financing schemes NPI;2016;0.0
1404;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2005;0.0
1405;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2006;0.0
1406;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2007;0.0
1407;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2008;0.0
1408;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2009;0.0
1409;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2010;0.0
1410;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2011;0.0
1411;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2012;0.0
1412;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2013;0.0
1413;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2014;0.0
1414;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2015;0.0
1415;HP21: Nursing care facilities;HF23: Enterprise financing schemes;2016;0.0
1416;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2005;1154.0
1417;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2006;1278.0
1418;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2007;1205.0
1419;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2008;1190.0
1420;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2009;1132.0
1421;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2010;1143.0
1422;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2011;1164.0
1423;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2012;1206.0
1424;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2013;1334.0
1425;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2014;1351.0
1426;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2015;1268.0
1427;HP21: Nursing care facilities;HF3: Household out-of-pocket payments;2016;1382.0
1428;HP21: Nursing care facilities;"Rest of the world; exports";2005;24.0
1429;HP21: Nursing care facilities;"Rest of the world; exports";2006;12.0
1430;HP21: Nursing care facilities;"Rest of the world; exports";2007;5.0
1431;HP21: Nursing care facilities;"Rest of the world; exports";2008;5.0
1432;HP21: Nursing care facilities;"Rest of the world; exports";2009;5.0
1433;HP21: Nursing care facilities;"Rest of the world; exports";2010;5.0
1434;HP21: Nursing care facilities;"Rest of the world; exports";2011;5.0
1435;HP21: Nursing care facilities;"Rest of the world; exports";2012;5.0
1436;HP21: Nursing care facilities;"Rest of the world; exports";2013;5.0
1437;HP21: Nursing care facilities;"Rest of the world; exports";2014;5.0
1438;HP21: Nursing care facilities;"Rest of the world; exports";2015;5.0
1439;HP21: Nursing care facilities;"Rest of the world; exports";2016;5.0
1440;HP29: Other long-term care facilities;Total financ schemes health,social care;2005;2707.0
1441;HP29: Other long-term care facilities;Total financ schemes health,social care;2006;2780.0
1442;HP29: Other long-term care facilities;Total financ schemes health,social care;2007;3015.0
1443;HP29: Other long-term care facilities;Total financ schemes health,social care;2008;3244.0
1444;HP29: Other long-term care facilities;Total financ schemes health,social care;2009;3558.0
1445;HP29: Other long-term care facilities;Total financ schemes health,social care;2010;3710.0
1446;HP29: Other long-term care facilities;Total financ schemes health,social care;2011;3867.0
1447;HP29: Other long-term care facilities;Total financ schemes health,social care;2012;4397.0
1448;HP29: Other long-term care facilities;Total financ schemes health,social care;2013;4502.0
1449;HP29: Other long-term care facilities;Total financ schemes health,social care;2014;4762.0
1450;HP29: Other long-term care facilities;Total financ schemes health,social care;2015;4424.0
1451;HP29: Other long-term care facilities;Total financ schemes health,social care;2016;4512.0
1452;HP29: Other long-term care facilities;Total financing of residents;2005;2707.0
1453;HP29: Other long-term care facilities;Total financing of residents;2006;2780.0
1454;HP29: Other long-term care facilities;Total financing of residents;2007;3015.0
1455;HP29: Other long-term care facilities;Total financing of residents;2008;3244.0
1456;HP29: Other long-term care facilities;Total financing of residents;2009;3558.0
1457;HP29: Other long-term care facilities;Total financing of residents;2010;3710.0
1458;HP29: Other long-term care facilities;Total financing of residents;2011;3867.0
1459;HP29: Other long-term care facilities;Total financing of residents;2012;4397.0
1460;HP29: Other long-term care facilities;Total financing of residents;2013;4502.0
1461;HP29: Other long-term care facilities;Total financing of residents;2014;4762.0
1462;HP29: Other long-term care facilities;Total financing of residents;2015;4424.0
1463;HP29: Other long-term care facilities;Total financing of residents;2016;4512.0
1464;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2005;2555.0
1465;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2006;2619.0
1466;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2007;2844.0
1467;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2008;3054.0
1468;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2009;3362.0
1469;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2010;3477.0
1470;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2011;3593.0
1471;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2012;4134.0
1472;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2013;4198.0
1473;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2014;4443.0
1474;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2015;4122.0
1475;HP29: Other long-term care facilities;HF1: Government, comp. Contr. schemes;2016;4256.0
1476;HP29: Other long-term care facilities;HF11: Government schemes;2005;69.0
1477;HP29: Other long-term care facilities;HF11: Government schemes;2006;0.0
1478;HP29: Other long-term care facilities;HF11: Government schemes;2007;0.0
1479;HP29: Other long-term care facilities;HF11: Government schemes;2008;0.0
1480;HP29: Other long-term care facilities;HF11: Government schemes;2009;0.0
1481;HP29: Other long-term care facilities;HF11: Government schemes;2010;0.0
1482;HP29: Other long-term care facilities;HF11: Government schemes;2011;0.0
1483;HP29: Other long-term care facilities;HF11: Government schemes;2012;0.0
1484;HP29: Other long-term care facilities;HF11: Government schemes;2013;0.0
1485;HP29: Other long-term care facilities;HF11: Government schemes;2014;0.0
1486;HP29: Other long-term care facilities;HF11: Government schemes;2015;109.0
1487;HP29: Other long-term care facilities;HF11: Government schemes;2016;115.0
1488;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2005;2487.0
1489;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2006;2619.0
1490;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2007;2844.0
1491;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2008;3054.0
1492;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2009;3362.0
1493;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2010;3477.0
1494;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2011;3593.0
1495;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2012;4134.0
1496;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2013;4198.0
1497;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2014;4443.0
1498;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2015;4013.0
1499;HP29: Other long-term care facilities;HF12: Compulsory contributory schemes;2016;4141.0
1500;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2005;2487.0
1501;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2006;2619.0
1502;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2007;2839.0
1503;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2008;3013.0
1504;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2009;3311.0
1505;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2010;3424.0
1506;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2011;3532.0
1507;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2012;4067.0
1508;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2013;4189.0
1509;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2014;4434.0
1510;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2015;3852.0
1511;HP29: Other long-term care facilities;HF121a: Long-term care insurance;2016;3972.0
1512;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2005;0.0
1513;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2006;
1514;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2007;
1515;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2008;
1516;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2009;
1517;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2010;
1518;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2011;
1519;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2012;
1520;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2013;
1521;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2014;
1522;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2015;
1523;HP29: Other long-term care facilities;HF121b: Health Insurance Fund;2016;
1524;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2005;
1525;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2006;0.0
1526;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2007;5.0
1527;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2008;41.0
1528;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2009;51.0
1529;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2010;53.0
1530;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2011;61.0
1531;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2012;67.0
1532;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2013;8.0
1533;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2014;9.0
1534;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2015;161.0
1535;HP29: Other long-term care facilities;HF122: Compulsory private insurance;2016;169.0
1536;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2005;151.0
1537;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2006;161.0
1538;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2007;171.0
1539;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2008;190.0
1540;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2009;196.0
1541;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2010;234.0
1542;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2011;275.0
1543;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2012;263.0
1544;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2013;305.0
1545;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2014;319.0
1546;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2015;302.0
1547;HP29: Other long-term care facilities;Voluntary schemes (incl. OOP);2016;256.0
1548;HP29: Other long-term care facilities;HF2: Voluntary schemes;2005;0.0
1549;HP29: Other long-term care facilities;HF2: Voluntary schemes;2006;0.0
1550;HP29: Other long-term care facilities;HF2: Voluntary schemes;2007;0.0
1551;HP29: Other long-term care facilities;HF2: Voluntary schemes;2008;0.0
1552;HP29: Other long-term care facilities;HF2: Voluntary schemes;2009;0.0
1553;HP29: Other long-term care facilities;HF2: Voluntary schemes;2010;0.0
1554;HP29: Other long-term care facilities;HF2: Voluntary schemes;2011;0.0
1555;HP29: Other long-term care facilities;HF2: Voluntary schemes;2012;0.0
1556;HP29: Other long-term care facilities;HF2: Voluntary schemes;2013;0.0
1557;HP29: Other long-term care facilities;HF2: Voluntary schemes;2014;0.0
1558;HP29: Other long-term care facilities;HF2: Voluntary schemes;2015;0.0
1559;HP29: Other long-term care facilities;HF2: Voluntary schemes;2016;0.0
1560;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2005;0.0
1561;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2006;0.0
1562;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2007;0.0
1563;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2008;0.0
1564;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2009;0.0
1565;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2010;0.0
1566;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2011;0.0
1567;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2012;0.0
1568;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2013;0.0
1569;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2014;0.0
1570;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2015;0.0
1571;HP29: Other long-term care facilities;HF21: Voluntary health insurance schemes;2016;0.0
1572;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2005;0.0
1573;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2006;0.0
1574;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2007;0.0
1575;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2008;0.0
1576;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2009;0.0
1577;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2010;0.0
1578;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2011;0.0
1579;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2012;0.0
1580;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2013;0.0
1581;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2014;0.0
1582;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2015;0.0
1583;HP29: Other long-term care facilities;HF22: Financing schemes NPI;2016;0.0
1584;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2005;0.0
1585;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2006;0.0
1586;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2007;0.0
1587;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2008;0.0
1588;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2009;0.0
1589;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2010;0.0
1590;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2011;0.0
1591;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2012;0.0
1592;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2013;0.0
1593;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2014;0.0
1594;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2015;0.0
1595;HP29: Other long-term care facilities;HF23: Enterprise financing schemes;2016;0.0
1596;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2005;151.0
1597;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2006;161.0
1598;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2007;171.0
1599;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2008;190.0
1600;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2009;196.0
1601;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2010;234.0
1602;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2011;275.0
1603;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2012;263.0
1604;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2013;305.0
1605;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2014;319.0
1606;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2015;302.0
1607;HP29: Other long-term care facilities;HF3: Household out-of-pocket payments;2016;256.0
1608;HP29: Other long-term care facilities;"Rest of the world; exports";2005;0.0
1609;HP29: Other long-term care facilities;"Rest of the world; exports";2006;0.0
1610;HP29: Other long-term care facilities;"Rest of the world; exports";2007;0.0
1611;HP29: Other long-term care facilities;"Rest of the world; exports";2008;0.0
1612;HP29: Other long-term care facilities;"Rest of the world; exports";2009;0.0
1613;HP29: Other long-term care facilities;"Rest of the world; exports";2010;0.0
1614;HP29: Other long-term care facilities;"Rest of the world; exports";2011;0.0
1615;HP29: Other long-term care facilities;"Rest of the world; exports";2012;0.0
1616;HP29: Other long-term care facilities;"Rest of the world; exports";2013;0.0
1617;HP29: Other long-term care facilities;"Rest of the world; exports";2014;0.0
1618;HP29: Other long-term care facilities;"Rest of the world; exports";2015;0.0
1619;HP29: Other long-term care facilities;"Rest of the world; exports";2016;0.0
1620;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2005;8827.0
1621;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2006;9453.0
1622;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2007;10013.0
1623;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2008;11052.0
1624;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2009;11597.0
1625;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2010;11452.0
1626;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2011;11862.0
1627;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2012;12184.0
1628;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2013;12096.0
1629;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2014;12416.0
1630;HP3: Providers of ambulatory health care;Total financ schemes health,social care;2015;10502.0
