ID;PersonalCharacteristics;Periods;VeryContented_1;Contented_2;NotContentedNotDiscontented_3;Discontented_4;VeryDiscontented_5;DutchLabourParty_6;ChristianDemocraticAppeal_7;PeopleSPartyForFreedomAndDemocracy_8;Democrats1966_9;GreenLeftParty_10;PoliticalReformedPartyChristianUnion_11;SocialistParty_12;LiveableNetherlands_13;ListPimFortuyn_14;OtherPoliticalParties_15;NonVotersAbstentions_16;DoNotKnow_17;CastHisHerVote_18;DutchLabourParty_19;ChristianDemocraticAppeal_20;PeopleSPartyForFreedomAndDemocracy_21;Democrats1966_22;GreenLeftParty_23;PoliticalReformedPartyChristianUnion_24;SocialistParty_25;LiveableNetherlands_26;ListPimFortuyn_27;OtherPoliticalParties_28;Abstentions_29;DoNotKnow_30;VeryMuchInterested_31;RatherInterested_32;NotMuchInterested_33;NotInterestedAtAll_34;ActiveDebater_35;Listens_36;DoesNotListen_37;MemberOfAPoliticalParty_38;AttendsMeetingsPolParty1529Yrs_39;BondWithPolitcalParty_40;VeryStrongBond_41;RatherStrongBond_42;ModeratelyStrongBond_43;WeakVeryWeakBond_44;IsMemberOfAStudentsTradeUnion_45;EmployersOrgTradeUnion_46;NoRestrictions_47;MustBeRestricted_48;MustBeStoppedAltogether_49;NoRestrictions_50;MustBeRestricted_51;MustBeStoppedAltogether_52;NoRestrictions_53;MustBeRestricted_54;MustBeStoppedAltogether_55;MakeMuchMoreDifficult_56;MakeMoreDifficult_57;PreferCurrentSituation_58;MakeEasier_59;MakeMuchEasier_60;RetainOwnCultureCompletely_61;LargelyRetainOwnCulture_62;NotRetainOwnCultureNotConform_63;LargelyConformToDutchCulture_64;ConformCompletelyToDutchCulture_65;AgreeCompletely_66;Agree_67;DoNotAgreeDoNotDisagree_68;Disagree_69;DisagreeCompletely_70;AgreeCompletely_71;Agree_72;DoNotAgreeDoNotDisagree_73;Disagree_74;DisagreeCompletely_75;FamilyEthnicMinority_76;DutchFamily_77;ShouldNotMakeAnyDifference_78;EmployeeWithFamily_79;EmployeeWithoutFamily_80;ShouldNotMakeAnyDifference_81;AForeigner_82;ADutchman_83;ShouldNotMakeAnyDifference_84;AMan_85;AWoman_86;ShouldNotMakeAnyDifference_87;AYoungEmployee_88;AnOlderEmployee_89;ShouldNotMakeAnyDifference_90;AWhiteEmployee_91;AColouredEmployee_92;ShouldNotMakeAnyDifference_93;Annoying_94;NotAnnoying_95;DoNotKnow_96;Annoying_97;NotAnnoying_98;DoNotKnow_99;ExtremelyImportant_100;VeryImportant_101;Important_102;NotSure_103;Unimportant_104;ExtremelyImportant_105;VeryImportant_106;Important_107;NotSure_108;Unimportant_109;ExtremelyImportant_110;VeryImportant_111;Important_112;NotSure_113;Unimportant_114;ExtremelyImportant_115;VeryImportant_116;Important_117;NotSure_118;Unimportant_119;ExtremelyImportant_120;VeryImportant_121;Important_122;NotSure_123;Unimportant_124;ExtremelyImportant_125;VeryImportant_126;Important_127;NotSure_128;Unimportant_129;ExtremelyImportant_130;VeryImportant_131;Important_132;NotSure_133;Unimportant_134;ExtremelyImportant_135;VeryImportant_136;Important_137;NotSure_138;Unimportant_139;ExtremelyImportant_140;VeryImportant_141;Important_142;NotSure_143;Unimportant_144;ExtremelyImportant_145;VeryImportant_146;Important_147;NotSure_148;Unimportant_149;ExtremelyImportant_150;VeryImportant_151;Important_152;NotSure_153;Unimportant_154;ExtremelyImportant_155;VeryImportant_156;Important_157;NotSure_158;Unimportant_159;ExtremelyImportant_160;VeryImportant_161;Important_162;NotSure_163;Unimportant_164;ExtremelyImportant_165;VeryImportant_166;Important_167;NotSure_168;Unimportant_169;LargelyAgree_170;DoNotAgreeDoNotDisagree_171;DoNotAgreeAtAll_172;LargelyAgree_173;DoNotAgreeDoNotDisagree_174;DoNotAgreeAtAll_175;LargelyAgree_176;DoNotAgreeDoNotDisagree_177;DoNotAgreeAtAll_178;LargelyAgree_179;DoNotAgreeDoNotDisagree_180;DoNotAgreeAtAll_181;LargelyAgree_182;DoNotAgreeDoNotDisagree_183;DoNotAgreeAtAll_184;LargelyAgree_185;DoNotAgreeDoNotDisagree_186;DoNotAgreeAtAll_187;AdulteryEndsARelationship_188;AdulteryIsWrongButNotTheEnd_189;AdulteryShouldBePossible_190;NoOpinionDoesNotKnowRefuses_191
203;85 yrs and older;2000;1.0;42.0;44.0;11.0;2.0;21.0;33.0;10.0;2.0;2.0;3.0;1.0;;;1.0;22.0;6.0;;;;;;;;;;;;;;15.0;30.0;21.0;34.0;26.0;41.0;33.0;;;57.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;85 yrs and older;2001;1.0;40.0;46.0;12.0;2.0;20.0;29.0;11.0;1.0;2.0;4.0;1.0;;;4.0;18.0;11.0;;;;;;;;;;;;;;18.0;37.0;17.0;28.0;35.0;36.0;29.0;;;66.0;28.0;35.0;35.0;2.0;;;11.0;58.0;31.0;34.0;49.0;17.0;12.0;58.0;30.0;22.0;15.0;47.0;5.0;11.0;2.0;2.0;37.0;20.0;39.0;3.0;15.0;20.0;30.0;32.0;23.0;42.0;12.0;14.0;8.0;0.0;40.0;60.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;85 yrs and older;2002;2.0;28.0;45.0;22.0;4.0;13.0;32.0;10.0;2.0;0.0;3.0;2.0;1.0;5.0;0.0;21.0;10.0;;;;;;;;;;;;;;25.0;31.0;16.0;28.0;37.0;35.0;29.0;;;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;85 yrs and older;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;85 yrs and older;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;Unknown;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;Unknown;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;Unknown;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Unknown;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;Unknown;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Unknown;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Unknown;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Unknown;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;Level of education: primary education;1997;1.0;32.0;46.0;17.0;4.0;27.0;16.0;9.0;3.0;2.0;3.0;2.0;;;4.0;22.0;12.0;;;;;;;;;;;;;;7.0;26.0;29.0;38.0;23.0;42.0;34.0;4.0;;53.0;17.0;38.0;40.0;5.0;;;7.0;61.0;33.0;14.0;61.0;25.0;7.0;54.0;38.0;36.0;22.0;33.0;5.0;5.0;7.0;5.0;28.0;18.0;42.0;2.0;10.0;21.0;32.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;Level of education: primary education;1998;1.0;37.0;45.0;14.0;3.0;31.0;17.0;11.0;2.0;3.0;4.0;3.0;;;2.0;18.0;9.0;75.0;44.0;20.0;13.0;3.0;5.0;4.0;4.0;;;4.0;1.0;0.0;7.0;27.0;30.0;36.0;25.0;42.0;33.0;3.0;;54.0;17.0;44.0;34.0;4.0;;;6.0;65.0;29.0;18.0;60.0;23.0;9.0;54.0;36.0;33.0;23.0;35.0;5.0;4.0;6.0;6.0;29.0;18.0;41.0;2.0;12.0;20.0;31.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;Level of education: primary education;1999;1.0;32.0;45.0;18.0;4.0;26.0;17.0;10.0;2.0;4.0;4.0;2.0;;;2.0;24.0;9.0;;;;;;;;;;;;;;7.0;26.0;29.0;38.0;26.0;43.0;31.0;4.0;;53.0;22.0;38.0;34.0;6.0;;;8.0;59.0;33.0;19.0;58.0;23.0;8.0;54.0;38.0;32.0;22.0;32.0;6.0;7.0;5.0;5.0;30.0;18.0;43.0;2.0;16.0;21.0;31.0;29.0;11.0;47.0;16.0;15.0;11.0;1.0;35.0;64.0;8.0;45.0;47.0;18.0;6.0;76.0;3.0;15.0;82.0;18.0;23.0;59.0;3.0;7.0;90.0;18.0;71.0;11.0;11.0;79.0;10.0;21.0;17.0;34.0;3.0;24.0;46.0;25.0;25.0;1.0;3.0;58.0;22.0;14.0;2.0;4.0;51.0;24.0;22.0;2.0;2.0;21.0;24.0;44.0;3.0;7.0;23.0;27.0;47.0;2.0;2.0;18.0;24.0;45.0;6.0;6.0;19.0;25.0;51.0;3.0;2.0;10.0;16.0;44.0;18.0;12.0;15.0;21.0;46.0;13.0;6.0;11.0;15.0;35.0;29.0;10.0;13.0;22.0;46.0;11.0;7.0;43.0;24.0;31.0;1.0;1.0;30.0;27.0;37.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;
219;Level of education: primary education;2000;1.0;37.0;44.0;15.0;3.0;27.0;16.0;10.0;2.0;3.0;3.0;2.0;;;1.0;24.0;12.0;;;;;;;;;;;;;;6.0;24.0;29.0;41.0;24.0;43.0;33.0;3.0;;50.0;19.0;38.0;37.0;6.0;;;7.0;64.0;28.0;20.0;60.0;20.0;9.0;59.0;32.0;31.0;20.0;34.0;7.0;8.0;5.0;4.0;27.0;20.0;44.0;5.0;20.0;21.0;35.0;19.0;12.0;52.0;13.0;16.0;7.0;1.0;30.0;70.0;5.0;46.0;49.0;16.0;4.0;81.0;2.0;12.0;86.0;20.0;19.0;61.0;2.0;6.0;92.0;15.0;75.0;11.0;10.0;79.0;11.0;16.0;12.0;36.0;5.0;30.0;45.0;26.0;24.0;2.0;3.0;58.0;20.0;14.0;3.0;5.0;51.0;24.0;21.0;2.0;2.0;19.0;25.0;45.0;3.0;8.0;22.0;27.0;46.0;2.0;2.0;18.0;24.0;47.0;5.0;6.0;18.0;26.0;51.0;4.0;1.0;9.0;15.0;45.0;17.0;13.0;12.0;20.0;48.0;13.0;8.0;9.0;13.0;39.0;26.0;13.0;12.0;21.0;50.0;11.0;6.0;44.0;27.0;28.0;1.0;0.0;33.0;27.0;36.0;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;
220;Level of education: primary education;2001;1.0;36.0;43.0;16.0;4.0;28.0;16.0;8.0;1.0;3.0;3.0;2.0;;;3.0;23.0;12.0;;;;;;;;;;;;;;7.0;26.0;28.0;40.0;28.0;42.0;29.0;3.0;;50.0;19.0;37.0;38.0;6.0;;;6.0;62.0;32.0;19.0;61.0;20.0;10.0;55.0;35.0;32.0;23.0;33.0;6.0;6.0;6.0;4.0;27.0;20.0;43.0;3.0;19.0;22.0;35.0;21.0;13.0;51.0;13.0;17.0;7.0;0.0;30.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;Level of education: primary education;2002;1.0;24.0;42.0;26.0;7.0;21.0;21.0;6.0;1.0;3.0;4.0;3.0;3.0;6.0;1.0;17.0;15.0;72.0;26.0;29.0;8.0;1.0;4.0;2.0;3.0;0.0;23.0;2.0;1.0;0.0;8.0;29.0;28.0;35.0;32.0;38.0;30.0;2.0;;47.0;19.0;42.0;34.0;6.0;;;6.0;65.0;30.0;19.0;59.0;22.0;9.0;55.0;36.0;33.0;20.0;35.0;5.0;6.0;3.0;4.0;28.0;20.0;44.0;3.0;19.0;20.0;36.0;22.0;11.0;47.0;17.0;14.0;11.0;1.0;29.0;70.0;;;;;;;;;;;;;;;;;;;;;;16.0;14.0;36.0;6.0;27.0;43.0;29.0;25.0;2.0;2.0;59.0;20.0;14.0;3.0;4.0;48.0;27.0;20.0;2.0;2.0;19.0;23.0;47.0;5.0;6.0;25.0;23.0;49.0;2.0;2.0;20.0;23.0;47.0;5.0;4.0;16.0;29.0;48.0;6.0;1.0;7.0;12.0;52.0;19.0;12.0;12.0;19.0;49.0;13.0;7.0;9.0;13.0;40.0;26.0;12.0;12.0;22.0;45.0;15.0;6.0;44.0;28.0;26.0;1.0;1.0;31.0;28.0;38.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
222;Level of education: primary education;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Level of education: primary education;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;Level of education: pre-vocational ed.;1997;1.0;32.0;49.0;16.0;3.0;22.0;18.0;13.0;5.0;2.0;3.0;2.0;;;2.0;18.0;14.0;;;;;;;;;;;;;;7.0;33.0;34.0;25.0;30.0;49.0;22.0;4.0;;51.0;16.0;39.0;40.0;5.0;;;3.0;70.0;27.0;13.0;67.0;19.0;5.0;61.0;34.0;33.0;27.0;29.0;7.0;4.0;6.0;5.0;28.0;27.0;34.0;1.0;10.0;25.0;32.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Level of education: pre-vocational ed.;1998;1.0;37.0;48.0;13.0;2.0;27.0;18.0;15.0;3.0;3.0;4.0;3.0;;;2.0;15.0;10.0;78.0;35.0;21.0;21.0;5.0;6.0;5.0;2.0;;;3.0;1.0;0.0;7.0;34.0;33.0;25.0;32.0;47.0;20.0;5.0;;56.0;15.0;43.0;36.0;5.0;;;4.0;72.0;24.0;15.0;68.0;17.0;6.0;62.0;33.0;30.0;28.0;33.0;6.0;3.0;4.0;7.0;31.0;26.0;33.0;2.0;11.0;25.0;34.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Level of education: pre-vocational ed.;1999;1.0;30.0;49.0;17.0;3.0;22.0;17.0;13.0;2.0;5.0;4.0;3.0;;;2.0;20.0;11.0;;;;;;;;;;;;;;7.0;32.0;33.0;28.0;33.0;45.0;22.0;5.0;;55.0;15.0;41.0;39.0;5.0;;;4.0;72.0;23.0;17.0;67.0;15.0;9.0;61.0;31.0;31.0;25.0;32.0;6.0;6.0;4.0;5.0;31.0;27.0;34.0;2.0;12.0;27.0;36.0;22.0;11.0;51.0;17.0;14.0;6.0;1.0;28.0;71.0;4.0;41.0;55.0;12.0;4.0;84.0;1.0;9.0;90.0;17.0;19.0;64.0;2.0;7.0;92.0;15.0;76.0;9.0;9.0;83.0;8.0;16.0;15.0;37.0;5.0;27.0;43.0;27.0;25.0;2.0;4.0;57.0;20.0;15.0;3.0;6.0;52.0;26.0;19.0;1.0;2.0;19.0;26.0;46.0;3.0;5.0;26.0;25.0;47.0;1.0;1.0;20.0;27.0;47.0;3.0;3.0;20.0;30.0;46.0;3.0;1.0;8.0;15.0;46.0;17.0;13.0;13.0;21.0;48.0;11.0;6.0;11.0;15.0;43.0;19.0;11.0;17.0;21.0;47.0;9.0;5.0;48.0;25.0;26.0;1.0;1.0;34.0;30.0;34.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
227;Level of education: pre-vocational ed.;2000;1.0;35.0;48.0;13.0;3.0;23.0;17.0;13.0;2.0;4.0;4.0;2.0;;;1.0;20.0;14.0;;;;;;;;;;;;;;6.0;32.0;34.0;28.0;33.0;45.0;22.0;3.0;;54.0;14.0;42.0;39.0;6.0;;;4.0;70.0;26.0;19.0;68.0;13.0;8.0;65.0;28.0;30.0;24.0;34.0;8.0;4.0;4.0;5.0;31.0;23.0;37.0;2.0;15.0;24.0;37.0;22.0;11.0;53.0;18.0;13.0;6.0;1.0;28.0;71.0;4.0;40.0;55.0;13.0;3.0;84.0;1.0;9.0;90.0;16.0;16.0;68.0;2.0;5.0;93.0;16.0;75.0;9.0;10.0;83.0;7.0;15.0;13.0;37.0;5.0;30.0;40.0;29.0;28.0;2.0;3.0;56.0;24.0;14.0;3.0;3.0;50.0;27.0;21.0;1.0;1.0;18.0;26.0;49.0;2.0;5.0;22.0;28.0;49.0;1.0;1.0;18.0;27.0;48.0;3.0;5.0;16.0;32.0;49.0;2.0;1.0;8.0;16.0;49.0;17.0;9.0;11.0;23.0;49.0;12.0;5.0;10.0;16.0;41.0;24.0;10.0;12.0;21.0;53.0;11.0;3.0;47.0;29.0;22.0;1.0;1.0;34.0;32.0;32.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
228;Level of education: pre-vocational ed.;2001;1.0;35.0;46.0;15.0;3.0;21.0;16.0;13.0;2.0;4.0;4.0;2.0;;;3.0;19.0;16.0;;;;;;;;;;;;;;8.0;33.0;33.0;27.0;34.0;47.0;19.0;3.0;;51.0;13.0;45.0;37.0;5.0;;;4.0;69.0;26.0;18.0;69.0;13.0;8.0;64.0;28.0;29.0;28.0;33.0;6.0;4.0;4.0;5.0;28.0;26.0;36.0;2.0;17.0;21.0;37.0;23.0;11.0;54.0;16.0;13.0;6.0;1.0;29.0;71.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;Level of education: pre-vocational ed.;2002;1.0;22.0;46.0;25.0;6.0;16.0;25.0;9.0;2.0;3.0;3.0;4.0;3.0;5.0;1.0;13.0;15.0;82.0;17.0;35.0;10.0;3.0;4.0;7.0;4.0;1.0;16.0;1.0;0.0;1.0;10.0;36.0;33.0;21.0;40.0;45.0;15.0;4.0;;52.0;16.0;42.0;37.0;5.0;;;5.0;71.0;24.0;19.0;66.0;15.0;9.0;63.0;28.0;28.0;23.0;36.0;7.0;5.0;1.0;4.0;25.0;27.0;43.0;1.0;14.0;23.0;41.0;22.0;9.0;52.0;19.0;13.0;6.0;1.0;26.0;73.0;;;;;;;;;;;;;;;;;;;;;;16.0;14.0;38.0;4.0;28.0;46.0;30.0;20.0;2.0;2.0;62.0;22.0;9.0;3.0;3.0;54.0;30.0;15.0;0.0;1.0;18.0;25.0;49.0;1.0;7.0;25.0;27.0;46.0;1.0;1.0;18.0;29.0;47.0;4.0;3.0;19.0;30.0;47.0;3.0;1.0;7.0;14.0;50.0;15.0;14.0;10.0;22.0;51.0;12.0;5.0;11.0;14.0;48.0;19.0;8.0;15.0;23.0;46.0;10.0;6.0;50.0;27.0;22.0;1.0;0.0;40.0;33.0;25.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
230;Level of education: pre-vocational ed.;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;Level of education: pre-vocational ed.;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;Level of education: junior gen. sec. ed.;1997;1.0;34.0;52.0;11.0;2.0;18.0;14.0;22.0;8.0;4.0;3.0;2.0;;;1.0;13.0;14.0;;;;;;;;;;;;;;8.0;40.0;35.0;18.0;36.0;48.0;16.0;3.0;;56.0;13.0;42.0;41.0;5.0;;;9.0;76.0;16.0;18.0;70.0;12.0;7.0;69.0;24.0;21.0;27.0;37.0;9.0;6.0;3.0;7.0;38.0;27.0;24.0;2.0;13.0;29.0;33.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;Level of education: junior gen. sec. ed.;1998;1.0;41.0;49.0;8.0;1.0;23.0;15.0;23.0;6.0;6.0;4.0;3.0;;;1.0;11.0;9.0;79.0;27.0;16.0;29.0;8.0;10.0;3.0;5.0;;;2.0;0.0;1.0;8.0;39.0;34.0;19.0;36.0;47.0;17.0;2.0;;59.0;14.0;46.0;36.0;4.0;;;5.0;81.0;14.0;22.0;68.0;10.0;10.0;69.0;21.0;21.0;25.0;35.0;14.0;5.0;2.0;6.0;34.0;34.0;24.0;3.0;20.0;24.0;33.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Level of education: junior gen. sec. ed.;1999;1.0;31.0;51.0;15.0;2.0;20.0;15.0;22.0;4.0;7.0;3.0;3.0;;;1.0;14.0;11.0;;;;;;;;;;;;;;10.0;37.0;33.0;20.0;40.0;42.0;18.0;3.0;;55.0;13.0;44.0;37.0;6.0;;;6.0;81.0;13.0;22.0;68.0;10.0;9.0;68.0;23.0;24.0;24.0;39.0;9.0;5.0;3.0;6.0;32.0;34.0;24.0;2.0;14.0;23.0;41.0;20.0;11.0;55.0;15.0;12.0;7.0;0.0;20.0;80.0;3.0;38.0;59.0;8.0;2.0;90.0;2.0;3.0;95.0;17.0;12.0;71.0;1.0;3.0;96.0;13.0;79.0;8.0;6.0;87.0;6.0;14.0;13.0;34.0;3.0;35.0;36.0;27.0;29.0;2.0;5.0;56.0;22.0;13.0;2.0;7.0;52.0;25.0;19.0;1.0;3.0;18.0;29.0;42.0;3.0;8.0;17.0;26.0;54.0;1.0;2.0;17.0;31.0;40.0;7.0;5.0;17.0;31.0;49.0;2.0;1.0;8.0;16.0;44.0;17.0;15.0;14.0;29.0;39.0;11.0;7.0;13.0;20.0;38.0;20.0;9.0;12.0;26.0;48.0;9.0;5.0;53.0;27.0;19.0;0.0;0.0;36.0;31.0;31.0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;
