ID;Sex;Characteristics;CaribbeanNetherlands;Periods;Persons_1;PersonalGrossIncomeMean_2;PersonalGrossIncomeMedian_3;PersonalIncomeMean_4;PersonalIncomeMedian_5
553;Total male and female;Age: 20 to 39 years;St. Eustatius;2012;450.0;30.6;23.6;28.1;22.6
554;Total male and female;Age: 20 to 39 years;St. Eustatius;2013;550.0;32.3;24.7;29.7;23.6
555;Total male and female;Age: 20 to 39 years;St. Eustatius;2014;500.0;33.4;27.4;30.8;25.4
556;Total male and female;Age: 20 to 39 years;St. Eustatius;2015;550.0;34.6;25.9;32.3;24.9
557;Total male and female;Age: 20 to 39 years;St. Eustatius;2016;550.0;31.7;23.7;29.7;23.0
558;Total male and female;Age: 20 to 39 years;St. Eustatius;2017;600.0;33.6;24.1;31.6;23.5
559;Total male and female;Age: 20 to 39 years;St. Eustatius;2018;650.0;31.2;23.2;29.3;22.4
560;Total male and female;Age: 20 to 39 years;St. Eustatius;2019;650.0;31.3;22.8;29.4;22.4
561;Total male and female;Age: 20 to 39 years;St. Eustatius;2020;650.0;30.8;22.7;28.9;22.4
562;Total male and female;Age: 20 to 39 years;St. Eustatius;2021;650.0;31.7;23.3;29.6;23.0
563;Total male and female;Age: 20 to 39 years;St. Eustatius;2022;650.0;32.3;23.7;30.1;23.3
564;Total male and female;Age: 20 to 39 years;Saba;2011;300.0;27.0;23.6;24.8;21.6
565;Total male and female;Age: 20 to 39 years;Saba;2012;300.0;29.7;24.9;27.0;22.6
566;Total male and female;Age: 20 to 39 years;Saba;2013;300.0;27.7;22.5;25.3;20.5
567;Total male and female;Age: 20 to 39 years;Saba;2014;300.0;30.2;23.8;27.3;22.3
568;Total male and female;Age: 20 to 39 years;Saba;2015;350.0;27.5;20.6;24.7;20.0
569;Total male and female;Age: 20 to 39 years;Saba;2016;350.0;27.4;21.0;24.8;20.1
570;Total male and female;Age: 20 to 39 years;Saba;2017;350.0;27.4;20.6;24.9;20.2
571;Total male and female;Age: 20 to 39 years;Saba;2018;350.0;28.2;24.2;25.9;22.8
572;Total male and female;Age: 20 to 39 years;Saba;2019;350.0;28.7;23.1;26.3;22.7
573;Total male and female;Age: 20 to 39 years;Saba;2020;350.0;31.6;25.2;29.0;24.5
574;Total male and female;Age: 20 to 39 years;Saba;2021;350.0;31.5;25.7;29.1;25.2
575;Total male and female;Age: 20 to 39 years;Saba;2022;350.0;34.7;29.7;31.7;28.5
576;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2011;1650.0;16.8;13.9;15.9;13.6
577;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2012;1800.0;17.4;14.4;16.3;14.0
578;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2013;2000.0;18.2;14.7;17.0;14.3
579;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2014;2050.0;18.8;15.0;17.6;14.6
580;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2015;2200.0;18.9;15.3;17.8;14.8
581;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2016;2300.0;18.3;15.1;17.2;14.6
582;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2017;2400.0;18.9;15.5;17.9;15.1
583;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2018;2350.0;20.0;16.8;18.9;16.3
584;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2019;2350.0;20.0;16.4;19.0;16.1
585;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2020;2400.0;19.8;16.5;18.8;16.2
586;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2021;2450.0;19.8;16.5;18.8;16.1
587;Total male and female;Age: 20 to 29 years;Caribbean Netherlands;2022;2550.0;20.9;17.7;19.7;17.3
588;Total male and female;Age: 20 to 29 years;Bonaire;2011;1400.0;15.8;13.7;15.0;13.3
589;Total male and female;Age: 20 to 29 years;Bonaire;2012;1500.0;16.4;14.0;15.4;13.6
590;Total male and female;Age: 20 to 29 years;Bonaire;2013;1650.0;17.3;14.4;16.3;14.0
591;Total male and female;Age: 20 to 29 years;Bonaire;2014;1750.0;17.9;14.7;16.8;14.1
592;Total male and female;Age: 20 to 29 years;Bonaire;2015;1800.0;18.0;15.1;17.0;14.7
593;Total male and female;Age: 20 to 29 years;Bonaire;2016;1900.0;17.9;15.3;17.0;14.8
594;Total male and female;Age: 20 to 29 years;Bonaire;2017;2000.0;18.5;15.7;17.5;15.3
595;Total male and female;Age: 20 to 29 years;Bonaire;2018;1950.0;19.7;16.8;18.7;16.3
596;Total male and female;Age: 20 to 29 years;Bonaire;2019;2000.0;19.7;16.4;18.7;16.1
597;Total male and female;Age: 20 to 29 years;Bonaire;2020;2000.0;19.6;16.5;18.6;16.2
598;Total male and female;Age: 20 to 29 years;Bonaire;2021;2050.0;19.5;16.4;18.5;16.1
599;Total male and female;Age: 20 to 29 years;Bonaire;2022;2200.0;20.6;17.6;19.4;17.3
600;Total male and female;Age: 20 to 29 years;St. Eustatius;2011;150.0;22.1;16.5;20.7;15.6
601;Total male and female;Age: 20 to 29 years;St. Eustatius;2012;200.0;22.8;16.2;21.4;15.8
602;Total male and female;Age: 20 to 29 years;St. Eustatius;2013;200.0;24.3;18.2;22.5;17.8
603;Total male and female;Age: 20 to 29 years;St. Eustatius;2014;200.0;25.3;17.7;23.6;17.2
604;Total male and female;Age: 20 to 29 years;St. Eustatius;2015;200.0;26.3;18.2;24.9;17.7
605;Total male and female;Age: 20 to 29 years;St. Eustatius;2016;200.0;21.3;13.7;20.2;13.4
606;Total male and female;Age: 20 to 29 years;St. Eustatius;2017;250.0;23.7;15.4;22.4;15.0
607;Total male and female;Age: 20 to 29 years;St. Eustatius;2018;250.0;22.0;15.5;21.0;15.1
608;Total male and female;Age: 20 to 29 years;St. Eustatius;2019;200.0;20.8;15.2;19.9;14.8
609;Total male and female;Age: 20 to 29 years;St. Eustatius;2020;200.0;18.5;13.6;17.7;13.3
610;Total male and female;Age: 20 to 29 years;St. Eustatius;2021;250.0;19.2;14.9;18.4;14.8
611;Total male and female;Age: 20 to 29 years;St. Eustatius;2022;250.0;19.8;14.3;19.0;13.8
612;Total male and female;Age: 20 to 29 years;Saba;2011;100.0;20.9;15.7;19.2;14.6
613;Total male and female;Age: 20 to 29 years;Saba;2012;100.0;21.4;17.3;19.6;16.5
614;Total male and female;Age: 20 to 29 years;Saba;2013;150.0;19.3;16.5;17.8;15.8
615;Total male and female;Age: 20 to 29 years;Saba;2014;150.0;21.2;20.2;19.6;19.8
616;Total male and female;Age: 20 to 29 years;Saba;2015;150.0;19.4;12.2;17.5;11.9
617;Total male and female;Age: 20 to 29 years;Saba;2016;150.0;18.3;14.2;16.9;13.9
618;Total male and female;Age: 20 to 29 years;Saba;2017;150.0;18.2;14.2;16.9;13.9
619;Total male and female;Age: 20 to 29 years;Saba;2018;150.0;21.0;18.1;19.4;17.4
620;Total male and female;Age: 20 to 29 years;Saba;2019;150.0;23.0;18.1;21.4;17.5
621;Total male and female;Age: 20 to 29 years;Saba;2020;150.0;24.5;19.9;22.8;20.1
622;Total male and female;Age: 20 to 29 years;Saba;2021;150.0;25.6;21.6;23.9;21.2
623;Total male and female;Age: 20 to 29 years;Saba;2022;150.0;27.7;25.2;25.4;23.8
624;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2011;2150.0;27.4;21.5;25.2;20.7
625;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2012;2250.0;28.0;22.2;25.9;21.2
626;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2013;2450.0;29.1;22.8;26.8;21.9
627;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2014;2550.0;29.5;23.3;27.1;22.2
628;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2015;2650.0;30.4;24.2;28.0;23.3
629;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2016;2850.0;30.1;24.0;27.7;23.4
630;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2017;3000.0;31.4;24.6;29.0;23.8
631;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2018;3150.0;31.4;24.9;29.1;24.2
632;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2019;3450.0;30.7;23.9;28.4;23.4
633;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2020;3500.0;31.4;24.1;29.1;23.7
634;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2021;3700.0;32.0;24.7;29.7;24.2
635;Total male and female;Age: 30 to 39 years;Caribbean Netherlands;2022;3850.0;33.7;26.5;30.8;25.6
636;Total male and female;Age: 30 to 39 years;Bonaire;2011;1700.0;25.8;20.3;23.9;19.6
637;Total male and female;Age: 30 to 39 years;Bonaire;2012;1800.0;26.1;20.9;24.2;19.8
638;Total male and female;Age: 30 to 39 years;Bonaire;2013;1900.0;27.2;22.0;25.2;21.1
639;Total male and female;Age: 30 to 39 years;Bonaire;2014;2100.0;27.5;22.1;25.4;21.2
640;Total male and female;Age: 30 to 39 years;Bonaire;2015;2150.0;28.7;23.5;26.4;22.3
641;Total male and female;Age: 30 to 39 years;Bonaire;2016;2300.0;28.4;23.3;26.2;22.7
642;Total male and female;Age: 30 to 39 years;Bonaire;2017;2400.0;29.8;23.8;27.5;23.3
643;Total male and female;Age: 30 to 39 years;Bonaire;2018;2550.0;30.4;24.4;28.2;24.0
644;Total male and female;Age: 30 to 39 years;Bonaire;2019;2800.0;29.7;23.4;27.4;23.1
645;Total male and female;Age: 30 to 39 years;Bonaire;2020;2900.0;30.2;23.4;28.0;23.0
646;Total male and female;Age: 30 to 39 years;Bonaire;2021;3050.0;30.9;23.8;28.7;23.4
647;Total male and female;Age: 30 to 39 years;Bonaire;2022;3200.0;32.6;25.6;29.8;24.9
648;Total male and female;Age: 30 to 39 years;St. Eustatius;2011;300.0;34.6;27.5;31.6;26.0
649;Total male and female;Age: 30 to 39 years;St. Eustatius;2012;300.0;35.8;29.2;32.7;27.1
650;Total male and female;Age: 30 to 39 years;St. Eustatius;2013;300.0;37.5;30.4;34.3;27.8
651;Total male and female;Age: 30 to 39 years;St. Eustatius;2014;300.0;38.4;33.0;35.2;29.6
652;Total male and female;Age: 30 to 39 years;St. Eustatius;2015;300.0;40.2;33.2;37.1;30.4
653;Total male and female;Age: 30 to 39 years;St. Eustatius;2016;350.0;37.8;29.4;35.3;28.4
654;Total male and female;Age: 30 to 39 years;St. Eustatius;2017;400.0;39.4;31.0;37.0;29.0
655;Total male and female;Age: 30 to 39 years;St. Eustatius;2018;400.0;36.3;27.6;34.0;26.1
656;Total male and female;Age: 30 to 39 years;St. Eustatius;2019;450.0;36.7;26.9;34.3;26.2
657;Total male and female;Age: 30 to 39 years;St. Eustatius;2020;400.0;37.3;28.0;34.8;27.2
658;Total male and female;Age: 30 to 39 years;St. Eustatius;2021;400.0;38.5;30.0;35.6;29.1
659;Total male and female;Age: 30 to 39 years;St. Eustatius;2022;400.0;39.0;30.1;36.2;29.0
660;Total male and female;Age: 30 to 39 years;Saba;2011;150.0;31.3;26.3;28.6;24.4
661;Total male and female;Age: 30 to 39 years;Saba;2012;150.0;35.1;30.7;31.8;27.7
662;Total male and female;Age: 30 to 39 years;Saba;2013;200.0;33.7;27.3;30.6;24.7
663;Total male and female;Age: 30 to 39 years;Saba;2014;150.0;37.2;28.6;33.4;27.0
664;Total male and female;Age: 30 to 39 years;Saba;2015;150.0;34.8;27.6;31.2;25.5
665;Total male and female;Age: 30 to 39 years;Saba;2016;200.0;35.4;28.8;31.8;27.7
666;Total male and female;Age: 30 to 39 years;Saba;2017;200.0;35.3;28.0;31.8;26.6
667;Total male and female;Age: 30 to 39 years;Saba;2018;200.0;33.7;27.1;30.9;26.1
668;Total male and female;Age: 30 to 39 years;Saba;2019;200.0;33.0;26.1;30.1;25.1
669;Total male and female;Age: 30 to 39 years;Saba;2020;200.0;36.9;28.0;33.6;26.2
670;Total male and female;Age: 30 to 39 years;Saba;2021;200.0;35.3;28.8;32.5;27.2
671;Total male and female;Age: 30 to 39 years;Saba;2022;250.0;38.4;33.3;35.0;30.8
672;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2011;5350.0;30.5;22.5;28.0;21.2
673;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2012;5450.0;31.9;23.3;29.4;22.1
674;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2013;5750.0;32.2;23.6;29.6;22.5
675;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2014;5900.0;33.2;24.3;30.5;23.2
676;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2015;6000.0;34.4;25.0;31.5;23.8
677;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2016;6300.0;35.6;24.9;31.5;24.0
678;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2017;6450.0;36.9;25.8;32.5;24.8
679;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2018;6600.0;37.1;25.6;32.7;24.4
680;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2019;6800.0;37.1;25.2;32.7;24.2
681;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2020;6950.0;36.6;24.7;32.4;23.9
682;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2021;7050.0;37.2;25.6;33.1;24.5
683;Total male and female;Age: 40 to 59 year;Caribbean Netherlands;2022;7150.0;39.0;27.2;34.4;25.7
684;Total male and female;Age: 40 to 59 year;Bonaire;2011;4350.0;29.0;21.4;26.7;20.5
685;Total male and female;Age: 40 to 59 year;Bonaire;2012;4450.0;30.0;22.0;27.8;21.0
686;Total male and female;Age: 40 to 59 year;Bonaire;2013;4650.0;30.4;22.2;28.0;21.4
687;Total male and female;Age: 40 to 59 year;Bonaire;2014;4750.0;31.5;22.9;28.9;22.0
688;Total male and female;Age: 40 to 59 year;Bonaire;2015;4850.0;32.2;23.8;29.5;22.8
689;Total male and female;Age: 40 to 59 year;Bonaire;2016;5100.0;33.9;23.8;29.7;23.2
690;Total male and female;Age: 40 to 59 year;Bonaire;2017;5250.0;34.9;24.4;30.4;23.5
691;Total male and female;Age: 40 to 59 year;Bonaire;2018;5350.0;35.0;24.2;30.6;23.3
692;Total male and female;Age: 40 to 59 year;Bonaire;2019;5500.0;35.0;24.0;30.6;23.1
693;Total male and female;Age: 40 to 59 year;Bonaire;2020;5650.0;34.7;23.3;30.5;22.6
694;Total male and female;Age: 40 to 59 year;Bonaire;2021;5750.0;35.7;24.2;31.4;23.1
695;Total male and female;Age: 40 to 59 year;Bonaire;2022;5800.0;37.4;25.6;32.6;24.3
696;Total male and female;Age: 40 to 59 year;St. Eustatius;2011;650.0;40.1;30.1;36.6;27.5
697;Total male and female;Age: 40 to 59 year;St. Eustatius;2012;650.0;43.1;33.7;39.3;29.8
698;Total male and female;Age: 40 to 59 year;St. Eustatius;2013;700.0;43.1;34.4;39.3;31.7
699;Total male and female;Age: 40 to 59 year;St. Eustatius;2014;750.0;43.2;34.2;39.3;31.7
700;Total male and female;Age: 40 to 59 year;St. Eustatius;2015;750.0;47.5;36.6;43.3;33.4
701;Total male and female;Age: 40 to 59 year;St. Eustatius;2016;750.0;46.5;34.4;42.7;32.2
702;Total male and female;Age: 40 to 59 year;St. Eustatius;2017;800.0;48.8;40.0;44.9;37.3
703;Total male and female;Age: 40 to 59 year;St. Eustatius;2018;800.0;49.0;37.9;45.0;34.6
704;Total male and female;Age: 40 to 59 year;St. Eustatius;2019;800.0;49.0;38.0;45.1;36.5
705;Total male and female;Age: 40 to 59 year;St. Eustatius;2020;800.0;47.5;36.7;43.2;34.8
706;Total male and female;Age: 40 to 59 year;St. Eustatius;2021;850.0;45.1;33.9;41.8;32.2
707;Total male and female;Age: 40 to 59 year;St. Eustatius;2022;850.0;46.7;36.4;42.9;34.8
708;Total male and female;Age: 40 to 59 year;Saba;2011;350.0;31.4;23.8;28.6;22.2
709;Total male and female;Age: 40 to 59 year;Saba;2012;350.0;34.2;24.7;31.4;23.7
710;Total male and female;Age: 40 to 59 year;Saba;2013;400.0;33.7;25.4;30.8;23.5
711;Total male and female;Age: 40 to 59 year;Saba;2014;400.0;35.4;27.9;32.4;25.8
712;Total male and female;Age: 40 to 59 year;Saba;2015;400.0;37.3;26.9;33.7;24.9
713;Total male and female;Age: 40 to 59 year;Saba;2016;450.0;37.2;28.4;33.6;26.5
714;Total male and female;Age: 40 to 59 year;Saba;2017;450.0;38.7;28.9;34.8;26.7
715;Total male and female;Age: 40 to 59 year;Saba;2018;450.0;41.1;31.8;36.9;29.2
716;Total male and female;Age: 40 to 59 year;Saba;2019;450.0;40.8;31.6;36.6;28.9
717;Total male and female;Age: 40 to 59 year;Saba;2020;450.0;40.3;30.9;36.4;28.6
718;Total male and female;Age: 40 to 59 year;Saba;2021;450.0;41.4;32.8;38.0;30.6
719;Total male and female;Age: 40 to 59 year;Saba;2022;450.0;44.3;34.8;40.5;32.3
720;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2011;2950.0;29.9;22.9;27.6;21.6
721;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2012;2900.0;31.6;23.6;29.3;22.4
722;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2013;2950.0;31.7;23.7;29.2;22.7
723;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2014;2950.0;33.5;24.9;30.7;23.7
724;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2015;2950.0;35.0;25.6;32.0;24.4
725;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2016;3050.0;35.7;25.6;32.0;24.8
726;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2017;3100.0;36.8;26.7;32.7;25.8
727;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2018;3150.0;36.8;26.4;33.0;25.3
728;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2019;3200.0;36.8;25.4;33.0;24.7
729;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2020;3300.0;36.7;25.4;33.0;24.6
730;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2021;3350.0;36.6;25.6;33.0;24.8
731;Total male and female;Age: 40 to 49 years;Caribbean Netherlands;2022;3500.0;38.0;27.2;34.0;26.1
732;Total male and female;Age: 40 to 49 years;Bonaire;2011;2350.0;28.3;21.7;26.2;20.7
733;Total male and female;Age: 40 to 49 years;Bonaire;2012;2350.0;29.6;22.3;27.5;21.3
734;Total male and female;Age: 40 to 49 years;Bonaire;2013;2400.0;29.6;22.4;27.4;21.5
735;Total male and female;Age: 40 to 49 years;Bonaire;2014;2350.0;31.6;23.7;29.1;22.7
736;Total male and female;Age: 40 to 49 years;Bonaire;2015;2300.0;32.6;24.3;29.8;23.4
737;Total male and female;Age: 40 to 49 years;Bonaire;2016;2450.0;34.0;24.7;30.3;24.0
738;Total male and female;Age: 40 to 49 years;Bonaire;2017;2450.0;34.9;25.5;30.7;24.6
739;Total male and female;Age: 40 to 49 years;Bonaire;2018;2500.0;34.6;24.7;30.8;23.8
740;Total male and female;Age: 40 to 49 years;Bonaire;2019;2550.0;34.9;24.5;31.2;23.5
741;Total male and female;Age: 40 to 49 years;Bonaire;2020;2650.0;34.7;23.9;31.1;23.4
742;Total male and female;Age: 40 to 49 years;Bonaire;2021;2700.0;35.1;24.6;31.5;23.7
743;Total male and female;Age: 40 to 49 years;Bonaire;2022;2850.0;36.4;25.5;32.2;24.8
744;Total male and female;Age: 40 to 49 years;St. Eustatius;2011;350.0;39.6;31.8;36.1;28.6
745;Total male and female;Age: 40 to 49 years;St. Eustatius;2012;350.0;43.2;36.0;39.4;32.5
746;Total male and female;Age: 40 to 49 years;St. Eustatius;2013;350.0;43.2;35.3;39.4;32.7
747;Total male and female;Age: 40 to 49 years;St. Eustatius;2014;400.0;43.1;34.8;39.2;32.1
748;Total male and female;Age: 40 to 49 years;St. Eustatius;2015;400.0;47.7;37.5;43.5;34.0
749;Total male and female;Age: 40 to 49 years;St. Eustatius;2016;400.0;45.4;34.4;41.9;32.3
750;Total male and female;Age: 40 to 49 years;St. Eustatius;2017;400.0;48.5;42.8;44.8;40.1
751;Total male and female;Age: 40 to 49 years;St. Eustatius;2018;400.0;48.1;38.8;44.3;35.3
752;Total male and female;Age: 40 to 49 years;St. Eustatius;2019;400.0;45.5;35.9;42.1;35.4
753;Total male and female;Age: 40 to 49 years;St. Eustatius;2020;400.0;46.8;36.7;42.6;34.6
754;Total male and female;Age: 40 to 49 years;St. Eustatius;2021;400.0;42.9;32.3;39.8;31.7
755;Total male and female;Age: 40 to 49 years;St. Eustatius;2022;400.0;45.0;38.2;41.5;35.8
756;Total male and female;Age: 40 to 49 years;Saba;2011;200.0;30.8;23.6;28.2;22.0
757;Total male and female;Age: 40 to 49 years;Saba;2012;200.0;34.4;24.1;31.8;22.6
758;Total male and female;Age: 40 to 49 years;Saba;2013;200.0;34.8;25.5;32.0;24.2
759;Total male and female;Age: 40 to 49 years;Saba;2014;200.0;36.1;28.4;33.1;26.2
760;Total male and female;Age: 40 to 49 years;Saba;2015;250.0;37.9;28.0;34.3;26.8
761;Total male and female;Age: 40 to 49 years;Saba;2016;250.0;37.4;29.6;33.9;27.4
762;Total male and female;Age: 40 to 49 years;Saba;2017;250.0;37.0;29.0;33.5;26.8
763;Total male and female;Age: 40 to 49 years;Saba;2018;250.0;41.4;33.8;37.1;30.1
764;Total male and female;Age: 40 to 49 years;Saba;2019;250.0;41.8;31.1;37.2;29.4
765;Total male and female;Age: 40 to 49 years;Saba;2020;250.0;42.3;30.9;38.1;28.9
766;Total male and female;Age: 40 to 49 years;Saba;2021;250.0;42.8;32.8;39.0;30.6
767;Total male and female;Age: 40 to 49 years;Saba;2022;250.0;45.7;34.5;41.8;32.2
768;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2011;2400.0;31.1;22.1;28.5;21.0
769;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2012;2600.0;32.2;22.8;29.6;21.7
770;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2013;2750.0;32.7;23.2;30.0;22.1
771;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2014;2950.0;32.9;23.7;30.2;22.5
772;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2015;3100.0;33.9;24.4;31.0;23.2
773;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2016;3250.0;35.6;24.0;31.1;23.2
774;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2017;3400.0;37.0;25.2;32.4;23.8
775;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2018;3450.0;37.3;24.9;32.4;23.8
776;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2019;3600.0;37.3;25.0;32.4;24.0
777;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2020;3650.0;36.4;24.1;31.9;23.2
778;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2021;3650.0;37.8;25.5;33.1;23.9
779;Total male and female;Age: 50 to 59 years;Caribbean Netherlands;2022;3600.0;39.9;27.1;34.7;25.1
780;Total male and female;Age: 50 to 59 years;Bonaire;2011;2000.0;29.7;20.9;27.3;20.0
781;Total male and female;Age: 50 to 59 years;Bonaire;2012;2100.0;30.4;21.4;28.0;20.4
782;Total male and female;Age: 50 to 59 years;Bonaire;2013;2250.0;31.2;21.9;28.7;21.1
783;Total male and female;Age: 50 to 59 years;Bonaire;2014;2450.0;31.3;22.0;28.8;21.4
784;Total male and female;Age: 50 to 59 years;Bonaire;2015;2550.0;31.7;23.1;29.1;22.2
785;Total male and female;Age: 50 to 59 years;Bonaire;2016;2650.0;33.7;23.2;29.1;22.4
786;Total male and female;Age: 50 to 59 years;Bonaire;2017;2800.0;35.0;23.7;30.2;23.2
787;Total male and female;Age: 50 to 59 years;Bonaire;2018;2850.0;35.3;23.8;30.3;23.2
788;Total male and female;Age: 50 to 59 years;Bonaire;2019;3000.0;35.1;23.6;30.1;22.7
789;Total male and female;Age: 50 to 59 years;Bonaire;2020;3050.0;34.7;22.8;30.1;22.2
790;Total male and female;Age: 50 to 59 years;Bonaire;2021;3000.0;36.3;23.9;31.4;22.6
791;Total male and female;Age: 50 to 59 years;Bonaire;2022;2950.0;38.4;25.8;33.0;23.6
792;Total male and female;Age: 50 to 59 years;St. Eustatius;2011;300.0;40.7;27.8;37.2;25.2
793;Total male and female;Age: 50 to 59 years;St. Eustatius;2012;300.0;42.9;30.5;39.2;28.3
794;Total male and female;Age: 50 to 59 years;St. Eustatius;2013;350.0;43.0;32.2;39.3;29.5
795;Total male and female;Age: 50 to 59 years;St. Eustatius;2014;350.0;43.3;33.7;39.4;31.3
796;Total male and female;Age: 50 to 59 years;St. Eustatius;2015;350.0;47.3;35.2;43.0;32.7
797;Total male and female;Age: 50 to 59 years;St. Eustatius;2016;400.0;47.6;34.5;43.6;32.2
798;Total male and female;Age: 50 to 59 years;St. Eustatius;2017;400.0;49.0;37.8;45.1;34.4
799;Total male and female;Age: 50 to 59 years;St. Eustatius;2018;400.0;50.0;36.9;45.7;33.6
800;Total male and female;Age: 50 to 59 years;St. Eustatius;2019;400.0;52.5;40.6;48.2;38.3
801;Total male and female;Age: 50 to 59 years;St. Eustatius;2020;400.0;48.3;36.8;43.8;35.0
802;Total male and female;Age: 50 to 59 years;St. Eustatius;2021;400.0;47.4;34.4;43.7;33.1
803;Total male and female;Age: 50 to 59 years;St. Eustatius;2022;400.0;48.4;35.4;44.3;33.5
804;Total male and female;Age: 50 to 59 years;Saba;2011;150.0;32.2;24.5;29.1;22.7
805;Total male and female;Age: 50 to 59 years;Saba;2012;150.0;34.0;27.0;31.0;24.3
806;Total male and female;Age: 50 to 59 years;Saba;2013;200.0;32.5;25.1;29.5;23.1
807;Total male and female;Age: 50 to 59 years;Saba;2014;200.0;34.7;25.4;31.6;23.6
808;Total male and female;Age: 50 to 59 years;Saba;2015;200.0;36.4;24.0;32.9;23.2
809;Total male and female;Age: 50 to 59 years;Saba;2016;200.0;37.0;27.2;33.3;25.3
810;Total male and female;Age: 50 to 59 years;Saba;2017;200.0;40.8;28.6;36.5;26.7
811;Total male and female;Age: 50 to 59 years;Saba;2018;200.0;40.7;30.5;36.6;27.5
812;Total male and female;Age: 50 to 59 years;Saba;2019;200.0;39.6;31.8;35.9;28.6
813;Total male and female;Age: 50 to 59 years;Saba;2020;250.0;38.1;30.9;34.6;28.3
814;Total male and female;Age: 50 to 59 years;Saba;2021;250.0;39.9;33.0;36.9;30.6
815;Total male and female;Age: 50 to 59 years;Saba;2022;250.0;43.0;34.9;39.3;32.4
816;Total male and female;Age: 60 years or older;Caribbean Netherlands;2011;2850.0;20.3;9.2;19.8;9.2
817;Total male and female;Age: 60 years or older;Caribbean Netherlands;2012;3050.0;21.1;10.6;20.6;10.6
818;Total male and female;Age: 60 years or older;Caribbean Netherlands;2013;3250.0;21.7;11.8;21.2;11.7
819;Total male and female;Age: 60 years or older;Caribbean Netherlands;2014;3350.0;22.2;12.2;21.6;12.2
820;Total male and female;Age: 60 years or older;Caribbean Netherlands;2015;3550.0;22.3;12.4;21.6;12.4
821;Total male and female;Age: 60 years or older;Caribbean Netherlands;2016;3750.0;25.2;14.1;22.7;13.5
822;Total male and female;Age: 60 years or older;Caribbean Netherlands;2017;3950.0;26.1;14.7;23.3;14.0
823;Total male and female;Age: 60 years or older;Caribbean Netherlands;2018;4200.0;26.4;15.3;23.6;14.8
824;Total male and female;Age: 60 years or older;Caribbean Netherlands;2019;4450.0;26.8;15.8;23.9;15.3
825;Total male and female;Age: 60 years or older;Caribbean Netherlands;2020;4700.0;27.4;16.2;24.4;15.7
826;Total male and female;Age: 60 years or older;Caribbean Netherlands;2021;4900.0;27.5;15.9;24.5;15.5
