ID;SectorBranches;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1;BusinessAgeInEventOfBankruptcy_2;EmployeesInEventOfBankruptcy_3
648;E Water supply and waste management;Companies and institutions;2016 4th quarter;4;9.9;9.0
649;E Water supply and waste management;Companies and institutions;2016;20;9.2;89.0
650;E Water supply and waste management;Companies and institutions;2017 1st quarter;2;7.6;1.0
651;E Water supply and waste management;Companies and institutions;2017 2nd quarter;5;8.1;19.0
652;E Water supply and waste management;Companies and institutions;2017 3rd quarter;2;11.8;5.0
653;E Water supply and waste management;Companies and institutions;2017 4th quarter;1;1.3;0.0
654;E Water supply and waste management;Companies and institutions;2017;10;8.1;25.0
655;E Water supply and waste management;Companies and institutions;2018 1st quarter;6;16.3;28.0
656;E Water supply and waste management;Companies and institutions;2018 2nd quarter;0;;
657;E Water supply and waste management;Companies and institutions;2018 3rd quarter;9;5.2;14.0
658;E Water supply and waste management;Companies and institutions;2018 4th quarter;3;1.6;13.0
659;E Water supply and waste management;Companies and institutions;2018;18;8.3;56.0
660;E Water supply and waste management;Companies and institutions;2019 1st quarter;4;10.3;14.0
661;E Water supply and waste management;Companies and institutions;2019 2nd quarter;3;5.8;15.0
662;E Water supply and waste management;Companies and institutions;2019 3rd quarter;4;23.1;64.0
663;E Water supply and waste management;Companies and institutions;2019 4th quarter;6;3.8;10.0
664;E Water supply and waste management;Companies and institutions;2019;17;10.6;103.0
665;E Water supply and waste management;Companies and institutions;2020 1st quarter;2;6.8;11.0
666;E Water supply and waste management;Companies and institutions;2020 2nd quarter;4;6.8;8.0
667;E Water supply and waste management;Companies and institutions;2020 3rd quarter;1;1.2;0.0
668;E Water supply and waste management;Companies and institutions;2020 4th quarter;2;5.3;2.0
669;E Water supply and waste management;Companies and institutions;2020;9;5.6;21.0
670;E Water supply and waste management;Companies and institutions;2021 1st quarter;3;7.2;2.0
671;E Water supply and waste management;Companies and institutions;2021 2nd quarter;1;1.8;10.0
672;E Water supply and waste management;Companies and institutions;2021 3rd quarter;1;8.9;4.0
673;E Water supply and waste management;Companies and institutions;2021 4th quarter;3;6.2;7.0
674;E Water supply and waste management;Companies and institutions;2021;8;6.4;22.0
675;E Water supply and waste management;Companies and institutions;2022 1st quarter;0;;
676;E Water supply and waste management;Companies and institutions;2022 2nd quarter;1;3.0;3.0
677;E Water supply and waste management;Companies and institutions;2022 3rd quarter;0;;
678;E Water supply and waste management;Companies and institutions;2022 4th quarter;3;9.2;56.0
679;E Water supply and waste management;Companies and institutions;2022;4;7.6;59.0
680;E Water supply and waste management;Natural persons with sole proprietorship;2015 1st quarter;1;4.3;1.0
681;E Water supply and waste management;Natural persons with sole proprietorship;2015 2nd quarter;0;;
682;E Water supply and waste management;Natural persons with sole proprietorship;2015 3rd quarter;1;9.9;1.0
683;E Water supply and waste management;Natural persons with sole proprietorship;2015 4th quarter;1;6.5;1.0
684;E Water supply and waste management;Natural persons with sole proprietorship;2015;3;6.9;3.0
685;E Water supply and waste management;Natural persons with sole proprietorship;2016 1st quarter;0;;
686;E Water supply and waste management;Natural persons with sole proprietorship;2016 2nd quarter;0;;
687;E Water supply and waste management;Natural persons with sole proprietorship;2016 3rd quarter;0;;
688;E Water supply and waste management;Natural persons with sole proprietorship;2016 4th quarter;0;;
689;E Water supply and waste management;Natural persons with sole proprietorship;2016;0;;
690;E Water supply and waste management;Natural persons with sole proprietorship;2017 1st quarter;0;;
691;E Water supply and waste management;Natural persons with sole proprietorship;2017 2nd quarter;0;;
692;E Water supply and waste management;Natural persons with sole proprietorship;2017 3rd quarter;0;;
693;E Water supply and waste management;Natural persons with sole proprietorship;2017 4th quarter;0;;
694;E Water supply and waste management;Natural persons with sole proprietorship;2017;0;;
695;E Water supply and waste management;Natural persons with sole proprietorship;2018 1st quarter;0;;
696;E Water supply and waste management;Natural persons with sole proprietorship;2018 2nd quarter;0;;
697;E Water supply and waste management;Natural persons with sole proprietorship;2018 3rd quarter;0;;
698;E Water supply and waste management;Natural persons with sole proprietorship;2018 4th quarter;0;;
699;E Water supply and waste management;Natural persons with sole proprietorship;2018;0;;
700;E Water supply and waste management;Natural persons with sole proprietorship;2019 1st quarter;1;1.8;1.0
701;E Water supply and waste management;Natural persons with sole proprietorship;2019 2nd quarter;0;;
702;E Water supply and waste management;Natural persons with sole proprietorship;2019 3rd quarter;0;;
703;E Water supply and waste management;Natural persons with sole proprietorship;2019 4th quarter;1;5.1;3.0
704;E Water supply and waste management;Natural persons with sole proprietorship;2019;2;3.5;4.0
705;E Water supply and waste management;Natural persons with sole proprietorship;2020 1st quarter;0;;
706;E Water supply and waste management;Natural persons with sole proprietorship;2020 2nd quarter;0;;
707;E Water supply and waste management;Natural persons with sole proprietorship;2020 3rd quarter;0;;
708;E Water supply and waste management;Natural persons with sole proprietorship;2020 4th quarter;0;;
709;E Water supply and waste management;Natural persons with sole proprietorship;2020;0;;
710;E Water supply and waste management;Natural persons with sole proprietorship;2021 1st quarter;0;;
711;E Water supply and waste management;Natural persons with sole proprietorship;2021 2nd quarter;1;5.1;1.0
712;E Water supply and waste management;Natural persons with sole proprietorship;2021 3rd quarter;0;;
713;E Water supply and waste management;Natural persons with sole proprietorship;2021 4th quarter;0;;
714;E Water supply and waste management;Natural persons with sole proprietorship;2021;1;5.1;1.0
715;E Water supply and waste management;Natural persons with sole proprietorship;2022 1st quarter;1;3.3;1.0
716;E Water supply and waste management;Natural persons with sole proprietorship;2022 2nd quarter;0;;
717;E Water supply and waste management;Natural persons with sole proprietorship;2022 3rd quarter;0;;
718;E Water supply and waste management;Natural persons with sole proprietorship;2022 4th quarter;0;;
719;E Water supply and waste management;Natural persons with sole proprietorship;2022;1;3.3;1.0
720;F Construction;Total entities with/without legal pers.;2015 1st quarter;246;11.9;1519.0
721;F Construction;Total entities with/without legal pers.;2015 2nd quarter;203;11.1;912.0
722;F Construction;Total entities with/without legal pers.;2015 3rd quarter;154;12.8;2946.0
723;F Construction;Total entities with/without legal pers.;2015 4th quarter;201;12.8;1386.0
724;F Construction;Total entities with/without legal pers.;2015;804;12.1;6764.0
725;F Construction;Total entities with/without legal pers.;2016 1st quarter;155;12.5;1056.0
726;F Construction;Total entities with/without legal pers.;2016 2nd quarter;139;12.0;765.0
727;F Construction;Total entities with/without legal pers.;2016 3rd quarter;133;9.8;359.0
728;F Construction;Total entities with/without legal pers.;2016 4th quarter;112;9.6;455.0
729;F Construction;Total entities with/without legal pers.;2016;539;11.1;2634.0
730;F Construction;Total entities with/without legal pers.;2017 1st quarter;143;11.2;704.0
731;F Construction;Total entities with/without legal pers.;2017 2nd quarter;125;10.4;605.0
732;F Construction;Total entities with/without legal pers.;2017 3rd quarter;97;9.2;319.0
733;F Construction;Total entities with/without legal pers.;2017 4th quarter;104;9.6;403.0
734;F Construction;Total entities with/without legal pers.;2017;469;10.2;2030.0
735;F Construction;Total entities with/without legal pers.;2018 1st quarter;108;10.5;248.0
736;F Construction;Total entities with/without legal pers.;2018 2nd quarter;103;9.5;472.0
737;F Construction;Total entities with/without legal pers.;2018 3rd quarter;120;8.5;383.0
738;F Construction;Total entities with/without legal pers.;2018 4th quarter;121;9.0;519.0
739;F Construction;Total entities with/without legal pers.;2018;452;9.4;1623.0
740;F Construction;Total entities with/without legal pers.;2019 1st quarter;116;6.6;343.0
741;F Construction;Total entities with/without legal pers.;2019 2nd quarter;115;6.4;255.0
742;F Construction;Total entities with/without legal pers.;2019 3rd quarter;134;8.0;389.0
743;F Construction;Total entities with/without legal pers.;2019 4th quarter;142;8.4;682.0
744;F Construction;Total entities with/without legal pers.;2019;507;7.4;1670.0
745;F Construction;Total entities with/without legal pers.;2020 1st quarter;125;7.9;438.0
746;F Construction;Total entities with/without legal pers.;2020 2nd quarter;117;8.3;280.0
747;F Construction;Total entities with/without legal pers.;2020 3rd quarter;95;9.0;542.0
748;F Construction;Total entities with/without legal pers.;2020 4th quarter;101;8.2;597.0
749;F Construction;Total entities with/without legal pers.;2020;438;8.3;1858.0
750;F Construction;Total entities with/without legal pers.;2021 1st quarter;81;6.8;214.0
751;F Construction;Total entities with/without legal pers.;2021 2nd quarter;78;8.4;305.0
752;F Construction;Total entities with/without legal pers.;2021 3rd quarter;72;6.7;133.0
753;F Construction;Total entities with/without legal pers.;2021 4th quarter;86;7.0;273.0
754;F Construction;Total entities with/without legal pers.;2021;317;7.2;925.0
755;F Construction;Total entities with/without legal pers.;2022 1st quarter;81;5.7;186.0
756;F Construction;Total entities with/without legal pers.;2022 2nd quarter;76;5.5;150.0
757;F Construction;Total entities with/without legal pers.;2022 3rd quarter;88;7.6;414.0
758;F Construction;Total entities with/without legal pers.;2022 4th quarter;96;5.9;297.0
759;F Construction;Total entities with/without legal pers.;2022;341;6.2;1047.0
760;F Construction;Companies and institutions;2015 1st quarter;193;12.7;1419.0
761;F Construction;Companies and institutions;2015 2nd quarter;155;11.5;838.0
762;F Construction;Companies and institutions;2015 3rd quarter;103;14.8;2847.0
763;F Construction;Companies and institutions;2015 4th quarter;160;13.8;1316.0
764;F Construction;Companies and institutions;2015;611;13.0;6421.0
765;F Construction;Companies and institutions;2016 1st quarter;119;14.1;998.0
766;F Construction;Companies and institutions;2016 2nd quarter;104;14.1;713.0
767;F Construction;Companies and institutions;2016 3rd quarter;104;9.8;313.0
768;F Construction;Companies and institutions;2016 4th quarter;84;10.8;422.0
769;F Construction;Companies and institutions;2016;411;12.3;2446.0
770;F Construction;Companies and institutions;2017 1st quarter;98;12.3;638.0
771;F Construction;Companies and institutions;2017 2nd quarter;93;11.9;560.0
772;F Construction;Companies and institutions;2017 3rd quarter;64;10.2;255.0
773;F Construction;Companies and institutions;2017 4th quarter;72;9.2;361.0
774;F Construction;Companies and institutions;2017;327;11.1;1815.0
775;F Construction;Companies and institutions;2018 1st quarter;67;11.3;201.0
776;F Construction;Companies and institutions;2018 2nd quarter;70;9.9;433.0
777;F Construction;Companies and institutions;2018 3rd quarter;81;9.4;340.0
778;F Construction;Companies and institutions;2018 4th quarter;88;9.4;479.0
779;F Construction;Companies and institutions;2018;306;9.9;1454.0
780;F Construction;Companies and institutions;2019 1st quarter;64;7.5;258.0
781;F Construction;Companies and institutions;2019 2nd quarter;66;7.8;195.0
782;F Construction;Companies and institutions;2019 3rd quarter;79;9.5;318.0
783;F Construction;Companies and institutions;2019 4th quarter;82;10.1;543.0
784;F Construction;Companies and institutions;2019;291;8.8;1315.0
785;F Construction;Companies and institutions;2020 1st quarter;68;9.9;358.0
786;F Construction;Companies and institutions;2020 2nd quarter;70;9.6;225.0
787;F Construction;Companies and institutions;2020 3rd quarter;64;9.6;503.0
788;F Construction;Companies and institutions;2020 4th quarter;51;6.2;537.0
789;F Construction;Companies and institutions;2020;253;9.0;1623.0
790;F Construction;Companies and institutions;2021 1st quarter;48;8.3;165.0
791;F Construction;Companies and institutions;2021 2nd quarter;46;8.8;263.0
792;F Construction;Companies and institutions;2021 3rd quarter;43;7.6;88.0
793;F Construction;Companies and institutions;2021 4th quarter;61;7.3;238.0
794;F Construction;Companies and institutions;2021;198;8.0;753.0
795;F Construction;Companies and institutions;2022 1st quarter;49;7.2;145.0
796;F Construction;Companies and institutions;2022 2nd quarter;39;5.2;110.0
797;F Construction;Companies and institutions;2022 3rd quarter;62;7.8;387.0
798;F Construction;Companies and institutions;2022 4th quarter;59;6.2;239.0
799;F Construction;Companies and institutions;2022;209;6.7;882.0
800;F Construction;Natural persons with sole proprietorship;2015 1st quarter;53;8.7;100.0
801;F Construction;Natural persons with sole proprietorship;2015 2nd quarter;48;9.8;74.0
802;F Construction;Natural persons with sole proprietorship;2015 3rd quarter;51;8.7;99.0
803;F Construction;Natural persons with sole proprietorship;2015 4th quarter;41;8.8;70.0
804;F Construction;Natural persons with sole proprietorship;2015;193;9.0;343.0
805;F Construction;Natural persons with sole proprietorship;2016 1st quarter;36;7.1;57.0
806;F Construction;Natural persons with sole proprietorship;2016 2nd quarter;35;5.7;52.0
807;F Construction;Natural persons with sole proprietorship;2016 3rd quarter;29;9.9;46.0
808;F Construction;Natural persons with sole proprietorship;2016 4th quarter;28;6.0;33.0
809;F Construction;Natural persons with sole proprietorship;2016;128;7.1;188.0
810;F Construction;Natural persons with sole proprietorship;2017 1st quarter;45;8.7;65.0
811;F Construction;Natural persons with sole proprietorship;2017 2nd quarter;32;5.7;44.0
812;F Construction;Natural persons with sole proprietorship;2017 3rd quarter;33;7.3;64.0
813;F Construction;Natural persons with sole proprietorship;2017 4th quarter;32;10.6;42.0
814;F Construction;Natural persons with sole proprietorship;2017;142;8.1;215.0
815;F Construction;Natural persons with sole proprietorship;2018 1st quarter;41;9.3;47.0
816;F Construction;Natural persons with sole proprietorship;2018 2nd quarter;33;8.7;39.0
817;F Construction;Natural persons with sole proprietorship;2018 3rd quarter;39;6.8;42.0
818;F Construction;Natural persons with sole proprietorship;2018 4th quarter;33;8.0;40.0
819;F Construction;Natural persons with sole proprietorship;2018;146;8.2;169.0
820;F Construction;Natural persons with sole proprietorship;2019 1st quarter;52;5.5;85.0
821;F Construction;Natural persons with sole proprietorship;2019 2nd quarter;49;4.6;60.0
822;F Construction;Natural persons with sole proprietorship;2019 3rd quarter;55;5.8;71.0
823;F Construction;Natural persons with sole proprietorship;2019 4th quarter;60;6.1;140.0
824;F Construction;Natural persons with sole proprietorship;2019;216;5.5;356.0
825;F Construction;Natural persons with sole proprietorship;2020 1st quarter;57;5.5;80.0
826;F Construction;Natural persons with sole proprietorship;2020 2nd quarter;47;6.5;55.0
827;F Construction;Natural persons with sole proprietorship;2020 3rd quarter;31;8.0;39.0
828;F Construction;Natural persons with sole proprietorship;2020 4th quarter;50;10.1;60.0
829;F Construction;Natural persons with sole proprietorship;2020;185;7.4;234.0
830;F Construction;Natural persons with sole proprietorship;2021 1st quarter;33;4.7;49.0
831;F Construction;Natural persons with sole proprietorship;2021 2nd quarter;32;7.9;42.0
832;F Construction;Natural persons with sole proprietorship;2021 3rd quarter;29;5.4;45.0
833;F Construction;Natural persons with sole proprietorship;2021 4th quarter;25;6.1;36.0
834;F Construction;Natural persons with sole proprietorship;2021;119;6.0;172.0
835;F Construction;Natural persons with sole proprietorship;2022 1st quarter;32;3.5;40.0
836;F Construction;Natural persons with sole proprietorship;2022 2nd quarter;37;5.8;40.0
837;F Construction;Natural persons with sole proprietorship;2022 3rd quarter;26;7.0;27.0
838;F Construction;Natural persons with sole proprietorship;2022 4th quarter;37;5.5;58.0
839;F Construction;Natural persons with sole proprietorship;2022;132;5.4;165.0
840;G Wholesale and retail trade;Total entities with/without legal pers.;2015 1st quarter;378;10.2;2123.0
841;G Wholesale and retail trade;Total entities with/without legal pers.;2015 2nd quarter;311;10.5;2730.0
842;G Wholesale and retail trade;Total entities with/without legal pers.;2015 3rd quarter;299;10.5;1184.0
843;G Wholesale and retail trade;Total entities with/without legal pers.;2015 4th quarter;297;10.7;4417.0
844;G Wholesale and retail trade;Total entities with/without legal pers.;2015;1285;10.5;10455.0
845;G Wholesale and retail trade;Total entities with/without legal pers.;2016 1st quarter;352;11.9;4526.0
846;G Wholesale and retail trade;Total entities with/without legal pers.;2016 2nd quarter;277;10.1;2051.0
847;G Wholesale and retail trade;Total entities with/without legal pers.;2016 3rd quarter;233;10.5;1366.0
848;G Wholesale and retail trade;Total entities with/without legal pers.;2016 4th quarter;253;9.6;690.0
849;G Wholesale and retail trade;Total entities with/without legal pers.;2016;1115;10.7;8633.0
850;G Wholesale and retail trade;Total entities with/without legal pers.;2017 1st quarter;256;9.3;2286.0
851;G Wholesale and retail trade;Total entities with/without legal pers.;2017 2nd quarter;188;11.7;606.0
852;G Wholesale and retail trade;Total entities with/without legal pers.;2017 3rd quarter;210;8.0;1149.0
853;G Wholesale and retail trade;Total entities with/without legal pers.;2017 4th quarter;190;9.9;655.0
854;G Wholesale and retail trade;Total entities with/without legal pers.;2017;844;9.6;4696.0
855;G Wholesale and retail trade;Total entities with/without legal pers.;2018 1st quarter;197;9.9;964.0
856;G Wholesale and retail trade;Total entities with/without legal pers.;2018 2nd quarter;208;10.3;1170.0
857;G Wholesale and retail trade;Total entities with/without legal pers.;2018 3rd quarter;185;8.6;1015.0
858;G Wholesale and retail trade;Total entities with/without legal pers.;2018 4th quarter;202;8.4;575.0
859;G Wholesale and retail trade;Total entities with/without legal pers.;2018;792;9.3;3725.0
860;G Wholesale and retail trade;Total entities with/without legal pers.;2019 1st quarter;206;11.0;3858.0
861;G Wholesale and retail trade;Total entities with/without legal pers.;2019 2nd quarter;203;9.5;1439.0
862;G Wholesale and retail trade;Total entities with/without legal pers.;2019 3rd quarter;226;10.2;927.0
863;G Wholesale and retail trade;Total entities with/without legal pers.;2019 4th quarter;213;10.4;2278.0
864;G Wholesale and retail trade;Total entities with/without legal pers.;2019;848;10.3;8502.0
865;G Wholesale and retail trade;Total entities with/without legal pers.;2020 1st quarter;198;12.0;992.0
866;G Wholesale and retail trade;Total entities with/without legal pers.;2020 2nd quarter;222;11.4;1346.0
867;G Wholesale and retail trade;Total entities with/without legal pers.;2020 3rd quarter;144;9.9;1216.0
868;G Wholesale and retail trade;Total entities with/without legal pers.;2020 4th quarter;109;10.6;363.0
869;G Wholesale and retail trade;Total entities with/without legal pers.;2020;673;11.1;3918.0
870;G Wholesale and retail trade;Total entities with/without legal pers.;2021 1st quarter;97;9.0;186.0
871;G Wholesale and retail trade;Total entities with/without legal pers.;2021 2nd quarter;83;7.8;328.0
872;G Wholesale and retail trade;Total entities with/without legal pers.;2021 3rd quarter;63;9.2;144.0
873;G Wholesale and retail trade;Total entities with/without legal pers.;2021 4th quarter;88;6.8;263.0
874;G Wholesale and retail trade;Total entities with/without legal pers.;2021;331;8.1;921.0
875;G Wholesale and retail trade;Total entities with/without legal pers.;2022 1st quarter;86;7.6;797.0
876;G Wholesale and retail trade;Total entities with/without legal pers.;2022 2nd quarter;105;7.6;565.0
877;G Wholesale and retail trade;Total entities with/without legal pers.;2022 3rd quarter;100;8.8;660.0
878;G Wholesale and retail trade;Total entities with/without legal pers.;2022 4th quarter;137;9.1;622.0
879;G Wholesale and retail trade;Total entities with/without legal pers.;2022;428;8.4;2644.0
880;G Wholesale and retail trade;Companies and institutions;2015 1st quarter;335;10.4;2059.0
881;G Wholesale and retail trade;Companies and institutions;2015 2nd quarter;268;10.6;2627.0
882;G Wholesale and retail trade;Companies and institutions;2015 3rd quarter;261;10.0;1112.0
883;G Wholesale and retail trade;Companies and institutions;2015 4th quarter;254;10.7;4344.0
884;G Wholesale and retail trade;Companies and institutions;2015;1118;10.4;10142.0
885;G Wholesale and retail trade;Companies and institutions;2016 1st quarter;312;11.5;4455.0
886;G Wholesale and retail trade;Companies and institutions;2016 2nd quarter;234;10.5;1997.0
887;G Wholesale and retail trade;Companies and institutions;2016 3rd quarter;194;11.2;1302.0
888;G Wholesale and retail trade;Companies and institutions;2016 4th quarter;212;9.8;599.0
889;G Wholesale and retail trade;Companies and institutions;2016;952;10.8;8353.0
890;G Wholesale and retail trade;Companies and institutions;2017 1st quarter;209;9.6;2185.0
891;G Wholesale and retail trade;Companies and institutions;2017 2nd quarter;153;12.0;541.0
892;G Wholesale and retail trade;Companies and institutions;2017 3rd quarter;172;7.8;1087.0
893;G Wholesale and retail trade;Companies and institutions;2017 4th quarter;159;10.5;597.0
894;G Wholesale and retail trade;Companies and institutions;2017;693;9.9;4410.0
895;G Wholesale and retail trade;Companies and institutions;2018 1st quarter;166;10.3;904.0
896;G Wholesale and retail trade;Companies and institutions;2018 2nd quarter;184;10.6;1132.0
897;G Wholesale and retail trade;Companies and institutions;2018 3rd quarter;157;8.5;972.0
898;G Wholesale and retail trade;Companies and institutions;2018 4th quarter;180;8.1;534.0
899;G Wholesale and retail trade;Companies and institutions;2018;687;9.4;3543.0
900;G Wholesale and retail trade;Companies and institutions;2019 1st quarter;180;10.6;3800.0
901;G Wholesale and retail trade;Companies and institutions;2019 2nd quarter;170;9.9;1379.0
902;G Wholesale and retail trade;Companies and institutions;2019 3rd quarter;199;9.9;874.0
903;G Wholesale and retail trade;Companies and institutions;2019 4th quarter;181;10.2;2228.0
904;G Wholesale and retail trade;Companies and institutions;2019;730;10.2;8281.0
905;G Wholesale and retail trade;Companies and institutions;2020 1st quarter;169;11.8;943.0
906;G Wholesale and retail trade;Companies and institutions;2020 2nd quarter;198;11.2;1305.0
907;G Wholesale and retail trade;Companies and institutions;2020 3rd quarter;119;10.7;1182.0
908;G Wholesale and retail trade;Companies and institutions;2020 4th quarter;95;11.1;344.0
909;G Wholesale and retail trade;Companies and institutions;2020;581;11.3;3775.0
910;G Wholesale and retail trade;Companies and institutions;2021 1st quarter;83;9.4;168.0
911;G Wholesale and retail trade;Companies and institutions;2021 2nd quarter;73;8.2;317.0
912;G Wholesale and retail trade;Companies and institutions;2021 3rd quarter;58;9.7;138.0
913;G Wholesale and retail trade;Companies and institutions;2021 4th quarter;75;6.8;244.0
914;G Wholesale and retail trade;Companies and institutions;2021;289;8.5;866.0
915;G Wholesale and retail trade;Companies and institutions;2022 1st quarter;81;7.8;788.0
916;G Wholesale and retail trade;Companies and institutions;2022 2nd quarter;86;8.0;532.0
917;G Wholesale and retail trade;Companies and institutions;2022 3rd quarter;90;8.6;638.0
918;G Wholesale and retail trade;Companies and institutions;2022 4th quarter;120;9.8;583.0
919;G Wholesale and retail trade;Companies and institutions;2022;377;8.7;2541.0
920;G Wholesale and retail trade;Natural persons with sole proprietorship;2015 1st quarter;43;8.6;64.0
921;G Wholesale and retail trade;Natural persons with sole proprietorship;2015 2nd quarter;43;9.9;103.0
922;G Wholesale and retail trade;Natural persons with sole proprietorship;2015 3rd quarter;38;14.4;72.0
923;G Wholesale and retail trade;Natural persons with sole proprietorship;2015 4th quarter;43;10.8;73.0
924;G Wholesale and retail trade;Natural persons with sole proprietorship;2015;167;10.8;313.0
925;G Wholesale and retail trade;Natural persons with sole proprietorship;2016 1st quarter;40;15.7;72.0
926;G Wholesale and retail trade;Natural persons with sole proprietorship;2016 2nd quarter;43;8.2;54.0
927;G Wholesale and retail trade;Natural persons with sole proprietorship;2016 3rd quarter;39;7.2;64.0
928;G Wholesale and retail trade;Natural persons with sole proprietorship;2016 4th quarter;41;9.0;90.0
929;G Wholesale and retail trade;Natural persons with sole proprietorship;2016;163;10.0;280.0
930;G Wholesale and retail trade;Natural persons with sole proprietorship;2017 1st quarter;47;7.9;101.0
931;G Wholesale and retail trade;Natural persons with sole proprietorship;2017 2nd quarter;35;10.4;66.0
932;G Wholesale and retail trade;Natural persons with sole proprietorship;2017 3rd quarter;38;9.2;62.0
933;G Wholesale and retail trade;Natural persons with sole proprietorship;2017 4th quarter;31;6.4;58.0
934;G Wholesale and retail trade;Natural persons with sole proprietorship;2017;151;8.5;286.0
935;G Wholesale and retail trade;Natural persons with sole proprietorship;2018 1st quarter;31;7.6;60.0
936;G Wholesale and retail trade;Natural persons with sole proprietorship;2018 2nd quarter;24;7.9;38.0
937;G Wholesale and retail trade;Natural persons with sole proprietorship;2018 3rd quarter;28;9.4;44.0
938;G Wholesale and retail trade;Natural persons with sole proprietorship;2018 4th quarter;22;10.7;41.0
939;G Wholesale and retail trade;Natural persons with sole proprietorship;2018;105;8.8;182.0
940;G Wholesale and retail trade;Natural persons with sole proprietorship;2019 1st quarter;26;13.8;58.0
941;G Wholesale and retail trade;Natural persons with sole proprietorship;2019 2nd quarter;33;7.2;61.0
942;G Wholesale and retail trade;Natural persons with sole proprietorship;2019 3rd quarter;27;12.2;53.0
943;G Wholesale and retail trade;Natural persons with sole proprietorship;2019 4th quarter;32;11.8;50.0
944;G Wholesale and retail trade;Natural persons with sole proprietorship;2019;118;11.0;221.0
945;G Wholesale and retail trade;Natural persons with sole proprietorship;2020 1st quarter;29;12.7;49.0
946;G Wholesale and retail trade;Natural persons with sole proprietorship;2020 2nd quarter;24;12.8;41.0
947;G Wholesale and retail trade;Natural persons with sole proprietorship;2020 3rd quarter;25;6.6;34.0
948;G Wholesale and retail trade;Natural persons with sole proprietorship;2020 4th quarter;14;7.6;19.0
949;G Wholesale and retail trade;Natural persons with sole proprietorship;2020;92;10.3;143.0
950;G Wholesale and retail trade;Natural persons with sole proprietorship;2021 1st quarter;14;6.8;18.0
951;G Wholesale and retail trade;Natural persons with sole proprietorship;2021 2nd quarter;10;4.7;11.0
952;G Wholesale and retail trade;Natural persons with sole proprietorship;2021 3rd quarter;5;3.2;6.0
953;G Wholesale and retail trade;Natural persons with sole proprietorship;2021 4th quarter;13;6.3;19.0
954;G Wholesale and retail trade;Natural persons with sole proprietorship;2021;42;5.7;54.0
955;G Wholesale and retail trade;Natural persons with sole proprietorship;2022 1st quarter;5;3.8;8.0
956;G Wholesale and retail trade;Natural persons with sole proprietorship;2022 2nd quarter;19;5.9;33.0
957;G Wholesale and retail trade;Natural persons with sole proprietorship;2022 3rd quarter;10;10.9;22.0
958;G Wholesale and retail trade;Natural persons with sole proprietorship;2022 4th quarter;17;4.2;39.0
959;G Wholesale and retail trade;Natural persons with sole proprietorship;2022;51;6.1;103.0
960;H Transportation and storage;Total entities with/without legal pers.;2015 1st quarter;72;9.0;492.0
961;H Transportation and storage;Total entities with/without legal pers.;2015 2nd quarter;66;10.5;800.0
962;H Transportation and storage;Total entities with/without legal pers.;2015 3rd quarter;54;7.4;300.0
963;H Transportation and storage;Total entities with/without legal pers.;2015 4th quarter;52;7.6;643.0
964;H Transportation and storage;Total entities with/without legal pers.;2015;244;8.8;2236.0
965;H Transportation and storage;Total entities with/without legal pers.;2016 1st quarter;65;9.2;792.0
966;H Transportation and storage;Total entities with/without legal pers.;2016 2nd quarter;56;12.3;654.0
967;H Transportation and storage;Total entities with/without legal pers.;2016 3rd quarter;47;7.4;492.0
968;H Transportation and storage;Total entities with/without legal pers.;2016 4th quarter;71;8.7;694.0
969;H Transportation and storage;Total entities with/without legal pers.;2016;239;9.4;2632.0
970;H Transportation and storage;Total entities with/without legal pers.;2017 1st quarter;54;8.9;388.0
971;H Transportation and storage;Total entities with/without legal pers.;2017 2nd quarter;55;7.2;371.0
972;H Transportation and storage;Total entities with/without legal pers.;2017 3rd quarter;39;8.8;310.0
973;H Transportation and storage;Total entities with/without legal pers.;2017 4th quarter;48;10.1;440.0
974;H Transportation and storage;Total entities with/without legal pers.;2017;196;8.7;1509.0
975;H Transportation and storage;Total entities with/without legal pers.;2018 1st quarter;62;7.2;742.0
976;H Transportation and storage;Total entities with/without legal pers.;2018 2nd quarter;46;10.6;730.0
977;H Transportation and storage;Total entities with/without legal pers.;2018 3rd quarter;56;10.4;444.0
978;H Transportation and storage;Total entities with/without legal pers.;2018 4th quarter;49;7.2;392.0
979;H Transportation and storage;Total entities with/without legal pers.;2018;213;8.8;2308.0
980;H Transportation and storage;Total entities with/without legal pers.;2019 1st quarter;46;7.4;248.0
981;H Transportation and storage;Total entities with/without legal pers.;2019 2nd quarter;54;8.5;460.0
982;H Transportation and storage;Total entities with/without legal pers.;2019 3rd quarter;57;8.5;410.0
983;H Transportation and storage;Total entities with/without legal pers.;2019 4th quarter;56;7.7;433.0
984;H Transportation and storage;Total entities with/without legal pers.;2019;213;8.2;1552.0
985;H Transportation and storage;Total entities with/without legal pers.;2020 1st quarter;88;7.9;1235.0
986;H Transportation and storage;Total entities with/without legal pers.;2020 2nd quarter;42;6.6;202.0
987;H Transportation and storage;Total entities with/without legal pers.;2020 3rd quarter;43;7.1;235.0
988;H Transportation and storage;Total entities with/without legal pers.;2020 4th quarter;41;6.5;124.0
989;H Transportation and storage;Total entities with/without legal pers.;2020;214;7.2;1796.0
990;H Transportation and storage;Total entities with/without legal pers.;2021 1st quarter;37;5.7;106.0
991;H Transportation and storage;Total entities with/without legal pers.;2021 2nd quarter;38;7.1;162.0
