ID;EmploymentType;Sex;Periods;EmployedPersons_1;Jobs_2;HoursWorked_3;HoursWorkedPerEmployedPerson_4;HoursWorkedPerJob_5;EmployedPersons_6;Jobs_7;HoursWorked_8;HoursWorkedPerEmployedPerson_9;HoursWorkedPerJob_10
271;Employees;Total male and female;2019 2nd quarter;8005;8543;2657;332;311;7982.0;8498.0;2739.0;343.0;322.0
272;Employees;Total male and female;2019 3rd quarter;8032;8537;2640;329;309;8012.0;8523.0;2772.0;346.0;325.0
273;Employees;Total male and female;2019 4th quarter;8061;8575;2854;354;333;8037.0;8552.0;2766.0;344.0;323.0
274;Employees;Total male and female;2019;7993;8510;10938;1368;1285;;;;;
275;Employees;Total male and female;2020 1st quarter;7975;8468;2703;339;319;8039.0;8549.0;2634.0;328.0;308.0
276;Employees;Total male and female;2020 2nd quarter;7850;8290;2568;327;310;7826.0;8245.0;2710.0;346.0;329.0
277;Employees;Total male and female;2020 3rd quarter;7960;8421;2434;306;289;7949.0;8413.0;2645.0;333.0;314.0
278;Employees;Total male and female;2020 4th quarter;7958;8420;2838;357;337;7936.0;8398.0;2685.0;338.0;320.0
279;Employees;Total male and female;2020;7936;8400;10542;1328;1255;;;;;
280;Employees;Total male and female;2021 1st quarter;7843;8307;2790;356;336;7897.0;8381.0;2722.0;345.0;325.0
281;Employees;Total male and female;2021 2nd quarter;8026;8549;2701;337;316;7997.0;8500.0;2787.0;349.0;328.0
282;Employees;Total male and female;2021 3rd quarter;8140;8664;2515;309;290;8139.0;8662.0;2721.0;334.0;314.0
283;Employees;Total male and female;2021 4th quarter;8212;8734;2977;363;341;8191.0;8713.0;2782.0;340.0;319.0
284;Employees;Total male and female;2021;8056;8565;10984;1363;1282;;;;;
285;Employees;Total male and female;2022 1st quarter;8231;8725;2908;353;333;8279.0;8797.0;2809.0;339.0;319.0
286;Employees;Total male and female;2022 2nd quarter;8364;8916;2736;327;307;8332.0;8863.0;2833.0;340.0;320.0
287;Employees;Total male and female;2022 3rd quarter;8351;8890;2702;324;304;8361.0;8897.0;2903.0;347.0;326.0
288;Employees;Total male and female;2022 4th quarter;8420;8956;3015;358;337;8400.0;8935.0;2889.0;344.0;323.0
289;Employees;Total male and female;2022;8342;8873;11362;1362;1281;;;;;
290;Employees;Total male and female;2023 1st quarter;8393;8899;3010;359;338;8430.0;8963.0;2878.0;341.0;321.0
291;Employees;Total male and female;2023 2nd quarter;8472;9031;2777;328;308;8440.0;8977.0;2884.0;342.0;321.0
292;Employees;Total male and female;2023 3rd quarter;8441;8985;2702;320;301;8460.0;9000.0;2922.0;345.0;325.0
293;Employees;Total male and female;2023 4th quarter;8501;9043;2989;352;331;8481.0;9022.0;2901.0;342.0;322.0
294;Employees;Total male and female;2023;8452;8990;11478;1358;1277;;;;;
295;Employees;Total male and female;2024 1st quarter;8474;8985;3005;355;334;8503.0;9042.0;2912.0;342.0;322.0
296;Employees;Total male and female;2024 2nd quarter;8535;9099;2841;333;312;8504.0;9045.0;2918.0;343.0;323.0
297;Employees;Total male and female;2024 3rd quarter;8487;9034;2740;323;303;8512.0;9054.0;2920.0;343.0;323.0
298;Employees;Total male and female;2024 4th quarter;8563;9107;3050;356;335;8542.0;9085.0;2926.0;343.0;322.0
299;Employees;Total male and female;2024;8515;9056;11635;1367;1285;;;;;
300;Employees;Male;2010 1st quarter;3899;4122;1587;407;385;3935.0;4162.0;1546.0;393.0;372.0
301;Employees;Male;2010 2nd quarter;3964;4208;1439;363;342;3953.0;4190.0;1563.0;396.0;373.0
302;Employees;Male;2010 3rd quarter;3982;4216;1508;379;358;3957.0;4193.0;1585.0;401.0;378.0
303;Employees;Male;2010 4th quarter;3965;4194;1700;429;405;3962.0;4194.0;1579.0;399.0;377.0
304;Employees;Male;2010;3953;4185;6234;1577;1489;;;;;
305;Employees;Male;2011 1st quarter;3927;4164;1623;413;390;3967.0;4209.0;1570.0;396.0;373.0
306;Employees;Male;2011 2nd quarter;3989;4240;1475;370;348;3977.0;4219.0;1558.0;392.0;369.0
307;Employees;Male;2011 3rd quarter;3997;4233;1519;380;359;3972.0;4210.0;1587.0;400.0;377.0
308;Employees;Male;2011 4th quarter;3962;4196;1650;416;393;3958.0;4194.0;1578.0;399.0;376.0
309;Employees;Male;2011;3969;4209;6267;1579;1489;;;;;
310;Employees;Male;2012 1st quarter;3905;4135;1632;418;395;3948.0;4182.0;1563.0;396.0;374.0
311;Employees;Male;2012 2nd quarter;3948;4192;1463;370;349;3935.0;4169.0;1557.0;396.0;373.0
312;Employees;Male;2012 3rd quarter;3941;4171;1463;371;351;3916.0;4149.0;1545.0;395.0;372.0
313;Employees;Male;2012 4th quarter;3902;4129;1586;406;384;3896.0;4126.0;1524.0;391.0;369.0
314;Employees;Male;2012;3924;4157;6143;1566;1478;;;;;
315;Employees;Male;2013 1st quarter;3826;4048;1560;408;385;3869.0;4095.0;1533.0;396.0;374.0
316;Employees;Male;2013 2nd quarter;3865;4099;1453;376;355;3852.0;4076.0;1539.0;399.0;378.0
317;Employees;Male;2013 3rd quarter;3863;4079;1455;377;357;3840.0;4059.0;1521.0;396.0;375.0
318;Employees;Male;2013 4th quarter;3840;4055;1584;413;391;3832.0;4050.0;1525.0;398.0;376.0
319;Employees;Male;2013;3848;4070;6053;1573;1487;;;;;
320;Employees;Male;2014 1st quarter;3770;3992;1559;413;390;3814.0;4039.0;1532.0;402.0;379.0
321;Employees;Male;2014 2nd quarter;3832;4066;1439;376;354;3818.0;4042.0;1499.0;393.0;371.0
322;Employees;Male;2014 3rd quarter;3847;4068;1471;382;362;3825.0;4049.0;1541.0;403.0;381.0
323;Employees;Male;2014 4th quarter;3841;4064;1584;413;390;3832.0;4058.0;1524.0;398.0;376.0
324;Employees;Male;2014;3823;4048;6054;1584;1496;;;;;
325;Employees;Male;2015 1st quarter;3802;4017;1550;408;386;3846.0;4065.0;1526.0;397.0;375.0
326;Employees;Male;2015 2nd quarter;3873;4104;1432;370;349;3859.0;4080.0;1523.0;395.0;373.0
327;Employees;Male;2015 3rd quarter;3894;4112;1457;374;354;3873.0;4095.0;1530.0;395.0;374.0
328;Employees;Male;2015 4th quarter;3898;4120;1627;417;395;3889.0;4113.0;1545.0;397.0;376.0
329;Employees;Male;2015;3867;4089;6066;1569;1484;;;;;
330;Employees;Male;2016 1st quarter;3854;4069;1564;406;384;3898.0;4117.0;1545.0;396.0;375.0
331;Employees;Male;2016 2nd quarter;3934;4164;1514;385;364;3919.0;4140.0;1564.0;399.0;378.0
332;Employees;Male;2016 3rd quarter;3958;4177;1477;373;353;3939.0;4162.0;1552.0;394.0;373.0
333;Employees;Male;2016 4th quarter;3970;4194;1633;411;389;3961.0;4185.0;1571.0;397.0;375.0
334;Employees;Male;2016;3929;4151;6187;1575;1490;;;;;
335;Employees;Male;2017 1st quarter;3940;4162;1636;415;393;3983.0;4210.0;1578.0;396.0;375.0
336;Employees;Male;2017 2nd quarter;4025;4261;1527;380;358;4010.0;4238.0;1595.0;398.0;376.0
337;Employees;Male;2017 3rd quarter;4057;4284;1508;372;352;4039.0;4270.0;1603.0;397.0;375.0
338;Employees;Male;2017 4th quarter;4077;4311;1642;403;381;4066.0;4300.0;1603.0;394.0;373.0
339;Employees;Male;2017;4025;4255;6313;1568;1484;;;;;
340;Employees;Male;2018 1st quarter;4055;4285;1656;408;387;4097.0;4332.0;1618.0;395.0;373.0
341;Employees;Male;2018 2nd quarter;4133;4375;1560;377;357;4119.0;4352.0;1627.0;395.0;374.0
342;Employees;Male;2018 3rd quarter;4158;4387;1542;371;351;4142.0;4375.0;1638.0;395.0;374.0
343;Employees;Male;2018 4th quarter;4179;4414;1705;408;386;4167.0;4402.0;1648.0;396.0;374.0
344;Employees;Male;2018;4132;4366;6463;1564;1480;;;;;
345;Employees;Male;2019 1st quarter;4148;4383;1678;405;383;4188.0;4429.0;1657.0;396.0;374.0
346;Employees;Male;2019 2nd quarter;4217;4462;1602;380;359;4203.0;4440.0;1649.0;392.0;372.0
347;Employees;Male;2019 3rd quarter;4227;4457;1590;376;357;4214.0;4448.0;1667.0;396.0;375.0
348;Employees;Male;2019 4th quarter;4235;4470;1712;404;383;4222.0;4456.0;1657.0;392.0;372.0
349;Employees;Male;2019;4207;4443;6581;1564;1481;;;;;
350;Employees;Male;2020 1st quarter;4179;4404;1620;388;368;4216.0;4448.0;1582.0;375.0;356.0
351;Employees;Male;2020 2nd quarter;4112;4314;1529;372;354;4098.0;4292.0;1611.0;393.0;375.0
352;Employees;Male;2020 3rd quarter;4159;4367;1448;348;332;4152.0;4361.0;1566.0;377.0;359.0
353;Employees;Male;2020 4th quarter;4155;4363;1685;405;386;4144.0;4350.0;1595.0;385.0;367.0
354;Employees;Male;2020;4151;4362;6281;1513;1440;;;;;
355;Employees;Male;2021 1st quarter;4108;4305;1657;403;385;4140.0;4345.0;1622.0;392.0;373.0
356;Employees;Male;2021 2nd quarter;4200;4419;1601;381;362;4184.0;4395.0;1652.0;395.0;376.0
357;Employees;Male;2021 3rd quarter;4254;4473;1492;351;334;4250.0;4470.0;1608.0;378.0;360.0
358;Employees;Male;2021 4th quarter;4288;4509;1759;410;390;4278.0;4497.0;1646.0;385.0;366.0
359;Employees;Male;2021;4213;4427;6510;1545;1470;;;;;
360;Employees;Male;2022 1st quarter;4292;4501;1713;399;381;4321.0;4540.0;1658.0;384.0;365.0
361;Employees;Male;2022 2nd quarter;4363;4594;1611;369;351;4346.0;4569.0;1668.0;384.0;365.0
362;Employees;Male;2022 3rd quarter;4360;4586;1591;365;347;4362.0;4587.0;1703.0;391.0;371.0
363;Employees;Male;2022 4th quarter;4387;4614;1766;403;383;4377.0;4602.0;1693.0;387.0;368.0
364;Employees;Male;2022;4351;4574;6681;1536;1461;;;;;
365;Employees;Male;2023 1st quarter;4369;4583;1764;404;385;4392.0;4616.0;1690.0;385.0;366.0
366;Employees;Male;2023 2nd quarter;4415;4649;1631;369;351;4398.0;4624.0;1693.0;385.0;366.0
367;Employees;Male;2023 3rd quarter;4403;4630;1587;360;343;4409.0;4635.0;1712.0;388.0;369.0
368;Employees;Male;2023 4th quarter;4425;4655;1749;395;376;4416.0;4643.0;1699.0;385.0;366.0
369;Employees;Male;2023;4403;4629;6731;1529;1454;;;;;
370;Employees;Male;2024 1st quarter;4405;4622;1756;398;380;4425.0;4652.0;1704.0;385.0;366.0
371;Employees;Male;2024 2nd quarter;4442;4678;1662;374;355;4425.0;4654.0;1706.0;386.0;367.0
372;Employees;Male;2024 3rd quarter;4423;4652;1605;363;345;4431.0;4660.0;1707.0;385.0;366.0
373;Employees;Male;2024 4th quarter;4464;4697;1783;399;380;4454.0;4684.0;1712.0;384.0;366.0
374;Employees;Male;2024;4434;4662;6806;1535;1460;;;;;
375;Employees;Female;2010 1st quarter;3397;3642;973;286;267;3417.0;3668.0;944.0;276.0;257.0
376;Employees;Female;2010 2nd quarter;3440;3706;869;253;234;3433.0;3692.0;948.0;276.0;257.0
377;Employees;Female;2010 3rd quarter;3457;3716;913;264;246;3446.0;3704.0;961.0;279.0;260.0
378;Employees;Female;2010 4th quarter;3458;3715;1043;302;281;3455.0;3714.0;970.0;281.0;261.0
379;Employees;Female;2010;3438;3695;3797;1104;1028;;;;;
380;Employees;Female;2011 1st quarter;3437;3707;999;291;269;3459.0;3735.0;960.0;278.0;257.0
381;Employees;Female;2011 2nd quarter;3478;3765;896;258;238;3470.0;3748.0;951.0;274.0;254.0
382;Employees;Female;2011 3rd quarter;3484;3756;924;265;246;3473.0;3747.0;971.0;280.0;259.0
383;Employees;Female;2011 4th quarter;3475;3746;1019;293;272;3470.0;3744.0;975.0;281.0;260.0
384;Employees;Female;2011;3468;3744;3838;1106;1025;;;;;
385;Employees;Female;2012 1st quarter;3449;3716;1020;296;274;3472.0;3746.0;969.0;279.0;259.0
386;Employees;Female;2012 2nd quarter;3480;3764;905;260;240;3472.0;3745.0;968.0;279.0;259.0
387;Employees;Female;2012 3rd quarter;3477;3748;906;260;242;3466.0;3739.0;964.0;278.0;258.0
388;Employees;Female;2012 4th quarter;3466;3734;996;287;267;3460.0;3731.0;956.0;276.0;256.0
389;Employees;Female;2012;3468;3740;3826;1103;1023;;;;;
390;Employees;Female;2013 1st quarter;3423;3679;987;288;268;3448.0;3710.0;962.0;279.0;259.0
391;Employees;Female;2013 2nd quarter;3441;3712;907;264;244;3433.0;3692.0;966.0;281.0;262.0
392;Employees;Female;2013 3rd quarter;3429;3683;905;264;246;3419.0;3675.0;953.0;279.0;259.0
393;Employees;Female;2013 4th quarter;3419;3671;995;291;271;3411.0;3667.0;956.0;280.0;261.0
394;Employees;Female;2013;3428;3686;3794;1107;1029;;;;;
395;Employees;Female;2014 1st quarter;3380;3628;986;292;272;3407.0;3660.0;962.0;282.0;263.0
396;Employees;Female;2014 2nd quarter;3418;3685;901;264;245;3409.0;3666.0;945.0;277.0;258.0
397;Employees;Female;2014 3rd quarter;3422;3677;919;268;250;3412.0;3670.0;970.0;284.0;264.0
398;Employees;Female;2014 4th quarter;3423;3680;1000;292;272;3414.0;3674.0;960.0;281.0;261.0
399;Employees;Female;2014;3411;3668;3806;1116;1038;;;;;
400;Employees;Female;2015 1st quarter;3387;3648;986;291;270;3415.0;3681.0;963.0;282.0;262.0
401;Employees;Female;2015 2nd quarter;3431;3708;898;262;242;3422.0;3688.0;961.0;281.0;261.0
402;Employees;Female;2015 3rd quarter;3443;3706;914;265;247;3432.0;3699.0;967.0;282.0;261.0
403;Employees;Female;2015 4th quarter;3455;3721;1033;299;278;3446.0;3714.0;980.0;284.0;264.0
404;Employees;Female;2015;3429;3696;3830;1117;1036;;;;;
405;Employees;Female;2016 1st quarter;3419;3679;998;292;271;3448.0;3714.0;979.0;284.0;264.0
406;Employees;Female;2016 2nd quarter;3479;3758;958;275;255;3470.0;3738.0;996.0;287.0;266.0
407;Employees;Female;2016 3rd quarter;3500;3766;934;267;248;3489.0;3758.0;988.0;283.0;263.0
408;Employees;Female;2016 4th quarter;3519;3787;1044;297;276;3509.0;3780.0;1004.0;286.0;266.0
409;Employees;Female;2016;3479;3748;3935;1131;1050;;;;;
410;Employees;Female;2017 1st quarter;3503;3770;1056;301;280;3533.0;3805.0;1011.0;286.0;266.0
411;Employees;Female;2017 2nd quarter;3568;3852;975;273;253;3558.0;3831.0;1024.0;288.0;267.0
412;Employees;Female;2017 3rd quarter;3594;3867;964;268;249;3584.0;3860.0;1031.0;288.0;267.0
413;Employees;Female;2017 4th quarter;3621;3900;1059;292;271;3612.0;3892.0;1033.0;286.0;266.0
414;Employees;Female;2017;3572;3848;4054;1135;1054;;;;;
415;Employees;Female;2018 1st quarter;3613;3890;1078;298;277;3643.0;3926.0;1046.0;287.0;266.0
416;Employees;Female;2018 2nd quarter;3679;3972;1007;274;253;3669.0;3951.0;1055.0;287.0;267.0
417;Employees;Female;2018 3rd quarter;3707;3986;999;270;251;3698.0;3980.0;1066.0;288.0;268.0
418;Employees;Female;2018 4th quarter;3736;4016;1117;299;278;3726.0;4007.0;1081.0;290.0;270.0
419;Employees;Female;2018;3684;3966;4201;1140;1059;;;;;
420;Employees;Female;2019 1st quarter;3724;4000;1109;298;277;3753.0;4038.0;1089.0;290.0;270.0
421;Employees;Female;2019 2nd quarter;3789;4081;1055;278;258;3779.0;4059.0;1090.0;288.0;268.0
422;Employees;Female;2019 3rd quarter;3805;4080;1050;276;257;3798.0;4075.0;1105.0;291.0;271.0
423;Employees;Female;2019 4th quarter;3826;4105;1143;299;278;3815.0;4095.0;1109.0;291.0;271.0
424;Employees;Female;2019;3786;4067;4357;1151;1071;;;;;
425;Employees;Female;2020 1st quarter;3796;4064;1083;285;266;3823.0;4101.0;1052.0;275.0;257.0
426;Employees;Female;2020 2nd quarter;3738;3976;1039;278;261;3728.0;3953.0;1099.0;295.0;278.0
427;Employees;Female;2020 3rd quarter;3800;4054;986;259;243;3798.0;4052.0;1079.0;284.0;266.0
428;Employees;Female;2020 4th quarter;3803;4057;1153;303;284;3793.0;4048.0;1090.0;287.0;269.0
429;Employees;Female;2020;3785;4038;4261;1126;1055;;;;;
430;Employees;Female;2021 1st quarter;3734;4003;1133;303;283;3757.0;4036.0;1100.0;293.0;273.0
431;Employees;Female;2021 2nd quarter;3826;4130;1101;288;266;3813.0;4105.0;1135.0;298.0;277.0
432;Employees;Female;2021 3rd quarter;3886;4191;1023;263;244;3888.0;4192.0;1113.0;286.0;266.0
433;Employees;Female;2021 4th quarter;3923;4224;1217;310;288;3913.0;4215.0;1137.0;290.0;270.0
434;Employees;Female;2021;3843;4138;4474;1164;1081;;;;;
435;Employees;Female;2022 1st quarter;3939;4224;1196;304;283;3958.0;4257.0;1151.0;291.0;270.0
436;Employees;Female;2022 2nd quarter;4001;4322;1125;281;260;3986.0;4294.0;1165.0;292.0;271.0
437;Employees;Female;2022 3rd quarter;3991;4304;1111;279;258;3999.0;4310.0;1199.0;300.0;278.0
438;Employees;Female;2022 4th quarter;4034;4343;1249;310;288;4023.0;4334.0;1195.0;297.0;276.0
439;Employees;Female;2022;3991;4299;4681;1173;1089;;;;;
440;Employees;Female;2023 1st quarter;4024;4316;1246;310;289;4038.0;4347.0;1188.0;294.0;273.0
441;Employees;Female;2023 2nd quarter;4056;4382;1147;283;262;4042.0;4353.0;1192.0;295.0;274.0
442;Employees;Female;2023 3rd quarter;4038;4355;1115;276;256;4051.0;4364.0;1210.0;299.0;277.0
443;Employees;Female;2023 4th quarter;4076;4388;1240;304;283;4065.0;4379.0;1202.0;296.0;275.0
444;Employees;Female;2023;4049;4360;4747;1173;1089;;;;;
445;Employees;Female;2024 1st quarter;4068;4363;1249;307;286;4079.0;4391.0;1208.0;296.0;275.0
446;Employees;Female;2024 2nd quarter;4093;4421;1179;288;267;4078.0;4391.0;1212.0;297.0;276.0
447;Employees;Female;2024 3rd quarter;4065;4382;1135;279;259;4080.0;4394.0;1213.0;297.0;276.0
448;Employees;Female;2024 4th quarter;4098;4410;1267;309;287;4088.0;4401.0;1214.0;297.0;276.0
449;Employees;Female;2024;4081;4394;4829;1183;1099;;;;;
450;Self-employed;Total male and female;2010 1st quarter;1394;1963;620;445;316;1394.0;1950.0;633.0;454.0;324.0
451;Self-employed;Total male and female;2010 2nd quarter;1396;1962;645;462;329;1393.0;1955.0;630.0;453.0;322.0
452;Self-employed;Total male and female;2010 3rd quarter;1382;1943;606;439;312;1386.0;1949.0;632.0;456.0;324.0
453;Self-employed;Total male and female;2010 4th quarter;1382;1941;653;472;336;1386.0;1953.0;627.0;453.0;321.0
454;Self-employed;Total male and female;2010;1388;1952;2524;1818;1293;;;;;
455;Self-employed;Total male and female;2011 1st quarter;1416;2005;624;441;311;1394.0;1971.0;639.0;458.0;324.0
456;Self-employed;Total male and female;2011 2nd quarter;1391;1984;647;465;326;1402.0;1992.0;633.0;452.0;318.0
457;Self-employed;Total male and female;2011 3rd quarter;1416;2012;608;429;302;1413.0;2015.0;634.0;449.0;315.0
458;Self-employed;Total male and female;2011 4th quarter;1426;2035;678;475;333;1427.0;2032.0;650.0;455.0;320.0
459;Self-employed;Total male and female;2011;1412;2009;2558;1811;1273;;;;;
460;Self-employed;Total male and female;2012 1st quarter;1437;2034;630;438;310;1435.0;2036.0;646.0;450.0;317.0
461;Self-employed;Total male and female;2012 2nd quarter;1434;2036;662;462;325;1436.0;2030.0;648.0;451.0;319.0
462;Self-employed;Total male and female;2012 3rd quarter;1425;2013;609;427;303;1432.0;2022.0;635.0;443.0;314.0
463;Self-employed;Total male and female;2012 4th quarter;1445;2037;679;470;333;1428.0;2014.0;649.0;455.0;322.0
464;Self-employed;Total male and female;2012;1435;2030;2580;1797;1271;;;;;
465;Self-employed;Total male and female;2013 1st quarter;1421;2003;609;429;304;1427.0;2011.0;627.0;439.0;312.0
466;Self-employed;Total male and female;2013 2nd quarter;1432;2021;655;457;324;1439.0;2026.0;641.0;446.0;316.0
467;Self-employed;Total male and female;2013 3rd quarter;1463;2059;637;435;309;1455.0;2047.0;663.0;456.0;324.0
468;Self-employed;Total male and female;2013 4th quarter;1451;2039;691;476;339;1462.0;2052.0;660.0;451.0;321.0
469;Self-employed;Total male and female;2013;1442;2031;2592;1797;1276;;;;;
470;Self-employed;Total male and female;2014 1st quarter;1459;2046;638;437;312;1469.0;2055.0;656.0;447.0;319.0
471;Self-employed;Total male and female;2014 2nd quarter;1475;2072;683;463;330;1473.0;2061.0;670.0;455.0;325.0
472;Self-employed;Total male and female;2014 3rd quarter;1461;2049;631;432;308;1473.0;2069.0;654.0;444.0;316.0
473;Self-employed;Total male and female;2014 4th quarter;1491;2101;713;478;339;1475.0;2085.0;681.0;461.0;327.0
474;Self-employed;Total male and female;2014;1472;2067;2664;1810;1289;;;;;
475;Self-employed;Total male and female;2015 1st quarter;1464;2081;645;440;310;1478.0;2098.0;664.0;450.0;317.0
476;Self-employed;Total male and female;2015 2nd quarter;1480;2111;690;466;327;1480.0;2109.0;678.0;458.0;321.0
477;Self-employed;Total male and female;2015 3rd quarter;1494;2126;670;448;315;1487.0;2118.0;694.0;467.0;328.0
478;Self-employed;Total male and female;2015 4th quarter;1479;2108;723;489;343;1490.0;2124.0;692.0;464.0;326.0
479;Self-employed;Total male and female;2015;1480;2107;2728;1844;1295;;;;;
480;Self-employed;Total male and female;2016 1st quarter;1500;2149;682;454;317;1493.0;2133.0;702.0;470.0;329.0
481;Self-employed;Total male and female;2016 2nd quarter;1494;2138;709;475;332;1497.0;2137.0;697.0;466.0;326.0
482;Self-employed;Total male and female;2016 3rd quarter;1496;2130;672;449;316;1501.0;2138.0;696.0;464.0;326.0
483;Self-employed;Total male and female;2016 4th quarter;1510;2149;742;491;345;1508.0;2148.0;711.0;471.0;331.0
484;Self-employed;Total male and female;2016;1500;2141;2806;1870;1310;;;;;
485;Self-employed;Total male and female;2017 1st quarter;1514;2161;684;452;316;1512.0;2158.0;703.0;465.0;326.0
486;Self-employed;Total male and female;2017 2nd quarter;1520;2176;736;484;338;1516.0;2168.0;723.0;477.0;333.0
487;Self-employed;Total male and female;2017 3rd quarter;1523;2171;693;455;319;1523.0;2181.0;719.0;472.0;330.0
488;Self-employed;Total male and female;2017 4th quarter;1519;2184;749;493;343;1531.0;2191.0;717.0;468.0;327.0
489;Self-employed;Total male and female;2017;1519;2173;2861;1884;1317;;;;;
490;Self-employed;Total male and female;2018 1st quarter;1547;2212;705;455;318;1537.0;2201.0;723.0;470.0;328.0
491;Self-employed;Total male and female;2018 2nd quarter;1537;2204;731;476;332;1548.0;2219.0;718.0;464.0;324.0
492;Self-employed;Total male and female;2018 3rd quarter;1566;2241;715;456;319;1556.0;2231.0;743.0;477.0;333.0
493;Self-employed;Total male and female;2018 4th quarter;1532;2205;768;501;348;1562.0;2232.0;736.0;471.0;330.0
494;Self-employed;Total male and female;2018;1546;2216;2919;1888;1317;;;;;
495;Self-employed;Total male and female;2019 1st quarter;1591;2254;734;461;326;1568.0;2233.0;751.0;479.0;336.0
496;Self-employed;Total male and female;2019 2nd quarter;1575;2237;772;490;345;1570.0;2236.0;757.0;482.0;338.0
497;Self-employed;Total male and female;2019 3rd quarter;1556;2231;703;452;315;1572.0;2247.0;732.0;466.0;326.0
498;Self-employed;Total male and female;2019 4th quarter;1597;2291;797;499;348;1579.0;2262.0;765.0;484.0;338.0
499;Self-employed;Total male and female;2019;1580;2253;3006;1903;1334;;;;;
500;Self-employed;Total male and female;2020 1st quarter;1583;2260;708;447;313;1583.0;2263.0;723.0;457.0;319.0
501;Self-employed;Total male and female;2020 2nd quarter;1586;2264;668;421;295;1585.0;2257.0;654.0;412.0;290.0
502;Self-employed;Total male and female;2020 3rd quarter;1589;2252;697;439;309;1594.0;2259.0;728.0;457.0;322.0
503;Self-employed;Total male and female;2020 4th quarter;1595;2269;739;464;326;1605.0;2270.0;710.0;442.0;313.0
504;Self-employed;Total male and female;2020;1588;2261;2812;1770;1243;;;;;
505;Self-employed;Total male and female;2021 1st quarter;1626;2309;747;459;323;1623.0;2299.0;757.0;466.0;329.0
506;Self-employed;Total male and female;2021 2nd quarter;1634;2326;769;471;331;1636.0;2324.0;754.0;461.0;325.0
507;Self-employed;Total male and female;2021 3rd quarter;1628;2320;708;435;305;1635.0;2331.0;743.0;454.0;319.0
508;Self-employed;Total male and female;2021 4th quarter;1648;2353;767;465;326;1644.0;2347.0;738.0;449.0;314.0
509;Self-employed;Total male and female;2021;1634;2327;2991;1830;1285;;;;;
510;Self-employed;Total male and female;2022 1st quarter;1679;2396;769;458;321;1669.0;2380.0;778.0;466.0;327.0
511;Self-employed;Total male and female;2022 2nd quarter;1696;2414;797;470;330;1706.0;2425.0;781.0;458.0;322.0
512;Self-employed;Total male and female;2022 3rd quarter;1748;2474;766;438;310;1747.0;2473.0;804.0;460.0;325.0
513;Self-employed;Total male and female;2022 4th quarter;1784;2522;833;467;330;1771.0;2508.0;802.0;453.0;320.0
514;Self-employed;Total male and female;2022;1727;2452;3164;1832;1290;;;;;
515;Self-employed;Total male and female;2023 1st quarter;1762;2515;798;453;317;1771.0;2520.0;808.0;456.0;321.0
516;Self-employed;Total male and female;2023 2nd quarter;1764;2510;825;468;329;1770.0;2525.0;808.0;456.0;320.0
517;Self-employed;Total male and female;2023 3rd quarter;1790;2548;776;434;304;1782.0;2542.0;815.0;457.0;321.0
518;Self-employed;Total male and female;2023 4th quarter;1809;2576;845;467;328;1796.0;2557.0;814.0;453.0;318.0
519;Self-employed;Total male and female;2023;1781;2538;3244;1821;1278;;;;;
520;Self-employed;Total male and female;2024 1st quarter;1806;2553;804;445;315;1811.0;2570.0;813.0;449.0;316.0
521;Self-employed;Total male and female;2024 2nd quarter;1817;2585;838;461;324;1824.0;2588.0;821.0;450.0;317.0
522;Self-employed;Total male and female;2024 3rd quarter;1837;2610;780;424;299;1829.0;2601.0;819.0;448.0;315.0
523;Self-employed;Total male and female;2024 4th quarter;1834;2606;845;460;324;1834.0;2611.0;813.0;443.0;311.0
524;Self-employed;Total male and female;2024;1824;2589;3266;1791;1262;;;;;
525;Self-employed;Male;2010 1st quarter;701;979;388;553;396;705.0;976.0;397.0;562.0;406.0
526;Self-employed;Male;2010 2nd quarter;707;987;408;577;413;704.0;980.0;397.0;564.0;405.0
527;Self-employed;Male;2010 3rd quarter;697;976;379;545;389;698.0;976.0;398.0;570.0;407.0
528;Self-employed;Male;2010 4th quarter;691;970;407;588;419;697.0;979.0;390.0;560.0;399.0
529;Self-employed;Male;2010;699;978;1581;2262;1617;;;;;
530;Self-employed;Male;2011 1st quarter;712;1009;392;551;389;701.0;990.0;403.0;575.0;407.0
531;Self-employed;Male;2011 2nd quarter;699;997;406;580;407;706.0;1003.0;394.0;558.0;393.0
532;Self-employed;Male;2011 3rd quarter;719;1018;377;525;370;715.0;1016.0;395.0;552.0;388.0
533;Self-employed;Male;2011 4th quarter;725;1028;421;581;410;725.0;1026.0;404.0;556.0;393.0
534;Self-employed;Male;2011;714;1013;1596;2236;1576;;;;;
535;Self-employed;Male;2012 1st quarter;730;1026;389;533;379;732.0;1031.0;401.0;547.0;389.0
536;Self-employed;Male;2012 2nd quarter;735;1039;417;568;402;732.0;1029.0;407.0;555.0;395.0
537;Self-employed;Male;2012 3rd quarter;720;1015;380;528;374;727.0;1023.0;396.0;545.0;387.0
538;Self-employed;Male;2012 4th quarter;729;1027;420;576;409;720.0;1014.0;402.0;557.0;396.0
539;Self-employed;Male;2012;728;1027;1606;2205;1564;;;;;
540;Self-employed;Male;2013 1st quarter;714;1002;376;526;375;717.0;1006.0;389.0;542.0;386.0
541;Self-employed;Male;2013 2nd quarter;721;1007;403;559;400;723.0;1010.0;393.0;544.0;389.0
542;Self-employed;Male;2013 3rd quarter;745;1037;394;530;380;734.0;1025.0;410.0;558.0;400.0
