ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
2561;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Health and welfare;2006;381.0;282.0;271.0;11.0;99.0;74.0;71.1;3.9
2562;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Health and welfare;2007;398.0;296.0;287.0;9.0;101.0;74.5;72.2;3.1
2563;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Health and welfare;2008;399.0;301.0;293.0;8.0;98.0;75.4;73.4;2.5
2564;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Health and welfare;2009;406.0;308.0;300.0;8.0;97.0;76.0;74.0;2.6
2565;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Health and welfare;2010;407.0;318.0;307.0;10.0;89.0;78.1;75.5;3.3
2566;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Health and welfare;2011;393.0;308.0;299.0;9.0;86.0;78.2;75.9;2.9
2567;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Health and welfare;2012;;;;;;;;
2568;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2001;46.0;41.0;40.0;;5.0;88.8;86.9;
2569;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2002;53.0;47.0;46.0;;7.0;87.5;85.7;
2570;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2003;59.0;49.0;47.0;3.0;9.0;84.1;79.8;5.1
2571;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2004;76.0;63.0;59.0;3.0;13.0;82.8;78.5;5.1
2572;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2005;90.0;76.0;72.0;4.0;14.0;84.4;80.2;5.0
2573;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2006;93.0;81.0;78.0;3.0;12.0;86.8;83.7;3.6
2574;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2007;92.0;80.0;78.0;2.0;12.0;86.8;85.0;2.1
2575;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2008;95.0;81.0;80.0;2.0;14.0;85.4;83.4;2.3
2576;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2009;97.0;84.0;81.0;3.0;13.0;86.6;83.4;3.7
2577;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2010;101.0;88.0;85.0;4.0;13.0;87.3;83.7;4.1
2578;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2011;104.0;88.0;84.0;4.0;15.0;85.1;81.2;4.6
2579;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Personal, transport services, logistics;2012;;;;;;;;
2580;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2001;;;;;;;;
2581;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2002;;;;;;;;
2582;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2003;;;;;;;;
2583;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2004;;;;;;;;
2584;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2005;;;;;;;;
2585;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2006;;;;;;;;
2586;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2007;;;;;;;;
2587;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2008;;;;;;;;
2588;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2009;;;;;;;;
2589;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2010;;;;;;;;
2590;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2011;;;;;;;;
2591;Total men and women;Total aged 15 to 65 years;Native Dutch background;Mbo 4;Unknown field of education;2012;;;;;;;;
2592;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2001;881.0;539.0;517.0;22.0;342.0;61.1;58.7;4.0
2593;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2002;841.0;512.0;486.0;26.0;329.0;60.9;57.8;5.2
2594;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2003;842.0;515.0;483.0;33.0;326.0;61.2;57.4;6.3
2595;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2004;844.0;514.0;481.0;32.0;330.0;60.9;57.1;6.3
2596;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2005;813.0;488.0;457.0;31.0;325.0;60.0;56.2;6.4
2597;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2006;789.0;480.0;452.0;28.0;309.0;60.8;57.2;5.9
2598;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2007;803.0;500.0;473.0;27.0;303.0;62.3;59.0;5.3
2599;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2008;811.0;500.0;479.0;21.0;311.0;61.6;59.0;4.2
2600;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2009;794.0;498.0;468.0;29.0;296.0;62.7;59.0;5.9
2601;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2010;826.0;501.0;473.0;28.0;325.0;60.6;57.3;5.5
2602;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2011;908.0;547.0;518.0;29.0;362.0;60.2;57.0;5.3
2603;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;1;2012;876.0;522.0;488.0;34.0;354.0;59.6;55.7;6.6
2604;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2001;881.0;538.0;517.0;22.0;342.0;61.1;58.7;4.0
2605;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2002;841.0;512.0;486.0;26.0;329.0;60.9;57.8;5.2
2606;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2003;842.0;515.0;483.0;33.0;326.0;61.2;57.4;6.3
2607;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2004;844.0;514.0;481.0;32.0;330.0;60.9;57.1;6.3
2608;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2005;813.0;488.0;457.0;31.0;325.0;60.0;56.2;6.4
2609;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2006;789.0;480.0;451.0;28.0;309.0;60.8;57.2;5.9
2610;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2007;802.0;500.0;473.0;26.0;303.0;62.3;59.0;5.3
2611;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2008;811.0;500.0;479.0;21.0;311.0;61.6;59.0;4.2
2612;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2009;794.0;498.0;468.0;29.0;296.0;62.7;59.0;5.9
2613;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2010;826.0;501.0;473.0;28.0;325.0;60.6;57.3;5.5
2614;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2011;908.0;547.0;518.0;29.0;361.0;60.2;57.0;5.3
2615;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;2;2012;;;;;;;;
2616;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2001;;;;;;;;
2617;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2002;;;;;;;;
2618;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2003;;;;;;;;
2619;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2004;;;;;;;;
2620;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2005;;;;;;;;
2621;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2006;;;;;;;;
2622;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2007;;;;;;;;
2623;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2008;;;;;;;;
2624;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2009;;;;;;;;
2625;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2010;;;;;;;;
2626;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2011;;;;;;;;
2627;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;3;2012;;;;;;;;
2628;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2001;;;;;;;;
2629;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2002;;;;;;;;
2630;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2003;;;;;;;;
2631;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2004;;;;;;;;
2632;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2005;;;;;;;;
2633;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2006;;;;;;;;
2634;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2007;;;;;;;;
2635;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2008;;;;;;;;
2636;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2009;;;;;;;;
2637;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2010;;;;;;;;
2638;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2011;;;;;;;;
2639;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;4;2012;;;;;;;;
2640;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2001;;;;;;;;
2641;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2002;;;;;;;;
2642;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2003;;;;;;;;
2643;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2004;;;;;;;;
2644;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2005;;;;;;;;
2645;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2006;;;;;;;;
2646;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2007;;;;;;;;
2647;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2008;;;;;;;;
2648;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2009;;;;;;;;
2649;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2010;;;;;;;;
2650;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2011;;;;;;;;
2651;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;5;2012;;;;;;;;
2652;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2001;;;;;;;;
2653;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2002;;;;;;;;
2654;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2003;;;;;;;;
2655;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2004;;;;;;;;
2656;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2005;;;;;;;;
2657;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2006;;;;;;;;
2658;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2007;;;;;;;;
2659;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2008;;;;;;;;
2660;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2009;;;;;;;;
2661;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2010;;;;;;;;
2662;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2011;;;;;;;;
2663;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;6;2012;;;;;;;;
2664;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2001;;;;;;;;
2665;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2002;;;;;;;;
2666;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2003;;;;;;;;
2667;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2004;;;;;;;;
2668;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2005;;;;;;;;
2669;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2006;;;;;;;;
2670;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2007;;;;;;;;
2671;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2008;;;;;;;;
2672;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2009;;;;;;;;
2673;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2010;;;;;;;;
2674;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2011;;;;;;;;
2675;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;7;2012;;;;;;;;
2676;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2001;;;;;;;;
2677;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2002;;;;;;;;
2678;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2003;;;;;;;;
2679;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2004;;;;;;;;
2680;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2005;;;;;;;;
2681;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2006;;;;;;;;
2682;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2007;;;;;;;;
2683;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2008;;;;;;;;
2684;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2009;;;;;;;;
2685;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2010;;;;;;;;
2686;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2011;;;;;;;;
2687;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;8;2012;;;;;;;;
2688;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2001;;;;;;;;
2689;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2002;;;;;;;;
2690;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2003;;;;;;;;
2691;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2004;;;;;;;;
2692;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2005;;;;;;;;
2693;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2006;;;;;;;;
2694;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2007;;;;;;;;
2695;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2008;;;;;;;;
2696;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2009;;;;;;;;
2697;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2010;;;;;;;;
2698;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2011;;;;;;;;
2699;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;9;2012;;;;;;;;
2700;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2001;;;;;;;;
2701;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2002;;;;;;;;
2702;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2003;;;;;;;;
2703;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2004;;;;;;;;
2704;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2005;;;;;;;;
2705;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2006;;;;;;;;
2706;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2007;;;;;;;;
2707;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2008;;;;;;;;
2708;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2009;;;;;;;;
2709;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2010;;;;;;;;
2710;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2011;;;;;;;;
2711;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Health and welfare;2012;;;;;;;;
2712;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2001;;;;;;;;
2713;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2002;;;;;;;;
2714;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2003;;;;;;;;
2715;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2004;;;;;;;;
2716;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2005;;;;;;;;
2717;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2006;;;;;;;;
2718;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2007;;;;;;;;
2719;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2008;;;;;;;;
2720;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2009;;;;;;;;
2721;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2010;;;;;;;;
2722;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2011;;;;;;;;
2723;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Personal, transport services, logistics;2012;;;;;;;;
2724;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2001;;;;;;;;
2725;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2002;;;;;;;;
2726;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2003;;;;;;;;
2727;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2004;;;;;;;;
2728;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2005;;;;;;;;
2729;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2006;;;;;;;;
2730;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2007;;;;;;;;
2731;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2008;;;;;;;;
2732;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2009;;;;;;;;
2733;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2010;;;;;;;;
2734;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2011;;;;;;;;
2735;Total men and women;Total aged 15 to 65 years;Native Dutch background;Havo, vwo;Unknown field of education;2012;;;;;;;;
2736;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2001;1193.0;994.0;970.0;25.0;198.0;83.4;81.3;2.5
2737;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2002;1249.0;1051.0;1021.0;29.0;199.0;84.1;81.7;2.8
2738;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2003;1331.0;1122.0;1084.0;38.0;209.0;84.3;81.4;3.4
2739;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2004;1447.0;1209.0;1165.0;44.0;238.0;83.5;80.5;3.6
2740;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2005;1475.0;1233.0;1188.0;44.0;243.0;83.6;80.6;3.6
2741;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2006;1502.0;1261.0;1226.0;36.0;241.0;83.9;81.6;2.8
2742;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2007;1527.0;1304.0;1274.0;30.0;223.0;85.4;83.4;2.3
2743;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2008;1579.0;1363.0;1337.0;27.0;215.0;86.4;84.7;2.0
2744;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2009;1619.0;1395.0;1358.0;37.0;224.0;86.2;83.9;2.6
2745;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2010;1665.0;1440.0;1394.0;46.0;225.0;86.5;83.7;3.2
2746;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2011;1652.0;1424.0;1380.0;44.0;228.0;86.2;83.6;3.1
2747;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;1;2012;1674.0;1450.0;1398.0;53.0;224.0;86.6;83.5;3.6
2748;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2001;;;;;;;;
2749;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2002;;;;;;;;
2750;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2003;;;;;;;;
2751;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2004;;;;;;;;
2752;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2005;;;;;;;;
2753;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2006;;;;;;;;
2754;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2007;;;;;;;;
2755;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2008;;;;;;;;
2756;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2009;;;;;;;;
2757;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2010;;;;;;;;
2758;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2011;;;;;;;;
2759;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;2;2012;;;;;;;;
2760;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2001;304.0;232.0;227.0;6.0;71.0;76.5;74.6;2.5
2761;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2002;314.0;246.0;241.0;5.0;68.0;78.5;76.8;2.2
2762;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2003;327.0;258.0;253.0;5.0;70.0;78.8;77.2;2.0
2763;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2004;338.0;259.0;252.0;6.0;79.0;76.6;74.8;2.4
2764;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2005;344.0;266.0;258.0;8.0;78.0;77.4;75.1;2.9
2765;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2006;347.0;277.0;271.0;7.0;70.0;79.9;77.9;2.4
2766;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2007;346.0;280.0;274.0;6.0;67.0;80.8;79.1;2.1
2767;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2008;333.0;270.0;266.0;4.0;62.0;81.3;80.0;1.6
2768;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2009;325.0;266.0;260.0;6.0;59.0;81.7;79.9;2.2
2769;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2010;331.0;272.0;266.0;6.0;59.0;82.2;80.2;2.4
2770;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2011;315.0;261.0;254.0;7.0;54.0;82.9;80.7;2.6
2771;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;3;2012;;;;;;;;
2772;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2001;83.0;65.0;62.0;3.0;18.0;78.8;74.9;5.0
2773;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2002;93.0;72.0;69.0;3.0;21.0;77.6;74.1;4.4
2774;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2003;111.0;89.0;83.0;6.0;22.0;79.9;74.2;7.1
2775;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2004;125.0;97.0;93.0;5.0;28.0;77.7;73.7;5.1
2776;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2005;133.0;102.0;96.0;6.0;31.0;76.9;72.2;6.2
2777;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2006;141.0;107.0;102.0;5.0;35.0;75.5;71.8;4.8
2778;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2007;156.0;124.0;119.0;4.0;32.0;79.4;76.8;3.4
2779;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2008;177.0;143.0;139.0;4.0;33.0;81.1;78.6;3.1
2780;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2009;178.0;141.0;135.0;7.0;37.0;79.4;75.7;4.7
2781;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2010;181.0;144.0;136.0;8.0;37.0;79.6;75.3;5.3
2782;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2011;195.0;154.0;147.0;7.0;41.0;79.0;75.3;4.7
2783;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;4;2012;;;;;;;;
