ID;CountryUCI;SIC2008;CompanySize;Periods;Applicants_1;Applications_2;ApplicantsWithForeignCooperation_3;ApplicationsWithForeignCooperation_4;PatentApplicants_5;PatentApplications_6;ApplicantsWithForeignCooperation_7;ApplicationsWithForeignCooperation_8
613;Total domestic and foreign;10-12 Manufacture of food and beverages;250 and more employed persons;2014;10.0;205.0;0.0;135.0;5.0;15.0;0.0;0.0
614;Total domestic and foreign;10-12 Manufacture of food and beverages;250 and more employed persons;2015;10.0;255.0;5.0;165.0;5.0;20.0;0.0;0.0
615;Total domestic and foreign;10-12 Manufacture of food and beverages;250 and more employed persons;2016;10.0;290.0;0.0;220.0;10.0;30.0;0.0;0.0
616;Total domestic and foreign;10-12 Manufacture of food and beverages;250 and more employed persons;2017;15.0;130.0;0.0;85.0;10.0;25.0;0.0;0.0
617;Total domestic and foreign;10-12 Manufacture of food and beverages;250 and more employed persons;2018;10.0;80.0;5.0;25.0;10.0;20.0;0.0;0.0
618;Total domestic and foreign;10-12 Manufacture of food and beverages;250 and more employed persons;2019;10.0;65.0;0.0;0.0;10.0;15.0;0.0;0.0
619;Total domestic and foreign;10-12 Manufacture of food and beverages;250 and more employed persons;2020;10.0;70.0;0.0;0.0;10.0;20.0;0.0;0.0
620;Total domestic and foreign;10-12 Manufacture of food and beverages;250 and more employed persons;2021;10.0;40.0;0.0;0.0;10.0;10.0;0.0;0.0
621;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2013;;;;;;;;
622;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2014;;;;;;;;
623;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2015;;;;;;;;
624;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2016;;;;;;;;
625;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2017;;;;;;;;
626;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2018;;;;;;;;
627;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2019;;;;;;;;
628;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2020;;;;;;;;
629;Total domestic and foreign;10-12 Manufacture of food and beverages;Employed persons unknown;2021;;;;;;;;
630;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2013;10.0;210.0;0.0;135.0;5.0;5.0;0.0;0.0
631;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2014;15.0;205.0;0.0;135.0;5.0;15.0;0.0;0.0
632;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2015;20.0;215.0;0.0;165.0;10.0;25.0;0.0;0.0
633;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2016;10.0;270.0;0.0;220.0;10.0;30.0;0.0;0.0
634;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2017;20.0;130.0;0.0;85.0;20.0;35.0;0.0;0.0
635;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2018;10.0;75.0;5.0;25.0;10.0;15.0;0.0;0.0
636;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2019;10.0;50.0;0.0;0.0;10.0;10.0;0.0;0.0
637;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2020;15.0;55.0;0.0;0.0;15.0;20.0;0.0;0.0
638;Total domestic and foreign;10 Manufacture of food products;Total employed persons;2021;20.0;40.0;0.0;0.0;15.0;25.0;0.0;0.0
639;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2013;;;;;;;;
640;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2014;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
641;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2015;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
642;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
643;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2017;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
644;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2018;0.0;0.0;0.0;0.0;;;;
645;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
646;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2020;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
647;Total domestic and foreign;10 Manufacture of food products;0 to 49 employed persons;2021;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
648;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
649;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2014;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
650;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2015;5.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
651;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
652;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2017;0.0;0.0;0.0;0.0;5.0;15.0;0.0;0.0
653;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2018;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
654;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2019;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
655;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2020;;;;;0.0;5.0;0.0;0.0
656;Total domestic and foreign;10 Manufacture of food products;50 to 249 employed persons;2021;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
657;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2013;10.0;205.0;0.0;135.0;5.0;5.0;0.0;0.0
658;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2014;10.0;200.0;0.0;135.0;5.0;10.0;0.0;0.0
659;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2015;10.0;205.0;0.0;165.0;5.0;20.0;0.0;0.0
660;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2016;10.0;270.0;0.0;220.0;5.0;25.0;0.0;0.0
661;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2017;15.0;125.0;0.0;85.0;10.0;20.0;0.0;0.0
662;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2018;10.0;70.0;5.0;25.0;5.0;10.0;0.0;0.0
663;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2019;10.0;50.0;0.0;0.0;5.0;10.0;0.0;0.0
664;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2020;10.0;50.0;0.0;0.0;10.0;10.0;0.0;0.0
665;Total domestic and foreign;10 Manufacture of food products;250 and more employed persons;2021;10.0;35.0;0.0;0.0;10.0;10.0;0.0;0.0
666;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2013;;;;;;;;
667;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2014;;;;;;;;
668;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2015;;;;;;;;
669;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2016;;;;;;;;
670;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2017;;;;;;;;
671;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2018;;;;;;;;
672;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2019;;;;;;;;
673;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2020;;;;;;;;
674;Total domestic and foreign;10 Manufacture of food products;Employed persons unknown;2021;;;;;;;;
675;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2013;5.0;15.0;0.0;0.0;10.0;10.0;0.0;0.0
676;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2014;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
677;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
678;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2016;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
679;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2017;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
680;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2018;0.0;10.0;0.0;0.0;0.0;10.0;0.0;0.0
681;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2019;0.0;15.0;0.0;0.0;0.0;5.0;0.0;0.0
682;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2020;0.0;20.0;0.0;0.0;0.0;10.0;0.0;0.0
683;Total domestic and foreign;11 Manufacture of beverages;Total employed persons;2021;0.0;5.0;0.0;0.0;;;;
684;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2013;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
685;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2014;;;;;;;;
686;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2015;;;;;;;;
687;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2016;;;;;0.0;0.0;0.0;0.0
688;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2017;;;;;;;;
689;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2018;;;;;;;;
690;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2019;;;;;;;;
691;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2020;;;;;0.0;0.0;0.0;0.0
692;Total domestic and foreign;11 Manufacture of beverages;0 to 49 employed persons;2021;;;;;;;;
693;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
694;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2014;;;;;;;;
695;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2015;;;;;;;;
696;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2016;;;;;;;;
697;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2017;;;;;;;;
698;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2018;;;;;;;;
699;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2019;;;;;;;;
700;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2020;;;;;;;;
701;Total domestic and foreign;11 Manufacture of beverages;50 to 249 employed persons;2021;;;;;;;;
702;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2013;0.0;15.0;0.0;0.0;5.0;5.0;0.0;0.0
703;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2014;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
704;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
705;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2016;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
706;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2017;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
707;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2018;0.0;10.0;0.0;0.0;0.0;10.0;0.0;0.0
708;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2019;0.0;15.0;0.0;0.0;0.0;5.0;0.0;0.0
709;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2020;0.0;20.0;0.0;0.0;0.0;10.0;0.0;0.0
710;Total domestic and foreign;11 Manufacture of beverages;250 and more employed persons;2021;0.0;5.0;0.0;0.0;;;;
711;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2013;;;;;;;;
712;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2014;;;;;;;;
713;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2015;;;;;;;;
714;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2016;;;;;;;;
715;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2017;;;;;;;;
716;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2018;;;;;;;;
717;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2019;;;;;;;;
718;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2020;;;;;;;;
719;Total domestic and foreign;11 Manufacture of beverages;Employed persons unknown;2021;;;;;;;;
720;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2013;0.0;0.0;0.0;0.0;;;;
721;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2014;;;;;;;;
722;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2015;0.0;55.0;0.0;0.0;0.0;0.0;0.0;0.0
723;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2016;0.0;20.0;0.0;0.0;;;;
724;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2017;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
725;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2018;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
726;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
727;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2020;;;;;;;;
728;Total domestic and foreign;12 Manufacture of tobacco products;Total employed persons;2021;0.0;0.0;0.0;0.0;;;;
729;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2013;;;;;;;;
730;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2014;;;;;;;;
731;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2015;;;;;;;;
732;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2016;;;;;;;;
733;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2017;;;;;;;;
734;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2018;;;;;;;;
735;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2019;;;;;;;;
736;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2020;;;;;;;;
737;Total domestic and foreign;12 Manufacture of tobacco products;0 to 49 employed persons;2021;;;;;;;;
738;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2013;;;;;;;;
739;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2014;;;;;;;;
740;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
741;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2016;;;;;;;;
742;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2017;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
743;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2018;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
744;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
745;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2020;;;;;;;;
746;Total domestic and foreign;12 Manufacture of tobacco products;50 to 249 employed persons;2021;0.0;0.0;0.0;0.0;;;;
747;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2013;0.0;0.0;0.0;0.0;;;;
748;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2014;;;;;;;;
749;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2015;0.0;55.0;0.0;0.0;;;;
750;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2016;0.0;20.0;0.0;0.0;;;;
751;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2017;;;;;;;;
752;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2018;;;;;;;;
753;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2019;;;;;;;;
754;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2020;;;;;;;;
755;Total domestic and foreign;12 Manufacture of tobacco products;250 and more employed persons;2021;;;;;;;;
756;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2013;;;;;;;;
757;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2014;;;;;;;;
758;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2015;;;;;;;;
759;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2016;;;;;;;;
760;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2017;;;;;;;;
761;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2018;;;;;;;;
762;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2019;;;;;;;;
763;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2020;;;;;;;;
764;Total domestic and foreign;12 Manufacture of tobacco products;Employed persons unknown;2021;;;;;;;;
765;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2013;5.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
766;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2014;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
767;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2015;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
768;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2016;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
769;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2017;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
770;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2018;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
771;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2019;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
772;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2020;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
773;Total domestic and foreign;13 Manufacture of textiles;Total employed persons;2021;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
774;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2013;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
775;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2014;;;;;0.0;0.0;0.0;0.0
776;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2015;0.0;0.0;0.0;0.0;;;;
777;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2016;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
778;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
779;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2018;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
780;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2019;;;;;0.0;0.0;0.0;0.0
781;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2020;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
782;Total domestic and foreign;13 Manufacture of textiles;0 to 49 employed persons;2021;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
783;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
784;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2014;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
785;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2015;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
786;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
787;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
788;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2018;;;;;0.0;0.0;0.0;0.0
789;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
790;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2020;0.0;0.0;0.0;0.0;;;;
791;Total domestic and foreign;13 Manufacture of textiles;50 to 249 employed persons;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
792;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2013;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
793;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2014;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
794;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2015;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
795;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2016;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
796;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2017;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
797;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2018;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
798;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2019;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
799;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2020;5.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
800;Total domestic and foreign;13 Manufacture of textiles;250 and more employed persons;2021;0.0;0.0;0.0;0.0;;;;
801;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2013;;;;;;;;
802;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2014;;;;;;;;
803;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2015;;;;;;;;
804;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2016;;;;;;;;
805;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2017;;;;;;;;
806;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2018;;;;;;;;
807;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2019;;;;;;;;
808;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2020;;;;;;;;
809;Total domestic and foreign;13 Manufacture of textiles;Employed persons unknown;2021;;;;;;;;
810;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2013;5.0;15.0;0.0;0.0;15.0;15.0;0.0;0.0
811;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2014;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
812;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2015;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
813;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2016;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
814;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2017;5.0;5.0;0.0;0.0;5.0;10.0;0.0;0.0
815;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2018;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
816;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2019;5.0;10.0;0.0;0.0;10.0;10.0;0.0;0.0
817;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2020;10.0;10.0;0.0;0.0;10.0;15.0;0.0;0.0
818;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;Total employed persons;2021;5.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
819;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2013;5.0;5.0;0.0;0.0;10.0;10.0;0.0;0.0
820;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2014;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
821;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2015;0.0;0.0;0.0;0.0;;;;
822;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2016;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
823;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2017;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
824;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2018;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
825;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2019;0.0;0.0;0.0;0.0;5.0;10.0;0.0;0.0
826;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2020;5.0;5.0;0.0;0.0;10.0;10.0;0.0;0.0
827;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;0 to 49 employed persons;2021;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
828;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
829;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2014;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
830;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2015;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
831;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
832;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2017;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
833;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2018;;;;;0.0;0.0;0.0;0.0
834;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2019;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0
835;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2020;0.0;0.0;0.0;0.0;;;;
836;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;50 to 249 employed persons;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
837;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;250 and more employed persons;2013;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
838;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;250 and more employed persons;2014;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
839;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;250 and more employed persons;2015;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
840;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;250 and more employed persons;2016;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
841;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;250 and more employed persons;2017;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
842;Total domestic and foreign;13-15 Man. of textile-, leatherproducts;250 and more employed persons;2018;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
