ID;Beroep;Geslacht;Leeftijd;BurgerlijkeStaat;Personen_1
791;Aardappelmeelfabrieken (Arbeider);Totaal mannen en vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;20.0
792;Aardappelmeelfabrieken (Arbeider);Totaal mannen en vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;11.0
793;Aardappelmeelfabrieken (Arbeider);Totaal mannen en vrouwen;70 jaar en ouder;Ongehuwd;0.0
794;Aardappelmeelfabrieken (Arbeider);Totaal mannen en vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;11.0
795;Aardappelmeelfabrieken (Arbeider);Totaal mannen en vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;0.0
796;Aardappelmeelfabrieken (Arbeider);Totaal mannen en vrouwen;Leeftijd onbekend;Ongehuwd;0.0
797;Aardappelmeelfabrieken (Arbeider);Totaal mannen en vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;0.0
798;Aardappelmeelfabrieken (Arbeider);Mannen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;817.0
799;Aardappelmeelfabrieken (Arbeider);Mannen;Totaal van alle leeftijden;Ongehuwd;120.0
800;Aardappelmeelfabrieken (Arbeider);Mannen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;697.0
801;Aardappelmeelfabrieken (Arbeider);Mannen;Beneden 14 jaar;Totaal alle burgerlijke staten;0.0
802;Aardappelmeelfabrieken (Arbeider);Mannen;Beneden 14 jaar;Ongehuwd;0.0
803;Aardappelmeelfabrieken (Arbeider);Mannen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
804;Aardappelmeelfabrieken (Arbeider);Mannen;14-17 jaar;Totaal alle burgerlijke staten;8.0
805;Aardappelmeelfabrieken (Arbeider);Mannen;14-17 jaar;Ongehuwd;8.0
806;Aardappelmeelfabrieken (Arbeider);Mannen;14-17 jaar;Gehuwd of gehuwd geweest;0.0
807;Aardappelmeelfabrieken (Arbeider);Mannen;18 en 19 jaar;Totaal alle burgerlijke staten;13.0
808;Aardappelmeelfabrieken (Arbeider);Mannen;18 en 19 jaar;Ongehuwd;13.0
809;Aardappelmeelfabrieken (Arbeider);Mannen;18 en 19 jaar;Gehuwd of gehuwd geweest;0.0
810;Aardappelmeelfabrieken (Arbeider);Mannen;20 jaar;Totaal alle burgerlijke staten;11.0
811;Aardappelmeelfabrieken (Arbeider);Mannen;20 jaar;Ongehuwd;10.0
812;Aardappelmeelfabrieken (Arbeider);Mannen;20 jaar;Gehuwd of gehuwd geweest;1.0
813;Aardappelmeelfabrieken (Arbeider);Mannen;21-24 jaar;Totaal alle burgerlijke staten;57.0
814;Aardappelmeelfabrieken (Arbeider);Mannen;21-24 jaar;Ongehuwd;38.0
815;Aardappelmeelfabrieken (Arbeider);Mannen;21-24 jaar;Gehuwd of gehuwd geweest;19.0
816;Aardappelmeelfabrieken (Arbeider);Mannen;25-29 jaar;Totaal alle burgerlijke staten;91.0
817;Aardappelmeelfabrieken (Arbeider);Mannen;25-29 jaar;Ongehuwd;17.0
818;Aardappelmeelfabrieken (Arbeider);Mannen;25-29 jaar;Gehuwd of gehuwd geweest;74.0
819;Aardappelmeelfabrieken (Arbeider);Mannen;30-39 jaar;Totaal alle burgerlijke staten;239.0
820;Aardappelmeelfabrieken (Arbeider);Mannen;30-39 jaar;Ongehuwd;20.0
821;Aardappelmeelfabrieken (Arbeider);Mannen;30-39 jaar;Gehuwd of gehuwd geweest;219.0
822;Aardappelmeelfabrieken (Arbeider);Mannen;40-49 jaar;Totaal alle burgerlijke staten;169.0
823;Aardappelmeelfabrieken (Arbeider);Mannen;40-49 jaar;Ongehuwd;8.0
824;Aardappelmeelfabrieken (Arbeider);Mannen;40-49 jaar;Gehuwd of gehuwd geweest;161.0
825;Aardappelmeelfabrieken (Arbeider);Mannen;50-59 jaar;Totaal alle burgerlijke staten;148.0
826;Aardappelmeelfabrieken (Arbeider);Mannen;50-59 jaar;Ongehuwd;4.0
827;Aardappelmeelfabrieken (Arbeider);Mannen;50-59 jaar;Gehuwd of gehuwd geweest;144.0
828;Aardappelmeelfabrieken (Arbeider);Mannen;60-64 jaar;Totaal alle burgerlijke staten;50.0
829;Aardappelmeelfabrieken (Arbeider);Mannen;60-64 jaar;Ongehuwd;2.0
830;Aardappelmeelfabrieken (Arbeider);Mannen;60-64 jaar;Gehuwd of gehuwd geweest;48.0
831;Aardappelmeelfabrieken (Arbeider);Mannen;65-69 jaar;Totaal alle burgerlijke staten;20.0
832;Aardappelmeelfabrieken (Arbeider);Mannen;65-69 jaar;Ongehuwd;0.0
833;Aardappelmeelfabrieken (Arbeider);Mannen;65-69 jaar;Gehuwd of gehuwd geweest;20.0
834;Aardappelmeelfabrieken (Arbeider);Mannen;70 jaar en ouder;Totaal alle burgerlijke staten;11.0
835;Aardappelmeelfabrieken (Arbeider);Mannen;70 jaar en ouder;Ongehuwd;0.0
836;Aardappelmeelfabrieken (Arbeider);Mannen;70 jaar en ouder;Gehuwd of gehuwd geweest;11.0
837;Aardappelmeelfabrieken (Arbeider);Mannen;Leeftijd onbekend;Totaal alle burgerlijke staten;0.0
838;Aardappelmeelfabrieken (Arbeider);Mannen;Leeftijd onbekend;Ongehuwd;0.0
839;Aardappelmeelfabrieken (Arbeider);Mannen;Leeftijd onbekend;Gehuwd of gehuwd geweest;0.0
840;Aardappelmeelfabrieken (Arbeider);Vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;6.0
841;Aardappelmeelfabrieken (Arbeider);Vrouwen;Totaal van alle leeftijden;Ongehuwd;6.0
842;Aardappelmeelfabrieken (Arbeider);Vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;0.0
843;Aardappelmeelfabrieken (Arbeider);Vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;0.0
844;Aardappelmeelfabrieken (Arbeider);Vrouwen;Beneden 14 jaar;Ongehuwd;0.0
845;Aardappelmeelfabrieken (Arbeider);Vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
846;Aardappelmeelfabrieken (Arbeider);Vrouwen;14-17 jaar;Totaal alle burgerlijke staten;1.0
847;Aardappelmeelfabrieken (Arbeider);Vrouwen;14-17 jaar;Ongehuwd;1.0
848;Aardappelmeelfabrieken (Arbeider);Vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;0.0
849;Aardappelmeelfabrieken (Arbeider);Vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;2.0
850;Aardappelmeelfabrieken (Arbeider);Vrouwen;18 en 19 jaar;Ongehuwd;2.0
851;Aardappelmeelfabrieken (Arbeider);Vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;0.0
852;Aardappelmeelfabrieken (Arbeider);Vrouwen;20 jaar;Totaal alle burgerlijke staten;0.0
853;Aardappelmeelfabrieken (Arbeider);Vrouwen;20 jaar;Ongehuwd;0.0
854;Aardappelmeelfabrieken (Arbeider);Vrouwen;20 jaar;Gehuwd of gehuwd geweest;0.0
855;Aardappelmeelfabrieken (Arbeider);Vrouwen;21-24 jaar;Totaal alle burgerlijke staten;1.0
856;Aardappelmeelfabrieken (Arbeider);Vrouwen;21-24 jaar;Ongehuwd;1.0
857;Aardappelmeelfabrieken (Arbeider);Vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;0.0
858;Aardappelmeelfabrieken (Arbeider);Vrouwen;25-29 jaar;Totaal alle burgerlijke staten;1.0
859;Aardappelmeelfabrieken (Arbeider);Vrouwen;25-29 jaar;Ongehuwd;1.0
860;Aardappelmeelfabrieken (Arbeider);Vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;0.0
861;Aardappelmeelfabrieken (Arbeider);Vrouwen;30-39 jaar;Totaal alle burgerlijke staten;1.0
862;Aardappelmeelfabrieken (Arbeider);Vrouwen;30-39 jaar;Ongehuwd;1.0
863;Aardappelmeelfabrieken (Arbeider);Vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;0.0
864;Aardappelmeelfabrieken (Arbeider);Vrouwen;40-49 jaar;Totaal alle burgerlijke staten;0.0
865;Aardappelmeelfabrieken (Arbeider);Vrouwen;40-49 jaar;Ongehuwd;0.0
866;Aardappelmeelfabrieken (Arbeider);Vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;0.0
867;Aardappelmeelfabrieken (Arbeider);Vrouwen;50-59 jaar;Totaal alle burgerlijke staten;0.0
868;Aardappelmeelfabrieken (Arbeider);Vrouwen;50-59 jaar;Ongehuwd;0.0
869;Aardappelmeelfabrieken (Arbeider);Vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;0.0
870;Aardappelmeelfabrieken (Arbeider);Vrouwen;60-64 jaar;Totaal alle burgerlijke staten;0.0
871;Aardappelmeelfabrieken (Arbeider);Vrouwen;60-64 jaar;Ongehuwd;0.0
872;Aardappelmeelfabrieken (Arbeider);Vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;0.0
873;Aardappelmeelfabrieken (Arbeider);Vrouwen;65-69 jaar;Totaal alle burgerlijke staten;0.0
874;Aardappelmeelfabrieken (Arbeider);Vrouwen;65-69 jaar;Ongehuwd;0.0
875;Aardappelmeelfabrieken (Arbeider);Vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;0.0
876;Aardappelmeelfabrieken (Arbeider);Vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;0.0
877;Aardappelmeelfabrieken (Arbeider);Vrouwen;70 jaar en ouder;Ongehuwd;0.0
878;Aardappelmeelfabrieken (Arbeider);Vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;0.0
879;Aardappelmeelfabrieken (Arbeider);Vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;0.0
880;Aardappelmeelfabrieken (Arbeider);Vrouwen;Leeftijd onbekend;Ongehuwd;0.0
881;Aardappelmeelfabrieken (Arbeider);Vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;0.0
882;Aardewerkmaker;Totaal mannen en vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;1351.0
883;Aardewerkmaker;Totaal mannen en vrouwen;Totaal van alle leeftijden;Ongehuwd;804.0
884;Aardewerkmaker;Totaal mannen en vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;547.0
885;Aardewerkmaker;Totaal mannen en vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;0.0
886;Aardewerkmaker;Totaal mannen en vrouwen;Beneden 14 jaar;Ongehuwd;0.0
887;Aardewerkmaker;Totaal mannen en vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
888;Aardewerkmaker;Totaal mannen en vrouwen;14-17 jaar;Totaal alle burgerlijke staten;255.0
889;Aardewerkmaker;Totaal mannen en vrouwen;14-17 jaar;Ongehuwd;255.0
890;Aardewerkmaker;Totaal mannen en vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;0.0
891;Aardewerkmaker;Totaal mannen en vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;158.0
892;Aardewerkmaker;Totaal mannen en vrouwen;18 en 19 jaar;Ongehuwd;156.0
893;Aardewerkmaker;Totaal mannen en vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;2.0
894;Aardewerkmaker;Totaal mannen en vrouwen;20 jaar;Totaal alle burgerlijke staten;64.0
895;Aardewerkmaker;Totaal mannen en vrouwen;20 jaar;Ongehuwd;62.0
896;Aardewerkmaker;Totaal mannen en vrouwen;20 jaar;Gehuwd of gehuwd geweest;2.0
897;Aardewerkmaker;Totaal mannen en vrouwen;21-24 jaar;Totaal alle burgerlijke staten;274.0
898;Aardewerkmaker;Totaal mannen en vrouwen;21-24 jaar;Ongehuwd;206.0
899;Aardewerkmaker;Totaal mannen en vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;68.0
900;Aardewerkmaker;Totaal mannen en vrouwen;25-29 jaar;Totaal alle burgerlijke staten;205.0
901;Aardewerkmaker;Totaal mannen en vrouwen;25-29 jaar;Ongehuwd;79.0
902;Aardewerkmaker;Totaal mannen en vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;126.0
903;Aardewerkmaker;Totaal mannen en vrouwen;30-39 jaar;Totaal alle burgerlijke staten;192.0
904;Aardewerkmaker;Totaal mannen en vrouwen;30-39 jaar;Ongehuwd;28.0
905;Aardewerkmaker;Totaal mannen en vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;164.0
906;Aardewerkmaker;Totaal mannen en vrouwen;40-49 jaar;Totaal alle burgerlijke staten;96.0
907;Aardewerkmaker;Totaal mannen en vrouwen;40-49 jaar;Ongehuwd;9.0
908;Aardewerkmaker;Totaal mannen en vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;87.0
909;Aardewerkmaker;Totaal mannen en vrouwen;50-59 jaar;Totaal alle burgerlijke staten;81.0
910;Aardewerkmaker;Totaal mannen en vrouwen;50-59 jaar;Ongehuwd;8.0
911;Aardewerkmaker;Totaal mannen en vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;73.0
912;Aardewerkmaker;Totaal mannen en vrouwen;60-64 jaar;Totaal alle burgerlijke staten;18.0
913;Aardewerkmaker;Totaal mannen en vrouwen;60-64 jaar;Ongehuwd;1.0
914;Aardewerkmaker;Totaal mannen en vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;17.0
915;Aardewerkmaker;Totaal mannen en vrouwen;65-69 jaar;Totaal alle burgerlijke staten;7.0
916;Aardewerkmaker;Totaal mannen en vrouwen;65-69 jaar;Ongehuwd;0.0
917;Aardewerkmaker;Totaal mannen en vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;7.0
918;Aardewerkmaker;Totaal mannen en vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;1.0
919;Aardewerkmaker;Totaal mannen en vrouwen;70 jaar en ouder;Ongehuwd;0.0
920;Aardewerkmaker;Totaal mannen en vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;1.0
921;Aardewerkmaker;Totaal mannen en vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;0.0
922;Aardewerkmaker;Totaal mannen en vrouwen;Leeftijd onbekend;Ongehuwd;0.0
923;Aardewerkmaker;Totaal mannen en vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;0.0
924;Aardewerkmaker;Mannen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;1220.0
925;Aardewerkmaker;Mannen;Totaal van alle leeftijden;Ongehuwd;688.0
926;Aardewerkmaker;Mannen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;532.0
927;Aardewerkmaker;Mannen;Beneden 14 jaar;Totaal alle burgerlijke staten;0.0
928;Aardewerkmaker;Mannen;Beneden 14 jaar;Ongehuwd;0.0
929;Aardewerkmaker;Mannen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
930;Aardewerkmaker;Mannen;14-17 jaar;Totaal alle burgerlijke staten;229.0
931;Aardewerkmaker;Mannen;14-17 jaar;Ongehuwd;229.0
932;Aardewerkmaker;Mannen;14-17 jaar;Gehuwd of gehuwd geweest;0.0
933;Aardewerkmaker;Mannen;18 en 19 jaar;Totaal alle burgerlijke staten;130.0
934;Aardewerkmaker;Mannen;18 en 19 jaar;Ongehuwd;128.0
935;Aardewerkmaker;Mannen;18 en 19 jaar;Gehuwd of gehuwd geweest;2.0
936;Aardewerkmaker;Mannen;20 jaar;Totaal alle burgerlijke staten;48.0
937;Aardewerkmaker;Mannen;20 jaar;Ongehuwd;46.0
938;Aardewerkmaker;Mannen;20 jaar;Gehuwd of gehuwd geweest;2.0
939;Aardewerkmaker;Mannen;21-24 jaar;Totaal alle burgerlijke staten;233.0
940;Aardewerkmaker;Mannen;21-24 jaar;Ongehuwd;169.0
941;Aardewerkmaker;Mannen;21-24 jaar;Gehuwd of gehuwd geweest;64.0
942;Aardewerkmaker;Mannen;25-29 jaar;Totaal alle burgerlijke staten;197.0
943;Aardewerkmaker;Mannen;25-29 jaar;Ongehuwd;75.0
944;Aardewerkmaker;Mannen;25-29 jaar;Gehuwd of gehuwd geweest;122.0
945;Aardewerkmaker;Mannen;30-39 jaar;Totaal alle burgerlijke staten;186.0
946;Aardewerkmaker;Mannen;30-39 jaar;Ongehuwd;26.0
947;Aardewerkmaker;Mannen;30-39 jaar;Gehuwd of gehuwd geweest;160.0
948;Aardewerkmaker;Mannen;40-49 jaar;Totaal alle burgerlijke staten;94.0
949;Aardewerkmaker;Mannen;40-49 jaar;Ongehuwd;8.0
950;Aardewerkmaker;Mannen;40-49 jaar;Gehuwd of gehuwd geweest;86.0
951;Aardewerkmaker;Mannen;50-59 jaar;Totaal alle burgerlijke staten;79.0
952;Aardewerkmaker;Mannen;50-59 jaar;Ongehuwd;6.0
953;Aardewerkmaker;Mannen;50-59 jaar;Gehuwd of gehuwd geweest;73.0
954;Aardewerkmaker;Mannen;60-64 jaar;Totaal alle burgerlijke staten;16.0
955;Aardewerkmaker;Mannen;60-64 jaar;Ongehuwd;1.0
956;Aardewerkmaker;Mannen;60-64 jaar;Gehuwd of gehuwd geweest;15.0
957;Aardewerkmaker;Mannen;65-69 jaar;Totaal alle burgerlijke staten;7.0
958;Aardewerkmaker;Mannen;65-69 jaar;Ongehuwd;0.0
959;Aardewerkmaker;Mannen;65-69 jaar;Gehuwd of gehuwd geweest;7.0
960;Aardewerkmaker;Mannen;70 jaar en ouder;Totaal alle burgerlijke staten;1.0
961;Aardewerkmaker;Mannen;70 jaar en ouder;Ongehuwd;0.0
962;Aardewerkmaker;Mannen;70 jaar en ouder;Gehuwd of gehuwd geweest;1.0
963;Aardewerkmaker;Mannen;Leeftijd onbekend;Totaal alle burgerlijke staten;0.0
964;Aardewerkmaker;Mannen;Leeftijd onbekend;Ongehuwd;0.0
965;Aardewerkmaker;Mannen;Leeftijd onbekend;Gehuwd of gehuwd geweest;0.0
966;Aardewerkmaker;Vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;131.0
967;Aardewerkmaker;Vrouwen;Totaal van alle leeftijden;Ongehuwd;116.0
968;Aardewerkmaker;Vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;15.0
969;Aardewerkmaker;Vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;0.0
970;Aardewerkmaker;Vrouwen;Beneden 14 jaar;Ongehuwd;0.0
971;Aardewerkmaker;Vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
972;Aardewerkmaker;Vrouwen;14-17 jaar;Totaal alle burgerlijke staten;26.0
973;Aardewerkmaker;Vrouwen;14-17 jaar;Ongehuwd;26.0
974;Aardewerkmaker;Vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;0.0
975;Aardewerkmaker;Vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;28.0
976;Aardewerkmaker;Vrouwen;18 en 19 jaar;Ongehuwd;28.0
977;Aardewerkmaker;Vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;0.0
978;Aardewerkmaker;Vrouwen;20 jaar;Totaal alle burgerlijke staten;16.0
979;Aardewerkmaker;Vrouwen;20 jaar;Ongehuwd;16.0
980;Aardewerkmaker;Vrouwen;20 jaar;Gehuwd of gehuwd geweest;0.0
981;Aardewerkmaker;Vrouwen;21-24 jaar;Totaal alle burgerlijke staten;41.0
982;Aardewerkmaker;Vrouwen;21-24 jaar;Ongehuwd;37.0
983;Aardewerkmaker;Vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;4.0
984;Aardewerkmaker;Vrouwen;25-29 jaar;Totaal alle burgerlijke staten;8.0
985;Aardewerkmaker;Vrouwen;25-29 jaar;Ongehuwd;4.0
986;Aardewerkmaker;Vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;4.0
987;Aardewerkmaker;Vrouwen;30-39 jaar;Totaal alle burgerlijke staten;6.0
988;Aardewerkmaker;Vrouwen;30-39 jaar;Ongehuwd;2.0
989;Aardewerkmaker;Vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;4.0
990;Aardewerkmaker;Vrouwen;40-49 jaar;Totaal alle burgerlijke staten;2.0
991;Aardewerkmaker;Vrouwen;40-49 jaar;Ongehuwd;1.0
992;Aardewerkmaker;Vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;1.0
993;Aardewerkmaker;Vrouwen;50-59 jaar;Totaal alle burgerlijke staten;2.0
994;Aardewerkmaker;Vrouwen;50-59 jaar;Ongehuwd;2.0
995;Aardewerkmaker;Vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;0.0
996;Aardewerkmaker;Vrouwen;60-64 jaar;Totaal alle burgerlijke staten;2.0
997;Aardewerkmaker;Vrouwen;60-64 jaar;Ongehuwd;0.0
998;Aardewerkmaker;Vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;2.0
999;Aardewerkmaker;Vrouwen;65-69 jaar;Totaal alle burgerlijke staten;0.0
1000;Aardewerkmaker;Vrouwen;65-69 jaar;Ongehuwd;0.0
1001;Aardewerkmaker;Vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;0.0
1002;Aardewerkmaker;Vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;0.0
1003;Aardewerkmaker;Vrouwen;70 jaar en ouder;Ongehuwd;0.0
1004;Aardewerkmaker;Vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;0.0
1005;Aardewerkmaker;Vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;0.0
1006;Aardewerkmaker;Vrouwen;Leeftijd onbekend;Ongehuwd;0.0
1007;Aardewerkmaker;Vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;0.0
1008;Accountant;Totaal mannen en vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;1433.0
1009;Accountant;Totaal mannen en vrouwen;Totaal van alle leeftijden;Ongehuwd;268.0
1010;Accountant;Totaal mannen en vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;1165.0
1011;Accountant;Totaal mannen en vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;0.0
1012;Accountant;Totaal mannen en vrouwen;Beneden 14 jaar;Ongehuwd;0.0
1013;Accountant;Totaal mannen en vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
1014;Accountant;Totaal mannen en vrouwen;14-17 jaar;Totaal alle burgerlijke staten;0.0
1015;Accountant;Totaal mannen en vrouwen;14-17 jaar;Ongehuwd;0.0
1016;Accountant;Totaal mannen en vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;0.0
1017;Accountant;Totaal mannen en vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;8.0
1018;Accountant;Totaal mannen en vrouwen;18 en 19 jaar;Ongehuwd;8.0
1019;Accountant;Totaal mannen en vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;0.0
1020;Accountant;Totaal mannen en vrouwen;20 jaar;Totaal alle burgerlijke staten;9.0
1021;Accountant;Totaal mannen en vrouwen;20 jaar;Ongehuwd;9.0
1022;Accountant;Totaal mannen en vrouwen;20 jaar;Gehuwd of gehuwd geweest;0.0
1023;Accountant;Totaal mannen en vrouwen;21-24 jaar;Totaal alle burgerlijke staten;53.0
1024;Accountant;Totaal mannen en vrouwen;21-24 jaar;Ongehuwd;51.0
1025;Accountant;Totaal mannen en vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;2.0
1026;Accountant;Totaal mannen en vrouwen;25-29 jaar;Totaal alle burgerlijke staten;177.0
1027;Accountant;Totaal mannen en vrouwen;25-29 jaar;Ongehuwd;83.0
1028;Accountant;Totaal mannen en vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;94.0
1029;Accountant;Totaal mannen en vrouwen;30-39 jaar;Totaal alle burgerlijke staten;580.0
1030;Accountant;Totaal mannen en vrouwen;30-39 jaar;Ongehuwd;87.0
1031;Accountant;Totaal mannen en vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;493.0
1032;Accountant;Totaal mannen en vrouwen;40-49 jaar;Totaal alle burgerlijke staten;371.0
1033;Accountant;Totaal mannen en vrouwen;40-49 jaar;Ongehuwd;23.0
1034;Accountant;Totaal mannen en vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;348.0
1035;Accountant;Totaal mannen en vrouwen;50-59 jaar;Totaal alle burgerlijke staten;171.0
1036;Accountant;Totaal mannen en vrouwen;50-59 jaar;Ongehuwd;6.0
1037;Accountant;Totaal mannen en vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;165.0
1038;Accountant;Totaal mannen en vrouwen;60-64 jaar;Totaal alle burgerlijke staten;38.0
1039;Accountant;Totaal mannen en vrouwen;60-64 jaar;Ongehuwd;0.0
1040;Accountant;Totaal mannen en vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;38.0
1041;Accountant;Totaal mannen en vrouwen;65-69 jaar;Totaal alle burgerlijke staten;19.0
1042;Accountant;Totaal mannen en vrouwen;65-69 jaar;Ongehuwd;1.0
1043;Accountant;Totaal mannen en vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;18.0
1044;Accountant;Totaal mannen en vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;7.0
1045;Accountant;Totaal mannen en vrouwen;70 jaar en ouder;Ongehuwd;0.0
1046;Accountant;Totaal mannen en vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;7.0
1047;Accountant;Totaal mannen en vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;0.0
1048;Accountant;Totaal mannen en vrouwen;Leeftijd onbekend;Ongehuwd;0.0
1049;Accountant;Totaal mannen en vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;0.0
1050;Accountant;Mannen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;1417.0
1051;Accountant;Mannen;Totaal van alle leeftijden;Ongehuwd;257.0
1052;Accountant;Mannen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;1160.0
1053;Accountant;Mannen;Beneden 14 jaar;Totaal alle burgerlijke staten;0.0
1054;Accountant;Mannen;Beneden 14 jaar;Ongehuwd;0.0
1055;Accountant;Mannen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
1056;Accountant;Mannen;14-17 jaar;Totaal alle burgerlijke staten;0.0
1057;Accountant;Mannen;14-17 jaar;Ongehuwd;0.0
1058;Accountant;Mannen;14-17 jaar;Gehuwd of gehuwd geweest;0.0
1059;Accountant;Mannen;18 en 19 jaar;Totaal alle burgerlijke staten;8.0
1060;Accountant;Mannen;18 en 19 jaar;Ongehuwd;8.0
1061;Accountant;Mannen;18 en 19 jaar;Gehuwd of gehuwd geweest;0.0
1062;Accountant;Mannen;20 jaar;Totaal alle burgerlijke staten;9.0
1063;Accountant;Mannen;20 jaar;Ongehuwd;9.0
1064;Accountant;Mannen;20 jaar;Gehuwd of gehuwd geweest;0.0
1065;Accountant;Mannen;21-24 jaar;Totaal alle burgerlijke staten;51.0
1066;Accountant;Mannen;21-24 jaar;Ongehuwd;49.0
1067;Accountant;Mannen;21-24 jaar;Gehuwd of gehuwd geweest;2.0
1068;Accountant;Mannen;25-29 jaar;Totaal alle burgerlijke staten;174.0
1069;Accountant;Mannen;25-29 jaar;Ongehuwd;80.0
1070;Accountant;Mannen;25-29 jaar;Gehuwd of gehuwd geweest;94.0
1071;Accountant;Mannen;30-39 jaar;Totaal alle burgerlijke staten;573.0
1072;Accountant;Mannen;30-39 jaar;Ongehuwd;83.0
1073;Accountant;Mannen;30-39 jaar;Gehuwd of gehuwd geweest;490.0
1074;Accountant;Mannen;40-49 jaar;Totaal alle burgerlijke staten;367.0
1075;Accountant;Mannen;40-49 jaar;Ongehuwd;21.0
1076;Accountant;Mannen;40-49 jaar;Gehuwd of gehuwd geweest;346.0
1077;Accountant;Mannen;50-59 jaar;Totaal alle burgerlijke staten;171.0
