ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
754;Social work and child day care;HF3: Household out-of-pocket payments;2002;747.0
755;Social work and child day care;HF3: Household out-of-pocket payments;2003;864.0
756;Social work and child day care;HF3: Household out-of-pocket payments;2004;981.0
757;Social work and child day care;HF3: Household out-of-pocket payments;2005;912.0
758;Social work and child day care;HF3: Household out-of-pocket payments;2006;940.0
759;Social work and child day care;HF3: Household out-of-pocket payments;2007;1055.0
760;Social work and child day care;HF3: Household out-of-pocket payments;2008;991.0
761;Social work and child day care;HF3: Household out-of-pocket payments;2009;1104.0
762;Social work and child day care;HF3: Household out-of-pocket payments;2010;1218.0
763;Social work and child day care;HF3: Household out-of-pocket payments;2011;1453.0
764;Social work and child day care;HF3: Household out-of-pocket payments;2012;1762.0
765;Social work and child day care;HF3: Household out-of-pocket payments;2013;1853.0
766;Social work and child day care;HF3: Household out-of-pocket payments;2014;1606.0
767;Social work and child day care;HF3: Household out-of-pocket payments;2015;1643.0
768;Social work and child day care;HF3: Household out-of-pocket payments;2016;1661.0
769;Social work and child day care;HF3: Household out-of-pocket payments;2017;1692.0
770;Social work and child day care;HF3: Household out-of-pocket payments;2018;1786.0
771;Social work and child day care;HF3: Household out-of-pocket payments;2019;1941.0
772;Social work and child day care;HF3: Household out-of-pocket payments;2020;1676.0
773;Social work and child day care;HF3: Household out-of-pocket payments;2021;1830.0
774;Social work and child day care;HF3: Household out-of-pocket payments;2022;2445.0
775;Social work and child day care;HF31: Out-of-pocket excl cost sharing;1998;433.0
776;Social work and child day care;HF31: Out-of-pocket excl cost sharing;1999;547.0
777;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2000;600.0
778;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2001;638.0
779;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2002;677.0
780;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2003;791.0
781;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2004;907.0
782;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2005;843.0
783;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2006;876.0
784;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2007;1013.0
785;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2008;936.0
786;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2009;1062.0
787;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2010;1177.0
788;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2011;1409.0
789;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2012;1720.0
790;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2013;1808.0
791;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2014;1564.0
792;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2015;1549.0
793;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2016;1577.0
794;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2017;1628.0
795;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2018;1718.0
796;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2019;1907.0
797;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2020;1658.0
798;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2021;1818.0
799;Social work and child day care;HF31: Out-of-pocket excl cost sharing;2022;2433.0
800;Social work and child day care;HF32: Cost sharing;1998;55.0
801;Social work and child day care;HF32: Cost sharing;1999;58.0
802;Social work and child day care;HF32: Cost sharing;2000;56.0
803;Social work and child day care;HF32: Cost sharing;2001;61.0
804;Social work and child day care;HF32: Cost sharing;2002;70.0
805;Social work and child day care;HF32: Cost sharing;2003;73.0
806;Social work and child day care;HF32: Cost sharing;2004;74.0
807;Social work and child day care;HF32: Cost sharing;2005;69.0
808;Social work and child day care;HF32: Cost sharing;2006;65.0
809;Social work and child day care;HF32: Cost sharing;2007;42.0
810;Social work and child day care;HF32: Cost sharing;2008;55.0
811;Social work and child day care;HF32: Cost sharing;2009;42.0
812;Social work and child day care;HF32: Cost sharing;2010;41.0
813;Social work and child day care;HF32: Cost sharing;2011;44.0
814;Social work and child day care;HF32: Cost sharing;2012;42.0
815;Social work and child day care;HF32: Cost sharing;2013;45.0
816;Social work and child day care;HF32: Cost sharing;2014;41.0
817;Social work and child day care;HF32: Cost sharing;2015;94.0
818;Social work and child day care;HF32: Cost sharing;2016;84.0
819;Social work and child day care;HF32: Cost sharing;2017;64.0
820;Social work and child day care;HF32: Cost sharing;2018;68.0
821;Social work and child day care;HF32: Cost sharing;2019;34.0
822;Social work and child day care;HF32: Cost sharing;2020;17.0
823;Social work and child day care;HF32: Cost sharing;2021;13.0
824;Social work and child day care;HF32: Cost sharing;2022;12.0
825;Social work and child day care;"Rest of the world; exports";1998;0.0
826;Social work and child day care;"Rest of the world; exports";1999;0.0
827;Social work and child day care;"Rest of the world; exports";2000;0.0
828;Social work and child day care;"Rest of the world; exports";2001;0.0
829;Social work and child day care;"Rest of the world; exports";2002;0.0
830;Social work and child day care;"Rest of the world; exports";2003;0.0
831;Social work and child day care;"Rest of the world; exports";2004;0.0
832;Social work and child day care;"Rest of the world; exports";2005;0.0
833;Social work and child day care;"Rest of the world; exports";2006;0.0
834;Social work and child day care;"Rest of the world; exports";2007;0.0
835;Social work and child day care;"Rest of the world; exports";2008;0.0
836;Social work and child day care;"Rest of the world; exports";2009;0.0
837;Social work and child day care;"Rest of the world; exports";2010;0.0
838;Social work and child day care;"Rest of the world; exports";2011;0.0
839;Social work and child day care;"Rest of the world; exports";2012;0.0
840;Social work and child day care;"Rest of the world; exports";2013;0.0
841;Social work and child day care;"Rest of the world; exports";2014;0.0
842;Social work and child day care;"Rest of the world; exports";2015;0.0
843;Social work and child day care;"Rest of the world; exports";2016;0.0
844;Social work and child day care;"Rest of the world; exports";2017;0.0
845;Social work and child day care;"Rest of the world; exports";2018;0.0
846;Social work and child day care;"Rest of the world; exports";2019;0.0
847;Social work and child day care;"Rest of the world; exports";2020;0.0
848;Social work and child day care;"Rest of the world; exports";2021;0.0
849;Social work and child day care;"Rest of the world; exports";2022;0.0
850;Education, R&D, other services;Total financ schemes health,social care;1998;929.0
851;Education, R&D, other services;Total financ schemes health,social care;1999;1011.0
852;Education, R&D, other services;Total financ schemes health,social care;2000;1079.0
853;Education, R&D, other services;Total financ schemes health,social care;2001;1240.0
854;Education, R&D, other services;Total financ schemes health,social care;2002;1386.0
855;Education, R&D, other services;Total financ schemes health,social care;2003;1484.0
856;Education, R&D, other services;Total financ schemes health,social care;2004;1599.0
857;Education, R&D, other services;Total financ schemes health,social care;2005;1627.0
858;Education, R&D, other services;Total financ schemes health,social care;2006;2185.0
859;Education, R&D, other services;Total financ schemes health,social care;2007;2301.0
860;Education, R&D, other services;Total financ schemes health,social care;2008;2396.0
861;Education, R&D, other services;Total financ schemes health,social care;2009;2719.0
862;Education, R&D, other services;Total financ schemes health,social care;2010;2778.0
863;Education, R&D, other services;Total financ schemes health,social care;2011;3212.0
864;Education, R&D, other services;Total financ schemes health,social care;2012;3295.0
865;Education, R&D, other services;Total financ schemes health,social care;2013;3206.0
866;Education, R&D, other services;Total financ schemes health,social care;2014;3340.0
867;Education, R&D, other services;Total financ schemes health,social care;2015;2874.0
868;Education, R&D, other services;Total financ schemes health,social care;2016;2961.0
869;Education, R&D, other services;Total financ schemes health,social care;2017;3064.0
870;Education, R&D, other services;Total financ schemes health,social care;2018;3120.0
871;Education, R&D, other services;Total financ schemes health,social care;2019;3317.0
872;Education, R&D, other services;Total financ schemes health,social care;2020;3783.0
873;Education, R&D, other services;Total financ schemes health,social care;2021;3760.0
874;Education, R&D, other services;Total financ schemes health,social care;2022;3836.0
875;Education, R&D, other services;Total financing of residents;1998;906.0
876;Education, R&D, other services;Total financing of residents;1999;986.0
877;Education, R&D, other services;Total financing of residents;2000;1052.0
878;Education, R&D, other services;Total financing of residents;2001;1208.0
879;Education, R&D, other services;Total financing of residents;2002;1348.0
880;Education, R&D, other services;Total financing of residents;2003;1444.0
881;Education, R&D, other services;Total financing of residents;2004;1556.0
882;Education, R&D, other services;Total financing of residents;2005;1584.0
883;Education, R&D, other services;Total financing of residents;2006;2140.0
884;Education, R&D, other services;Total financing of residents;2007;2252.0
885;Education, R&D, other services;Total financing of residents;2008;2342.0
886;Education, R&D, other services;Total financing of residents;2009;2649.0
887;Education, R&D, other services;Total financing of residents;2010;2701.0
888;Education, R&D, other services;Total financing of residents;2011;3126.0
889;Education, R&D, other services;Total financing of residents;2012;3195.0
890;Education, R&D, other services;Total financing of residents;2013;3114.0
891;Education, R&D, other services;Total financing of residents;2014;3258.0
892;Education, R&D, other services;Total financing of residents;2015;2779.0
893;Education, R&D, other services;Total financing of residents;2016;2867.0
894;Education, R&D, other services;Total financing of residents;2017;2968.0
895;Education, R&D, other services;Total financing of residents;2018;3019.0
896;Education, R&D, other services;Total financing of residents;2019;3210.0
897;Education, R&D, other services;Total financing of residents;2020;3671.0
898;Education, R&D, other services;Total financing of residents;2021;3643.0
899;Education, R&D, other services;Total financing of residents;2022;3719.0
900;Education, R&D, other services;HF1: Government, comp. contr. schemes;1998;735.0
901;Education, R&D, other services;HF1: Government, comp. contr. schemes;1999;796.0
902;Education, R&D, other services;HF1: Government, comp. contr. schemes;2000;853.0
903;Education, R&D, other services;HF1: Government, comp. contr. schemes;2001;983.0
904;Education, R&D, other services;HF1: Government, comp. contr. schemes;2002;1081.0
905;Education, R&D, other services;HF1: Government, comp. contr. schemes;2003;1157.0
906;Education, R&D, other services;HF1: Government, comp. contr. schemes;2004;1252.0
907;Education, R&D, other services;HF1: Government, comp. contr. schemes;2005;1270.0
908;Education, R&D, other services;HF1: Government, comp. contr. schemes;2006;1979.0
909;Education, R&D, other services;HF1: Government, comp. contr. schemes;2007;2077.0
910;Education, R&D, other services;HF1: Government, comp. contr. schemes;2008;2193.0
911;Education, R&D, other services;HF1: Government, comp. contr. schemes;2009;2458.0
912;Education, R&D, other services;HF1: Government, comp. contr. schemes;2010;2489.0
913;Education, R&D, other services;HF1: Government, comp. contr. schemes;2011;2890.0
914;Education, R&D, other services;HF1: Government, comp. contr. schemes;2012;2921.0
915;Education, R&D, other services;HF1: Government, comp. contr. schemes;2013;2868.0
916;Education, R&D, other services;HF1: Government, comp. contr. schemes;2014;3002.0
917;Education, R&D, other services;HF1: Government, comp. contr. schemes;2015;2526.0
918;Education, R&D, other services;HF1: Government, comp. contr. schemes;2016;2592.0
919;Education, R&D, other services;HF1: Government, comp. contr. schemes;2017;2684.0
920;Education, R&D, other services;HF1: Government, comp. contr. schemes;2018;2720.0
921;Education, R&D, other services;HF1: Government, comp. contr. schemes;2019;2891.0
922;Education, R&D, other services;HF1: Government, comp. contr. schemes;2020;3358.0
923;Education, R&D, other services;HF1: Government, comp. contr. schemes;2021;3314.0
924;Education, R&D, other services;HF1: Government, comp. contr. schemes;2022;3392.0
925;Education, R&D, other services;HF11: Government schemes;1998;477.0
926;Education, R&D, other services;HF11: Government schemes;1999;532.0
927;Education, R&D, other services;HF11: Government schemes;2000;571.0
928;Education, R&D, other services;HF11: Government schemes;2001;661.0
929;Education, R&D, other services;HF11: Government schemes;2002;719.0
930;Education, R&D, other services;HF11: Government schemes;2003;771.0
931;Education, R&D, other services;HF11: Government schemes;2004;853.0
932;Education, R&D, other services;HF11: Government schemes;2005;867.0
933;Education, R&D, other services;HF11: Government schemes;2006;1387.0
934;Education, R&D, other services;HF11: Government schemes;2007;2033.0
935;Education, R&D, other services;HF11: Government schemes;2008;2073.0
936;Education, R&D, other services;HF11: Government schemes;2009;2327.0
937;Education, R&D, other services;HF11: Government schemes;2010;2348.0
938;Education, R&D, other services;HF11: Government schemes;2011;2387.0
939;Education, R&D, other services;HF11: Government schemes;2012;2336.0
940;Education, R&D, other services;HF11: Government schemes;2013;1229.0
941;Education, R&D, other services;HF11: Government schemes;2014;1187.0
942;Education, R&D, other services;HF11: Government schemes;2015;1186.0
943;Education, R&D, other services;HF11: Government schemes;2016;1236.0
944;Education, R&D, other services;HF11: Government schemes;2017;1307.0
945;Education, R&D, other services;HF11: Government schemes;2018;1315.0
946;Education, R&D, other services;HF11: Government schemes;2019;1408.0
947;Education, R&D, other services;HF11: Government schemes;2020;1774.0
948;Education, R&D, other services;HF11: Government schemes;2021;1676.0
949;Education, R&D, other services;HF11: Government schemes;2022;1670.0
950;Education, R&D, other services;HF12: Compulsory contributory schemes;1998;258.0
951;Education, R&D, other services;HF12: Compulsory contributory schemes;1999;264.0
952;Education, R&D, other services;HF12: Compulsory contributory schemes;2000;282.0
953;Education, R&D, other services;HF12: Compulsory contributory schemes;2001;323.0
954;Education, R&D, other services;HF12: Compulsory contributory schemes;2002;362.0
955;Education, R&D, other services;HF12: Compulsory contributory schemes;2003;386.0
956;Education, R&D, other services;HF12: Compulsory contributory schemes;2004;400.0
957;Education, R&D, other services;HF12: Compulsory contributory schemes;2005;403.0
958;Education, R&D, other services;HF12: Compulsory contributory schemes;2006;592.0
959;Education, R&D, other services;HF12: Compulsory contributory schemes;2007;44.0
960;Education, R&D, other services;HF12: Compulsory contributory schemes;2008;120.0
961;Education, R&D, other services;HF12: Compulsory contributory schemes;2009;132.0
962;Education, R&D, other services;HF12: Compulsory contributory schemes;2010;141.0
963;Education, R&D, other services;HF12: Compulsory contributory schemes;2011;503.0
964;Education, R&D, other services;HF12: Compulsory contributory schemes;2012;585.0
965;Education, R&D, other services;HF12: Compulsory contributory schemes;2013;1639.0
966;Education, R&D, other services;HF12: Compulsory contributory schemes;2014;1815.0
967;Education, R&D, other services;HF12: Compulsory contributory schemes;2015;1341.0
968;Education, R&D, other services;HF12: Compulsory contributory schemes;2016;1355.0
969;Education, R&D, other services;HF12: Compulsory contributory schemes;2017;1377.0
970;Education, R&D, other services;HF12: Compulsory contributory schemes;2018;1406.0
971;Education, R&D, other services;HF12: Compulsory contributory schemes;2019;1484.0
972;Education, R&D, other services;HF12: Compulsory contributory schemes;2020;1585.0
973;Education, R&D, other services;HF12: Compulsory contributory schemes;2021;1638.0
974;Education, R&D, other services;HF12: Compulsory contributory schemes;2022;1722.0
975;Education, R&D, other services;HF121a: Long-term care insurance;1998;0.0
976;Education, R&D, other services;HF121a: Long-term care insurance;1999;0.0
977;Education, R&D, other services;HF121a: Long-term care insurance;2000;0.0
978;Education, R&D, other services;HF121a: Long-term care insurance;2001;0.0
979;Education, R&D, other services;HF121a: Long-term care insurance;2002;0.0
980;Education, R&D, other services;HF121a: Long-term care insurance;2003;0.0
981;Education, R&D, other services;HF121a: Long-term care insurance;2004;0.0
982;Education, R&D, other services;HF121a: Long-term care insurance;2005;0.0
983;Education, R&D, other services;HF121a: Long-term care insurance;2006;0.0
984;Education, R&D, other services;HF121a: Long-term care insurance;2007;0.0
985;Education, R&D, other services;HF121a: Long-term care insurance;2008;0.0
986;Education, R&D, other services;HF121a: Long-term care insurance;2009;0.0
987;Education, R&D, other services;HF121a: Long-term care insurance;2010;0.0
988;Education, R&D, other services;HF121a: Long-term care insurance;2011;0.0
989;Education, R&D, other services;HF121a: Long-term care insurance;2012;0.0
990;Education, R&D, other services;HF121a: Long-term care insurance;2013;0.0
991;Education, R&D, other services;HF121a: Long-term care insurance;2014;25.0
992;Education, R&D, other services;HF121a: Long-term care insurance;2015;28.0
993;Education, R&D, other services;HF121a: Long-term care insurance;2016;29.0
994;Education, R&D, other services;HF121a: Long-term care insurance;2017;30.0
995;Education, R&D, other services;HF121a: Long-term care insurance;2018;30.0
996;Education, R&D, other services;HF121a: Long-term care insurance;2019;44.0
997;Education, R&D, other services;HF121a: Long-term care insurance;2020;59.0
998;Education, R&D, other services;HF121a: Long-term care insurance;2021;69.0
999;Education, R&D, other services;HF121a: Long-term care insurance;2022;69.0
1000;Education, R&D, other services;HF121b: Health Insurance Fund;1998;258.0
1001;Education, R&D, other services;HF121b: Health Insurance Fund;1999;264.0
1002;Education, R&D, other services;HF121b: Health Insurance Fund;2000;282.0
1003;Education, R&D, other services;HF121b: Health Insurance Fund;2001;323.0
1004;Education, R&D, other services;HF121b: Health Insurance Fund;2002;362.0
1005;Education, R&D, other services;HF121b: Health Insurance Fund;2003;386.0
1006;Education, R&D, other services;HF121b: Health Insurance Fund;2004;399.0
1007;Education, R&D, other services;HF121b: Health Insurance Fund;2005;403.0
1008;Education, R&D, other services;HF121b: Health Insurance Fund;2006;
1009;Education, R&D, other services;HF121b: Health Insurance Fund;2007;
1010;Education, R&D, other services;HF121b: Health Insurance Fund;2008;
1011;Education, R&D, other services;HF121b: Health Insurance Fund;2009;
1012;Education, R&D, other services;HF121b: Health Insurance Fund;2010;
1013;Education, R&D, other services;HF121b: Health Insurance Fund;2011;
1014;Education, R&D, other services;HF121b: Health Insurance Fund;2012;
1015;Education, R&D, other services;HF121b: Health Insurance Fund;2013;
1016;Education, R&D, other services;HF121b: Health Insurance Fund;2014;
1017;Education, R&D, other services;HF121b: Health Insurance Fund;2015;
1018;Education, R&D, other services;HF121b: Health Insurance Fund;2016;
1019;Education, R&D, other services;HF121b: Health Insurance Fund;2017;
1020;Education, R&D, other services;HF121b: Health Insurance Fund;2018;
1021;Education, R&D, other services;HF121b: Health Insurance Fund;2019;
1022;Education, R&D, other services;HF121b: Health Insurance Fund;2020;
1023;Education, R&D, other services;HF121b: Health Insurance Fund;2021;
1024;Education, R&D, other services;HF121b: Health Insurance Fund;2022;
1025;Education, R&D, other services;HF122: Compulsory private insurance;1998;
1026;Education, R&D, other services;HF122: Compulsory private insurance;1999;
1027;Education, R&D, other services;HF122: Compulsory private insurance;2000;
1028;Education, R&D, other services;HF122: Compulsory private insurance;2001;
1029;Education, R&D, other services;HF122: Compulsory private insurance;2002;
1030;Education, R&D, other services;HF122: Compulsory private insurance;2003;
1031;Education, R&D, other services;HF122: Compulsory private insurance;2004;
1032;Education, R&D, other services;HF122: Compulsory private insurance;2005;
1033;Education, R&D, other services;HF122: Compulsory private insurance;2006;592.0
1034;Education, R&D, other services;HF122: Compulsory private insurance;2007;44.0
1035;Education, R&D, other services;HF122: Compulsory private insurance;2008;120.0
1036;Education, R&D, other services;HF122: Compulsory private insurance;2009;132.0
1037;Education, R&D, other services;HF122: Compulsory private insurance;2010;141.0
1038;Education, R&D, other services;HF122: Compulsory private insurance;2011;503.0
1039;Education, R&D, other services;HF122: Compulsory private insurance;2012;585.0
1040;Education, R&D, other services;HF122: Compulsory private insurance;2013;1639.0
1041;Education, R&D, other services;HF122: Compulsory private insurance;2014;1790.0
1042;Education, R&D, other services;HF122: Compulsory private insurance;2015;1313.0
1043;Education, R&D, other services;HF122: Compulsory private insurance;2016;1327.0
1044;Education, R&D, other services;HF122: Compulsory private insurance;2017;1347.0
1045;Education, R&D, other services;HF122: Compulsory private insurance;2018;1376.0
1046;Education, R&D, other services;HF122: Compulsory private insurance;2019;1440.0
1047;Education, R&D, other services;HF122: Compulsory private insurance;2020;1526.0
1048;Education, R&D, other services;HF122: Compulsory private insurance;2021;1569.0
1049;Education, R&D, other services;HF122: Compulsory private insurance;2022;1653.0
1050;Education, R&D, other services;Voluntary schemes (incl. OOP);1998;171.0
1051;Education, R&D, other services;Voluntary schemes (incl. OOP);1999;190.0
1052;Education, R&D, other services;Voluntary schemes (incl. OOP);2000;198.0
1053;Education, R&D, other services;Voluntary schemes (incl. OOP);2001;225.0
1054;Education, R&D, other services;Voluntary schemes (incl. OOP);2002;266.0
1055;Education, R&D, other services;Voluntary schemes (incl. OOP);2003;286.0
1056;Education, R&D, other services;Voluntary schemes (incl. OOP);2004;304.0
1057;Education, R&D, other services;Voluntary schemes (incl. OOP);2005;313.0
1058;Education, R&D, other services;Voluntary schemes (incl. OOP);2006;161.0
1059;Education, R&D, other services;Voluntary schemes (incl. OOP);2007;175.0
1060;Education, R&D, other services;Voluntary schemes (incl. OOP);2008;149.0
1061;Education, R&D, other services;Voluntary schemes (incl. OOP);2009;191.0
1062;Education, R&D, other services;Voluntary schemes (incl. OOP);2010;212.0
1063;Education, R&D, other services;Voluntary schemes (incl. OOP);2011;236.0
1064;Education, R&D, other services;Voluntary schemes (incl. OOP);2012;275.0
1065;Education, R&D, other services;Voluntary schemes (incl. OOP);2013;245.0
1066;Education, R&D, other services;Voluntary schemes (incl. OOP);2014;256.0
1067;Education, R&D, other services;Voluntary schemes (incl. OOP);2015;252.0
1068;Education, R&D, other services;Voluntary schemes (incl. OOP);2016;275.0
1069;Education, R&D, other services;Voluntary schemes (incl. OOP);2017;284.0
1070;Education, R&D, other services;Voluntary schemes (incl. OOP);2018;298.0
1071;Education, R&D, other services;Voluntary schemes (incl. OOP);2019;318.0
1072;Education, R&D, other services;Voluntary schemes (incl. OOP);2020;313.0
1073;Education, R&D, other services;Voluntary schemes (incl. OOP);2021;329.0
1074;Education, R&D, other services;Voluntary schemes (incl. OOP);2022;327.0
1075;Education, R&D, other services;HF2: Voluntary schemes;1998;117.0
1076;Education, R&D, other services;HF2: Voluntary schemes;1999;132.0
1077;Education, R&D, other services;HF2: Voluntary schemes;2000;136.0
1078;Education, R&D, other services;HF2: Voluntary schemes;2001;158.0
1079;Education, R&D, other services;HF2: Voluntary schemes;2002;187.0
1080;Education, R&D, other services;HF2: Voluntary schemes;2003;200.0
1081;Education, R&D, other services;HF2: Voluntary schemes;2004;216.0
1082;Education, R&D, other services;HF2: Voluntary schemes;2005;228.0
1083;Education, R&D, other services;HF2: Voluntary schemes;2006;67.0
1084;Education, R&D, other services;HF2: Voluntary schemes;2007;75.0
1085;Education, R&D, other services;HF2: Voluntary schemes;2008;74.0
1086;Education, R&D, other services;HF2: Voluntary schemes;2009;95.0
1087;Education, R&D, other services;HF2: Voluntary schemes;2010;105.0
1088;Education, R&D, other services;HF2: Voluntary schemes;2011;117.0
1089;Education, R&D, other services;HF2: Voluntary schemes;2012;139.0
1090;Education, R&D, other services;HF2: Voluntary schemes;2013;126.0
1091;Education, R&D, other services;HF2: Voluntary schemes;2014;131.0
1092;Education, R&D, other services;HF2: Voluntary schemes;2015;128.0
1093;Education, R&D, other services;HF2: Voluntary schemes;2016;142.0
1094;Education, R&D, other services;HF2: Voluntary schemes;2017;147.0
1095;Education, R&D, other services;HF2: Voluntary schemes;2018;155.0
1096;Education, R&D, other services;HF2: Voluntary schemes;2019;171.0
1097;Education, R&D, other services;HF2: Voluntary schemes;2020;159.0
1098;Education, R&D, other services;HF2: Voluntary schemes;2021;167.0
1099;Education, R&D, other services;HF2: Voluntary schemes;2022;166.0
1100;Education, R&D, other services;HF21: Voluntary health insurance schemes;1998;86.0
1101;Education, R&D, other services;HF21: Voluntary health insurance schemes;1999;98.0
1102;Education, R&D, other services;HF21: Voluntary health insurance schemes;2000;100.0
1103;Education, R&D, other services;HF21: Voluntary health insurance schemes;2001;116.0
1104;Education, R&D, other services;HF21: Voluntary health insurance schemes;2002;137.0
1105;Education, R&D, other services;HF21: Voluntary health insurance schemes;2003;147.0
1106;Education, R&D, other services;HF21: Voluntary health insurance schemes;2004;160.0
1107;Education, R&D, other services;HF21: Voluntary health insurance schemes;2005;170.0
1108;Education, R&D, other services;HF21: Voluntary health insurance schemes;2006;7.0
1109;Education, R&D, other services;HF21: Voluntary health insurance schemes;2007;8.0
1110;Education, R&D, other services;HF21: Voluntary health insurance schemes;2008;0.0
1111;Education, R&D, other services;HF21: Voluntary health insurance schemes;2009;0.0
1112;Education, R&D, other services;HF21: Voluntary health insurance schemes;2010;0.0
1113;Education, R&D, other services;HF21: Voluntary health insurance schemes;2011;0.0
1114;Education, R&D, other services;HF21: Voluntary health insurance schemes;2012;0.0
1115;Education, R&D, other services;HF21: Voluntary health insurance schemes;2013;0.0
1116;Education, R&D, other services;HF21: Voluntary health insurance schemes;2014;0.0
1117;Education, R&D, other services;HF21: Voluntary health insurance schemes;2015;0.0
1118;Education, R&D, other services;HF21: Voluntary health insurance schemes;2016;0.0
1119;Education, R&D, other services;HF21: Voluntary health insurance schemes;2017;0.0
1120;Education, R&D, other services;HF21: Voluntary health insurance schemes;2018;0.0
1121;Education, R&D, other services;HF21: Voluntary health insurance schemes;2019;0.0
1122;Education, R&D, other services;HF21: Voluntary health insurance schemes;2020;0.0
1123;Education, R&D, other services;HF21: Voluntary health insurance schemes;2021;0.0
1124;Education, R&D, other services;HF21: Voluntary health insurance schemes;2022;0.0
1125;Education, R&D, other services;HF22: Financing schemes NPISH;1998;0.0
1126;Education, R&D, other services;HF22: Financing schemes NPISH;1999;0.0
1127;Education, R&D, other services;HF22: Financing schemes NPISH;2000;0.0
1128;Education, R&D, other services;HF22: Financing schemes NPISH;2001;0.0
1129;Education, R&D, other services;HF22: Financing schemes NPISH;2002;0.0
1130;Education, R&D, other services;HF22: Financing schemes NPISH;2003;0.0
1131;Education, R&D, other services;HF22: Financing schemes NPISH;2004;0.0
1132;Education, R&D, other services;HF22: Financing schemes NPISH;2005;0.0
1133;Education, R&D, other services;HF22: Financing schemes NPISH;2006;0.0
1134;Education, R&D, other services;HF22: Financing schemes NPISH;2007;0.0
1135;Education, R&D, other services;HF22: Financing schemes NPISH;2008;0.0
1136;Education, R&D, other services;HF22: Financing schemes NPISH;2009;0.0
1137;Education, R&D, other services;HF22: Financing schemes NPISH;2010;0.0
1138;Education, R&D, other services;HF22: Financing schemes NPISH;2011;0.0
1139;Education, R&D, other services;HF22: Financing schemes NPISH;2012;0.0
1140;Education, R&D, other services;HF22: Financing schemes NPISH;2013;0.0
1141;Education, R&D, other services;HF22: Financing schemes NPISH;2014;0.0
1142;Education, R&D, other services;HF22: Financing schemes NPISH;2015;0.0
1143;Education, R&D, other services;HF22: Financing schemes NPISH;2016;0.0
1144;Education, R&D, other services;HF22: Financing schemes NPISH;2017;0.0
1145;Education, R&D, other services;HF22: Financing schemes NPISH;2018;0.0
1146;Education, R&D, other services;HF22: Financing schemes NPISH;2019;0.0
1147;Education, R&D, other services;HF22: Financing schemes NPISH;2020;0.0
1148;Education, R&D, other services;HF22: Financing schemes NPISH;2021;0.0
1149;Education, R&D, other services;HF22: Financing schemes NPISH;2022;0.0
1150;Education, R&D, other services;HF23: Enterprise financing schemes;1998;30.0
1151;Education, R&D, other services;HF23: Enterprise financing schemes;1999;34.0
1152;Education, R&D, other services;HF23: Enterprise financing schemes;2000;36.0
1153;Education, R&D, other services;HF23: Enterprise financing schemes;2001;42.0
1154;Education, R&D, other services;HF23: Enterprise financing schemes;2002;50.0
1155;Education, R&D, other services;HF23: Enterprise financing schemes;2003;53.0
1156;Education, R&D, other services;HF23: Enterprise financing schemes;2004;57.0
1157;Education, R&D, other services;HF23: Enterprise financing schemes;2005;58.0
1158;Education, R&D, other services;HF23: Enterprise financing schemes;2006;60.0
1159;Education, R&D, other services;HF23: Enterprise financing schemes;2007;67.0
1160;Education, R&D, other services;HF23: Enterprise financing schemes;2008;74.0
1161;Education, R&D, other services;HF23: Enterprise financing schemes;2009;95.0
1162;Education, R&D, other services;HF23: Enterprise financing schemes;2010;105.0
1163;Education, R&D, other services;HF23: Enterprise financing schemes;2011;117.0
1164;Education, R&D, other services;HF23: Enterprise financing schemes;2012;139.0
1165;Education, R&D, other services;HF23: Enterprise financing schemes;2013;126.0
1166;Education, R&D, other services;HF23: Enterprise financing schemes;2014;131.0
1167;Education, R&D, other services;HF23: Enterprise financing schemes;2015;128.0
1168;Education, R&D, other services;HF23: Enterprise financing schemes;2016;142.0
1169;Education, R&D, other services;HF23: Enterprise financing schemes;2017;147.0
1170;Education, R&D, other services;HF23: Enterprise financing schemes;2018;155.0
1171;Education, R&D, other services;HF23: Enterprise financing schemes;2019;171.0
1172;Education, R&D, other services;HF23: Enterprise financing schemes;2020;159.0
1173;Education, R&D, other services;HF23: Enterprise financing schemes;2021;167.0
