ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
776;Total government expenditure;1.3 General services;The State;2017;1434.0
777;Total government expenditure;1.3 General services;The State;2018;1343.0
778;Total government expenditure;1.3 General services;The State;2019;1561.0
779;Total government expenditure;1.3 General services;The State;2020;1641.0
780;Total government expenditure;1.3 General services;The State;2021;1697.0
781;Total government expenditure;1.3 General services;The State;2022;1751.0
782;Total government expenditure;1.3 General services;The State;2023;1927.0
783;Total government expenditure;1.3 General services;Other central government;1995;316.0
784;Total government expenditure;1.3 General services;Other central government;1996;334.0
785;Total government expenditure;1.3 General services;Other central government;1997;360.0
786;Total government expenditure;1.3 General services;Other central government;1998;372.0
787;Total government expenditure;1.3 General services;Other central government;1999;390.0
788;Total government expenditure;1.3 General services;Other central government;2000;434.0
789;Total government expenditure;1.3 General services;Other central government;2001;479.0
790;Total government expenditure;1.3 General services;Other central government;2002;493.0
791;Total government expenditure;1.3 General services;Other central government;2003;521.0
792;Total government expenditure;1.3 General services;Other central government;2004;601.0
793;Total government expenditure;1.3 General services;Other central government;2005;637.0
794;Total government expenditure;1.3 General services;Other central government;2006;660.0
795;Total government expenditure;1.3 General services;Other central government;2007;679.0
796;Total government expenditure;1.3 General services;Other central government;2008;725.0
797;Total government expenditure;1.3 General services;Other central government;2009;710.0
798;Total government expenditure;1.3 General services;Other central government;2010;643.0
799;Total government expenditure;1.3 General services;Other central government;2011;650.0
800;Total government expenditure;1.3 General services;Other central government;2012;704.0
801;Total government expenditure;1.3 General services;Other central government;2013;599.0
802;Total government expenditure;1.3 General services;Other central government;2014;603.0
803;Total government expenditure;1.3 General services;Other central government;2015;576.0
804;Total government expenditure;1.3 General services;Other central government;2016;551.0
805;Total government expenditure;1.3 General services;Other central government;2017;683.0
806;Total government expenditure;1.3 General services;Other central government;2018;612.0
807;Total government expenditure;1.3 General services;Other central government;2019;555.0
808;Total government expenditure;1.3 General services;Other central government;2020;566.0
809;Total government expenditure;1.3 General services;Other central government;2021;637.0
810;Total government expenditure;1.3 General services;Other central government;2022;682.0
811;Total government expenditure;1.3 General services;Other central government;2023;771.0
812;Total government expenditure;1.3 General services;Local government;1995;800.0
813;Total government expenditure;1.3 General services;Local government;1996;772.0
814;Total government expenditure;1.3 General services;Local government;1997;760.0
815;Total government expenditure;1.3 General services;Local government;1998;813.0
816;Total government expenditure;1.3 General services;Local government;1999;890.0
817;Total government expenditure;1.3 General services;Local government;2000;1021.0
818;Total government expenditure;1.3 General services;Local government;2001;1112.0
819;Total government expenditure;1.3 General services;Local government;2002;1332.0
820;Total government expenditure;1.3 General services;Local government;2003;1457.0
821;Total government expenditure;1.3 General services;Local government;2004;1402.0
822;Total government expenditure;1.3 General services;Local government;2005;1416.0
823;Total government expenditure;1.3 General services;Local government;2006;1377.0
824;Total government expenditure;1.3 General services;Local government;2007;1469.0
825;Total government expenditure;1.3 General services;Local government;2008;1527.0
826;Total government expenditure;1.3 General services;Local government;2009;1624.0
827;Total government expenditure;1.3 General services;Local government;2010;1482.0
828;Total government expenditure;1.3 General services;Local government;2011;1363.0
829;Total government expenditure;1.3 General services;Local government;2012;1367.0
830;Total government expenditure;1.3 General services;Local government;2013;1358.0
831;Total government expenditure;1.3 General services;Local government;2014;1342.0
832;Total government expenditure;1.3 General services;Local government;2015;1310.0
833;Total government expenditure;1.3 General services;Local government;2016;1404.0
834;Total government expenditure;1.3 General services;Local government;2017;1428.0
835;Total government expenditure;1.3 General services;Local government;2018;1471.0
836;Total government expenditure;1.3 General services;Local government;2019;1533.0
837;Total government expenditure;1.3 General services;Local government;2020;1459.0
838;Total government expenditure;1.3 General services;Local government;2021;1730.0
839;Total government expenditure;1.3 General services;Local government;2022;1614.0
840;Total government expenditure;1.3 General services;Local government;2023;2352.0
841;Total government expenditure;1.3 General services;Social security funds;1995;0.0
842;Total government expenditure;1.3 General services;Social security funds;1996;0.0
843;Total government expenditure;1.3 General services;Social security funds;1997;0.0
844;Total government expenditure;1.3 General services;Social security funds;1998;0.0
845;Total government expenditure;1.3 General services;Social security funds;1999;0.0
846;Total government expenditure;1.3 General services;Social security funds;2000;0.0
847;Total government expenditure;1.3 General services;Social security funds;2001;0.0
848;Total government expenditure;1.3 General services;Social security funds;2002;0.0
849;Total government expenditure;1.3 General services;Social security funds;2003;0.0
850;Total government expenditure;1.3 General services;Social security funds;2004;0.0
851;Total government expenditure;1.3 General services;Social security funds;2005;0.0
852;Total government expenditure;1.3 General services;Social security funds;2006;0.0
853;Total government expenditure;1.3 General services;Social security funds;2007;0.0
854;Total government expenditure;1.3 General services;Social security funds;2008;0.0
855;Total government expenditure;1.3 General services;Social security funds;2009;0.0
856;Total government expenditure;1.3 General services;Social security funds;2010;0.0
857;Total government expenditure;1.3 General services;Social security funds;2011;0.0
858;Total government expenditure;1.3 General services;Social security funds;2012;0.0
859;Total government expenditure;1.3 General services;Social security funds;2013;0.0
860;Total government expenditure;1.3 General services;Social security funds;2014;0.0
861;Total government expenditure;1.3 General services;Social security funds;2015;0.0
862;Total government expenditure;1.3 General services;Social security funds;2016;0.0
863;Total government expenditure;1.3 General services;Social security funds;2017;0.0
864;Total government expenditure;1.3 General services;Social security funds;2018;0.0
865;Total government expenditure;1.3 General services;Social security funds;2019;0.0
866;Total government expenditure;1.3 General services;Social security funds;2020;0.0
867;Total government expenditure;1.3 General services;Social security funds;2021;0.0
868;Total government expenditure;1.3 General services;Social security funds;2022;0.0
869;Total government expenditure;1.3 General services;Social security funds;2023;0.0
870;Total government expenditure;1.4 Basic research;General government;1995;1883.0
871;Total government expenditure;1.4 Basic research;General government;1996;1911.0
872;Total government expenditure;1.4 Basic research;General government;1997;1991.0
873;Total government expenditure;1.4 Basic research;General government;1998;2184.0
874;Total government expenditure;1.4 Basic research;General government;1999;2339.0
875;Total government expenditure;1.4 Basic research;General government;2000;2286.0
876;Total government expenditure;1.4 Basic research;General government;2001;2588.0
877;Total government expenditure;1.4 Basic research;General government;2002;2614.0
878;Total government expenditure;1.4 Basic research;General government;2003;2576.0
879;Total government expenditure;1.4 Basic research;General government;2004;2663.0
880;Total government expenditure;1.4 Basic research;General government;2005;2783.0
881;Total government expenditure;1.4 Basic research;General government;2006;2907.0
882;Total government expenditure;1.4 Basic research;General government;2007;2861.0
883;Total government expenditure;1.4 Basic research;General government;2008;2959.0
884;Total government expenditure;1.4 Basic research;General government;2009;3235.0
885;Total government expenditure;1.4 Basic research;General government;2010;3427.0
886;Total government expenditure;1.4 Basic research;General government;2011;3410.0
887;Total government expenditure;1.4 Basic research;General government;2012;3338.0
888;Total government expenditure;1.4 Basic research;General government;2013;3477.0
889;Total government expenditure;1.4 Basic research;General government;2014;3529.0
890;Total government expenditure;1.4 Basic research;General government;2015;3713.0
891;Total government expenditure;1.4 Basic research;General government;2016;3646.0
892;Total government expenditure;1.4 Basic research;General government;2017;3668.0
893;Total government expenditure;1.4 Basic research;General government;2018;3866.0
894;Total government expenditure;1.4 Basic research;General government;2019;4147.0
895;Total government expenditure;1.4 Basic research;General government;2020;4566.0
896;Total government expenditure;1.4 Basic research;General government;2021;4800.0
897;Total government expenditure;1.4 Basic research;General government;2022;5054.0
898;Total government expenditure;1.4 Basic research;General government;2023;5273.0
899;Total government expenditure;1.4 Basic research;Central government;1995;1884.0
900;Total government expenditure;1.4 Basic research;Central government;1996;1912.0
901;Total government expenditure;1.4 Basic research;Central government;1997;1993.0
902;Total government expenditure;1.4 Basic research;Central government;1998;2186.0
903;Total government expenditure;1.4 Basic research;Central government;1999;2341.0
904;Total government expenditure;1.4 Basic research;Central government;2000;2286.0
905;Total government expenditure;1.4 Basic research;Central government;2001;2588.0
906;Total government expenditure;1.4 Basic research;Central government;2002;2614.0
907;Total government expenditure;1.4 Basic research;Central government;2003;2576.0
908;Total government expenditure;1.4 Basic research;Central government;2004;2663.0
909;Total government expenditure;1.4 Basic research;Central government;2005;2783.0
910;Total government expenditure;1.4 Basic research;Central government;2006;2907.0
911;Total government expenditure;1.4 Basic research;Central government;2007;2861.0
912;Total government expenditure;1.4 Basic research;Central government;2008;2959.0
913;Total government expenditure;1.4 Basic research;Central government;2009;3235.0
914;Total government expenditure;1.4 Basic research;Central government;2010;3427.0
915;Total government expenditure;1.4 Basic research;Central government;2011;3410.0
916;Total government expenditure;1.4 Basic research;Central government;2012;3338.0
917;Total government expenditure;1.4 Basic research;Central government;2013;3477.0
918;Total government expenditure;1.4 Basic research;Central government;2014;3529.0
919;Total government expenditure;1.4 Basic research;Central government;2015;3713.0
920;Total government expenditure;1.4 Basic research;Central government;2016;3646.0
921;Total government expenditure;1.4 Basic research;Central government;2017;3668.0
922;Total government expenditure;1.4 Basic research;Central government;2018;3867.0
923;Total government expenditure;1.4 Basic research;Central government;2019;4147.0
924;Total government expenditure;1.4 Basic research;Central government;2020;4566.0
925;Total government expenditure;1.4 Basic research;Central government;2021;4800.0
926;Total government expenditure;1.4 Basic research;Central government;2022;5083.0
927;Total government expenditure;1.4 Basic research;Central government;2023;5273.0
928;Total government expenditure;1.4 Basic research;The State;1995;1470.0
929;Total government expenditure;1.4 Basic research;The State;1996;1550.0
930;Total government expenditure;1.4 Basic research;The State;1997;1479.0
931;Total government expenditure;1.4 Basic research;The State;1998;1817.0
932;Total government expenditure;1.4 Basic research;The State;1999;2034.0
933;Total government expenditure;1.4 Basic research;The State;2000;2121.0
934;Total government expenditure;1.4 Basic research;The State;2001;2406.0
935;Total government expenditure;1.4 Basic research;The State;2002;2653.0
936;Total government expenditure;1.4 Basic research;The State;2003;2699.0
937;Total government expenditure;1.4 Basic research;The State;2004;2830.0
938;Total government expenditure;1.4 Basic research;The State;2005;2988.0
939;Total government expenditure;1.4 Basic research;The State;2006;3178.0
940;Total government expenditure;1.4 Basic research;The State;2007;3236.0
941;Total government expenditure;1.4 Basic research;The State;2008;3368.0
942;Total government expenditure;1.4 Basic research;The State;2009;3607.0
943;Total government expenditure;1.4 Basic research;The State;2010;3882.0
944;Total government expenditure;1.4 Basic research;The State;2011;3793.0
945;Total government expenditure;1.4 Basic research;The State;2012;3706.0
946;Total government expenditure;1.4 Basic research;The State;2013;3499.0
947;Total government expenditure;1.4 Basic research;The State;2014;3654.0
948;Total government expenditure;1.4 Basic research;The State;2015;3939.0
949;Total government expenditure;1.4 Basic research;The State;2016;3884.0
950;Total government expenditure;1.4 Basic research;The State;2017;3955.0
951;Total government expenditure;1.4 Basic research;The State;2018;4119.0
952;Total government expenditure;1.4 Basic research;The State;2019;4349.0
953;Total government expenditure;1.4 Basic research;The State;2020;4585.0
954;Total government expenditure;1.4 Basic research;The State;2021;4840.0
955;Total government expenditure;1.4 Basic research;The State;2022;5420.0
956;Total government expenditure;1.4 Basic research;The State;2023;5979.0
957;Total government expenditure;1.4 Basic research;Other central government;1995;1750.0
958;Total government expenditure;1.4 Basic research;Other central government;1996;1773.0
959;Total government expenditure;1.4 Basic research;Other central government;1997;1884.0
960;Total government expenditure;1.4 Basic research;Other central government;1998;2039.0
961;Total government expenditure;1.4 Basic research;Other central government;1999;2165.0
962;Total government expenditure;1.4 Basic research;Other central government;2000;2107.0
963;Total government expenditure;1.4 Basic research;Other central government;2001;2391.0
964;Total government expenditure;1.4 Basic research;Other central government;2002;2412.0
965;Total government expenditure;1.4 Basic research;Other central government;2003;2385.0
966;Total government expenditure;1.4 Basic research;Other central government;2004;2467.0
967;Total government expenditure;1.4 Basic research;Other central government;2005;2588.0
968;Total government expenditure;1.4 Basic research;Other central government;2006;2593.0
969;Total government expenditure;1.4 Basic research;Other central government;2007;2565.0
970;Total government expenditure;1.4 Basic research;Other central government;2008;2681.0
971;Total government expenditure;1.4 Basic research;Other central government;2009;2927.0
972;Total government expenditure;1.4 Basic research;Other central government;2010;3033.0
973;Total government expenditure;1.4 Basic research;Other central government;2011;3087.0
974;Total government expenditure;1.4 Basic research;Other central government;2012;3068.0
975;Total government expenditure;1.4 Basic research;Other central government;2013;3209.0
976;Total government expenditure;1.4 Basic research;Other central government;2014;3301.0
977;Total government expenditure;1.4 Basic research;Other central government;2015;3477.0
978;Total government expenditure;1.4 Basic research;Other central government;2016;3409.0
979;Total government expenditure;1.4 Basic research;Other central government;2017;3433.0
980;Total government expenditure;1.4 Basic research;Other central government;2018;3615.0
981;Total government expenditure;1.4 Basic research;Other central government;2019;3877.0
982;Total government expenditure;1.4 Basic research;Other central government;2020;4028.0
983;Total government expenditure;1.4 Basic research;Other central government;2021;4246.0
984;Total government expenditure;1.4 Basic research;Other central government;2022;4493.0
985;Total government expenditure;1.4 Basic research;Other central government;2023;4665.0
986;Total government expenditure;1.4 Basic research;Local government;1995;0.0
987;Total government expenditure;1.4 Basic research;Local government;1996;0.0
988;Total government expenditure;1.4 Basic research;Local government;1997;0.0
989;Total government expenditure;1.4 Basic research;Local government;1998;0.0
990;Total government expenditure;1.4 Basic research;Local government;1999;0.0
991;Total government expenditure;1.4 Basic research;Local government;2000;0.0
992;Total government expenditure;1.4 Basic research;Local government;2001;0.0
993;Total government expenditure;1.4 Basic research;Local government;2002;0.0
994;Total government expenditure;1.4 Basic research;Local government;2003;0.0
995;Total government expenditure;1.4 Basic research;Local government;2004;0.0
996;Total government expenditure;1.4 Basic research;Local government;2005;0.0
997;Total government expenditure;1.4 Basic research;Local government;2006;0.0
998;Total government expenditure;1.4 Basic research;Local government;2007;0.0
999;Total government expenditure;1.4 Basic research;Local government;2008;0.0
1000;Total government expenditure;1.4 Basic research;Local government;2009;0.0
1001;Total government expenditure;1.4 Basic research;Local government;2010;0.0
1002;Total government expenditure;1.4 Basic research;Local government;2011;0.0
1003;Total government expenditure;1.4 Basic research;Local government;2012;0.0
1004;Total government expenditure;1.4 Basic research;Local government;2013;0.0
1005;Total government expenditure;1.4 Basic research;Local government;2014;0.0
1006;Total government expenditure;1.4 Basic research;Local government;2015;0.0
1007;Total government expenditure;1.4 Basic research;Local government;2016;0.0
1008;Total government expenditure;1.4 Basic research;Local government;2017;0.0
1009;Total government expenditure;1.4 Basic research;Local government;2018;0.0
1010;Total government expenditure;1.4 Basic research;Local government;2019;0.0
1011;Total government expenditure;1.4 Basic research;Local government;2020;0.0
1012;Total government expenditure;1.4 Basic research;Local government;2021;0.0
1013;Total government expenditure;1.4 Basic research;Local government;2022;0.0
1014;Total government expenditure;1.4 Basic research;Local government;2023;1.0
1015;Total government expenditure;1.4 Basic research;Social security funds;1995;0.0
1016;Total government expenditure;1.4 Basic research;Social security funds;1996;0.0
1017;Total government expenditure;1.4 Basic research;Social security funds;1997;0.0
1018;Total government expenditure;1.4 Basic research;Social security funds;1998;0.0
1019;Total government expenditure;1.4 Basic research;Social security funds;1999;0.0
1020;Total government expenditure;1.4 Basic research;Social security funds;2000;0.0
1021;Total government expenditure;1.4 Basic research;Social security funds;2001;0.0
1022;Total government expenditure;1.4 Basic research;Social security funds;2002;0.0
1023;Total government expenditure;1.4 Basic research;Social security funds;2003;0.0
1024;Total government expenditure;1.4 Basic research;Social security funds;2004;0.0
1025;Total government expenditure;1.4 Basic research;Social security funds;2005;0.0
1026;Total government expenditure;1.4 Basic research;Social security funds;2006;0.0
1027;Total government expenditure;1.4 Basic research;Social security funds;2007;0.0
1028;Total government expenditure;1.4 Basic research;Social security funds;2008;0.0
1029;Total government expenditure;1.4 Basic research;Social security funds;2009;0.0
1030;Total government expenditure;1.4 Basic research;Social security funds;2010;0.0
1031;Total government expenditure;1.4 Basic research;Social security funds;2011;0.0
1032;Total government expenditure;1.4 Basic research;Social security funds;2012;0.0
1033;Total government expenditure;1.4 Basic research;Social security funds;2013;0.0
1034;Total government expenditure;1.4 Basic research;Social security funds;2014;0.0
1035;Total government expenditure;1.4 Basic research;Social security funds;2015;0.0
1036;Total government expenditure;1.4 Basic research;Social security funds;2016;0.0
1037;Total government expenditure;1.4 Basic research;Social security funds;2017;0.0
1038;Total government expenditure;1.4 Basic research;Social security funds;2018;0.0
1039;Total government expenditure;1.4 Basic research;Social security funds;2019;0.0
1040;Total government expenditure;1.4 Basic research;Social security funds;2020;0.0
1041;Total government expenditure;1.4 Basic research;Social security funds;2021;0.0
1042;Total government expenditure;1.4 Basic research;Social security funds;2022;0.0
1043;Total government expenditure;1.4 Basic research;Social security funds;2023;0.0
1044;Total government expenditure;1.5 R&D general public services;General government;1995;31.0
1045;Total government expenditure;1.5 R&D general public services;General government;1996;31.0
1046;Total government expenditure;1.5 R&D general public services;General government;1997;30.0
1047;Total government expenditure;1.5 R&D general public services;General government;1998;32.0
1048;Total government expenditure;1.5 R&D general public services;General government;1999;39.0
1049;Total government expenditure;1.5 R&D general public services;General government;2000;62.0
1050;Total government expenditure;1.5 R&D general public services;General government;2001;73.0
1051;Total government expenditure;1.5 R&D general public services;General government;2002;71.0
1052;Total government expenditure;1.5 R&D general public services;General government;2003;55.0
1053;Total government expenditure;1.5 R&D general public services;General government;2004;197.0
1054;Total government expenditure;1.5 R&D general public services;General government;2005;63.0
1055;Total government expenditure;1.5 R&D general public services;General government;2006;78.0
1056;Total government expenditure;1.5 R&D general public services;General government;2007;84.0
1057;Total government expenditure;1.5 R&D general public services;General government;2008;88.0
1058;Total government expenditure;1.5 R&D general public services;General government;2009;94.0
1059;Total government expenditure;1.5 R&D general public services;General government;2010;83.0
1060;Total government expenditure;1.5 R&D general public services;General government;2011;70.0
1061;Total government expenditure;1.5 R&D general public services;General government;2012;58.0
1062;Total government expenditure;1.5 R&D general public services;General government;2013;56.0
1063;Total government expenditure;1.5 R&D general public services;General government;2014;43.0
1064;Total government expenditure;1.5 R&D general public services;General government;2015;38.0
1065;Total government expenditure;1.5 R&D general public services;General government;2016;31.0
1066;Total government expenditure;1.5 R&D general public services;General government;2017;29.0
1067;Total government expenditure;1.5 R&D general public services;General government;2018;27.0
1068;Total government expenditure;1.5 R&D general public services;General government;2019;40.0
1069;Total government expenditure;1.5 R&D general public services;General government;2020;40.0
1070;Total government expenditure;1.5 R&D general public services;General government;2021;44.0
1071;Total government expenditure;1.5 R&D general public services;General government;2022;46.0
1072;Total government expenditure;1.5 R&D general public services;General government;2023;50.0
1073;Total government expenditure;1.5 R&D general public services;Central government;1995;31.0
1074;Total government expenditure;1.5 R&D general public services;Central government;1996;31.0
1075;Total government expenditure;1.5 R&D general public services;Central government;1997;30.0
1076;Total government expenditure;1.5 R&D general public services;Central government;1998;32.0
1077;Total government expenditure;1.5 R&D general public services;Central government;1999;39.0
1078;Total government expenditure;1.5 R&D general public services;Central government;2000;62.0
1079;Total government expenditure;1.5 R&D general public services;Central government;2001;73.0
1080;Total government expenditure;1.5 R&D general public services;Central government;2002;71.0
1081;Total government expenditure;1.5 R&D general public services;Central government;2003;55.0
1082;Total government expenditure;1.5 R&D general public services;Central government;2004;197.0
1083;Total government expenditure;1.5 R&D general public services;Central government;2005;63.0
1084;Total government expenditure;1.5 R&D general public services;Central government;2006;78.0
1085;Total government expenditure;1.5 R&D general public services;Central government;2007;84.0
1086;Total government expenditure;1.5 R&D general public services;Central government;2008;88.0
1087;Total government expenditure;1.5 R&D general public services;Central government;2009;94.0
1088;Total government expenditure;1.5 R&D general public services;Central government;2010;83.0
1089;Total government expenditure;1.5 R&D general public services;Central government;2011;70.0
1090;Total government expenditure;1.5 R&D general public services;Central government;2012;58.0
1091;Total government expenditure;1.5 R&D general public services;Central government;2013;56.0
1092;Total government expenditure;1.5 R&D general public services;Central government;2014;43.0
1093;Total government expenditure;1.5 R&D general public services;Central government;2015;38.0
1094;Total government expenditure;1.5 R&D general public services;Central government;2016;31.0
1095;Total government expenditure;1.5 R&D general public services;Central government;2017;29.0
1096;Total government expenditure;1.5 R&D general public services;Central government;2018;27.0
1097;Total government expenditure;1.5 R&D general public services;Central government;2019;40.0
1098;Total government expenditure;1.5 R&D general public services;Central government;2020;40.0
1099;Total government expenditure;1.5 R&D general public services;Central government;2021;44.0
1100;Total government expenditure;1.5 R&D general public services;Central government;2022;46.0
1101;Total government expenditure;1.5 R&D general public services;Central government;2023;50.0
1102;Total government expenditure;1.5 R&D general public services;The State;1995;18.0
1103;Total government expenditure;1.5 R&D general public services;The State;1996;18.0
1104;Total government expenditure;1.5 R&D general public services;The State;1997;18.0
1105;Total government expenditure;1.5 R&D general public services;The State;1998;19.0
1106;Total government expenditure;1.5 R&D general public services;The State;1999;28.0
1107;Total government expenditure;1.5 R&D general public services;The State;2000;51.0
1108;Total government expenditure;1.5 R&D general public services;The State;2001;62.0
1109;Total government expenditure;1.5 R&D general public services;The State;2002;61.0
1110;Total government expenditure;1.5 R&D general public services;The State;2003;45.0
1111;Total government expenditure;1.5 R&D general public services;The State;2004;84.0
1112;Total government expenditure;1.5 R&D general public services;The State;2005;48.0
1113;Total government expenditure;1.5 R&D general public services;The State;2006;64.0
1114;Total government expenditure;1.5 R&D general public services;The State;2007;70.0
1115;Total government expenditure;1.5 R&D general public services;The State;2008;72.0
1116;Total government expenditure;1.5 R&D general public services;The State;2009;77.0
1117;Total government expenditure;1.5 R&D general public services;The State;2010;61.0
1118;Total government expenditure;1.5 R&D general public services;The State;2011;45.0
1119;Total government expenditure;1.5 R&D general public services;The State;2012;31.0
1120;Total government expenditure;1.5 R&D general public services;The State;2013;29.0
1121;Total government expenditure;1.5 R&D general public services;The State;2014;14.0
1122;Total government expenditure;1.5 R&D general public services;The State;2015;7.0
1123;Total government expenditure;1.5 R&D general public services;The State;2016;1.0
1124;Total government expenditure;1.5 R&D general public services;The State;2017;0.0
1125;Total government expenditure;1.5 R&D general public services;The State;2018;0.0
1126;Total government expenditure;1.5 R&D general public services;The State;2019;0.0
1127;Total government expenditure;1.5 R&D general public services;The State;2020;0.0
1128;Total government expenditure;1.5 R&D general public services;The State;2021;0.0
1129;Total government expenditure;1.5 R&D general public services;The State;2022;0.0
1130;Total government expenditure;1.5 R&D general public services;The State;2023;7.0
1131;Total government expenditure;1.5 R&D general public services;Other central government;1995;15.0
1132;Total government expenditure;1.5 R&D general public services;Other central government;1996;15.0
1133;Total government expenditure;1.5 R&D general public services;Other central government;1997;16.0
1134;Total government expenditure;1.5 R&D general public services;Other central government;1998;17.0
1135;Total government expenditure;1.5 R&D general public services;Other central government;1999;16.0
1136;Total government expenditure;1.5 R&D general public services;Other central government;2000;16.0
1137;Total government expenditure;1.5 R&D general public services;Other central government;2001;16.0
1138;Total government expenditure;1.5 R&D general public services;Other central government;2002;15.0
1139;Total government expenditure;1.5 R&D general public services;Other central government;2003;15.0
1140;Total government expenditure;1.5 R&D general public services;Other central government;2004;115.0
1141;Total government expenditure;1.5 R&D general public services;Other central government;2005;17.0
1142;Total government expenditure;1.5 R&D general public services;Other central government;2006;16.0
1143;Total government expenditure;1.5 R&D general public services;Other central government;2007;16.0
1144;Total government expenditure;1.5 R&D general public services;Other central government;2008;18.0
1145;Total government expenditure;1.5 R&D general public services;Other central government;2009;20.0
1146;Total government expenditure;1.5 R&D general public services;Other central government;2010;25.0
1147;Total government expenditure;1.5 R&D general public services;Other central government;2011;27.0
1148;Total government expenditure;1.5 R&D general public services;Other central government;2012;29.0
1149;Total government expenditure;1.5 R&D general public services;Other central government;2013;28.0
1150;Total government expenditure;1.5 R&D general public services;Other central government;2014;30.0
1151;Total government expenditure;1.5 R&D general public services;Other central government;2015;31.0
1152;Total government expenditure;1.5 R&D general public services;Other central government;2016;30.0
1153;Total government expenditure;1.5 R&D general public services;Other central government;2017;29.0
1154;Total government expenditure;1.5 R&D general public services;Other central government;2018;27.0
1155;Total government expenditure;1.5 R&D general public services;Other central government;2019;40.0
1156;Total government expenditure;1.5 R&D general public services;Other central government;2020;40.0
1157;Total government expenditure;1.5 R&D general public services;Other central government;2021;44.0
1158;Total government expenditure;1.5 R&D general public services;Other central government;2022;46.0
1159;Total government expenditure;1.5 R&D general public services;Other central government;2023;43.0
1160;Total government expenditure;1.5 R&D general public services;Local government;1995;0.0
1161;Total government expenditure;1.5 R&D general public services;Local government;1996;0.0
1162;Total government expenditure;1.5 R&D general public services;Local government;1997;0.0
1163;Total government expenditure;1.5 R&D general public services;Local government;1998;0.0
1164;Total government expenditure;1.5 R&D general public services;Local government;1999;0.0
1165;Total government expenditure;1.5 R&D general public services;Local government;2000;0.0
1166;Total government expenditure;1.5 R&D general public services;Local government;2001;0.0
1167;Total government expenditure;1.5 R&D general public services;Local government;2002;0.0
1168;Total government expenditure;1.5 R&D general public services;Local government;2003;0.0
1169;Total government expenditure;1.5 R&D general public services;Local government;2004;0.0
1170;Total government expenditure;1.5 R&D general public services;Local government;2005;0.0
1171;Total government expenditure;1.5 R&D general public services;Local government;2006;0.0
1172;Total government expenditure;1.5 R&D general public services;Local government;2007;0.0
1173;Total government expenditure;1.5 R&D general public services;Local government;2008;0.0
1174;Total government expenditure;1.5 R&D general public services;Local government;2009;0.0
1175;Total government expenditure;1.5 R&D general public services;Local government;2010;0.0
1176;Total government expenditure;1.5 R&D general public services;Local government;2011;0.0
1177;Total government expenditure;1.5 R&D general public services;Local government;2012;0.0
1178;Total government expenditure;1.5 R&D general public services;Local government;2013;0.0
1179;Total government expenditure;1.5 R&D general public services;Local government;2014;0.0
1180;Total government expenditure;1.5 R&D general public services;Local government;2015;0.0
1181;Total government expenditure;1.5 R&D general public services;Local government;2016;0.0
1182;Total government expenditure;1.5 R&D general public services;Local government;2017;0.0
1183;Total government expenditure;1.5 R&D general public services;Local government;2018;0.0
1184;Total government expenditure;1.5 R&D general public services;Local government;2019;0.0
1185;Total government expenditure;1.5 R&D general public services;Local government;2020;0.0
1186;Total government expenditure;1.5 R&D general public services;Local government;2021;0.0
1187;Total government expenditure;1.5 R&D general public services;Local government;2022;0.0
1188;Total government expenditure;1.5 R&D general public services;Local government;2023;0.0
1189;Total government expenditure;1.5 R&D general public services;Social security funds;1995;0.0
1190;Total government expenditure;1.5 R&D general public services;Social security funds;1996;0.0
1191;Total government expenditure;1.5 R&D general public services;Social security funds;1997;0.0
1192;Total government expenditure;1.5 R&D general public services;Social security funds;1998;0.0
1193;Total government expenditure;1.5 R&D general public services;Social security funds;1999;0.0
1194;Total government expenditure;1.5 R&D general public services;Social security funds;2000;0.0
1195;Total government expenditure;1.5 R&D general public services;Social security funds;2001;0.0
1196;Total government expenditure;1.5 R&D general public services;Social security funds;2002;0.0
1197;Total government expenditure;1.5 R&D general public services;Social security funds;2003;0.0
1198;Total government expenditure;1.5 R&D general public services;Social security funds;2004;0.0
1199;Total government expenditure;1.5 R&D general public services;Social security funds;2005;0.0
1200;Total government expenditure;1.5 R&D general public services;Social security funds;2006;0.0
1201;Total government expenditure;1.5 R&D general public services;Social security funds;2007;0.0
1202;Total government expenditure;1.5 R&D general public services;Social security funds;2008;0.0
1203;Total government expenditure;1.5 R&D general public services;Social security funds;2009;0.0
1204;Total government expenditure;1.5 R&D general public services;Social security funds;2010;0.0
1205;Total government expenditure;1.5 R&D general public services;Social security funds;2011;0.0
1206;Total government expenditure;1.5 R&D general public services;Social security funds;2012;0.0
1207;Total government expenditure;1.5 R&D general public services;Social security funds;2013;0.0
1208;Total government expenditure;1.5 R&D general public services;Social security funds;2014;0.0
1209;Total government expenditure;1.5 R&D general public services;Social security funds;2015;0.0
1210;Total government expenditure;1.5 R&D general public services;Social security funds;2016;0.0
1211;Total government expenditure;1.5 R&D general public services;Social security funds;2017;0.0
1212;Total government expenditure;1.5 R&D general public services;Social security funds;2018;0.0
1213;Total government expenditure;1.5 R&D general public services;Social security funds;2019;0.0
1214;Total government expenditure;1.5 R&D general public services;Social security funds;2020;0.0
1215;Total government expenditure;1.5 R&D general public services;Social security funds;2021;0.0
1216;Total government expenditure;1.5 R&D general public services;Social security funds;2022;0.0
1217;Total government expenditure;1.5 R&D general public services;Social security funds;2023;0.0
