ID;InstitutionalSectors;Periods;Balance_1;Revenue_2;Expenditure_3;MaastrichtDebt_4;ChangeInMaastrichtDebt_5;DeficitEMU_6;NetAcquisitionOfFinancialAssets_7;TransactionsInOtherLiabilities_8;ValuationEffects_9;StatisticalDiscrepancy_10;ContributionToGeneralGovernmentDebt_11;Balance_12;MaastrichtDebt_13;ContributionToGeneralGovernmentDebt_14
182;Central government;2007;1197;162894;-161697;236926.0;4829.0;-1197;9279.0;-3245.0;404.0;-412.0;232150.0;0.2;38.0;37.3
183;Central government;2008 1st quarter;-1307;42312;-43619;247317.0;10391.0;1307;9870.0;-975.0;725.0;-536.0;237577.0;0.1;39.2;37.7
184;Central government;2008 2nd quarter;-123;43621;-43744;253635.0;6318.0;123;8086.0;-869.0;-1243.0;221.0;244709.0;0.1;39.7;38.3
185;Central government;2008 3rd quarter;-2006;42903;-44909;257958.0;4323.0;2006;1199.0;-2522.0;3426.0;214.0;248687.0;0.4;39.9;38.4
186;Central government;2008 4th quarter;4446;47554;-43108;322770.0;64812.0;-4446;67956.0;2885.0;-1610.0;27.0;313124.0;0.2;49.6;48.1
187;Central government;2008;1010;176390;-175380;322770.0;85844.0;-1010;87111.0;-1481.0;1298.0;-74.0;313124.0;0.2;49.6;48.1
188;Central government;2009 1st quarter;-4047;41408;-45455;340898.0;18128.0;4047;18022.0;-2861.0;-425.0;-655.0;327846.0;-0.3;52.6;50.6
189;Central government;2009 2nd quarter;-2500;42508;-45008;331083.0;-9815.0;2500;-8709.0;-607.0;-3334.0;335.0;311441.0;-0.6;51.6;48.5
190;Central government;2009 3rd quarter;-9441;36252;-45693;333445.0;2362.0;9441;-13249.0;4199.0;2525.0;-554.0;318305.0;-1.8;52.5;50.1
191;Central government;2009 4th quarter;-2880;45625;-48505;321566.0;-11879.0;2880;-11755.0;-246.0;-3129.0;371.0;304845.0;-3.0;51.0;48.4
192;Central government;2009;-18868;165793;-184661;321566.0;-1204.0;18868;-15691.0;485.0;-4363.0;-503.0;304845.0;-3.0;51.0;48.4
193;Central government;2010 1st quarter;-5181;41881;-47062;328276.0;6710.0;5181;2151.0;-2260.0;989.0;649.0;307890.0;-3.2;52.2;49.0
194;Central government;2010 2nd quarter;-5316;43433;-48749;338648.0;10372.0;5316;7304.0;-4469.0;165.0;2056.0;312560.0;-3.6;53.5;49.3
195;Central government;2010 3rd quarter;-9150;35947;-45097;342076.0;3428.0;9150;-17496.0;10827.0;1562.0;-615.0;323356.0;-3.5;53.6;50.7
196;Central government;2010 4th quarter;-4964;48289;-53253;340649.0;-1427.0;4964;4072.0;-5418.0;-3285.0;-1760.0;326367.0;-3.8;53.0;50.8
197;Central government;2010;-24611;169550;-194161;340649.0;19083.0;24611;-3969.0;-1320.0;-569.0;330.0;326367.0;-3.8;53.0;50.8
198;Central government;2011 1st quarter;-2657;44280;-46937;344365.0;3716.0;2657;3780.0;-3565.0;337.0;507.0;327466.0;-3.4;53.1;50.5
199;Central government;2011 2nd quarter;-3722;44002;-47724;351648.0;7283.0;3722;7104.0;-1574.0;-2416.0;447.0;328236.0;-3.1;54.0;50.4
200;Central government;2011 3rd quarter;-6309;38063;-44372;357695.0;6047.0;6309;-8903.0;4612.0;3908.0;121.0;339594.0;-2.7;54.6;51.9
201;Central government;2011 4th quarter;-4764;43530;-48294;357512.0;-183.0;4764;-1667.0;-1293.0;-2254.0;267.0;339529.0;-2.7;54.5;51.8
202;Central government;2011;-17452;169875;-187327;357512.0;16863.0;17452;314.0;-1820.0;-425.0;1342.0;339529.0;-2.7;54.5;51.8
203;Central government;2012 1st quarter;-1708;44506;-46214;365878.0;8366.0;1708;9143.0;-2897.0;782.0;-370.0;342012.0;-2.5;55.7;52.1
204;Central government;2012 2nd quarter;-3734;44324;-48058;377071.0;11193.0;3734;17681.0;-2979.0;-2481.0;-4762.0;342924.0;-2.5;57.3;52.1
205;Central government;2012 3rd quarter;-6914;36756;-43670;384102.0;7031.0;6914;-15368.0;8118.0;3141.0;4226.0;357063.0;-2.6;58.5;54.3
206;Central government;2012 4th quarter;-6540;44271;-50811;390226.0;6124.0;6540;5606.0;-2993.0;-3307.0;278.0;364575.0;-2.9;59.3;55.4
207;Central government;2012;-18896;169857;-188753;390226.0;32714.0;18896;17062.0;-751.0;-1865.0;-628.0;364575.0;-2.9;59.3;55.4
208;Central government;2013 1st quarter;1236;46855;-45619;395853.0;5627.0;-1236;11853.0;-4719.0;727.0;-998.0;365149.0;-2.4;60.1;55.4
209;Central government;2013 2nd quarter;-139;45579;-45718;406274.0;10421.0;139;11881.0;808.0;-2460.0;53.0;369408.0;-1.9;61.5;55.9
210;Central government;2013 3rd quarter;-3652;38962;-42614;407506.0;1232.0;3652;-8627.0;5259.0;2604.0;-1656.0;372803.0;-1.4;61.4;56.2
211;Central government;2013 4th quarter;-5722;44784;-50506;408803.0;1297.0;5722;-6259.0;-3326.0;2392.0;2768.0;377454.0;-1.2;61.4;56.7
212;Central government;2013;-8277;176180;-184457;408803.0;18577.0;8277;8848.0;-1978.0;3263.0;167.0;377454.0;-1.2;61.4;56.7
213;Central government;2014 1st quarter;822;47094;-46272;407523.0;-1280.0;-822;1485.0;-2624.0;1685.0;-1004.0;372355.0;-1.3;60.9;55.7
214;Central government;2014 2nd quarter;609;48039;-47430;421455.0;13932.0;-609;14683.0;3175.0;-2491.0;-826.0;384110.0;-1.2;62.8;57.2
215;Central government;2014 3rd quarter;-3367;40187;-43554;416979.0;-4476.0;3367;-12908.0;-818.0;3455.0;2428.0;381699.0;-1.1;61.8;56.6
216;Central government;2014 4th quarter;-5279;45640;-50919;418982.0;2003.0;5279;-826.0;618.0;-2440.0;-628.0;382366.0;-1.1;61.7;56.3
217;Central government;2014;-7215;180960;-188175;418982.0;10179.0;7215;2434.0;351.0;209.0;-30.0;382366.0;-1.1;61.7;56.3
218;Central government;2015 1st quarter;335;48211;-47876;423808.0;4826.0;-335;3997.0;-561.0;1833.0;-108.0;391225.0;-1.1;62.2;57.4
219;Central government;2015 2nd quarter;1616;50585;-48969;420674.0;-3134.0;-1616;-3445.0;4363.0;-2783.0;347.0;383790.0;-1.0;61.2;55.9
220;Central government;2015 3rd quarter;-4991;39869;-44860;419592.0;-1082.0;4991;-7894.0;-982.0;3008.0;-205.0;383032.0;-1.2;60.4;55.2
221;Central government;2015 4th quarter;-7867;44441;-52308;415292.0;-4300.0;7867;-7362.0;-2805.0;-1959.0;-41.0;377594.0;-1.6;59.4;54.0
222;Central government;2015;-10907;183106;-194013;415292.0;-3690.0;10907;-14704.0;15.0;99.0;-7.0;377594.0;-1.6;59.4;54.0
223;Central government;2016 1st quarter;-660;48445;-49105;416999.0;1707.0;660;234.0;-1491.0;1553.0;751.0;378864.0;-1.7;59.2;53.8
224;Central government;2016 2nd quarter;831;50376;-49545;418290.0;1291.0;-831;5937.0;-310.0;-2376.0;-1129.0;372203.0;-1.8;58.9;52.4
225;Central government;2016 3rd quarter;-3503;42360;-45863;411840.0;-6450.0;3503;-15417.0;6692.0;-655.0;-573.0;373549.0;-1.6;57.7;52.3
226;Central government;2016 4th quarter;-3076;46848;-49924;411633.0;-207.0;3076;1809.0;-3668.0;-1651.0;227.0;377199.0;-0.9;57.2;52.4
227;Central government;2016;-6408;188029;-194437;411633.0;-3659.0;6408;-7437.0;1223.0;-3129.0;-724.0;377199.0;-0.9;57.2;52.4
228;Central government;2017 1st quarter;6695;54802;-48107;401216.0;-10417.0;-6695;-2123.0;-3742.0;2239.0;-96.0;366147.0;0.1;55.2;50.3
229;Central government;2017 2nd quarter;1644;50976;-49332;409413.0;8197.0;-1644;6287.0;5951.0;-2295.0;-102.0;372432.0;0.2;55.7;50.6
230;Central government;2017 3rd quarter;-1866;43777;-45643;400013.0;-9400.0;1866;-12865.0;-905.0;1640.0;864.0;363579.0;0.5;53.8;48.9
231;Central government;2017 4th quarter;1183;51442;-50259;395034.0;-4979.0;-1183;1907.0;-3393.0;-1518.0;-792.0;361642.0;1.0;52.6;48.2
232;Central government;2017;7656;200997;-193341;395034.0;-16599.0;-7656;-6794.0;-2089.0;66.0;-126.0;361642.0;1.0;52.6;48.2
233;Central government;2018 1st quarter;10125;59088;-48963;387524.0;-7510.0;-10125;3752.0;-3282.0;1944.0;201.0;354268.0;1.5;50.9;46.6
234;Central government;2018 2nd quarter;-1181;49603;-50784;388336.0;812.0;1181;3050.0;-543.0;-1463.0;-1413.0;353309.0;1.1;50.4;45.9
235;Central government;2018 3rd quarter;-70;47643;-47713;392466.0;4130.0;70;-240.0;4937.0;1169.0;-1806.0;360485.0;1.3;50.4;46.3
236;Central government;2018 4th quarter;-1997;52435;-54432;383412.0;-9054.0;1997;-8446.0;-3289.0;-2141.0;2825.0;352737.0;0.9;48.7;44.8
237;Central government;2018;6877;208769;-201892;383412.0;-11622.0;-6877;-1884.0;-2177.0;-491.0;-193.0;352737.0;0.9;48.7;44.8
238;Central government;2019 1st quarter;13060;65722;-52662;376308.0;-7104.0;-13060;7434.0;-3161.0;2085.0;-402.0;343118.0;1.2;47.2;43.0
239;Central government;2019 2nd quarter;-2163;51671;-53834;397586.0;21278.0;2163;15446.0;6220.0;-1529.0;-1022.0;366945.0;1.1;49.1;45.4
240;Central government;2019 3rd quarter;-3378;49997;-53375;387738.0;-9848.0;3378;-13626.0;-514.0;1225.0;-311.0;357612.0;0.7;47.3;43.6
241;Central government;2019 4th quarter;2720;57143;-54423;377357.0;-10381.0;-2720;-5872.0;-1160.0;-2374.0;1745.0;349638.0;1.2;45.5;42.1
242;Central government;2019;10239;224533;-214294;377357.0;-6055.0;-10239;3382.0;1385.0;-593.0;10.0;349638.0;1.2;45.5;42.1
243;Central government;2020 1st quarter;9769;67874;-58105;389566.0;12209.0;-9769;27956.0;-8355.0;1793.0;584.0;356319.0;0.8;46.7;42.7
244;Central government;2020 2nd quarter;-23736;43010;-66746;433653.0;44087.0;23736;28012.0;-5192.0;-2739.0;270.0;394421.0;-1.8;52.9;48.1
245;Central government;2020 3rd quarter;-8953;50809;-59762;439371.0;5718.0;8953;-15743.0;11561.0;987.0;-40.0;411468.0;-2.5;53.8;50.3
246;Central government;2020 4th quarter;-9235;60430;-69665;424107.0;-15264.0;9235;-17879.0;-4345.0;-1293.0;-982.0;397484.0;-3.9;51.9;48.7
247;Central government;2020;-32155;222123;-254278;424107.0;46750.0;32155;22346.0;-6331.0;-1252.0;-168.0;397484.0;-3.9;51.9;48.7
248;Central government;2021 1st quarter;-2254;66359;-68613;433222.0;9115.0;2254;11261.0;-6087.0;1227.0;460.0;398833.0;-5.4;52.9;48.7
249;Central government;2021 2nd quarter;-18408;51248;-69656;455068.0;21846.0;18408;12634.0;-6174.0;-3621.0;599.0;415322.0;-4.6;53.6;49.0
250;Central government;2021 3rd quarter;-7165;58571;-65736;453901.0;-1167.0;7165;-17482.0;10590.0;-1297.0;-143.0;425518.0;-4.3;52.2;48.9
251;Central government;2021 4th quarter;-1454;69484;-70938;449459.0;-4442.0;1454;1559.0;-4282.0;-2255.0;-918.0;425592.0;-3.3;50.4;47.7
252;Central government;2021;-29281;245662;-274943;449459.0;25352.0;29281;7972.0;-5953.0;-5946.0;-2.0;425592.0;-3.3;50.4;47.7
253;Central government;2022 1st quarter;4140;71839;-67699;445322.0;-4137.0;-4140;2838.0;-5955.0;2950.0;170.0;418468.0;-2.5;48.5;45.5
254;Central government;2022 2nd quarter;-4016;65898;-69914;463069.0;17747.0;4016;18944.0;-6140.0;868.0;59.0;432627.0;-0.9;49.1;45.9
255;Central government;2022 3rd quarter;-10346;63220;-73566;469263.0;6194.0;10346;-15737.0;10255.0;907.0;423.0;442265.0;-1.2;48.5;45.7
256;Central government;2022 4th quarter;-3965;75454;-79419;488658.0;19395.0;3965;19221.0;-3221.0;72.0;-642.0;465588.0;-1.4;49.2;46.8
257;Central government;2022;-14187;276411;-290598;488658.0;39199.0;14187;25266.0;-5061.0;4797.0;10.0;465588.0;-1.4;49.2;46.8
258;Central government;2023 1st quarter;-11650;75809;-87459;480935.0;-7723.0;11650;-22104.0;-2692.0;5474.0;-51.0;469960.0;-3.0;47.3;46.3
259;Central government;2023 2nd quarter;-4499;72191;-76690;502086.0;21151.0;4499;2941.0;15806.0;515.0;-2610.0;489076.0;-2.9;48.5;47.2
260;Central government;2023 3rd quarter;-3075;70196;-73271;490516.0;-11570.0;3075;-14722.0;-3182.0;162.0;3097.0;479389.0;-2.2;46.6;45.5
261;Central government;2023 4th quarter;-3083;78447;-81530;498146.0;7630.0;3083;12340.0;-6034.0;-1325.0;-434.0;489158.0;-2.1;46.7;45.8
262;Central government;2023;-22307;296643;-318950;498146.0;9488.0;22307;-21545.0;3898.0;4826.0;2.0;489158.0;-2.1;46.7;45.8
263;Central government;2024 1st quarter;2518;79084;-76566;492647.0;-5499.0;-2518;-433.0;-5713.0;2850.0;315.0;477246.0;-0.8;45.5;44.1
264;Central government;2024 2nd quarter;-5361;81280;-86641;518631.0;25984.0;5361;13697.0;7292.0;113.0;-479.0;510374.0;-0.8;47.1;46.4
265;Central government;2024 3rd quarter;-4625;78404;-83029;505715.0;-12916.0;4625;-18062.0;100.0;673.0;-252.0;498297.0;-0.9;45.3;44.7
266;Central government;2024 4th quarter;-12830;79428;-92258;526791.0;21076.0;12830;13267.0;-4784.0;-617.0;380.0;517797.0;-1.8;46.4;45.7
267;Central government;2024;-20298;318196;-338494;526791.0;28645.0;20298;8469.0;-3105.0;3019.0;-36.0;517797.0;-1.8;46.4;45.7
268;The State;1995;-26253;80306;-106559;;;26253;;;;;;-8.0;;
269;The State;1996;-5540;86644;-92184;;;5540;;;;;;-1.6;;
270;The State;1997;-8458;89268;-97726;;;8458;;;;;;-2.3;;
271;The State;1998;-5996;92915;-98911;;;5996;;;;;;-1.5;;
272;The State;1999 1st quarter;-2670;23350;-26020;;;2670;;;;;;;;
273;The State;1999 2nd quarter;-745;24029;-24774;;;745;;;;;;;;
274;The State;1999 3rd quarter;-1216;23603;-24819;;;1216;;;;;;;;
275;The State;1999 4th quarter;993;27929;-26936;;;-993;;;;;;-0.9;;
276;The State;1999;-3638;98911;-102549;;;3638;;;;;;-0.9;;
277;The State;2000 1st quarter;-2273;23956;-26229;;;2273;;;;;;-0.8;;
278;The State;2000 2nd quarter;-470;27057;-27527;;;470;;;;;;-0.7;;
279;The State;2000 3rd quarter;-649;24693;-25342;;;649;;;;;;-0.5;;
280;The State;2000 4th quarter;2133;30771;-28638;;;-2133;;;;;;-0.3;;
281;The State;2000;-1259;106477;-107736;;;1259;;;;;;-0.3;;
282;The State;2001 1st quarter;-2090;26719;-28809;;;2090;;;;;;-0.2;;
283;The State;2001 2nd quarter;-511;30117;-30628;;;511;;;;;;-0.2;;
284;The State;2001 3rd quarter;-316;28410;-28726;;;316;;;;;;-0.2;;
285;The State;2001 4th quarter;1994;33721;-31727;;;-1994;;;;;;-0.2;;
286;The State;2001;-923;118967;-119890;;;923;;;;;;-0.2;;
287;The State;2002 1st quarter;-2989;27943;-30932;;;2989;;;;;;-0.4;;
288;The State;2002 2nd quarter;-834;32039;-32873;;;834;;;;;;-0.4;;
289;The State;2002 3rd quarter;-3293;27257;-30550;;;3293;;;;;;-1.0;;
290;The State;2002 4th quarter;946;33654;-32708;;;-946;;;;;;-1.2;;
291;The State;2002;-6170;120893;-127063;;;6170;;;;;;-1.2;;
292;The State;2003 1st quarter;-4919;28044;-32963;;;4919;;;;;;-1.6;;
293;The State;2003 2nd quarter;-4964;30382;-35346;;;4964;;;;;;-2.4;;
294;The State;2003 3rd quarter;-4571;27460;-32031;;;4571;;;;;;-2.6;;
295;The State;2003 4th quarter;370;34626;-34256;;;-370;;;;;;-2.7;;
296;The State;2003;-14084;120512;-134596;;;14084;;;;;;-2.7;;
297;The State;2004 1st quarter;-5525;28390;-33915;;;5525;;;;;;-2.8;;
298;The State;2004 2nd quarter;-2801;32632;-35433;;;2801;;;;;;-2.4;;
299;The State;2004 3rd quarter;-1715;29417;-31132;;;1715;;;;;;-1.8;;
300;The State;2004 4th quarter;1256;34728;-33472;;;-1256;;;;;;-1.7;;
301;The State;2004;-8785;125167;-133952;;;8785;;;;;;-1.7;;
302;The State;2005 1st quarter;-3114;30224;-33338;;;3114;;;;;;-1.2;;
303;The State;2005 2nd quarter;-1495;33863;-35358;;;1495;;;;;;-0.9;;
304;The State;2005 3rd quarter;-62;31725;-31787;;;62;;;;;;-0.6;;
305;The State;2005 4th quarter;4009;39828;-35819;;;-4009;;;;;;-0.1;;
306;The State;2005;-662;135640;-136302;;;662;;;;;;-0.1;;
307;The State;2006 1st quarter;-540;33383;-33923;;;540;;;;;;0.3;;
308;The State;2006 2nd quarter;-2492;37058;-39550;;;2492;;;;;;0.2;;
309;The State;2006 3rd quarter;651;34437;-33786;;;-651;;;;;;0.3;;
310;The State;2006 4th quarter;5770;43653;-37883;;;-5770;;;;;;0.6;;
311;The State;2006;3389;148531;-145142;;;-3389;;;;;;0.6;;
312;The State;2007 1st quarter;-1176;36634;-37810;;;1176;;;;;;0.5;;
313;The State;2007 2nd quarter;44;38755;-38711;;;-44;;;;;;0.9;;
314;The State;2007 3rd quarter;-4219;33850;-38069;;;4219;;;;;;0.1;;
315;The State;2007 4th quarter;6350;46565;-40215;;;-6350;;;;;;0.2;;
316;The State;2007;999;155804;-154805;;;-999;;;;;;0.2;;
317;The State;2008 1st quarter;-1271;40438;-41709;248011.0;10576.0;1271;8319.0;733.0;724.0;-471.0;236146.0;0.1;39.3;37.4
318;The State;2008 2nd quarter;-60;41729;-41789;254459.0;6448.0;60;6011.0;1477.0;-1244.0;144.0;242955.0;0.1;39.8;38.0
319;The State;2008 3rd quarter;-1842;41061;-42903;258982.0;4523.0;1842;1980.0;-2810.0;3425.0;86.0;247010.0;0.5;40.0;38.2
320;The State;2008 4th quarter;4802;45688;-40886;324123.0;65141.0;-4802;71473.0;-179.0;-1612.0;261.0;311547.0;0.3;49.8;47.8
321;The State;2008;1629;168916;-167287;324123.0;86688.0;-1629;87783.0;-779.0;1293.0;20.0;311547.0;0.3;49.8;47.8
322;The State;2009 1st quarter;-4190;39485;-43675;341987.0;17864.0;4190;16973.0;-2111.0;-424.0;-764.0;325925.0;-0.2;52.8;50.3
323;The State;2009 2nd quarter;-2612;40535;-43147;331928.0;-10059.0;2612;-7807.0;-1781.0;-3335.0;252.0;309252.0;-0.6;51.7;48.2
324;The State;2009 3rd quarter;-9337;34349;-43686;334037.0;2109.0;9337;-13725.0;4559.0;2527.0;-589.0;316035.0;-1.8;52.6;49.7
325;The State;2009 4th quarter;-2396;43662;-46058;321909.0;-12128.0;2396;-12263.0;267.0;-3131.0;603.0;302093.0;-2.9;51.1;47.9
326;The State;2009;-18535;158031;-176566;321909.0;-2214.0;18535;-16822.0;934.0;-4363.0;-498.0;302093.0;-2.9;51.1;47.9
327;The State;2010 1st quarter;-5690;39877;-45567;328640.0;6731.0;5690;2436.0;-2710.0;982.0;333.0;304749.0;-3.2;52.3;48.5
328;The State;2010 2nd quarter;-6764;41487;-48251;339019.0;10379.0;6764;5650.0;-4293.0;171.0;2087.0;311086.0;-3.8;53.5;49.1
329;The State;2010 3rd quarter;-9245;33995;-43240;342595.0;3576.0;9245;-17722.0;10771.0;1567.0;-285.0;322112.0;-3.8;53.7;50.5
330;The State;2010 4th quarter;-4467;46305;-50772;341270.0;-1325.0;4467;4219.0;-4915.0;-3288.0;-1808.0;325099.0;-4.1;53.1;50.6
331;The State;2010;-26166;161664;-187830;341270.0;19361.0;26166;-5417.0;-1147.0;-568.0;327.0;325099.0;-4.1;53.1;50.6
332;The State;2011 1st quarter;-3075;42100;-45175;345342.0;4072.0;3075;3105.0;-3075.0;336.0;631.0;326563.0;-3.6;53.3;50.4
333;The State;2011 2nd quarter;-3695;41956;-45651;352535.0;7193.0;3695;7108.0;-1630.0;-2416.0;436.0;327234.0;-3.1;54.1;50.2
334;The State;2011 3rd quarter;-6345;35965;-42310;358743.0;6208.0;6345;-8929.0;4856.0;3910.0;26.0;338768.0;-2.7;54.8;51.7
335;The State;2011 4th quarter;-4705;41467;-46172;358465.0;-278.0;4705;-1747.0;-1267.0;-2253.0;284.0;338747.0;-2.7;54.6;51.6
336;The State;2011;-17820;161488;-179308;358465.0;17195.0;17820;-463.0;-1116.0;-423.0;1377.0;338747.0;-2.7;54.6;51.6
337;The State;2012 1st quarter;-1848;42376;-44224;367204.0;8739.0;1848;9317.0;-2703.0;782.0;-505.0;341479.0;-2.5;55.9;52.0
338;The State;2012 2nd quarter;-3966;42277;-46243;378629.0;11425.0;3966;17939.0;-3149.0;-2481.0;-4850.0;342513.0;-2.6;57.6;52.1
339;The State;2012 3rd quarter;-6841;34705;-41546;385816.0;7187.0;6841;-14999.0;7834.0;3143.0;4368.0;356543.0;-2.6;58.7;54.3
340;The State;2012 4th quarter;-5900;42267;-48167;391483.0;5667.0;5900;5799.0;-3032.0;-3307.0;307.0;363630.0;-2.8;59.5;55.2
341;The State;2012;-18555;161625;-180180;391483.0;33018.0;18555;18056.0;-1050.0;-1863.0;-680.0;363630.0;-2.8;59.5;55.2
342;The State;2013 1st quarter;543;44443;-43900;396964.0;5481.0;-543;11218.0;-5244.0;1169.0;-1119.0;363322.0;-2.5;60.3;55.2
343;The State;2013 2nd quarter;-198;43275;-43473;407912.0;10948.0;198;12281.0;850.0;-2458.0;77.0;368169.0;-1.9;61.8;55.8
344;The State;2013 3rd quarter;-3557;36628;-40185;408954.0;1042.0;3557;-8739.0;5138.0;2604.0;-1518.0;371439.0;-1.4;61.6;56.0
345;The State;2013 4th quarter;-5881;42458;-48339;405938.0;-3016.0;5881;-6089.0;-3112.0;-2418.0;2722.0;371950.0;-1.4;61.0;55.9
346;The State;2013;-9093;166804;-175897;405938.0;14455.0;9093;8671.0;-2368.0;-1103.0;162.0;371950.0;-1.4;61.0;55.9
347;The State;2014 1st quarter;528;44736;-44208;404610.0;-1328.0;-528;1442.0;-2997.0;1710.0;-955.0;366949.0;-1.4;60.5;54.8
348;The State;2014 2nd quarter;196;45709;-45513;418509.0;13899.0;-196;14880.0;2513.0;-2493.0;-805.0;378813.0;-1.3;62.3;56.4
349;The State;2014 3rd quarter;-3004;37861;-40865;414055.0;-4454.0;3004;-12790.0;-560.0;3455.0;2437.0;376488.0;-1.2;61.4;55.8
350;The State;2014 4th quarter;-4909;43340;-48249;416004.0;1949.0;4909;-824.0;1006.0;-2440.0;-702.0;377470.0;-1.1;61.3;55.6
351;The State;2014;-7189;171646;-178835;416004.0;10066.0;7189;2708.0;-38.0;232.0;-25.0;377470.0;-1.1;61.3;55.6
352;The State;2015 1st quarter;119;46037;-45918;421601.0;5597.0;-119;4384.0;-689.0;1795.0;226.0;385851.0;-1.1;61.9;56.6
353;The State;2015 2nd quarter;1210;48269;-47059;419147.0;-2454.0;-1210;-3075.0;4280.0;-2784.0;335.0;379006.0;-1.0;61.0;55.2
354;The State;2015 3rd quarter;-4407;37653;-42060;420039.0;892.0;4407;-5742.0;-647.0;3007.0;-133.0;380711.0;-1.2;60.5;54.8
355;The State;2015 4th quarter;-7549;42363;-49912;415600.0;-4439.0;7549;-7121.0;-2478.0;-1958.0;-431.0;375087.0;-1.5;59.4;53.6
356;The State;2015;-10627;174322;-184949;415600.0;-404.0;10627;-11554.0;466.0;60.0;-3.0;375087.0;-1.5;59.4;53.6
357;The State;2016 1st quarter;-997;46159;-47156;417194.0;1594.0;997;521.0;-1841.0;1549.0;368.0;376172.0;-1.7;59.2;53.4
358;The State;2016 2nd quarter;874;48029;-47155;418707.0;1513.0;-874;6463.0;-601.0;-2380.0;-1095.0;369739.0;-1.7;59.0;52.1
359;The State;2016 3rd quarter;-3472;40064;-43536;414515.0;-4192.0;3472;-15090.0;5631.0;1688.0;107.0;373302.0;-1.6;58.0;52.3
360;The State;2016 4th quarter;-2570;44427;-46997;414529.0;14.0;2570;2751.0;-3575.0;-1655.0;-77.0;377118.0;-0.9;57.6;52.4
361;The State;2016;-6165;178679;-184844;414529.0;-1071.0;6165;-5355.0;-386.0;-798.0;-697.0;377118.0;-0.9;57.6;52.4
362;The State;2017 1st quarter;6272;52442;-46170;404478.0;-10051.0;-6272;-2337.0;-3686.0;2289.0;-45.0;366415.0;0.2;55.6;50.4
363;The State;2017 2nd quarter;1532;48557;-47025;413644.0;9166.0;-1532;7322.0;5815.0;-2295.0;-144.0;373609.0;0.2;56.2;50.8
364;The State;2017 3rd quarter;-1989;41424;-43413;404269.0;-9375.0;1989;-13145.0;-715.0;1640.0;856.0;364879.0;0.4;54.4;49.1
365;The State;2017 4th quarter;1624;48931;-47307;398511.0;-5758.0;-1624;1766.0;-3579.0;-1518.0;-803.0;362465.0;1.0;53.1;48.3
366;The State;2017;7439;191354;-183915;398511.0;-16018.0;-7439;-6394.0;-2165.0;116.0;-136.0;362465.0;1.0;53.1;48.3
367;The State;2018 1st quarter;9604;56641;-47037;390762.0;-7749.0;-9604;2806.0;-3052.0;1944.0;157.0;354867.0;1.4;51.4;46.6
368;The State;2018 2nd quarter;-1404;47085;-48489;391734.0;972.0;1404;2979.0;-573.0;-1464.0;-1374.0;354134.0;1.0;50.9;46.0
369;The State;2018 3rd quarter;140;45172;-45032;395909.0;4175.0;-140;-72.0;5044.0;1169.0;-1826.0;361177.0;1.3;50.9;46.4
370;The State;2018 4th quarter;-1961;49801;-51762;387011.0;-8898.0;1961;-8094.0;-3472.0;-2143.0;2850.0;353676.0;0.8;49.2;44.9
371;The State;2018;6379;198699;-192320;387011.0;-11500.0;-6379;-2381.0;-2053.0;-494.0;-193.0;353676.0;0.8;49.2;44.9
372;The State;2019 1st quarter;13048;63099;-50051;379552.0;-7459.0;-13048;6947.0;-3075.0;2083.0;-366.0;343610.0;1.2;47.6;43.1
373;The State;2019 2nd quarter;-2598;48973;-51571;401428.0;21876.0;2598;15709.0;6069.0;-1529.0;-971.0;367963.0;1.1;49.6;45.5
374;The State;2019 3rd quarter;-3036;47418;-50454;391545.0;-9883.0;3036;-13306.0;-500.0;1225.0;-338.0;358644.0;0.7;47.8;43.8
375;The State;2019 4th quarter;2981;54502;-51521;380870.0;-10675.0;-2981;-5657.0;-1386.0;-2374.0;1723.0;350522.0;1.3;45.9;42.2
376;The State;2019;10395;213992;-203597;380870.0;-6141.0;-10395;3693.0;1108.0;-595.0;48.0;350522.0;1.3;45.9;42.2
377;The State;2020 1st quarter;9422;65279;-55857;393272.0;12402.0;-9422;27619.0;-8226.0;1795.0;636.0;357392.0;0.8;47.2;42.8
378;The State;2020 2nd quarter;-24379;40466;-64845;438290.0;45018.0;24379;27996.0;-4881.0;-2739.0;263.0;396466.0;-1.8;53.5;48.4
379;The State;2020 3rd quarter;-8545;48212;-56757;444171.0;5881.0;8545;-15254.0;11548.0;987.0;55.0;413353.0;-2.5;54.3;50.6
380;The State;2020 4th quarter;-8831;57645;-66476;428802.0;-15369.0;8831;-17324.0;-4530.0;-1293.0;-1053.0;399539.0;-4.0;52.5;48.9
381;The State;2020;-32333;211602;-243935;428802.0;47932.0;32333;23037.0;-6089.0;-1250.0;-99.0;399539.0;-4.0;52.5;48.9
382;The State;2021 1st quarter;-2669;63600;-66269;438332.0;9530.0;2669;10918.0;-5875.0;1235.0;583.0;401201.0;-5.4;53.5;49.0
383;The State;2021 2nd quarter;-18852;48463;-67315;460780.0;22448.0;18852;12731.0;-6149.0;-3621.0;635.0;418325.0;-4.6;54.3;49.3
384;The State;2021 3rd quarter;-7109;55894;-63003;460218.0;-562.0;7109;-16685.0;10583.0;-1297.0;-272.0;428993.0;-4.3;52.9;49.3
385;The State;2021 4th quarter;-776;66642;-67418;454670.0;-5548.0;776;1620.0;-4768.0;-2242.0;-934.0;428059.0;-3.3;51.0;48.0
