ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
2664;Total domestic and foreign;No international trade;100 Lower education;Wage: middle;2008;435.0
2665;Total domestic and foreign;No international trade;100 Lower education;Wage: middle;2009;420.0
2666;Total domestic and foreign;No international trade;100 Lower education;Wage: middle;2010;369.0
2667;Total domestic and foreign;No international trade;100 Lower education;Wage: middle;2011;368.0
2668;Total domestic and foreign;No international trade;100 Lower education;Wage: middle;2012;347.0
2669;Total domestic and foreign;No international trade;100 Lower education;Wage: middle;2013;260.0
2670;Total domestic and foreign;No international trade;100 Lower education;Wage: middle;2014;285.0
2671;Total domestic and foreign;No international trade;100 Lower education;Wage: middle;2015;
2672;Total domestic and foreign;No international trade;100 Lower education;Wage: high (among highest 20 percent);2008;50.0
2673;Total domestic and foreign;No international trade;100 Lower education;Wage: high (among highest 20 percent);2009;44.0
2674;Total domestic and foreign;No international trade;100 Lower education;Wage: high (among highest 20 percent);2010;38.0
2675;Total domestic and foreign;No international trade;100 Lower education;Wage: high (among highest 20 percent);2011;39.0
2676;Total domestic and foreign;No international trade;100 Lower education;Wage: high (among highest 20 percent);2012;33.0
2677;Total domestic and foreign;No international trade;100 Lower education;Wage: high (among highest 20 percent);2013;27.0
2678;Total domestic and foreign;No international trade;100 Lower education;Wage: high (among highest 20 percent);2014;27.0
2679;Total domestic and foreign;No international trade;100 Lower education;Wage: high (among highest 20 percent);2015;
2680;Total domestic and foreign;No international trade;100 Lower education;Nationality: Dutch;2008;1030.0
2681;Total domestic and foreign;No international trade;100 Lower education;Nationality: Dutch;2009;995.0
2682;Total domestic and foreign;No international trade;100 Lower education;Nationality: Dutch;2010;900.0
2683;Total domestic and foreign;No international trade;100 Lower education;Nationality: Dutch;2011;894.0
2684;Total domestic and foreign;No international trade;100 Lower education;Nationality: Dutch;2012;843.0
2685;Total domestic and foreign;No international trade;100 Lower education;Nationality: Dutch;2013;633.0
2686;Total domestic and foreign;No international trade;100 Lower education;Nationality: Dutch;2014;693.0
2687;Total domestic and foreign;No international trade;100 Lower education;Nationality: Dutch;2015;
2688;Total domestic and foreign;No international trade;100 Lower education;Nationality: Belgian;2008;2.0
2689;Total domestic and foreign;No international trade;100 Lower education;Nationality: Belgian;2009;2.0
2690;Total domestic and foreign;No international trade;100 Lower education;Nationality: Belgian;2010;2.0
2691;Total domestic and foreign;No international trade;100 Lower education;Nationality: Belgian;2011;1.0
2692;Total domestic and foreign;No international trade;100 Lower education;Nationality: Belgian;2012;1.0
2693;Total domestic and foreign;No international trade;100 Lower education;Nationality: Belgian;2013;1.0
2694;Total domestic and foreign;No international trade;100 Lower education;Nationality: Belgian;2014;1.0
2695;Total domestic and foreign;No international trade;100 Lower education;Nationality: Belgian;2015;
2696;Total domestic and foreign;No international trade;100 Lower education;Nationality: British;2008;2.0
2697;Total domestic and foreign;No international trade;100 Lower education;Nationality: British;2009;2.0
2698;Total domestic and foreign;No international trade;100 Lower education;Nationality: British;2010;2.0
2699;Total domestic and foreign;No international trade;100 Lower education;Nationality: British;2011;2.0
2700;Total domestic and foreign;No international trade;100 Lower education;Nationality: British;2012;2.0
2701;Total domestic and foreign;No international trade;100 Lower education;Nationality: British;2013;1.0
2702;Total domestic and foreign;No international trade;100 Lower education;Nationality: British;2014;1.0
2703;Total domestic and foreign;No international trade;100 Lower education;Nationality: British;2015;
2704;Total domestic and foreign;No international trade;100 Lower education;Nationality: German;2008;6.0
2705;Total domestic and foreign;No international trade;100 Lower education;Nationality: German;2009;5.0
2706;Total domestic and foreign;No international trade;100 Lower education;Nationality: German;2010;3.0
2707;Total domestic and foreign;No international trade;100 Lower education;Nationality: German;2011;3.0
2708;Total domestic and foreign;No international trade;100 Lower education;Nationality: German;2012;3.0
2709;Total domestic and foreign;No international trade;100 Lower education;Nationality: German;2013;2.0
2710;Total domestic and foreign;No international trade;100 Lower education;Nationality: German;2014;2.0
2711;Total domestic and foreign;No international trade;100 Lower education;Nationality: German;2015;
2712;Total domestic and foreign;No international trade;100 Lower education;Nationality: Polish;2008;21.0
2713;Total domestic and foreign;No international trade;100 Lower education;Nationality: Polish;2009;24.0
2714;Total domestic and foreign;No international trade;100 Lower education;Nationality: Polish;2010;27.0
2715;Total domestic and foreign;No international trade;100 Lower education;Nationality: Polish;2011;29.0
2716;Total domestic and foreign;No international trade;100 Lower education;Nationality: Polish;2012;30.0
2717;Total domestic and foreign;No international trade;100 Lower education;Nationality: Polish;2013;35.0
2718;Total domestic and foreign;No international trade;100 Lower education;Nationality: Polish;2014;38.0
2719;Total domestic and foreign;No international trade;100 Lower education;Nationality: Polish;2015;
2720;Total domestic and foreign;No international trade;100 Lower education;Nationality: Indian;2008;
2721;Total domestic and foreign;No international trade;100 Lower education;Nationality: Indian;2009;
2722;Total domestic and foreign;No international trade;100 Lower education;Nationality: Indian;2010;
2723;Total domestic and foreign;No international trade;100 Lower education;Nationality: Indian;2011;
2724;Total domestic and foreign;No international trade;100 Lower education;Nationality: Indian;2012;
2725;Total domestic and foreign;No international trade;100 Lower education;Nationality: Indian;2013;
2726;Total domestic and foreign;No international trade;100 Lower education;Nationality: Indian;2014;
2727;Total domestic and foreign;No international trade;100 Lower education;Nationality: Indian;2015;
2728;Total domestic and foreign;No international trade;100 Lower education;Nationality: other;2008;55.0
2729;Total domestic and foreign;No international trade;100 Lower education;Nationality: other;2009;52.0
2730;Total domestic and foreign;No international trade;100 Lower education;Nationality: other;2010;51.0
2731;Total domestic and foreign;No international trade;100 Lower education;Nationality: other;2011;50.0
2732;Total domestic and foreign;No international trade;100 Lower education;Nationality: other;2012;46.0
2733;Total domestic and foreign;No international trade;100 Lower education;Nationality: other;2013;37.0
2734;Total domestic and foreign;No international trade;100 Lower education;Nationality: other;2014;44.0
2735;Total domestic and foreign;No international trade;100 Lower education;Nationality: other;2015;
2736;Total domestic and foreign;No international trade;200 Intermediate education;Total ;2008;1897.0
2737;Total domestic and foreign;No international trade;200 Intermediate education;Total ;2009;1896.0
2738;Total domestic and foreign;No international trade;200 Intermediate education;Total ;2010;1742.0
2739;Total domestic and foreign;No international trade;200 Intermediate education;Total ;2011;1789.0
2740;Total domestic and foreign;No international trade;200 Intermediate education;Total ;2012;1760.0
2741;Total domestic and foreign;No international trade;200 Intermediate education;Total ;2013;1383.0
2742;Total domestic and foreign;No international trade;200 Intermediate education;Total ;2014;1602.0
2743;Total domestic and foreign;No international trade;200 Intermediate education;Total ;2015;
2744;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: specified time;2008;551.0
2745;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: specified time;2009;584.0
2746;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: specified time;2010;532.0
2747;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: specified time;2011;570.0
2748;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: specified time;2012;578.0
2749;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: specified time;2013;497.0
2750;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: specified time;2014;600.0
2751;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: specified time;2015;
2752;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: unspecified time;2008;1274.0
2753;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: unspecified time;2009;1240.0
2754;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: unspecified time;2010;1144.0
2755;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: unspecified time;2011;1150.0
2756;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: unspecified time;2012;1116.0
2757;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: unspecified time;2013;825.0
2758;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: unspecified time;2014;939.0
2759;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: unspecified time;2015;
2760;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: other;2008;71.0
2761;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: other;2009;68.0
2762;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: other;2010;61.0
2763;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: other;2011;69.0
2764;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: other;2012;67.0
2765;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: other;2013;62.0
2766;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: other;2014;64.0
2767;Total domestic and foreign;No international trade;200 Intermediate education;Type of contract: other;2015;
2768;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Male;2008;878.0
2769;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Male;2009;868.0
2770;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Male;2010;757.0
2771;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Male;2011;793.0
2772;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Male;2012;776.0
2773;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Male;2013;610.0
2774;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Male;2014;697.0
2775;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Male;2015;
2776;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Female;2008;1019.0
2777;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Female;2009;1029.0
2778;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Female;2010;985.0
2779;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Female;2011;996.0
2780;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Female;2012;984.0
2781;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Female;2013;774.0
2782;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Female;2014;905.0
2783;Total domestic and foreign;No international trade;200 Intermediate education;Sex: Female;2015;
2784;Total domestic and foreign;No international trade;200 Intermediate education;Age: 15 to 34 years;2008;791.0
2785;Total domestic and foreign;No international trade;200 Intermediate education;Age: 15 to 34 years;2009;788.0
2786;Total domestic and foreign;No international trade;200 Intermediate education;Age: 15 to 34 years;2010;713.0
2787;Total domestic and foreign;No international trade;200 Intermediate education;Age: 15 to 34 years;2011;743.0
2788;Total domestic and foreign;No international trade;200 Intermediate education;Age: 15 to 34 years;2012;726.0
2789;Total domestic and foreign;No international trade;200 Intermediate education;Age: 15 to 34 years;2013;574.0
2790;Total domestic and foreign;No international trade;200 Intermediate education;Age: 15 to 34 years;2014;665.0
2791;Total domestic and foreign;No international trade;200 Intermediate education;Age: 15 to 34 years;2015;
2792;Total domestic and foreign;No international trade;200 Intermediate education;Age: 35 to 54 years;2008;865.0
2793;Total domestic and foreign;No international trade;200 Intermediate education;Age: 35 to 54 years;2009;855.0
2794;Total domestic and foreign;No international trade;200 Intermediate education;Age: 35 to 54 years;2010;783.0
2795;Total domestic and foreign;No international trade;200 Intermediate education;Age: 35 to 54 years;2011;787.0
2796;Total domestic and foreign;No international trade;200 Intermediate education;Age: 35 to 54 years;2012;764.0
2797;Total domestic and foreign;No international trade;200 Intermediate education;Age: 35 to 54 years;2013;583.0
2798;Total domestic and foreign;No international trade;200 Intermediate education;Age: 35 to 54 years;2014;666.0
2799;Total domestic and foreign;No international trade;200 Intermediate education;Age: 35 to 54 years;2015;
2800;Total domestic and foreign;No international trade;200 Intermediate education;Age: 55 years or older;2008;240.0
2801;Total domestic and foreign;No international trade;200 Intermediate education;Age: 55 years or older;2009;253.0
2802;Total domestic and foreign;No international trade;200 Intermediate education;Age: 55 years or older;2010;247.0
2803;Total domestic and foreign;No international trade;200 Intermediate education;Age: 55 years or older;2011;259.0
2804;Total domestic and foreign;No international trade;200 Intermediate education;Age: 55 years or older;2012;270.0
2805;Total domestic and foreign;No international trade;200 Intermediate education;Age: 55 years or older;2013;227.0
2806;Total domestic and foreign;No international trade;200 Intermediate education;Age: 55 years or older;2014;272.0
2807;Total domestic and foreign;No international trade;200 Intermediate education;Age: 55 years or older;2015;
2808;Total domestic and foreign;No international trade;200 Intermediate education;Wage: low (among lowest 30 percent);2008;637.0
2809;Total domestic and foreign;No international trade;200 Intermediate education;Wage: low (among lowest 30 percent);2009;651.0
2810;Total domestic and foreign;No international trade;200 Intermediate education;Wage: low (among lowest 30 percent);2010;619.0
2811;Total domestic and foreign;No international trade;200 Intermediate education;Wage: low (among lowest 30 percent);2011;637.0
2812;Total domestic and foreign;No international trade;200 Intermediate education;Wage: low (among lowest 30 percent);2012;636.0
2813;Total domestic and foreign;No international trade;200 Intermediate education;Wage: low (among lowest 30 percent);2013;527.0
2814;Total domestic and foreign;No international trade;200 Intermediate education;Wage: low (among lowest 30 percent);2014;602.0
2815;Total domestic and foreign;No international trade;200 Intermediate education;Wage: low (among lowest 30 percent);2015;
2816;Total domestic and foreign;No international trade;200 Intermediate education;Wage: middle;2008;1049.0
2817;Total domestic and foreign;No international trade;200 Intermediate education;Wage: middle;2009;1049.0
2818;Total domestic and foreign;No international trade;200 Intermediate education;Wage: middle;2010;955.0
2819;Total domestic and foreign;No international trade;200 Intermediate education;Wage: middle;2011;985.0
2820;Total domestic and foreign;No international trade;200 Intermediate education;Wage: middle;2012;967.0
2821;Total domestic and foreign;No international trade;200 Intermediate education;Wage: middle;2013;730.0
2822;Total domestic and foreign;No international trade;200 Intermediate education;Wage: middle;2014;865.0
2823;Total domestic and foreign;No international trade;200 Intermediate education;Wage: middle;2015;
2824;Total domestic and foreign;No international trade;200 Intermediate education;Wage: high (among highest 20 percent);2008;210.0
2825;Total domestic and foreign;No international trade;200 Intermediate education;Wage: high (among highest 20 percent);2009;196.0
2826;Total domestic and foreign;No international trade;200 Intermediate education;Wage: high (among highest 20 percent);2010;168.0
2827;Total domestic and foreign;No international trade;200 Intermediate education;Wage: high (among highest 20 percent);2011;167.0
2828;Total domestic and foreign;No international trade;200 Intermediate education;Wage: high (among highest 20 percent);2012;158.0
2829;Total domestic and foreign;No international trade;200 Intermediate education;Wage: high (among highest 20 percent);2013;127.0
2830;Total domestic and foreign;No international trade;200 Intermediate education;Wage: high (among highest 20 percent);2014;134.0
2831;Total domestic and foreign;No international trade;200 Intermediate education;Wage: high (among highest 20 percent);2015;
2832;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Dutch;2008;1800.0
2833;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Dutch;2009;1801.0
2834;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Dutch;2010;1655.0
2835;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Dutch;2011;1701.0
2836;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Dutch;2012;1672.0
2837;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Dutch;2013;1301.0
2838;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Dutch;2014;1507.0
2839;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Dutch;2015;
2840;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Belgian;2008;4.0
2841;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Belgian;2009;4.0
2842;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Belgian;2010;4.0
2843;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Belgian;2011;4.0
2844;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Belgian;2012;3.0
2845;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Belgian;2013;3.0
2846;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Belgian;2014;3.0
2847;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Belgian;2015;
2848;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: British;2008;5.0
2849;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: British;2009;4.0
2850;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: British;2010;4.0
2851;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: British;2011;4.0
2852;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: British;2012;4.0
2853;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: British;2013;3.0
2854;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: British;2014;3.0
2855;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: British;2015;
2856;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: German;2008;18.0
2857;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: German;2009;15.0
2858;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: German;2010;11.0
2859;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: German;2011;11.0
2860;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: German;2012;9.0
2861;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: German;2013;7.0
2862;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: German;2014;7.0
2863;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: German;2015;
2864;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Polish;2008;26.0
2865;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Polish;2009;29.0
2866;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Polish;2010;28.0
2867;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Polish;2011;27.0
2868;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Polish;2012;30.0
2869;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Polish;2013;31.0
2870;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Polish;2014;36.0
2871;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Polish;2015;
2872;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Indian;2008;
2873;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Indian;2009;
2874;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Indian;2010;
2875;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Indian;2011;
2876;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Indian;2012;
2877;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Indian;2013;
2878;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Indian;2014;
2879;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: Indian;2015;
2880;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: other;2008;36.0
2881;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: other;2009;35.0
2882;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: other;2010;34.0
2883;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: other;2011;33.0
2884;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: other;2012;35.0
2885;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: other;2013;30.0
2886;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: other;2014;35.0
2887;Total domestic and foreign;No international trade;200 Intermediate education;Nationality: other;2015;
2888;Total domestic and foreign;No international trade;300 Higher education;Total ;2008;1151.0
2889;Total domestic and foreign;No international trade;300 Higher education;Total ;2009;1150.0
2890;Total domestic and foreign;No international trade;300 Higher education;Total ;2010;1070.0
2891;Total domestic and foreign;No international trade;300 Higher education;Total ;2011;1097.0
2892;Total domestic and foreign;No international trade;300 Higher education;Total ;2012;1108.0
2893;Total domestic and foreign;No international trade;300 Higher education;Total ;2013;925.0
2894;Total domestic and foreign;No international trade;300 Higher education;Total ;2014;1062.0
2895;Total domestic and foreign;No international trade;300 Higher education;Total ;2015;
2896;Total domestic and foreign;No international trade;300 Higher education;Type of contract: specified time;2008;245.0
2897;Total domestic and foreign;No international trade;300 Higher education;Type of contract: specified time;2009;254.0
2898;Total domestic and foreign;No international trade;300 Higher education;Type of contract: specified time;2010;234.0
2899;Total domestic and foreign;No international trade;300 Higher education;Type of contract: specified time;2011;240.0
2900;Total domestic and foreign;No international trade;300 Higher education;Type of contract: specified time;2012;251.0
2901;Total domestic and foreign;No international trade;300 Higher education;Type of contract: specified time;2013;227.0
2902;Total domestic and foreign;No international trade;300 Higher education;Type of contract: specified time;2014;278.0
2903;Total domestic and foreign;No international trade;300 Higher education;Type of contract: specified time;2015;
2904;Total domestic and foreign;No international trade;300 Higher education;Type of contract: unspecified time;2008;827.0
2905;Total domestic and foreign;No international trade;300 Higher education;Type of contract: unspecified time;2009;815.0
2906;Total domestic and foreign;No international trade;300 Higher education;Type of contract: unspecified time;2010;760.0
2907;Total domestic and foreign;No international trade;300 Higher education;Type of contract: unspecified time;2011;771.0
2908;Total domestic and foreign;No international trade;300 Higher education;Type of contract: unspecified time;2012;770.0
2909;Total domestic and foreign;No international trade;300 Higher education;Type of contract: unspecified time;2013;612.0
2910;Total domestic and foreign;No international trade;300 Higher education;Type of contract: unspecified time;2014;693.0
2911;Total domestic and foreign;No international trade;300 Higher education;Type of contract: unspecified time;2015;
2912;Total domestic and foreign;No international trade;300 Higher education;Type of contract: other;2008;77.0
2913;Total domestic and foreign;No international trade;300 Higher education;Type of contract: other;2009;75.0
2914;Total domestic and foreign;No international trade;300 Higher education;Type of contract: other;2010;71.0
2915;Total domestic and foreign;No international trade;300 Higher education;Type of contract: other;2011;83.0
2916;Total domestic and foreign;No international trade;300 Higher education;Type of contract: other;2012;84.0
2917;Total domestic and foreign;No international trade;300 Higher education;Type of contract: other;2013;82.0
2918;Total domestic and foreign;No international trade;300 Higher education;Type of contract: other;2014;87.0
2919;Total domestic and foreign;No international trade;300 Higher education;Type of contract: other;2015;
2920;Total domestic and foreign;No international trade;300 Higher education;Sex: Male;2008;543.0
2921;Total domestic and foreign;No international trade;300 Higher education;Sex: Male;2009;528.0
2922;Total domestic and foreign;No international trade;300 Higher education;Sex: Male;2010;466.0
2923;Total domestic and foreign;No international trade;300 Higher education;Sex: Male;2011;484.0
2924;Total domestic and foreign;No international trade;300 Higher education;Sex: Male;2012;482.0
2925;Total domestic and foreign;No international trade;300 Higher education;Sex: Male;2013;400.0
2926;Total domestic and foreign;No international trade;300 Higher education;Sex: Male;2014;452.0
2927;Total domestic and foreign;No international trade;300 Higher education;Sex: Male;2015;
2928;Total domestic and foreign;No international trade;300 Higher education;Sex: Female;2008;608.0
2929;Total domestic and foreign;No international trade;300 Higher education;Sex: Female;2009;622.0
2930;Total domestic and foreign;No international trade;300 Higher education;Sex: Female;2010;604.0
2931;Total domestic and foreign;No international trade;300 Higher education;Sex: Female;2011;613.0
2932;Total domestic and foreign;No international trade;300 Higher education;Sex: Female;2012;625.0
2933;Total domestic and foreign;No international trade;300 Higher education;Sex: Female;2013;525.0
2934;Total domestic and foreign;No international trade;300 Higher education;Sex: Female;2014;609.0
2935;Total domestic and foreign;No international trade;300 Higher education;Sex: Female;2015;
2936;Total domestic and foreign;No international trade;300 Higher education;Age: 15 to 34 years;2008;395.0
2937;Total domestic and foreign;No international trade;300 Higher education;Age: 15 to 34 years;2009;393.0
2938;Total domestic and foreign;No international trade;300 Higher education;Age: 15 to 34 years;2010;358.0
2939;Total domestic and foreign;No international trade;300 Higher education;Age: 15 to 34 years;2011;363.0
2940;Total domestic and foreign;No international trade;300 Higher education;Age: 15 to 34 years;2012;364.0
2941;Total domestic and foreign;No international trade;300 Higher education;Age: 15 to 34 years;2013;310.0
2942;Total domestic and foreign;No international trade;300 Higher education;Age: 15 to 34 years;2014;355.0
2943;Total domestic and foreign;No international trade;300 Higher education;Age: 15 to 34 years;2015;
2944;Total domestic and foreign;No international trade;300 Higher education;Age: 35 to 54 years;2008;568.0
2945;Total domestic and foreign;No international trade;300 Higher education;Age: 35 to 54 years;2009;564.0
2946;Total domestic and foreign;No international trade;300 Higher education;Age: 35 to 54 years;2010;519.0
2947;Total domestic and foreign;No international trade;300 Higher education;Age: 35 to 54 years;2011;527.0
2948;Total domestic and foreign;No international trade;300 Higher education;Age: 35 to 54 years;2012;530.0
2949;Total domestic and foreign;No international trade;300 Higher education;Age: 35 to 54 years;2013;431.0
2950;Total domestic and foreign;No international trade;300 Higher education;Age: 35 to 54 years;2014;491.0
2951;Total domestic and foreign;No international trade;300 Higher education;Age: 35 to 54 years;2015;
2952;Total domestic and foreign;No international trade;300 Higher education;Age: 55 years or older;2008;187.0
2953;Total domestic and foreign;No international trade;300 Higher education;Age: 55 years or older;2009;193.0
2954;Total domestic and foreign;No international trade;300 Higher education;Age: 55 years or older;2010;192.0
2955;Total domestic and foreign;No international trade;300 Higher education;Age: 55 years or older;2011;208.0
2956;Total domestic and foreign;No international trade;300 Higher education;Age: 55 years or older;2012;214.0
2957;Total domestic and foreign;No international trade;300 Higher education;Age: 55 years or older;2013;184.0
2958;Total domestic and foreign;No international trade;300 Higher education;Age: 55 years or older;2014;216.0
2959;Total domestic and foreign;No international trade;300 Higher education;Age: 55 years or older;2015;
2960;Total domestic and foreign;No international trade;300 Higher education;Wage: low (among lowest 30 percent);2008;107.0
2961;Total domestic and foreign;No international trade;300 Higher education;Wage: low (among lowest 30 percent);2009;110.0
2962;Total domestic and foreign;No international trade;300 Higher education;Wage: low (among lowest 30 percent);2010;107.0
2963;Total domestic and foreign;No international trade;300 Higher education;Wage: low (among lowest 30 percent);2011;110.0
2964;Total domestic and foreign;No international trade;300 Higher education;Wage: low (among lowest 30 percent);2012;115.0
2965;Total domestic and foreign;No international trade;300 Higher education;Wage: low (among lowest 30 percent);2013;102.0
2966;Total domestic and foreign;No international trade;300 Higher education;Wage: low (among lowest 30 percent);2014;118.0
2967;Total domestic and foreign;No international trade;300 Higher education;Wage: low (among lowest 30 percent);2015;
2968;Total domestic and foreign;No international trade;300 Higher education;Wage: middle;2008;628.0
2969;Total domestic and foreign;No international trade;300 Higher education;Wage: middle;2009;623.0
2970;Total domestic and foreign;No international trade;300 Higher education;Wage: middle;2010;586.0
2971;Total domestic and foreign;No international trade;300 Higher education;Wage: middle;2011;601.0
2972;Total domestic and foreign;No international trade;300 Higher education;Wage: middle;2012;610.0
2973;Total domestic and foreign;No international trade;300 Higher education;Wage: middle;2013;516.0
2974;Total domestic and foreign;No international trade;300 Higher education;Wage: middle;2014;595.0
2975;Total domestic and foreign;No international trade;300 Higher education;Wage: middle;2015;
2976;Total domestic and foreign;No international trade;300 Higher education;Wage: high (among highest 20 percent);2008;416.0
2977;Total domestic and foreign;No international trade;300 Higher education;Wage: high (among highest 20 percent);2009;417.0
2978;Total domestic and foreign;No international trade;300 Higher education;Wage: high (among highest 20 percent);2010;377.0
2979;Total domestic and foreign;No international trade;300 Higher education;Wage: high (among highest 20 percent);2011;386.0
2980;Total domestic and foreign;No international trade;300 Higher education;Wage: high (among highest 20 percent);2012;382.0
2981;Total domestic and foreign;No international trade;300 Higher education;Wage: high (among highest 20 percent);2013;308.0
2982;Total domestic and foreign;No international trade;300 Higher education;Wage: high (among highest 20 percent);2014;349.0
2983;Total domestic and foreign;No international trade;300 Higher education;Wage: high (among highest 20 percent);2015;
2984;Total domestic and foreign;No international trade;300 Higher education;Nationality: Dutch;2008;1090.0
2985;Total domestic and foreign;No international trade;300 Higher education;Nationality: Dutch;2009;1090.0
2986;Total domestic and foreign;No international trade;300 Higher education;Nationality: Dutch;2010;1015.0
2987;Total domestic and foreign;No international trade;300 Higher education;Nationality: Dutch;2011;1041.0
2988;Total domestic and foreign;No international trade;300 Higher education;Nationality: Dutch;2012;1051.0
2989;Total domestic and foreign;No international trade;300 Higher education;Nationality: Dutch;2013;871.0
2990;Total domestic and foreign;No international trade;300 Higher education;Nationality: Dutch;2014;1000.0
2991;Total domestic and foreign;No international trade;300 Higher education;Nationality: Dutch;2015;
2992;Total domestic and foreign;No international trade;300 Higher education;Nationality: Belgian;2008;4.0
2993;Total domestic and foreign;No international trade;300 Higher education;Nationality: Belgian;2009;5.0
2994;Total domestic and foreign;No international trade;300 Higher education;Nationality: Belgian;2010;4.0
