ID;Sex;Age;CausesOfDeath;Periods;Deaths_1
3246;Total male and female;Total;B36 Other superficial mycoses;2022;0
3247;Total male and female;Total;B36 Other superficial mycoses;2023;0
3248;Total male and female;Total;B37 Candidiasis;1996;7
3249;Total male and female;Total;B37 Candidiasis;1997;5
3250;Total male and female;Total;B37 Candidiasis;1998;15
3251;Total male and female;Total;B37 Candidiasis;1999;14
3252;Total male and female;Total;B37 Candidiasis;2000;11
3253;Total male and female;Total;B37 Candidiasis;2001;10
3254;Total male and female;Total;B37 Candidiasis;2002;7
3255;Total male and female;Total;B37 Candidiasis;2003;11
3256;Total male and female;Total;B37 Candidiasis;2004;8
3257;Total male and female;Total;B37 Candidiasis;2005;10
3258;Total male and female;Total;B37 Candidiasis;2006;8
3259;Total male and female;Total;B37 Candidiasis;2007;4
3260;Total male and female;Total;B37 Candidiasis;2008;7
3261;Total male and female;Total;B37 Candidiasis;2009;12
3262;Total male and female;Total;B37 Candidiasis;2010;7
3263;Total male and female;Total;B37 Candidiasis;2011;13
3264;Total male and female;Total;B37 Candidiasis;2012;11
3265;Total male and female;Total;B37 Candidiasis;2013;10
3266;Total male and female;Total;B37 Candidiasis;2014;8
3267;Total male and female;Total;B37 Candidiasis;2015;11
3268;Total male and female;Total;B37 Candidiasis;2016;8
3269;Total male and female;Total;B37 Candidiasis;2017;8
3270;Total male and female;Total;B37 Candidiasis;2018;13
3271;Total male and female;Total;B37 Candidiasis;2019;6
3272;Total male and female;Total;B37 Candidiasis;2020;12
3273;Total male and female;Total;B37 Candidiasis;2021;12
3274;Total male and female;Total;B37 Candidiasis;2022;12
3275;Total male and female;Total;B37 Candidiasis;2023;13
3276;Total male and female;Total;B38 Coccidioidomycosis;1996;0
3277;Total male and female;Total;B38 Coccidioidomycosis;1997;0
3278;Total male and female;Total;B38 Coccidioidomycosis;1998;0
3279;Total male and female;Total;B38 Coccidioidomycosis;1999;0
3280;Total male and female;Total;B38 Coccidioidomycosis;2000;0
3281;Total male and female;Total;B38 Coccidioidomycosis;2001;0
3282;Total male and female;Total;B38 Coccidioidomycosis;2002;0
3283;Total male and female;Total;B38 Coccidioidomycosis;2003;0
3284;Total male and female;Total;B38 Coccidioidomycosis;2004;0
3285;Total male and female;Total;B38 Coccidioidomycosis;2005;0
3286;Total male and female;Total;B38 Coccidioidomycosis;2006;0
3287;Total male and female;Total;B38 Coccidioidomycosis;2007;0
3288;Total male and female;Total;B38 Coccidioidomycosis;2008;0
3289;Total male and female;Total;B38 Coccidioidomycosis;2009;0
3290;Total male and female;Total;B38 Coccidioidomycosis;2010;0
3291;Total male and female;Total;B38 Coccidioidomycosis;2011;0
3292;Total male and female;Total;B38 Coccidioidomycosis;2012;0
3293;Total male and female;Total;B38 Coccidioidomycosis;2013;0
3294;Total male and female;Total;B38 Coccidioidomycosis;2014;0
3295;Total male and female;Total;B38 Coccidioidomycosis;2015;0
3296;Total male and female;Total;B38 Coccidioidomycosis;2016;0
3297;Total male and female;Total;B38 Coccidioidomycosis;2017;0
3298;Total male and female;Total;B38 Coccidioidomycosis;2018;0
3299;Total male and female;Total;B38 Coccidioidomycosis;2019;0
3300;Total male and female;Total;B38 Coccidioidomycosis;2020;0
3301;Total male and female;Total;B38 Coccidioidomycosis;2021;0
3302;Total male and female;Total;B38 Coccidioidomycosis;2022;0
3303;Total male and female;Total;B38 Coccidioidomycosis;2023;0
3304;Total male and female;Total;B39 Blastomycosis;1996;0
3305;Total male and female;Total;B39 Blastomycosis;1997;0
3306;Total male and female;Total;B39 Blastomycosis;1998;0
3307;Total male and female;Total;B39 Blastomycosis;1999;0
3308;Total male and female;Total;B39 Blastomycosis;2000;0
3309;Total male and female;Total;B39 Blastomycosis;2001;0
3310;Total male and female;Total;B39 Blastomycosis;2002;0
3311;Total male and female;Total;B39 Blastomycosis;2003;0
3312;Total male and female;Total;B39 Blastomycosis;2004;0
3313;Total male and female;Total;B39 Blastomycosis;2005;0
3314;Total male and female;Total;B39 Blastomycosis;2006;1
3315;Total male and female;Total;B39 Blastomycosis;2007;0
3316;Total male and female;Total;B39 Blastomycosis;2008;1
3317;Total male and female;Total;B39 Blastomycosis;2009;0
3318;Total male and female;Total;B39 Blastomycosis;2010;0
3319;Total male and female;Total;B39 Blastomycosis;2011;0
3320;Total male and female;Total;B39 Blastomycosis;2012;0
3321;Total male and female;Total;B39 Blastomycosis;2013;0
3322;Total male and female;Total;B39 Blastomycosis;2014;0
3323;Total male and female;Total;B39 Blastomycosis;2015;0
3324;Total male and female;Total;B39 Blastomycosis;2016;1
3325;Total male and female;Total;B39 Blastomycosis;2017;1
3326;Total male and female;Total;B39 Blastomycosis;2018;0
3327;Total male and female;Total;B39 Blastomycosis;2019;0
3328;Total male and female;Total;B39 Blastomycosis;2020;1
3329;Total male and female;Total;B39 Blastomycosis;2021;1
3330;Total male and female;Total;B39 Blastomycosis;2022;0
3331;Total male and female;Total;B39 Blastomycosis;2023;0
3332;Total male and female;Total;B40 Blastomycose;1996;0
3333;Total male and female;Total;B40 Blastomycose;1997;0
3334;Total male and female;Total;B40 Blastomycose;1998;0
3335;Total male and female;Total;B40 Blastomycose;1999;0
3336;Total male and female;Total;B40 Blastomycose;2000;0
3337;Total male and female;Total;B40 Blastomycose;2001;0
3338;Total male and female;Total;B40 Blastomycose;2002;0
3339;Total male and female;Total;B40 Blastomycose;2003;0
3340;Total male and female;Total;B40 Blastomycose;2004;0
3341;Total male and female;Total;B40 Blastomycose;2005;0
3342;Total male and female;Total;B40 Blastomycose;2006;0
3343;Total male and female;Total;B40 Blastomycose;2007;0
3344;Total male and female;Total;B40 Blastomycose;2008;0
3345;Total male and female;Total;B40 Blastomycose;2009;0
3346;Total male and female;Total;B40 Blastomycose;2010;0
3347;Total male and female;Total;B40 Blastomycose;2011;0
3348;Total male and female;Total;B40 Blastomycose;2012;0
3349;Total male and female;Total;B40 Blastomycose;2013;0
3350;Total male and female;Total;B40 Blastomycose;2014;0
3351;Total male and female;Total;B40 Blastomycose;2015;0
3352;Total male and female;Total;B40 Blastomycose;2016;0
3353;Total male and female;Total;B40 Blastomycose;2017;0
3354;Total male and female;Total;B40 Blastomycose;2018;0
3355;Total male and female;Total;B40 Blastomycose;2019;0
3356;Total male and female;Total;B40 Blastomycose;2020;0
3357;Total male and female;Total;B40 Blastomycose;2021;0
3358;Total male and female;Total;B40 Blastomycose;2022;0
3359;Total male and female;Total;B40 Blastomycose;2023;0
3360;Total male and female;Total;B41 Paracoccidioidomycosis;1996;0
3361;Total male and female;Total;B41 Paracoccidioidomycosis;1997;0
3362;Total male and female;Total;B41 Paracoccidioidomycosis;1998;0
3363;Total male and female;Total;B41 Paracoccidioidomycosis;1999;0
3364;Total male and female;Total;B41 Paracoccidioidomycosis;2000;0
3365;Total male and female;Total;B41 Paracoccidioidomycosis;2001;0
3366;Total male and female;Total;B41 Paracoccidioidomycosis;2002;0
3367;Total male and female;Total;B41 Paracoccidioidomycosis;2003;0
3368;Total male and female;Total;B41 Paracoccidioidomycosis;2004;0
3369;Total male and female;Total;B41 Paracoccidioidomycosis;2005;0
3370;Total male and female;Total;B41 Paracoccidioidomycosis;2006;0
3371;Total male and female;Total;B41 Paracoccidioidomycosis;2007;0
3372;Total male and female;Total;B41 Paracoccidioidomycosis;2008;0
3373;Total male and female;Total;B41 Paracoccidioidomycosis;2009;0
3374;Total male and female;Total;B41 Paracoccidioidomycosis;2010;0
3375;Total male and female;Total;B41 Paracoccidioidomycosis;2011;0
3376;Total male and female;Total;B41 Paracoccidioidomycosis;2012;0
3377;Total male and female;Total;B41 Paracoccidioidomycosis;2013;0
3378;Total male and female;Total;B41 Paracoccidioidomycosis;2014;0
3379;Total male and female;Total;B41 Paracoccidioidomycosis;2015;0
3380;Total male and female;Total;B41 Paracoccidioidomycosis;2016;0
3381;Total male and female;Total;B41 Paracoccidioidomycosis;2017;0
3382;Total male and female;Total;B41 Paracoccidioidomycosis;2018;0
3383;Total male and female;Total;B41 Paracoccidioidomycosis;2019;0
3384;Total male and female;Total;B41 Paracoccidioidomycosis;2020;0
3385;Total male and female;Total;B41 Paracoccidioidomycosis;2021;0
3386;Total male and female;Total;B41 Paracoccidioidomycosis;2022;0
3387;Total male and female;Total;B41 Paracoccidioidomycosis;2023;0
3388;Total male and female;Total;B42 Sporotrichosis;1996;0
3389;Total male and female;Total;B42 Sporotrichosis;1997;0
3390;Total male and female;Total;B42 Sporotrichosis;1998;0
3391;Total male and female;Total;B42 Sporotrichosis;1999;0
3392;Total male and female;Total;B42 Sporotrichosis;2000;0
3393;Total male and female;Total;B42 Sporotrichosis;2001;0
3394;Total male and female;Total;B42 Sporotrichosis;2002;0
3395;Total male and female;Total;B42 Sporotrichosis;2003;0
3396;Total male and female;Total;B42 Sporotrichosis;2004;0
3397;Total male and female;Total;B42 Sporotrichosis;2005;0
3398;Total male and female;Total;B42 Sporotrichosis;2006;0
3399;Total male and female;Total;B42 Sporotrichosis;2007;0
3400;Total male and female;Total;B42 Sporotrichosis;2008;0
3401;Total male and female;Total;B42 Sporotrichosis;2009;0
3402;Total male and female;Total;B42 Sporotrichosis;2010;0
3403;Total male and female;Total;B42 Sporotrichosis;2011;0
3404;Total male and female;Total;B42 Sporotrichosis;2012;0
3405;Total male and female;Total;B42 Sporotrichosis;2013;0
3406;Total male and female;Total;B42 Sporotrichosis;2014;0
3407;Total male and female;Total;B42 Sporotrichosis;2015;0
3408;Total male and female;Total;B42 Sporotrichosis;2016;0
3409;Total male and female;Total;B42 Sporotrichosis;2017;0
3410;Total male and female;Total;B42 Sporotrichosis;2018;0
3411;Total male and female;Total;B42 Sporotrichosis;2019;0
3412;Total male and female;Total;B42 Sporotrichosis;2020;0
3413;Total male and female;Total;B42 Sporotrichosis;2021;0
3414;Total male and female;Total;B42 Sporotrichosis;2022;0
3415;Total male and female;Total;B42 Sporotrichosis;2023;0
3416;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;1996;0
3417;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;1997;0
3418;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;1998;0
3419;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;1999;0
3420;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2000;0
3421;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2001;0
3422;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2002;0
3423;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2003;0
3424;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2004;0
3425;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2005;0
3426;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2006;0
3427;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2007;0
3428;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2008;0
3429;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2009;0
3430;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2010;0
3431;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2011;0
3432;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2012;0
3433;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2013;0
3434;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2014;0
3435;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2015;0
3436;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2016;0
3437;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2017;0
3438;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2018;0
3439;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2019;0
3440;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2020;0
3441;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2021;0
3442;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2022;0
3443;Total male and female;Total;B43 Chromomycosis and phaeomycotic abs..;2023;0
3444;Total male and female;Total;B44 Aspergillosis;1996;14
3445;Total male and female;Total;B44 Aspergillosis;1997;14
3446;Total male and female;Total;B44 Aspergillosis;1998;11
3447;Total male and female;Total;B44 Aspergillosis;1999;10
3448;Total male and female;Total;B44 Aspergillosis;2000;11
3449;Total male and female;Total;B44 Aspergillosis;2001;13
3450;Total male and female;Total;B44 Aspergillosis;2002;19
3451;Total male and female;Total;B44 Aspergillosis;2003;16
3452;Total male and female;Total;B44 Aspergillosis;2004;18
3453;Total male and female;Total;B44 Aspergillosis;2005;19
3454;Total male and female;Total;B44 Aspergillosis;2006;13
3455;Total male and female;Total;B44 Aspergillosis;2007;8
3456;Total male and female;Total;B44 Aspergillosis;2008;14
3457;Total male and female;Total;B44 Aspergillosis;2009;15
3458;Total male and female;Total;B44 Aspergillosis;2010;19
3459;Total male and female;Total;B44 Aspergillosis;2011;12
3460;Total male and female;Total;B44 Aspergillosis;2012;16
3461;Total male and female;Total;B44 Aspergillosis;2013;19
3462;Total male and female;Total;B44 Aspergillosis;2014;19
3463;Total male and female;Total;B44 Aspergillosis;2015;17
3464;Total male and female;Total;B44 Aspergillosis;2016;19
3465;Total male and female;Total;B44 Aspergillosis;2017;15
3466;Total male and female;Total;B44 Aspergillosis;2018;28
3467;Total male and female;Total;B44 Aspergillosis;2019;26
3468;Total male and female;Total;B44 Aspergillosis;2020;17
3469;Total male and female;Total;B44 Aspergillosis;2021;21
3470;Total male and female;Total;B44 Aspergillosis;2022;20
3471;Total male and female;Total;B44 Aspergillosis;2023;27
3472;Total male and female;Total;B45 Cryptococcosis;1996;0
3473;Total male and female;Total;B45 Cryptococcosis;1997;1
3474;Total male and female;Total;B45 Cryptococcosis;1998;1
3475;Total male and female;Total;B45 Cryptococcosis;1999;0
3476;Total male and female;Total;B45 Cryptococcosis;2000;1
3477;Total male and female;Total;B45 Cryptococcosis;2001;0
3478;Total male and female;Total;B45 Cryptococcosis;2002;1
3479;Total male and female;Total;B45 Cryptococcosis;2003;2
3480;Total male and female;Total;B45 Cryptococcosis;2004;1
3481;Total male and female;Total;B45 Cryptococcosis;2005;0
3482;Total male and female;Total;B45 Cryptococcosis;2006;0
3483;Total male and female;Total;B45 Cryptococcosis;2007;0
3484;Total male and female;Total;B45 Cryptococcosis;2008;1
3485;Total male and female;Total;B45 Cryptococcosis;2009;2
3486;Total male and female;Total;B45 Cryptococcosis;2010;1
3487;Total male and female;Total;B45 Cryptococcosis;2011;2
3488;Total male and female;Total;B45 Cryptococcosis;2012;0
3489;Total male and female;Total;B45 Cryptococcosis;2013;1
3490;Total male and female;Total;B45 Cryptococcosis;2014;0
3491;Total male and female;Total;B45 Cryptococcosis;2015;1
3492;Total male and female;Total;B45 Cryptococcosis;2016;1
3493;Total male and female;Total;B45 Cryptococcosis;2017;0
3494;Total male and female;Total;B45 Cryptococcosis;2018;1
3495;Total male and female;Total;B45 Cryptococcosis;2019;0
3496;Total male and female;Total;B45 Cryptococcosis;2020;0
3497;Total male and female;Total;B45 Cryptococcosis;2021;0
3498;Total male and female;Total;B45 Cryptococcosis;2022;0
3499;Total male and female;Total;B45 Cryptococcosis;2023;0
3500;Total male and female;Total;B46 Zygomycosis;1996;0
3501;Total male and female;Total;B46 Zygomycosis;1997;0
3502;Total male and female;Total;B46 Zygomycosis;1998;1
3503;Total male and female;Total;B46 Zygomycosis;1999;1
3504;Total male and female;Total;B46 Zygomycosis;2000;0
3505;Total male and female;Total;B46 Zygomycosis;2001;0
3506;Total male and female;Total;B46 Zygomycosis;2002;0
3507;Total male and female;Total;B46 Zygomycosis;2003;0
3508;Total male and female;Total;B46 Zygomycosis;2004;0
3509;Total male and female;Total;B46 Zygomycosis;2005;0
3510;Total male and female;Total;B46 Zygomycosis;2006;0
3511;Total male and female;Total;B46 Zygomycosis;2007;0
3512;Total male and female;Total;B46 Zygomycosis;2008;0
3513;Total male and female;Total;B46 Zygomycosis;2009;0
3514;Total male and female;Total;B46 Zygomycosis;2010;0
3515;Total male and female;Total;B46 Zygomycosis;2011;0
3516;Total male and female;Total;B46 Zygomycosis;2012;0
3517;Total male and female;Total;B46 Zygomycosis;2013;0
3518;Total male and female;Total;B46 Zygomycosis;2014;0
3519;Total male and female;Total;B46 Zygomycosis;2015;0
3520;Total male and female;Total;B46 Zygomycosis;2016;0
3521;Total male and female;Total;B46 Zygomycosis;2017;0
3522;Total male and female;Total;B46 Zygomycosis;2018;2
3523;Total male and female;Total;B46 Zygomycosis;2019;0
3524;Total male and female;Total;B46 Zygomycosis;2020;0
3525;Total male and female;Total;B46 Zygomycosis;2021;0
3526;Total male and female;Total;B46 Zygomycosis;2022;0
3527;Total male and female;Total;B46 Zygomycosis;2023;1
3528;Total male and female;Total;B47 Mycetoma;1996;0
3529;Total male and female;Total;B47 Mycetoma;1997;0
3530;Total male and female;Total;B47 Mycetoma;1998;0
3531;Total male and female;Total;B47 Mycetoma;1999;0
3532;Total male and female;Total;B47 Mycetoma;2000;0
3533;Total male and female;Total;B47 Mycetoma;2001;0
3534;Total male and female;Total;B47 Mycetoma;2002;0
3535;Total male and female;Total;B47 Mycetoma;2003;0
3536;Total male and female;Total;B47 Mycetoma;2004;0
3537;Total male and female;Total;B47 Mycetoma;2005;0
3538;Total male and female;Total;B47 Mycetoma;2006;0
3539;Total male and female;Total;B47 Mycetoma;2007;0
3540;Total male and female;Total;B47 Mycetoma;2008;0
3541;Total male and female;Total;B47 Mycetoma;2009;0
3542;Total male and female;Total;B47 Mycetoma;2010;0
3543;Total male and female;Total;B47 Mycetoma;2011;0
3544;Total male and female;Total;B47 Mycetoma;2012;0
3545;Total male and female;Total;B47 Mycetoma;2013;0
3546;Total male and female;Total;B47 Mycetoma;2014;0
3547;Total male and female;Total;B47 Mycetoma;2015;0
3548;Total male and female;Total;B47 Mycetoma;2016;0
3549;Total male and female;Total;B47 Mycetoma;2017;0
3550;Total male and female;Total;B47 Mycetoma;2018;0
3551;Total male and female;Total;B47 Mycetoma;2019;0
3552;Total male and female;Total;B47 Mycetoma;2020;0
3553;Total male and female;Total;B47 Mycetoma;2021;0
3554;Total male and female;Total;B47 Mycetoma;2022;0
3555;Total male and female;Total;B47 Mycetoma;2023;0
3556;Total male and female;Total;B48 Other mycoses, nec;1996;0
3557;Total male and female;Total;B48 Other mycoses, nec;1997;0
3558;Total male and female;Total;B48 Other mycoses, nec;1998;0
3559;Total male and female;Total;B48 Other mycoses, nec;1999;0
3560;Total male and female;Total;B48 Other mycoses, nec;2000;0
3561;Total male and female;Total;B48 Other mycoses, nec;2001;0
3562;Total male and female;Total;B48 Other mycoses, nec;2002;0
3563;Total male and female;Total;B48 Other mycoses, nec;2003;0
3564;Total male and female;Total;B48 Other mycoses, nec;2004;0
3565;Total male and female;Total;B48 Other mycoses, nec;2005;2
3566;Total male and female;Total;B48 Other mycoses, nec;2006;1
3567;Total male and female;Total;B48 Other mycoses, nec;2007;0
3568;Total male and female;Total;B48 Other mycoses, nec;2008;0
3569;Total male and female;Total;B48 Other mycoses, nec;2009;0
3570;Total male and female;Total;B48 Other mycoses, nec;2010;0
3571;Total male and female;Total;B48 Other mycoses, nec;2011;0
3572;Total male and female;Total;B48 Other mycoses, nec;2012;1
3573;Total male and female;Total;B48 Other mycoses, nec;2013;0
3574;Total male and female;Total;B48 Other mycoses, nec;2014;0
3575;Total male and female;Total;B48 Other mycoses, nec;2015;0
3576;Total male and female;Total;B48 Other mycoses, nec;2016;0
3577;Total male and female;Total;B48 Other mycoses, nec;2017;1
3578;Total male and female;Total;B48 Other mycoses, nec;2018;0
3579;Total male and female;Total;B48 Other mycoses, nec;2019;18
3580;Total male and female;Total;B48 Other mycoses, nec;2020;12
3581;Total male and female;Total;B48 Other mycoses, nec;2021;18
3582;Total male and female;Total;B48 Other mycoses, nec;2022;21
3583;Total male and female;Total;B48 Other mycoses, nec;2023;23
3584;Total male and female;Total;B49 Unspecified mycosis;1996;1
3585;Total male and female;Total;B49 Unspecified mycosis;1997;1
3586;Total male and female;Total;B49 Unspecified mycosis;1998;1
3587;Total male and female;Total;B49 Unspecified mycosis;1999;0
3588;Total male and female;Total;B49 Unspecified mycosis;2000;3
3589;Total male and female;Total;B49 Unspecified mycosis;2001;4
3590;Total male and female;Total;B49 Unspecified mycosis;2002;4
3591;Total male and female;Total;B49 Unspecified mycosis;2003;1
3592;Total male and female;Total;B49 Unspecified mycosis;2004;3
3593;Total male and female;Total;B49 Unspecified mycosis;2005;2
3594;Total male and female;Total;B49 Unspecified mycosis;2006;2
3595;Total male and female;Total;B49 Unspecified mycosis;2007;3
3596;Total male and female;Total;B49 Unspecified mycosis;2008;3
3597;Total male and female;Total;B49 Unspecified mycosis;2009;3
3598;Total male and female;Total;B49 Unspecified mycosis;2010;2
3599;Total male and female;Total;B49 Unspecified mycosis;2011;3
3600;Total male and female;Total;B49 Unspecified mycosis;2012;4
3601;Total male and female;Total;B49 Unspecified mycosis;2013;1
3602;Total male and female;Total;B49 Unspecified mycosis;2014;0
3603;Total male and female;Total;B49 Unspecified mycosis;2015;3
3604;Total male and female;Total;B49 Unspecified mycosis;2016;2
3605;Total male and female;Total;B49 Unspecified mycosis;2017;1
3606;Total male and female;Total;B49 Unspecified mycosis;2018;1
3607;Total male and female;Total;B49 Unspecified mycosis;2019;2
3608;Total male and female;Total;B49 Unspecified mycosis;2020;4
3609;Total male and female;Total;B49 Unspecified mycosis;2021;6
3610;Total male and female;Total;B49 Unspecified mycosis;2022;4
3611;Total male and female;Total;B49 Unspecified mycosis;2023;4
3612;Total male and female;Total;B50 Plasmodium falciparum malaria;1996;1
3613;Total male and female;Total;B50 Plasmodium falciparum malaria;1997;1
3614;Total male and female;Total;B50 Plasmodium falciparum malaria;1998;1
3615;Total male and female;Total;B50 Plasmodium falciparum malaria;1999;1
3616;Total male and female;Total;B50 Plasmodium falciparum malaria;2000;1
3617;Total male and female;Total;B50 Plasmodium falciparum malaria;2001;3
3618;Total male and female;Total;B50 Plasmodium falciparum malaria;2002;1
3619;Total male and female;Total;B50 Plasmodium falciparum malaria;2003;2
3620;Total male and female;Total;B50 Plasmodium falciparum malaria;2004;0
3621;Total male and female;Total;B50 Plasmodium falciparum malaria;2005;0
3622;Total male and female;Total;B50 Plasmodium falciparum malaria;2006;0
3623;Total male and female;Total;B50 Plasmodium falciparum malaria;2007;1
3624;Total male and female;Total;B50 Plasmodium falciparum malaria;2008;1
3625;Total male and female;Total;B50 Plasmodium falciparum malaria;2009;0
3626;Total male and female;Total;B50 Plasmodium falciparum malaria;2010;1
3627;Total male and female;Total;B50 Plasmodium falciparum malaria;2011;0
3628;Total male and female;Total;B50 Plasmodium falciparum malaria;2012;0
3629;Total male and female;Total;B50 Plasmodium falciparum malaria;2013;0
3630;Total male and female;Total;B50 Plasmodium falciparum malaria;2014;0
3631;Total male and female;Total;B50 Plasmodium falciparum malaria;2015;0
3632;Total male and female;Total;B50 Plasmodium falciparum malaria;2016;1
3633;Total male and female;Total;B50 Plasmodium falciparum malaria;2017;0
3634;Total male and female;Total;B50 Plasmodium falciparum malaria;2018;2
3635;Total male and female;Total;B50 Plasmodium falciparum malaria;2019;1
3636;Total male and female;Total;B50 Plasmodium falciparum malaria;2020;0
3637;Total male and female;Total;B50 Plasmodium falciparum malaria;2021;1
3638;Total male and female;Total;B50 Plasmodium falciparum malaria;2022;0
3639;Total male and female;Total;B50 Plasmodium falciparum malaria;2023;1
3640;Total male and female;Total;B51 Plasmodium vivax malaria;1996;0
3641;Total male and female;Total;B51 Plasmodium vivax malaria;1997;0
3642;Total male and female;Total;B51 Plasmodium vivax malaria;1998;0
3643;Total male and female;Total;B51 Plasmodium vivax malaria;1999;0
3644;Total male and female;Total;B51 Plasmodium vivax malaria;2000;0
3645;Total male and female;Total;B51 Plasmodium vivax malaria;2001;0
3646;Total male and female;Total;B51 Plasmodium vivax malaria;2002;0
3647;Total male and female;Total;B51 Plasmodium vivax malaria;2003;0
3648;Total male and female;Total;B51 Plasmodium vivax malaria;2004;0
3649;Total male and female;Total;B51 Plasmodium vivax malaria;2005;0
3650;Total male and female;Total;B51 Plasmodium vivax malaria;2006;0
3651;Total male and female;Total;B51 Plasmodium vivax malaria;2007;0
3652;Total male and female;Total;B51 Plasmodium vivax malaria;2008;0
3653;Total male and female;Total;B51 Plasmodium vivax malaria;2009;0
3654;Total male and female;Total;B51 Plasmodium vivax malaria;2010;0
3655;Total male and female;Total;B51 Plasmodium vivax malaria;2011;0
3656;Total male and female;Total;B51 Plasmodium vivax malaria;2012;0
3657;Total male and female;Total;B51 Plasmodium vivax malaria;2013;0
3658;Total male and female;Total;B51 Plasmodium vivax malaria;2014;0
3659;Total male and female;Total;B51 Plasmodium vivax malaria;2015;0
3660;Total male and female;Total;B51 Plasmodium vivax malaria;2016;0
3661;Total male and female;Total;B51 Plasmodium vivax malaria;2017;0
3662;Total male and female;Total;B51 Plasmodium vivax malaria;2018;0
3663;Total male and female;Total;B51 Plasmodium vivax malaria;2019;0
3664;Total male and female;Total;B51 Plasmodium vivax malaria;2020;0
3665;Total male and female;Total;B51 Plasmodium vivax malaria;2021;0
3666;Total male and female;Total;B51 Plasmodium vivax malaria;2022;0
3667;Total male and female;Total;B51 Plasmodium vivax malaria;2023;0
3668;Total male and female;Total;B52 Plasmodium malariae malaria;1996;0
3669;Total male and female;Total;B52 Plasmodium malariae malaria;1997;0
3670;Total male and female;Total;B52 Plasmodium malariae malaria;1998;0
3671;Total male and female;Total;B52 Plasmodium malariae malaria;1999;0
3672;Total male and female;Total;B52 Plasmodium malariae malaria;2000;0
3673;Total male and female;Total;B52 Plasmodium malariae malaria;2001;0
3674;Total male and female;Total;B52 Plasmodium malariae malaria;2002;0
3675;Total male and female;Total;B52 Plasmodium malariae malaria;2003;0
3676;Total male and female;Total;B52 Plasmodium malariae malaria;2004;0
3677;Total male and female;Total;B52 Plasmodium malariae malaria;2005;0
3678;Total male and female;Total;B52 Plasmodium malariae malaria;2006;0
3679;Total male and female;Total;B52 Plasmodium malariae malaria;2007;0
3680;Total male and female;Total;B52 Plasmodium malariae malaria;2008;0
3681;Total male and female;Total;B52 Plasmodium malariae malaria;2009;0
3682;Total male and female;Total;B52 Plasmodium malariae malaria;2010;0
3683;Total male and female;Total;B52 Plasmodium malariae malaria;2011;0
3684;Total male and female;Total;B52 Plasmodium malariae malaria;2012;0
3685;Total male and female;Total;B52 Plasmodium malariae malaria;2013;0
3686;Total male and female;Total;B52 Plasmodium malariae malaria;2014;0
3687;Total male and female;Total;B52 Plasmodium malariae malaria;2015;0
3688;Total male and female;Total;B52 Plasmodium malariae malaria;2016;0
3689;Total male and female;Total;B52 Plasmodium malariae malaria;2017;0
3690;Total male and female;Total;B52 Plasmodium malariae malaria;2018;0
3691;Total male and female;Total;B52 Plasmodium malariae malaria;2019;0
3692;Total male and female;Total;B52 Plasmodium malariae malaria;2020;0
3693;Total male and female;Total;B52 Plasmodium malariae malaria;2021;0
3694;Total male and female;Total;B52 Plasmodium malariae malaria;2022;0
3695;Total male and female;Total;B52 Plasmodium malariae malaria;2023;0
3696;Total male and female;Total;B53 Oth. parasitologically conf. malaria;1996;0
3697;Total male and female;Total;B53 Oth. parasitologically conf. malaria;1997;0
3698;Total male and female;Total;B53 Oth. parasitologically conf. malaria;1998;0
3699;Total male and female;Total;B53 Oth. parasitologically conf. malaria;1999;0
3700;Total male and female;Total;B53 Oth. parasitologically conf. malaria;2000;0
3701;Total male and female;Total;B53 Oth. parasitologically conf. malaria;2001;0
3702;Total male and female;Total;B53 Oth. parasitologically conf. malaria;2002;0
3703;Total male and female;Total;B53 Oth. parasitologically conf. malaria;2003;0
