ID;InstitutionalInvestors;Periods;TotalInvestments_1;DirectProperty_2;MortgageLoans_3;TotalSharesAndOtherEquity_4;IndirectProperty_5;OtherSharesAndOtherEquity_6;BondsShortTermSecOtherThanShares_7;FinancialDerivatives_8;LongTermLoans_9;OtherInvestments_10;TotalInvestments_11;DirectProperty_12;MortgageLoans_13;TotalSharesAndOtherEquity_14;IndirectProperty_15;OtherSharesAndOtherEquity_16;BondsShortTermSecOtherThanShares_17;FinancialDerivatives_18;LongTermLoans_19;OtherInvestments_20
152;Insurance corporations;2011 4th quarter;424.5;11.4;34.4;115.5;2.7;112.8;181.8;14.0;25.5;42.1;100;2.7;8.1;27.2;0.6;26.6;42.8;3.3;6.0;9.9
153;Insurance corporations;2011;424.5;11.4;34.4;115.5;2.7;112.8;181.8;14.0;25.5;42.1;100;2.7;8.1;27.2;0.6;26.6;42.8;3.3;6.0;9.9
154;Insurance corporations;2012 1st quarter;429.0;11.3;34.6;118.5;;;187.0;12.7;25.6;39.2;100;2.6;8.1;27.6;;;43.6;3.0;6.0;9.1
155;Insurance corporations;2012 2nd quarter;437.0;11.2;34.4;117.8;;;191.1;15.0;27.1;40.4;100;2.6;7.9;27.0;;;43.7;3.4;6.2;9.3
156;Insurance corporations;2012 3rd quarter;444.3;11.2;34.8;118.5;;;199.0;13.7;27.2;40.0;100;2.5;7.8;26.7;;;44.8;3.1;6.1;9.0
157;Insurance corporations;2012 4th quarter;449.2;11.1;35.3;118.7;2.6;116.1;204.7;13.7;27.3;38.3;100;2.5;7.9;26.4;0.6;25.8;45.6;3.1;6.1;8.5
158;Insurance corporations;2012;449.2;11.1;35.3;118.7;2.6;116.1;204.7;13.7;27.3;38.3;100;2.5;7.9;26.4;0.6;25.8;45.6;3.1;6.1;8.5
159;Insurance corporations;2013 1st quarter;448.3;11.0;35.6;120.0;;;203.7;12.3;26.7;39.0;100;2.5;7.9;26.8;;;45.4;2.7;6.0;8.7
160;Insurance corporations;2013 2nd quarter;439.2;11.0;36.9;117.9;;;200.8;10.6;27.3;34.8;100;2.5;8.4;26.8;;;45.7;2.4;6.2;7.9
161;Insurance corporations;2013 3rd quarter;437.2;11.0;37.8;130.0;;;188.8;9.2;28.5;31.9;100;2.5;8.7;29.7;;;43.2;2.1;6.5;7.3
162;Insurance corporations;2013 4th quarter;434.5;11.0;42.2;132.0;;;184.7;7.4;28.4;28.9;100;2.5;9.7;30.4;;;42.5;1.7;6.5;6.6
163;Insurance corporations;2013;434.5;11.0;42.2;132.0;;;184.7;7.4;28.4;28.9;100;2.5;9.7;30.4;;;42.5;1.7;6.5;6.6
164;Insurance corporations;2014 1st quarter;441.0;11.1;42.6;130.0;;;186.5;9.7;28.5;32.6;100;2.5;9.7;29.5;;;42.3;2.2;6.5;7.4
165;Investment funds;1996;49.8;10.7;0.1;18.3;0.5;17.8;12.5;0.5;1.3;6.5;100;21.4;0.2;36.7;1.0;35.7;25.1;0.9;2.5;13.1
166;Investment funds;1997;59.6;12.9;0.2;23.6;1.9;21.6;12.9;2.0;1.2;6.9;100;21.7;0.4;39.6;3.3;36.3;21.6;3.3;2.0;11.5
167;Investment funds;1998;63.6;15.0;0.3;29.1;2.3;26.7;12.5;3.2;0.9;2.5;100;23.6;0.5;45.7;3.6;42.0;19.7;5.1;1.4;4.0
168;Investment funds;1999;86.7;18.0;0.3;47.0;3.3;43.7;11.3;4.0;1.0;5.1;100;20.8;0.4;54.2;3.8;50.4;13.0;4.6;1.1;5.9
169;Investment funds;2000;102.0;28.7;0.3;52.5;3.4;49.2;10.9;3.8;0.9;4.8;100;28.2;0.3;51.5;3.3;48.2;10.7;3.7;0.9;4.7
170;Investment funds;2001;99.2;31.1;0.4;44.0;2.7;41.3;13.5;3.4;3.6;3.2;100;31.3;0.4;44.3;2.7;41.6;13.6;3.4;3.6;3.3
171;Investment funds;2002;81.0;23.1;0.3;32.5;1.9;30.6;14.9;2.5;5.0;2.8;100;28.5;0.4;40.1;2.3;37.7;18.3;3.1;6.1;3.5
172;Investment funds;2003;87.5;23.2;0.3;35.9;2.0;33.9;17.5;1.9;5.1;3.6;100;26.5;0.3;41.1;2.3;38.7;20.0;2.1;5.9;4.1
173;Investment funds;2004;86.5;21.7;0.1;36.3;2.4;33.9;18.5;1.9;5.0;2.9;100;25.1;0.1;42.0;2.8;39.2;21.4;2.2;5.7;3.4
174;Investment funds;2005 1st quarter;86.4;21.3;0.1;37.4;;;17.8;1.7;4.9;3.1;100;24.7;0.1;43.2;;;20.6;2.0;5.7;3.6
175;Investment funds;2005 2nd quarter;87.6;21.5;0.2;38.6;;;17.8;1.7;5.1;2.7;100;24.5;0.2;44.1;;;20.3;2.0;5.8;3.1
176;Investment funds;2005 3rd quarter;87.5;22.8;0.2;39.1;;;16.1;1.4;5.1;2.8;100;26.1;0.2;44.7;;;18.4;1.6;5.8;3.2
177;Investment funds;2005 4th quarter;93.5;24.5;0.2;41.1;2.7;38.4;16.2;1.5;7.1;2.9;100;26.2;0.2;43.9;2.9;41.0;17.3;1.6;7.6;3.1
178;Investment funds;2005;93.5;24.5;0.2;41.1;2.7;38.4;16.2;1.5;7.1;2.9;100;26.2;0.2;43.9;2.9;41.0;17.3;1.6;7.6;3.1
179;Investment funds;2006 1st quarter;93.1;23.5;0.2;42.3;;;15.3;1.6;7.0;3.1;100;25.2;0.2;45.4;;;16.5;1.7;7.6;3.3
180;Investment funds;2006 2nd quarter;92.4;24.8;0.2;42.6;;;14.7;0.6;7.1;2.4;100;26.8;0.2;46.1;;;15.9;0.7;7.7;2.6
181;Investment funds;2006 3rd quarter;95.5;25.4;0.2;44.9;;;14.9;0.7;7.1;2.3;100;26.6;0.2;47.0;;;15.6;0.7;7.5;2.4
182;Investment funds;2006 4th quarter;98.8;27.3;0.3;47.0;3.5;43.5;14.5;0.5;7.1;2.2;100;27.6;0.3;47.6;3.5;44.1;14.7;0.5;7.2;2.3
183;Investment funds;2006;98.8;27.3;0.3;47.0;3.5;43.5;14.5;0.5;7.1;2.2;100;27.6;0.3;47.6;3.5;44.1;14.7;0.5;7.2;2.3
184;Investment funds;2007 1st quarter;97.7;27.9;0.2;43.9;;;15.6;0.4;7.1;2.5;100;28.6;0.2;45.0;;;16.0;0.4;7.3;2.5
185;Investment funds;2007 2nd quarter;89.7;17.5;0.2;46.4;;;15.1;0.4;7.1;2.9;100;19.5;0.3;51.8;;;16.9;0.5;8.0;3.2
186;Investment funds;2007 3rd quarter;89.9;18.0;0.2;48.6;;;13.0;0.6;7.1;2.3;100;20.0;0.2;54.1;;;14.5;0.6;7.9;2.6
187;Investment funds;2007 4th quarter;89.9;19.0;0.2;47.5;2.2;45.3;12.4;0.6;7.5;2.6;100;21.2;0.2;52.9;2.4;50.5;13.8;0.7;8.3;2.9
188;Investment funds;2007;89.9;19.0;0.2;47.5;2.2;45.3;12.4;0.6;7.5;2.6;100;21.2;0.2;52.9;2.4;50.5;13.8;0.7;8.3;2.9
189;Investment funds;2008 1st quarter;84.6;19.9;0.2;40.7;;;12.2;0.9;7.5;3.2;100;23.5;0.2;48.1;;;14.5;1.1;8.8;3.7
190;Investment funds;2008 2nd quarter;82.5;20.0;0.2;39.0;;;11.5;0.8;7.3;3.7;100;24.2;0.2;47.2;;;14.0;1.0;8.8;4.5
191;Investment funds;2008 3rd quarter;75.9;20.0;0.2;32.4;;;12.1;1.1;7.2;3.0;100;26.3;0.3;42.7;;;16.0;1.4;9.5;3.9
192;Investment funds;2008 4th quarter;67.7;18.6;0.2;25.9;2.8;23.1;12.3;1.5;6.5;2.7;100;27.5;0.3;38.3;4.1;34.1;18.1;2.2;9.6;4.0
193;Investment funds;2008;67.7;18.6;0.2;25.9;2.8;23.1;12.3;1.5;6.5;2.7;100;27.5;0.3;38.3;4.1;34.1;18.1;2.2;9.6;4.0
194;Investment funds;2009 1st quarter;71.9;18.9;0.2;30.7;;;10.6;0.7;6.4;4.4;100;26.3;0.3;42.7;;;14.7;0.9;9.0;6.2
195;Investment funds;2009 2nd quarter;164.5;18.6;0.2;40.2;;;80.5;0.1;6.7;18.1;100;11.3;0.1;24.5;;;48.9;0.1;4.1;11.0
196;Investment funds;2009 3rd quarter;298.1;18.0;0.2;137.4;;;101.8;0.7;7.8;32.2;100;6.0;0.1;46.1;;;34.1;0.2;2.6;10.8
197;Investment funds;2009 4th quarter;321.2;17.7;0.2;158.0;20.2;137.8;102.5;-0.9;7.3;36.5;100;5.5;0.1;49.2;6.3;42.9;31.9;-0.3;2.3;11.4
198;Investment funds;2009;321.2;17.7;0.2;158.0;20.2;137.8;102.5;-0.9;7.3;36.5;100;5.5;0.1;49.2;6.3;42.9;31.9;-0.3;2.3;11.4
199;Investment funds;2010 1st quarter;356.4;21.7;0.2;188.5;;;107.8;0.1;8.4;29.7;100;6.1;0.1;52.9;;;30.2;0.0;2.4;8.3
200;Investment funds;2010 2nd quarter;340.0;21.8;0.2;172.3;;;107.4;-0.3;9.0;29.7;100;6.4;0.1;50.7;;;31.6;-0.1;2.6;8.7
201;Investment funds;2010 3rd quarter;352.3;21.9;0.2;179.1;;;109.1;2.6;9.5;30.0;100;6.2;0.1;50.8;;;31.0;0.7;2.7;8.5
202;Investment funds;2010 4th quarter;353.8;24.0;0.2;197.2;23.6;173.5;102.2;-0.8;11.0;20.0;100;6.8;0.0;55.7;6.7;49.0;28.9;-0.2;3.1;5.7
203;Investment funds;2010;353.8;24.0;0.2;197.2;23.6;173.5;102.2;-0.8;11.0;20.0;100;6.8;0.0;55.7;6.7;49.0;28.9;-0.2;3.1;5.7
204;Investment funds;2011 1st quarter;362.4;24.7;0.2;194.0;;;105.4;0.5;10.6;27.1;100;6.8;0.0;53.5;;;29.1;0.1;2.9;7.5
205;Investment funds;2011 2nd quarter;367.6;24.6;0.2;197.7;;;110.8;-0.8;10.4;24.9;100;6.7;0.0;53.8;;;30.1;-0.2;2.8;6.8
206;Investment funds;2011 3rd quarter;365.8;25.7;0.2;185.9;;;113.7;-1.4;4.4;37.4;100;7.0;0.0;50.8;;;31.1;-0.4;1.2;10.2
207;Investment funds;2011 4th quarter;369.2;24.8;0.2;202.2;35.7;166.5;115.4;-0.4;4.0;23.0;100;6.7;0.0;54.8;9.7;45.1;31.3;-0.1;1.1;6.2
208;Investment funds;2011;369.2;24.8;0.2;202.2;35.7;166.5;115.4;-0.4;4.0;23.0;100;6.7;0.0;54.8;9.7;45.1;31.3;-0.1;1.1;6.2
209;Investment funds;2012 1st quarter;394.2;25.0;0.2;212.4;;;121.8;1.1;4.6;29.2;100;6.3;0.0;53.9;;;30.9;0.3;1.2;7.4
210;Investment funds;2012 2nd quarter;394.5;25.0;0.1;213.1;;;122.2;2.6;4.8;26.7;100;6.3;0.0;54.0;;;31.0;0.6;1.2;6.8
211;Investment funds;2012 3rd quarter;413.7;25.0;0.3;223.5;;;130.3;2.1;5.7;26.8;100;6.0;0.1;54.0;;;31.5;0.5;1.4;6.5
212;Investment funds;2012 4th quarter;423.7;24.6;0.2;227.9;43.5;184.4;136.3;2.3;6.1;26.4;100;5.8;0.0;53.8;10.3;43.5;32.2;0.5;1.4;6.2
213;Investment funds;2012;423.7;24.6;0.2;227.9;43.5;184.4;136.3;2.3;6.1;26.4;100;5.8;0.0;53.8;10.3;43.5;32.2;0.5;1.4;6.2
214;Investment funds;2013 1st quarter;443.2;25.6;0.2;245.6;;;135.3;0.3;6.6;29.6;100;5.8;0.0;55.4;;;30.5;0.1;1.5;6.7
215;Investment funds;2013 2nd quarter;433.5;25.1;0.4;233.9;;;136.6;0.9;6.9;29.6;100;5.8;0.1;54.0;;;31.5;0.2;1.6;6.8
216;Investment funds;2013 3rd quarter;457.4;24.6;0.7;240.2;;;149.1;1.3;7.3;34.2;100;5.4;0.1;52.5;;;32.6;0.3;1.6;7.5
217;Investment funds;2013 4th quarter;465.8;23.2;1.4;249.1;;;152.3;0.6;7.2;31.9;100;5.0;0.3;53.5;;;32.7;0.1;1.5;6.8
218;Investment funds;2013;465.8;23.2;1.4;249.1;;;152.3;0.6;7.2;31.9;100;5.0;0.3;53.5;;;32.7;0.1;1.5;6.8
219;Investment funds;2014 1st quarter;485.5;23.0;1.7;263.5;;;154.9;0.2;8.0;34.2;100;4.7;0.3;54.3;;;31.9;0.0;1.6;7.0
