ID;Functions;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
1791;HC12: Day cases of curative care;HF11: Government schemes;2014;0.0
1792;HC12: Day cases of curative care;HF11: Government schemes;2015;69.0
1793;HC12: Day cases of curative care;HF11: Government schemes;2016;75.0
1794;HC12: Day cases of curative care;HF11: Government schemes;2017;72.0
1795;HC12: Day cases of curative care;HF11: Government schemes;2018;76.0
1796;HC12: Day cases of curative care;HF11: Government schemes;2019;86.0
1797;HC12: Day cases of curative care;HF11: Government schemes;2020;99.0
1798;HC12: Day cases of curative care;HF11: Government schemes;2021;88.0
1799;HC12: Day cases of curative care;HF11: Government schemes;2022;91.0
1800;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;1998;400.0
1801;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;1999;433.0
1802;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2000;500.0
1803;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2001;617.0
1804;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2002;780.0
1805;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2003;882.0
1806;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2004;1008.0
1807;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2005;1115.0
1808;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2006;1667.0
1809;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2007;1879.0
1810;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2008;2222.0
1811;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2009;2574.0
1812;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2010;2924.0
1813;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2011;3163.0
1814;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2012;3317.0
1815;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2013;3308.0
1816;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2014;3079.0
1817;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2015;2982.0
1818;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2016;3112.0
1819;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2017;3126.0
1820;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2018;3366.0
1821;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2019;3458.0
1822;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2020;3597.0
1823;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2021;3852.0
1824;HC12: Day cases of curative care;HF12: Compulsory contributory schemes;2022;4007.0
1825;HC12: Day cases of curative care;HF121a: Long-term care insurance;1998;91.0
1826;HC12: Day cases of curative care;HF121a: Long-term care insurance;1999;94.0
1827;HC12: Day cases of curative care;HF121a: Long-term care insurance;2000;100.0
1828;HC12: Day cases of curative care;HF121a: Long-term care insurance;2001;108.0
1829;HC12: Day cases of curative care;HF121a: Long-term care insurance;2002;125.0
1830;HC12: Day cases of curative care;HF121a: Long-term care insurance;2003;136.0
1831;HC12: Day cases of curative care;HF121a: Long-term care insurance;2004;145.0
1832;HC12: Day cases of curative care;HF121a: Long-term care insurance;2005;155.0
1833;HC12: Day cases of curative care;HF121a: Long-term care insurance;2006;141.0
1834;HC12: Day cases of curative care;HF121a: Long-term care insurance;2007;170.0
1835;HC12: Day cases of curative care;HF121a: Long-term care insurance;2008;28.0
1836;HC12: Day cases of curative care;HF121a: Long-term care insurance;2009;29.0
1837;HC12: Day cases of curative care;HF121a: Long-term care insurance;2010;29.0
1838;HC12: Day cases of curative care;HF121a: Long-term care insurance;2011;10.0
1839;HC12: Day cases of curative care;HF121a: Long-term care insurance;2012;11.0
1840;HC12: Day cases of curative care;HF121a: Long-term care insurance;2013;11.0
1841;HC12: Day cases of curative care;HF121a: Long-term care insurance;2014;11.0
1842;HC12: Day cases of curative care;HF121a: Long-term care insurance;2015;0.0
1843;HC12: Day cases of curative care;HF121a: Long-term care insurance;2016;0.0
1844;HC12: Day cases of curative care;HF121a: Long-term care insurance;2017;0.0
1845;HC12: Day cases of curative care;HF121a: Long-term care insurance;2018;0.0
1846;HC12: Day cases of curative care;HF121a: Long-term care insurance;2019;0.0
1847;HC12: Day cases of curative care;HF121a: Long-term care insurance;2020;0.0
1848;HC12: Day cases of curative care;HF121a: Long-term care insurance;2021;0.0
1849;HC12: Day cases of curative care;HF121a: Long-term care insurance;2022;0.0
1850;HC12: Day cases of curative care;HF121b: Health Insurance Fund;1998;309.0
1851;HC12: Day cases of curative care;HF121b: Health Insurance Fund;1999;339.0
1852;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2000;400.0
1853;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2001;509.0
1854;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2002;655.0
1855;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2003;746.0
1856;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2004;863.0
1857;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2005;960.0
1858;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2006;0.0
1859;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2007;
1860;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2008;
1861;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2009;
1862;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2010;
1863;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2011;
1864;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2012;
1865;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2013;
1866;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2014;
1867;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2015;
1868;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2016;
1869;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2017;
1870;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2018;
1871;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2019;
1872;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2020;
1873;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2021;
1874;HC12: Day cases of curative care;HF121b: Health Insurance Fund;2022;
1875;HC12: Day cases of curative care;HF122: Compulsory private insurance;1998;
1876;HC12: Day cases of curative care;HF122: Compulsory private insurance;1999;
1877;HC12: Day cases of curative care;HF122: Compulsory private insurance;2000;
1878;HC12: Day cases of curative care;HF122: Compulsory private insurance;2001;
1879;HC12: Day cases of curative care;HF122: Compulsory private insurance;2002;
1880;HC12: Day cases of curative care;HF122: Compulsory private insurance;2003;
1881;HC12: Day cases of curative care;HF122: Compulsory private insurance;2004;
1882;HC12: Day cases of curative care;HF122: Compulsory private insurance;2005;
1883;HC12: Day cases of curative care;HF122: Compulsory private insurance;2006;1526.0
1884;HC12: Day cases of curative care;HF122: Compulsory private insurance;2007;1709.0
1885;HC12: Day cases of curative care;HF122: Compulsory private insurance;2008;2194.0
1886;HC12: Day cases of curative care;HF122: Compulsory private insurance;2009;2545.0
1887;HC12: Day cases of curative care;HF122: Compulsory private insurance;2010;2895.0
1888;HC12: Day cases of curative care;HF122: Compulsory private insurance;2011;3153.0
1889;HC12: Day cases of curative care;HF122: Compulsory private insurance;2012;3307.0
1890;HC12: Day cases of curative care;HF122: Compulsory private insurance;2013;3297.0
1891;HC12: Day cases of curative care;HF122: Compulsory private insurance;2014;3068.0
1892;HC12: Day cases of curative care;HF122: Compulsory private insurance;2015;2982.0
1893;HC12: Day cases of curative care;HF122: Compulsory private insurance;2016;3112.0
1894;HC12: Day cases of curative care;HF122: Compulsory private insurance;2017;3126.0
1895;HC12: Day cases of curative care;HF122: Compulsory private insurance;2018;3366.0
1896;HC12: Day cases of curative care;HF122: Compulsory private insurance;2019;3458.0
1897;HC12: Day cases of curative care;HF122: Compulsory private insurance;2020;3597.0
1898;HC12: Day cases of curative care;HF122: Compulsory private insurance;2021;3852.0
1899;HC12: Day cases of curative care;HF122: Compulsory private insurance;2022;4007.0
1900;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);1998;189.0
1901;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);1999;218.0
1902;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2000;253.0
1903;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2001;309.0
1904;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2002;373.0
1905;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2003;420.0
1906;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2004;479.0
1907;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2005;552.0
1908;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2006;152.0
1909;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2007;153.0
1910;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2008;240.0
1911;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2009;221.0
1912;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2010;241.0
1913;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2011;279.0
1914;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2012;347.0
1915;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2013;370.0
1916;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2014;396.0
1917;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2015;358.0
1918;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2016;490.0
1919;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2017;476.0
1920;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2018;491.0
1921;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2019;507.0
1922;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2020;461.0
1923;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2021;494.0
1924;HC12: Day cases of curative care;Voluntary schemes (incl. OOP);2022;496.0
1925;HC12: Day cases of curative care;HF2: Voluntary schemes;1998;144.0
1926;HC12: Day cases of curative care;HF2: Voluntary schemes;1999;166.0
1927;HC12: Day cases of curative care;HF2: Voluntary schemes;2000;186.0
1928;HC12: Day cases of curative care;HF2: Voluntary schemes;2001;230.0
1929;HC12: Day cases of curative care;HF2: Voluntary schemes;2002;294.0
1930;HC12: Day cases of curative care;HF2: Voluntary schemes;2003;342.0
1931;HC12: Day cases of curative care;HF2: Voluntary schemes;2004;402.0
1932;HC12: Day cases of curative care;HF2: Voluntary schemes;2005;450.0
1933;HC12: Day cases of curative care;HF2: Voluntary schemes;2006;74.0
1934;HC12: Day cases of curative care;HF2: Voluntary schemes;2007;73.0
1935;HC12: Day cases of curative care;HF2: Voluntary schemes;2008;68.0
1936;HC12: Day cases of curative care;HF2: Voluntary schemes;2009;66.0
1937;HC12: Day cases of curative care;HF2: Voluntary schemes;2010;84.0
1938;HC12: Day cases of curative care;HF2: Voluntary schemes;2011;102.0
1939;HC12: Day cases of curative care;HF2: Voluntary schemes;2012;119.0
1940;HC12: Day cases of curative care;HF2: Voluntary schemes;2013;62.0
1941;HC12: Day cases of curative care;HF2: Voluntary schemes;2014;93.0
1942;HC12: Day cases of curative care;HF2: Voluntary schemes;2015;65.0
1943;HC12: Day cases of curative care;HF2: Voluntary schemes;2016;84.0
1944;HC12: Day cases of curative care;HF2: Voluntary schemes;2017;77.0
1945;HC12: Day cases of curative care;HF2: Voluntary schemes;2018;75.0
1946;HC12: Day cases of curative care;HF2: Voluntary schemes;2019;75.0
1947;HC12: Day cases of curative care;HF2: Voluntary schemes;2020;67.0
1948;HC12: Day cases of curative care;HF2: Voluntary schemes;2021;72.0
1949;HC12: Day cases of curative care;HF2: Voluntary schemes;2022;72.0
1950;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;1998;144.0
1951;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;1999;166.0
1952;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2000;186.0
1953;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2001;230.0
1954;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2002;294.0
1955;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2003;342.0
1956;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2004;402.0
1957;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2005;450.0
1958;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2006;74.0
1959;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2007;73.0
1960;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2008;68.0
1961;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2009;66.0
1962;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2010;84.0
1963;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2011;102.0
1964;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2012;119.0
1965;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2013;62.0
1966;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2014;93.0
1967;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2015;65.0
1968;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2016;84.0
1969;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2017;77.0
1970;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2018;75.0
1971;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2019;75.0
1972;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2020;67.0
1973;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2021;72.0
1974;HC12: Day cases of curative care;HF21: Voluntary health insurance schemes;2022;72.0
1975;HC12: Day cases of curative care;HF22: Financing schemes NPI;1998;0.0
1976;HC12: Day cases of curative care;HF22: Financing schemes NPI;1999;0.0
1977;HC12: Day cases of curative care;HF22: Financing schemes NPI;2000;0.0
1978;HC12: Day cases of curative care;HF22: Financing schemes NPI;2001;0.0
1979;HC12: Day cases of curative care;HF22: Financing schemes NPI;2002;0.0
1980;HC12: Day cases of curative care;HF22: Financing schemes NPI;2003;0.0
1981;HC12: Day cases of curative care;HF22: Financing schemes NPI;2004;0.0
1982;HC12: Day cases of curative care;HF22: Financing schemes NPI;2005;0.0
1983;HC12: Day cases of curative care;HF22: Financing schemes NPI;2006;0.0
1984;HC12: Day cases of curative care;HF22: Financing schemes NPI;2007;0.0
1985;HC12: Day cases of curative care;HF22: Financing schemes NPI;2008;0.0
1986;HC12: Day cases of curative care;HF22: Financing schemes NPI;2009;0.0
1987;HC12: Day cases of curative care;HF22: Financing schemes NPI;2010;0.0
1988;HC12: Day cases of curative care;HF22: Financing schemes NPI;2011;0.0
1989;HC12: Day cases of curative care;HF22: Financing schemes NPI;2012;0.0
1990;HC12: Day cases of curative care;HF22: Financing schemes NPI;2013;0.0
1991;HC12: Day cases of curative care;HF22: Financing schemes NPI;2014;0.0
1992;HC12: Day cases of curative care;HF22: Financing schemes NPI;2015;0.0
1993;HC12: Day cases of curative care;HF22: Financing schemes NPI;2016;0.0
1994;HC12: Day cases of curative care;HF22: Financing schemes NPI;2017;0.0
1995;HC12: Day cases of curative care;HF22: Financing schemes NPI;2018;0.0
1996;HC12: Day cases of curative care;HF22: Financing schemes NPI;2019;0.0
1997;HC12: Day cases of curative care;HF22: Financing schemes NPI;2020;0.0
1998;HC12: Day cases of curative care;HF22: Financing schemes NPI;2021;0.0
1999;HC12: Day cases of curative care;HF22: Financing schemes NPI;2022;0.0
2000;HC12: Day cases of curative care;HF23: Enterprise financing schemes;1998;0.0
2001;HC12: Day cases of curative care;HF23: Enterprise financing schemes;1999;0.0
2002;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2000;0.0
2003;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2001;0.0
2004;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2002;0.0
2005;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2003;0.0
2006;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2004;0.0
2007;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2005;0.0
2008;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2006;0.0
2009;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2007;0.0
2010;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2008;0.0
2011;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2009;0.0
2012;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2010;0.0
2013;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2011;0.0
2014;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2012;0.0
2015;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2013;0.0
2016;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2014;0.0
2017;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2015;0.0
2018;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2016;0.0
2019;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2017;0.0
2020;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2018;0.0
2021;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2019;0.0
2022;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2020;0.0
2023;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2021;0.0
2024;HC12: Day cases of curative care;HF23: Enterprise financing schemes;2022;0.0
2025;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;1998;45.0
2026;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;1999;52.0
2027;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2000;67.0
2028;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2001;80.0
2029;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2002;78.0
2030;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2003;79.0
2031;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2004;77.0
2032;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2005;102.0
2033;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2006;78.0
2034;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2007;80.0
2035;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2008;172.0
2036;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2009;155.0
2037;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2010;157.0
2038;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2011;177.0
2039;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2012;228.0
2040;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2013;308.0
2041;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2014;303.0
2042;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2015;293.0
2043;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2016;406.0
2044;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2017;399.0
2045;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2018;415.0
2046;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2019;432.0
2047;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2020;394.0
2048;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2021;422.0
2049;HC12: Day cases of curative care;HF3: Household out-of-pocket payments;2022;424.0
2050;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;1998;42.0
2051;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;1999;49.0
2052;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2000;64.0
2053;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2001;77.0
2054;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2002;75.0
2055;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2003;76.0
2056;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2004;74.0
2057;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2005;99.0
2058;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2006;74.0
2059;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2007;77.0
2060;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2008;77.0
2061;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2009;47.0
2062;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2010;37.0
2063;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2011;34.0
2064;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2012;40.0
2065;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2013;44.0
2066;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2014;46.0
2067;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2015;46.0
2068;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2016;45.0
2069;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2017;47.0
2070;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2018;49.0
2071;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2019;53.0
2072;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2020;36.0
2073;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2021;57.0
2074;HC12: Day cases of curative care;HF31: Out-of-pocket excl cost sharing;2022;61.0
2075;HC12: Day cases of curative care;HF32: Cost sharing;1998;3.0
2076;HC12: Day cases of curative care;HF32: Cost sharing;1999;4.0
2077;HC12: Day cases of curative care;HF32: Cost sharing;2000;3.0
2078;HC12: Day cases of curative care;HF32: Cost sharing;2001;3.0
2079;HC12: Day cases of curative care;HF32: Cost sharing;2002;3.0
2080;HC12: Day cases of curative care;HF32: Cost sharing;2003;3.0
2081;HC12: Day cases of curative care;HF32: Cost sharing;2004;3.0
2082;HC12: Day cases of curative care;HF32: Cost sharing;2005;3.0
2083;HC12: Day cases of curative care;HF32: Cost sharing;2006;3.0
2084;HC12: Day cases of curative care;HF32: Cost sharing;2007;3.0
2085;HC12: Day cases of curative care;HF32: Cost sharing;2008;95.0
2086;HC12: Day cases of curative care;HF32: Cost sharing;2009;108.0
2087;HC12: Day cases of curative care;HF32: Cost sharing;2010;120.0
2088;HC12: Day cases of curative care;HF32: Cost sharing;2011;143.0
2089;HC12: Day cases of curative care;HF32: Cost sharing;2012;188.0
2090;HC12: Day cases of curative care;HF32: Cost sharing;2013;264.0
2091;HC12: Day cases of curative care;HF32: Cost sharing;2014;257.0
2092;HC12: Day cases of curative care;HF32: Cost sharing;2015;247.0
2093;HC12: Day cases of curative care;HF32: Cost sharing;2016;361.0
2094;HC12: Day cases of curative care;HF32: Cost sharing;2017;352.0
2095;HC12: Day cases of curative care;HF32: Cost sharing;2018;366.0
2096;HC12: Day cases of curative care;HF32: Cost sharing;2019;378.0
2097;HC12: Day cases of curative care;HF32: Cost sharing;2020;358.0
2098;HC12: Day cases of curative care;HF32: Cost sharing;2021;365.0
2099;HC12: Day cases of curative care;HF32: Cost sharing;2022;362.0
2100;HC12: Day cases of curative care;"Rest of the world; exports";1998;3.0
2101;HC12: Day cases of curative care;"Rest of the world; exports";1999;3.0
2102;HC12: Day cases of curative care;"Rest of the world; exports";2000;3.0
2103;HC12: Day cases of curative care;"Rest of the world; exports";2001;3.0
2104;HC12: Day cases of curative care;"Rest of the world; exports";2002;4.0
2105;HC12: Day cases of curative care;"Rest of the world; exports";2003;4.0
2106;HC12: Day cases of curative care;"Rest of the world; exports";2004;5.0
2107;HC12: Day cases of curative care;"Rest of the world; exports";2005;6.0
2108;HC12: Day cases of curative care;"Rest of the world; exports";2006;6.0
2109;HC12: Day cases of curative care;"Rest of the world; exports";2007;6.0
2110;HC12: Day cases of curative care;"Rest of the world; exports";2008;6.0
2111;HC12: Day cases of curative care;"Rest of the world; exports";2009;7.0
2112;HC12: Day cases of curative care;"Rest of the world; exports";2010;8.0
2113;HC12: Day cases of curative care;"Rest of the world; exports";2011;8.0
2114;HC12: Day cases of curative care;"Rest of the world; exports";2012;9.0
2115;HC12: Day cases of curative care;"Rest of the world; exports";2013;9.0
2116;HC12: Day cases of curative care;"Rest of the world; exports";2014;9.0
2117;HC12: Day cases of curative care;"Rest of the world; exports";2015;9.0
2118;HC12: Day cases of curative care;"Rest of the world; exports";2016;9.0
2119;HC12: Day cases of curative care;"Rest of the world; exports";2017;9.0
2120;HC12: Day cases of curative care;"Rest of the world; exports";2018;9.0
2121;HC12: Day cases of curative care;"Rest of the world; exports";2019;9.0
2122;HC12: Day cases of curative care;"Rest of the world; exports";2020;7.0
2123;HC12: Day cases of curative care;"Rest of the world; exports";2021;6.0
2124;HC12: Day cases of curative care;"Rest of the world; exports";2022;8.0
2125;HC13: Out-patient curative care;Total financ schemes health,social care;1998;5003.0
2126;HC13: Out-patient curative care;Total financ schemes health,social care;1999;5626.0
2127;HC13: Out-patient curative care;Total financ schemes health,social care;2000;6095.0
2128;HC13: Out-patient curative care;Total financ schemes health,social care;2001;7012.0
2129;HC13: Out-patient curative care;Total financ schemes health,social care;2002;8122.0
2130;HC13: Out-patient curative care;Total financ schemes health,social care;2003;8894.0
2131;HC13: Out-patient curative care;Total financ schemes health,social care;2004;9643.0
2132;HC13: Out-patient curative care;Total financ schemes health,social care;2005;10013.0
2133;HC13: Out-patient curative care;Total financ schemes health,social care;2006;10711.0
2134;HC13: Out-patient curative care;Total financ schemes health,social care;2007;11389.0
2135;HC13: Out-patient curative care;Total financ schemes health,social care;2008;12037.0
2136;HC13: Out-patient curative care;Total financ schemes health,social care;2009;12713.0
2137;HC13: Out-patient curative care;Total financ schemes health,social care;2010;13289.0
2138;HC13: Out-patient curative care;Total financ schemes health,social care;2011;13832.0
2139;HC13: Out-patient curative care;Total financ schemes health,social care;2012;14064.0
2140;HC13: Out-patient curative care;Total financ schemes health,social care;2013;14885.0
2141;HC13: Out-patient curative care;Total financ schemes health,social care;2014;15573.0
2142;HC13: Out-patient curative care;Total financ schemes health,social care;2015;16648.0
2143;HC13: Out-patient curative care;Total financ schemes health,social care;2016;17399.0
2144;HC13: Out-patient curative care;Total financ schemes health,social care;2017;17825.0
2145;HC13: Out-patient curative care;Total financ schemes health,social care;2018;18720.0
2146;HC13: Out-patient curative care;Total financ schemes health,social care;2019;19824.0
2147;HC13: Out-patient curative care;Total financ schemes health,social care;2020;20614.0
2148;HC13: Out-patient curative care;Total financ schemes health,social care;2021;21655.0
2149;HC13: Out-patient curative care;Total financ schemes health,social care;2022;22417.0
2150;HC13: Out-patient curative care;Total financing of residents;1998;4980.0
2151;HC13: Out-patient curative care;Total financing of residents;1999;5602.0
2152;HC13: Out-patient curative care;Total financing of residents;2000;6070.0
2153;HC13: Out-patient curative care;Total financing of residents;2001;6987.0
2154;HC13: Out-patient curative care;Total financing of residents;2002;8095.0
2155;HC13: Out-patient curative care;Total financing of residents;2003;8867.0
2156;HC13: Out-patient curative care;Total financing of residents;2004;9614.0
2157;HC13: Out-patient curative care;Total financing of residents;2005;9982.0
2158;HC13: Out-patient curative care;Total financing of residents;2006;10678.0
2159;HC13: Out-patient curative care;Total financing of residents;2007;11355.0
2160;HC13: Out-patient curative care;Total financing of residents;2008;12004.0
2161;HC13: Out-patient curative care;Total financing of residents;2009;12678.0
2162;HC13: Out-patient curative care;Total financing of residents;2010;13255.0
2163;HC13: Out-patient curative care;Total financing of residents;2011;13795.0
2164;HC13: Out-patient curative care;Total financing of residents;2012;14028.0
2165;HC13: Out-patient curative care;Total financing of residents;2013;14849.0
