ID;Characteristics;CaribbeanNetherlands;Periods;Households_1;PersonsWithIncomePerHousehold_2;DisposableIncomeMean_3;DisposableIncomeMedian_4;EquivalisedIncomeMean_5;EquivalisedIncomeMedian_6
303;Type: Couple, total;Bonaire;2014;2650.0;2.0;39.8;32.5;24.0;19.2
304;Type: Couple, total;Bonaire;2015;2750.0;2.0;40.7;33.4;24.5;20.0
305;Type: Couple, total;Bonaire;2016;2950.0;2.0;42.0;34.1;25.3;20.5
306;Type: Couple, total;Bonaire;2017;3200.0;2.0;43.1;35.1;26.0;21.1
307;Type: Couple, total;Bonaire;2018;3400.0;2.0;43.5;35.8;26.3;21.4
308;Type: Couple, total;Bonaire;2019;3450.0;2.0;45.5;37.1;27.6;22.2
309;Type: Couple, total;Bonaire;2020;3450.0;2.0;45.7;37.1;27.6;22.3
310;Type: Couple, total;Bonaire;2021;3550.0;2.0;47.0;37.7;28.4;23.0
311;Type: Couple, total;Bonaire;2022;3650.0;2.0;48.1;39.1;29.0;23.4
312;Type: Couple, total;St. Eustatius;2011;300.0;1.6;39.2;31.7;22.7;18.4
313;Type: Couple, total;St. Eustatius;2012;300.0;1.7;40.6;32.9;23.6;19.4
314;Type: Couple, total;St. Eustatius;2013;350.0;1.7;42.0;35.5;24.8;21.1
315;Type: Couple, total;St. Eustatius;2014;400.0;1.6;41.5;34.3;24.7;20.0
316;Type: Couple, total;St. Eustatius;2015;350.0;1.8;48.3;41.6;29.0;24.0
317;Type: Couple, total;St. Eustatius;2016;400.0;1.8;46.3;38.3;27.4;22.6
318;Type: Couple, total;St. Eustatius;2017;400.0;1.9;51.6;43.5;30.1;25.4
319;Type: Couple, total;St. Eustatius;2018;400.0;1.9;53.9;45.0;32.0;26.2
320;Type: Couple, total;St. Eustatius;2019;400.0;2.0;57.4;47.5;34.1;29.3
321;Type: Couple, total;St. Eustatius;2020;400.0;2.0;57.9;52.8;34.7;29.7
322;Type: Couple, total;St. Eustatius;2021;350.0;1.9;55.1;46.5;32.8;28.7
323;Type: Couple, total;St. Eustatius;2022;350.0;2.0;54.7;48.0;32.6;28.4
324;Type: Couple, total;Saba;2011;250.0;1.8;37.1;30.4;22.8;17.9
325;Type: Couple, total;Saba;2012;250.0;1.8;39.6;32.3;24.3;19.7
326;Type: Couple, total;Saba;2013;250.0;1.8;39.1;33.7;24.0;19.4
327;Type: Couple, total;Saba;2014;250.0;1.8;39.7;33.6;24.1;20.3
328;Type: Couple, total;Saba;2015;300.0;1.9;40.0;32.5;24.5;20.7
329;Type: Couple, total;Saba;2016;300.0;1.8;38.2;32.2;23.4;19.1
330;Type: Couple, total;Saba;2017;300.0;1.8;40.7;33.9;24.9;20.8
331;Type: Couple, total;Saba;2018;300.0;1.9;44.4;37.5;27.0;22.2
332;Type: Couple, total;Saba;2019;300.0;2.0;48.8;41.6;29.5;24.3
333;Type: Couple, total;Saba;2020;250.0;1.9;48.7;41.0;29.0;24.2
334;Type: Couple, total;Saba;2021;300.0;2.0;48.7;42.7;29.0;24.7
335;Type: Couple, total;Saba;2022;300.0;2.0;52.8;45.3;31.8;27.2
336;Type: Couple, no children;Caribbean Netherlands;2011;1200.0;1.7;34.3;27.1;24.2;19.2
337;Type: Couple, no children;Caribbean Netherlands;2012;1300.0;1.7;35.5;27.5;25.1;19.5
338;Type: Couple, no children;Caribbean Netherlands;2013;1450.0;1.7;35.8;28.1;25.3;19.9
339;Type: Couple, no children;Caribbean Netherlands;2014;1550.0;1.7;36.7;27.6;25.9;19.5
340;Type: Couple, no children;Caribbean Netherlands;2015;1650.0;1.7;37.3;28.7;26.4;20.3
341;Type: Couple, no children;Caribbean Netherlands;2016;1750.0;1.7;38.3;29.9;27.1;21.1
342;Type: Couple, no children;Caribbean Netherlands;2017;1800.0;1.7;39.6;30.7;28.0;21.7
343;Type: Couple, no children;Caribbean Netherlands;2018;1950.0;1.7;40.5;31.2;28.6;22.1
344;Type: Couple, no children;Caribbean Netherlands;2019;2000.0;1.8;42.5;32.3;30.1;22.8
345;Type: Couple, no children;Caribbean Netherlands;2020;1900.0;1.8;42.8;33.5;30.3;23.7
346;Type: Couple, no children;Caribbean Netherlands;2021;2000.0;1.8;43.3;33.7;30.6;23.8
347;Type: Couple, no children;Caribbean Netherlands;2022;2050.0;1.7;44.0;34.6;31.1;24.5
348;Type: Couple, no children;Bonaire;2011;950.0;1.7;34.1;27.2;24.1;19.3
349;Type: Couple, no children;Bonaire;2012;1050.0;1.7;35.6;27.5;25.2;19.5
350;Type: Couple, no children;Bonaire;2013;1150.0;1.7;35.8;28.5;25.3;20.1
351;Type: Couple, no children;Bonaire;2014;1200.0;1.7;36.8;27.3;26.0;19.3
352;Type: Couple, no children;Bonaire;2015;1300.0;1.7;36.6;28.1;25.9;19.9
353;Type: Couple, no children;Bonaire;2016;1400.0;1.7;38.8;30.2;27.4;21.3
354;Type: Couple, no children;Bonaire;2017;1500.0;1.8;39.6;30.7;28.0;21.7
355;Type: Couple, no children;Bonaire;2018;1650.0;1.8;39.7;30.8;28.1;21.8
356;Type: Couple, no children;Bonaire;2019;1700.0;1.8;41.6;31.8;29.4;22.5
357;Type: Couple, no children;Bonaire;2020;1650.0;1.8;41.4;32.6;29.3;23.0
358;Type: Couple, no children;Bonaire;2021;1700.0;1.8;42.9;33.1;30.3;23.4
359;Type: Couple, no children;Bonaire;2022;1750.0;1.7;43.3;34.1;30.6;24.1
360;Type: Couple, no children;St. Eustatius;2011;100.0;1.5;34.2;25.8;24.2;18.2
361;Type: Couple, no children;St. Eustatius;2012;150.0;1.5;33.2;25.5;23.5;18.1
362;Type: Couple, no children;St. Eustatius;2013;150.0;1.5;35.4;25.9;25.0;18.3
363;Type: Couple, no children;St. Eustatius;2014;150.0;1.5;37.0;27.0;26.2;19.1
364;Type: Couple, no children;St. Eustatius;2015;150.0;1.6;42.4;32.6;30.0;23.1
365;Type: Couple, no children;St. Eustatius;2016;150.0;1.6;39.1;28.5;27.6;20.2
366;Type: Couple, no children;St. Eustatius;2017;150.0;1.6;43.8;33.5;31.0;23.7
367;Type: Couple, no children;St. Eustatius;2018;150.0;1.7;49.6;35.9;35.1;25.4
368;Type: Couple, no children;St. Eustatius;2019;150.0;1.8;51.5;40.5;36.4;28.6
369;Type: Couple, no children;St. Eustatius;2020;150.0;1.8;55.5;45.6;39.2;32.2
370;Type: Couple, no children;St. Eustatius;2021;150.0;1.7;49.8;42.0;35.2;29.7
371;Type: Couple, no children;St. Eustatius;2022;150.0;1.8;49.4;41.4;34.9;29.3
372;Type: Couple, no children;Saba;2011;100.0;1.7;35.6;27.5;25.2;19.4
373;Type: Couple, no children;Saba;2012;100.0;1.7;36.9;29.1;26.1;20.6
374;Type: Couple, no children;Saba;2013;150.0;1.7;36.4;29.3;25.8;20.7
375;Type: Couple, no children;Saba;2014;150.0;1.7;34.9;29.7;24.7;21.0
376;Type: Couple, no children;Saba;2015;150.0;1.7;37.4;31.1;26.4;22.0
377;Type: Couple, no children;Saba;2016;150.0;1.6;33.6;27.3;23.8;19.3
378;Type: Couple, no children;Saba;2017;150.0;1.6;35.9;28.5;25.4;20.2
379;Type: Couple, no children;Saba;2018;150.0;1.7;39.5;32.2;27.9;22.7
380;Type: Couple, no children;Saba;2019;150.0;1.7;43.3;35.3;30.6;24.9
381;Type: Couple, no children;Saba;2020;100.0;1.8;43.5;35.7;30.7;25.2
382;Type: Couple, no children;Saba;2021;150.0;1.8;41.1;34.6;29.1;24.5
383;Type: Couple, no children;Saba;2022;150.0;1.8;45.5;36.8;32.1;26.0
384;Type: Couple, with child(ren);Caribbean Netherlands;2011;1500.0;2.1;38.5;33.0;20.1;17.1
385;Type: Couple, with child(ren);Caribbean Netherlands;2012;1550.0;2.1;40.2;35.6;21.0;18.8
386;Type: Couple, with child(ren);Caribbean Netherlands;2013;1600.0;2.1;41.0;36.3;21.4;19.1
387;Type: Couple, with child(ren);Caribbean Netherlands;2014;1800.0;2.1;42.9;37.4;22.5;19.4
388;Type: Couple, with child(ren);Caribbean Netherlands;2015;1800.0;2.2;45.3;38.9;23.7;20.3
389;Type: Couple, with child(ren);Caribbean Netherlands;2016;1950.0;2.2;45.5;39.1;23.8;20.2
390;Type: Couple, with child(ren);Caribbean Netherlands;2017;2050.0;2.2;47.3;40.5;24.8;21.0
391;Type: Couple, with child(ren);Caribbean Netherlands;2018;2100.0;2.2;48.3;41.4;25.3;21.4
392;Type: Couple, with child(ren);Caribbean Netherlands;2019;2150.0;2.3;50.8;42.6;26.7;22.5
393;Type: Couple, with child(ren);Caribbean Netherlands;2020;2150.0;2.2;50.9;43.0;26.6;22.2
394;Type: Couple, with child(ren);Caribbean Netherlands;2021;2150.0;2.3;52.0;44.1;27.1;23.2
395;Type: Couple, with child(ren);Caribbean Netherlands;2022;2250.0;2.2;53.5;45.8;28.0;23.6
396;Type: Couple, with child(ren);Bonaire;2011;1200.0;2.2;37.9;33.1;19.9;17.0
397;Type: Couple, with child(ren);Bonaire;2012;1250.0;2.2;39.2;35.1;20.5;18.6
398;Type: Couple, with child(ren);Bonaire;2013;1300.0;2.1;40.0;35.6;20.9;18.8
399;Type: Couple, with child(ren);Bonaire;2014;1450.0;2.2;42.4;37.2;22.2;19.2
400;Type: Couple, with child(ren);Bonaire;2015;1450.0;2.2;44.4;38.5;23.2;20.1
401;Type: Couple, with child(ren);Bonaire;2016;1600.0;2.3;44.8;38.6;23.4;20.0
402;Type: Couple, with child(ren);Bonaire;2017;1700.0;2.3;46.2;39.8;24.2;20.6
403;Type: Couple, with child(ren);Bonaire;2018;1750.0;2.3;47.0;40.8;24.7;20.7
404;Type: Couple, with child(ren);Bonaire;2019;1750.0;2.3;49.2;41.5;25.8;21.9
405;Type: Couple, with child(ren);Bonaire;2020;1800.0;2.3;49.6;41.5;26.0;21.6
406;Type: Couple, with child(ren);Bonaire;2021;1850.0;2.3;50.9;42.8;26.6;22.5
407;Type: Couple, with child(ren);Bonaire;2022;1900.0;2.3;52.5;44.2;27.5;22.9
408;Type: Couple, with child(ren);St. Eustatius;2011;150.0;1.7;42.7;33.3;21.6;18.4
409;Type: Couple, with child(ren);St. Eustatius;2012;200.0;1.8;46.3;40.3;23.7;20.6
410;Type: Couple, with child(ren);St. Eustatius;2013;200.0;1.8;47.7;42.2;24.6;23.0
411;Type: Couple, with child(ren);St. Eustatius;2014;200.0;1.8;45.1;37.8;23.4;20.2
412;Type: Couple, with child(ren);St. Eustatius;2015;200.0;1.9;53.5;48.0;28.1;24.6
413;Type: Couple, with child(ren);St. Eustatius;2016;200.0;1.9;51.9;48.0;27.2;26.2
414;Type: Couple, with child(ren);St. Eustatius;2017;250.0;2.0;56.7;51.9;29.6;26.9
415;Type: Couple, with child(ren);St. Eustatius;2018;200.0;2.1;57.2;52.5;29.6;27.0
416;Type: Couple, with child(ren);St. Eustatius;2019;200.0;2.1;62.1;54.1;32.4;29.7
417;Type: Couple, with child(ren);St. Eustatius;2020;200.0;2.2;59.8;54.8;31.2;28.2
418;Type: Couple, with child(ren);St. Eustatius;2021;200.0;2.1;59.5;52.1;30.7;26.7
419;Type: Couple, with child(ren);St. Eustatius;2022;200.0;2.1;59.1;53.5;30.6;28.0
420;Type: Couple, with child(ren);Saba;2011;100.0;1.9;38.4;32.6;20.6;16.4
421;Type: Couple, with child(ren);Saba;2012;100.0;1.9;42.3;34.5;22.5;18.7
422;Type: Couple, with child(ren);Saba;2013;150.0;2.0;41.7;35.3;22.2;18.1
423;Type: Couple, with child(ren);Saba;2014;150.0;2.0;44.5;37.9;23.5;20.0
424;Type: Couple, with child(ren);Saba;2015;150.0;2.0;42.7;36.3;22.5;18.7
425;Type: Couple, with child(ren);Saba;2016;150.0;2.1;43.8;35.5;23.0;18.9
426;Type: Couple, with child(ren);Saba;2017;150.0;2.0;45.8;39.7;24.4;21.2
427;Type: Couple, with child(ren);Saba;2018;150.0;2.1;49.3;39.3;26.1;22.0
428;Type: Couple, with child(ren);Saba;2019;150.0;2.2;53.7;45.9;28.5;24.2
429;Type: Couple, with child(ren);Saba;2020;150.0;2.1;52.4;45.0;27.8;23.8
430;Type: Couple, with child(ren);Saba;2021;150.0;2.1;55.5;48.5;29.0;24.9
431;Type: Couple, with child(ren);Saba;2022;150.0;2.3;59.8;54.7;31.4;28.5
432;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2011;900.0;1.8;37.5;31.4;19.6;16.4
433;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2012;950.0;1.8;37.8;33.5;19.8;17.7
434;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2013;950.0;1.8;39.4;34.9;20.6;18.1
435;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2014;1050.0;1.8;40.7;35.2;21.4;18.4
436;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2015;1050.0;1.8;42.6;36.8;22.3;19.1
437;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2016;1150.0;1.9;43.5;37.1;22.8;19.2
438;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2017;1200.0;1.8;43.7;37.8;22.9;19.8
439;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2018;1250.0;1.9;45.3;38.8;23.7;20.2
440;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2019;1250.0;1.9;47.9;40.6;25.1;21.2
441;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2020;1300.0;1.9;48.5;40.9;25.3;21.3
442;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2021;1300.0;1.9;49.1;41.8;25.4;22.1
443;Type: Couple, all children < 18 yrs ;Caribbean Netherlands;2022;1350.0;1.9;50.4;42.9;26.2;22.0
444;Type: Couple, all children < 18 yrs ;Bonaire;2011;750.0;1.8;36.7;31.0;19.2;16.0
445;Type: Couple, all children < 18 yrs ;Bonaire;2012;750.0;1.8;36.5;32.5;19.1;17.1
446;Type: Couple, all children < 18 yrs ;Bonaire;2013;750.0;1.8;37.9;33.8;19.8;17.5
447;Type: Couple, all children < 18 yrs ;Bonaire;2014;800.0;1.8;39.8;34.4;20.9;17.9
448;Type: Couple, all children < 18 yrs ;Bonaire;2015;800.0;1.8;41.0;35.8;21.4;18.5
449;Type: Couple, all children < 18 yrs ;Bonaire;2016;950.0;1.9;42.0;35.8;22.0;18.8
450;Type: Couple, all children < 18 yrs ;Bonaire;2017;1000.0;1.9;42.0;36.3;22.1;19.1
451;Type: Couple, all children < 18 yrs ;Bonaire;2018;1000.0;1.9;43.8;38.0;22.9;19.5
452;Type: Couple, all children < 18 yrs ;Bonaire;2019;1050.0;1.9;46.1;39.1;24.1;20.6
453;Type: Couple, all children < 18 yrs ;Bonaire;2020;1050.0;1.9;47.1;39.4;24.5;20.7
454;Type: Couple, all children < 18 yrs ;Bonaire;2021;1050.0;1.9;47.6;39.9;24.7;20.9
455;Type: Couple, all children < 18 yrs ;Bonaire;2022;1100.0;1.9;49.1;40.6;25.6;21.2
456;Type: Couple, all children < 18 yrs ;St. Eustatius;2011;100.0;1.6;41.8;36.4;21.2;19.4
457;Type: Couple, all children < 18 yrs ;St. Eustatius;2012;100.0;1.6;42.1;42.1;21.6;21.0
458;Type: Couple, all children < 18 yrs ;St. Eustatius;2013;100.0;1.6;45.4;41.7;23.7;22.4
459;Type: Couple, all children < 18 yrs ;St. Eustatius;2014;150.0;1.6;42.3;37.1;22.1;19.2
460;Type: Couple, all children < 18 yrs ;St. Eustatius;2015;150.0;1.7;52.7;45.3;27.4;22.8
461;Type: Couple, all children < 18 yrs ;St. Eustatius;2016;150.0;1.8;53.1;50.8;27.7;27.6
462;Type: Couple, all children < 18 yrs ;St. Eustatius;2017;150.0;1.8;54.0;46.9;28.2;25.0
463;Type: Couple, all children < 18 yrs ;St. Eustatius;2018;150.0;1.8;54.2;49.4;28.3;25.4
464;Type: Couple, all children < 18 yrs ;St. Eustatius;2019;150.0;1.8;57.9;51.4;30.3;28.7
465;Type: Couple, all children < 18 yrs ;St. Eustatius;2020;150.0;1.8;56.4;53.3;29.6;28.0
466;Type: Couple, all children < 18 yrs ;St. Eustatius;2021;100.0;1.8;56.5;48.2;28.9;24.3
467;Type: Couple, all children < 18 yrs ;St. Eustatius;2022;150.0;1.8;55.9;52.7;28.8;26.4
468;Type: Couple, all children < 18 yrs ;Saba;2011;100.0;;;;;
469;Type: Couple, all children < 18 yrs ;Saba;2012;100.0;;;;;
470;Type: Couple, all children < 18 yrs ;Saba;2013;100.0;;;;;
471;Type: Couple, all children < 18 yrs ;Saba;2014;100.0;;;;;
472;Type: Couple, all children < 18 yrs ;Saba;2015;100.0;;;;;
473;Type: Couple, all children < 18 yrs ;Saba;2016;100.0;;;;;
474;Type: Couple, all children < 18 yrs ;Saba;2017;100.0;;;;;
475;Type: Couple, all children < 18 yrs ;Saba;2018;100.0;;;;;
476;Type: Couple, all children < 18 yrs ;Saba;2019;100.0;;;;;
477;Type: Couple, all children < 18 yrs ;Saba;2020;100.0;;;;;
478;Type: Couple, all children < 18 yrs ;Saba;2021;100.0;1.9;55.8;48.4;29.2;25.6
479;Type: Couple, all children < 18 yrs ;Saba;2022;100.0;;;;;
480;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2011;600.0;2.6;40.2;35.5;21.0;18.6
481;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2012;600.0;2.6;44.1;38.7;23.0;20.1
482;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2013;650.0;2.5;43.4;40.0;22.7;20.5
483;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2014;750.0;2.6;46.0;40.7;24.0;21.2
484;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2015;750.0;2.7;49.0;43.3;25.6;22.0
485;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2016;800.0;2.7;48.4;43.2;25.2;22.2
486;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2017;850.0;2.8;52.5;46.0;27.4;23.6
487;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2018;850.0;2.8;52.6;46.2;27.6;23.5
488;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2019;850.0;2.8;55.0;46.7;28.9;24.4
489;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2020;850.0;2.8;54.3;46.7;28.6;24.3
490;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2021;900.0;2.8;56.3;48.1;29.6;24.7
491;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2022;900.0;2.8;58.2;50.7;30.7;26.1
492;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2011;500.0;2.7;39.8;36.7;20.8;19.2
493;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2012;500.0;2.7;43.2;39.6;22.6;20.7
494;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2013;550.0;2.6;43.0;40.0;22.5;20.5
495;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2014;600.0;2.7;46.1;41.4;24.0;21.4
496;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2015;600.0;2.8;49.0;43.3;25.5;22.0
497;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2016;650.0;2.8;48.8;43.3;25.3;22.2
498;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2017;700.0;2.8;51.9;45.9;27.1;23.3
499;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2018;700.0;2.8;51.7;45.9;27.2;23.1
500;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2019;750.0;2.9;53.6;45.8;28.2;23.8
501;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2020;750.0;2.8;53.4;45.8;28.1;23.7
502;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2021;750.0;2.8;55.6;47.5;29.2;24.5
503;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2022;750.0;2.8;57.3;48.8;30.2;25.4
504;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2011;50.0;;;;;
505;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2012;50.0;;;;;
506;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2013;50.0;;;;;
507;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2014;100.0;;;;;
508;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2015;50.0;;;;;
509;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2016;100.0;;;;;
510;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2017;100.0;;;;;
511;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2018;100.0;;;;;
512;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2019;100.0;;;;;
513;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2020;100.0;;;;;
514;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2021;100.0;;;;;
515;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2022;100.0;;;;;
516;Type: Couple, at least 1 child >= 18 yrs;Saba;2011;50.0;;;;;
517;Type: Couple, at least 1 child >= 18 yrs;Saba;2012;50.0;;;;;
518;Type: Couple, at least 1 child >= 18 yrs;Saba;2013;50.0;;;;;
519;Type: Couple, at least 1 child >= 18 yrs;Saba;2014;50.0;;;;;
520;Type: Couple, at least 1 child >= 18 yrs;Saba;2015;50.0;;;;;
521;Type: Couple, at least 1 child >= 18 yrs;Saba;2016;50.0;;;;;
522;Type: Couple, at least 1 child >= 18 yrs;Saba;2017;50.0;;;;;
523;Type: Couple, at least 1 child >= 18 yrs;Saba;2018;50.0;;;;;
524;Type: Couple, at least 1 child >= 18 yrs;Saba;2019;50.0;;;;;
525;Type: Couple, at least 1 child >= 18 yrs;Saba;2020;50.0;;;;;
526;Type: Couple, at least 1 child >= 18 yrs;Saba;2021;50.0;;;;;
527;Type: Couple, at least 1 child >= 18 yrs;Saba;2022;50.0;;;;;
528;Type: Multi person household, n.e.c.;Caribbean Netherlands;2011;1500.0;2.5;40.1;34.3;19.6;17.1
529;Type: Multi person household, n.e.c.;Caribbean Netherlands;2012;1500.0;2.5;42.7;35.8;20.4;17.6
530;Type: Multi person household, n.e.c.;Caribbean Netherlands;2013;1550.0;2.5;42.6;35.9;20.6;17.6
531;Type: Multi person household, n.e.c.;Caribbean Netherlands;2014;1450.0;2.5;43.5;36.7;21.1;18.6
532;Type: Multi person household, n.e.c.;Caribbean Netherlands;2015;1500.0;2.5;44.5;37.0;21.5;18.6
533;Type: Multi person household, n.e.c.;Caribbean Netherlands;2016;1300.0;2.7;46.4;39.6;22.3;19.6
534;Type: Multi person household, n.e.c.;Caribbean Netherlands;2017;1250.0;2.7;47.3;39.7;23.3;20.1
535;Type: Multi person household, n.e.c.;Caribbean Netherlands;2018;1200.0;2.7;49.4;42.2;24.2;20.7
536;Type: Multi person household, n.e.c.;Caribbean Netherlands;2019;1200.0;2.7;51.5;44.2;25.2;22.2
537;Type: Multi person household, n.e.c.;Caribbean Netherlands;2020;1300.0;2.7;51.3;44.4;25.2;22.2
538;Type: Multi person household, n.e.c.;Caribbean Netherlands;2021;1350.0;2.7;52.9;44.7;26.2;22.3
539;Type: Multi person household, n.e.c.;Caribbean Netherlands;2022;1400.0;2.6;54.4;46.4;27.0;23.9
540;Type: Multi person household, n.e.c.;Bonaire;2011;1150.0;2.6;40.5;35.4;19.8;17.3
541;Type: Multi person household, n.e.c.;Bonaire;2012;1150.0;2.6;42.6;35.8;20.4;17.6
542;Type: Multi person household, n.e.c.;Bonaire;2013;1250.0;2.6;42.6;36.1;20.5;17.5
543;Type: Multi person household, n.e.c.;Bonaire;2014;1200.0;2.6;43.1;36.7;20.8;18.4
544;Type: Multi person household, n.e.c.;Bonaire;2015;1200.0;2.6;44.1;37.6;21.1;18.5
545;Type: Multi person household, n.e.c.;Bonaire;2016;1100.0;2.7;46.3;39.9;22.1;19.7
546;Type: Multi person household, n.e.c.;Bonaire;2017;1000.0;2.7;47.3;40.0;23.1;20.0
547;Type: Multi person household, n.e.c.;Bonaire;2018;950.0;2.7;49.2;42.1;24.0;20.5
548;Type: Multi person household, n.e.c.;Bonaire;2019;1000.0;2.7;51.3;43.9;25.0;21.8
549;Type: Multi person household, n.e.c.;Bonaire;2020;1100.0;2.7;50.6;43.7;24.7;21.6
550;Type: Multi person household, n.e.c.;Bonaire;2021;1100.0;2.7;53.0;44.4;26.1;22.0
551;Type: Multi person household, n.e.c.;Bonaire;2022;1150.0;2.7;53.9;46.0;26.7;23.5
552;Type: Multi person household, n.e.c.;St. Eustatius;2011;250.0;2.2;40.7;33.5;19.5;16.5
553;Type: Multi person household, n.e.c.;St. Eustatius;2012;250.0;2.2;45.7;40.5;21.3;18.6
554;Type: Multi person household, n.e.c.;St. Eustatius;2013;250.0;2.1;44.9;36.9;21.7;17.9
555;Type: Multi person household, n.e.c.;St. Eustatius;2014;250.0;2.2;47.6;38.7;23.1;19.8
556;Type: Multi person household, n.e.c.;St. Eustatius;2015;200.0;2.2;48.7;36.9;24.4;19.8
557;Type: Multi person household, n.e.c.;St. Eustatius;2016;150.0;2.3;48.4;35.6;23.8;18.2
558;Type: Multi person household, n.e.c.;St. Eustatius;2017;150.0;2.3;51.2;42.5;25.7;21.5
559;Type: Multi person household, n.e.c.;St. Eustatius;2018;150.0;2.4;51.9;42.7;26.1;21.1
560;Type: Multi person household, n.e.c.;St. Eustatius;2019;150.0;2.4;55.1;45.6;27.2;22.8
561;Type: Multi person household, n.e.c.;St. Eustatius;2020;150.0;2.4;55.1;45.1;27.0;23.5
562;Type: Multi person household, n.e.c.;St. Eustatius;2021;150.0;2.4;53.2;42.3;26.4;22.2
563;Type: Multi person household, n.e.c.;St. Eustatius;2022;150.0;2.4;58.0;46.3;29.0;23.8
564;Type: Multi person household, n.e.c.;Saba;2011;100.0;;;;;
565;Type: Multi person household, n.e.c.;Saba;2012;100.0;;;;;
566;Type: Multi person household, n.e.c.;Saba;2013;50.0;;;;;
567;Type: Multi person household, n.e.c.;Saba;2014;50.0;;;;;
568;Type: Multi person household, n.e.c.;Saba;2015;50.0;;;;;
569;Type: Multi person household, n.e.c.;Saba;2016;50.0;;;;;
570;Type: Multi person household, n.e.c.;Saba;2017;100.0;;;;;
571;Type: Multi person household, n.e.c.;Saba;2018;50.0;;;;;
572;Type: Multi person household, n.e.c.;Saba;2019;50.0;;;;;
573;Type: Multi person household, n.e.c.;Saba;2020;50.0;;;;;
574;Type: Multi person household, n.e.c.;Saba;2021;50.0;;;;;
575;Type: Multi person household, n.e.c.;Saba;2022;100.0;;;;;
576;Type: Single person with other people;Caribbean Netherlands;2011;600.0;2.3;34.5;27.3;17.8;15.2
577;Type: Single person with other people;Caribbean Netherlands;2012;550.0;2.3;36.6;29.9;18.4;15.9
578;Type: Single person with other people;Caribbean Netherlands;2013;600.0;2.3;36.7;30.1;18.9;15.8
579;Type: Single person with other people;Caribbean Netherlands;2014;600.0;2.3;38.0;31.5;19.3;16.4
580;Type: Single person with other people;Caribbean Netherlands;2015;600.0;2.3;39.6;32.2;20.4;17.5
581;Type: Single person with other people;Caribbean Netherlands;2016;500.0;2.5;39.8;33.3;20.3;17.6
582;Type: Single person with other people;Caribbean Netherlands;2017;500.0;2.4;41.1;34.7;21.8;19.3
583;Type: Single person with other people;Caribbean Netherlands;2018;450.0;2.3;40.5;33.7;21.6;18.6
584;Type: Single person with other people;Caribbean Netherlands;2019;450.0;2.4;41.8;35.2;21.8;19.0
585;Type: Single person with other people;Caribbean Netherlands;2020;500.0;2.3;42.5;36.2;22.7;19.9
586;Type: Single person with other people;Caribbean Netherlands;2021;550.0;2.4;43.8;37.4;23.6;20.3
