ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;Deeltijd0Tot12Uur_2;Deeltijd12Tot35Uur_3;Voltijders_4;GemiddeldeArbeidsduur_5;Baan12UurPerWeek_6;Baan12UurPerWeek_7;Baan1UurPerWeek_8;TotaalWerknemers_9;VasteArbeidsrelatie_10;FlexibeleArbeidsrelatie_11;VasteArbeidsrelatie_12;FlexibeleArbeidsrelatie_13;TotaalZelfstandigen_14;MetPersoneel_15;ZonderPersoneel_16;MetPersoneel_17;ZonderPersoneel_18;PersonenMetVoortdurendEenBaan_19;PersonenMetMeerDanEenBaan_20;PersonenMetUitkering_21
610;Totaal mannen en vrouwen;47 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
611;Totaal mannen en vrouwen;47 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
612;Totaal mannen en vrouwen;47 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
613;Totaal mannen en vrouwen;47 jaar;1935 tot 1940;66.2;7.2;19.9;72.8;36.4;;;;84.1;;;;;15.9;;;;;;;
614;Totaal mannen en vrouwen;47 jaar;1940 tot 1945;67.9;8.2;23.9;67.9;35.1;14.6;;;83.3;75.7;7.4;91.1;8.9;16.7;8.0;8.8;;;;;
615;Totaal mannen en vrouwen;47 jaar;1945 tot 1950;72.8;7.3;25.8;67.0;35.0;14.2;;;84.1;76.4;7.7;90.9;9.1;15.9;7.5;8.4;47.1;52.9;;;
616;Totaal mannen en vrouwen;47 jaar;1950 tot 1955;77.8;6.3;30.9;62.8;34.1;13.5;;;84.8;76.3;8.5;89.9;10.1;15.2;6.6;8.6;43.4;56.6;;;14.0
617;Totaal mannen en vrouwen;47 jaar;1955 tot 1960;81.0;5.6;36.2;58.2;33.4;12.6;;;84.2;77.1;7.1;91.6;8.4;15.8;6.1;9.8;38.4;61.6;57.0;29.0;14.0
618;Totaal mannen en vrouwen;47 jaar;1960 tot 1965;84.5;4.3;37.9;57.9;33.9;12.4;;12.2;82.2;74.2;8.0;90.3;9.7;17.8;6.4;11.4;36.0;64.0;55.0;34.0;13.0
619;Totaal mannen en vrouwen;47 jaar;1965 tot 1970;82.8;4.4;38.3;57.2;33.9;12.6;7.5;12.4;79.4;71.5;9.9;87.9;12.1;20.6;6.5;14.1;31.4;68.6;;;
620;Totaal mannen en vrouwen;47 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
621;Totaal mannen en vrouwen;47 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
622;Totaal mannen en vrouwen;47 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
623;Totaal mannen en vrouwen;47 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
624;Totaal mannen en vrouwen;47 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
625;Totaal mannen en vrouwen;47 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
626;Totaal mannen en vrouwen;47 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
627;Totaal mannen en vrouwen;48 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
628;Totaal mannen en vrouwen;48 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
629;Totaal mannen en vrouwen;48 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
630;Totaal mannen en vrouwen;48 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
631;Totaal mannen en vrouwen;48 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
632;Totaal mannen en vrouwen;48 jaar;1935 tot 1940;64.6;9.0;21.0;70.1;35.6;;;;81.8;;;;;18.2;;;;;;;
633;Totaal mannen en vrouwen;48 jaar;1940 tot 1945;67.8;7.1;23.6;69.3;35.3;15.0;;;83.2;77.7;6.1;92.7;7.3;16.8;7.2;9.0;44.5;55.5;;;
634;Totaal mannen en vrouwen;48 jaar;1945 tot 1950;72.9;7.4;26.1;66.5;35.0;15.0;;;83.9;75.6;8.3;90.2;9.8;16.1;7.8;8.3;48.2;51.8;;;
635;Totaal mannen en vrouwen;48 jaar;1950 tot 1955;78.0;6.5;31.5;62.0;33.9;13.9;;;84.5;76.9;7.6;91.1;8.9;15.5;6.8;8.7;43.8;56.2;55.0;30.0;15.0
636;Totaal mannen en vrouwen;48 jaar;1955 tot 1960;81.3;5.5;35.6;58.8;33.4;13.4;;;84.5;77.6;6.9;91.8;8.2;15.5;5.9;9.6;37.9;62.1;57.0;29.0;15.0
637;Totaal mannen en vrouwen;48 jaar;1960 tot 1965;83.9;4.4;37.5;58.1;33.7;13.0;7.3;12.9;82.7;74.6;8.1;90.2;9.8;17.3;6.1;11.3;35.1;64.9;;;
638;Totaal mannen en vrouwen;48 jaar;1965 tot 1970;83.4;4.6;37.3;58.1;33.8;13.0;8.0;12.8;79.2;74.2;10.6;87.5;12.5;20.8;6.5;14.3;31.2;68.8;;;
639;Totaal mannen en vrouwen;48 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
640;Totaal mannen en vrouwen;48 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
641;Totaal mannen en vrouwen;48 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
642;Totaal mannen en vrouwen;48 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
643;Totaal mannen en vrouwen;48 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
644;Totaal mannen en vrouwen;48 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
645;Totaal mannen en vrouwen;48 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
646;Totaal mannen en vrouwen;49 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
647;Totaal mannen en vrouwen;49 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
648;Totaal mannen en vrouwen;49 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
649;Totaal mannen en vrouwen;49 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
650;Totaal mannen en vrouwen;49 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
651;Totaal mannen en vrouwen;49 jaar;1935 tot 1940;64.5;9.4;22.2;68.5;34.7;;;;83.2;;;;;16.8;;;;;;;
652;Totaal mannen en vrouwen;49 jaar;1940 tot 1945;67.7;8.6;22.8;68.5;35.3;16.0;;;81.8;75.5;6.4;92.2;7.8;18.2;9.2;9.0;50.5;49.5;;;
653;Totaal mannen en vrouwen;49 jaar;1945 tot 1950;72.3;7.0;26.7;66.3;35.0;15.5;;;83.8;76.3;7.4;91.1;8.9;16.2;7.6;8.6;46.9;53.1;;;
654;Totaal mannen en vrouwen;49 jaar;1950 tot 1955;77.6;6.0;32.1;61.9;33.9;14.4;;;84.5;77.6;6.9;91.8;8.2;15.5;6.1;9.4;39.1;60.9;55.0;29.0;16.0
655;Totaal mannen en vrouwen;49 jaar;1955 tot 1960;80.8;5.2;36.6;58.2;33.6;13.9;;;83.7;77.0;6.7;92.0;8.0;16.3;6.2;10.1;38.0;62.0;57.0;29.0;14.0
656;Totaal mannen en vrouwen;49 jaar;1960 tot 1965;82.4;4.5;37.6;57.9;33.8;13.5;8.4;13.4;81.8;73.5;8.2;89.9;10.1;18.2;6.4;11.8;35.0;65.0;;;
657;Totaal mannen en vrouwen;49 jaar;1965 tot 1970;82.6;4.1;37.7;58.2;33.9;13.6;7.7;13.3;79.5;78.2;10.9;87.8;12.2;20.5;6.1;14.4;29.7;70.3;;;
658;Totaal mannen en vrouwen;49 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
659;Totaal mannen en vrouwen;49 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
660;Totaal mannen en vrouwen;49 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
661;Totaal mannen en vrouwen;49 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
662;Totaal mannen en vrouwen;49 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
663;Totaal mannen en vrouwen;49 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
664;Totaal mannen en vrouwen;49 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
665;Totaal mannen en vrouwen;50 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
666;Totaal mannen en vrouwen;50 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
667;Totaal mannen en vrouwen;50 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
668;Totaal mannen en vrouwen;50 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
669;Totaal mannen en vrouwen;50 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
670;Totaal mannen en vrouwen;50 jaar;1935 tot 1940;60.3;8.8;22.8;68.5;35.4;;;;80.7;;;;;19.3;;;;;;;
671;Totaal mannen en vrouwen;50 jaar;1940 tot 1945;66.0;8.1;23.7;68.2;35.3;16.6;;;83.2;76.3;6.9;91.7;8.3;16.8;8.2;8.6;48.8;51.2;;;
672;Totaal mannen en vrouwen;50 jaar;1945 tot 1950;71.1;7.4;25.6;67.1;34.9;16.2;;;83.3;75.5;7.8;90.7;9.3;16.7;7.1;9.6;42.8;57.2;;;
673;Totaal mannen en vrouwen;50 jaar;1950 tot 1955;77.2;6.7;32.5;60.7;33.6;15.1;;;83.9;77.5;6.5;92.3;7.7;16.1;6.9;9.1;43.1;56.9;55.0;27.0;17.0
674;Totaal mannen en vrouwen;50 jaar;1955 tot 1960;81.0;5.5;36.5;58.0;33.5;14.3;;;83.1;76.2;6.9;91.7;8.3;16.9;6.1;10.8;36.1;63.9;56.0;30.0;15.0
675;Totaal mannen en vrouwen;50 jaar;1960 tot 1965;80.7;4.9;37.4;57.7;33.5;14.2;8.0;13.9;81.2;72.9;8.3;89.8;10.2;18.8;6.2;12.6;33.2;66.8;;;
676;Totaal mannen en vrouwen;50 jaar;1965 tot 1970;82.9;3.7;38.1;58.2;34.3;13.9;8.8;13.7;79.0;82.2;10.7;88.4;11.6;21.0;6.2;14.8;29.7;70.3;;;
677;Totaal mannen en vrouwen;50 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
678;Totaal mannen en vrouwen;50 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
679;Totaal mannen en vrouwen;50 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
680;Totaal mannen en vrouwen;50 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
681;Totaal mannen en vrouwen;50 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
682;Totaal mannen en vrouwen;50 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
683;Totaal mannen en vrouwen;50 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
684;Totaal mannen en vrouwen;51 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
685;Totaal mannen en vrouwen;51 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
686;Totaal mannen en vrouwen;51 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
687;Totaal mannen en vrouwen;51 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
688;Totaal mannen en vrouwen;51 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
689;Totaal mannen en vrouwen;51 jaar;1935 tot 1940;59.1;8.7;21.2;70.1;35.4;;;;81.2;;;;;18.8;;;;;;;
690;Totaal mannen en vrouwen;51 jaar;1940 tot 1945;64.3;7.7;23.1;69.2;35.5;17.3;;;82.6;75.9;6.7;91.9;8.1;17.4;7.8;9.6;45.0;55.0;;;
691;Totaal mannen en vrouwen;51 jaar;1945 tot 1950;71.6;7.7;26.8;65.4;34.6;16.8;;;83.3;75.7;7.6;90.9;9.1;16.7;7.8;8.9;46.5;53.5;;;
692;Totaal mannen en vrouwen;51 jaar;1950 tot 1955;75.6;6.9;33.1;60.0;33.5;15.3;;;83.1;77.0;6.1;92.7;7.3;16.9;7.1;9.8;41.9;58.1;55.0;25.0;17.0
693;Totaal mannen en vrouwen;51 jaar;1955 tot 1960;80.5;5.2;36.4;58.4;33.7;15.0;;14.7;82.5;75.9;6.6;92.0;8.0;17.5;6.3;11.2;36.1;63.9;55.0;30.0;15.0
694;Totaal mannen en vrouwen;51 jaar;1960 tot 1965;80.0;5.1;37.5;57.4;33.4;14.8;9.1;14.6;80.7;72.7;8.0;90.1;9.9;19.3;6.3;12.9;32.9;67.1;;;
695;Totaal mannen en vrouwen;51 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
696;Totaal mannen en vrouwen;51 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
697;Totaal mannen en vrouwen;51 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
698;Totaal mannen en vrouwen;51 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
699;Totaal mannen en vrouwen;51 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
700;Totaal mannen en vrouwen;51 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
701;Totaal mannen en vrouwen;51 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
702;Totaal mannen en vrouwen;51 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
703;Totaal mannen en vrouwen;52 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
704;Totaal mannen en vrouwen;52 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
705;Totaal mannen en vrouwen;52 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
706;Totaal mannen en vrouwen;52 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
707;Totaal mannen en vrouwen;52 jaar;1930 tot 1935;57.3;8.2;20.3;71.5;36.3;;;;80.4;;;;;19.6;;;;;;;
708;Totaal mannen en vrouwen;52 jaar;1935 tot 1940;58.7;9.8;20.7;69.4;35.2;17.9;;;80.5;76.0;6.0;92.7;7.3;19.5;8.9;9.1;;;;;
709;Totaal mannen en vrouwen;52 jaar;1940 tot 1945;63.4;7.7;23.9;68.4;35.4;18.2;;;81.0;74.2;6.8;91.6;8.4;19.0;8.7;10.2;46.1;53.9;;;
710;Totaal mannen en vrouwen;52 jaar;1945 tot 1950;71.2;7.5;28.6;63.8;34.3;17.1;;;83.0;75.9;7.1;91.5;8.5;17.0;7.9;9.2;46.2;53.8;;;18.0
711;Totaal mannen en vrouwen;52 jaar;1950 tot 1955;74.3;6.8;33.6;59.6;33.3;16.2;;;83.6;77.2;6.5;92.3;7.7;16.4;6.8;9.6;41.4;58.6;54.0;24.0;18.0
712;Totaal mannen en vrouwen;52 jaar;1955 tot 1960;79.9;5.4;37.0;57.6;33.4;15.5;;15.1;82.7;75.6;7.1;91.4;8.6;17.3;6.0;11.4;34.5;65.5;55.0;29.0;16.0
713;Totaal mannen en vrouwen;52 jaar;1960 tot 1965;79.7;5.2;37.8;57.1;33.6;15.7;8.7;15.4;79.8;73.2;8.3;89.8;10.2;20.2;6.4;13.8;31.8;68.2;;;
714;Totaal mannen en vrouwen;52 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
715;Totaal mannen en vrouwen;52 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
716;Totaal mannen en vrouwen;52 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
717;Totaal mannen en vrouwen;52 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
718;Totaal mannen en vrouwen;52 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
719;Totaal mannen en vrouwen;52 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
720;Totaal mannen en vrouwen;52 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
721;Totaal mannen en vrouwen;52 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
722;Totaal mannen en vrouwen;53 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
723;Totaal mannen en vrouwen;53 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
724;Totaal mannen en vrouwen;53 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
725;Totaal mannen en vrouwen;53 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
726;Totaal mannen en vrouwen;53 jaar;1930 tot 1935;54.1;9.4;20.9;69.7;35.7;;;;79.0;;;;;21.0;;;;;;;
727;Totaal mannen en vrouwen;53 jaar;1935 tot 1940;57.9;9.1;21.8;69.1;35.3;18.6;;;80.5;74.9;6.7;91.8;8.2;19.5;8.9;9.6;48.1;51.9;;;
728;Totaal mannen en vrouwen;53 jaar;1940 tot 1945;63.6;8.7;24.4;66.8;34.6;18.7;;;81.4;75.0;6.4;92.1;7.9;18.6;8.2;10.4;43.9;56.1;;;
729;Totaal mannen en vrouwen;53 jaar;1945 tot 1950;68.7;7.2;28.6;64.2;34.1;17.7;;;82.9;75.5;7.4;91.1;8.9;17.1;7.6;9.5;44.4;55.6;51.0;24.0;19.0
730;Totaal mannen en vrouwen;53 jaar;1950 tot 1955;74.4;6.7;34.3;59.0;33.1;16.9;;;83.2;76.7;6.5;92.2;7.8;16.8;6.6;10.2;39.1;60.9;54.0;24.0;19.0
731;Totaal mannen en vrouwen;53 jaar;1955 tot 1960;79.2;5.5;37.8;56.6;33.1;16.1;8.6;15.8;82.2;74.9;7.3;91.1;8.9;17.8;5.8;12.0;32.4;67.6;;;
732;Totaal mannen en vrouwen;53 jaar;1960 tot 1965;79.3;4.9;38.2;56.9;33.7;16.2;9.3;15.8;78.7;75.4;9.3;89.0;11.0;21.3;6.3;15.0;29.7;70.3;;;
733;Totaal mannen en vrouwen;53 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
734;Totaal mannen en vrouwen;53 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
735;Totaal mannen en vrouwen;53 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
736;Totaal mannen en vrouwen;53 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
737;Totaal mannen en vrouwen;53 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
738;Totaal mannen en vrouwen;53 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
739;Totaal mannen en vrouwen;53 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
740;Totaal mannen en vrouwen;53 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
741;Totaal mannen en vrouwen;54 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
742;Totaal mannen en vrouwen;54 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
743;Totaal mannen en vrouwen;54 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
744;Totaal mannen en vrouwen;54 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
745;Totaal mannen en vrouwen;54 jaar;1930 tot 1935;52.4;8.8;21.2;70.0;35.8;;;;78.9;;;;;21.1;;;;;;;
746;Totaal mannen en vrouwen;54 jaar;1935 tot 1940;55.4;8.8;22.6;68.6;35.2;19.6;;;80.0;74.1;6.1;92.4;7.6;20.0;8.9;10.9;45.1;54.9;;;
747;Totaal mannen en vrouwen;54 jaar;1940 tot 1945;62.1;7.6;25.6;66.8;34.8;19.2;;;81.2;74.7;6.5;92.0;8.0;18.8;7.8;11.0;41.6;58.4;;;
748;Totaal mannen en vrouwen;54 jaar;1945 tot 1950;67.9;8.0;28.4;63.6;33.9;18.2;;;82.0;74.6;7.4;90.9;9.1;18.0;7.4;10.5;41.5;58.5;50.0;22.0;20.0
749;Totaal mannen en vrouwen;54 jaar;1950 tot 1955;73.7;6.2;34.6;59.2;33.3;17.2;;;82.2;75.8;6.4;92.2;7.8;17.8;7.1;10.7;39.7;60.3;53.0;24.0;19.0
750;Totaal mannen en vrouwen;54 jaar;1955 tot 1960;77.6;6.0;37.6;56.4;33.0;17.0;8.8;16.6;81.8;74.9;6.8;91.6;8.4;18.2;6.0;12.2;32.8;67.2;;;
751;Totaal mannen en vrouwen;54 jaar;1960 tot 1965;78.9;4.6;38.7;56.8;33.7;16.7;10.0;16.4;79.4;78.7;10.5;88.2;11.8;20.6;5.8;14.8;28.3;71.7;;;
752;Totaal mannen en vrouwen;54 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
753;Totaal mannen en vrouwen;54 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
754;Totaal mannen en vrouwen;54 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
755;Totaal mannen en vrouwen;54 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
756;Totaal mannen en vrouwen;54 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
757;Totaal mannen en vrouwen;54 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
758;Totaal mannen en vrouwen;54 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
759;Totaal mannen en vrouwen;54 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
760;Totaal mannen en vrouwen;55 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
761;Totaal mannen en vrouwen;55 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
762;Totaal mannen en vrouwen;55 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
763;Totaal mannen en vrouwen;55 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
764;Totaal mannen en vrouwen;55 jaar;1930 tot 1935;49.9;9.2;21.3;69.5;35.1;;;;79.3;;;;;20.7;;;;;;;
765;Totaal mannen en vrouwen;55 jaar;1935 tot 1940;52.3;8.9;24.1;66.9;34.8;20.3;;;79.0;73.8;5.2;93.4;6.6;21.0;8.8;12.2;41.9;58.1;;;
766;Totaal mannen en vrouwen;55 jaar;1940 tot 1945;59.0;8.0;25.7;66.2;35.0;19.8;;;80.7;73.6;7.1;91.2;8.8;19.3;7.8;11.5;40.4;59.6;;;
767;Totaal mannen en vrouwen;55 jaar;1945 tot 1950;64.0;8.4;31.4;60.2;33.2;19.2;;;81.9;76.0;5.8;92.9;7.1;18.1;7.3;10.9;40.1;59.9;49.0;21.0;21.0
768;Totaal mannen en vrouwen;55 jaar;1950 tot 1955;73.2;7.0;35.8;57.3;33.1;17.9;;;81.9;75.1;6.8;91.7;8.3;18.1;6.3;11.8;34.9;65.1;52.0;25.0;19.0
769;Totaal mannen en vrouwen;55 jaar;1955 tot 1960;76.2;5.6;38.1;56.3;33.0;17.7;10.1;17.3;81.3;74.4;6.9;91.5;8.5;18.7;6.1;12.6;32.8;67.2;;;
770;Totaal mannen en vrouwen;55 jaar;1960 tot 1965;78.7;4.4;39.2;56.4;33.7;16.7;10.4;16.4;79.2;83.1;10.3;89.0;11.0;20.8;6.0;14.8;28.8;71.2;;;
771;Totaal mannen en vrouwen;55 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
772;Totaal mannen en vrouwen;55 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
773;Totaal mannen en vrouwen;55 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
774;Totaal mannen en vrouwen;55 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
775;Totaal mannen en vrouwen;55 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
776;Totaal mannen en vrouwen;55 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
777;Totaal mannen en vrouwen;55 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
778;Totaal mannen en vrouwen;55 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
779;Totaal mannen en vrouwen;56 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
780;Totaal mannen en vrouwen;56 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
781;Totaal mannen en vrouwen;56 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
782;Totaal mannen en vrouwen;56 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
783;Totaal mannen en vrouwen;56 jaar;1930 tot 1935;46.4;9.9;22.3;67.9;34.7;;;;79.8;;;;;20.2;;;;;;;
784;Totaal mannen en vrouwen;56 jaar;1935 tot 1940;48.8;8.9;23.8;67.3;35.0;20.6;;;79.3;72.5;6.8;91.4;8.6;20.7;8.6;12.1;41.3;58.7;;;
785;Totaal mannen en vrouwen;56 jaar;1940 tot 1945;55.2;9.0;27.4;63.6;34.2;20.1;;;81.0;74.1;6.9;91.4;8.6;19.0;8.2;10.8;43.2;56.8;;;
786;Totaal mannen en vrouwen;56 jaar;1945 tot 1950;62.7;8.7;34.5;56.9;32.5;19.6;;;81.8;75.9;5.8;92.9;7.1;18.2;6.4;11.9;35.0;65.0;47.0;20.0;22.0
787;Totaal mannen en vrouwen;56 jaar;1950 tot 1955;71.4;7.1;36.7;56.3;32.8;18.7;;18.2;82.2;75.8;6.4;92.2;7.8;17.8;5.7;12.1;32.0;68.0;50.0;25.0;20.0
788;Totaal mannen en vrouwen;56 jaar;1955 tot 1960;74.5;5.5;37.6;56.9;33.2;18.6;10.2;18.2;80.0;72.8;7.2;91.0;9.0;20.0;6.4;13.6;32.1;67.9;;;
789;Totaal mannen en vrouwen;56 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
790;Totaal mannen en vrouwen;56 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
791;Totaal mannen en vrouwen;56 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
792;Totaal mannen en vrouwen;56 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
793;Totaal mannen en vrouwen;56 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
794;Totaal mannen en vrouwen;56 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
795;Totaal mannen en vrouwen;56 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
796;Totaal mannen en vrouwen;56 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
797;Totaal mannen en vrouwen;56 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
798;Totaal mannen en vrouwen;57 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
799;Totaal mannen en vrouwen;57 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
800;Totaal mannen en vrouwen;57 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
801;Totaal mannen en vrouwen;57 jaar;1925 tot 1930;42.0;8.6;22.4;69.0;35.4;;;;80.0;;;;;20.0;;;;;;;
802;Totaal mannen en vrouwen;57 jaar;1930 tot 1935;42.9;10.4;21.8;67.8;34.7;22.0;;;78.1;72.4;5.9;92.5;7.5;21.9;7.2;14.5;;;;;
803;Totaal mannen en vrouwen;57 jaar;1935 tot 1940;43.0;11.0;26.0;63.0;34.2;21.7;;;76.1;71.1;5.0;93.4;6.6;23.9;9.5;14.4;39.7;60.3;;;
804;Totaal mannen en vrouwen;57 jaar;1940 tot 1945;51.8;8.9;30.7;60.4;33.3;21.0;;;80.6;74.6;6.0;92.6;7.4;19.4;7.0;12.4;35.9;64.1;;;25.0
