ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;HappinessScore_1;Unhappy_2;NotHappyNotUnhappy_3;Happy_4;ScoreSatisfactionWithLife_5;Dissatisfied_6;NotSatisfiedNotDissatisfied_7;Satisfied_8;ScoreSatisfactionEducationOpportun_9;Dissatisfied_10;NotSatisfiedNotDissatisfied_11;Satisfied_12;ScoreSatisfactionWorkDailyActivit_13;Dissatisfied_14;NotSatisfiedNotDissatisfied_15;Satisfied_16;ScoreSatisfactionFinancialSituation_17;Dissatisfied_18;NotSatisfiedNotDissatisfied_19;Satisfied_20
155;Level of education: Low;Reliability margin;Bonaire;2017/2018;0.1;1.0;2.9;3.0;0.1;1.0;2.9;3.0;0.2;1.9;3.8;4.0;0.1;1.5;3.1;3.4;0.2;2.4;3.9;4.2
156;Level of education: Low;Reliability margin;St. Eustatius;2013;0.4;4.5;6.8;7.9;0.4;;6.9;7.7;;;;;;;;;;;;
157;Level of education: Low;Reliability margin;St. Eustatius;2017/2018;0.2;;3.7;4.0;0.2;1.8;4.4;4.6;0.2;2.4;5.9;6.1;0.2;3.0;5.1;5.5;0.2;3.6;5.9;6.2
158;Level of education: Low;Reliability margin;Saba;2013;0.4;;9.3;9.3;0.5;;9.7;10.4;;;;;;;;;;;;
159;Level of education: Low;Reliability margin;Saba;2017/2018;0.3;;4.8;5.3;0.3;;5.0;5.6;0.4;6.2;8.1;9.2;0.3;;6.0;6.6;0.4;6.5;9.0;9.6
160;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2013;8.1;1.4;7.2;91.3;7.9;3.5;9.9;86.6;;;;;;;;;;;;
161;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2017/2018;8.2;1.7;5.2;93.2;8.1;1.5;6.6;91.9;8.1;2.4;10.7;86.9;7.9;2.9;11.2;86.0;7.4;5.3;18.8;75.9
162;Level of education: Intermediate/High;Percentage/average;Bonaire;2013;8.1;;7.1;91.8;7.9;3.2;10.2;86.6;;;;;;;;;;;;
163;Level of education: Intermediate/High;Percentage/average;Bonaire;2017/2018;8.2;1.5;4.3;94.3;8.1;1.6;5.3;93.2;8.0;1.3;10.9;87.8;8.0;1.8;10.2;88.0;7.5;2.8;16.6;80.6
164;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
165;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2017/2018;8.2;;6.6;91.0;8.2;;10.2;89.8;7.9;4.8;12.3;82.9;7.8;3.8;15.4;80.8;7.6;4.5;22.9;72.6
166;Level of education: Intermediate/High;Percentage/average;Saba;2013;7.9;;10.6;89.4;7.9;;10.1;87.1;;;;;;;;;;;;
167;Level of education: Intermediate/High;Percentage/average;Saba;2017/2018;8.3;;6.8;91.6;8.1;;7.8;89.7;8.2;3.6;8.7;87.7;7.7;5.3;10.4;84.3;6.9;13.5;22.1;64.5
168;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2013;0.1;1.1;2.4;2.6;0.2;1.7;2.7;3.1;;;;;;;;;;;;
169;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;0.9;1.6;1.9;0.1;0.9;1.8;2.0;0.1;1.1;2.3;2.5;0.1;1.2;2.3;2.5;0.1;1.6;2.9;3.1
170;Level of education: Intermediate/High;Reliability margin;Bonaire;2013;0.1;;2.7;2.9;0.2;1.9;3.2;3.6;;;;;;;;;;;;
171;Level of education: Intermediate/High;Reliability margin;Bonaire;2017/2018;0.1;1.1;1.9;2.2;0.1;1.2;2.1;2.4;0.1;1.1;2.9;3.1;0.1;1.3;2.8;3.0;0.1;1.5;3.5;3.7
172;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
173;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2017/2018;0.3;;4.4;5.1;0.2;;5.3;5.3;0.3;3.8;5.8;6.7;0.3;3.4;6.3;6.9;0.3;3.7;7.4;7.9
174;Level of education: Intermediate/High;Reliability margin;Saba;2013;0.3;;6.6;6.6;0.4;;6.5;7.3;;;;;;;;;;;;
175;Level of education: Intermediate/High;Reliability margin;Saba;2017/2018;0.2;;4.1;4.5;0.2;;4.4;4.9;0.3;3.1;4.6;5.4;0.3;3.6;5.0;5.9;0.4;5.6;6.8;7.8
176;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2013;8.1;1.3;7.5;91.2;7.8;2.8;10.4;86.8;;;;;;;;;;;;
177;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2017/2018;8.2;1.7;5.3;93.1;8.2;1.7;5.6;92.6;7.8;2.6;11.4;86.0;8.1;2.0;9.5;88.5;7.3;5.5;20.2;74.3
178;Level of education: Intermediate;Percentage/average;Bonaire;2013;8.1;;8.2;90.7;7.8;2.7;11.4;85.9;;;;;;;;;;;;
179;Level of education: Intermediate;Percentage/average;Bonaire;2017/2018;8.1;1.8;4.6;93.7;8.2;;5.2;93.5;7.9;;12.2;86.9;8.2;;8.6;91.0;7.4;4.3;18.1;77.6
180;Level of education: Intermediate;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
181;Level of education: Intermediate;Percentage/average;St. Eustatius;2017/2018;8.2;;5.9;92.2;8.3;;7.8;92.2;7.8;;10.1;85.0;7.9;;16.4;80.4;7.3;6.3;24.3;69.4
182;Level of education: Intermediate;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;
183;Level of education: Intermediate;Percentage/average;Saba;2017/2018;8.4;;7.8;91.5;8.0;;;89.3;7.7;7.4;9.3;83.3;7.7;7.8;;87.8;6.9;9.7;24.1;66.3
184;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2013;0.2;1.3;3.0;3.3;0.2;1.9;3.5;3.9;;;;;;;;;;;;
185;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;1.2;2.2;2.5;0.1;1.3;2.2;2.5;0.1;1.5;3.1;3.4;0.1;1.4;2.8;3.1;0.2;2.2;3.9;4.2
186;Level of education: Intermediate;Reliability margin;Bonaire;2013;0.2;;3.5;3.7;0.2;2.1;4.1;4.5;;;;;;;;;;;;
187;Level of education: Intermediate;Reliability margin;Bonaire;2017/2018;0.2;1.6;2.5;2.9;0.2;;2.6;2.9;0.2;;3.9;4.0;0.2;;3.4;3.4;0.2;2.4;4.6;5.0
188;Level of education: Intermediate;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
189;Level of education: Intermediate;Reliability margin;St. Eustatius;2017/2018;0.4;;5.3;6.1;0.3;;6.0;6.0;0.3;;6.8;8.1;0.3;;8.3;8.9;0.4;5.5;9.6;10.4
190;Level of education: Intermediate;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;
191;Level of education: Intermediate;Reliability margin;Saba;2017/2018;0.4;;6.7;7.0;0.4;;;7.7;0.5;6.6;7.4;9.4;0.5;6.7;;8.2;0.5;7.4;10.7;11.8
192;Level of education: High;Percentage/average;Caribbean Netherlands ;2013;8.2;;6.8;91.6;7.9;4.6;9.2;86.2;;;;;;;;;;;;
193;Level of education: High;Percentage/average;Caribbean Netherlands ;2017/2018;8.2;1.7;5.0;93.3;8.1;;8.0;90.8;8.4;2.1;9.8;88.2;7.8;4.0;13.5;82.5;7.6;5.0;17.0;78.0
194;Level of education: High;Percentage/average;Bonaire;2013;8.3;;4.9;94.2;8.0;4.3;7.6;88.1;;;;;;;;;;;;
195;Level of education: High;Percentage/average;Bonaire;2017/2018;8.2;;3.8;95.2;8.0;;5.5;92.5;8.3;;8.9;89.2;7.8;4.1;12.7;83.2;7.8;;14.2;85.3
196;Level of education: High;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
197;Level of education: High;Percentage/average;St. Eustatius;2017/2018;8.1;;;89.2;8.2;;14.0;86.0;8.1;;15.7;79.6;7.8;;13.8;81.3;8.0;;20.8;77.7
198;Level of education: High;Percentage/average;Saba;2013;7.9;;13.1;86.9;7.8;;9.6;86.5;;;;;;;;;;;;
199;Level of education: High;Percentage/average;Saba;2017/2018;8.2;;6.0;91.6;8.3;;9.9;90.1;8.7;;8.2;91.0;7.8;;14.8;81.8;7.0;16.4;20.6;63.1
200;Level of education: High;Reliability margin;Caribbean Netherlands ;2013;0.2;;3.7;4.1;0.2;3.1;4.3;5.1;;;;;;;;;;;;
201;Level of education: High;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;1.5;2.5;2.8;0.1;;3.1;3.3;0.2;1.6;3.3;3.6;0.2;2.2;3.8;4.3;0.2;2.5;4.2;4.7
202;Level of education: High;Reliability margin;Bonaire;2013;0.2;;4.0;4.4;0.3;3.8;4.9;6.0;;;;;;;;;;;;
203;Level of education: High;Reliability margin;Bonaire;2017/2018;0.2;;2.9;3.2;0.2;;3.4;3.9;0.2;;4.3;4.6;0.2;3.0;5.0;5.6;0.2;;5.2;5.3
204;Level of education: High;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
205;Level of education: High;Reliability margin;St. Eustatius;2017/2018;0.4;;;8.9;0.4;;10.0;10.0;0.6;;10.4;11.6;0.5;;9.9;11.2;0.4;;11.6;11.9
206;Level of education: High;Reliability margin;Saba;2013;0.4;;8.7;8.7;0.5;;7.5;8.8;;;;;;;;;;;;
207;Level of education: High;Reliability margin;Saba;2017/2018;0.3;;5.1;6.0;0.3;;6.4;6.4;0.3;;5.9;6.2;0.4;;7.7;8.3;0.6;8.0;8.7;10.4
