ID;Countries;Periods;TotalMenAndWomen_1;Men_2;Women_3;Unknown_4;AllAges_5;YoungerThan15Years_6;k_15To17Years_7;k_18YearsOrOlder_8
606;Bulgaria;2007 1st quarter;0.0;;0.0;;0.0;;;0.0
607;Bulgaria;2007 2nd quarter;;;;;;;;
608;Bulgaria;2007 3rd quarter;;;;;;;;
609;Bulgaria;2007 4th quarter;;;;;;;;
610;Bulgaria;2007;0.0;;0.0;;0.0;;;0.0
611;Bulgaria;2008 1st quarter;;;;;;;;
612;China;1998 1st quarter;180.0;120.0;60.0;;180.0;30.0;110.0;40.0
613;China;1998 2nd quarter;220.0;140.0;80.0;;220.0;40.0;150.0;30.0
614;China;1998 3rd quarter;230.0;140.0;90.0;;230.0;50.0;140.0;40.0
615;China;1998 4th quarter;280.0;200.0;80.0;0.0;280.0;40.0;160.0;80.0
616;China;1998;920.0;600.0;320.0;0.0;920.0;170.0;550.0;200.0
617;China;1999 1st quarter;220.0;150.0;70.0;0.0;220.0;90.0;110.0;30.0
618;China;1999 2nd quarter;260.0;170.0;90.0;0.0;260.0;80.0;130.0;40.0
619;China;1999 3rd quarter;330.0;200.0;120.0;0.0;330.0;90.0;180.0;60.0
620;China;1999 4th quarter;430.0;260.0;170.0;10.0;430.0;120.0;240.0;70.0
621;China;1999;1250.0;780.0;450.0;10.0;1250.0;380.0;660.0;200.0
622;China;2000 1st quarter;320.0;180.0;130.0;10.0;320.0;110.0;170.0;40.0
623;China;2000 2nd quarter;370.0;210.0;150.0;0.0;370.0;110.0;180.0;70.0
624;China;2000 3rd quarter;390.0;260.0;120.0;10.0;390.0;110.0;220.0;70.0
625;China;2000 4th quarter;310.0;200.0;120.0;0.0;310.0;60.0;170.0;80.0
626;China;2000;1390.0;850.0;510.0;30.0;1390.0;380.0;750.0;260.0
627;China;2001 1st quarter;240.0;130.0;110.0;0.0;240.0;70.0;120.0;50.0
628;China;2001 2nd quarter;160.0;100.0;50.0;10.0;160.0;30.0;70.0;60.0
629;China;2001 3rd quarter;150.0;100.0;50.0;0.0;150.0;30.0;40.0;80.0
630;China;2001 4th quarter;150.0;80.0;60.0;10.0;150.0;20.0;50.0;90.0
631;China;2001;710.0;410.0;270.0;30.0;710.0;150.0;280.0;280.0
632;China;2002 1st quarter;160.0;100.0;50.0;10.0;160.0;30.0;50.0;80.0
633;China;2002 2nd quarter;190.0;90.0;70.0;30.0;190.0;20.0;60.0;100.0
634;China;2002 3rd quarter;120.0;70.0;40.0;10.0;120.0;20.0;40.0;60.0
635;China;2002 4th quarter;70.0;40.0;20.0;10.0;70.0;10.0;30.0;40.0
636;China;2002;540.0;290.0;190.0;60.0;540.0;80.0;190.0;280.0
637;China;2003 1st quarter;50.0;40.0;10.0;10.0;50.0;0.0;10.0;40.0
638;China;2003 2nd quarter;50.0;40.0;20.0;0.0;50.0;10.0;20.0;30.0
639;China;2003 3rd quarter;90.0;60.0;30.0;0.0;90.0;10.0;40.0;30.0
640;China;2003 4th quarter;110.0;80.0;20.0;0.0;110.0;10.0;40.0;50.0
641;China;2003;300.0;210.0;80.0;10.0;300.0;40.0;120.0;150.0
642;China;2004 1st quarter;80.0;60.0;20.0;0.0;80.0;20.0;40.0;30.0
643;China;2004 2nd quarter;40.0;20.0;10.0;;40.0;10.0;10.0;20.0
644;China;2004 3rd quarter;80.0;40.0;40.0;0.0;80.0;30.0;10.0;40.0
645;China;2004 4th quarter;70.0;50.0;20.0;;70.0;10.0;20.0;40.0
646;China;2004;270.0;170.0;90.0;0.0;270.0;60.0;80.0;130.0
647;China;2005 1st quarter;100.0;60.0;40.0;;100.0;20.0;30.0;50.0
648;China;2005 2nd quarter;70.0;40.0;20.0;;70.0;10.0;10.0;50.0
649;China;2005 3rd quarter;70.0;40.0;30.0;;70.0;10.0;20.0;40.0
650;China;2005 4th quarter;100.0;60.0;50.0;;100.0;20.0;10.0;70.0
651;China;2005;330.0;190.0;140.0;;330.0;60.0;70.0;210.0
652;China;2006 1st quarter;110.0;60.0;50.0;;110.0;40.0;10.0;70.0
653;China;2006 2nd quarter;100.0;50.0;40.0;;100.0;30.0;10.0;60.0
654;China;2006 3rd quarter;60.0;40.0;20.0;;60.0;10.0;10.0;40.0
655;China;2006 4th quarter;50.0;40.0;10.0;;50.0;10.0;10.0;40.0
656;China;2006;310.0;190.0;130.0;;310.0;80.0;30.0;200.0
657;China;2007 1st quarter;70.0;50.0;30.0;;70.0;20.0;10.0;50.0
658;China;2007 2nd quarter;60.0;40.0;20.0;;60.0;10.0;10.0;50.0
659;China;2007 3rd quarter;80.0;50.0;30.0;;80.0;10.0;10.0;60.0
660;China;2007 4th quarter;60.0;40.0;30.0;;60.0;10.0;10.0;50.0
661;China;2007;270.0;170.0;100.0;;270.0;40.0;30.0;200.0
662;China;2008 1st quarter;;;;;;;;
663;Ethiopia;1998 1st quarter;40.0;20.0;20.0;;40.0;10.0;10.0;20.0
664;Ethiopia;1998 2nd quarter;40.0;20.0;20.0;;40.0;0.0;20.0;20.0
665;Ethiopia;1998 3rd quarter;80.0;50.0;40.0;;80.0;20.0;20.0;40.0
666;Ethiopia;1998 4th quarter;80.0;50.0;30.0;;80.0;20.0;20.0;30.0
667;Ethiopia;1998;240.0;140.0;100.0;;240.0;60.0;70.0;110.0
668;Ethiopia;1999 1st quarter;50.0;30.0;20.0;;50.0;10.0;10.0;30.0
669;Ethiopia;1999 2nd quarter;40.0;20.0;20.0;;40.0;10.0;10.0;30.0
670;Ethiopia;1999 3rd quarter;60.0;30.0;30.0;;60.0;20.0;10.0;30.0
671;Ethiopia;1999 4th quarter;60.0;40.0;20.0;;60.0;10.0;20.0;40.0
672;Ethiopia;1999;210.0;130.0;90.0;;210.0;40.0;50.0;120.0
673;Ethiopia;2000 1st quarter;50.0;30.0;30.0;;50.0;10.0;20.0;30.0
674;Ethiopia;2000 2nd quarter;50.0;30.0;20.0;;50.0;10.0;10.0;30.0
675;Ethiopia;2000 3rd quarter;70.0;40.0;30.0;;70.0;10.0;20.0;50.0
676;Ethiopia;2000 4th quarter;80.0;50.0;30.0;;80.0;10.0;20.0;50.0
677;Ethiopia;2000;250.0;150.0;100.0;;250.0;40.0;60.0;150.0
678;Ethiopia;2001 1st quarter;50.0;30.0;30.0;;50.0;10.0;10.0;30.0
679;Ethiopia;2001 2nd quarter;50.0;30.0;20.0;0.0;50.0;0.0;10.0;30.0
680;Ethiopia;2001 3rd quarter;70.0;40.0;30.0;0.0;70.0;10.0;10.0;50.0
681;Ethiopia;2001 4th quarter;60.0;30.0;30.0;;60.0;10.0;10.0;30.0
682;Ethiopia;2001;230.0;120.0;110.0;0.0;230.0;40.0;50.0;140.0
683;Ethiopia;2002 1st quarter;40.0;20.0;20.0;;40.0;10.0;10.0;20.0
684;Ethiopia;2002 2nd quarter;30.0;20.0;20.0;;30.0;0.0;10.0;20.0
685;Ethiopia;2002 3rd quarter;30.0;20.0;20.0;;30.0;10.0;10.0;20.0
686;Ethiopia;2002 4th quarter;30.0;10.0;20.0;;30.0;0.0;10.0;20.0
687;Ethiopia;2002;130.0;60.0;70.0;;130.0;20.0;30.0;80.0
688;Ethiopia;2003 1st quarter;40.0;30.0;10.0;;40.0;10.0;0.0;30.0
689;Ethiopia;2003 2nd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
690;Ethiopia;2003 3rd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
691;Ethiopia;2003 4th quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
692;Ethiopia;2003;90.0;50.0;40.0;;90.0;20.0;10.0;60.0
693;Ethiopia;2004 1st quarter;20.0;10.0;10.0;0.0;20.0;0.0;0.0;20.0
694;Ethiopia;2004 2nd quarter;30.0;10.0;10.0;;30.0;10.0;0.0;10.0
695;Ethiopia;2004 3rd quarter;10.0;10.0;10.0;;10.0;10.0;;10.0
696;Ethiopia;2004 4th quarter;10.0;10.0;0.0;0.0;10.0;0.0;;10.0
697;Ethiopia;2004;70.0;30.0;40.0;0.0;70.0;10.0;10.0;50.0
698;Ethiopia;2005 1st quarter;10.0;10.0;10.0;;10.0;10.0;0.0;0.0
699;Ethiopia;2005 2nd quarter;20.0;10.0;10.0;;20.0;0.0;;10.0
700;Ethiopia;2005 3rd quarter;30.0;10.0;10.0;;30.0;10.0;;20.0
701;Ethiopia;2005 4th quarter;30.0;10.0;20.0;;30.0;0.0;0.0;20.0
702;Ethiopia;2005;80.0;40.0;40.0;;80.0;20.0;0.0;60.0
703;Ethiopia;2006 1st quarter;60.0;40.0;30.0;;60.0;10.0;0.0;50.0
704;Ethiopia;2006 2nd quarter;80.0;50.0;30.0;;80.0;20.0;0.0;60.0
705;Ethiopia;2006 3rd quarter;50.0;20.0;20.0;;50.0;10.0;0.0;30.0
706;Ethiopia;2006 4th quarter;20.0;10.0;10.0;;20.0;0.0;0.0;20.0
707;Ethiopia;2006;210.0;120.0;90.0;;210.0;50.0;10.0;160.0
708;Ethiopia;2007 1st quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
709;Ethiopia;2007 2nd quarter;30.0;20.0;10.0;;30.0;10.0;;20.0
710;Ethiopia;2007 3rd quarter;20.0;10.0;10.0;;20.0;;;20.0
711;Ethiopia;2007 4th quarter;10.0;10.0;0.0;;10.0;;0.0;10.0
712;Ethiopia;2007;70.0;40.0;30.0;;70.0;10.0;0.0;60.0
713;Ethiopia;2008 1st quarter;;;;;;;;
714;Guinea;1998 1st quarter;60.0;50.0;10.0;;60.0;0.0;40.0;20.0
715;Guinea;1998 2nd quarter;70.0;60.0;10.0;;70.0;0.0;60.0;10.0
716;Guinea;1998 3rd quarter;110.0;100.0;10.0;;110.0;10.0;90.0;20.0
717;Guinea;1998 4th quarter;100.0;90.0;10.0;;100.0;10.0;60.0;30.0
718;Guinea;1998;340.0;300.0;40.0;;340.0;20.0;240.0;80.0
719;Guinea;1999 1st quarter;50.0;50.0;0.0;;50.0;10.0;40.0;10.0
720;Guinea;1999 2nd quarter;70.0;70.0;10.0;;70.0;10.0;50.0;20.0
721;Guinea;1999 3rd quarter;130.0;120.0;20.0;0.0;130.0;20.0;100.0;20.0
722;Guinea;1999 4th quarter;270.0;230.0;40.0;;270.0;20.0;190.0;50.0
723;Guinea;1999;530.0;460.0;60.0;0.0;530.0;50.0;370.0;110.0
724;Guinea;2000 1st quarter;340.0;300.0;40.0;;340.0;40.0;220.0;80.0
725;Guinea;2000 2nd quarter;220.0;200.0;20.0;;220.0;20.0;120.0;80.0
726;Guinea;2000 3rd quarter;290.0;230.0;60.0;;290.0;30.0;160.0;100.0
727;Guinea;2000 4th quarter;550.0;470.0;70.0;0.0;550.0;30.0;290.0;230.0
728;Guinea;2000;1390.0;1210.0;180.0;0.0;1390.0;120.0;790.0;480.0
729;Guinea;2001 1st quarter;440.0;370.0;70.0;0.0;440.0;30.0;210.0;200.0
730;Guinea;2001 2nd quarter;400.0;340.0;60.0;0.0;400.0;20.0;170.0;200.0
731;Guinea;2001 3rd quarter;350.0;280.0;70.0;0.0;350.0;40.0;140.0;170.0
732;Guinea;2001 4th quarter;290.0;230.0;60.0;;290.0;20.0;130.0;140.0
733;Guinea;2001;1470.0;1210.0;250.0;10.0;1470.0;110.0;650.0;710.0
734;Guinea;2002 1st quarter;190.0;150.0;40.0;0.0;190.0;20.0;90.0;90.0
735;Guinea;2002 2nd quarter;110.0;80.0;30.0;0.0;110.0;10.0;40.0;60.0
736;Guinea;2002 3rd quarter;90.0;60.0;30.0;0.0;90.0;10.0;30.0;50.0
737;Guinea;2002 4th quarter;80.0;60.0;20.0;0.0;80.0;0.0;30.0;50.0
738;Guinea;2002;480.0;350.0;120.0;10.0;480.0;40.0;180.0;260.0
739;Guinea;2003 1st quarter;50.0;40.0;10.0;;50.0;10.0;10.0;20.0
740;Guinea;2003 2nd quarter;60.0;40.0;20.0;0.0;60.0;10.0;20.0;30.0
741;Guinea;2003 3rd quarter;50.0;40.0;10.0;0.0;50.0;10.0;20.0;30.0
742;Guinea;2003 4th quarter;40.0;30.0;10.0;;40.0;10.0;10.0;20.0
743;Guinea;2003;200.0;150.0;50.0;0.0;200.0;30.0;60.0;110.0
744;Guinea;2004 1st quarter;40.0;30.0;10.0;0.0;40.0;10.0;10.0;30.0
745;Guinea;2004 2nd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
746;Guinea;2004 3rd quarter;20.0;10.0;10.0;0.0;20.0;10.0;0.0;10.0
747;Guinea;2004 4th quarter;40.0;20.0;10.0;;40.0;10.0;10.0;20.0
748;Guinea;2004;120.0;70.0;40.0;0.0;120.0;20.0;20.0;80.0
749;Guinea;2005 1st quarter;40.0;20.0;20.0;;40.0;10.0;10.0;20.0
750;Guinea;2005 2nd quarter;20.0;10.0;10.0;;20.0;10.0;0.0;20.0
751;Guinea;2005 3rd quarter;20.0;0.0;10.0;;20.0;0.0;10.0;10.0
752;Guinea;2005 4th quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
753;Guinea;2005;110.0;50.0;50.0;;110.0;30.0;10.0;60.0
754;Guinea;2006 1st quarter;30.0;20.0;10.0;;30.0;0.0;;30.0
755;Guinea;2006 2nd quarter;40.0;20.0;20.0;;40.0;10.0;;30.0
756;Guinea;2006 3rd quarter;20.0;10.0;10.0;;20.0;;0.0;20.0
757;Guinea;2006 4th quarter;30.0;10.0;20.0;;30.0;10.0;10.0;20.0
758;Guinea;2006;120.0;70.0;50.0;;120.0;20.0;10.0;90.0
759;Guinea;2007 1st quarter;30.0;10.0;10.0;;30.0;0.0;10.0;20.0
760;Guinea;2007 2nd quarter;80.0;50.0;30.0;;80.0;10.0;0.0;70.0
761;Guinea;2007 3rd quarter;100.0;80.0;20.0;;100.0;10.0;10.0;80.0
762;Guinea;2007 4th quarter;60.0;40.0;20.0;;60.0;10.0;10.0;40.0
763;Guinea;2007;260.0;180.0;80.0;;260.0;30.0;30.0;200.0
764;Guinea;2008 1st quarter;;;;;;;;
765;India;1998 1st quarter;10.0;10.0;0.0;;10.0;;0.0;10.0
766;India;1998 2nd quarter;40.0;40.0;0.0;;40.0;0.0;;40.0
767;India;1998 3rd quarter;10.0;10.0;;;10.0;;0.0;10.0
768;India;1998 4th quarter;10.0;10.0;;;10.0;;;10.0
769;India;1998;70.0;70.0;0.0;;70.0;0.0;10.0;60.0
770;India;1999 1st quarter;10.0;10.0;0.0;;10.0;;;10.0
771;India;1999 2nd quarter;10.0;10.0;;;10.0;0.0;;10.0
772;India;1999 3rd quarter;10.0;10.0;;;10.0;;0.0;10.0
773;India;1999 4th quarter;20.0;20.0;10.0;0.0;20.0;0.0;;20.0
774;India;1999;60.0;50.0;10.0;0.0;60.0;10.0;0.0;50.0
775;India;2000 1st quarter;20.0;10.0;;0.0;20.0;;0.0;10.0
776;India;2000 2nd quarter;10.0;10.0;;0.0;10.0;;;10.0
777;India;2000 3rd quarter;20.0;10.0;0.0;0.0;20.0;0.0;0.0;20.0
778;India;2000 4th quarter;20.0;20.0;0.0;0.0;20.0;0.0;0.0;20.0
779;India;2000;70.0;60.0;0.0;10.0;70.0;0.0;10.0;60.0
780;India;2001 1st quarter;10.0;10.0;0.0;0.0;10.0;0.0;;10.0
781;India;2001 2nd quarter;20.0;10.0;;0.0;20.0;;10.0;10.0
782;India;2001 3rd quarter;30.0;20.0;0.0;0.0;30.0;0.0;0.0;20.0
783;India;2001 4th quarter;50.0;40.0;0.0;0.0;50.0;0.0;10.0;30.0
784;India;2001;100.0;90.0;10.0;10.0;100.0;10.0;20.0;80.0
785;India;2002 1st quarter;80.0;80.0;;0.0;80.0;0.0;30.0;50.0
786;India;2002 2nd quarter;40.0;30.0;0.0;10.0;40.0;0.0;0.0;40.0
787;India;2002 3rd quarter;20.0;20.0;0.0;0.0;20.0;0.0;10.0;20.0
788;India;2002 4th quarter;30.0;30.0;;10.0;30.0;0.0;10.0;20.0
789;India;2002;180.0;160.0;0.0;20.0;180.0;10.0;50.0;120.0
790;India;2003 1st quarter;40.0;40.0;;0.0;40.0;;10.0;40.0
791;India;2003 2nd quarter;20.0;20.0;;0.0;20.0;;10.0;10.0
792;India;2003 3rd quarter;50.0;50.0;;;50.0;0.0;10.0;30.0
793;India;2003 4th quarter;70.0;70.0;0.0;;70.0;0.0;30.0;30.0
794;India;2003;180.0;170.0;0.0;10.0;180.0;10.0;60.0;110.0
795;India;2004 1st quarter;60.0;50.0;;0.0;60.0;0.0;20.0;40.0
796;India;2004 2nd quarter;30.0;30.0;0.0;;30.0;0.0;10.0;20.0
797;India;2004 3rd quarter;40.0;40.0;;;40.0;;30.0;20.0
798;India;2004 4th quarter;40.0;40.0;;;40.0;0.0;20.0;20.0
799;India;2004;170.0;160.0;0.0;0.0;170.0;10.0;70.0;90.0
800;India;2005 1st quarter;50.0;50.0;;;50.0;0.0;30.0;20.0
801;India;2005 2nd quarter;50.0;50.0;;;50.0;;40.0;20.0
802;India;2005 3rd quarter;40.0;40.0;;;40.0;0.0;30.0;10.0
803;India;2005 4th quarter;20.0;20.0;;;20.0;0.0;10.0;10.0
804;India;2005;170.0;170.0;;;170.0;10.0;110.0;50.0
805;India;2006 1st quarter;30.0;30.0;;;30.0;0.0;20.0;10.0
806;India;2006 2nd quarter;20.0;20.0;0.0;;20.0;0.0;10.0;10.0
807;India;2006 3rd quarter;20.0;20.0;;;20.0;;10.0;10.0
808;India;2006 4th quarter;20.0;20.0;0.0;;20.0;0.0;10.0;0.0
809;India;2006;90.0;90.0;0.0;;90.0;10.0;50.0;30.0
810;India;2007 1st quarter;10.0;10.0;;;10.0;;10.0;0.0
811;India;2007 2nd quarter;30.0;30.0;;;30.0;0.0;10.0;10.0
812;India;2007 3rd quarter;30.0;30.0;;;30.0;0.0;10.0;10.0
813;India;2007 4th quarter;20.0;20.0;;;20.0;;10.0;10.0
814;India;2007;80.0;80.0;;;80.0;0.0;40.0;40.0
815;India;2008 1st quarter;;;;;;;;
816;Iran;1998 1st quarter;460.0;310.0;150.0;0.0;460.0;90.0;20.0;350.0
817;Iran;1998 2nd quarter;350.0;220.0;120.0;0.0;350.0;70.0;20.0;260.0
818;Iran;1998 3rd quarter;430.0;270.0;160.0;0.0;430.0;100.0;30.0;300.0
819;Iran;1998 4th quarter;440.0;270.0;170.0;0.0;440.0;120.0;30.0;300.0
820;Iran;1998;1680.0;1070.0;600.0;10.0;1680.0;380.0;90.0;1210.0
821;Iran;1999 1st quarter;320.0;210.0;110.0;;320.0;60.0;20.0;240.0
822;Iran;1999 2nd quarter;270.0;180.0;100.0;;270.0;70.0;10.0;200.0
823;Iran;1999 3rd quarter;400.0;260.0;140.0;;400.0;100.0;20.0;280.0
824;Iran;1999 4th quarter;530.0;320.0;210.0;0.0;530.0;110.0;40.0;380.0
825;Iran;1999;1530.0;970.0;560.0;0.0;1530.0;340.0;80.0;1100.0
826;Iran;2000 1st quarter;560.0;370.0;190.0;;560.0;120.0;20.0;420.0
827;Iran;2000 2nd quarter;440.0;290.0;150.0;0.0;440.0;90.0;30.0;320.0
828;Iran;2000 3rd quarter;650.0;460.0;190.0;0.0;650.0;120.0;30.0;500.0
829;Iran;2000 4th quarter;890.0;540.0;340.0;10.0;890.0;170.0;60.0;650.0
830;Iran;2000;2530.0;1650.0;870.0;10.0;2530.0;500.0;140.0;1900.0
831;Iran;2001 1st quarter;610.0;410.0;190.0;10.0;610.0;100.0;20.0;480.0
832;Iran;2001 2nd quarter;310.0;200.0;120.0;0.0;310.0;60.0;20.0;240.0
833;Iran;2001 3rd quarter;270.0;160.0;100.0;10.0;270.0;70.0;20.0;190.0
834;Iran;2001 4th quarter;330.0;190.0;140.0;0.0;330.0;70.0;20.0;240.0
835;Iran;2001;1520.0;960.0;540.0;20.0;1520.0;290.0;80.0;1150.0
836;Iran;2002 1st quarter;240.0;150.0;90.0;0.0;240.0;40.0;20.0;180.0
837;Iran;2002 2nd quarter;150.0;110.0;50.0;;150.0;30.0;10.0;120.0
838;Iran;2002 3rd quarter;140.0;90.0;40.0;0.0;140.0;20.0;10.0;110.0
839;Iran;2002 4th quarter;140.0;80.0;60.0;0.0;140.0;30.0;10.0;100.0
840;Iran;2002;670.0;420.0;240.0;0.0;670.0;120.0;40.0;500.0
841;Iran;2003 1st quarter;160.0;100.0;50.0;10.0;160.0;40.0;10.0;110.0
842;Iran;2003 2nd quarter;150.0;100.0;50.0;0.0;150.0;40.0;0.0;110.0
843;Iran;2003 3rd quarter;130.0;80.0;50.0;;130.0;30.0;10.0;100.0
844;Iran;2003 4th quarter;120.0;80.0;40.0;0.0;120.0;20.0;10.0;100.0
845;Iran;2003;550.0;360.0;180.0;20.0;550.0;120.0;20.0;410.0
846;Iran;2004 1st quarter;130.0;80.0;40.0;10.0;130.0;30.0;10.0;90.0
847;Iran;2004 2nd quarter;70.0;40.0;20.0;;70.0;10.0;0.0;50.0
848;Iran;2004 3rd quarter;110.0;60.0;40.0;;110.0;20.0;10.0;80.0
849;Iran;2004 4th quarter;150.0;90.0;50.0;10.0;150.0;30.0;10.0;110.0
850;Iran;2004;450.0;280.0;160.0;10.0;450.0;90.0;30.0;340.0
851;Iran;2005 1st quarter;120.0;70.0;50.0;;120.0;30.0;10.0;80.0
852;Iran;2005 2nd quarter;100.0;60.0;30.0;;100.0;10.0;10.0;80.0
853;Iran;2005 3rd quarter;130.0;80.0;50.0;;130.0;20.0;0.0;100.0
854;Iran;2005 4th quarter;210.0;140.0;80.0;;210.0;30.0;10.0;170.0
855;Iran;2005;560.0;350.0;200.0;;560.0;90.0;30.0;440.0
856;Iran;2006 1st quarter;300.0;180.0;110.0;0.0;300.0;50.0;10.0;240.0
857;Iran;2006 2nd quarter;240.0;150.0;90.0;;240.0;40.0;20.0;190.0
858;Iran;2006 3rd quarter;190.0;120.0;70.0;;190.0;30.0;10.0;150.0
859;Iran;2006 4th quarter;200.0;130.0;60.0;;200.0;30.0;10.0;160.0
860;Iran;2006;920.0;580.0;340.0;0.0;920.0;130.0;40.0;740.0
861;Iran;2007 1st quarter;130.0;90.0;40.0;;130.0;10.0;10.0;110.0
862;Iran;2007 2nd quarter;70.0;60.0;20.0;;70.0;10.0;0.0;60.0
863;Iran;2007 3rd quarter;90.0;70.0;30.0;;90.0;10.0;0.0;90.0
864;Iran;2007 4th quarter;60.0;40.0;20.0;;60.0;0.0;0.0;50.0
865;Iran;2007;360.0;260.0;100.0;;360.0;30.0;20.0;300.0
866;Iran;2008 1st quarter;;;;;;;;
867;Iraq;1998 1st quarter;1740.0;1320.0;430.0;;1740.0;330.0;70.0;1340.0
868;Iraq;1998 2nd quarter;1620.0;1150.0;460.0;0.0;1620.0;370.0;70.0;1190.0
869;Iraq;1998 3rd quarter;2210.0;1620.0;590.0;10.0;2210.0;440.0;110.0;1660.0
870;Iraq;1998 4th quarter;2720.0;2080.0;640.0;10.0;2720.0;510.0;200.0;2020.0
871;Iraq;1998;8300.0;6170.0;2110.0;20.0;8300.0;1650.0;450.0;6210.0
872;Iraq;1999 1st quarter;1160.0;780.0;370.0;0.0;1160.0;250.0;100.0;820.0
873;Iraq;1999 2nd quarter;710.0;440.0;270.0;0.0;710.0;200.0;50.0;470.0
874;Iraq;1999 3rd quarter;790.0;480.0;310.0;0.0;790.0;240.0;70.0;490.0
875;Iraq;1999 4th quarter;1040.0;660.0;370.0;10.0;1040.0;320.0;140.0;580.0
876;Iraq;1999;3700.0;2360.0;1330.0;20.0;3700.0;1000.0;360.0;2350.0
877;Iraq;2000 1st quarter;860.0;510.0;330.0;10.0;860.0;270.0;110.0;470.0
878;Iraq;2000 2nd quarter;450.0;260.0;180.0;10.0;450.0;130.0;40.0;280.0
879;Iraq;2000 3rd quarter;680.0;380.0;300.0;10.0;680.0;240.0;50.0;380.0
880;Iraq;2000 4th quarter;770.0;390.0;370.0;10.0;770.0;270.0;80.0;420.0
881;Iraq;2000;2750.0;1550.0;1170.0;30.0;2750.0;920.0;290.0;1550.0
882;Iraq;2001 1st quarter;520.0;310.0;200.0;20.0;520.0;150.0;70.0;300.0
883;Iraq;2001 2nd quarter;280.0;190.0;80.0;10.0;280.0;60.0;20.0;190.0
884;Iraq;2001 3rd quarter;270.0;170.0;100.0;0.0;270.0;90.0;20.0;170.0
885;Iraq;2001 4th quarter;260.0;160.0;100.0;10.0;260.0;70.0;10.0;180.0
886;Iraq;2001;1330.0;810.0;480.0;40.0;1330.0;370.0;120.0;840.0
887;Iraq;2002 1st quarter;230.0;160.0;70.0;0.0;230.0;50.0;30.0;160.0
888;Iraq;2002 2nd quarter;250.0;160.0;90.0;0.0;250.0;40.0;20.0;190.0
889;Iraq;2002 3rd quarter;290.0;190.0;90.0;0.0;290.0;70.0;20.0;200.0
890;Iraq;2002 4th quarter;250.0;160.0;80.0;0.0;250.0;60.0;20.0;170.0
891;Iraq;2002;1020.0;680.0;330.0;10.0;1020.0;210.0;90.0;720.0
892;Iraq;2003 1st quarter;1100.0;750.0;330.0;20.0;1100.0;240.0;70.0;790.0
893;Iraq;2003 2nd quarter;1500.0;1150.0;340.0;20.0;1500.0;250.0;70.0;1190.0
894;Iraq;2003 3rd quarter;550.0;410.0;120.0;20.0;550.0;90.0;40.0;420.0
895;Iraq;2003 4th quarter;310.0;240.0;70.0;10.0;310.0;50.0;30.0;240.0
896;Iraq;2003;3470.0;2550.0;860.0;60.0;3470.0;620.0;210.0;2640.0
897;Iraq;2004 1st quarter;220.0;140.0;70.0;10.0;220.0;60.0;20.0;140.0
898;Iraq;2004 2nd quarter;170.0;90.0;70.0;10.0;170.0;50.0;10.0;110.0
899;Iraq;2004 3rd quarter;300.0;160.0;130.0;;300.0;90.0;10.0;200.0
900;Iraq;2004 4th quarter;360.0;210.0;140.0;0.0;360.0;110.0;20.0;230.0
901;Iraq;2004;1040.0;610.0;420.0;20.0;1040.0;300.0;60.0;680.0
902;Iraq;2005 1st quarter;370.0;250.0;120.0;0.0;370.0;90.0;30.0;250.0
903;Iraq;2005 2nd quarter;270.0;170.0;100.0;0.0;270.0;50.0;20.0;200.0
904;Iraq;2005 3rd quarter;330.0;210.0;110.0;0.0;330.0;80.0;10.0;240.0
905;Iraq;2005 4th quarter;650.0;470.0;180.0;;650.0;110.0;50.0;490.0
906;Iraq;2005;1620.0;1100.0;510.0;10.0;1620.0;330.0;110.0;1180.0
907;Iraq;2006 1st quarter;1470.0;1170.0;310.0;;1470.0;190.0;70.0;1220.0
908;Iraq;2006 2nd quarter;480.0;300.0;180.0;0.0;480.0;110.0;30.0;340.0
909;Iraq;2006 3rd quarter;390.0;230.0;160.0;;390.0;80.0;20.0;290.0
910;Iraq;2006 4th quarter;430.0;290.0;130.0;;430.0;100.0;30.0;290.0
911;Iraq;2006;2770.0;1980.0;780.0;0.0;2770.0;490.0;150.0;2130.0
912;Iraq;2007 1st quarter;430.0;280.0;150.0;;430.0;80.0;20.0;330.0
913;Iraq;2007 2nd quarter;370.0;260.0;120.0;;370.0;60.0;20.0;290.0
914;Iraq;2007 3rd quarter;650.0;470.0;180.0;0.0;650.0;80.0;20.0;550.0
915;Iraq;2007 4th quarter;1000.0;750.0;250.0;;1000.0;140.0;50.0;810.0
916;Iraq;2007;2450.0;1750.0;700.0;0.0;2450.0;360.0;100.0;1980.0
917;Iraq;2008 1st quarter;;;;;;;;
918;Congo (Democratic Republic);1998 1st quarter;100.0;70.0;30.0;;100.0;20.0;20.0;60.0
919;Congo (Democratic Republic);1998 2nd quarter;100.0;50.0;50.0;;100.0;20.0;20.0;50.0
920;Congo (Democratic Republic);1998 3rd quarter;130.0;90.0;40.0;;130.0;20.0;30.0;80.0
921;Congo (Democratic Republic);1998 4th quarter;80.0;50.0;30.0;0.0;80.0;20.0;20.0;50.0
