ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
1931;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2012 2nd quarter;176.7
1932;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2012 3rd quarter;178.3
1933;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2012 4th quarter;174.7
1934;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2012;173.3
1935;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2013 1st quarter;166.3
1936;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2013 2nd quarter;176.3
1937;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2013 3rd quarter;179.0
1938;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2013 4th quarter;175.9
1939;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2013;174.4
1940;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2014 1st quarter;167.7
1941;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2014 2nd quarter;182.6
1942;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2014 3rd quarter;188.5
1943;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2014 4th quarter;183.4
1944;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2014;180.6
1945;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2015 1st quarter;177.7
1946;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2015 2nd quarter;193.6
1947;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2015 3rd quarter;201.0
1948;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2015 4th quarter;198.4
1949;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2015;192.8
1950;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2016 1st quarter;192.4
1951;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2016 2nd quarter;210.2
1952;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2016 3rd quarter;221.0
1953;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2016 4th quarter;221.6
1954;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2016;211.4
1955;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2017 1st quarter;215.6
1956;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2017 2nd quarter;234.1
1957;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2017 3rd quarter;247.9
1958;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2017 4th quarter;252.8
1959;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Europe (excluding Dutch background);2017;237.7
1960;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2010 1st quarter;10.1
1961;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2010 2nd quarter;11.1
1962;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2010 3rd quarter;11.1
1963;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2010 4th quarter;11.3
1964;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2010;10.9
1965;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2011 1st quarter;10.9
1966;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2011 2nd quarter;11.5
1967;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2011 3rd quarter;11.5
1968;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2011 4th quarter;11.6
1969;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2011;11.4
1970;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2012 1st quarter;11.9
1971;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2012 2nd quarter;12.8
1972;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2012 3rd quarter;12.8
1973;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2012 4th quarter;13.0
1974;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2012;12.6
1975;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2013 1st quarter;12.6
1976;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2013 2nd quarter;13.4
1977;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2013 3rd quarter;13.6
1978;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2013 4th quarter;13.7
1979;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2013;13.3
1980;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2014 1st quarter;13.4
1981;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2014 2nd quarter;14.5
1982;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2014 3rd quarter;14.6
1983;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2014 4th quarter;14.7
1984;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2014;14.3
1985;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2015 1st quarter;14.3
1986;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2015 2nd quarter;15.4
1987;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2015 3rd quarter;15.2
1988;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2015 4th quarter;15.2
1989;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2015;15.1
1990;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2016 1st quarter;14.8
1991;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2016 2nd quarter;16.0
1992;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2016 3rd quarter;16.3
1993;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2016 4th quarter;16.7
1994;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2016;16.0
1995;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2017 1st quarter;16.3
1996;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2017 2nd quarter;17.4
1997;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2017 3rd quarter;17.8
1998;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2017 4th quarter;18.9
1999;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;GIPS countries (European Union);2017;17.6
2000;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2010 1st quarter;52.6
2001;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2010 2nd quarter;62.4
2002;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2010 3rd quarter;68.4
2003;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2010 4th quarter;68.2
2004;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2010;63.0
2005;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2011 1st quarter;64.7
2006;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2011 2nd quarter;73.0
2007;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2011 3rd quarter;79.0
2008;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2011 4th quarter;75.8
2009;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2011;73.2
2010;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2012 1st quarter;79.8
2011;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2012 2nd quarter;90.2
2012;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2012 3rd quarter;94.8
2013;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2012 4th quarter;91.4
2014;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2012;89.1
2015;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2013 1st quarter;89.1
2016;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2013 2nd quarter;97.4
2017;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2013 3rd quarter;101.2
2018;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2013 4th quarter;98.7
2019;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2013;96.7
2020;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2014 1st quarter;94.2
2021;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2014 2nd quarter;106.2
2022;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2014 3rd quarter;112.1
2023;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2014 4th quarter;107.3
2024;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2014;105.0
2025;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2015 1st quarter;106.2
2026;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2015 2nd quarter;119.3
2027;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2015 3rd quarter;127.0
2028;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2015 4th quarter;124.2
2029;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2015;119.2
2030;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2016 1st quarter;119.7
2031;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2016 2nd quarter;134.6
2032;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2016 3rd quarter;144.9
2033;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2016 4th quarter;144.2
2034;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2016;135.9
2035;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2017 1st quarter;139.9
2036;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2017 2nd quarter;155.5
2037;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2017 3rd quarter;169.6
2038;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2017 4th quarter;171.6
2039;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Middle and Eastern European EU countries;2017;159.3
2040;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2010 1st quarter;99.1
2041;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2010 2nd quarter;113.0
2042;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2010 3rd quarter;118.7
2043;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2010 4th quarter;119.1
2044;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2010;112.5
2045;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2011 1st quarter;112.0
2046;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2011 2nd quarter;123.3
2047;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2011 3rd quarter;127.8
2048;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2011 4th quarter;124.3
2049;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2011;121.9
2050;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2012 1st quarter;125.8
2051;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2012 2nd quarter;138.3
2052;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2012 3rd quarter;141.1
2053;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2012 4th quarter;137.7
2054;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2012;135.7
2055;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2013 1st quarter;131.1
2056;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2013 2nd quarter;140.8
2057;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2013 3rd quarter;144.2
2058;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2013 4th quarter;141.5
2059;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2013;139.4
2060;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2014 1st quarter;134.3
2061;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2014 2nd quarter;148.2
2062;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2014 3rd quarter;154.3
2063;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2014 4th quarter;149.5
2064;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2014;146.6
2065;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2015 1st quarter;145.2
2066;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2015 2nd quarter;160.5
2067;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2015 3rd quarter;168.1
2068;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2015 4th quarter;165.3
2069;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2015;159.8
2070;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2016 1st quarter;159.5
2071;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2016 2nd quarter;176.7
2072;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2016 3rd quarter;187.4
2073;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2016 4th quarter;187.4
2074;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2016;177.8
2075;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2017 1st quarter;181.6
2076;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2017 2nd quarter;199.5
2077;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2017 3rd quarter;213.8
2078;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2017 4th quarter;217.7
2079;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;European Union (excluding Dutch backg...;2017;203.3
2080;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2010 1st quarter;36.4
2081;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2010 2nd quarter;39.4
2082;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2010 3rd quarter;39.2
2083;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2010 4th quarter;39.6
2084;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2010;38.6
2085;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2011 1st quarter;36.4
2086;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2011 2nd quarter;38.7
2087;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2011 3rd quarter;37.4
2088;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2011 4th quarter;36.9
2089;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2011;37.3
2090;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2012 1st quarter;34.1
2091;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2012 2nd quarter;35.2
2092;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2012 3rd quarter;33.5
2093;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2012 4th quarter;33.3
2094;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2012;34.0
2095;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2013 1st quarter;29.4
2096;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2013 2nd quarter;29.9
2097;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2013 3rd quarter;29.4
2098;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2013 4th quarter;29.1
2099;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2013;29.5
2100;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2014 1st quarter;26.6
2101;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2014 2nd quarter;27.5
2102;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2014 3rd quarter;27.6
2103;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2014 4th quarter;27.4
2104;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2014;27.3
2105;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2015 1st quarter;24.6
2106;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2015 2nd quarter;25.8
2107;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2015 3rd quarter;25.9
2108;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2015 4th quarter;26.0
2109;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2015;25.6
2110;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2016 1st quarter;25.0
2111;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2016 2nd quarter;26.0
2112;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2016 3rd quarter;26.2
2113;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2016 4th quarter;26.6
2114;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2016;25.9
2115;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2017 1st quarter;25.4
2116;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2017 2nd quarter;26.6
2117;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2017 3rd quarter;26.3
2118;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2017 4th quarter;27.2
2119;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Other EU countries;2017;26.4
2120;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2010 1st quarter;0.5
2121;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2010 2nd quarter;0.6
2122;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2010 3rd quarter;0.6
2123;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2010 4th quarter;0.6
2124;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2010;0.6
2125;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2011 1st quarter;0.6
2126;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2011 2nd quarter;0.6
2127;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2011 3rd quarter;0.6
2128;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2011 4th quarter;0.6
2129;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2011;0.6
2130;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2012 1st quarter;0.6
2131;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2012 2nd quarter;0.6
2132;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2012 3rd quarter;0.6
2133;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2012 4th quarter;0.6
2134;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2012;0.6
2135;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2013 1st quarter;0.5
2136;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2013 2nd quarter;0.5
2137;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2013 3rd quarter;0.5
2138;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2013 4th quarter;0.5
2139;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2013;0.5
2140;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2014 1st quarter;0.5
2141;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2014 2nd quarter;0.6
2142;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2014 3rd quarter;0.6
