ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
538;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2018 4th quarter;3.6
539;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2018;3.5
540;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2019 1st quarter;3.7
541;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2019 2nd quarter;3.8
542;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2019 3rd quarter;3.8
543;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2019 4th quarter;3.9
544;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2019;3.8
545;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2020 1st quarter;4.0
546;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2020 2nd quarter;3.8
547;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2020 3rd quarter;3.8
548;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2020 4th quarter;3.8
549;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2020;3.8
550;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 1st quarter;26.8
551;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 2nd quarter;26.9
552;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 3rd quarter;26.7
553;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 4th quarter;26.7
554;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010;26.8
555;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 1st quarter;26.7
556;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 2nd quarter;26.8
557;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 3rd quarter;26.6
558;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 4th quarter;26.7
559;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011;26.7
560;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 1st quarter;26.6
561;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 2nd quarter;26.6
562;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 3rd quarter;26.2
563;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 4th quarter;26.2
564;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012;26.4
565;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 1st quarter;25.9
566;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 2nd quarter;25.9
567;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 3rd quarter;25.7
568;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 4th quarter;25.8
569;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013;25.8
570;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 1st quarter;25.5
571;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 2nd quarter;25.6
572;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 3rd quarter;25.4
573;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 4th quarter;25.6
574;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014;25.5
575;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 1st quarter;25.5
576;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 2nd quarter;25.6
577;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 3rd quarter;25.5
578;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 4th quarter;25.7
579;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015;25.6
580;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016 1st quarter;25.8
581;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016 2nd quarter;26.0
582;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016 3rd quarter;26.0
583;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016 4th quarter;26.5
584;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016;26.1
585;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017 1st quarter;26.7
586;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017 2nd quarter;27.2
587;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017 3rd quarter;27.2
588;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017 4th quarter;27.8
589;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017;27.2
590;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018 1st quarter;27.9
591;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018 2nd quarter;28.4
592;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018 3rd quarter;28.3
593;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018 4th quarter;28.7
594;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018;28.3
595;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019 1st quarter;28.4
596;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019 2nd quarter;28.7
597;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019 3rd quarter;28.4
598;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019 4th quarter;28.7
599;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019;28.5
600;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020 1st quarter;31.4
601;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020 2nd quarter;30.9
602;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020 3rd quarter;31.1
603;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020 4th quarter;31.3
604;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020;31.2
605;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010 1st quarter;2.1
606;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010 2nd quarter;2.3
607;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010 3rd quarter;2.4
608;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010 4th quarter;2.3
609;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010;2.3
610;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011 1st quarter;2.4
611;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011 2nd quarter;2.6
612;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011 3rd quarter;2.4
613;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011 4th quarter;2.4
614;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011;2.5
615;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012 1st quarter;2.4
616;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012 2nd quarter;2.5
617;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012 3rd quarter;2.4
618;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012 4th quarter;2.4
619;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012;2.4
620;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013 1st quarter;2.4
621;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013 2nd quarter;2.6
622;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013 3rd quarter;2.6
623;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013 4th quarter;2.6
624;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013;2.6
625;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014 1st quarter;3.5
626;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014 2nd quarter;4.9
627;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014 3rd quarter;5.3
628;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014 4th quarter;5.5
629;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014;4.8
630;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015 1st quarter;5.8
631;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015 2nd quarter;6.9
632;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015 3rd quarter;7.1
633;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015 4th quarter;7.3
634;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015;6.8
635;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016 1st quarter;7.5
636;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016 2nd quarter;8.9
637;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016 3rd quarter;9.3
638;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016 4th quarter;9.8
639;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016;8.9
640;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017 1st quarter;10.1
641;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017 2nd quarter;12.5
642;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017 3rd quarter;13.0
643;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017 4th quarter;13.8
644;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017;12.4
645;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018 1st quarter;14.5
646;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018 2nd quarter;17.3
647;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018 3rd quarter;17.6
648;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018 4th quarter;18.4
649;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018;16.9
650;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019 1st quarter;18.8
651;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019 2nd quarter;21.3
652;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019 3rd quarter;21.1
653;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019 4th quarter;21.9
654;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019;20.8
655;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020 1st quarter;22.7
656;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020 2nd quarter;23.0
657;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020 3rd quarter;24.0
658;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020 4th quarter;23.4
659;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020;23.3
660;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010 1st quarter;49.9
661;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010 2nd quarter;52.4
662;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010 3rd quarter;53.1
663;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010 4th quarter;53.0
664;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010;52.1
665;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011 1st quarter;51.4
666;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011 2nd quarter;53.3
667;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011 3rd quarter;52.6
668;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011 4th quarter;51.8
669;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011;52.3
670;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012 1st quarter;49.7
671;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012 2nd quarter;50.1
672;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012 3rd quarter;48.7
673;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012 4th quarter;48.0
674;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012;49.1
675;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013 1st quarter;45.8
676;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013 2nd quarter;46.0
677;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013 3rd quarter;45.0
678;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013 4th quarter;44.6
679;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013;45.4
680;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014 1st quarter;42.2
681;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014 2nd quarter;42.4
682;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014 3rd quarter;41.8
683;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014 4th quarter;41.6
684;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014;42.0
685;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015 1st quarter;40.4
686;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015 2nd quarter;40.9
687;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015 3rd quarter;40.5
688;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015 4th quarter;40.5
689;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015;40.6
690;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016 1st quarter;39.6
691;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016 2nd quarter;40.4
692;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016 3rd quarter;40.2
693;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016 4th quarter;40.8
694;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016;40.2
695;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017 1st quarter;40.2
696;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017 2nd quarter;41.2
697;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017 3rd quarter;40.9
698;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017 4th quarter;41.8
699;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017;41.1
700;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018 1st quarter;41.8
701;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018 2nd quarter;42.8
702;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018 3rd quarter;42.3
703;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018 4th quarter;43.4
704;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018;42.6
705;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019 1st quarter;43.1
706;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019 2nd quarter;43.9
707;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019 3rd quarter;43.2
708;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019 4th quarter;43.9
709;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019;43.5
710;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020 1st quarter;46.7
711;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020 2nd quarter;45.6
712;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020 3rd quarter;45.7
713;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020 4th quarter;46.3
714;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020;46.1
715;Total jobs;Total employees;A-U All economic activities;Total;France;2010 1st quarter;8.2
716;Total jobs;Total employees;A-U All economic activities;Total;France;2010 2nd quarter;8.3
717;Total jobs;Total employees;A-U All economic activities;Total;France;2010 3rd quarter;8.2
718;Total jobs;Total employees;A-U All economic activities;Total;France;2010 4th quarter;8.2
719;Total jobs;Total employees;A-U All economic activities;Total;France;2010;8.2
720;Total jobs;Total employees;A-U All economic activities;Total;France;2011 1st quarter;8.3
721;Total jobs;Total employees;A-U All economic activities;Total;France;2011 2nd quarter;8.5
722;Total jobs;Total employees;A-U All economic activities;Total;France;2011 3rd quarter;8.3
723;Total jobs;Total employees;A-U All economic activities;Total;France;2011 4th quarter;8.4
724;Total jobs;Total employees;A-U All economic activities;Total;France;2011;8.4
725;Total jobs;Total employees;A-U All economic activities;Total;France;2012 1st quarter;8.4
726;Total jobs;Total employees;A-U All economic activities;Total;France;2012 2nd quarter;8.6
727;Total jobs;Total employees;A-U All economic activities;Total;France;2012 3rd quarter;8.4
728;Total jobs;Total employees;A-U All economic activities;Total;France;2012 4th quarter;8.4
729;Total jobs;Total employees;A-U All economic activities;Total;France;2012;8.4
730;Total jobs;Total employees;A-U All economic activities;Total;France;2013 1st quarter;8.3
731;Total jobs;Total employees;A-U All economic activities;Total;France;2013 2nd quarter;8.5
732;Total jobs;Total employees;A-U All economic activities;Total;France;2013 3rd quarter;8.4
733;Total jobs;Total employees;A-U All economic activities;Total;France;2013 4th quarter;8.5
734;Total jobs;Total employees;A-U All economic activities;Total;France;2013;8.4
735;Total jobs;Total employees;A-U All economic activities;Total;France;2014 1st quarter;8.6
736;Total jobs;Total employees;A-U All economic activities;Total;France;2014 2nd quarter;8.9
737;Total jobs;Total employees;A-U All economic activities;Total;France;2014 3rd quarter;8.9
738;Total jobs;Total employees;A-U All economic activities;Total;France;2014 4th quarter;8.9
739;Total jobs;Total employees;A-U All economic activities;Total;France;2014;8.8
740;Total jobs;Total employees;A-U All economic activities;Total;France;2015 1st quarter;9.0
741;Total jobs;Total employees;A-U All economic activities;Total;France;2015 2nd quarter;9.5
742;Total jobs;Total employees;A-U All economic activities;Total;France;2015 3rd quarter;9.5
743;Total jobs;Total employees;A-U All economic activities;Total;France;2015 4th quarter;9.5
744;Total jobs;Total employees;A-U All economic activities;Total;France;2015;9.4
745;Total jobs;Total employees;A-U All economic activities;Total;France;2016 1st quarter;9.7
746;Total jobs;Total employees;A-U All economic activities;Total;France;2016 2nd quarter;10.2
747;Total jobs;Total employees;A-U All economic activities;Total;France;2016 3rd quarter;10.3
748;Total jobs;Total employees;A-U All economic activities;Total;France;2016 4th quarter;10.4
749;Total jobs;Total employees;A-U All economic activities;Total;France;2016;10.1
750;Total jobs;Total employees;A-U All economic activities;Total;France;2017 1st quarter;10.6
751;Total jobs;Total employees;A-U All economic activities;Total;France;2017 2nd quarter;11.2
752;Total jobs;Total employees;A-U All economic activities;Total;France;2017 3rd quarter;11.1
753;Total jobs;Total employees;A-U All economic activities;Total;France;2017 4th quarter;11.3
754;Total jobs;Total employees;A-U All economic activities;Total;France;2017;11.0
755;Total jobs;Total employees;A-U All economic activities;Total;France;2018 1st quarter;11.5
756;Total jobs;Total employees;A-U All economic activities;Total;France;2018 2nd quarter;12.1
757;Total jobs;Total employees;A-U All economic activities;Total;France;2018 3rd quarter;12.0
758;Total jobs;Total employees;A-U All economic activities;Total;France;2018 4th quarter;12.2
759;Total jobs;Total employees;A-U All economic activities;Total;France;2018;11.9
760;Total jobs;Total employees;A-U All economic activities;Total;France;2019 1st quarter;12.4
761;Total jobs;Total employees;A-U All economic activities;Total;France;2019 2nd quarter;13.0
762;Total jobs;Total employees;A-U All economic activities;Total;France;2019 3rd quarter;12.9
763;Total jobs;Total employees;A-U All economic activities;Total;France;2019 4th quarter;13.1
764;Total jobs;Total employees;A-U All economic activities;Total;France;2019;12.9
765;Total jobs;Total employees;A-U All economic activities;Total;France;2020 1st quarter;13.4
766;Total jobs;Total employees;A-U All economic activities;Total;France;2020 2nd quarter;13.1
767;Total jobs;Total employees;A-U All economic activities;Total;France;2020 3rd quarter;13.0
768;Total jobs;Total employees;A-U All economic activities;Total;France;2020 4th quarter;13.3
769;Total jobs;Total employees;A-U All economic activities;Total;France;2020;13.2
770;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010 1st quarter;3.4
771;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010 2nd quarter;3.7
772;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010 3rd quarter;3.7
773;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010 4th quarter;3.7
774;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010;3.6
775;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011 1st quarter;3.7
776;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011 2nd quarter;4.1
777;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011 3rd quarter;4.2
778;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011 4th quarter;4.3
779;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011;4.1
780;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012 1st quarter;4.4
781;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012 2nd quarter;5.0
782;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012 3rd quarter;5.0
783;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012 4th quarter;5.1
784;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012;4.9
785;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013 1st quarter;5.1
786;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013 2nd quarter;5.6
787;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013 3rd quarter;5.6
788;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013 4th quarter;5.6
789;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013;5.5
790;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014 1st quarter;5.7
791;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014 2nd quarter;6.1
792;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014 3rd quarter;6.0
793;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014 4th quarter;6.1
794;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014;6.0
795;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015 1st quarter;6.2
796;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015 2nd quarter;6.6
797;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015 3rd quarter;6.6
798;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015 4th quarter;6.8
799;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015;6.5
800;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016 1st quarter;6.9
801;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016 2nd quarter;7.4
802;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016 3rd quarter;7.4
803;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016 4th quarter;7.6
804;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016;7.3
805;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017 1st quarter;7.6
806;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017 2nd quarter;8.3
807;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017 3rd quarter;8.4
808;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017 4th quarter;8.7
809;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017;8.3
810;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018 1st quarter;9.0
811;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018 2nd quarter;9.8
812;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018 3rd quarter;9.8
813;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018 4th quarter;10.3
814;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018;9.7
815;Total jobs;Total employees;A-U All economic activities;Total;Greece;2019 1st quarter;10.3
816;Total jobs;Total employees;A-U All economic activities;Total;Greece;2019 2nd quarter;10.9
817;Total jobs;Total employees;A-U All economic activities;Total;Greece;2019 3rd quarter;10.9
818;Total jobs;Total employees;A-U All economic activities;Total;Greece;2019 4th quarter;11.3
819;Total jobs;Total employees;A-U All economic activities;Total;Greece;2019;10.9
820;Total jobs;Total employees;A-U All economic activities;Total;Greece;2020 1st quarter;11.5
821;Total jobs;Total employees;A-U All economic activities;Total;Greece;2020 2nd quarter;11.2
822;Total jobs;Total employees;A-U All economic activities;Total;Greece;2020 3rd quarter;11.1
823;Total jobs;Total employees;A-U All economic activities;Total;Greece;2020 4th quarter;11.1
824;Total jobs;Total employees;A-U All economic activities;Total;Greece;2020;11.2
825;Total jobs;Total employees;A-U All economic activities;Total;Italy;2010 1st quarter;7.9
826;Total jobs;Total employees;A-U All economic activities;Total;Italy;2010 2nd quarter;8.1
827;Total jobs;Total employees;A-U All economic activities;Total;Italy;2010 3rd quarter;8.2
828;Total jobs;Total employees;A-U All economic activities;Total;Italy;2010 4th quarter;8.4
829;Total jobs;Total employees;A-U All economic activities;Total;Italy;2010;8.2
830;Total jobs;Total employees;A-U All economic activities;Total;Italy;2011 1st quarter;8.5
831;Total jobs;Total employees;A-U All economic activities;Total;Italy;2011 2nd quarter;8.7
832;Total jobs;Total employees;A-U All economic activities;Total;Italy;2011 3rd quarter;8.6
833;Total jobs;Total employees;A-U All economic activities;Total;Italy;2011 4th quarter;8.9
834;Total jobs;Total employees;A-U All economic activities;Total;Italy;2011;8.7
835;Total jobs;Total employees;A-U All economic activities;Total;Italy;2012 1st quarter;8.9
836;Total jobs;Total employees;A-U All economic activities;Total;Italy;2012 2nd quarter;9.0
837;Total jobs;Total employees;A-U All economic activities;Total;Italy;2012 3rd quarter;8.8
838;Total jobs;Total employees;A-U All economic activities;Total;Italy;2012 4th quarter;9.0
839;Total jobs;Total employees;A-U All economic activities;Total;Italy;2012;8.9
840;Total jobs;Total employees;A-U All economic activities;Total;Italy;2013 1st quarter;8.9
841;Total jobs;Total employees;A-U All economic activities;Total;Italy;2013 2nd quarter;9.1
842;Total jobs;Total employees;A-U All economic activities;Total;Italy;2013 3rd quarter;9.2
843;Total jobs;Total employees;A-U All economic activities;Total;Italy;2013 4th quarter;9.5
844;Total jobs;Total employees;A-U All economic activities;Total;Italy;2013;9.2
845;Total jobs;Total employees;A-U All economic activities;Total;Italy;2014 1st quarter;9.8
846;Total jobs;Total employees;A-U All economic activities;Total;Italy;2014 2nd quarter;10.3
847;Total jobs;Total employees;A-U All economic activities;Total;Italy;2014 3rd quarter;10.4
848;Total jobs;Total employees;A-U All economic activities;Total;Italy;2014 4th quarter;10.8
849;Total jobs;Total employees;A-U All economic activities;Total;Italy;2014;10.3
850;Total jobs;Total employees;A-U All economic activities;Total;Italy;2015 1st quarter;11.0
851;Total jobs;Total employees;A-U All economic activities;Total;Italy;2015 2nd quarter;11.6
852;Total jobs;Total employees;A-U All economic activities;Total;Italy;2015 3rd quarter;11.7
853;Total jobs;Total employees;A-U All economic activities;Total;Italy;2015 4th quarter;12.0
854;Total jobs;Total employees;A-U All economic activities;Total;Italy;2015;11.5
855;Total jobs;Total employees;A-U All economic activities;Total;Italy;2016 1st quarter;12.2
856;Total jobs;Total employees;A-U All economic activities;Total;Italy;2016 2nd quarter;12.8
857;Total jobs;Total employees;A-U All economic activities;Total;Italy;2016 3rd quarter;12.9
858;Total jobs;Total employees;A-U All economic activities;Total;Italy;2016 4th quarter;13.4
859;Total jobs;Total employees;A-U All economic activities;Total;Italy;2016;12.8
860;Total jobs;Total employees;A-U All economic activities;Total;Italy;2017 1st quarter;13.8
861;Total jobs;Total employees;A-U All economic activities;Total;Italy;2017 2nd quarter;14.6
862;Total jobs;Total employees;A-U All economic activities;Total;Italy;2017 3rd quarter;14.8
863;Total jobs;Total employees;A-U All economic activities;Total;Italy;2017 4th quarter;15.6
864;Total jobs;Total employees;A-U All economic activities;Total;Italy;2017;14.7
865;Total jobs;Total employees;A-U All economic activities;Total;Italy;2018 1st quarter;16.0
866;Total jobs;Total employees;A-U All economic activities;Total;Italy;2018 2nd quarter;17.0
867;Total jobs;Total employees;A-U All economic activities;Total;Italy;2018 3rd quarter;17.1
868;Total jobs;Total employees;A-U All economic activities;Total;Italy;2018 4th quarter;17.9
869;Total jobs;Total employees;A-U All economic activities;Total;Italy;2018;17.0
870;Total jobs;Total employees;A-U All economic activities;Total;Italy;2019 1st quarter;18.3
871;Total jobs;Total employees;A-U All economic activities;Total;Italy;2019 2nd quarter;19.0
