ID;CharacteristicsHouseholdsAndPersons;CaribbeanNetherlands;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2
435;Type: Couple, all children < 18 yrs;Saba;2018;-0.8;53.0
436;Type: Couple, all children < 18 yrs;Saba;2019;8.1;28.0
437;Type: Couple, all children < 18 yrs;Saba;2020;4.3;36.0
438;Type: Couple, all children < 18 yrs;Saba;2021;4.0;29.0
439;Type: Couple, all children < 18 yrs;Saba;2022;-0.3;52.0
440;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2012;6.3;40.0
441;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2013;1.9;45.0
442;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2014;3.5;41.0
443;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2015;6.0;34.0
444;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2016;3.7;40.0
445;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2017;3.8;39.0
446;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2018;1.4;46.0
447;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2019;5.2;38.0
448;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2020;4.8;41.0
449;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2021;3.2;42.0
450;Type: Couple, at least 1 child >= 18 yrs;Caribbean Netherlands;2022;-3.1;58.0
451;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2012;5.6;40.0
452;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2013;1.9;45.0
453;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2014;3.7;41.0
454;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2015;5.6;35.0
455;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2016;3.9;38.0
456;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2017;3.8;39.0
457;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2018;0.7;48.0
458;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2019;4.7;39.0
459;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2020;5.7;39.0
460;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2021;2.9;42.0
461;Type: Couple, at least 1 child >= 18 yrs;Bonaire;2022;-3.9;59.0
462;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2012;1.2;47.0
463;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2013;1.3;48.0
464;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2014;1.9;45.0
465;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2015;7.7;36.0
466;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2016;-4.1;55.0
467;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2017;6.1;38.0
468;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2018;6.1;31.0
469;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2019;9.5;33.0
470;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2020;-3.1;57.0
471;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2021;4.0;42.0
472;Type: Couple, at least 1 child >= 18 yrs;St. Eustatius;2022;-3.0;55.0
473;Type: Couple, at least 1 child >= 18 yrs;Saba;2012;18.1;21.0
474;Type: Couple, at least 1 child >= 18 yrs;Saba;2013;1.8;41.0
475;Type: Couple, at least 1 child >= 18 yrs;Saba;2014;5.9;33.0
476;Type: Couple, at least 1 child >= 18 yrs;Saba;2015;6.9;24.0
477;Type: Couple, at least 1 child >= 18 yrs;Saba;2016;11.8;34.0
478;Type: Couple, at least 1 child >= 18 yrs;Saba;2017;2.3;37.0
479;Type: Couple, at least 1 child >= 18 yrs;Saba;2018;6.0;39.0
480;Type: Couple, at least 1 child >= 18 yrs;Saba;2019;7.0;30.0
481;Type: Couple, at least 1 child >= 18 yrs;Saba;2020;0.4;47.0
482;Type: Couple, at least 1 child >= 18 yrs;Saba;2021;4.1;37.0
483;Type: Couple, at least 1 child >= 18 yrs;Saba;2022;1.7;42.0
484;Type: Multi person household, n.e.c.;Caribbean Netherlands;2012;3.5;43.0
485;Type: Multi person household, n.e.c.;Caribbean Netherlands;2013;1.4;47.0
486;Type: Multi person household, n.e.c.;Caribbean Netherlands;2014;1.2;47.0
487;Type: Multi person household, n.e.c.;Caribbean Netherlands;2015;5.0;39.0
488;Type: Multi person household, n.e.c.;Caribbean Netherlands;2016;2.9;44.0
489;Type: Multi person household, n.e.c.;Caribbean Netherlands;2017;0.8;47.0
490;Type: Multi person household, n.e.c.;Caribbean Netherlands;2018;-0.1;50.0
491;Type: Multi person household, n.e.c.;Caribbean Netherlands;2019;3.6;41.0
492;Type: Multi person household, n.e.c.;Caribbean Netherlands;2020;4.5;40.0
493;Type: Multi person household, n.e.c.;Caribbean Netherlands;2021;0.3;49.0
494;Type: Multi person household, n.e.c.;Caribbean Netherlands;2022;-4.6;61.0
495;Type: Multi person household, n.e.c.;Bonaire;2012;3.2;43.0
496;Type: Multi person household, n.e.c.;Bonaire;2013;0.8;49.0
497;Type: Multi person household, n.e.c.;Bonaire;2014;0.7;48.0
498;Type: Multi person household, n.e.c.;Bonaire;2015;5.3;38.0
499;Type: Multi person household, n.e.c.;Bonaire;2016;2.6;45.0
500;Type: Multi person household, n.e.c.;Bonaire;2017;0.3;48.0
501;Type: Multi person household, n.e.c.;Bonaire;2018;-0.7;52.0
502;Type: Multi person household, n.e.c.;Bonaire;2019;3.0;42.0
503;Type: Multi person household, n.e.c.;Bonaire;2020;5.0;40.0
504;Type: Multi person household, n.e.c.;Bonaire;2021;0.1;50.0
505;Type: Multi person household, n.e.c.;Bonaire;2022;-4.6;61.0
506;Type: Multi person household, n.e.c.;St. Eustatius;2012;3.9;42.0
507;Type: Multi person household, n.e.c.;St. Eustatius;2013;3.5;41.0
508;Type: Multi person household, n.e.c.;St. Eustatius;2014;2.3;46.0
509;Type: Multi person household, n.e.c.;St. Eustatius;2015;3.2;44.0
510;Type: Multi person household, n.e.c.;St. Eustatius;2016;3.4;44.0
511;Type: Multi person household, n.e.c.;St. Eustatius;2017;5.2;43.0
512;Type: Multi person household, n.e.c.;St. Eustatius;2018;2.7;40.0
513;Type: Multi person household, n.e.c.;St. Eustatius;2019;6.8;34.0
514;Type: Multi person household, n.e.c.;St. Eustatius;2020;0.0;50.0
515;Type: Multi person household, n.e.c.;St. Eustatius;2021;1.3;39.0
516;Type: Multi person household, n.e.c.;St. Eustatius;2022;-5.2;61.0
517;Type: Multi person household, n.e.c.;Saba;2012;4.0;45.0
518;Type: Multi person household, n.e.c.;Saba;2013;5.0;41.0
519;Type: Multi person household, n.e.c.;Saba;2014;5.4;34.0
520;Type: Multi person household, n.e.c.;Saba;2015;4.3;33.0
521;Type: Multi person household, n.e.c.;Saba;2016;7.8;23.0
522;Type: Multi person household, n.e.c.;Saba;2017;1.0;46.0
523;Type: Multi person household, n.e.c.;Saba;2018;6.2;41.0
524;Type: Multi person household, n.e.c.;Saba;2019;4.6;33.0
525;Type: Multi person household, n.e.c.;Saba;2020;6.6;29.0
526;Type: Multi person household, n.e.c.;Saba;2021;-1.6;56.0
527;Type: Multi person household, n.e.c.;Saba;2022;-1.3;56.0
528;Type: Single person with other people;Caribbean Netherlands;2012;3.0;43.0
529;Type: Single person with other people;Caribbean Netherlands;2013;2.1;45.0
530;Type: Single person with other people;Caribbean Netherlands;2014;0.6;48.0
531;Type: Single person with other people;Caribbean Netherlands;2015;5.8;36.0
532;Type: Single person with other people;Caribbean Netherlands;2016;2.1;46.0
533;Type: Single person with other people;Caribbean Netherlands;2017;0.2;47.0
534;Type: Single person with other people;Caribbean Netherlands;2018;-0.9;53.0
535;Type: Single person with other people;Caribbean Netherlands;2019;1.8;45.0
536;Type: Single person with other people;Caribbean Netherlands;2020;4.6;41.0
537;Type: Single person with other people;Caribbean Netherlands;2021;0.1;50.0
538;Type: Single person with other people;Caribbean Netherlands;2022;-5.8;63.0
539;Type: Single person with other people;Bonaire;2012;2.9;43.0
540;Type: Single person with other people;Bonaire;2013;1.4;47.0
541;Type: Single person with other people;Bonaire;2014;0.3;48.0
542;Type: Single person with other people;Bonaire;2015;7.0;34.0
543;Type: Single person with other people;Bonaire;2016;1.4;47.0
544;Type: Single person with other people;Bonaire;2017;0.1;48.0
545;Type: Single person with other people;Bonaire;2018;-1.0;54.0
546;Type: Single person with other people;Bonaire;2019;1.6;46.0
547;Type: Single person with other people;Bonaire;2020;5.8;41.0
548;Type: Single person with other people;Bonaire;2021;-0.4;51.0
549;Type: Single person with other people;Bonaire;2022;-5.8;63.0
550;Type: Single person with other people;St. Eustatius;2012;3.6;42.0
551;Type: Single person with other people;St. Eustatius;2013;4.4;39.0
552;Type: Single person with other people;St. Eustatius;2014;0.1;50.0
553;Type: Single person with other people;St. Eustatius;2015;1.9;47.0
554;Type: Single person with other people;St. Eustatius;2016;5.1;44.0
555;Type: Single person with other people;St. Eustatius;2017;5.9;43.0
556;Type: Single person with other people;St. Eustatius;2018;-0.2;51.0
557;Type: Single person with other people;St. Eustatius;2019;5.4;40.0
558;Type: Single person with other people;St. Eustatius;2020;0.5;49.0
559;Type: Single person with other people;St. Eustatius;2021;1.6;40.0
560;Type: Single person with other people;St. Eustatius;2022;-7.3;71.0
561;Type: Single person with other people;Saba;2012;3.9;45.0
562;Type: Single person with other people;Saba;2013;;
563;Type: Single person with other people;Saba;2014;;
564;Type: Single person with other people;Saba;2015;;
565;Type: Single person with other people;Saba;2016;;
566;Type: Single person with other people;Saba;2017;;
567;Type: Single person with other people;Saba;2018;;
568;Type: Single person with other people;Saba;2019;;
569;Type: Single person with other people;Saba;2020;;
570;Type: Single person with other people;Saba;2021;;
571;Type: Single person with other people;Saba;2022;;
572;Type: One-parent family and other people;Caribbean Netherlands;2012;4.7;40.0
573;Type: One-parent family and other people;Caribbean Netherlands;2013;4.1;41.0
574;Type: One-parent family and other people;Caribbean Netherlands;2014;3.7;43.0
575;Type: One-parent family and other people;Caribbean Netherlands;2015;5.5;39.0
576;Type: One-parent family and other people;Caribbean Netherlands;2016;9.5;32.0
577;Type: One-parent family and other people;Caribbean Netherlands;2017;6.6;36.0
578;Type: One-parent family and other people;Caribbean Netherlands;2018;1.6;47.0
579;Type: One-parent family and other people;Caribbean Netherlands;2019;7.5;28.0
580;Type: One-parent family and other people;Caribbean Netherlands;2020;4.4;37.0
581;Type: One-parent family and other people;Caribbean Netherlands;2021;1.6;43.0
582;Type: One-parent family and other people;Caribbean Netherlands;2022;-2.1;54.0
583;Type: One-parent family and other people;Bonaire;2012;4.7;39.0
584;Type: One-parent family and other people;Bonaire;2013;5.3;40.0
585;Type: One-parent family and other people;Bonaire;2014;3.6;43.0
586;Type: One-parent family and other people;Bonaire;2015;5.9;38.0
587;Type: One-parent family and other people;Bonaire;2016;10.0;32.0
588;Type: One-parent family and other people;Bonaire;2017;5.9;38.0
589;Type: One-parent family and other people;Bonaire;2018;0.7;49.0
590;Type: One-parent family and other people;Bonaire;2019;7.5;27.0
591;Type: One-parent family and other people;Bonaire;2020;3.0;39.0
592;Type: One-parent family and other people;Bonaire;2021;1.6;45.0
593;Type: One-parent family and other people;Bonaire;2022;-2.0;53.0
594;Type: One-parent family and other people;St. Eustatius;2012;0.9;48.0
595;Type: One-parent family and other people;St. Eustatius;2013;2.9;41.0
596;Type: One-parent family and other people;St. Eustatius;2014;7.1;35.0
597;Type: One-parent family and other people;St. Eustatius;2015;0.5;49.0
598;Type: One-parent family and other people;St. Eustatius;2016;8.5;37.0
599;Type: One-parent family and other people;St. Eustatius;2017;11.3;25.0
600;Type: One-parent family and other people;St. Eustatius;2018;3.2;45.0
601;Type: One-parent family and other people;St. Eustatius;2019;;
602;Type: One-parent family and other people;St. Eustatius;2020;7.5;34.0
603;Type: One-parent family and other people;St. Eustatius;2021;0.8;35.0
604;Type: One-parent family and other people;St. Eustatius;2022;-2.4;50.0
605;Type: One-parent family and other people;Saba;2012;;
606;Type: One-parent family and other people;Saba;2013;;
607;Type: One-parent family and other people;Saba;2014;;
608;Type: One-parent family and other people;Saba;2015;;
609;Type: One-parent family and other people;Saba;2016;;
610;Type: One-parent family and other people;Saba;2017;;
611;Type: One-parent family and other people;Saba;2018;;
612;Type: One-parent family and other people;Saba;2019;;
613;Type: One-parent family and other people;Saba;2020;;
614;Type: One-parent family and other people;Saba;2021;;
615;Type: One-parent family and other people;Saba;2022;;
616;Type: Couple, no child with other people;Caribbean Netherlands;2012;1.7;46.0
617;Type: Couple, no child with other people;Caribbean Netherlands;2013;0.8;48.0
618;Type: Couple, no child with other people;Caribbean Netherlands;2014;-0.2;50.0
619;Type: Couple, no child with other people;Caribbean Netherlands;2015;1.5;48.0
620;Type: Couple, no child with other people;Caribbean Netherlands;2016;2.2;43.0
621;Type: Couple, no child with other people;Caribbean Netherlands;2017;-0.6;51.0
622;Type: Couple, no child with other people;Caribbean Netherlands;2018;-1.2;54.0
623;Type: Couple, no child with other people;Caribbean Netherlands;2019;1.4;43.0
624;Type: Couple, no child with other people;Caribbean Netherlands;2020;3.5;44.0
625;Type: Couple, no child with other people;Caribbean Netherlands;2021;-1.3;54.0
626;Type: Couple, no child with other people;Caribbean Netherlands;2022;-4.9;65.0
627;Type: Couple, no child with other people;Bonaire;2012;1.2;47.0
628;Type: Couple, no child with other people;Bonaire;2013;0.5;49.0
629;Type: Couple, no child with other people;Bonaire;2014;-0.2;51.0
630;Type: Couple, no child with other people;Bonaire;2015;2.2;47.0
631;Type: Couple, no child with other people;Bonaire;2016;2.5;43.0
632;Type: Couple, no child with other people;Bonaire;2017;-0.7;52.0
633;Type: Couple, no child with other people;Bonaire;2018;-1.5;57.0
634;Type: Couple, no child with other people;Bonaire;2019;1.1;46.0
635;Type: Couple, no child with other people;Bonaire;2020;3.5;44.0
636;Type: Couple, no child with other people;Bonaire;2021;-1.3;53.0
637;Type: Couple, no child with other people;Bonaire;2022;-5.3;66.0
638;Type: Couple, no child with other people;St. Eustatius;2012;4.1;38.0
639;Type: Couple, no child with other people;St. Eustatius;2013;1.2;44.0
640;Type: Couple, no child with other people;St. Eustatius;2014;1.1;48.0
641;Type: Couple, no child with other people;St. Eustatius;2015;-1.0;55.0
642;Type: Couple, no child with other people;St. Eustatius;2016;;
643;Type: Couple, no child with other people;St. Eustatius;2017;;
644;Type: Couple, no child with other people;St. Eustatius;2018;;
645;Type: Couple, no child with other people;St. Eustatius;2019;;
646;Type: Couple, no child with other people;St. Eustatius;2020;;
647;Type: Couple, no child with other people;St. Eustatius;2021;;
648;Type: Couple, no child with other people;St. Eustatius;2022;;
649;Type: Couple, no child with other people;Saba;2012;;
650;Type: Couple, no child with other people;Saba;2013;;
651;Type: Couple, no child with other people;Saba;2014;;
652;Type: Couple, no child with other people;Saba;2015;;
653;Type: Couple, no child with other people;Saba;2016;;
654;Type: Couple, no child with other people;Saba;2017;;
655;Type: Couple, no child with other people;Saba;2018;;
656;Type: Couple, no child with other people;Saba;2019;;
657;Type: Couple, no child with other people;Saba;2020;;
658;Type: Couple, no child with other people;Saba;2021;;
659;Type: Couple, no child with other people;Saba;2022;;
660;Type: Couple with children/other people;Caribbean Netherlands;2012;4.3;43.0
661;Type: Couple with children/other people;Caribbean Netherlands;2013;0.0;50.0
662;Type: Couple with children/other people;Caribbean Netherlands;2014;1.5;47.0
663;Type: Couple with children/other people;Caribbean Netherlands;2015;5.7;37.0
664;Type: Couple with children/other people;Caribbean Netherlands;2016;1.8;46.0
665;Type: Couple with children/other people;Caribbean Netherlands;2017;-0.2;50.0
666;Type: Couple with children/other people;Caribbean Netherlands;2018;1.0;48.0
667;Type: Couple with children/other people;Caribbean Netherlands;2019;4.2;41.0
668;Type: Couple with children/other people;Caribbean Netherlands;2020;5.2;40.0
669;Type: Couple with children/other people;Caribbean Netherlands;2021;0.3;49.0
670;Type: Couple with children/other people;Caribbean Netherlands;2022;-4.6;60.0
671;Type: Couple with children/other people;Bonaire;2012;4.1;43.0
672;Type: Couple with children/other people;Bonaire;2013;-0.6;53.0
673;Type: Couple with children/other people;Bonaire;2014;1.0;48.0
674;Type: Couple with children/other people;Bonaire;2015;5.7;38.0
675;Type: Couple with children/other people;Bonaire;2016;1.7;47.0
676;Type: Couple with children/other people;Bonaire;2017;0.0;50.0
677;Type: Couple with children/other people;Bonaire;2018;-0.2;51.0
678;Type: Couple with children/other people;Bonaire;2019;3.5;42.0
679;Type: Couple with children/other people;Bonaire;2020;6.1;38.0
680;Type: Couple with children/other people;Bonaire;2021;0.5;49.0
681;Type: Couple with children/other people;Bonaire;2022;-4.5;60.0
682;Type: Couple with children/other people;St. Eustatius;2012;5.7;40.0
683;Type: Couple with children/other people;St. Eustatius;2013;3.7;42.0
684;Type: Couple with children/other people;St. Eustatius;2014;2.1;47.0
685;Type: Couple with children/other people;St. Eustatius;2015;16.1;31.0
686;Type: Couple with children/other people;St. Eustatius;2016;0.5;50.0
687;Type: Couple with children/other people;St. Eustatius;2017;-1.1;53.0
688;Type: Couple with children/other people;St. Eustatius;2018;5.3;28.0
689;Type: Couple with children/other people;St. Eustatius;2019;9.2;30.0
690;Type: Couple with children/other people;St. Eustatius;2020;-6.3;66.0
691;Type: Couple with children/other people;St. Eustatius;2021;2.2;35.0
692;Type: Couple with children/other people;St. Eustatius;2022;-5.5;59.0
693;Type: Couple with children/other people;Saba;2012;;
694;Type: Couple with children/other people;Saba;2013;;
695;Type: Couple with children/other people;Saba;2014;;
696;Type: Couple with children/other people;Saba;2015;;
697;Type: Couple with children/other people;Saba;2016;;
698;Type: Couple with children/other people;Saba;2017;;
699;Type: Couple with children/other people;Saba;2018;;
700;Type: Couple with children/other people;Saba;2019;5.4;34.0
701;Type: Couple with children/other people;Saba;2020;;
702;Type: Couple with children/other people;Saba;2021;;
703;Type: Couple with children/other people;Saba;2022;;
704;Main earner: to 40 years;Caribbean Netherlands;2012;4.7;40.0
705;Main earner: to 40 years;Caribbean Netherlands;2013;3.5;41.0
706;Main earner: to 40 years;Caribbean Netherlands;2014;4.0;42.0
707;Main earner: to 40 years;Caribbean Netherlands;2015;7.0;35.0
708;Main earner: to 40 years;Caribbean Netherlands;2016;4.3;40.0
709;Main earner: to 40 years;Caribbean Netherlands;2017;3.3;42.0
710;Main earner: to 40 years;Caribbean Netherlands;2018;1.6;45.0
711;Main earner: to 40 years;Caribbean Netherlands;2019;6.6;34.0
712;Main earner: to 40 years;Caribbean Netherlands;2020;6.0;35.0
713;Main earner: to 40 years;Caribbean Netherlands;2021;3.4;39.0
714;Main earner: to 40 years;Caribbean Netherlands;2022;-3.3;58.0
715;Main earner: to 40 years;Bonaire;2012;4.6;41.0
716;Main earner: to 40 years;Bonaire;2013;3.2;43.0
717;Main earner: to 40 years;Bonaire;2014;4.0;42.0
718;Main earner: to 40 years;Bonaire;2015;7.3;34.0
719;Main earner: to 40 years;Bonaire;2016;4.3;40.0
720;Main earner: to 40 years;Bonaire;2017;3.2;43.0
721;Main earner: to 40 years;Bonaire;2018;1.3;46.0
722;Main earner: to 40 years;Bonaire;2019;6.0;35.0
723;Main earner: to 40 years;Bonaire;2020;6.2;35.0
724;Main earner: to 40 years;Bonaire;2021;3.4;41.0
725;Main earner: to 40 years;Bonaire;2022;-3.7;58.0
726;Main earner: to 40 years;St. Eustatius;2012;6.0;40.0
727;Main earner: to 40 years;St. Eustatius;2013;4.9;35.0
728;Main earner: to 40 years;St. Eustatius;2014;2.6;42.0
729;Main earner: to 40 years;St. Eustatius;2015;7.4;37.0
730;Main earner: to 40 years;St. Eustatius;2016;2.6;41.0
731;Main earner: to 40 years;St. Eustatius;2017;6.3;36.0
732;Main earner: to 40 years;St. Eustatius;2018;3.5;41.0
733;Main earner: to 40 years;St. Eustatius;2019;9.1;30.0
734;Main earner: to 40 years;St. Eustatius;2020;5.1;37.0
735;Main earner: to 40 years;St. Eustatius;2021;3.5;30.0
736;Main earner: to 40 years;St. Eustatius;2022;-2.5;57.0
737;Main earner: to 40 years;Saba;2012;4.5;36.0
738;Main earner: to 40 years;Saba;2013;5.0;37.0
739;Main earner: to 40 years;Saba;2014;3.6;38.0
740;Main earner: to 40 years;Saba;2015;5.1;33.0
741;Main earner: to 40 years;Saba;2016;6.8;28.0
742;Main earner: to 40 years;Saba;2017;1.8;41.0
743;Main earner: to 40 years;Saba;2018;2.1;45.0
744;Main earner: to 40 years;Saba;2019;8.9;27.0
745;Main earner: to 40 years;Saba;2020;5.8;30.0
746;Main earner: to 40 years;Saba;2021;3.4;38.0
747;Main earner: to 40 years;Saba;2022;-0.6;53.0
748;Main earner: 40 to 60 years;Caribbean Netherlands;2012;3.8;43.0
749;Main earner: 40 to 60 years;Caribbean Netherlands;2013;1.9;45.0
750;Main earner: 40 to 60 years;Caribbean Netherlands;2014;2.5;44.0
751;Main earner: 40 to 60 years;Caribbean Netherlands;2015;5.0;35.0
752;Main earner: 40 to 60 years;Caribbean Netherlands;2016;3.2;41.0
753;Main earner: 40 to 60 years;Caribbean Netherlands;2017;2.9;41.0
754;Main earner: 40 to 60 years;Caribbean Netherlands;2018;1.0;47.0
755;Main earner: 40 to 60 years;Caribbean Netherlands;2019;5.3;36.0
756;Main earner: 40 to 60 years;Caribbean Netherlands;2020;4.4;38.0
757;Main earner: 40 to 60 years;Caribbean Netherlands;2021;2.6;41.0
758;Main earner: 40 to 60 years;Caribbean Netherlands;2022;-4.4;60.0
759;Main earner: 40 to 60 years;Bonaire;2012;3.5;43.0
760;Main earner: 40 to 60 years;Bonaire;2013;1.8;45.0
761;Main earner: 40 to 60 years;Bonaire;2014;2.9;43.0
762;Main earner: 40 to 60 years;Bonaire;2015;5.3;35.0
763;Main earner: 40 to 60 years;Bonaire;2016;3.1;41.0
764;Main earner: 40 to 60 years;Bonaire;2017;3.1;40.0
765;Main earner: 40 to 60 years;Bonaire;2018;0.3;49.0
766;Main earner: 40 to 60 years;Bonaire;2019;5.1;37.0
767;Main earner: 40 to 60 years;Bonaire;2020;4.9;37.0
768;Main earner: 40 to 60 years;Bonaire;2021;3.0;41.0
769;Main earner: 40 to 60 years;Bonaire;2022;-4.8;61.0
770;Main earner: 40 to 60 years;St. Eustatius;2012;3.6;45.0
771;Main earner: 40 to 60 years;St. Eustatius;2013;1.6;45.0
772;Main earner: 40 to 60 years;St. Eustatius;2014;0.7;49.0
773;Main earner: 40 to 60 years;St. Eustatius;2015;4.1;38.0
774;Main earner: 40 to 60 years;St. Eustatius;2016;0.8;46.0
775;Main earner: 40 to 60 years;St. Eustatius;2017;4.0;42.0
776;Main earner: 40 to 60 years;St. Eustatius;2018;3.9;38.0
777;Main earner: 40 to 60 years;St. Eustatius;2019;7.2;34.0
778;Main earner: 40 to 60 years;St. Eustatius;2020;0.8;49.0
779;Main earner: 40 to 60 years;St. Eustatius;2021;1.0;45.0
780;Main earner: 40 to 60 years;St. Eustatius;2022;-3.7;61.0
781;Main earner: 40 to 60 years;Saba;2012;7.8;36.0
782;Main earner: 40 to 60 years;Saba;2013;4.4;38.0
783;Main earner: 40 to 60 years;Saba;2014;3.8;38.0
784;Main earner: 40 to 60 years;Saba;2015;3.3;36.0
785;Main earner: 40 to 60 years;Saba;2016;7.5;29.0
786;Main earner: 40 to 60 years;Saba;2017;1.5;44.0
787;Main earner: 40 to 60 years;Saba;2018;1.2;44.0
788;Main earner: 40 to 60 years;Saba;2019;5.3;31.0
789;Main earner: 40 to 60 years;Saba;2020;4.0;37.0
790;Main earner: 40 to 60 years;Saba;2021;2.0;41.0
791;Main earner: 40 to 60 years;Saba;2022;-1.3;53.0
792;Main earner: 60 years or older;Caribbean Netherlands;2012;2.9;40.0
793;Main earner: 60 years or older;Caribbean Netherlands;2013;0.5;44.0
794;Main earner: 60 years or older;Caribbean Netherlands;2014;0.3;46.0
795;Main earner: 60 years or older;Caribbean Netherlands;2015;2.5;37.0
796;Main earner: 60 years or older;Caribbean Netherlands;2016;0.8;47.0
797;Main earner: 60 years or older;Caribbean Netherlands;2017;0.1;45.0
798;Main earner: 60 years or older;Caribbean Netherlands;2018;-2.5;60.0
799;Main earner: 60 years or older;Caribbean Netherlands;2019;0.8;47.0
800;Main earner: 60 years or older;Caribbean Netherlands;2020;5.8;32.0
801;Main earner: 60 years or older;Caribbean Netherlands;2021;-0.9;54.0
802;Main earner: 60 years or older;Caribbean Netherlands;2022;-3.5;61.0
803;Main earner: 60 years or older;Bonaire;2012;2.9;42.0
804;Main earner: 60 years or older;Bonaire;2013;0.4;46.0
805;Main earner: 60 years or older;Bonaire;2014;0.3;46.0
806;Main earner: 60 years or older;Bonaire;2015;2.5;39.0
807;Main earner: 60 years or older;Bonaire;2016;0.1;50.0
808;Main earner: 60 years or older;Bonaire;2017;0.1;47.0
809;Main earner: 60 years or older;Bonaire;2018;-2.8;63.0
810;Main earner: 60 years or older;Bonaire;2019;0.4;49.0
811;Main earner: 60 years or older;Bonaire;2020;6.1;31.0
812;Main earner: 60 years or older;Bonaire;2021;-0.9;55.0
813;Main earner: 60 years or older;Bonaire;2022;-3.8;62.0
814;Main earner: 60 years or older;St. Eustatius;2012;5.6;31.0
815;Main earner: 60 years or older;St. Eustatius;2013;2.2;37.0
816;Main earner: 60 years or older;St. Eustatius;2014;-0.8;53.0
817;Main earner: 60 years or older;St. Eustatius;2015;4.5;35.0
818;Main earner: 60 years or older;St. Eustatius;2016;6.9;34.0
819;Main earner: 60 years or older;St. Eustatius;2017;5.4;37.0
820;Main earner: 60 years or older;St. Eustatius;2018;3.3;34.0
821;Main earner: 60 years or older;St. Eustatius;2019;2.1;45.0
822;Main earner: 60 years or older;St. Eustatius;2020;3.4;41.0
823;Main earner: 60 years or older;St. Eustatius;2021;0.7;41.0
824;Main earner: 60 years or older;St. Eustatius;2022;-2.2;54.0
825;Main earner: 60 years or older;Saba;2012;2.8;36.0
826;Main earner: 60 years or older;Saba;2013;1.8;38.0
827;Main earner: 60 years or older;Saba;2014;2.2;40.0
828;Main earner: 60 years or older;Saba;2015;2.2;29.0
829;Main earner: 60 years or older;Saba;2016;4.4;35.0
830;Main earner: 60 years or older;Saba;2017;1.9;35.0
831;Main earner: 60 years or older;Saba;2018;-2.5;63.0
832;Main earner: 60 years or older;Saba;2019;3.7;33.0
833;Main earner: 60 years or older;Saba;2020;5.0;25.0
834;Main earner: 60 years or older;Saba;2021;-1.5;63.0
835;Main earner: 60 years or older;Saba;2022;-2.5;66.0
836;Source: Income as employee/self-employed;Caribbean Netherlands;2012;3.9;42.0
837;Source: Income as employee/self-employed;Caribbean Netherlands;2013;2.3;44.0
838;Source: Income as employee/self-employed;Caribbean Netherlands;2014;2.5;44.0
839;Source: Income as employee/self-employed;Caribbean Netherlands;2015;5.3;36.0
840;Source: Income as employee/self-employed;Caribbean Netherlands;2016;3.2;41.0
841;Source: Income as employee/self-employed;Caribbean Netherlands;2017;2.4;42.0
842;Source: Income as employee/self-employed;Caribbean Netherlands;2018;0.5;48.0
843;Source: Income as employee/self-employed;Caribbean Netherlands;2019;4.9;36.0
844;Source: Income as employee/self-employed;Caribbean Netherlands;2020;4.8;36.0
845;Source: Income as employee/self-employed;Caribbean Netherlands;2021;2.3;42.0
846;Source: Income as employee/self-employed;Caribbean Netherlands;2022;-4.6;61.0
847;Source: Income as employee/self-employed;Bonaire;2012;3.6;42.0
848;Source: Income as employee/self-employed;Bonaire;2013;2.0;45.0
849;Source: Income as employee/self-employed;Bonaire;2014;2.7;43.0
850;Source: Income as employee/self-employed;Bonaire;2015;5.5;36.0
851;Source: Income as employee/self-employed;Bonaire;2016;3.1;41.0
