ID;EconomicActivityNCEA2008;Regions;Periods;NumberOfLocalUnits_1
1650;011 Growing of non-perennial crops;Zuidwest-Overijssel (CR);2006;100
1651;011 Growing of non-perennial crops;Zuidwest-Overijssel (CR);2007;95
1652;011 Growing of non-perennial crops;Zuidwest-Overijssel (CR);2008;90
1653;011 Growing of non-perennial crops;Zuidwest-Overijssel (CR);2009;80
1654;011 Growing of non-perennial crops;Zuidwest-Overijssel (CR);2010;100
1655;011 Growing of non-perennial crops;Twente (CR);2006;350
1656;011 Growing of non-perennial crops;Twente (CR);2007;325
1657;011 Growing of non-perennial crops;Twente (CR);2008;285
1658;011 Growing of non-perennial crops;Twente (CR);2009;285
1659;011 Growing of non-perennial crops;Twente (CR);2010;290
1660;011 Growing of non-perennial crops;Veluwe (CR);2006;295
1661;011 Growing of non-perennial crops;Veluwe (CR);2007;295
1662;011 Growing of non-perennial crops;Veluwe (CR);2008;250
1663;011 Growing of non-perennial crops;Veluwe (CR);2009;245
1664;011 Growing of non-perennial crops;Veluwe (CR);2010;240
1665;011 Growing of non-perennial crops;Achterhoek (CR);2006;520
1666;011 Growing of non-perennial crops;Achterhoek (CR);2007;535
1667;011 Growing of non-perennial crops;Achterhoek (CR);2008;470
1668;011 Growing of non-perennial crops;Achterhoek (CR);2009;475
1669;011 Growing of non-perennial crops;Achterhoek (CR);2010;470
1670;011 Growing of non-perennial crops;Arnhem/Nijmegen (CR);2006;510
1671;011 Growing of non-perennial crops;Arnhem/Nijmegen (CR);2007;505
1672;011 Growing of non-perennial crops;Arnhem/Nijmegen (CR);2008;485
1673;011 Growing of non-perennial crops;Arnhem/Nijmegen (CR);2009;445
1674;011 Growing of non-perennial crops;Arnhem/Nijmegen (CR);2010;425
1675;011 Growing of non-perennial crops;Zuidwest-Gelderland (CR);2006;580
1676;011 Growing of non-perennial crops;Zuidwest-Gelderland (CR);2007;545
1677;011 Growing of non-perennial crops;Zuidwest-Gelderland (CR);2008;505
1678;011 Growing of non-perennial crops;Zuidwest-Gelderland (CR);2009;495
1679;011 Growing of non-perennial crops;Zuidwest-Gelderland (CR);2010;455
1680;011 Growing of non-perennial crops;Utrecht (CR);2006;220
1681;011 Growing of non-perennial crops;Utrecht (CR);2007;200
1682;011 Growing of non-perennial crops;Utrecht (CR);2008;195
1683;011 Growing of non-perennial crops;Utrecht (CR);2009;185
1684;011 Growing of non-perennial crops;Utrecht (CR);2010;170
1685;011 Growing of non-perennial crops;Kop van Noord-Holland (CR);2006;1725
1686;011 Growing of non-perennial crops;Kop van Noord-Holland (CR);2007;1635
1687;011 Growing of non-perennial crops;Kop van Noord-Holland (CR);2008;1545
1688;011 Growing of non-perennial crops;Kop van Noord-Holland (CR);2009;1515
1689;011 Growing of non-perennial crops;Kop van Noord-Holland (CR);2010;1450
1690;011 Growing of non-perennial crops;Alkmaar en omgeving (CR);2006;255
1691;011 Growing of non-perennial crops;Alkmaar en omgeving (CR);2007;235
1692;011 Growing of non-perennial crops;Alkmaar en omgeving (CR);2008;220
1693;011 Growing of non-perennial crops;Alkmaar en omgeving (CR);2009;215
1694;011 Growing of non-perennial crops;Alkmaar en omgeving (CR);2010;205
1695;011 Growing of non-perennial crops;IJmond (CR);2006;170
1696;011 Growing of non-perennial crops;IJmond (CR);2007;155
1697;011 Growing of non-perennial crops;IJmond (CR);2008;135
1698;011 Growing of non-perennial crops;IJmond (CR);2009;130
1699;011 Growing of non-perennial crops;IJmond (CR);2010;120
1700;011 Growing of non-perennial crops;Agglomeratie Haarlem (CR);2006;30
1701;011 Growing of non-perennial crops;Agglomeratie Haarlem (CR);2007;20
1702;011 Growing of non-perennial crops;Agglomeratie Haarlem (CR);2008;20
1703;011 Growing of non-perennial crops;Agglomeratie Haarlem (CR);2009;20
1704;011 Growing of non-perennial crops;Agglomeratie Haarlem (CR);2010;20
1705;011 Growing of non-perennial crops;Zaanstreek (CR);2006;15
1706;011 Growing of non-perennial crops;Zaanstreek (CR);2007;10
1707;011 Growing of non-perennial crops;Zaanstreek (CR);2008;10
1708;011 Growing of non-perennial crops;Zaanstreek (CR);2009;10
1709;011 Growing of non-perennial crops;Zaanstreek (CR);2010;10
1710;011 Growing of non-perennial crops;Groot-Amsterdam (CR);2006;710
1711;011 Growing of non-perennial crops;Groot-Amsterdam (CR);2007;665
1712;011 Growing of non-perennial crops;Groot-Amsterdam (CR);2008;600
1713;011 Growing of non-perennial crops;Groot-Amsterdam (CR);2009;565
1714;011 Growing of non-perennial crops;Groot-Amsterdam (CR);2010;535
1715;011 Growing of non-perennial crops;Het Gooi en Vechtstreek (CR);2006;25
1716;011 Growing of non-perennial crops;Het Gooi en Vechtstreek (CR);2007;20
1717;011 Growing of non-perennial crops;Het Gooi en Vechtstreek (CR);2008;15
1718;011 Growing of non-perennial crops;Het Gooi en Vechtstreek (CR);2009;15
1719;011 Growing of non-perennial crops;Het Gooi en Vechtstreek (CR);2010;15
1720;011 Growing of non-perennial crops;Agglomeratie Leiden en Bollenstreek (CR);2006;820
1721;011 Growing of non-perennial crops;Agglomeratie Leiden en Bollenstreek (CR);2007;770
1722;011 Growing of non-perennial crops;Agglomeratie Leiden en Bollenstreek (CR);2008;720
1723;011 Growing of non-perennial crops;Agglomeratie Leiden en Bollenstreek (CR);2009;725
1724;011 Growing of non-perennial crops;Agglomeratie Leiden en Bollenstreek (CR);2010;680
1725;011 Growing of non-perennial crops;Agglomeratie 's-Gravenhage (CR);2006;335
1726;011 Growing of non-perennial crops;Agglomeratie 's-Gravenhage (CR);2007;320
1727;011 Growing of non-perennial crops;Agglomeratie 's-Gravenhage (CR);2008;290
1728;011 Growing of non-perennial crops;Agglomeratie 's-Gravenhage (CR);2009;265
1729;011 Growing of non-perennial crops;Agglomeratie 's-Gravenhage (CR);2010;235
1730;011 Growing of non-perennial crops;Delft en Westland (CR);2006;1555
1731;011 Growing of non-perennial crops;Delft en Westland (CR);2007;1405
1732;011 Growing of non-perennial crops;Delft en Westland (CR);2008;1255
1733;011 Growing of non-perennial crops;Delft en Westland (CR);2009;1145
1734;011 Growing of non-perennial crops;Delft en Westland (CR);2010;1045
1735;011 Growing of non-perennial crops;Oost-Zuid-Holland (CR);2006;540
1736;011 Growing of non-perennial crops;Oost-Zuid-Holland (CR);2007;505
1737;011 Growing of non-perennial crops;Oost-Zuid-Holland (CR);2008;480
1738;011 Growing of non-perennial crops;Oost-Zuid-Holland (CR);2009;405
1739;011 Growing of non-perennial crops;Oost-Zuid-Holland (CR);2010;285
1740;011 Growing of non-perennial crops;Groot-Rijnmond (CR);2006;1395
1741;011 Growing of non-perennial crops;Groot-Rijnmond (CR);2007;1385
1742;011 Growing of non-perennial crops;Groot-Rijnmond (CR);2008;1310
1743;011 Growing of non-perennial crops;Groot-Rijnmond (CR);2009;1250
1744;011 Growing of non-perennial crops;Groot-Rijnmond (CR);2010;1305
1745;011 Growing of non-perennial crops;Zuidoost-Zuid-Holland (CR);2006;135
1746;011 Growing of non-perennial crops;Zuidoost-Zuid-Holland (CR);2007;95
1747;011 Growing of non-perennial crops;Zuidoost-Zuid-Holland (CR);2008;95
1748;011 Growing of non-perennial crops;Zuidoost-Zuid-Holland (CR);2009;85
1749;011 Growing of non-perennial crops;Zuidoost-Zuid-Holland (CR);2010;85
1750;011 Growing of non-perennial crops;Zeeuwsch-Vlaanderen (CR);2006;1050
1751;011 Growing of non-perennial crops;Zeeuwsch-Vlaanderen (CR);2007;1035
1752;011 Growing of non-perennial crops;Zeeuwsch-Vlaanderen (CR);2008;975
1753;011 Growing of non-perennial crops;Zeeuwsch-Vlaanderen (CR);2009;945
1754;011 Growing of non-perennial crops;Zeeuwsch-Vlaanderen (CR);2010;915
1755;011 Growing of non-perennial crops;Overig Zeeland (CR);2006;1370
1756;011 Growing of non-perennial crops;Overig Zeeland (CR);2007;1350
1757;011 Growing of non-perennial crops;Overig Zeeland (CR);2008;1285
1758;011 Growing of non-perennial crops;Overig Zeeland (CR);2009;1230
1759;011 Growing of non-perennial crops;Overig Zeeland (CR);2010;1215
1760;011 Growing of non-perennial crops;West-Noord-Brabant (CR);2006;1455
1761;011 Growing of non-perennial crops;West-Noord-Brabant (CR);2007;1435
1762;011 Growing of non-perennial crops;West-Noord-Brabant (CR);2008;1325
1763;011 Growing of non-perennial crops;West-Noord-Brabant (CR);2009;1285
1764;011 Growing of non-perennial crops;West-Noord-Brabant (CR);2010;1245
1765;011 Growing of non-perennial crops;Midden-Noord-Brabant (CR);2006;505
1766;011 Growing of non-perennial crops;Midden-Noord-Brabant (CR);2007;515
1767;011 Growing of non-perennial crops;Midden-Noord-Brabant (CR);2008;490
1768;011 Growing of non-perennial crops;Midden-Noord-Brabant (CR);2009;480
1769;011 Growing of non-perennial crops;Midden-Noord-Brabant (CR);2010;480
1770;011 Growing of non-perennial crops;Noordoost-Noord-Brabant (CR);2006;970
1771;011 Growing of non-perennial crops;Noordoost-Noord-Brabant (CR);2007;995
1772;011 Growing of non-perennial crops;Noordoost-Noord-Brabant (CR);2008;930
1773;011 Growing of non-perennial crops;Noordoost-Noord-Brabant (CR);2009;935
1774;011 Growing of non-perennial crops;Noordoost-Noord-Brabant (CR);2010;870
1775;011 Growing of non-perennial crops;Zuidoost-Noord-Brabant (CR);2006;890
1776;011 Growing of non-perennial crops;Zuidoost-Noord-Brabant (CR);2007;920
1777;011 Growing of non-perennial crops;Zuidoost-Noord-Brabant (CR);2008;800
1778;011 Growing of non-perennial crops;Zuidoost-Noord-Brabant (CR);2009;820
1779;011 Growing of non-perennial crops;Zuidoost-Noord-Brabant (CR);2010;805
1780;011 Growing of non-perennial crops;Noord-Limburg (CR);2006;1190
1781;011 Growing of non-perennial crops;Noord-Limburg (CR);2007;1150
1782;011 Growing of non-perennial crops;Noord-Limburg (CR);2008;1055
1783;011 Growing of non-perennial crops;Noord-Limburg (CR);2009;1035
1784;011 Growing of non-perennial crops;Noord-Limburg (CR);2010;990
1785;011 Growing of non-perennial crops;Midden-Limburg (CR);2006;610
1786;011 Growing of non-perennial crops;Midden-Limburg (CR);2007;610
1787;011 Growing of non-perennial crops;Midden-Limburg (CR);2008;560
1788;011 Growing of non-perennial crops;Midden-Limburg (CR);2009;530
1789;011 Growing of non-perennial crops;Midden-Limburg (CR);2010;535
1790;011 Growing of non-perennial crops;Zuid-Limburg (CR);2006;440
1791;011 Growing of non-perennial crops;Zuid-Limburg (CR);2007;425
1792;011 Growing of non-perennial crops;Zuid-Limburg (CR);2008;420
1793;011 Growing of non-perennial crops;Zuid-Limburg (CR);2009;390
1794;011 Growing of non-perennial crops;Zuid-Limburg (CR);2010;385
1795;011 Growing of non-perennial crops;Flevoland (CR);2006;1565
1796;011 Growing of non-perennial crops;Flevoland (CR);2007;1540
1797;011 Growing of non-perennial crops;Flevoland (CR);2008;1465
1798;011 Growing of non-perennial crops;Flevoland (CR);2009;1410
1799;011 Growing of non-perennial crops;Flevoland (CR);2010;1365
1800;011 Growing of non-perennial crops;Groningen (GA);2006;10
1801;011 Growing of non-perennial crops;Groningen (GA);2007;5
1802;011 Growing of non-perennial crops;Groningen (GA);2008;5
1803;011 Growing of non-perennial crops;Groningen (GA);2009;5
1804;011 Growing of non-perennial crops;Groningen (GA);2010;5
1805;011 Growing of non-perennial crops;Leeuwarden (GA);2006;10
1806;011 Growing of non-perennial crops;Leeuwarden (GA);2007;5
1807;011 Growing of non-perennial crops;Leeuwarden (GA);2008;5
1808;011 Growing of non-perennial crops;Leeuwarden (GA);2009;5
1809;011 Growing of non-perennial crops;Leeuwarden (GA);2010;5
1810;011 Growing of non-perennial crops;Zwolle (GA);2006;15
1811;011 Growing of non-perennial crops;Zwolle (GA);2007;10
1812;011 Growing of non-perennial crops;Zwolle (GA);2008;10
1813;011 Growing of non-perennial crops;Zwolle (GA);2009;10
1814;011 Growing of non-perennial crops;Zwolle (GA);2010;10
1815;011 Growing of non-perennial crops;Enschede (GA);2006;30
1816;011 Growing of non-perennial crops;Enschede (GA);2007;20
1817;011 Growing of non-perennial crops;Enschede (GA);2008;20
1818;011 Growing of non-perennial crops;Enschede (GA);2009;20
1819;011 Growing of non-perennial crops;Enschede (GA);2010;20
1820;011 Growing of non-perennial crops;Apeldoorn (GA);2006;50
1821;011 Growing of non-perennial crops;Apeldoorn (GA);2007;50
1822;011 Growing of non-perennial crops;Apeldoorn (GA);2008;40
1823;011 Growing of non-perennial crops;Apeldoorn (GA);2009;40
1824;011 Growing of non-perennial crops;Apeldoorn (GA);2010;35
1825;011 Growing of non-perennial crops;Arnhem (GA);2006;15
1826;011 Growing of non-perennial crops;Arnhem (GA);2007;15
1827;011 Growing of non-perennial crops;Arnhem (GA);2008;15
1828;011 Growing of non-perennial crops;Arnhem (GA);2009;10
1829;011 Growing of non-perennial crops;Arnhem (GA);2010;10
1830;011 Growing of non-perennial crops;Nijmegen (GA);2006;40
1831;011 Growing of non-perennial crops;Nijmegen (GA);2007;40
1832;011 Growing of non-perennial crops;Nijmegen (GA);2008;35
1833;011 Growing of non-perennial crops;Nijmegen (GA);2009;30
1834;011 Growing of non-perennial crops;Nijmegen (GA);2010;30
1835;011 Growing of non-perennial crops;Amersfoort (GA);2006;5
1836;011 Growing of non-perennial crops;Amersfoort (GA);2007;5
1837;011 Growing of non-perennial crops;Amersfoort (GA);2008;10
1838;011 Growing of non-perennial crops;Amersfoort (GA);2009;10
1839;011 Growing of non-perennial crops;Amersfoort (GA);2010;10
1840;011 Growing of non-perennial crops;Utrecht (GA);2006;40
1841;011 Growing of non-perennial crops;Utrecht (GA);2007;30
1842;011 Growing of non-perennial crops;Utrecht (GA);2008;25
1843;011 Growing of non-perennial crops;Utrecht (GA);2009;25
1844;011 Growing of non-perennial crops;Utrecht (GA);2010;20
1845;011 Growing of non-perennial crops;Amsterdam (GA);2006;85
1846;011 Growing of non-perennial crops;Amsterdam (GA);2007;90
1847;011 Growing of non-perennial crops;Amsterdam (GA);2008;75
1848;011 Growing of non-perennial crops;Amsterdam (GA);2009;70
1849;011 Growing of non-perennial crops;Amsterdam (GA);2010;65
1850;011 Growing of non-perennial crops;Haarlem (GA);2006;25
1851;011 Growing of non-perennial crops;Haarlem (GA);2007;15
1852;011 Growing of non-perennial crops;Haarlem (GA);2008;15
1853;011 Growing of non-perennial crops;Haarlem (GA);2009;15
1854;011 Growing of non-perennial crops;Haarlem (GA);2010;15
1855;011 Growing of non-perennial crops;Leiden (GA);2006;155
1856;011 Growing of non-perennial crops;Leiden (GA);2007;140
1857;011 Growing of non-perennial crops;Leiden (GA);2008;125
1858;011 Growing of non-perennial crops;Leiden (GA);2009;115
1859;011 Growing of non-perennial crops;Leiden (GA);2010;110
1860;011 Growing of non-perennial crops;'s-Gravenhage (GA);2006;90
1861;011 Growing of non-perennial crops;'s-Gravenhage (GA);2007;90
1862;011 Growing of non-perennial crops;'s-Gravenhage (GA);2008;75
1863;011 Growing of non-perennial crops;'s-Gravenhage (GA);2009;70
1864;011 Growing of non-perennial crops;'s-Gravenhage (GA);2010;65
1865;011 Growing of non-perennial crops;Rotterdam (GA);2006;110
1866;011 Growing of non-perennial crops;Rotterdam (GA);2007;100
1867;011 Growing of non-perennial crops;Rotterdam (GA);2008;85
1868;011 Growing of non-perennial crops;Rotterdam (GA);2009;80
1869;011 Growing of non-perennial crops;Rotterdam (GA);2010;75
1870;011 Growing of non-perennial crops;Dordrecht (GA);2006;105
1871;011 Growing of non-perennial crops;Dordrecht (GA);2007;65
1872;011 Growing of non-perennial crops;Dordrecht (GA);2008;60
1873;011 Growing of non-perennial crops;Dordrecht (GA);2009;55
1874;011 Growing of non-perennial crops;Dordrecht (GA);2010;55
1875;011 Growing of non-perennial crops;Breda (GA);2006;125
1876;011 Growing of non-perennial crops;Breda (GA);2007;130
1877;011 Growing of non-perennial crops;Breda (GA);2008;120
1878;011 Growing of non-perennial crops;Breda (GA);2009;110
1879;011 Growing of non-perennial crops;Breda (GA);2010;110
1880;011 Growing of non-perennial crops;Tilburg (GA);2006;45
1881;011 Growing of non-perennial crops;Tilburg (GA);2007;40
1882;011 Growing of non-perennial crops;Tilburg (GA);2008;35
1883;011 Growing of non-perennial crops;Tilburg (GA);2009;35
1884;011 Growing of non-perennial crops;Tilburg (GA);2010;40
1885;011 Growing of non-perennial crops;'s-Hertogenbosch (GA);2006;40
1886;011 Growing of non-perennial crops;'s-Hertogenbosch (GA);2007;35
1887;011 Growing of non-perennial crops;'s-Hertogenbosch (GA);2008;40
1888;011 Growing of non-perennial crops;'s-Hertogenbosch (GA);2009;35
1889;011 Growing of non-perennial crops;'s-Hertogenbosch (GA);2010;35
1890;011 Growing of non-perennial crops;Eindhoven (GA);2006;65
1891;011 Growing of non-perennial crops;Eindhoven (GA);2007;60
1892;011 Growing of non-perennial crops;Eindhoven (GA);2008;55
1893;011 Growing of non-perennial crops;Eindhoven (GA);2009;60
1894;011 Growing of non-perennial crops;Eindhoven (GA);2010;55
1895;011 Growing of non-perennial crops;Geleen/Sittard (GA);2006;90
1896;011 Growing of non-perennial crops;Geleen/Sittard (GA);2007;80
1897;011 Growing of non-perennial crops;Geleen/Sittard (GA);2008;85
1898;011 Growing of non-perennial crops;Geleen/Sittard (GA);2009;75
1899;011 Growing of non-perennial crops;Geleen/Sittard (GA);2010;75
1900;011 Growing of non-perennial crops;Heerlen (GA);2006;30
1901;011 Growing of non-perennial crops;Heerlen (GA);2007;30
1902;011 Growing of non-perennial crops;Heerlen (GA);2008;30
1903;011 Growing of non-perennial crops;Heerlen (GA);2009;25
1904;011 Growing of non-perennial crops;Heerlen (GA);2010;25
1905;011 Growing of non-perennial crops;Maastricht (GA);2006;35
1906;011 Growing of non-perennial crops;Maastricht (GA);2007;30
1907;011 Growing of non-perennial crops;Maastricht (GA);2008;30
1908;011 Growing of non-perennial crops;Maastricht (GA);2009;25
1909;011 Growing of non-perennial crops;Maastricht (GA);2010;25
1910;011 Growing of non-perennial crops;Groningen (SG);2006;190
1911;011 Growing of non-perennial crops;Groningen (SG);2007;180
1912;011 Growing of non-perennial crops;Groningen (SG);2008;170
1913;011 Growing of non-perennial crops;Groningen (SG);2009;175
1914;011 Growing of non-perennial crops;Groningen (SG);2010;175
1915;011 Growing of non-perennial crops;Leeuwarden (SG);2006;175
1916;011 Growing of non-perennial crops;Leeuwarden (SG);2007;160
1917;011 Growing of non-perennial crops;Leeuwarden (SG);2008;150
1918;011 Growing of non-perennial crops;Leeuwarden (SG);2009;145
1919;011 Growing of non-perennial crops;Leeuwarden (SG);2010;135
1920;011 Growing of non-perennial crops;Zwolle (SG);2006;50
1921;011 Growing of non-perennial crops;Zwolle (SG);2007;50
1922;011 Growing of non-perennial crops;Zwolle (SG);2008;50
1923;011 Growing of non-perennial crops;Zwolle (SG);2009;45
1924;011 Growing of non-perennial crops;Zwolle (SG);2010;45
1925;011 Growing of non-perennial crops;Enschede (SG);2006;75
1926;011 Growing of non-perennial crops;Enschede (SG);2007;60
1927;011 Growing of non-perennial crops;Enschede (SG);2008;55
1928;011 Growing of non-perennial crops;Enschede (SG);2009;55
1929;011 Growing of non-perennial crops;Enschede (SG);2010;50
1930;011 Growing of non-perennial crops;Apeldoorn (SG);2006;115
1931;011 Growing of non-perennial crops;Apeldoorn (SG);2007;120
1932;011 Growing of non-perennial crops;Apeldoorn (SG);2008;105
1933;011 Growing of non-perennial crops;Apeldoorn (SG);2009;95
1934;011 Growing of non-perennial crops;Apeldoorn (SG);2010;90
1935;011 Growing of non-perennial crops;Arnhem (SG);2006;290
1936;011 Growing of non-perennial crops;Arnhem (SG);2007;290
1937;011 Growing of non-perennial crops;Arnhem (SG);2008;270
1938;011 Growing of non-perennial crops;Arnhem (SG);2009;245
1939;011 Growing of non-perennial crops;Arnhem (SG);2010;230
1940;011 Growing of non-perennial crops;Nijmegen (SG);2006;170
1941;011 Growing of non-perennial crops;Nijmegen (SG);2007;165
1942;011 Growing of non-perennial crops;Nijmegen (SG);2008;160
1943;011 Growing of non-perennial crops;Nijmegen (SG);2009;155
1944;011 Growing of non-perennial crops;Nijmegen (SG);2010;155
1945;011 Growing of non-perennial crops;Amersfoort (SG);2006;20
1946;011 Growing of non-perennial crops;Amersfoort (SG);2007;20
1947;011 Growing of non-perennial crops;Amersfoort (SG);2008;20
1948;011 Growing of non-perennial crops;Amersfoort (SG);2009;25
1949;011 Growing of non-perennial crops;Amersfoort (SG);2010;20
1950;011 Growing of non-perennial crops;Utrecht (SG);2006;80
1951;011 Growing of non-perennial crops;Utrecht (SG);2007;65
1952;011 Growing of non-perennial crops;Utrecht (SG);2008;60
1953;011 Growing of non-perennial crops;Utrecht (SG);2009;60
1954;011 Growing of non-perennial crops;Utrecht (SG);2010;55
1955;011 Growing of non-perennial crops;Amsterdam (SG);2006;455
1956;011 Growing of non-perennial crops;Amsterdam (SG);2007;460
1957;011 Growing of non-perennial crops;Amsterdam (SG);2008;410
1958;011 Growing of non-perennial crops;Amsterdam (SG);2009;400
1959;011 Growing of non-perennial crops;Amsterdam (SG);2010;375
1960;011 Growing of non-perennial crops;Haarlem (SG);2006;200
1961;011 Growing of non-perennial crops;Haarlem (SG);2007;170
1962;011 Growing of non-perennial crops;Haarlem (SG);2008;155
1963;011 Growing of non-perennial crops;Haarlem (SG);2009;145
1964;011 Growing of non-perennial crops;Haarlem (SG);2010;140
1965;011 Growing of non-perennial crops;Leiden (SG);2006;545
1966;011 Growing of non-perennial crops;Leiden (SG);2007;505
1967;011 Growing of non-perennial crops;Leiden (SG);2008;470
1968;011 Growing of non-perennial crops;Leiden (SG);2009;445
1969;011 Growing of non-perennial crops;Leiden (SG);2010;430
1970;011 Growing of non-perennial crops;'s-Gravenhage (SG);2006;1890
1971;011 Growing of non-perennial crops;'s-Gravenhage (SG);2007;1725
1972;011 Growing of non-perennial crops;'s-Gravenhage (SG);2008;1550
1973;011 Growing of non-perennial crops;'s-Gravenhage (SG);2009;1415
1974;011 Growing of non-perennial crops;'s-Gravenhage (SG);2010;1280
1975;011 Growing of non-perennial crops;Rotterdam (SG);2006;490
1976;011 Growing of non-perennial crops;Rotterdam (SG);2007;465
1977;011 Growing of non-perennial crops;Rotterdam (SG);2008;445
1978;011 Growing of non-perennial crops;Rotterdam (SG);2009;415
1979;011 Growing of non-perennial crops;Rotterdam (SG);2010;370
1980;011 Growing of non-perennial crops;Dordrecht (SG);2006;120
1981;011 Growing of non-perennial crops;Dordrecht (SG);2007;80
1982;011 Growing of non-perennial crops;Dordrecht (SG);2008;75
1983;011 Growing of non-perennial crops;Dordrecht (SG);2009;70
1984;011 Growing of non-perennial crops;Dordrecht (SG);2010;65
1985;011 Growing of non-perennial crops;Breda (SG);2006;565
1986;011 Growing of non-perennial crops;Breda (SG);2007;565
1987;011 Growing of non-perennial crops;Breda (SG);2008;515
1988;011 Growing of non-perennial crops;Breda (SG);2009;490
1989;011 Growing of non-perennial crops;Breda (SG);2010;470
1990;011 Growing of non-perennial crops;Tilburg (SG);2006;140
1991;011 Growing of non-perennial crops;Tilburg (SG);2007;145
1992;011 Growing of non-perennial crops;Tilburg (SG);2008;130
1993;011 Growing of non-perennial crops;Tilburg (SG);2009;130
1994;011 Growing of non-perennial crops;Tilburg (SG);2010;135
1995;011 Growing of non-perennial crops;'s-Hertogenbosch (SG);2006;75
1996;011 Growing of non-perennial crops;'s-Hertogenbosch (SG);2007;85
1997;011 Growing of non-perennial crops;'s-Hertogenbosch (SG);2008;80
1998;011 Growing of non-perennial crops;'s-Hertogenbosch (SG);2009;85
1999;011 Growing of non-perennial crops;'s-Hertogenbosch (SG);2010;80
2000;011 Growing of non-perennial crops;Eindhoven (SG);2006;120
2001;011 Growing of non-perennial crops;Eindhoven (SG);2007;120
2002;011 Growing of non-perennial crops;Eindhoven (SG);2008;105
2003;011 Growing of non-perennial crops;Eindhoven (SG);2009;115
2004;011 Growing of non-perennial crops;Eindhoven (SG);2010;105
2005;011 Growing of non-perennial crops;Geleen/Sittard (SG);2006;115
2006;011 Growing of non-perennial crops;Geleen/Sittard (SG);2007;110
2007;011 Growing of non-perennial crops;Geleen/Sittard (SG);2008;115
2008;011 Growing of non-perennial crops;Geleen/Sittard (SG);2009;105
2009;011 Growing of non-perennial crops;Geleen/Sittard (SG);2010;100
2010;011 Growing of non-perennial crops;Heerlen (SG);2006;140
2011;011 Growing of non-perennial crops;Heerlen (SG);2007;140
2012;011 Growing of non-perennial crops;Heerlen (SG);2008;135
2013;011 Growing of non-perennial crops;Heerlen (SG);2009;130
2014;011 Growing of non-perennial crops;Heerlen (SG);2010;125
2015;011 Growing of non-perennial crops;Maastricht (SG);2006;135
2016;011 Growing of non-perennial crops;Maastricht (SG);2007;135
2017;011 Growing of non-perennial crops;Maastricht (SG);2008;130
2018;011 Growing of non-perennial crops;Maastricht (SG);2009;115
2019;011 Growing of non-perennial crops;Maastricht (SG);2010;120
2020;0111 Growing cereals, leguminous crops;Nederland;2006;1195
2021;0111 Growing cereals, leguminous crops;Nederland;2007;1470
2022;0111 Growing cereals, leguminous crops;Nederland;2008;1155
2023;0111 Growing cereals, leguminous crops;Nederland;2009;1435
2024;0111 Growing cereals, leguminous crops;Nederland;2010;1245
2025;0111 Growing cereals, leguminous crops;Noord-Nederland (LD);2006;260
2026;0111 Growing cereals, leguminous crops;Noord-Nederland (LD);2007;345
2027;0111 Growing cereals, leguminous crops;Noord-Nederland (LD);2008;300
2028;0111 Growing cereals, leguminous crops;Noord-Nederland (LD);2009;350
2029;0111 Growing cereals, leguminous crops;Noord-Nederland (LD);2010;310
2030;0111 Growing cereals, leguminous crops;Oost-Nederland (LD);2006;220
2031;0111 Growing cereals, leguminous crops;Oost-Nederland (LD);2007;270
2032;0111 Growing cereals, leguminous crops;Oost-Nederland (LD);2008;225
2033;0111 Growing cereals, leguminous crops;Oost-Nederland (LD);2009;225
2034;0111 Growing cereals, leguminous crops;Oost-Nederland (LD);2010;215
2035;0111 Growing cereals, leguminous crops;West-Nederland (LD);2006;300
2036;0111 Growing cereals, leguminous crops;West-Nederland (LD);2007;400
2037;0111 Growing cereals, leguminous crops;West-Nederland (LD);2008;310
2038;0111 Growing cereals, leguminous crops;West-Nederland (LD);2009;455
2039;0111 Growing cereals, leguminous crops;West-Nederland (LD);2010;380
2040;0111 Growing cereals, leguminous crops;Zuid-Nederland (LD);2006;415
2041;0111 Growing cereals, leguminous crops;Zuid-Nederland (LD);2007;455
2042;0111 Growing cereals, leguminous crops;Zuid-Nederland (LD);2008;320
2043;0111 Growing cereals, leguminous crops;Zuid-Nederland (LD);2009;410
2044;0111 Growing cereals, leguminous crops;Zuid-Nederland (LD);2010;345
2045;0111 Growing cereals, leguminous crops;Groningen (PV);2006;185
2046;0111 Growing cereals, leguminous crops;Groningen (PV);2007;240
2047;0111 Growing cereals, leguminous crops;Groningen (PV);2008;215
2048;0111 Growing cereals, leguminous crops;Groningen (PV);2009;240
2049;0111 Growing cereals, leguminous crops;Groningen (PV);2010;220
2050;0111 Growing cereals, leguminous crops;Friesland (PV);2006;15
2051;0111 Growing cereals, leguminous crops;Friesland (PV);2007;25
2052;0111 Growing cereals, leguminous crops;Friesland (PV);2008;20
2053;0111 Growing cereals, leguminous crops;Friesland (PV);2009;40
2054;0111 Growing cereals, leguminous crops;Friesland (PV);2010;35
2055;0111 Growing cereals, leguminous crops;Drenthe (PV);2006;55
2056;0111 Growing cereals, leguminous crops;Drenthe (PV);2007;80
2057;0111 Growing cereals, leguminous crops;Drenthe (PV);2008;60
2058;0111 Growing cereals, leguminous crops;Drenthe (PV);2009;70
2059;0111 Growing cereals, leguminous crops;Drenthe (PV);2010;55
2060;0111 Growing cereals, leguminous crops;Overijssel (PV);2006;55
2061;0111 Growing cereals, leguminous crops;Overijssel (PV);2007;60
